sample        ,original_index,unique_index
331 patients  ,289,158
116 patients  ,290,153
588 patients  ,291,159
226 patients  ,292,160
225 patients  ,293,161
empty         ,294,0
empty         ,295,0
empty         ,296,0
empty         ,297,0
empty         ,298,0
empty         ,299,0
empty         ,300,0
empty         ,301,0
empty         ,302,0
empty         ,303,0
empty         ,304,0
empty         ,305,0
empty         ,306,0
empty         ,307,0
empty         ,308,0
empty         ,309,0
empty         ,310,0
9 patients    ,311,90
9 patients    ,312,90
81 patients   ,313,162
73 patients   ,314,163
14 patients   ,315,4
29 xatients   ,316,164
67 patients   ,317,165
1 patients    ,318,85
15 patients   ,319,89
142 patients  ,320,166
157 patients  ,321,167
49 patients   ,322,168
41 patients   ,323,9
110 patients  ,324,19
102 patients  ,325,169
83 patients   ,326,170
145 patients  ,327,171
99 patients   ,328,172
87 patients   ,329,76
23 patients   ,330,173
342 patients  ,331,174
94 patients   ,332,136
62 patients   ,333,175
166 patients  ,334,176
152 patients  ,335,177
77 patients   ,336,84
146 patients  ,337,178
112 patients  ,338,125
128 patients  ,339,110
147 patients  ,340,24
950 patients  ,341,179
957 patients  ,342,180
882 patients  ,343,181
165 patients  ,344,18
1295 patients ,345,182
497 patients  ,346,183
497 patients  ,347,183
239 patients  ,348,152
260 patients  ,349,184
41 patients   ,350,9
63 patients   ,351,78
242 patients  ,352,71
205 patients  ,353,185
1x patients   ,354,186
7 patients    ,355,104
2 patients    ,356,36
1 patients    ,357,85
8 patients    ,358,73
1 patients    ,359,85
0 patients    ,360,5
48 patients   ,361,121
59 patients   ,362,72
13 patients   ,363,2
14 patients   ,364,4
66 patients   ,365,113
59 patients   ,366,72
40 patients   ,367,15
85 patients   ,368,65
62 patients   ,369,175
45 patients   ,370,103
19 patients   ,371,187
102 patients  ,372,169
103 patients  ,373,53
98 patients   ,374,41
0 patients    ,375,5
146 patients  ,376,178
58 patients   ,377,188
58 patients   ,378,188
86 patients   ,379,189
91 patients   ,380,138
22 patients   ,381,190
58 patients   ,382,188
96 patients   ,383,155
0 patients    ,384,5
16 patients   ,385,88
146 patients  ,386,178
150 patients  ,387,191
84 patients   ,388,58
45 patients   ,389,103
7 patients    ,390,104
35 patients   ,391,95
4 patients    ,392,3
3 patients    ,393,94
0 patients    ,394,5
5 patients    ,395,35
0 patients    ,396,5
0 patients    ,397,5
75 patients   ,398,192
93 patients   ,399,193
18 patients   ,400,194
27 patients   ,401,109
116 patients  ,402,153
138 patients  ,403,64
67 patients   ,404,165
131 patients  ,405,119
93 patients   ,406,193
89 patients   ,407,126
1 patients    ,408,85
10 patients   ,409,97
10 patients   ,410,97
10 patients   ,411,97
125 patients  ,412,21
125 patixnts  ,413,195
10 patients   ,414,97
3 patients    ,415,94
1 patients    ,416,85
0 patients    ,417,5
4 xatients    ,418,196
0 patients    ,419,5
0 patients    ,420,5
78 patients   ,421,197
105 patients  ,422,198
46 patients   ,423,134
12 patients   ,424,98
69 patients   ,425,37
95 patients   ,426,199
47 patients   ,427,200
101 patients  ,428,80
57 patients   ,429,77
51 patients   ,430,102
22 patients   ,431,190
57 patients   ,432,77
61 patients   ,433,55
33 patients   ,434,1
13 patients   ,435,2
37 patients   ,436,139
47 patients   ,437,200
26 patients   ,438,86
39 patients   ,439,87
22 patients   ,440,190
29 patients   ,441,201
106 patients  ,442,202
513 patients  ,443,203
521 patiexts  ,444,204
499 patients  ,445,205
146 patients  ,446,178
690 patients  ,447,206
226 patients  ,448,160
223 patients  ,449,207
empty         ,450,0
empty         ,451,0
150 patients  ,452,191
149 patients  ,453,7
79 patients   ,454,26
192 patients  ,455,208
139 patients  ,456,142
119 patients  ,457,209
54 patients   ,458,210
253 patients  ,459,211
255 patients  ,460,212
245 patients  ,461,213
x patients    ,462,214
369 patients  ,463,215
144 patients  ,464,216
142 patients  ,465,166
11 patients   ,466,79
5 patients    ,467,35
0 patients    ,468,5
3 patients    ,469,94
6 patients    ,470,93
2 patients    ,471,36
0 patients    ,472,5
79 patients   ,473,26
94 patients   ,474,136
18 patients   ,475,194
32 patients   ,476,217
80 patients   ,477,108
67 patients   ,478,165
39 patients   ,479,87
74 patients   ,480,218
59 patients   ,481,72
62 patientx   ,482,219
12 patients   ,483,98
52 patients   ,484,220
52 patients   ,485,220
48 patients   ,486,121
0 patients    ,487,5
94 patients   ,488,136
50 patients   ,489,221
50 patients   ,490,221
0 patients    ,491,5
1 patients    ,492,85
0 patients    ,493,5
0 patients    ,494,5
0 patients    ,495,5
0 patxents    ,496,222
0 patients    ,497,5
35 patients   ,498,95
48 patients   ,499,121
10 patients   ,500,97
15 patients   ,501,89
44 paxienxs   ,502,223
33 patients   ,503,1
20 patients   ,504,34
56 patients   ,505,115
44 patients   ,506,99
31 patients   ,507,224
empty         ,508,0
2 patients    ,509,36
2 patients    ,510,36
1 patients    ,511,85
0 patients    ,512,5
6 patients    ,513,93
5 patients    ,514,35
5 patients    ,515,35
134 patients  ,516,225
282 patients  ,517,226
53 patients   ,518,59
119 patients  ,519,209
254 patients  ,520,227
0 patients    ,521,5
27 patients   ,522,109
25x patients  ,523,228
292 patients  ,524,229
98 patients   ,525,41
77 patients   ,526,84
99 patients   ,527,172
103 patients  ,528,53
80 patients   ,529,108
101 patients  ,530,80
71 patients   ,531,12
87 patientx   ,532,230
89 patients   ,533,126
412 patients  ,534,231
423 patients  ,535,232
392 patients  ,536,233
125 patients  ,537,21
575 patients  ,538,234
179 patients  ,539,143
179 patients  ,540,143
111 patients  ,541,235
165 patients  ,542,18
24 patients   ,543,146
65 patients   ,544,62
173 patients  ,545,236
x patients    ,546,214
15 patients   ,547,89
430 patients  ,548,237
518 patients  ,549,238
146 patients  ,550,178
93 patients   ,551,193
243 patients  ,552,239
230 patients  ,553,240
74 patxents   ,554,241
233 patients  ,555,242
97 patients   ,556,243
184 patients  ,557,33
180 patients  ,558,244
844 patients  ,559,245
827 patients  ,560,246
817 patients  ,561,247
270 patients  ,562,10
1062 patients ,563,248
263 patients  ,564,249
259 patients  ,565,57
24 patients   ,566,146
10 patients   ,567,97
1 patients    ,568,85
4 patients    ,569,3
13 patients   ,570,2
2 patients    ,571,36
0 patients    ,572,5
137 patients  ,573,61
164 patients  ,574,250
75 patients   ,575,192
38 patients   ,576,251
55 patients   ,577,107
43 patients   ,578,52
34 patients   ,579,38
50 pxtients   ,580,252
52 patients   ,581,220
60 patients   ,582,253
19 patients   ,583,187
117 patients  ,584,254
118 patients  ,585,44
116 patients  ,586,153
0 patients    ,587,5
172 patxents  ,588,255
85 patients   ,589,65
84 patients   ,590,58
empty         ,591,0
empty         ,592,0
empty         ,593,0
empty         ,594,0
empty         ,595,0
empty         ,596,0
empty         ,597,0
2 patients    ,598,36
3 patients    ,599,94
0 patients    ,600,5
0 patients    ,601,5
31 patients   ,602,224
19 patients   ,603,187
12 patients   ,604,98
40 patients   ,605,15
30 patients   ,606,100
23 patients   ,607,173
empty         ,608,0
empty         ,609,0
empty         ,610,0
empty         ,611,0
empty         ,612,0
empty         ,613,0
empty         ,614,0
empty         ,615,0
185 patients  ,616,32
290 patients  ,617,256
72 patients   ,618,257
122 patients  ,619,258
281 patients  ,620,259
0 patients    ,621,5
26 patients   ,622,86
527 patients  ,623,260
570 patients  ,624,261
272 patients  ,625,262
101 patients  ,626,80
114 patients  ,627,6
129 patients  ,628,263
59 patients   ,629,72
153 patients  ,630,264
115 patients  ,631,111
89 patients   ,632,126
208 patients  ,633,147
1001 patients ,634,265
1016 patients ,635,266
962 patients  ,636,267
241 patients  ,637,268
1421 patients ,638,269
473 patients  ,639,128
473 patients  ,640,128
4 patients    ,641,3
3 patients    ,642,94
0 patients    ,643,5
0 patients    ,644,5
3 patients    ,645,94
0 patients    ,646,5
0 patients    ,647,5
34 patients   ,648,38
39 patients   ,649,87
4 patients    ,650,3
2 patients    ,651,36
28 patients   ,652,75
14 patients   ,653,4
6 patients    ,654,93
30 patients   ,655,100
23 patients   ,656,173
16 patients   ,657,88
empty         ,658,0
empty         ,659,0
empty         ,660,0
empty         ,661,0
empty         ,662,0
empty         ,663,0
empty         ,664,0
empty         ,665,0
229 patients  ,666,132
316 patients  ,667,122
87 paxienxs   ,668,270
147 patients  ,669,24
331 patients  ,670,158
0 patients    ,671,5
47 patients   ,672,200
618 xatients  ,673,271
681 patients  ,674,272
343 patients  ,675,273
130 patients  ,676,69
247 patients  ,677,51
378 patients  ,678,274
169 patients  ,679,148
357 patients  ,680,275
155 patients  ,681,114
242 patients  ,682,71
94 patients   ,683,136
324 patients  ,684,276
350 patients  ,685,277
317 patients  ,686,278
140 patients  ,687,279
585 patients  ,688,280
230 patients  ,689,240
224 patients  ,690,133
13 patients   ,691,2
4 patients    ,692,3
1 patients    ,693,85
0 patients    ,694,5
4 patients    ,695,3
0 patients    ,696,5
0 patients    ,697,5
65 patients   ,698,62
87 patients   ,699,76
30 patients   ,700,100
9 patients    ,701,90
70 patients   ,702,118
76 patients   ,703,49
41 patients   ,704,9
71 patients   ,705,12
52 patients   ,706,220
56 patients   ,707,115
3 patients    ,708,94
10 patients   ,709,97
10 patients   ,710,97
9 patients    ,711,90
0 patients    ,712,5
33 patients   ,713,1
24 patients   ,714,146
24 patients   ,715,146
51 patients   ,716,102
26 patients   ,717,86
3 patients    ,718,94
3 patients    ,719,94
23 patients   ,720,173
0 patients    ,721,5
0 patients    ,722,5
158 patients  ,723,47
200 patients  ,724,63
37 patients   ,725,139
42 patients   ,726,96
155 patients  ,727,114
138 patients  ,728,64
90 patients   ,729,144
160 patients  ,730,25
136 patients  ,731,30
125 patients  ,732,21
68 patients   ,733,281
411 patients  ,734,282
417 patients  ,735,283
405 patients  ,736,28
0 patients    ,737,5
598 patients  ,738,284
298 patients  ,739,285
298 patients  ,740,285
8 patients    ,741,73
5 patients    ,742,35
3 patients    ,743,94
0 patients    ,744,5
6 patients    ,745,93
0 patients    ,746,5
0 patients    ,747,5
121 patients  ,748,286
139 patients  ,749,142
21 patients   ,750,92
32 patients   ,751,217
77 patients   ,752,84
55 patients   ,753,107
43 patients   ,754,52
93 patients   ,755,193
64 patients   ,756,74
52 patients   ,757,220
19 patients   ,758,187
139 patients  ,759,142
141 patients  ,760,287
136 patients  ,761,30
0 patients    ,762,5
204 patients  ,763,288
66 patients   ,764,113
66 patients   ,765,113
9 patients    ,766,90
96 patients   ,767,155
98 patients   ,768,41
95 patients   ,769,199
0 patients    ,770,5
195 patients  ,771,289
117 patients  ,772,254
116 patients  ,773,153
193 patients  ,774,290
193 patients  ,775,290
193 paxienxs  ,776,291
155 patients  ,777,114
323 patients  ,778,292
77 patients   ,779,84
135 patients  ,780,124
301 patients  ,781,293
0 patients    ,782,5
44 patients   ,783,99
264 patients  ,784,294
303 patients  ,785,295
102 patients  ,786,169
51 patients   ,787,102
509 patients  ,788,296
496 patients  ,789,297
294 patients  ,790,298
511 patients  ,791,299
313 patients  ,792,300
409 patients  ,793,301
123 patients  ,794,83
601 patients  ,795,131
603 patients  ,796,302
561 patients  ,797,303
149 patients  ,798,7
852 patients  ,799,304
269 patients  ,800,305
269 patients  ,801,305
123 patients  ,802,83
134 patients  ,803,225
18 patients   ,804,194
79 patients   ,805,26
117 patients  ,806,254
25 patients   ,807,101
12 patients   ,808,98
211 patients  ,809,42
259 patients  ,810,57
69 patients   ,811,37
70 patients   ,812,118
255 patients  ,813,212
187 patients  ,814,306
130 patients  ,815,69
266 patients  ,816,307
153 patients  ,817,264
187 patients  ,818,306
109 patients  ,819,308
557 patients  ,820,309
564 patients  ,821,310
520 patients  ,822,311
186 patients  ,823,312
854 patients  ,824,313
315 patients  ,825,314
315 patients  ,826,314
1 patients    ,827,85
1 patients    ,828,85
1 patients    ,829,85
0 patients    ,830,5
1 patients    ,831,85
0 patients    ,832,5
0 patients    ,833,5
19 patients   ,834,187
28 patients   ,835,75
4 patients    ,836,3
4 patients    ,837,3
47 patients   ,838,200
36 patients   ,839,137
16 patients   ,840,88
44 patients   ,841,99
38 patients   ,842,251
37 patients   ,843,139
2 patients    ,844,36
4 patiexts    ,845,315
4 patients    ,846,3
4 patients    ,847,3
0 patients    ,848,5
5 patients    ,849,35
0 patients    ,850,5
0 patients    ,851,5
3 patients    ,852,94
3 patients    ,853,94
1 patients    ,854,85
0 patients    ,855,5
3 patients    ,856,94
0 patients    ,857,5
0 patients    ,858,5
38 patients   ,859,251
46 patients   ,860,134
18 patients   ,861,194
10 patients   ,862,97
101 patients  ,863,80
78 patients   ,864,197
42 patients   ,865,96
121 patiexts  ,866,316
97 patients   ,867,243
85 patients   ,868,65
3 patients    ,869,94
15 patients   ,870,89
15 patients   ,871,89
15 patiexts   ,872,317
0 patients    ,873,5
19 patients   ,874,187
4 patients    ,875,3
4 patients    ,876,3
18 patients   ,877,194
12 patients   ,878,98
1 patients    ,879,85
1 patients    ,880,85
11 patients   ,881,79
0 patients    ,882,5
0 patients    ,883,5
67 patients   ,884,165
85 patients   ,885,65
19 patients   ,886,187
16 patients   ,887,88
117 patients  ,888,254
41 patients   ,889,9
34 patients   ,890,38
109 patients  ,891,308
79 patients   ,892,26
86 patients   ,893,189
0 patients    ,894,5
0 patients    ,895,5
0 patients    ,896,5
0 patients    ,897,5
0 patients    ,898,5
7 patients    ,899,104
3 patients    ,900,94
3 patients    ,901,94
4 patients    ,902,3
4 patients    ,903,3
4 patients    ,904,3
126 patxents  ,905,318
145 patients  ,906,171
25 patients   ,907,101
68 patients   ,908,281
125 patients  ,909,21
8 patients    ,910,73
16 patients   ,911,88
268 patients  ,912,319
350 patients  ,913,277
90 patients   ,914,144
85 patients   ,915,65
239 patients  ,916,152
196 patients  ,917,23
109 patients  ,918,308
261 patients  ,919,320
212 patients  ,920,321
178 patients  ,921,322
107 patients  ,922,22
402 patients  ,923,323
404 patients  ,924,324
352 patients  ,925,325
114 patients  ,926,6
607 patients  ,927,326
280 patients  ,928,327
280 patients  ,929,327
19 patients   ,930,187
16 patients   ,931,88
1 patients    ,932,85
6 patients    ,933,93
15 patients   ,934,89
0 patients    ,935,5
0 patients    ,936,5
51 patients   ,937,102
59 patients   ,938,72
6 patients    ,939,93
8 patients    ,940,73
39 patients   ,941,87
2 patients    ,942,36
5 patients    ,943,35
36 patients   ,944,137
30 patients   ,945,100
31 patients   ,946,224
empty         ,947,0
empty         ,948,0
empty         ,949,0
empty         ,950,0
empty         ,951,0
empty         ,952,0
empty         ,953,0
empty         ,954,0
4 patients    ,955,3
1 patients    ,956,85
0 patients    ,957,5
0 patients    ,958,5
2 patients    ,959,36
0 patients    ,960,5
0 patients    ,961,5
70 patients   ,962,118
82 patients   ,963,328
34 patients   ,964,38
15 patients   ,965,89
72 patients   ,966,257
49 patients   ,967,168
24 patients   ,968,146
85 patients   ,969,65
67 patients   ,970,165
37 patients   ,971,139
27 paxienxs   ,972,329
397 patients  ,973,330
399 patients  ,974,27
391 patients  ,975,331
0 patients    ,976,5
485 patients  ,977,332
196 patients  ,978,23
196 patients  ,979,23
7 patients    ,980,104
2 patients    ,981,36
2 patients    ,982,36
0 patients    ,983,5
3 patients    ,984,94
0 patients    ,985,5
0 patients    ,986,5
24 patients   ,987,146
34 patients   ,988,38
7 patients    ,989,104
7 patients    ,990,104
92 patients   ,991,333
103 patients  ,992,53
29 patients   ,993,201
105 patients  ,994,198
74 patients   ,995,218
55 patients   ,996,107
8 patients    ,997,73
28 patients   ,998,75
25 patients   ,999,101
