PhoneNumber,HospitalOwner,original_index,unique_index,count
2054877736,proprietary,354,42,24
2054877736,proprietary,355,42,24
2054877736,prxprietary,356,43,1
2054877736,proprietary,357,42,24
2054877736,proprietary,358,42,24
2054877736,proprietary,359,42,24
2054877736,proprietary,360,42,24
2054877736,proprietary,361,42,24
2054877736,proprietary,362,42,24
2054877736,proprietary,363,42,24
2054877736,proprietary,364,42,24
2054877736,proprietary,365,42,24
2054877736,proprietary,366,42,24
2054877736,proprietary,367,42,24
2054877736,proprietary,368,42,24
2054877736,proprietary,369,42,24
2054877736,proprietary,370,42,24
2054877736,proprietary,371,42,24
2054877736,proprietary,372,42,24
2054877736,proprietary,373,42,24
2054877736,proprietary,374,42,24
2054877736,proprietary,375,42,24
2054877736,proprietary,376,42,24
2054877736,proprietary,377,42,24
2054877736,proprietary,378,42,24
2514717110,government - state,379,44,10
2514717110,government - state,380,44,10
25x47x7xx0,government - state,381,45,3
2514717110,government - state,382,44,10
2514717110,government - state,383,44,10
25x47x7xx0,government - state,384,45,3
2514717110,government - state,385,44,10
25x47x7xx0,government - state,386,45,3
2514717110,government - state,387,44,10
2514717110,government - state,388,44,10
2514717110,government - state,389,44,10
2514717110,government - state,390,44,10
2514717110,government - state,391,44,10
3343614267,voluntary non-profit - private,392,46,19
33x361x267,voluntary non-profit - private,393,47,1
3343614267,voluntary non-profit - private,394,46,19
3343614267,voluntary non-profit - private,395,46,19
3343614267,voluntary non-profit - private,396,46,19
3343614267,voluntary non-profit - private,397,46,19
3343614267,voluntary non-profit - private,398,46,19
3343614267,voluntary non-profit - private,399,46,19
3343614267,voluntary non-profit - private,400,46,19
3343614267,voluntary non-profit - private,401,46,19
3343614267,voluntary non-profit - private,402,46,19
3343614267,voluntary non-profit - private,403,46,19
3343614267,voluntary non-profit - private,404,46,19
3343614267,voluntary non-profit - private,405,46,19
3343614267,voluntary non-profit - private,406,46,19
3343614267,voluntary non-profit - private,407,46,19
3343614267,voluntary non-profit - private,408,46,19
3343614267,voluntary non-profit - private,409,46,19
3343614267,voluntary non-profit - private,410,46,19
3343614267,voluntary non-profit - private,411,46,19
2563321611,proprietary,412,48,2
2563321611,proprietary,413,48,2
2562495000,voluntary non-profit - other,414,49,18
2562495000,voluntary non-profit - other,415,49,18
2562495000,voluntary non-profit - other,416,49,18
2562495000,voluntary non-profit - other,417,49,18
2562495000,voluntary non-profit - other,418,49,18
2562495000,voluntary non-profit - other,419,49,18
2562495000,voluntary non-profit - other,420,49,18
2562495000,voluntary non-profit - other,421,49,18
2562495000,voluntary non-profit - other,422,49,18
2562495000,voluntary non-profit - other,423,49,18
2562495000,voluntary non-profit - other,424,49,18
2562495000,voluntary non-profit - other,425,49,18
2562495000,voluntary non-profit - other,426,49,18
2562495000,voluntary non-profit - other,427,49,18
2562495000,voluntary non-profit - other,428,49,18
2562495000,voluntary non-profit - other,429,49,18
2562495000,voluntary non-profit - other,430,49,18
2562495000,voluntary non-profit - other,431,49,18
9072761131,proprietary,432,50,17
9072761131,proprietary,433,50,17
9072761131,proprietary,434,50,17
9072761131,proprietary,435,50,17
9072761131,proprietary,436,50,17
9072761131,proprietary,437,50,17
9072761131,proprietary,438,50,17
9072761131,proprietary,439,50,17
9072761131,proprietary,440,50,17
9072761131,proprietary,441,50,17
9072761131,proprietary,442,50,17
9072761131,proprietary,443,50,17
9072761131,proprietary,444,50,17
9072761131,proprietary,445,50,17
9072761131,proprietary,446,50,17
9072761131,proprietary,447,50,17
9072761131,proprietary,448,50,17
9072761131,proxrietary,449,51,1
9075436300,government - federal,450,52,2
9075436300,government - federal,451,52,2
2563864556,government - hospital district or authority,452,1,24
2563864556,government - hospital district or authority,453,1,24
2563864556,government - hospital district or authority,454,1,24
2563864556,government - hospital district or authority,455,1,24
2563864556,gxvernment - hxspital district xr authxrity,456,53,1
2563864556,government - hospital district or authority,457,1,24
2563864556,government - hospital district or authority,458,1,24
2563864556,government - hospital district or authority,459,1,24
2563864556,government - hospital district or authority,460,1,24
2563864556,government - hospital district or authority,461,1,24
2563864556,government - hospital district or authority,462,1,24
2563864556,government - hospital district or authority,463,1,24
2563864556,government - hospital district or authority,464,1,24
2563864556,government - hospital district or authority,465,1,24
3347742601,government - hospital district or authority,466,54,24
3347742601,government - hospital district or authority,467,54,24
3347742601,government - hospital district or authority,468,54,24
3347742601,government - hospital district or authority,469,54,24
3347742601,government - hospital district or authority,470,54,24
334774x601,government - hospital district or authority,471,55,1
3347742601,government - hospital district or authority,472,54,24
3347742601,government - hospital district or authority,473,54,24
3347742601,government - hospital district or authority,474,54,24
3347742601,government - hospital district or authority,475,54,24
3347742601,government - hospital district or authority,476,54,24
3347742601,government - hospital district or authority,477,54,24
3347742601,government - hospital district or authority,478,54,24
3347742601,government - hospital district or authority,479,54,24
3347742601,government - hospital district or authority,480,54,24
3347742601,government - hospital district or authority,481,54,24
3347742601,government - hospital district or authority,482,54,24
3347742601,government - hospital district or authority,483,54,24
3347742601,government - hospital district or authority,484,54,24
3347742601,government - hospital district or authority,485,54,24
3347742601,government - hospital district or authority,486,54,24
3347742601,government - hospital district or authority,487,54,24
3347742601,government - hospital district or authority,488,54,24
3347742601,government - hospital district or authority,489,54,24
3347742601,government - hospital district or authority,490,54,24
2569275531,voluntary non-profit - private,491,56,24
2569275531,voluntary non-profit - private,492,56,24
2569275531,voluntaryxnon-profitx-xprivate,493,57,1
2569275531,voluntary non-profit - private,494,56,24
2569275531,voluntary non-profit - private,495,56,24
2569275531,voluntary non-profit - private,496,56,24
2569275531,voluntary non-profit - private,497,56,24
2569275531,voluntary non-profit - private,498,56,24
2569275531,voluntary non-profit - private,499,56,24
2569275531,voluntary non-profit - private,500,56,24
2569275531,voluntary non-profit - private,501,56,24
2569275531,voluntary non-profit - private,502,56,24
2569275531,voluntary non-profit - private,503,56,24
2569275531,voluntary non-profit - private,504,56,24
2569275531,voluntary non-profit - private,505,56,24
2569275531,voluntary non-profit - private,506,56,24
2569275531,voluntary non-profit - private,507,56,24
2569275531,voluntary non-profit - private,508,56,24
2569275531,voluntary non-profit - private,509,56,24
2569275531,voluntary non-profit - private,510,56,24
2569275531,voluntary non-profit - private,511,56,24
2569275531,voluntary non-profit - private,512,56,24
2569275531,voluntary non-profit - private,513,56,24
2569275531,voluntary non-profit - private,514,56,24
2569275531,voluntary non-profit - private,515,56,24
3342xx2100,voluntary non-profit - church,516,58,1
3342882100,voluntary non-profit - church,517,59,23
3342882100,voluntary non-profit - church,518,59,23
3342882100,voluntary non-profit - church,519,59,23
3342882100,voluntary non-profit - church,520,59,23
3342882100,voluntary non-profit - church,521,59,23
3342882100,voluntary non-profit - church,522,59,23
3342882100,voluntary non-profit - church,523,59,23
3342882100,voluntary non-profit - church,524,59,23
3342882100,voluntary non-profit - church,525,59,23
3342882100,volxntary non-profit - chxrch,526,60,1
3342882100,voluntary non-profit - church,527,59,23
3342882100,voluntary non-profit - church,528,59,23
3342882100,voluntary non-profit - church,529,59,23
3342882100,voluntary non-profit - church,530,59,23
3342882100,voluntary non-profit - church,531,59,23
3342882100,voluntary non-profit - church,532,59,23
3342882100,voluntary non-profit - church,533,59,23
3342882100,voluntary non-profit - church,534,59,23
3342882100,voluntary non-profit - church,535,59,23
3342882100,voluntary non-profit - church,536,59,23
3342882100,voluntary non-profit - church,537,59,23
3342882100,voluntary non-profit - church,538,59,23
3342882100,voluntary non-profit - church,539,59,23
3342882100,voluntary non-profit - church,540,59,23
3342938000,voluntary non-profit - private,541,61,22
3342938000,voluntary non-profit - private,542,61,22
3342938000,voluntary non-profit - private,543,61,22
3342938000,voluntary non-profit - private,544,61,22
3342938000,voluntary non-profit - private,545,61,22
3342938000,voluntary non-profit - private,546,61,22
3342938000,voluntary non-profit - private,547,61,22
3342938xxx,voluntary non-profit - private,548,62,2
3342938000,voluntary non-profit - private,549,61,22
3342938000,voluntary non-profit - private,550,61,22
3342938000,voluntary non-profit - private,551,61,22
3342938000,voluntary non-profit - private,552,61,22
3342938000,voluntary non-profit - private,553,61,22
3342938000,voluntary non-profit - private,554,61,22
3342938000,voluntary non-profit - private,555,61,22
3342938000,voluntary non-profit - private,556,61,22
3342938000,voluntary non-profit - private,557,61,22
3342938000,voluntary non-profit - private,558,61,22
3342938000,voluntary non-profit - private,559,61,22
3342938000,voluntary non-profit - private,560,61,22
33x2938000,voluntary non-profit - private,561,63,1
3342938xxx,voluntary non-profit - private,562,62,2
3342938000,voluntary non-profit - private,563,61,22
3342938000,voluntary non-profit - private,564,61,22
3342938000,voluntary non-profit - private,565,61,22
3347561400,voluntary non-profit - other,566,64,24
3347561400,voluntary non-profit - other,567,64,24
3347561400,voluntary non-profit - other,568,64,24
3347561400,voluntary non-profit - other,569,64,24
3347561400,voluntary non-profit - other,570,64,24
3347561400,voluntary non-profit - other,571,64,24
334x561400,voluntary non-profit - otxer,572,65,1
3347561400,voluntary non-profit - other,573,64,24
3347561400,voluntary non-profit - other,574,64,24
3347561400,voluntary non-profit - other,575,64,24
3347561400,voluntary non-profit - other,576,64,24
3347561400,voluntary non-profit - other,577,64,24
3347561400,voluntary non-profit - other,578,64,24
3347561400,voluntary non-profit - other,579,64,24
3347561400,voluntary non-profit - other,580,64,24
3347561400,voluntary non-profit - other,581,64,24
3347561400,voluntary non-profit - other,582,64,24
3347561400,voluntary non-profit - other,583,64,24
3347561400,voluntary non-profit - other,584,64,24
3347561400,voluntary non-profit - other,585,64,24
3347561400,voluntary non-profit - other,586,64,24
3347561400,voluntary non-profit - other,587,64,24
3347561400,voluntary non-profit - other,588,64,24
3347561400,voluntary non-profit - other,589,64,24
3347561400,voluntary non-profit - other,590,64,24
3348972257,voluntary non-profit - other,591,66,24
3348972257,voluntary non-profit - other,592,66,24
33x8972257,voluntary non-profit - other,593,67,1
3348972257,voluntary non-profit - other,594,66,24
3348972257,voluntary non-profit - other,595,66,24
3348972257,voluntary non-profit - other,596,66,24
3348972257,voluntary non-profit - other,597,66,24
3348972257,voluntary non-profit - other,598,66,24
3348972257,voluntary non-profit - other,599,66,24
3348972257,voluntary non-profit - other,600,66,24
3348972257,voluntary non-profit - other,601,66,24
3348972257,voluntary non-profit - other,602,66,24
3348972257,voluntary non-profit - other,603,66,24
3348972257,voluntary non-profit - other,604,66,24
3348972257,voluntary non-profit - other,605,66,24
3348972257,voluntary non-profit - other,606,66,24
3348972257,voluntary non-profit - other,607,66,24
3348972257,voluntary non-profit - other,608,66,24
3348972257,voluntary non-profit - other,609,66,24
3348972257,voluntary non-profit - other,610,66,24
3348972257,voluntary non-profit - other,611,66,24
3348972257,voluntary non-profit - other,612,66,24
3348972257,voluntary non-profit - other,613,66,24
3348972257,voluntary non-profit - other,614,66,24
3348972257,voluntary non-profit - other,615,66,24
3347493411,government - hospital district or authority,616,68,25
3347493411,government - hospital district or authority,617,68,25
3347493411,government - hospital district or authority,618,68,25
3347493411,government - hospital district or authority,619,68,25
3347493411,government - hospital district or authority,620,68,25
3347493411,government - hospital district or authority,621,68,25
3347493411,government - hospital district or authority,622,68,25
3347493411,government - hospital district or authority,623,68,25
3347493411,government - hospital district or authority,624,68,25
3347493411,government - hospital district or authority,625,68,25
3347493411,government - hospital district or authority,626,68,25
3347493411,government - hospital district or authority,627,68,25
3347493411,government - hospital district or authority,628,68,25
3347493411,government - hospital district or authority,629,68,25
3347493411,government - hospital district or authority,630,68,25
3347493411,government - hospital district or authority,631,68,25
3347493411,government - hospital district or authority,632,68,25
3347493411,government - hospital district or authority,633,68,25
3347493411,government - hospital district or authority,634,68,25
3347493411,government - hospital district or authority,635,68,25
3347493411,government - hospital district or authority,636,68,25
3347493411,government - hospital district or authority,637,68,25
3347493411,government - hospital district or authority,638,68,25
3347493411,government - hospital district or authority,639,68,25
3347493411,government - hospital district or authority,640,68,25
2563572111,government - local,641,69,25
2563572111,government - local,642,69,25
2563572111,government - local,643,69,25
2563572111,government - local,644,69,25
2563572111,government - local,645,69,25
2563572111,government - local,646,69,25
2563572111,government - local,647,69,25
2563572111,government - local,648,69,25
2563572111,government - local,649,69,25
2563572111,government - local,650,69,25
2563572111,government - local,651,69,25
2563572111,government - local,652,69,25
2563572111,government - local,653,69,25
2563572111,government - local,654,69,25
2563572111,government - local,655,69,25
2563572111,government - local,656,69,25
2563572111,government - local,657,69,25
2563572111,government - local,658,69,25
2563572111,government - local,659,69,25
2563572111,government - local,660,69,25
2563572111,government - local,661,69,25
2563572111,government - local,662,69,25
2563572111,government - local,663,69,25
2563572111,government - local,664,69,25
2563572111,government - local,665,69,25
20593xx011,government - state,666,70,1
2059344011,government - state,667,71,24
2059344011,government - state,668,71,24
2059344011,government - state,669,71,24
2059344011,government - state,670,71,24
2059344011,government - state,671,71,24
2059344011,government - state,672,71,24
2059344011,government - state,673,71,24
2059344011,government - state,674,71,24
2059344011,government - state,675,71,24
2059344011,government - state,676,71,24
2059344011,government - state,677,71,24
2059344011,government - state,678,71,24
2059344011,government - state,679,71,24
2059344011,government - state,680,71,24
2059344011,government - state,681,71,24
2059344011,government - state,682,71,24
2059344011,government - state,683,71,24
2059344011,government - state,684,71,24
2059344011,government - state,685,71,24
2059344011,government - state,686,71,24
2059344011,government - state,687,71,24
2059344011,government - state,688,71,24
2059344011,government - state,689,71,24
2059344011,government - state,690,71,24
3342836541,voluntary non-profit - private,691,72,23
3342836541,voluntary non-profit - private,692,72,23
3342836541,voluntary non-profit - private,693,72,23
3342836541,voluntary non-profit - private,694,72,23
3342836541,voluntary non-profit - private,695,72,23
3342836541,voluntary non-profit - private,696,72,23
3342836541,voluntary non-profit - private,697,72,23
