HospitalType,MeasureCode,original_index,unique_index
acute care hospitals,pn-6,84,24
acute care hospitals,pn-7,85,25
acute care hospitals,scip-card-2,86,0
acute care hospitals,scip-inf-1,87,1
acute care hospitals,scip-inf-2,88,2
acute care hospitals,scip-inf-3,89,3
acute care hospitals,scip-inf-4,90,4
acute care hospitals,scip-inf-6,91,5
acute care hospitals,scip-vte-1,92,6
acute care hospitals,scip-vte-2,93,7
acute care hospitals,ami-1,94,8
acute care hospitals,ami-2,95,9
acute care hospitals,ami-3,96,10
acute care hospitals,axi-4,97,27
acute care hosxitals,ami-5,98,28
acute care hospitals,ami-7a,99,13
acute care hospitals,ami-8a,100,14
acute care hospitals,hfx1,101,29
acute care hospitals,hf-2,102,19
acute care hospitals,hf-3,103,17
acute care hospitals,hf-4,104,18
acute care hospitals,pn-2,105,20
acute care hospitals,pn-3b,106,21
acute care hospitals,pn-4,107,22
acute care hospitals,pnx5c,108,30
acute care hospitals,pn-6,109,24
acute care hospitals,pn-7,110,25
acute care hospitals,scip-card-2,111,0
acute care hospitals,scip-inf-1,112,1
acute care hospitals,scip-inf-2,113,2
acute care hospitals,scip-inf-3,114,3
acute care hospitals,scip-inf-4,115,4
acute care hospitals,scip-inf-6,116,5
acute care hospitals,scip-vte-1,117,6
acute care hospitals,scip-vte-2,118,7
acute care hospitals,ami-1,119,8
acute care hospitals,axi-2,120,31
acute care hospitals,ami-3,121,10
acute care hospitals,ami-4,122,11
acute care hospitals,ami-5,123,12
acute care hospitals,ami-7a,124,13
acute care hospitals,ami-8a,125,14
acute care hospitals,hf-1,126,15
acute care hospitals,hf-2,127,19
acute care hospitals,hf-3,128,17
acute care hospitals,hf-4,129,18
acute care hospitals,pn-2,130,20
acute care hospitals,pn-3b,131,21
acute care hospitals,pn-4,132,22
acute care hospitals,pn-5c,133,23
acute care hospitals,pn-6,134,24
acute care hospitals,pn-7,135,25
acute care hospitals,scip-card-2,136,0
acute care hospitals,scip-inf-1,137,1
acute care hospitals,scip-inf-2,138,2
acute care hospitals,scip-inf-3,139,3
acute care hospitals,scip-inf-4,140,4
acute care hospitals,scip-inf-6,141,5
acute care hospitals,scip-vte-1,142,6
acute care hospitals,scip-vte-2,143,7
acute care hospitals,ami-1,144,8
acute care hospitals,ami-2,145,9
acute care hospitals,ami-3,146,10
acute care hospitals,ami-4,147,11
acute care hospitals,ami-5,148,12
acute care hospitals,ami-7a,149,13
acute care hospitals,ami-8a,150,14
acute care hospitals,hf-1,151,15
acute care hospitals,hf-2,152,19
acute care hospitals,hf-3,153,17
acute care hospitals,hf-4,154,18
acute care hospitals,pn-2,155,20
acute care hospitals,pn-3b,156,21
acute care hospitals,pn-4,157,22
acute care hospitals,pn-5c,158,23
acute care hospitals,pn-6,159,24
acute care hospitals,pn-7,160,25
acute care hospitals,scip-card-2,161,0
acute care hospitals,scip-inf-1,162,1
acute care hospitals,scip-inf-2,163,2
acute care hospitals,scip-inf-3,164,3
acute care hospitals,scip-inf-4,165,4
acute care hospitals,scip-inf-6,166,5
acute care hospitals,scip-vte-1,167,6
acute care hospitals,scip-vte-2,168,7
acute care hospitals,ami-1,169,8
acute care hospitals,ami-2,170,9
acute care hospitals,ami-3,171,10
acute care hospitals,ami-4,172,11
acute care hospitals,ami-5,173,12
acute care hospitals,ami-7a,174,13
acute care hospitals,ami-8a,175,14
acute care hospitals,hf-1,176,15
acute care hospitals,hf-x,177,32
acute care hospitals,hf-3,178,17
acute care hospitals,hf-4,179,18
acute care hospitals,pn-2,180,20
acute care hospitals,pn-3b,181,21
acute care hospitals,pn-4,182,22
acute care hospitals,pn-5c,183,23
acute care hospitals,pn-6,184,24
acute care hospitals,pn-7,185,25
acute care hospitals,scip-card-2,186,0
acute care hospitals,scip-inf-1,187,1
acute care hospitals,scip-inf-2,188,2
acute care hospitals,scip-inf-3,189,3
acute care hospitals,scip-inx-4,190,33
acute care hospitals,scip-inf-6,191,5
acute care hospitals,scip-vte-1,192,6
acute care hospitals,scip-vte-2,193,7
acute care hospitals,ami-1,194,8
acute care hospitals,ami-2,195,9
acute care hospitals,ami-3,196,10
acute care hospitals,ami-4,197,11
acute care hospitals,ami-5,198,12
acute care hosxitals,ami-7a,199,34
acute care hospitals,ami-8a,200,14
acute care hospitals,hf-1,201,15
acute care hospitals,hf-2,202,19
acute care hospitals,hf-3,203,17
acute care hospitals,hf-4,204,18
acute care hospitals,pn-2,205,20
acute care hospitals,pn-3b,206,21
acute care hospitals,pn-4,207,22
acute care hospitals,pn-5c,208,23
acute care hospitals,pn-6,209,24
acute care hospitals,pn-7,210,25
acute care hospitals,scip-card-2,211,0
acute care hospitals,scip-inf-1,212,1
acutx carx hospitals,scip-inf-2,213,35
acute care hospitals,scip-inf-3,214,3
acute care hospitals,scip-inf-4,215,4
acute care hospitals,scip-inf-6,216,5
acute care hospitals,scip-vte-1,217,6
acute care hospitals,scip-vte-2,218,7
acute care hospitals,ami-1,219,8
acute care hospitals,ami-2,220,9
acute care hospitals,ami-3,221,10
acute care hospitals,ami-4,222,11
acute care hospitals,ami-5,223,12
acute care hospitals,ami-7a,224,13
acute care hospitals,ami-8a,225,14
acute care hospitals,hf-1,226,15
acute care hospitals,hf-2,227,19
acute care hospitals,hf-3,228,17
acute care hospitals,hf-4,229,18
acute care hospitals,pn-2,230,20
acute care hospitals,pn-3b,231,21
acute care hospitals,pn-4,232,22
acute care hospitals,pn-5c,233,23
acute care hospitals,pn-6,234,24
acute care hospitals,pn-7,235,25
acute care hospitals,scip-card-2,236,0
acute care hospitals,scip-inf-1,237,1
acute care hospitals,scip-inf-2,238,2
acute care hospitals,scip-inf-3,239,3
acute care hospitals,scip-inf-4,240,4
acute care hospitals,scip-inf-6,241,5
acute care hospitals,scip-vte-1,242,6
acute care hospitals,scip-vte-2,243,7
acute care hospitals,ami-1,244,8
acute care hospitals,ami-2,245,9
acute care hospitals,ami-3,246,10
acute care hospitals,ami-4,247,11
acute care hospitals,ami-5,248,12
acute care hospitals,ami-7a,249,13
acute care hospitals,ami-8a,250,14
acute care hospitals,hf-1,251,15
acute care hospitals,hf-2,252,19
acute care hospitals,hf-3,253,17
acute care hospitals,hf-4,254,18
acute care hospitals,pn-2,255,20
acute care hospitals,pn-3b,256,21
acute care hospitals,pn-4,257,22
acute care hospitals,pn-5c,258,23
acute care hospitals,pn-6,259,24
acute care hospitals,pn-7,260,25
acute care hospitals,scip-card-2,261,0
acute care hospitals,scip-inf-1,262,1
acute care hospitals,scip-inf-2,263,2
acute care hospitals,scxp-xnf-3,264,36
acute care hospitals,scip-inf-4,265,4
acuxe care hospixals,scip-inf-6,266,37
acute care hospitals,scip-vte-1,267,6
acute care hospitals,scip-vte-2,268,7
acute care hospitals,ami-1,269,8
acute care hospitals,ami-2,270,9
acute care hospitals,ami-3,271,10
acute care hospitals,ami-4,272,11
acute care hospitals,ami-5,273,12
acute care hospitals,ami-7a,274,13
acute care hospitals,ami-8a,275,14
acute care hospitals,hf-1,276,15
acute care hospitals,hf-2,277,19
acute care hospitals,hf-3,278,17
acute care hospitals,hf-4,279,18
acutexcarexhospitals,pn-2,280,38
acute care hospitals,pn-3b,281,21
acute care hospitals,pn-4,282,22
acute care hospitals,pn-5c,283,23
acute care hospitals,pn-6,284,24
acute care hospitals,pn-7,285,25
acute care hospitals,scip-card-2,286,0
acute care hospitals,scip-inf-1,287,1
acute care hospitals,scip-inf-2,288,2
acute care hospitals,scip-inf-3,289,3
acute care hospitals,scip-inf-4,290,4
acute care hospitals,scip-inf-6,291,5
acute care hospitals,scip-vte-1,292,6
acuxe care hospixals,scip-vte-2,293,39
acute care hospitals,ami-1,294,8
acute care hospitals,ami-2,295,9
acute care hospitals,ami-3,296,10
acute care hospitals,ami-4,297,11
acute care hospitals,ami-5,298,12
acute care hospitals,ami-7a,299,13
acute care hospitals,ami-8a,300,14
acute care hospitals,hf-1,301,15
acute care hospitals,hf-2,302,19
acute care hospitals,hf-3,303,17
acute care hospitals,hf-4,304,18
acute care hospitals,pn-2,305,20
acute care hospitals,pn-3b,306,21
acute care hospitals,pn-4,307,22
acute care hospitals,pn-5c,308,23
acute care hospitals,pn-6,309,24
acute care hospitals,pn-7,310,25
acute care hospitals,cac-2,311,40
acute care hospitals,cac-3,312,41
acute care hospitals,ami-1,313,8
acute care hospitals,ami-2,314,9
acute care hospitals,ami-3,315,10
acute care hospitals,ami-4,316,11
acute care hospitals,ami-5,317,12
acute care hospitals,ami-7a,318,13
acute care hospitals,ami-8a,319,14
acute care hospitals,hf-1,320,15
acute care hospitals,hf-2,321,19
acute care hospitals,hf-3,322,17
acute care hospitals,hf-4,323,18
acute care hospitals,pn-2,324,20
acute care hospitals,pn-3b,325,21
acute care hospitals,pn-4,326,22
acute care hospitals,pn-5c,327,23
acute care hospitals,pn-6,328,24
acute care hospitals,pn-7,329,25
acute care hospitals,scip-card-2,330,0
acute care hospitals,hf-2,331,19
acute care hospitals,hf-3,332,17
acute care hospitals,hf-4,333,18
acute care hospitals,pn-2,334,20
acute care hospitals,pn-3b,335,21
acute care hospitals,pn-4,336,22
acute care hospitals,pn-5c,337,23
acute care hospitals,pn-6,338,24
acute care hospitals,pn-7,339,25
acute care hospitals,scip-card-2,340,0
acute care hospitals,scip-inf-1,341,1
acute care hospitals,scip-inf-2,342,2
acute care hospitals,scip-inf-3,343,3
acute care hospitals,scip-inf-4,344,4
acute care hospitals,scip-inf-6,345,5
acute care hospitals,scip-vte-1,346,6
acute care hospitals,scip-vte-2,347,7
acute care hospitals,ami-1,348,8
acute care hospitals,amix2,349,42
acute care hospitals,ami-3,350,10
acute care hospitals,ami-4,351,11
acute care hospitals,ami-5,352,12
acute care hospitals,scip-vte-2,353,7
acute care hospitals,ami-1,354,8
acute care hospitals,ami-2,355,9
acute care hospitals,ami-3,356,10
acute care hospitals,ami-4,357,11
acute care hospitals,ami-5,358,12
acute care hospitals,ami-7a,359,13
acute care hospitals,ami-8a,360,14
acute care hospitals,hf-1,361,15
acute care hospitals,hf-2,362,19
acute care hospitals,hf-3,363,17
acute care hospitals,hf-4,364,18
acute care hospitals,pn-2,365,20
acute care hospitals,pn-3b,366,21
acute care hospitals,pn-4,367,22
acute care hospitals,pn-5c,368,23
acute care hospitals,pn-6,369,24
acute care hospitals,pn-7,370,25
acute care hospitals,scip-card-2,371,0
acute care hospitals,scip-inf-1,372,1
acute care hospitals,scip-inf-2,373,2
acute care hospitals,scip-inf-3,374,3
acute care hospitals,scip-inf-4,375,4
acute care hospitals,scip-inf-6,376,5
acute care hospitals,scip-vte-1,377,6
acute care hospitals,scip-vte-2,378,7
acute care hospitals,ami-1,379,8
acute care hospitals,ami-2,380,9
acute care hospitals,ami-3,381,10
acute care hospitals,ami-4,382,11
acute care hospitals,ami-5,383,12
acute care hospitals,ami-7a,384,13
acute care hospitals,ami-8a,385,14
acute care hospitals,hf-1,386,15
acute care hospitals,hf-2,387,19
acute care hospitals,hf-3,388,17
acute care hospitals,hf-4,389,18
acute care hospitals,pn-2,390,20
acute care hospitals,pn-xb,391,43
acute care hospitals,ami-2,392,9
acute care hospitals,ami-3,393,10
acute care hospitals,ami-4,394,11
acute care hospitals,ami-5,395,12
acute care hospitals,ami-7a,396,13
acute care hospitals,ami-8a,397,14
acute care hospitals,hx-1,398,44
acute care hospitals,hf-2,399,19
acute care hospitals,hf-3,400,17
acute care hospitals,hf-4,401,18
acute care hospitals,pn-2,402,20
acute care hospitals,pn-3b,403,21
acute care hospitals,pn-4,404,22
acute care hospitals,pn-5c,405,23
acute care hospitals,pn-6,406,24
acute care hospitals,pn-7,407,25
acute care hospitals,scip-card-2,408,0
acute care hospitals,scipxinfx1,409,45
acute care hospitals,scip-inf-2,410,2
acute care hosxitals,scip-inf-3,411,46
acute care hospitals,scip-vte-1,412,6
acuxe care hospixals,scip-vte-2,413,39
acute care hospitals,ami-1,414,8
acute care hospitals,ami-2,415,9
acute care hospitals,ami-3,416,10
acute care hospitals,ami-4,417,11
acute care hospitals,ami-5,418,12
acute care hospitals,ami-7a,419,13
acute care hospitals,ami-8a,420,14
acute care hospitals,hf-1,421,15
acute care hospitals,hf-2,422,19
acute care hospitals,hf-3,423,17
acute care hospitals,hf-4,424,18
acute care hospitals,pn-2,425,20
acute care hospitals,pn-3b,426,21
acute care hospitals,pn-4,427,22
acute care hospitals,pn-5c,428,23
acute care hospitals,pn-6,429,24
acute care hospitals,pn-7,430,25
acute care hospitals,scip-card-2,431,0
acute care hospitals,hf-1,432,15
acute care hospitals,hf-2,433,19
acute care hospitals,hf-3,434,17
acute care hospitals,hf-4,435,18
acute care hospitals,pn-2,436,20
acute care hospitals,pn-3b,437,21
acute care hospitals,pn-4,438,22
acute care hospitals,pn-5c,439,23
acute care hospitals,pn-6,440,24
acute care hospitals,pn-7,441,25
acute care hospitals,scip-card-2,442,0
acute care hospitals,scip-inf-1,443,1
acute care hospitals,scip-inf-2,444,2
acute care hospitals,scip-inf-3,445,3
acute care hospitals,scip-inf-4,446,4
acute care hospitals,scip-inf-6,447,5
acute care hospitals,scip-vte-1,448,6
acute care hospitals,scip-vte-2,449,7
acute care hospitals,ami-1,450,8
acute care hospitals,ami-2,451,9
acute care hospitals,pn-2,452,20
acute care hospitaxs,pn-3b,453,47
acute care hospitals,pn-4,454,22
acute care hospitals,pn-5c,455,23
acute care hospitals,pn-6,456,24
acute care hospitals,pn-7,457,25
acute care hospitals,scip-card-2,458,0
acute care hospitals,scip-inf-1,459,1
acute care hospitals,scip-inf-2,460,2
acute care hospitals,scip-inf-3,461,3
acute care hospitals,scip-inf-4,462,4
acute care hospitals,scip-inf-6,463,5
acute care hospitals,sxip-vte-1,464,48
acute care hospitals,scip-vte-2,465,7
acute care hospitals,ami-1,466,8
acute care hospitals,ami-2,467,9
acute care hospitals,ami-3,468,10
acute care hospitals,ami-4,469,11
acute care hospitals,ami-5,470,12
acute care hospitals,ami-7a,471,13
acute care hospitals,ami-8a,472,14
acute care hospitals,hf-1,473,15
acute care hospitals,hf-2,474,19
acute care hospitals,hf-3,475,17
acute care hospitals,hf-4,476,18
acute care hospitals,pn-2,477,20
acute care hospitals,pn-3b,478,21
acute care hospitals,pn-4,479,22
acute care hospitals,pn-5c,480,23
acute care hospitals,pn-6,481,24
acute care hospitals,pn-7,482,25
acute care hospitals,scip-card-2,483,0
acute care hospitals,scip-inf-1,484,1
acute care hospitals,scip-inf-2,485,2
acute care hospitals,scip-inf-3,486,3
acute care hospitals,scip-inf-4,487,4
acute care hospitals,scip-inf-6,488,5
acute care hospitals,scip-vte-1,489,6
acute caxe hospitals,scip-vte-2,490,49
acute care hospitals,ami-1,491,8
acute care hospitals,ami-2,492,9
acute care hxspitals,ami-3,493,50
acute care hospitals,ami-4,494,11
acute care hospitals,ami-x,495,51
acute care hospitals,ami-7a,496,13
acutx carx hospitals,ami-8a,497,52
acute care hospitals,hf-1,498,15
acute care hospitals,hf-2,499,19
acute care hospitals,hf-3,500,17
acute care hospitals,hf-4,501,18
acute care hospitals,pn-2,502,20
acute care hospitals,pn-3b,503,21
acute care hospitals,pn-4,504,22
acute care hospitals,pn-5c,505,23
acute care hospitals,pn-6,506,24
acute care hospitals,pn-7,507,25
acute care hospitals,scip-card-2,508,0
acute care hospitals,scip-inf-1,509,1
acute care hospitals,scip-inf-2,510,2
acuxe care hospixals,scip-inf-3,511,53
acute care hospitals,scip-inf-4,512,4
acute care hospitals,scip-inf-6,513,5
acute care hospitals,scip-vte-1,514,6
acute care hospitals,scip-vte-2,515,7
acute care hospitals,ami-1,516,8
acute care hospitals,ami-2,517,9
acute care hospitals,ami-3,518,10
acute care hospitals,ami-4,519,11
acute care hospitals,ami-5,520,12
acute care hospitals,ami-7a,521,13
acute care hospitals,ami-8a,522,14
acute care hospitals,hf-1,523,15
acute care hospitals,hf-2,524,19
acute care hospitals,hf-3,525,17
acute care hospitals,hf-4,526,18
acute care hospitals,pn-2,527,20
acute care hospitals,pn-3b,528,21
acute care hospitals,pn-4,529,22
acute care hospitals,pn-5c,530,23
acute care hospitals,pn-6,531,24
acute care hosxitals,pn-7,532,54
acute care hospitals,scip-card-2,533,0
acute care hospitals,scip-inf-1,534,1
acute care hospitals,scip-inf-2,535,2
acute care hospitals,scip-inf-3,536,3
acute care hospitals,scip-inf-4,537,4
acute care hospitals,scip-inf-6,538,5
acute care hospitals,scip-vte-1,539,6
acute care hospitals,scip-vte-2,540,7
acute care hospitals,ami-1,541,8
acute care hospitals,ami-2,542,9
acute care hospitals,ami-3,543,10
acute care hospitals,ami-4,544,11
acute care hospitals,ami-5,545,12
acute care hospitals,ami-7a,546,13
acute care hospitals,ami-8a,547,14
acute care hospitals,hf-1,548,15
acute care hospitals,hf-2,549,19
acute care hospitals,hf-3,550,17
acute care hospitals,hf-4,551,18
acute care hospitals,pn-2,552,20
acute care hospitals,pn-3b,553,21
acute care hospitals,pn-4,554,22
acute care hospitals,pn-5c,555,23
acute care hospitals,pn-6,556,24
acute care hospitals,pn-7,557,25
acute care hospitals,scip-card-2,558,0
acute care hospitals,scip-inf-1,559,1
acute care hospitals,scip-inf-2,560,2
acute care hospitals,scip-inf-3,561,3
acute care hospitals,scip-inf-4,562,4
acute care hospitals,scip-inf-6,563,5
acute care hospitals,scip-vte-1,564,6
acute care hospitals,scip-vte-2,565,7
acute care hospitals,ami-1,566,8
acute care hospitals,ami-2,567,9
acute care hospitals,ami-3,568,10
acute care hospitals,ami-4,569,11
acute care hospitals,ami-5,570,12
acute care hospitals,ami-7a,571,13
acute care hospitals,ami-8a,572,14
acute care hospitals,hf-1,573,15
acute care hospitals,hf-2,574,19
acute care hospitals,hf-3,575,17
acute care hospitals,hf-4,576,18
acute care hospitals,pn-2,577,20
acute care hospitals,pn-3b,578,21
acute care hospitals,pn-4,579,22
acute care hospitals,px-5c,580,55
acute care hospitals,pn-6,581,24
acute care hospitals,pn-7,582,25
acute care hospitals,scip-card-2,583,0
acute care hospitals,scip-inf-1,584,1
acute care hospitals,scip-inf-2,585,2
acute care hospitals,scip-inf-3,586,3
acute care hospitals,scip-inf-4,587,4
acuxe care hospixals,scip-inf-6,588,37
acute care hospitals,scip-vte-1,589,6
acute care hospitals,scip-vte-2,590,7
acute care hospitals,ami-1,591,8
acute care hospitals,ami-2,592,9
acute care hospitals,ami-3,593,10
acute care hospitals,ami-4,594,11
acute care hospitals,ami-5,595,12
acute care hospitals,ami-7a,596,13
acute care hospitals,ami-8a,597,14
acute care hospitals,hf-1,598,15
acute care hospitals,hf-2,599,19
acute care hospitals,hf-3,600,17
acute care hospitals,hf-4,601,18
acute care hospitals,pn-2,602,20
acute care hospitals,pn-3b,603,21
acute care hospitals,pn-4,604,22
acute care hospitals,pn-5c,605,23
acute care hospitals,pn-6,606,24
acute care hospitals,pn-7,607,25
acute care hospitals,scip-card-2,608,0
acute care hospitals,scip-inf-1,609,1
acute care hospitals,scip-inf-2,610,2
acute care hospitals,scip-inf-3,611,3
acute care hospitals,scip-inf-4,612,4
acute care hospitals,scip-inf-6,613,5
acute care hospitals,scip-vte-1,614,6
acute care hospitals,scip-vte-2,615,7
acute care hospitals,ami-1,616,8
acute care hospitals,ami-2,617,9
acute care hospitals,ami-3,618,10
acute care hospitals,ami-4,619,11
acute care hospitals,ami-5,620,12
acute care hospitals,ami-7a,621,13
acute care hospitals,ami-8a,622,14
acute care hospitals,hf-1,623,15
acute care hospitals,hf-2,624,19
acute care hospitals,hf-3,625,17
acute care hospitals,hf-4,626,18
acute care hospitals,pn-2,627,20
acute care hospitals,pn-3b,628,21
acute care hospitals,pn-4,629,22
acute care hospitals,pn-5c,630,23
acute care hospitals,pn-6,631,24
acute care hospitals,pn-7,632,25
acute care hospitals,scip-card-2,633,0
acuxe care hospixals,scip-inf-1,634,56
acute care hospitals,scip-inf-2,635,2
acute care hospitals,scip-inf-3,636,3
acute care hospitals,scip-inf-4,637,4
acute care hospitals,scip-inf-6,638,5
acute care hospitals,scip-vtx-1,639,57
acute care hospitals,scip-vte-2,640,7
acute care hospitals,ami-1,641,8
acute care hospitals,ami-2,642,9
acute care hospitals,ami-3,643,10
acute care hospitals,ami-4,644,11
acute care hospitals,ami-5,645,12
acute care hospitals,ami-7a,646,13
acute care hospitals,ami-8a,647,14
acute care hospitals,hfx1,648,29
acute care hospitals,hf-2,649,19
acute care hospitals,hf-3,650,17
acute care hospitals,hf-4,651,18
acute care hospitals,pn-2,652,20
acute care hospitals,pn-3b,653,21
acute care hospitals,pn-4,654,22
acute care hospitals,pn-5c,655,23
acute care hospitals,pn-6,656,24
acute care hospitals,pn-7,657,25
acute care hospitals,scip-card-2,658,0
acute care hospitals,scip-inf-1,659,1
acute care hospitals,scip-inf-2,660,2
acute care hospitals,scip-inf-3,661,3
acute care hospitals,scip-inf-4,662,4
acute care hospitals,scip-inf-6,663,5
acute care hospitals,scip-vte-1,664,6
acute care hospitals,scip-vte-2,665,7
acute care hospitals,ami-1,666,8
acute care hospitals,ami-2,667,9
acute care hospitals,ami-3,668,10
acute care hospitals,ami-4,669,11
acute care hospitals,ami-5,670,12
acute care hospitals,ami-7a,671,13
acute care hospitals,ami-8a,672,14
acute care hospitals,xf-1,673,58
acute care hospitals,hf-2,674,19
acute care hospitals,hf-3,675,17
acute care hospitals,hfx4,676,59
acute care hospitals,pn-2,677,20
acute care hospitals,pn-3b,678,21
acute care hospitals,pn-4,679,22
acute care hospitals,pn-5c,680,23
acute care hospitals,pn-6,681,24
acute care hospitals,pn-7,682,25
acute care hospitals,scip-card-2,683,0
acute care hospitals,scip-inf-1,684,1
acute care hospitals,scip-inf-2,685,2
acute care hospitals,scip-inf-3,686,3
acute care hospitals,scip-inf-4,687,4
acute care hospitals,scip-inf-6,688,5
acute care hospitals,scip-vte-1,689,6
acute care hospitals,scip-vte-2,690,7
acute care hospitals,amix1,691,60
acute care hospitals,ami-2,692,9
acute care hospitals,ami-3,693,10
acute care hospitals,amx-4,694,61
acute cxre hospitxls,ami-5,695,62
acute care hospitals,ami-7a,696,13
acute care hospitals,ami-8a,697,14
acute care hospitals,hf-1,698,15
acute care hospitals,hf-2,699,19
acute care hospitals,hf-3,700,17
acute care hospitals,hf-4,701,18
acute care hospitals,pn-2,702,20
acute care hospitals,pn-3b,703,21
acute care hospitals,pn-4,704,22
acutexcarexhospitals,pn-5c,705,63
acute care hospitals,pn-6,706,24
acute care hospitals,pn-7,707,25
acute care hospitals,scip-card-2,708,0
acute care hospitals,scip-inf-1,709,1
acute care hospitals,scip-inf-2,710,2
acute care hospitals,scip-inf-3,711,3
acute care hospitals,scip-inf-4,712,4
acute care hospitals,scip-inf-6,713,5
acute care hospitals,scip-vte-1,714,6
acute care hospitals,scip-vte-2,715,7
acute care hospitals,ami-1,716,8
acute care hospitals,ami-2,717,9
acute care hospitals,amx-3,718,64
acute care hospitals,ami-4,719,11
acute care hospitals,ami-5,720,12
acute care hospitals,ami-7a,721,13
acute care hospitals,ami-8a,722,14
acute care hospitals,hf-1,723,15
acute care hospitals,hf-2,724,19
acute care hospitals,hf-3,725,17
acute care hospitals,hf-4,726,18
acute care hospitals,pn-2,727,20
acute care hospitals,pn-3b,728,21
acutexcarexhospitals,px-4,729,65
acute care hospitals,pn-5c,730,23
acute care hospitals,pn-6,731,24
acute care hospitals,pn-7,732,25
acute care hospitals,scip-card-2,733,0
acute care hospitals,scip-inf-1,734,1
acute care hospitals,scix-inf-2,735,66
acute care hospitals,scip-inf-3,736,3
acute care hospitals,scip-inf-4,737,4
acute care hospitals,scip-inf-6,738,5
acute care hospitals,scip-vte-1,739,6
acute care hospitals,scip-vte-2,740,7
acute care hospitals,ami-1,741,8
acute care hospitals,ami-2,742,9
acute care hospitals,ami-3,743,10
acute care hospitals,ami-4,744,11
acute care hospitals,ami-5,745,12
acute care hospitals,ami-7a,746,13
acute care hospitals,ami-8a,747,14
acute care hospitals,hf-1,748,15
acute care hospitals,hx-2,749,67
acute care hospitals,hf-3,750,17
acute care hospitals,hf-4,751,18
acute care hospitals,pn-2,752,20
acute care hospitals,pn-3b,753,21
acute care hospitals,pn-4,754,22
acute care hospitals,pn-5c,755,23
acute care hospitals,pn-6,756,24
acute care hospitals,pn-7,757,25
acute care hospitals,scip-card-2,758,0
acute care hospitals,scip-inf-1,759,1
acute care hospitals,scip-inf-2,760,2
acute care hospitals,scip-inf-3,761,3
acute care hospitals,scip-inf-4,762,4
acute care hospitals,scip-inf-6,763,5
acute care hospitals,scip-vte-1,764,6
acute care hospitals,scip-vte-2,765,7
acute care hospitals,cac-1,766,68
acute care hospitals,scip-inf-1,767,1
acute care hospitals,scip-inf-2,768,2
acute care hospitals,scip-inf-3,769,3
acute care hospitals,scip-inf-4,770,4
