City,Stateavg,original_index,unique_index
luverne,al_ami-3,121,121
luverne,al_ami-4,122,122
luverne,al_ami-5,123,123
luverne,al_ami-7a,124,124
luverne,al_ami-8a,125,125
luverne,al_hf-1,126,126
luverne,al_hf-2,127,127
luverne,al_hf-3,128,128
luverne,al_hf-4,129,129
luverne,al_pn-2,130,130
luverne,al_pn-3b,131,131
luverne,al_pn-4,132,132
luverne,al_pn-5c,133,133
luverne,al_pn-6,134,134
luverne,al_pn-7,135,135
luverne,al_scip-card-2,136,136
luverne,al_scip-inf-1,137,137
luverne,al_scip-inf-2,138,138
luverne,al_scip-inf-3,139,139
luverne,al_scip-inf-4,140,140
luverne,al_scip-inf-6,141,141
luverne,al_scip-vte-1,142,142
luverne,al_scip-vte-2,143,143
hartselle,al_ami-1,144,144
hartselle,al_ami-2,145,145
hartselle,al_ami-3,146,146
hartselle,al_ami-4,147,147
hartselle,al_ami-5,148,148
hartselle,al_ami-7a,149,149
hartselle,al_ami-8a,150,150
hartselle,al_hf-1,151,151
hartselle,al_hf-2,152,152
hartselle,al_hf-3,153,153
hartselle,al_hf-4,154,154
hartselle,al_pn-2,155,155
hartselle,al_pn-3b,156,156
hartselle,al_pn-4,157,157
hartselle,al_pn-5c,158,158
hartselle,al_pn-6,159,159
hartselle,al_pn-7,160,160
hartselle,al_scip-card-2,161,161
hartselle,al_scip-inf-1,162,162
hartselle,al_scip-inf-2,163,163
hartselle,al_scip-inf-3,164,164
hartselle,al_scip-inf-4,165,165
hartselle,al_scip-inf-6,166,166
hartselle,al_scip-vte-1,167,167
hartselle,al_scip-vte-2,168,168
guntersville,al_ami-1,169,169
guntersville,al_ami-2,170,170
guntersville,al_ami-3,171,171
guntersville,al_ami-4,172,172
guntersville,al_ami-5,173,173
guntersville,al_ami-7a,174,174
guntersville,al_ami-8a,175,175
guntersville,al_hf-1,176,176
guntersville,al_hf-2,177,177
guntersville,al_hf-3,178,178
guntersville,al_hf-4,179,179
guntxrsvillx,al_pn-2,180,180
guntersville,al_pn-3b,181,181
guntersville,al_pn-4,182,182
guntersville,al_pn-5c,183,183
guntersville,al_pn-6,184,184
guntersville,al_pn-7,185,185
guntersville,al_scip-card-2,186,186
guntersville,al_scip-inf-1,187,187
guntersville,al_scip-inf-2,188,188
guntersville,al_scip-inf-3,189,189
guntersville,al_scip-inf-4,190,190
guntersville,al_scip-inf-6,191,191
guntersville,al_scip-vte-1,192,192
guntersville,al_scix-vte-2,193,193
birmingham,al_ami-1,194,194
birmingham,al_ami-2,195,195
birmingham,al_ami-3,196,196
birmingham,al_ami-4,197,197
birmingham,al_ami-5,198,198
birmingham,al_ami-7a,199,199
birmingham,al_ami-8a,200,200
birmingham,al_hf-1,201,201
birmingham,al_hf-2,202,202
birmingham,al_hf-3,203,203
birmingham,al_hf-4,204,204
birmingham,al_pn-2,205,205
birmingham,al_pn-3b,206,206
birmixgham,al_pn-4,207,207
birmingham,al_pn-5c,208,208
birmingham,al_pn-6,209,209
birmingham,al_pn-7,210,210
birmingham,al_scip-card-2,211,0
bxrmxngham,al_scip-inf-1,212,211
birmingham,al_sxip-inf-2,213,212
birmingham,al_scip-inf-3,214,213
birmingham,al_scip-inf-4,215,4
birmingham,al_scip-inf-6,216,5
birmingham,al_scip-vte-1,217,6
birmingham,al_scip-vte-2,218,214
fort payne,al_ami-1,219,215
fort payne,al_ami-2,220,216
fort payne,al_ami-3,221,217
fort payne,al_ami-4,222,218
fort payne,al_ami-5,223,219
fort payne,al_ami-7a,224,220
fort payne,al_ami-8a,225,221
fort payne,al_hf-1,226,222
fort payne,al_hf-2,227,223
fort payxe,al_hf-3,228,224
fort payne,al_hf-4,229,225
fort payne,al_pn-2,230,226
fort payne,al_pn-3b,231,227
fort payne,al_pn-4,232,228
fort payne,al_pn-5c,233,229
fort payne,al_pn-6,234,230
fort payne,al_pn-7,235,231
fort payne,al_scip-card-2,236,232
fort payne,al_scip-inf-1,237,233
fort payne,al_scip-inf-2,238,234
fort payne,al_scip-inf-3,239,235
fort payne,al_scip-inf-4,240,236
fort payne,al_scip-inf-6,241,237
fort payne,al_scip-vte-1,242,238
fort payne,al_scip-vte-2,243,239
thomasville,ax_ami-1,244,240
thomasville,al_ami-2,245,241
thomasville,al_ami-3,246,242
thomasville,al_ami-4,247,243
thomasville,xl_xmi-5,248,244
thomasville,al_ami-7a,249,245
thomasville,al_ami-8a,250,246
thomasville,al_hf-1,251,247
thomasville,al_hf-2,252,248
thomasville,al_hf-3,253,249
thomasville,al_hf-4,254,250
thomasville,al_pn-2,255,251
thomasville,al_pn-3b,256,252
thomasville,al_pn-4,257,253
thomasville,al_pn-5c,258,254
thomasville,al_pn-6,259,255
thomasville,al_pn-7,260,256
thomasville,al_scip-card-2,261,257
thomasville,al_scip-inf-1,262,258
thomasville,al_scip-inf-2,263,259
thomasville,al_scip-inf-3,264,260
thomasville,al_scip-inf-4,265,261
thomasville,al_scip-inf-6,266,262
thomasville,al_scip-vte-1,267,263
thomasville,al_scip-vte-2,268,264
alabaster,al_axi-1,269,265
alabaster,al_ami-2,270,266
alabaster,al_ami-3,271,267
alabaster,al_ami-4,272,268
alabaster,al_ami-5,273,269
alabaster,al_ami-7a,274,270
alabaster,al_ami-8a,275,271
alabaster,al_hf-1,276,272
alabaster,al_hf-2,277,273
alabaster,al_hf-3,278,274
alabaster,al_hf-4,279,275
alabaster,al_pn-2,280,276
alabaster,al_pn-3b,281,277
alabaster,al_pn-4,282,278
alabaster,al_pn-5c,283,279
alabaster,al_pn-6,284,280
alabaster,al_pn-7,285,281
alabaster,al_scip-card-2,286,282
alabaster,al_scip-inf-1,287,283
alabaster,al_scip-inf-2,288,284
alabaster,al_scip-inf-3,289,285
alabaster,al_scip-inf-4,290,286
alabaster,al_scip-inf-6,291,287
alabaster,al_scip-vte-1,292,288
alabaster,al_scip-vte-2,293,289
birmingham,al_ami-1,294,194
birmingham,al_ami-2,295,195
birmingham,al_ami-3,296,196
birmingham,al_ami-4,297,197
birmingham,al_ami-5,298,198
birmingham,al_ami-7a,299,199
birmingham,al_ami-8a,300,200
birmingham,al_hf-1,301,201
birmingham,al_hf-2,302,202
birmingham,al_hf-3,303,203
birmingham,al_hf-4,304,204
birmingham,al_pn-2,305,205
birmingham,al_pn-3b,306,206
birmingham,al_pn-4,307,290
birmingham,al_pn-5c,308,208
birmingham,al_pn-6,309,209
birmingham,al_pn-7,310,210
axxistox,al_cac-2,311,291
anniston,al_cac-3,312,292
anniston,al_ami-1,313,293
anniston,al_ami-2,314,294
anniston,al_ami-3,315,295
anniston,al_ami-4,316,296
anniston,al_ami-5,317,297
anniston,al_ami-7a,318,298
anniston,al_ami-8a,319,299
anniston,al_hf-1,320,300
anniston,al_hf-2,321,301
anniston,al_hf-3,322,302
anniston,al_hf-4,323,303
anniston,al_pn-2,324,304
anniston,al_pn-3b,325,305
anniston,al_pn-4,326,306
anniston,al_pn-5c,327,307
anniston,al_pn-6,328,308
anniston,al_pn-7,329,309
anniston,al_scip-card-2,330,310
dothan,al_hf-2,331,27
dothan,al_hf-3,332,28
dothan,al_hf-4,333,29
dothan,al_pnx2,334,311
dothan,al_pn-3b,335,31
dothan,al_pn-4,336,32
dothan,al_pn-5c,337,33
dothan,al_pn-6,338,34
dothan,al_pn-7,339,35
dothan,al_scip-card-2,340,36
dothan,al_scip-inf-1,341,37
dothan,al_scip-inf-2,342,38
dothan,al_scip-inf-3,343,39
dothan,al_scip-inf-4,344,40
dothan,al_scip-inf-6,345,41
dothan,al_scip-vte-1,346,42
dothan,al_scipxvtex2,347,312
birmingham,al_ami-1,348,194
birmingham,al_ami-2,349,195
birmingham,al_ami-3,350,196
birmingham,al_ami-4,351,197
birmingham,al_ami-5,352,198
decatur,al_scip-vte-2,353,313
winfield,al_ami-1,354,314
winfield,al_ami-2,355,315
winfield,al_ami-3,356,316
winfield,al_ami-4,357,317
winfield,al_ami-5,358,318
winfield,al_ami-7a,359,319
winfield,al_ami-8a,360,320
winfield,al_hf-1,361,321
winfield,al_hf-2,362,322
winfield,al_hf-3,363,323
winfield,al_hf-4,364,324
winfield,al_pn-2,365,325
winfield,al_pn-3b,366,326
winfielx,al_pn-4,367,327
winfield,al_pn-5c,368,328
winfield,al_pn-6,369,329
winfield,alxpn-7,370,330
winfield,al_scip-card-2,371,331
winfield,al_scip-inf-1,372,332
winfield,al_sxip-inf-2,373,333
winfield,al_scip-inf-3,374,334
winfield,al_scip-inf-4,375,335
winfield,al_scip-inf-6,376,336
winfield,al_scip-vte-1,377,337
winfield,al_scip-vte-2,378,338
mobile,al_ami-1,379,339
mobile,al_ami-2,380,340
mobile,al_ami-3,381,341
mobile,al_ami-4,382,342
mobile,al_ami-5,383,343
mobile,al_ami-7a,384,344
mobile,al_ami-8a,385,345
mobile,al_hf-1,386,346
mobile,al_hx-2,387,347
mobile,al_hf-3,388,348
mobile,al_hf-4,389,349
mobile,al_pn-2,390,350
mobile,al_pn-3b,391,351
prattville,al_ami-2,392,352
prattville,al_ami-3,393,353
prattville,al_ami-4,394,354
prattville,al_ami-5,395,355
prattville,al_ami-7a,396,356
prattville,al_ami-8a,397,357
prattville,al_hf-1,398,358
prattville,al_hf-2,399,359
prattville,al_hf-3,400,360
prattville,al_hf-4,401,361
prattville,al_pn-2,402,362
prattville,al_pn-3b,403,363
prattville,al_pn-4,404,364
prattville,al_pn-5c,405,365
prattville,al_pn-6,406,366
prattville,al_pn-7,407,367
prattville,al_scip-card-2,408,368
prattville,al_scip-inf-1,409,369
prattville,al_scip-inf-2,410,370
prattville,al_scip-inf-3,411,371
russellville,al_scip-vte-1,412,372
russellville,al_scip-vte-2,413,373
sylacauga,al_ami-1,414,374
sylacauga,al_ami-2,415,375
sylacauga,al_ami-3,416,376
sylacauga,al_ami-4,417,377
sylacauga,al_ami-5,418,378
sylacauga,al_ami-7a,419,379
sylacauga,al_ami-8a,420,380
sylacauga,al_hf-1,421,381
sylacauga,al_hf-2,422,382
sylacauga,al_hf-3,423,383
sylacauga,al_hf-4,424,384
sylacauga,al_pn-2,425,385
sylacauga,al_pn-3b,426,386
sylacauga,al_pn-4,427,387
sylacauga,al_pn-5c,428,388
sylacauga,al_pn-6,429,389
sylacauga,al_pn-7,430,390
sylacauga,al_scip-card-2,431,391
anchorage,ak_hf-1,432,392
anchorage,ak_hf-2,433,393
anchorage,ak_hf-3,434,394
anchorage,ak_hf-4,435,395
anchorage,ak_pn-2,436,396
anchoraxe,ak_pn-3b,437,397
anchorage,ak_pn-4,438,398
anchorage,ak_pn-5c,439,399
anchorage,ak_pn-6,440,400
anchorage,ak_pn-7,441,401
anchorage,ak_scip-card-2,442,402
anchorage,ak_scip-inf-1,443,403
anchorage,ak_scip-inf-2,444,404
anchorage,ak_scip-inf-3,445,405
anchorage,ak_scip-inf-4,446,406
anchorage,ak_scip-inf-6,447,407
anchorage,ak_scip-vte-1,448,408
anchorage,ak_scip-vte-2,449,409
bethel,ak_ami-1,450,410
bethel,ak_ami-2,451,411
sheffield,al_pn-2,452,412
sheffield,al_pn-3b,453,413
sheffield,al_pn-4,454,414
sheffield,al_pn-5c,455,415
sheffield,al_pn-6,456,416
sheffield,al_pn-7,457,417
sheffield,al_scip-card-2,458,418
sheffield,al_scip-inf-1,459,419
sheffield,al_scip-inf-2,460,420
sheffield,al_scip-inf-3,461,421
sheffield,al_scip-inf-4,462,422
sheffield,al_scip-inf-6,463,423
sheffield,al_scip-vte-1,464,424
sheffield,al_scip-vte-2,465,425
ozark,al_ami-1,466,426
ozark,al_ami-2,467,427
ozark,al_ami-3,468,428
ozark,al_ami-4,469,429
ozark,al_ami-5,470,430
ozark,al_ami-7a,471,431
ozark,al_ami-8a,472,432
ozark,al_hf-1,473,433
ozarx,al_hf-2,474,434
ozark,al_hf-3,475,435
ozark,al_hf-4,476,436
ozark,ax_pn-2,477,437
ozark,al_pn-3b,478,438
ozark,al_pn-4,479,439
ozark,al_pn-5c,480,440
ozark,al_pn-6,481,441
ozark,al_pn-7,482,442
ozark,al_scip-card-2,483,443
ozark,al_scip-inf-1,484,444
xzark,al_scip-inf-2,485,445
ozark,al_scip-inf-3,486,446
ozark,al_scip-inf-4,487,447
ozark,al_scip-inf-6,488,448
ozark,al_scip-vte-1,489,449
ozark,al_scip-vte-2,490,450
centre,al_ami-1,491,451
centre,al_ami-2,492,452
centre,al_ami-3,493,453
centre,al_ami-4,494,454
centre,al_ami-5,495,455
centre,al_ami-7a,496,456
centre,al_ami-8a,497,457
centre,al_hf-1,498,458
centre,al_hf-2,499,459
centre,al_hf-3,500,460
centre,al_hf-4,501,461
centre,al_pn-2,502,462
centre,al_pn-3b,503,463
centre,al_pn-4,504,464
centre,al_pn-5c,505,465
centre,al_pn-6,506,466
centre,al_pn-7,507,467
centre,al_scip-card-2,508,468
centre,al_scip-inf-1,509,469
centre,al_scip-inf-2,510,470
centre,al_scip-inf-3,511,471
centre,al_scip-inf-4,512,472
centre,al_scip-inf-6,513,473
centre,al_scip-vte-1,514,474
centre,al_scip-vte-2,515,475
montgomery,al_ami-1,516,476
montxomery,al_ami-2,517,477
montgomery,al_ami-3,518,478
montgomery,al_ami-4,519,479
montgomery,al_ami-5,520,480
montgomery,al_ami-7a,521,481
montgomery,al_ami-8a,522,482
montgomery,al_hf-1,523,483
montgomery,al_hf-2,524,484
montgomery,al_hf-3,525,485
montgomery,al_hf-4,526,486
montgomery,al_pn-2,527,487
montgomery,al_pn-3b,528,488
montgomery,al_pn-4,529,489
montgomery,al_pn-5c,530,490
montgomery,al_pn-6,531,491
montgomery,al_pn-7,532,492
montgomery,al_scip-card-2,533,493
montgomery,al_scip-inf-1,534,494
montgomery,al_scip-inf-2,535,495
montgomery,al_scip-inf-3,536,496
montgomery,al_scip-inf-4,537,497
montgomery,al_scip-inf-6,538,498
montgomery,al_scip-vte-1,539,499
montgomery,al_scip-vte-2,540,500
montgomery,al_ami-1,541,476
montgomery,al_ami-2,542,501
montgomery,al_ami-3,543,478
montgomery,al_ami-4,544,479
montgomery,al_ami-5,545,480
montgomery,al_ami-7a,546,481
montgomery,al_ami-8a,547,482
montgomery,al_hf-1,548,483
montgomery,al_hf-2,549,484
montgomery,al_hf-3,550,485
montgomery,al_hf-4,551,486
montgomery,al_pn-2,552,487
montgomery,al_pn-3b,553,488
montgomery,al_pn-4,554,489
montgomery,al_pn-5x,555,502
montgomery,al_pn-6,556,491
montgomery,al_pn-7,557,492
montgomery,al_scip-card-2,558,493
montgomery,al_scip-inf-1,559,494
montgomery,al_scip-inf-2,560,495
montgomery,al_scip-inf-3,561,496
montgomery,al_scip-inf-4,562,497
montgomery,al_scip-inf-6,563,498
montgomery,al_scipxvtex1,564,503
montgomery,al_scip-vte-2,565,500
valley,al_ami-1,566,504
valley,xl_xmi-2,567,505
valley,al_ami-3,568,506
valley,al_ami-4,569,507
valley,al_ami-5,570,508
valley,al_ami-7a,571,509
valley,al_ami-8a,572,510
valley,al_hf-1,573,511
valley,al_hf-2,574,512
valley,al_hf-3,575,513
valley,al_hf-4,576,514
valley,al_pn-2,577,515
vallex,al_pn-3b,578,516
valley,al_pn-4,579,517
valley,al_pn-5c,580,518
valley,al_pn-6,581,519
valley,al_pn-7,582,520
valley,al_scip-card-2,583,521
valley,al_scip-inf-1,584,522
valley,al_scip-inf-2,585,523
valley,al_scip-inf-3,586,524
valley,al_scip-inf-4,587,525
valley,al_scip-inf-6,588,526
valley,al_scip-vte-1,589,527
vxlley,al_scip-vte-2,590,528
elba,al_ami-1,591,529
elba,al_ami-2,592,530
elba,al_ami-3,593,531
elba,al_ami-4,594,532
elba,al_ami-5,595,533
elba,al_ami-7a,596,534
elba,al_ami-8a,597,535
elba,al_hf-1,598,536
elba,al_hf-2,599,537
elba,al_hf-3,600,538
exba,al_hf-4,601,539
elba,al_pn-2,602,540
elba,al_pn-3b,603,541
elba,al_pn-4,604,542
elba,al_pn-5c,605,543
elba,al_pn-6,606,544
elba,al_pn-7,607,545
elba,al_scip-card-2,608,546
elba,al_scip-inf-1,609,547
elba,al_scip-inf-2,610,548
elba,al_scip-inf-3,611,549
elba,al_scip-inf-4,612,550
elba,al_scip-inf-6,613,551
elba,al_scip-vte-1,614,552
elba,al_scip-vte-2,615,553
opelika,al_ami-1,616,554
opelika,al_ami-2,617,555
opelika,al_ami-3,618,556
opelika,al_ami-4,619,557
opelika,al_ami-5,620,558
opelika,al_ami-7a,621,559
opelika,al_amix8a,622,560
opelika,al_hf-1,623,561
opelika,al_hf-2,624,562
opelika,al_hf-3,625,563
opelika,al_hf-4,626,564
opelika,al_pn-2,627,565
opelika,al_pn-3b,628,566
opelika,al_pn-4,629,567
opelika,al_pn-5c,630,568
opelika,al_pn-6,631,569
opelika,al_pn-7,632,570
opelika,al_scip-card-2,633,571
opelika,al_scip-inf-1,634,572
opelika,al_scip-inf-2,635,573
opelika,al_scip-inf-3,636,574
opelika,al_scip-inf-4,637,575
opelika,al_scip-inf-6,638,576
opelika,al_scip-vte-1,639,577
opelika,al_scip-vte-2,640,578
wedowee,al_ami-1,641,579
wedowee,al_ami-2,642,580
wedowee,al_ami-3,643,581
wedowee,al_ami-4,644,582
wedowee,al_ami-5,645,583
wedowee,alxami-7a,646,584
wedowee,al_ami-8a,647,585
wedowee,al_hf-1,648,586
wedowee,al_hf-2,649,587
wedowee,al_hf-3,650,588
wedowee,al_hf-4,651,589
wedowee,al_pn-2,652,590
wedowee,al_pn-3b,653,591
wxdowxx,al_pn-4,654,592
wedowee,al_pn-5c,655,593
wedowee,al_pn-6,656,594
wedowee,al_pn-7,657,595
wedowee,al_scip-card-2,658,596
wedowee,al_scip-inf-1,659,597
wedowee,al_scip-inf-2,660,598
wedowee,al_scip-inf-3,661,599
wedowee,al_scip-inf-4,662,600
wedowee,al_scip-inf-6,663,601
wedowee,al_scip-vte-1,664,602
wedowee,al_scip-vte-2,665,603
birmingham,al_ami-1,666,194
birmingham,al_ami-2,667,195
birmingham,al_ami-3,668,196
birmingham,al_ami-4,669,197
birmingham,al_ami-5,670,198
birmingham,al_ami-7a,671,199
birmingham,al_ami-8a,672,200
birmingham,al_hf-1,673,201
birmingham,al_hf-2,674,202
birmingham,al_hf-3,675,203
birmingham,al_hf-4,676,204
birmingham,al_pn-2,677,205
birmingham,alxpn-3b,678,604
birmingham,al_pn-4,679,290
birmingham,al_pn-5c,680,208
birmingham,al_pn-6,681,209
birmingham,al_pn-7,682,210
birmingham,al_scip-card-2,683,0
birmingham,al_scip-inf-1,684,1
birmingham,al_scip-inf-2,685,2
birmingham,al_scip-inf-3,686,213
birmingham,al_scip-inf-4,687,4
birmingham,al_scip-inf-6,688,5
birmingham,al_scip-vte-1,689,6
birminxham,al_scip-vte-2,690,605
tallassee,al_ami-1,691,606
tallassee,al_ami-2,692,607
tallassee,al_ami-3,693,608
tallassee,al_ami-4,694,609
tallassee,al_ami-5,695,610
tallaxxee,al_ami-7a,696,611
tallassee,al_ami-8a,697,612
tallassee,al_hf-1,698,613
tallassee,al_hf-2,699,614
tallassee,al_hf-3,700,615
tallassee,al_hf-4,701,616
tallassee,al_pn-2,702,617
tallassee,al_pn-3b,703,618
tallassee,al_pn-4,704,619
tallassee,al_pn-5c,705,620
tallassee,al_pn-6,706,621
tallassee,al_pn-7,707,622
tallassee,al_scip-card-2,708,623
tallassee,al_scip-inf-1,709,624
tallassee,al_scip-inf-2,710,625
tallassee,al_scip-inf-3,711,626
tallassee,al_scip-inf-4,712,627
tallassee,al_scip-inf-6,713,628
tallassee,al_scip-vte-1,714,629
tallassee,al_scip-vte-2,715,630
cullman,al_ami-1,716,631
cullman,al_ami-2,717,632
cullman,al_ami-3,718,633
cullman,al_ami-4,719,634
cullman,al_ami-5,720,635
cullman,al_amx-7a,721,636
cullman,al_ami-8a,722,637
cullman,al_hf-1,723,638
cullman,al_hf-2,724,639
cullman,al_hf-3,725,640
cullman,al_hf-4,726,641
cullman,al_pn-2,727,642
cullman,al_pn-3b,728,643
cullman,al_pn-4,729,644
cullman,al_pn-5c,730,645
cullman,al_pn-6,731,646
cullman,al_pn-7,732,647
cullman,al_scip-card-2,733,648
cullman,al_scip-inf-1,734,649
cullman,al_scip-inf-2,735,650
cuxxman,al_scip-inf-3,736,651
cullman,al_scip-inf-4,737,652
cullman,al_scip-inf-6,738,653
cullman,al_scip-vte-1,739,654
cullman,al_scip-vte-2,740,655
andalusia,al_ami-1,741,656
andalusia,al_ami-2,742,657
andalusia,al_ami-3,743,658
andalusia,al_ami-4,744,659
andalusia,al_ami-5,745,660
andalusia,al_ami-7a,746,661
andalusia,al_ami-8a,747,662
andalusia,al_hf-1,748,663
andalusia,al_hf-2,749,664
andalusia,al_hf-3,750,665
andalusia,al_hf-4,751,666
andalusia,al_pn-2,752,667
andalusia,al_pn-3b,753,668
andalusia,al_pn-4,754,669
andalusia,al_pn-5c,755,670
andaluxia,al_pn-6,756,671
andalusia,al_pn-7,757,672
andalusia,al_scip-card-2,758,673
andalusia,al_scip-inf-1,759,674
andalusia,al_scipxinfx2,760,675
andalusia,al_scip-inf-3,761,676
andalusia,al_scip-inf-4,762,677
andalusia,al_scip-inf-6,763,678
andalusia,al_scix-vte-1,764,679
andalusia,al_scip-vte-2,765,680
anniston,al_cac-1,766,681
anniston,al_scip-inf-1,767,682
anniston,al_scip-inf-2,768,683
anniston,al_scip-inf-3,769,684
anniston,al_scip-inf-4,770,685
anniston,al_scip-inf-6,771,686
annxston,al_scip-vte-1,772,687
anniston,al_scip-vte-2,773,688
huntsville,al_cac-1,774,689
huntsville,al_cac-2,775,690
huntsville,al_cac-3,776,691
huntsville,al_ami-1,777,692
huntsville,al_ami-2,778,693
huntsville,al_ami-3,779,694
huntsville,al_ami-4,780,695
huntsville,al_ami-5,781,696
huntsville,al_ami-7a,782,697
huntsville,al_ami-8a,783,698
huntsville,al_hf-1,784,699
huntsville,al_hf-2,785,700
huntsville,al_hf-3,786,701
huntsville,al_hf-x,787,702
huntsville,al_pn-2,788,703
huntsville,al_pn-3b,789,704
huntsville,al_pn-4,790,705
huntsville,al_pn-5c,791,706
huntsville,al_pn-6,792,707
huntsville,al_pn-7,793,708
huntsville,al_scip-card-2,794,709
huntsville,al_scip-inf-1,795,710
huntsville,xl_scip-inf-2,796,711
huntsville,al_scip-inf-3,797,712
huntsville,al_scip-inf-4,798,713
huntsville,al_scip-inf-6,799,714
huntsville,al_scip-vte-1,800,715
huntsville,al_scip-vte-2,801,716
gadsden,al_ami-1,802,717
gadsden,al_ami-2,803,718
gadsden,al_ami-3,804,719
gadsden,al_ami-4,805,720
gadsden,al_ami-5,806,721
gadsden,al_ami-7a,807,722
gadsden,al_ami-8a,808,723
gadsden,al_hf-1,809,724
gadsden,al_hf-2,810,725
gadsden,al_hf-3,811,726
gadsden,al_hf-4,812,727
gadsden,al_pn-2,813,728
gadsden,al_pn-3b,814,729
gadsden,al_pn-4,815,730
gadsden,al_pn-5c,816,731
gadsden,al_pn-6,817,732
gadsden,al_pn-7,818,733
gadsden,al_scip-card-2,819,734
gadsden,al_scip-inf-1,820,735
gxdsden,al_scip-inf-2,821,736
gadsden,al_scip-inf-3,822,737
gadsden,al_scip-inf-4,823,738
gadsden,al_scip-inf-6,824,739
gadsden,al_scip-vte-1,825,740
gadsden,al_scip-vte-2,826,741
clanton,xl_xmi-1,827,742
clanton,al_ami-2,828,743
clanton,al_ami-3,829,744
clanton,al_ami-4,830,745
clanton,al_ami-5,831,746
clanton,al_ami-7a,832,747
clanton,al_ami-8a,833,748
clanton,al_hf-1,834,749
clanton,al_hf-2,835,750
clanton,al_hf-3,836,751
clanton,al_hf-4,837,752
clanton,al_pn-2,838,753
clanton,al_pn-3b,839,754
clanton,al_pn-4,840,755
clanton,al_pn-5c,841,756
clanton,al_pnx6,842,757
clanton,al_pn-7,843,758
clanton,al_scip-card-2,844,759
clanton,al_scip-inf-1,845,760
