State,PhoneNumber,original_index,unique_index,count
al,2567688400,76,10,24
al,2567688400,77,10,24
al,2567688400,78,10,24
al,2567688400,79,10,24
al,2567688400,80,10,24
al,2567688400,81,10,24
al,2567688400,82,10,24
xl,2567688400,83,11,1
al,2567688400,84,10,24
al,2567688400,85,10,24
al,2567688400,86,10,24
al,2567688400,87,10,24
al,2567688400,88,10,24
al,2567688400,89,10,24
al,2567688400,90,10,24
al,2567688400,91,10,24
al,2567688400,92,10,24
al,2567688400,93,10,24
al,3344933541,94,12,23
al,3344933541,95,12,23
al,3344933541,96,12,23
al,3344933541,97,12,23
xl,3344933541,98,13,1
al,3344933541,99,12,23
al,3344933541,100,12,23
al,3344x33541,101,14,1
al,3344933541,102,12,23
al,3344933541,103,12,23
al,3344933541,104,12,23
al,3344933541,105,12,23
al,3344933541,106,12,23
al,3344933541,107,12,23
al,3344933541,108,12,23
al,3344933541,109,12,23
al,3344933541,110,12,23
al,3344933541,111,12,23
al,3344933541,112,12,23
al,3344933541,113,12,23
al,3344933541,114,12,23
al,3344933541,115,12,23
al,3344933541,116,12,23
al,3344933541,117,12,23
al,3344933541,118,12,23
ax,3343353374,119,15,2
al,3343353374,120,16,23
al,3343353374,121,16,23
al,3343353374,122,16,23
al,3343353374,123,16,23
al,3343353374,124,16,23
al,3343353374,125,16,23
al,3343353374,126,16,23
al,3343353374,127,16,23
al,3343353374,128,16,23
al,3343353374,129,16,23
al,3343353374,130,16,23
al,3343353374,131,16,23
al,3343353374,132,16,23
al,3343353374,133,16,23
al,3343353374,134,16,23
al,3343353374,135,16,23
al,3343353374,136,16,23
al,3343353374,137,16,23
al,3343353374,138,16,23
al,3343353374,139,16,23
ax,3343353374,140,15,2
al,3343353374,141,16,23
al,3343353374,142,16,23
al,3343353374,143,16,23
al,2567736511,144,17,24
al,2567736511,145,17,24
al,2567736511,146,17,24
al,2567736511,147,17,24
al,2567736511,148,17,24
al,2567736511,149,17,24
al,2567736511,150,17,24
al,2567736511,151,17,24
al,2567736511,152,17,24
al,2567736511,153,17,24
al,2567736511,154,17,24
al,2567736511,155,17,24
al,2567736511,156,17,24
al,2567736511,157,17,24
al,2567736511,158,17,24
al,2567736511,159,17,24
al,2567736511,160,17,24
al,2567736511,161,17,24
al,2567736511,162,17,24
al,2567736511,163,17,24
al,2567736511,164,17,24
ax,2567736511,165,18,1
al,2567736511,166,17,24
al,2567736511,167,17,24
al,2567736511,168,17,24
al,2565718000,169,19,24
al,2565718000,170,19,24
al,2565718000,171,19,24
al,2565718000,172,19,24
al,2565718000,173,19,24
al,2565718000,174,19,24
al,2565718000,175,19,24
al,2565718000,176,19,24
al,2565718000,177,19,24
al,2565718000,178,19,24
al,2565718000,179,19,24
al,2565718000,180,19,24
al,2565718000,181,19,24
xl,2565718000,182,20,1
al,2565718000,183,19,24
al,2565718000,184,19,24
al,2565718000,185,19,24
al,2565718000,186,19,24
al,2565718000,187,19,24
al,2565718000,188,19,24
al,2565718000,189,19,24
al,2565718000,190,19,24
al,2565718000,191,19,24
al,2565718000,192,19,24
al,2565718000,193,19,24
al,2058383122,194,21,24
al,2058383122,195,21,24
al,2058383122,196,21,24
al,2058383122,197,21,24
al,2058383122,198,21,24
al,2058383122,199,21,24
al,2058383122,200,21,24
al,2058383122,201,21,24
al,2058383122,202,21,24
al,2058383122,203,21,24
al,2058383122,204,21,24
al,2058383122,205,21,24
al,2058383122,206,21,24
al,2058383122,207,21,24
al,2058383122,208,21,24
al,2058383122,209,21,24
al,2058383122,210,21,24
al,2058383122,211,21,24
al,2058383122,212,21,24
al,2058383122,213,21,24
al,2058383122,214,21,24
al,2058383122,215,21,24
al,2058383122,216,21,24
al,2058x8x122,217,22,1
al,2058383122,218,21,24
al,2568453150,219,23,24
al,2568453150,220,23,24
al,2568453150,221,23,24
al,2568453150,222,23,24
al,2568453150,223,23,24
al,2568453150,224,23,24
al,2568453150,225,23,24
al,2568453150,226,23,24
al,2568453150,227,23,24
ax,2568453x50,228,24,1
al,2568453150,229,23,24
al,2568453150,230,23,24
al,2568453150,231,23,24
al,2568453150,232,23,24
al,2568453150,233,23,24
al,2568453150,234,23,24
al,2568453150,235,23,24
al,2568453150,236,23,24
al,2568453150,237,23,24
al,2568453150,238,23,24
al,2568453150,239,23,24
al,2568453150,240,23,24
al,2568453150,241,23,24
al,2568453150,242,23,24
al,2568453150,243,23,24
al,3346366221,244,25,23
al,3346366221,245,25,23
al,3346366221,246,25,23
al,xx46x66221,247,26,1
al,3346366221,248,25,23
al,3346366221,249,25,23
al,3346366221,250,25,23
al,3346366221,251,25,23
al,3346366221,252,25,23
al,3346366221,253,25,23
al,3346366221,254,25,23
al,3346366221,255,25,23
al,3346366221,256,25,23
al,3346366221,257,25,23
al,3346366221,258,25,23
al,3346366221,259,25,23
al,3346366221,260,25,23
al,334x3xx221,261,27,1
al,3346366221,262,25,23
al,3346366221,263,25,23
al,3346366221,264,25,23
al,3346366221,265,25,23
al,3346366221,266,25,23
al,3346366221,267,25,23
al,3346366221,268,25,23
al,2056208100,269,28,24
al,2056208100,270,28,24
al,2056208100,271,28,24
al,2056208100,272,28,24
al,2056208100,273,28,24
al,2056208100,274,28,24
al,2056208100,275,28,24
al,2056208100,276,28,24
al,2056208100,277,28,24
xl,2056208100,278,29,1
al,2056208100,279,28,24
al,2056208100,280,28,24
al,2056208100,281,28,24
al,2056208100,282,28,24
al,2056208100,283,28,24
al,2056208100,284,28,24
al,2056208100,285,28,24
al,2056208100,286,28,24
al,2056208100,287,28,24
al,2056208100,288,28,24
al,2056208100,289,28,24
al,2056208100,290,28,24
al,2056208100,291,28,24
al,2056208100,292,28,24
al,2056208100,293,28,24
al,2053258100,294,0,25
al,2053258100,295,0,25
al,2053258100,296,0,25
al,2053258100,297,0,25
al,2053258100,298,0,25
al,2053258100,299,0,25
al,2053258100,300,0,25
al,2053258100,301,0,25
al,2053258100,302,0,25
al,2053258100,303,0,25
al,2053258100,304,0,25
al,2053258100,305,0,25
al,2053258100,306,0,25
al,2053258100,307,0,25
al,2053258100,308,0,25
al,2053258100,309,0,25
al,2053258100,310,0,25
al,2562358900,311,30,27
al,2562358900,312,30,27
al,2562358900,313,30,27
al,2562358900,314,30,27
al,2562358900,315,30,27
al,2562358900,316,30,27
al,2562358900,317,30,27
al,2562358900,318,30,27
al,2562358900,319,30,27
al,2562358900,320,30,27
al,256235x900,321,31,1
al,2562358900,322,30,27
al,2562358900,323,30,27
al,2562358900,324,30,27
al,2562358900,325,30,27
al,2562358900,326,30,27
al,2562358900,327,30,27
al,2562358900,328,30,27
al,2562358900,329,30,27
al,2562358900,330,30,27
al,3347935000,331,32,16
al,3347935000,332,32,16
al,3347935000,333,32,16
al,3347935000,334,32,16
al,3347935000,335,32,16
al,3347935000,336,32,16
al,3347935000,337,32,16
al,3347935000,338,32,16
al,3347935000,339,32,16
al,3347935000,340,32,16
al,3347935000,341,32,16
al,xx479x5000,342,33,1
al,3347935000,343,32,16
al,3347935000,344,32,16
al,3347935000,345,32,16
al,3347935000,346,32,16
al,3347935000,347,32,16
al,2059397000,348,34,5
al,2059397000,349,34,5
al,2059397000,350,34,5
al,2059397000,351,34,5
al,2059397000,352,34,5
al,2563412000,353,35,1
al,2054877736,354,36,24
al,2054877736,355,36,24
ax,2054877736,356,37,1
al,2054877736,357,36,24
al,2054877736,358,36,24
al,2054877736,359,36,24
al,2054877736,360,36,24
al,2054877736,361,36,24
al,2054877736,362,36,24
al,2054877736,363,36,24
al,2054877736,364,36,24
al,2054877736,365,36,24
al,2054877736,366,36,24
al,2054877736,367,36,24
al,2054877736,368,36,24
al,2054877736,369,36,24
al,2054877736,370,36,24
al,2054877736,371,36,24
al,2054877736,372,36,24
al,2054877736,373,36,24
al,2054877736,374,36,24
al,2054877736,375,36,24
al,2054877736,376,36,24
al,2054877736,377,36,24
al,2054877736,378,36,24
al,2514717110,379,38,10
al,2514717110,380,38,10
al,25x47x7xx0,381,39,2
al,2514717110,382,38,10
al,2514717110,383,38,10
al,25x47x7xx0,384,39,2
al,2514717110,385,38,10
xl,25x47x7xx0,386,40,1
al,2514717110,387,38,10
al,2514717110,388,38,10
al,2514717110,389,38,10
al,2514717110,390,38,10
al,2514717110,391,38,10
al,3343614267,392,41,18
al,33x361x267,393,42,1
al,3343614267,394,41,18
al,3343614267,395,41,18
al,3343614267,396,41,18
al,3343614267,397,41,18
al,3343614267,398,41,18
al,3343614267,399,41,18
al,3343614267,400,41,18
al,3343614267,401,41,18
ax,3343614267,402,43,1
al,3343614267,403,41,18
al,3343614267,404,41,18
al,3343614267,405,41,18
al,3343614267,406,41,18
al,3343614267,407,41,18
al,3343614267,408,41,18
al,3343614267,409,41,18
al,3343614267,410,41,18
al,3343614267,411,41,18
al,2563321611,412,44,2
al,2563321611,413,44,2
al,2562495000,414,45,18
al,2562495000,415,45,18
al,2562495000,416,45,18
al,2562495000,417,45,18
al,2562495000,418,45,18
al,2562495000,419,45,18
al,2562495000,420,45,18
al,2562495000,421,45,18
al,2562495000,422,45,18
al,2562495000,423,45,18
al,2562495000,424,45,18
al,2562495000,425,45,18
al,2562495000,426,45,18
al,2562495000,427,45,18
al,2562495000,428,45,18
al,2562495000,429,45,18
al,2562495000,430,45,18
al,2562495000,431,45,18
ak,9072761131,432,46,18
ak,9072761131,433,46,18
ak,9072761131,434,46,18
ak,9072761131,435,46,18
ak,9072761131,436,46,18
ak,9072761131,437,46,18
ak,9072761131,438,46,18
ak,9072761131,439,46,18
ak,9072761131,440,46,18
ak,9072761131,441,46,18
ak,9072761131,442,46,18
ak,9072761131,443,46,18
ak,9072761131,444,46,18
ak,9072761131,445,46,18
ak,9072761131,446,46,18
ak,9072761131,447,46,18
ak,9072761131,448,46,18
ak,9072761131,449,46,18
ak,9075436300,450,47,2
ak,9075436300,451,47,2
al,2563864556,452,1,25
al,2563864556,453,1,25
al,2563864556,454,1,25
al,2563864556,455,1,25
al,2563864556,456,1,25
al,2563864556,457,1,25
al,2563864556,458,1,25
al,2563864556,459,1,25
al,2563864556,460,1,25
al,2563864556,461,1,25
al,2563864556,462,1,25
al,2563864556,463,1,25
al,2563864556,464,1,25
al,2563864556,465,1,25
al,3347742601,466,48,22
al,3347742601,467,48,22
al,3347742601,468,48,22
al,3347742601,469,48,22
al,3347742601,470,48,22
al,334774x601,471,49,1
al,3347742601,472,48,22
al,3347742601,473,48,22
al,3347742601,474,48,22
al,3347742601,475,48,22
al,3347742601,476,48,22
xl,3347742601,477,50,2
al,3347742601,478,48,22
al,3347742601,479,48,22
al,3347742601,480,48,22
al,3347742601,481,48,22
al,3347742601,482,48,22
xl,3347742601,483,50,2
al,3347742601,484,48,22
al,3347742601,485,48,22
al,3347742601,486,48,22
al,3347742601,487,48,22
al,3347742601,488,48,22
al,3347742601,489,48,22
al,3347742601,490,48,22
al,2569275531,491,51,24
al,2569275531,492,51,24
al,2569275531,493,51,24
al,2569275531,494,51,24
al,2569275531,495,51,24
al,2569275531,496,51,24
al,2569275531,497,51,24
al,2569275531,498,51,24
al,2569275531,499,51,24
al,2569275531,500,51,24
al,2569275531,501,51,24
al,2569275531,502,51,24
al,2569275531,503,51,24
ax,2569275531,504,52,1
al,2569275531,505,51,24
al,2569275531,506,51,24
al,2569275531,507,51,24
al,2569275531,508,51,24
al,2569275531,509,51,24
al,2569275531,510,51,24
al,2569275531,511,51,24
al,2569275531,512,51,24
al,2569275531,513,51,24
al,2569275531,514,51,24
al,2569275531,515,51,24
al,3342xx2100,516,53,1
al,3342882100,517,54,24
al,3342882100,518,54,24
al,3342882100,519,54,24
al,3342882100,520,54,24
al,3342882100,521,54,24
al,3342882100,522,54,24
al,3342882100,523,54,24
al,3342882100,524,54,24
al,3342882100,525,54,24
al,3342882100,526,54,24
al,3342882100,527,54,24
al,3342882100,528,54,24
al,3342882100,529,54,24
al,3342882100,530,54,24
al,3342882100,531,54,24
al,3342882100,532,54,24
al,3342882100,533,54,24
al,3342882100,534,54,24
al,3342882100,535,54,24
al,3342882100,536,54,24
al,3342882100,537,54,24
al,3342882100,538,54,24
al,3342882100,539,54,24
al,3342882100,540,54,24
al,3342938000,541,55,21
al,3342938000,542,55,21
al,3342938000,543,55,21
al,3342938000,544,55,21
al,3342938000,545,55,21
al,3342938000,546,55,21
al,3342938000,547,55,21
al,3342938xxx,548,56,2
al,3342938000,549,55,21
al,3342938000,550,55,21
al,3342938000,551,55,21
al,3342938000,552,55,21
al,3342938000,553,55,21
al,3342938000,554,55,21
al,3342938000,555,55,21
al,3342938000,556,55,21
al,3342938000,557,55,21
al,3342938000,558,55,21
xl,3342938000,559,57,1
al,3342938000,560,55,21
al,33x2938000,561,58,1
al,3342938xxx,562,56,2
al,3342938000,563,55,21
al,3342938000,564,55,21
al,3342938000,565,55,21
al,3347561400,566,59,24
al,3347561400,567,59,24
al,3347561400,568,59,24
al,3347561400,569,59,24
al,3347561400,570,59,24
al,3347561400,571,59,24
ax,334x561400,572,60,1
al,3347561400,573,59,24
al,3347561400,574,59,24
al,3347561400,575,59,24
al,3347561400,576,59,24
al,3347561400,577,59,24
al,3347561400,578,59,24
al,3347561400,579,59,24
al,3347561400,580,59,24
al,3347561400,581,59,24
al,3347561400,582,59,24
al,3347561400,583,59,24
al,3347561400,584,59,24
al,3347561400,585,59,24
al,3347561400,586,59,24
al,3347561400,587,59,24
al,3347561400,588,59,24
al,3347561400,589,59,24
al,3347561400,590,59,24
al,3348972257,591,61,23
ax,3348972257,592,62,1
al,33x8972257,593,63,1
al,3348972257,594,61,23
al,3348972257,595,61,23
al,3348972257,596,61,23
al,3348972257,597,61,23
al,3348972257,598,61,23
al,3348972257,599,61,23
al,3348972257,600,61,23
al,3348972257,601,61,23
al,3348972257,602,61,23
al,3348972257,603,61,23
al,3348972257,604,61,23
al,3348972257,605,61,23
al,3348972257,606,61,23
al,3348972257,607,61,23
al,3348972257,608,61,23
al,3348972257,609,61,23
al,3348972257,610,61,23
al,3348972257,611,61,23
al,3348972257,612,61,23
al,3348972257,613,61,23
al,3348972257,614,61,23
al,3348972257,615,61,23
al,3347493411,616,64,25
al,3347493411,617,64,25
al,3347493411,618,64,25
al,3347493411,619,64,25
al,3347493411,620,64,25
al,3347493411,621,64,25
al,3347493411,622,64,25
al,3347493411,623,64,25
al,3347493411,624,64,25
al,3347493411,625,64,25
al,3347493411,626,64,25
al,3347493411,627,64,25
al,3347493411,628,64,25
al,3347493411,629,64,25
al,3347493411,630,64,25
al,3347493411,631,64,25
al,3347493411,632,64,25
al,3347493411,633,64,25
al,3347493411,634,64,25
al,3347493411,635,64,25
al,3347493411,636,64,25
al,3347493411,637,64,25
al,3347493411,638,64,25
al,3347493411,639,64,25
al,3347493411,640,64,25
al,2563572111,641,65,25
al,2563572111,642,65,25
al,2563572111,643,65,25
al,2563572111,644,65,25
al,2563572111,645,65,25
al,2563572111,646,65,25
al,2563572111,647,65,25
al,2563572111,648,65,25
al,2563572111,649,65,25
al,2563572111,650,65,25
al,2563572111,651,65,25
al,2563572111,652,65,25
al,2563572111,653,65,25
al,2563572111,654,65,25
al,2563572111,655,65,25
al,2563572111,656,65,25
al,2563572111,657,65,25
al,2563572111,658,65,25
al,2563572111,659,65,25
al,2563572111,660,65,25
al,2563572111,661,65,25
al,2563572111,662,65,25
al,2563572111,663,65,25
al,2563572111,664,65,25
al,2563572111,665,65,25
al,20593xx011,666,66,1
al,2059344011,667,67,24
al,2059344011,668,67,24
al,2059344011,669,67,24
al,2059344011,670,67,24
al,2059344011,671,67,24
al,2059344011,672,67,24
al,2059344011,673,67,24
al,2059344011,674,67,24
al,2059344011,675,67,24
al,2059344011,676,67,24
al,2059344011,677,67,24
al,2059344011,678,67,24
al,2059344011,679,67,24
al,2059344011,680,67,24
al,2059344011,681,67,24
al,2059344011,682,67,24
al,2059344011,683,67,24
al,2059344011,684,67,24
al,2059344011,685,67,24
al,2059344011,686,67,24
al,2059344011,687,67,24
al,2059344011,688,67,24
al,2059344011,689,67,24
al,2059344011,690,67,24
al,3342836541,691,68,22
al,3342836541,692,68,22
al,3342836541,693,68,22
al,3342836541,694,68,22
al,3342836541,695,68,22
al,3342836541,696,68,22
al,3342836541,697,68,22
al,3342836541,698,68,22
al,334x836541,699,69,1
al,3342836541,700,68,22
xl,3342836541,701,70,1
al,3342836541,702,68,22
al,3342836541,703,68,22
al,3342836541,704,68,22
al,3342836541,705,68,22
al,3342836541,706,68,22
al,3342836541,707,68,22
al,3342836541,708,68,22
al,3342836541,709,68,22
al,3342836541,710,68,22
al,3342836541,711,68,22
al,3342836541,712,68,22
al,33x28365x1,713,71,1
al,3342836541,714,68,22
al,3342836541,715,68,22
al,2567372000,716,72,25
al,2567372000,717,72,25
al,2567372000,718,72,25
al,2567372000,719,72,25
al,2567372000,720,72,25
al,2567372000,721,72,25
al,2567372000,722,72,25
al,2567372000,723,72,25
al,2567372000,724,72,25
al,2567372000,725,72,25
al,2567372000,726,72,25
al,2567372000,727,72,25
al,2567372000,728,72,25
al,2567372000,729,72,25
al,2567372000,730,72,25
al,2567372000,731,72,25
al,2567372000,732,72,25
al,2567372000,733,72,25
al,2567372000,734,72,25
al,2567372000,735,72,25
al,2567372000,736,72,25
al,2567372000,737,72,25
al,2567372000,738,72,25
al,2567372000,739,72,25
al,2567372000,740,72,25
al,3342228466,741,73,22
al,3342228466,742,73,22
al,3342228466,743,73,22
al,3342228466,744,73,22
al,3342228466,745,73,22
al,3342228466,746,73,22
al,3342228466,747,73,22
al,3342228466,748,73,22
al,3342228466,749,73,22
al,3342228466,750,73,22
al,334xxx8466,751,74,1
al,3342228466,752,73,22
al,3342228466,753,73,22
al,3342228466,754,73,22
al,3342228466,755,73,22
al,3342228466,756,73,22
al,3342228466,757,73,22
al,3342228466,758,73,22
al,3342228466,759,73,22
al,3342228466,760,73,22
al,3342228466,761,73,22
al,3342228466,762,73,22
al,33422284xx,763,75,1
xl,3342228466,764,76,1
al,3342228466,765,73,22
al,2562358900,766,30,27
al,2562358900,767,30,27
al,2562358900,768,30,27
al,2562358900,769,30,27
al,2562358900,770,30,27
al,2562358900,771,30,27
al,2562358900,772,30,27
al,2562358900,773,30,27
al,2562651000,774,77,27
al,2562651000,775,77,27
al,2562651000,776,77,27
al,2562651000,777,77,27
al,2562651000,778,77,27
al,2562651000,779,77,27
al,2562651000,780,77,27
al,2562651000,781,77,27
al,2562651000,782,77,27
al,2562651000,783,77,27
al,2562651000,784,77,27
al,2562651000,785,77,27
al,2562651000,786,77,27
al,2562651000,787,77,27
al,2562651000,788,77,27
al,2562651000,789,77,27
al,2562651000,790,77,27
xl,2562651000,791,78,1
al,2562651000,792,77,27
al,2562651000,793,77,27
al,2562651000,794,77,27
al,2562651000,795,77,27
al,2562651000,796,77,27
al,2562651000,797,77,27
al,2562651000,798,77,27
al,2562651000,799,77,27
al,2562651000,800,77,27
al,2562651000,801,77,27
al,2564944000,802,79,24
al,2564944000,803,79,24
al,2564944000,804,79,24
al,2564944000,805,79,24
al,2564944000,806,79,24
al,2564944000,807,79,24
al,2564944000,808,79,24
al,2564944000,809,79,24
al,2564944000,810,79,24
al,2564944000,811,79,24
al,2564944000,812,79,24
al,2564944000,813,79,24
al,2564944000,814,79,24
al,2564944000,815,79,24
al,2564944000,816,79,24
al,2564944000,817,79,24
al,2564944000,818,79,24
al,2564944000,819,79,24
al,2564944000,820,79,24
al,2564944000,821,79,24
al,2564944000,822,79,24
al,2564944000,823,79,24
al,2564944xxx,824,80,1
al,2564944000,825,79,24
al,2564944000,826,79,24
al,2057552500,827,81,25
al,2057552500,828,81,25
al,2057552500,829,81,25
al,2057552500,830,81,25
al,2057552500,831,81,25
al,2057552500,832,81,25
al,2057552500,833,81,25
al,2057552500,834,81,25
al,2057552500,835,81,25
al,2057552500,836,81,25
al,2057552500,837,81,25
al,2057552500,838,81,25
al,2057552500,839,81,25
al,2057552500,840,81,25
al,2057552500,841,81,25
al,2057552500,842,81,25
al,2057552500,843,81,25
al,2057552500,844,81,25
al,2057552500,845,81,25
al,2057552500,846,81,25
al,2057552500,847,81,25
al,2057552500,848,81,25
al,2057552500,849,81,25
al,2057552500,850,81,25
al,2057552500,851,81,25
al,2059216200,852,82,23
al,2059216200,853,82,23
al,2059216200,854,82,23
al,x059x16x00,855,83,1
al,2059216200,856,82,23
al,2059216200,857,82,23
al,2059216200,858,82,23
al,2059216200,859,82,23
al,2059216200,860,82,23
al,2059216200,861,82,23
al,2059216200,862,82,23
al,2059216200,863,82,23
al,2059216200,864,82,23
al,20x9216200,865,84,1
al,2059216200,866,82,23
al,2059216200,867,82,23
al,2059216200,868,82,23
al,2059216200,869,82,23
al,2059216200,870,82,23
al,2059216200,871,82,23
al,2059216200,872,82,23
al,2059216200,873,82,23
al,2059216200,874,82,23
al,2059216200,875,82,23
al,2059216200,876,82,23
al,2059325966,877,85,21
al,2059325966,878,85,21
al,2059325966,879,85,21
al,2059325966,880,85,21
al,x0593x5966,881,86,2
al,2059325966,882,85,21
al,x0593x5966,883,86,2
xl,2059325966,884,87,2
al,2059325966,885,85,21
xl,2059325966,886,87,2
al,2059325966,887,85,21
al,2059325966,888,85,21
al,2059325966,889,85,21
al,2059325966,890,85,21
al,2059325966,891,85,21
al,2059325966,892,85,21
al,2059325966,893,85,21
al,2059325966,894,85,21
al,2059325966,895,85,21
al,2059325966,896,85,21
al,2059325966,897,85,21
al,2059325966,898,85,21
al,2059325966,899,85,21
al,2059325966,900,85,21
al,2059325966,901,85,21
al,2565435200,902,88,26
al,2565435200,903,88,26
al,2565435200,904,88,26
al,2565435200,905,88,26
al,2565435200,906,88,26
al,2565435200,907,88,26
al,2565435200,908,88,26
al,2565435200,909,88,26
al,2565435200,910,88,26
al,2565435200,911,88,26
al,2565435200,912,88,26
al,2565435200,913,88,26
al,2565435200,914,88,26
al,2565435200,915,88,26
al,x565435x00,916,89,1
al,2565435200,917,88,26
al,2565435200,918,88,26
al,2565435200,919,88,26
al,2565435200,920,88,26
al,2565435200,921,88,26
ax,2565435200,922,90,1
al,2565435200,923,88,26
al,2565435200,924,88,26
al,2565435200,925,88,26
al,2565435200,926,88,26
al,2565435200,927,88,26
al,2565435200,928,88,26
al,2565435200,929,88,26
al,3343762205,930,91,25
al,3343762205,931,91,25
al,3343762205,932,91,25
al,3343762205,933,91,25
al,3343762205,934,91,25
al,3343762205,935,91,25
al,3343762205,936,91,25
al,3343762205,937,91,25
al,3343762205,938,91,25
al,3343762205,939,91,25
al,3343762205,940,91,25
al,3343762205,941,91,25
al,3343762205,942,91,25
al,3343762205,943,91,25
al,3343762205,944,91,25
al,3343762205,945,91,25
al,3343762205,946,91,25
al,3343762205,947,91,25
al,3343762205,948,91,25
al,3343762205,949,91,25
al,3343762205,950,91,25
al,3343762205,951,91,25
al,3343762205,952,91,25
al,3343762205,953,91,25
al,3343762205,954,91,25
al,3343470584,955,92,25
al,3343470584,956,92,25
al,3343470584,957,92,25
al,3343470584,958,92,25
al,3343470584,959,92,25
al,3343470584,960,92,25
al,3343470584,961,92,25
al,3343470584,962,92,25
al,3343470584,963,92,25
al,3343470584,964,92,25
al,3343470584,965,92,25
al,3343470584,966,92,25
al,3343470584,967,92,25
al,3343470584,968,92,25
al,3343470584,969,92,25
al,3343470584,970,92,25
al,3343470584,971,92,25
al,3343470584,972,92,25
al,3343470584,973,92,25
al,3343470584,974,92,25
al,3343470584,975,92,25
al,3343470584,976,92,25
al,3343470584,977,92,25
al,3343470584,978,92,25
al,3343470584,979,92,25
al,2052743000,980,93,20
al,2052743000,981,93,20
al,2052743000,982,93,20
al,2052743000,983,93,20
al,2052743000,984,93,20
al,2052743000,985,93,20
al,2052743000,986,93,20
al,2052743000,987,93,20
al,2052743000,988,93,20
al,2052743000,989,93,20
al,2052743000,990,93,20
al,2052743000,991,93,20
al,2052743000,992,93,20
al,2052743000,993,93,20
al,2052743000,994,93,20
al,2052743000,995,93,20
al,2052743000,996,93,20
al,2052743000,997,93,20
al,2052743000,998,93,20
al,2052743000,999,93,20
