Release Date,Filming Locations,original_index,unique_index
15 May 1968 (UK),"Shepperton Studios, Shepperton, Surrey, England, UK",36,36
15 December 2000 (USA),"Brooklyn, New York City, New York, USA",37,37
30 October 1986 (Argentina),"128 Northern Boulevard, Wilmington, North Carolina, USA",38,38
16 July 1999 (USA),UK,39,39
12 June 1962 (USA),"Albany, New York, USA",40,40
19 March 1931 (USA),"Bora Bora, Leeward Islands, French Polynesia",41,41
18 September 2015 (USA),"Los Angeles, California, USA",42,42
28 February 2008 (Australia),USA,43,43
7 August 2009 (USA),,44,44
2011 (USA),"Los Angeles, California, USA",45,45
13 July 2013 (USA),,46,46
11 March 2006 (USA),"Baltimore, Maryland, USA",47,47
,,48,48
17 June 2014 (USA),"Flemington, New Jersey, USA",49,49
14 March 2015 (USA),,50,50
25 September 2015 (USA),"Santiago, Chile",51,51
3 June 1988 (USA),"Garden State News 666 Anderson Ave, Cliffside Park, New Jersey, USA",52,52
19 March 2004 (USA),"Gare Windsor, Montréal, Québec, Canada",53,53
14 January 2000 (USA),"Hanover, Pennsylvania, USA",54,54
24 September 2010 (USA),"Fox Studios, Moore Park, Sydney, New South Wales, Australia",55,55
25 November 2009 (USA),"England, UK",56,56
11 September 2015 (USA),"Los Angeles, California, USA",57,57
"Nov 11, 2011 Wide","Montréal, Québec, Canada",58,58
15 September 2015 (USA),"Vancouver, British Columbia, Canada",59,59
"Aug 21, 2015 Limited","New Orleans, Louisiana, USA",60,60
15 June 1990 (USA),"Burbank, California, USA",61,61
4 June 1982 (USA),"4267 Roxbury Street, Forest Hills, Simi Valley, California, USA",62,62
23 November 1988 (USA),"New York City, New York, USA",63,63
23 July 2004 (USA),"4th Street, Downtown, Los Angeles, California, USA",64,64
May 1985 (USA),Malta,65,65
14 June 2003 (USA),"New York City, New York, USA",66,66
"Aug 18, 1972 Wide","Clinton, Louisiana, USA",67,67
25 June 1937 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",68,68
25 December 1935 (USA),"Cedars of Lebanon Hospital. 4833 Fountain Ave. Los Angeles, California, USA",69,69
27 November 1943 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",70,70
23 November 1994 (USA),"2552 Hyde Street, San Francisco, California, USA",71,71
2 November 1964 (USA),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",72,72
3 July 1931 (USA),,73,73
16 November 1951 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",74,74
6 May 1932 (USA),,75,75
20 October 1933 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",76,76
31 January 1941 (USA),"Providencia Ranch, Hollywood Hills, Los Angeles, California, USA",77,77
2 February 1945 (USA),"North Hollywood, Los Angeles, California, USA",78,78
21 February 1955 (Sweden),"California Highway 118, California, USA",79,79
2 September 1928 (USA),"Arkansas, USA",80,80
18 December 1963 (USA),"Chichén Itzá, Yucatán, Mexico",81,81
25 March 1964 (USA),Japan,82,82
11 February 1981 (USA),"Budapest, Hungary",83,83
September 1984 (UK),"Back Bay, Boston, Massachusetts, USA",84,84
18 December 1981 (USA),"Coral Gables, Florida, USA",85,85
29 May 1963 (USA),"Camp Waldemar - 1005 Ranch Road 1340, Hunt, Texas, USA",86,86
December 1941 (USA),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",87,87
22 October 1940 (USA),"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",88,88
23 March 1940 (USA),"Santa Clarita, California, USA",89,89
18 August 1939 (USA),"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",90,90
15 February 1962 (Japan),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",91,91
12 April 1936 (USA),"Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",92,92
31 October 1931 (USA),,93,93
7 August 1931 (USA),,94,94
25 March 1932 (USA),"UCLA, Westwood, Los Angeles, California, USA",95,95
December 1933 (UK),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",96,96
29 October 1932 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",97,97
30 June 1933 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",98,98
17 June 1933 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",99,99
28 October 1933 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",100,100
17 November 1939 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",101,101
23 May 1941 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",102,102
9 November 1934 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",103,103
November 1941 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",104,104
21 November 1980 (USA),Germany,105,105
2017 (USA),,106,106
7 July 1989 (USA),"2nd Street Tunnel between Hill and Figueroa, Los Angeles, California, USA",107,107
4 August 1999 (France),"The Astral House, 2210 Astral Place, Los Angeles, California, USA",108,108
18 June 1994 (USA),"Irvington, New York, USA",109,109
5 October 1990 (USA),"Magazine Street, New Orleans, Louisiana, USA",110,110
26 November 1997 (USA),"Alameda, California, USA",111,111
31 October 1942 (USA),"6621 Whitley Terrace, Whitley Heights, Hollywood, Los Angeles, California, USA",112,112
September 1959 (Austria),"2nd Floor, Marquette County Courthouse - 234 W. Baraga Avenue, Marquette, Michigan, USA",113,113
28 August 2015 (USA),"North Carolina, USA",114,114
1 September 2000 (USA),Romania,115,115
15 March 1940 (USA),"Los Angeles, California, USA",116,116
26 December 1959 (UK),"Anzio, Italy",117,117
3 April 1968 (USA),"Kayenta, Arizona, USA",118,118
1 August 1971 (USA),"South Flower Street, Los Angeles, California, USA",119,119
10 March 1972 (USA),"Aircraft Hanger, Van Nuys Airport - 6590 Hayvenhurst Avenue, Van Nuys, Los Angeles, California, USA",120,120
3 June 1983 (USA),"Snohomish High School - 1316 5th Street, Snohomish, Washington, USA",121,121
5 April 2013 (USA),"Muriwai Beach, Woodhill Forest, Woodhill, Auckland, New Zealand",122,122
27 October 2006 (USA),"Toronto, Ontario, Canada",123,123
10 February 2006 (USA),"Playland Amusement Park, Pacific National Exhibition Grounds, Vancouver, British Columbia, Canada",124,124
28 August 2009 (USA),"Harahan, Louisiana, USA",125,125
15 January 1988 (USA),"169 N. Baldwin Avenue, Sierra Madre, California, USA",126,126
22 August 1986 (USA),"California State University Northridge - 18111 Nordhoff Street, Northridge, Los Angeles, California, USA",127,127
24 October 1986 (USA),"Empire Studios, Rome, Lazio, Italy",128,128
11 April 2013 (Argentina),"Glendale, California, USA",129,129
20 July 2012 (USA),"Downtown, Los Angeles, California, USA",130,130
14 December 1984 (USA),"Yuma, Arizona, USA",131,131
11 March 2011 (USA),"Manhattan Beach, California, USA",132,132
12 October 2012 (USA),,133,133
10 August 2001 (USA),"Plymouth, Massachusetts, USA",134,134
12 June 1981 (USA),"Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",135,135
22 October 1970 (USA),"Associated British Picture Studios, Borehamwood, Hertfordshire, England, UK",136,136
16 December 1959 (USA),"Bray Studios, Down Place, Oakley Green, Berkshire, England, UK",137,137
14 February 1931 (USA),"Chatham Historic Dockyard, Chatham, Kent, England, UK",138,138
7 April 1933 (USA),"RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA",139,139
11 June 2004 (USA),"Appleton, Wisconsin, USA",140,140
5 March 2010 (USA),"Antony House, Torpoint, Cornwall, England, UK",141,141
4 June 2004 (USA),"England, UK",142,142
18 May 2001 (USA),,143,143
24 June 1994 (USA),,144,144
22 November 1991 (USA),"Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",145,145
18 June 1999 (USA),,146,146
15 December 2000 (USA),,147,147
1 November 2003 (USA),"Disney's Hollywood Studios, Walt Disney World, Lake Buena Vista, Florida, USA",148,148
31 March 2000 (USA),,149,149
1 October 2004 (USA),"Los Angeles, California, USA",150,150
17 November 2006 (USA),"Fox Studios, Moore Park, Sydney, New South Wales, Australia",151,151
4 March 2011 (USA),,152,152
18 September 2009 (USA),,153,153
7 November 2008 (USA),,154,154
23 December 1961 (Japan),"Church of Saint Paul the Apostle, Columbus Avenue & West 60th Street, New York City, New York, USA",155,155
26 May 1978 (France),"New York City, New York, USA",156,156
5 October 1979 (USA),"Boston Garden - 150 Causeway Street, Boston, Massachusetts, USA",157,157
June 1978 (Austria),"Tarrant County, Texas, USA",158,158
30 August 1974 (USA),"Beverly Hills, California, USA",159,159
"Jun 28, 1978 Wide","Exposition Park, Los Angeles, California, USA",160,160
"Dec 13, 1991 Wide","Indoor Pool, Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA",161,161
25 December 1992 (USA),"Carnegie Mellon University - 5000 Forbes Avenue, Pittsburgh, Pennsylvania, USA",162,162
19 January 2001 (USA),"Chilliwack, British Columbia, Canada",163,163
8 December 1995 (USA),"West Dayton Street & South Delacy Street, Pasadena, California, USA",164,164
8 February 1991 (USA),"Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA",165,165
27 January 1984 (USA),"New York City, New York, USA",166,166
1 January 1982 (USA),"4th Street Bridge, Los Angeles, California, USA",167,167
"Nov 25, 1936 Limited","General Service Studios - 1040 N. Las Palmas, Hollywood, Los Angeles, California, USA",168,168
8 May 1942 (USA),"Lake Arrowhead, San Bernardino National Forest, California, USA",169,169
10 November 1939 (USA),"Lake Sherwood, California, USA",170,170
1 October 1955 (USA),"Belvedere Island, California, USA",171,171
10 July 1944 (UK),"Camp Pendleton Marine Corps Base, Oceanside, California, USA",172,172
20 December 1945 (USA),"Florida Keys, Florida, USA",173,173
"Mar 9, 1948 Wide","Monument Valley, Arizona, USA",174,174
20 August 1976 (USA),"Carson City, Nevada, USA",175,175
1 July 1965 (USA),"Casa Blanca, Durango, Mexico",176,176
7 November 1960 (USA),"Alabama Hills, Lone Pine, California, USA",177,177
12 June 1963 (USA),"Kaua'i, Hawaii, USA",178,178
19 June 1962 (USA),"Arusha National Park, Tanzania",179,179
21 January 2011 (USA),Morocco,180,180
24 May 2007 (Germany),"Marymount High School - 10643 W. Sunset Blvd., Los Angeles, California, USA",181,181
16 June 1995 (USA),,182,182
"Feb 13, 1998 Wide","Ealing Town Hall, Ealing, London, England, UK",183,183
2 September 2015 (USA),"Fontana Dam, North Carolina, USA",184,184
3 October 2013 (Portugal),"Los Angeles, California, USA",185,185
7 August 1987 (USA),"1050 Arden Road, Pasadena, California, USA",186,186
12 April 1985 (USA),"8th Avenue, Manhattan, New York City, New York, USA",187,187
,"Los Angeles, California, USA",188,188
18 December 1958 (USA),"Jefferson County, Indiana, USA",189,189
31 October 2008 (USA),"Connaught Tunnel, near London City Airport, Newham, East London, London, England, UK",190,190
26 April 2002 (USA),"Red Bank, New Jersey, USA",191,191
20 April 2013 (USA),,192,192
24 August 2001 (USA),"Santa Clarita, California, USA",193,193
26 March 2004 (USA),"New Jersey, USA",194,194
26 February 2010 (USA),"Colonial Rd & 81st St, Brooklyn, New York City, New York, USA",195,195
2008 (USA),"Las Vegas, Nevada, USA",196,196
18 September 2015 (USA),,197,197
18 August 1980 (Australia),"Floresville, Texas, USA",198,198
25 March 1983 (USA),"William Cullen Bryant School 1355 South Kedvale Avenue, Chicago, IL.",199,199
21 October 1983 (USA),"Conemaugh, Pennsylvania, USA",200,200
22 May 1992 (USA),"Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",201,201
31 July 1987 (USA),"Cliffs, Marineland of the Pacific - 6610 Palos Verdes Drive South, Rancho Palos Verdes, California, USA",202,202
8 February 1991 (USA),"Wilmington, Ohio, USA",203,203
13 August 2010 (USA),"Bali, Indonesia",204,204
1 July 2011 (USA),"Reseda, California, USA",205,205
20 March 2009 (USA),"Atlantis Casino, Paradise Island, Bahamas",206,206
13 February 2009 (USA),USA,207,207
24 March 2006 (USA),"Exchange Place, Lower Manhattan, Manhattan, New York City, New York, USA",208,208
October 1973 (USA),"Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA",209,209
1973 (UK),"Arlington Towers - 100 N. Arlington Avenue, Reno, Nevada, USA",210,210
10 October 1980 (Finland),"Atlanta, Georgia, USA",211,211
23 April 2004 (USA),"Los Angeles, California, USA",212,212
23 March 1973 (Finland),"Warner Brothers Studio Plaza - 3400 W. Riverside Dr. Burbank, California, USA",213,213
12 November 2010 (USA),"Ohio, USA",214,214
20 September 2013 (USA),"Conyers, Georgia, USA",215,215
10 July 1998 (USA),"Brooklyn, New York City, New York, USA",216,216
17 July 2015 (USA),"Madison Square Garden, New York City, New York, USA",217,217
7 October 1970 (USA),"Circle Z Ranch - 1476 Highway 82, Patagonia, Arizona, USA",218,218
13 March 1975 (Mexico),"Chalco, Mexico City, Distrito Federal, Mexico",219,219
August 1974 (USA),"Juliette, Georgia, USA",220,220
15 December 1953 (USA),"New York City, New York, USA",221,221
27 November 1963 (USA),"Fort Ord, California, USA",222,222
15 October 1965 (USA),"New Orleans, Louisiana, USA",223,223
23 June 1971 (USA),"Le Mans, Sarthe, France",224,224
21 December 1966 (USA),"Farnborough Hall, Warwickshire",225,225
7 March 1965 (USA),"Acquigny, Calvados, France",226,226
"May 24, 1961 Wide","East Harlem, Manhattan, New York City, New York, USA",227,227
2 April 1968 (USA),"Durango, Mexico",228,228
18 October 1972 (USA),"Tucson, Arizona, USA",229,229
15 November 1952 (USA),"Alabama Hills, Lone Pine, California, USA",230,230
27 October 1953 (USA),"Dijon Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",231,231
June 1945 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",232,232
18 September 1981 (USA),"417 Amapola Lane, Bel Air, Los Angeles, California, USA",233,233
19 January 1964 (USA),,234,234
31 October 1928 (USA),,235,235
21 July 1928 (USA),,236,236
19 June 2015 (USA),"Providence, Rhode Island, USA",237,237
7 August 2015 (USA),"Raleigh Studios Baton Rouge, Celtic Media Centre, Baton Rouge, Louisiana, USA",238,238
19 July 2002 (UK),"Los Angeles, California, USA",239,239
15 July 1994 (USA),"Pawling, New York, USA",240,240
17 September 2010 (USA),"Boston, Massachusetts, USA",241,241
5 October 2007 (USA),"Santa Clarita, California, USA",242,242
21 September 2007 (USA),"Broadway Market, Hackney, London, England, UK",243,243
2 August 2002 (USA),"Bensalem Township, Pennsylvania, USA",244,244
26 June 1998 (USA),"Angola, Louisiana, USA",245,245
20 May 1994 (USA),"Lee's Ferry, Arizona, USA",246,246
28 January 2011 (USA),"Moab, Utah, USA",247,247
20 August 1981 (Argentina),"Echo Park, Los Angeles, California, USA",248,248
12 December 2003 (USA),"Cape Cod, Massachusetts, USA",249,249
25 December 1999 (USA),"Cafe Florian, Piazza San Marco 56-59, Venice, Veneto, Italy",250,250
25 December 2009 (USA),"Anguillara Sabazia, Rome, Lazio, Italy",251,251
24 September 1969 (USA),"Madrid, Spain",252,252
15 March 1940 (USA),"Corriganville, Ray Corrigan Ranch, Simi Valley, California, USA",253,253
9 January 1952 (USA),"Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",254,254
July 1960 (USA),"Berkshire Mountains, Massachusetts, USA",255,255
18 October 2013 (USA),"Los Angeles, California, USA",256,256
25 January 2008 (USA),"Arizona, USA",257,257
22 October 1982 (USA),"Golden Ears Provincial Park, British Columbia, Canada",258,258
15 August 1997 (USA),"New Jersey, USA",259,259
25 December 1994 (USA),Canada,260,260
31 October 2014 (USA),,261,261
5 February 1988 (USA),"Prague, Czech Republic",262,262
11 January 2013 (USA),"Chandigarh, Punjab, India",263,263
2015 (USA),"Los Angeles, California, USA",264,264
26 June 2015 (USA),,265,265
,"Littlefield, Arizona, USA",266,266
25 December 2012 (USA),"Chatham Historic Dockyard, Chatham, Kent, England, UK",267,267
18 January 2008 (USA),"Bloomingdale's - 1000 Third Avenue, Manhattan, New York City, New York, USA",268,268
18 March 1988 (USA),"Clarkesville, Georgia, USA",269,269
21 November 1920 (USA),"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",270,270
23 May 1931 (USA),Africa,271,271
4 September 1936 (USA),"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",272,272
4 September 2015 (USA),,273,273
8 June 1940 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",274,274
23 March 1924 (USA),,275,275
1 August 1947 (USA),"Corriganville, Ray Corrigan Ranch, Simi Valley, California, USA",276,276
6 October 2015 (USA),"Sanford, Florida, USA",277,277
25 August 2006 (USA),"Bowie High School - 4103 W. Slaughter Lane, Austin, Texas, USA",278,278
30 May 1975 (France),"Monterey Village. Tucson, Arizona, USA",279,279
25 December 1997 (USA),"Ait Benhaddou, Morocco",280,280
22 September 1988 (Netherlands),"Ait Benhaddou, Morocco",281,281
22 October 1999 (USA),"Manhattan, New York City, New York, USA",282,282
18 December 1982 (Iceland),"Paramount Building, 1633 Broadway, New York City, New York, USA",283,283
21 June 1977 (USA),"Ballroom, Park Plaza Hotel - 607 S. Park View Street, Los Angeles, California, USA",284,284
1 August 2008 (USA),"Austin, Texas, USA",285,285
24 February 1989 (USA),"Hôtel de Sully, Paris 4, Paris, France",286,286
11 October 1985 (USA),"128 Spring Street, Soho, Manhattan, New York City, New York, USA",287,287
22 August 1986 (USA),"380 South San Rafael Avenue, Pasadena, California, USA",288,288
10 October 2008 (USA),"White House - 1600 Pennsylvania Avenue NW, Washington, District of Columbia, USA",289,289
27 June 2008 (USA),"Sokolec, Czech Republic",290,290
16 November 2007 (USA),"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",291,291
13 March 1998 (USA),"Château de Pierrefonds, Pierrefonds, Oise, France",292,292
28 April 2006 (USA),"Beverly Center - 8500 Beverly Blvd., Los Angeles, California, USA",293,293
31 May 2007 (Hungary),"Austin, Texas, USA",294,294
1 April 2005 (USA),"Austin, Texas, USA",295,295
6 August 1999 (USA),"Blue Bell, Pennsylvania, USA",296,296
14 June 1991 (USA),"Alnwick Castle, Alnwick, Northumberland, England, UK",297,297
25 January 2002 (USA),"North Carolina, USA",298,298
24 July 2009 (USA),"1930 Rodney Drive, Los Angeles, California, USA",299,299
18 January 2008 (USA),"Broadway, Manhattan, New York City, New York, USA",300,300
21 September 2007 (USA),"Church Street Station - 129 W. Church Street, Orlando, Florida, USA",301,301
1 May 2009 (USA),"Brophy Elementary School, Framingham, Massachusetts, USA",302,302
12 February 2010 (USA),"The Original Los Angeles Flower Market - 754 Wall St, Los Angeles, California, USA",303,303
14 February 2008 (USA),"New York City, New York, USA",304,304
29 March 1959 (USA),"Coronado Beach, Coronado, California, USA",305,305
11 April 1952 (USA),"Grauman's Chinese Theater - 6925 Hollywood Blvd., Hollywood, Los Angeles, California, USA",306,306
19 May 1995 (USA),"72nd Street, Broadway, Manhattan, New York City, New York, USA",307,307
14 February 2013 (USA),Hungary,308,308
7 August 2009 (USA),Arctic,309,309
3 July 2007 (USA),"Cesar E Chavez Avenue Viaduct, Downtown, Los Angeles, California, USA",310,310
"Apr 14, 2008 Wide","Palmdale Regional Airport, Palmdale, California, USA",311,311
4 April 2014 (USA),"Los Angeles, California, USA",312,312
2 May 2014 (USA),"Ironhead Studio, Los Angeles, California, USA",313,313
24 June 2016 (USA),"Albuquerque, New Mexico, USA",314,314
11 August 2000 (USA),"Central Park, Manhattan, New York City, New York, USA",315,315
6 October 2015 (USA),"Baton Rouge, Louisiana, USA",316,316
15 October 2004 (USA),"Chicago, Illinois, USA",317,317
4 January 1985 (USA),"Atlantic Beach, North Carolina, USA",318,318
April 1982 (USA),"Los Angeles, California, USA",319,319
3 October 1980 (USA),"Montréal, Québec, Canada",320,320
9 November 1984 (USA),"Oyster Bay, Long Island, New York, USA",321,321
23 September 1983 (USA),"Boston, Massachusetts, USA",322,322
7 February 1992 (USA),"Hotaling Cafe - 60 Hotaling Pl, San Francisco, California, USA",323,323
26 September 2008 (USA),"Carolina Beach, North Carolina, USA",324,324
11 December 1987 (USA),"Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",325,325
31 July 1992 (USA),"The Ebell of Los Angeles - 743 South Lucerne Bouelvard, Los Angeles, California, USA",326,326
2 February 1996 (USA),"Beaufort, South Carolina, USA",327,327
January 2004 (USA),"Bradbury Building - 304 S. Broadway, Downtown, Los Angeles, California, USA",328,328
22 August 1997 (USA),"Beaufort, South Carolina, USA",329,329
18 April 1986 (USA),"Agnes Scott College - 141 E. College Avenue, Decatur, Georgia, USA",330,330
24 May 1991 (USA),"Bakersfield, California, USA",331,331
9 October 1987 (USA),"Forest Hills, Queens, New York City, New York, USA",332,332
2 February 1996 (USA),"Harriman State Park, Bear Mountain, New York, USA",333,333
1 March 1996 (USA),"Holmesburg Prison - 8215 Torresdale Avenue, Philadelphia, Pennsylvania, USA",334,334
21 April 2006 (USA),"Chesapeake Bay Bridge, Chesapeake Bay, Maryland, USA",335,335
27 April 2001 (USA),"Agoura Hills, California, USA",336,336
7 October 2011 (USA),"Oxford, Ohio, USA",337,337
7 November 2013 (Greece),Bahamas,338,338
20 May 2005 (USA),,339,339
28 August 1987 (USA),"2421 S Figueroa St, Los Angeles, California, USA",340,340
6 February 1998 (USA),"Wilmington, North Carolina, USA",341,341
3 March 1995 (USA),"London, England, UK",342,342
22 August 1997 (USA),"Osgoode Hall, Toronto, Ontario, Canada",343,343
26 October 2001 (USA),"Rose Center for Earth & Space - 200 Central Park West, Manhattan, New York City, New York, USA",344,344
12 November 2010 (USA),China,345,345
30 January 2015 (USA),"New York City, New York, USA",346,346
25 July 2013 (Israel),"Stone Mountain - Highway 78, Stone Mountain, Georgia, USA",347,347
19 April 2013 (USA),"Glenville, New York, USA",348,348
29 August 2012 (USA),"Woodbury, Georgia USA",349,349
"May 11, 2012 Limited","Reidsville, North Carolina, USA",350,350
9 December 2005 (USA),"Annapolis, Maryland, USA",351,351
4 March 2011 (USA),"Statue of Liberty, Liberty Island, New York Harbor, New York City, New York, USA",352,352
18 September 2009 (USA),"Blue Mound, Illinois, USA",353,353
9 September 2011 (USA),"Taylor Street, San Francisco, California, USA",354,354
22 October 2010 (USA),"Alexandra Palace, Alexandra Palace Way, Muswell Hill, London, England, UK",355,355
11 December 2009 (USA),South Africa,356,356
19 August 2005 (USA),"Continuum At South Beach - 100 South Pointe Drive, Miami Beach, Florida, USA",357,357
8 October 2009 (USA),"Los Angeles, California, USA",358,358
4 February 2006 (USA),"Los Angeles, California, USA",359,359
24 July 2009 (USA),"Centennial College, Toronto, Ontario, Canada",360,360
25 April 2003 (USA),"Four Aces - 14499 E. Avenue Q, Palmdale, California, USA",361,361
20 October 2000 (USA),"Bradbury Building - 304 S. Broadway, Downtown, Los Angeles, California, USA",362,362
29 May 1981 (USA),"Greenmount Avenue at 33rd Street, Baltimore, Maryland, USA",363,363
15 September 1958 (Sweden),"Hopfenohe, Grafenwöhr, Bavaria, Germany",364,364
16 May 2015 (France),"Foxborough, Massachusetts, USA",365,365
7 August 1954 (USA),"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",366,366
9 December 1955 (Denmark),"Circle Drive, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",367,367
7 August 1953 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",368,368
February 1956 (USA),"Apple Valley Inn - Apple Valley Inn Road, Apple Valley, California, USA",369,369
11 January 1958 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",370,370
30 April 1959 (USA),"Aquarius Theater - 6230 Sunset Blvd., Hollywood, Los Angeles, California, USA",371,371
8 May 1953 (Finland),"Colonial Street, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",372,372
2 August 1956 (USA),"Beverly Hilton Hotel - 9876 Wilshire Blvd., Beverly Hills, California, USA",373,373
July 1953 (USA),"Circle Drive, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",374,374
18 September 1981 (USA),"Delray Beach, Florida, USA",375,375
27 April 1990 (USA),"Bahia, Brazil",376,376
7 January 1998 (France),"Paris, France",377,377
3 May 1996 (USA),"Culver City, California, USA",378,378
17 October 1997 (USA),"209 Short Street, Southport, North Carolina, USA",379,379
"Mar 5, 1999 Wide","5th Avenue, Manhattan, New York City, New York, USA",380,380
19 February 2005 (USA),"Fort Lauderdale, Florida, USA",381,381
20 December 1996 (USA),"3871 Tomales Road, Tomales, California, USA",382,382
1 March 2009 (USA),,383,383
19 September 2014 (USA),"Los Angeles, California, USA",384,384
May 2012 (USA),,385,385
12 August 2014 (Netherlands),"New Orleans, Louisiana, USA",386,386
7 October 1994 (USA),"Cookeville, Tennessee, USA",387,387
4 January 2014 (USA),"Agua Dulce Movie Ranch - 34855 Petersen Road, Agua Dulce, California, USA",388,388
