Actors,original_index,unique_index
"Skip Lipman,Kenyon Wells,Daniel McArthur",47,47
"Chris Alcott,Pete Ashdown,Jean Baudin",48,48
"Ralph H. Baer,Tim Balderamos,Greg Bond",49,49
"Ross Partridge,Oona Laurence,Tom Bower",50,50
"Lorenza Izzo,Ariel Levy,Aaron Burns",51,51
"Tom Hanks,Elizabeth Perkins,Robert Loggia",52,52
"Angelina Jolie,Ethan Hawke,Kiefer Sutherland",53,53
"Winona Ryder,Angelina Jolie,Clea DuVall",54,54
"Jim Sturgess,Hugo Weaving,David Wenham",55,55
"George Clooney,Meryl Streep,Bill Murray",56,56
"Sanaa Lathan,Michael Ealy,Morris Chestnut",57,57
"Henry Cavill,Mickey Rourke,John Hurt",58,58
"Alexander Skarsgård,Andrea Riseborough,Emily Alyn Lind",59,59
"Jesse Eisenberg,Kristen Stewart,Connie Britton",60,60
"Zach Galligan,Phoebe Cates,John Glover",61,61
"JoBeth Williams,Heather O'Rourke,Craig T. Nelson",62,62
"Bill Murray,Karen Allen,John Forsythe",63,63
"Halle Berry,Sharon Stone,Benjamin Bratt",64,64
"Joe Don Baker,Rossano Brazzi,Venantino Venantini",65,65
"Carlos Leon,Eric Smith,Jackie Quinones",66,66
"Cicely Tyson,Paul Winfield,Kevin Hooks",67,67
"Spencer Tracy,Freddie Bartholomew,Lionel Barrymore",68,68
"Bette Davis,Franchot Tone,Margaret Lindsay",69,69
"Bette Davis,Miriam Hopkins,Gig Young",70,70
"Arnold Schwarzenegger,Danny DeVito,Emma Thompson",71,71
"Bette Davis,Susan Hayward,Mike Connors",72,72
"Betty Compson,Conrad Nagel,Robert Ames",73,73
"Walter Pidgeon,Ann Harding,Barry Sullivan",74,74
"Dorothy Jordan,Eric Linden,Purnell Pratt",75,75
"Jack Pearl,Jimmy Durante,Zasu Pitts",76,76
"Bud Abbott,Lou Costello,Lee Bowman",77,77
"Bud Abbott,Lou Costello,Peggy Ryan",78,78
"Bud Abbott,Lou Costello,Fred Clark",79,79
"Margarita Fischer,James B. Lowe,Arthur Edmund Carewe",80,80
"Yul Brynner,George Chakiris,Shirley Anne Field",81,81
"Yul Brynner,Richard Widmark,George Chakiris",82,82
"Lesley-Anne Down,Frank Langella,Maurice Ronet",83,83
"Christopher Reeve,Vanessa Redgrave,Jessica Tandy",84,84
"Paul Newman,Sally Field,Bob Balaban",85,85
"Paul Newman,Melvyn Douglas,Patricia Neal",86,86
"Joel McCrea,Veronica Lake,Robert Warwick",87,87
"Gary Cooper,Madeleine Carroll,Paulette Goddard",88,88
"Errol Flynn,Miriam Hopkins,Randolph Scott",89,89
"Spencer Tracy,Nancy Kelly,Richard Greene",90,90
"Glenn Ford,Bette Davis,Hope Lange",91,91
"Gary Cooper,Jean Arthur,George Bancroft",92,92
"Jean Harlow,Loretta Young,Robert Williams",93,93
"Barbara Stanwyck,David Manners,Sam Hardy",94,94
"Barbara Stanwyck,Regis Toomey,Zasu Pitts",95,95
"Barbara Stanwyck,George Brent,Donald Cook",96,96
"Virginia Davis,Joan Blondell,Anne Shirley",97,97
"Loretta Young,Franchot Tone,Ricardo Cortez",98,98
"Loretta Young,Richard Barthelmess,Aline MacMahon",99,99
"William Powell,Mary Astor,Eugene Pallette",100,100
"William Powell,Myrna Loy,Virginia Grey",101,101
"William Powell,Myrna Loy,Gail Patrick",102,102
"William Powell,Myrna Loy,Una Merkel",103,103
"William Powell,Myrna Loy,Barry Nelson",104,104
"Catherine Mary Stewart,George Gilmour,Grace Kennedy",105,105
"Jeff Dunham,Joe Pingue,Rob Tinkler",106,106
"Mel Gibson,Danny Glover,Joe Pesci",107,107
"Terence Stamp,Peter Fonda,Lesley Ann Warren",108,108
"Linda Fiorentino,Peter Berg,Bill Pullman",109,109
"Gabriel Byrne,Albert Finney,John Turturro",110,110
"Robin Williams,Marcia Gay Harden,Christopher McDonald",111,111
"Bette Davis,Paul Henreid,Claude Rains",112,112
"James Stewart,Lee Remick,Ben Gazzara",113,113
"Priscilla C. Shirer,T.C. Stallings,Karen Abercrombie",114,114
"Christopher Lambert,Adrian Paul,Bruce Payne",115,115
"Henry Fonda,Jane Darwell,John Carradine",116,116
"Charlton Heston,Jack Hawkins,Stephen Boyd",117,117
"Charlton Heston,Roddy McDowall,Kim Hunter",118,118
"Charlton Heston,Anthony Zerbe,Rosalind Cash",119,119
"Bruce Dern,Cliff Potts,Ron Rifkin",120,120
"Matthew Broderick,Ally Sheedy,John Wood",121,121
"Jane Levy,Shiloh Fernandez,Jessica Lucas",122,122
"Tobin Bell,Shawnee Smith,Angus Macfadyen",123,123
"Mary Elizabeth Winstead,Ryan Merriman,Kris Lemche",124,124
"Nick Zano,Krista Allen,Andrew Fiscella",125,125
"James Karen,Thom Mathews,Michael Kenworthy",126,126
"Jason Lively,Tom Atkins,Steve Marshall",127,127
"Jeffrey Combs,Barbara Crampton,Ted Sorel",128,128
"Catherine Parker,Courtney Bell,Dave Levine",129,129
"Christian Bale,Tom Hardy,Anne Hathaway",130,130
"Kyle MacLachlan,Virginia Madsen,Francesca Annis",131,131
"Aaron Eckhart,Michelle Rodriguez,Bridget Moynahan",132,132
"Jacqui Holland,Olivia Bellafontaine,Breanne Benson",133,133
"Laurence Fishburne,Chris Rock,David Hyde Pierce",134,134
"Laurence Olivier,Harry Hamlin,Claire Bloom",135,135
"Ingrid Pitt,Pippa Steel,Madeline Smith",136,136
"Peter Cushing,Christopher Lee,Yvonne Furneaux",137,137
"Bela Lugosi,Helen Chandler,David Manners",138,138
"Fay Wray,Robert Armstrong,Bruce Cabot",139,139
"Morgan Spurlock,Daryl Isaacs,Chemeeka Walker",140,140
"Mia Wasikowska,Johnny Depp,Helena Bonham Carter",141,141
"Daniel Radcliffe,Emma Watson,Rupert Grint",142,142
"Mike Myers,Eddie Murphy,Cameron Diaz",143,143
"Matthew Broderick,Jeremy Irons,James Earl Jones",144,144
"Paige O'Hara,Robby Benson,Jesse Corti",145,145
"Tony Goldwyn,Minnie Driver,Brian Blessed",146,146
"David Spade,John Goodman,Eartha Kitt",147,147
"Joaquin Phoenix,Jeremy Suarez,Rick Moranis",148,148
"Kevin Kline,Kenneth Branagh,Rosie Perez",149,149
"Will Smith,Robert De Niro,Renée Zellweger",150,150
"Elijah Wood,Brittany Murphy,Hugh Jackman",151,151
"Johnny Depp,Isla Fisher,Timothy Olyphant",152,152
"Anna Faris,Bill Hader,Bruce Campbell",153,153
"Ben Stiller,Chris Rock,David Schwimmer",154,154
"Natalie Wood,George Chakiris,Richard Beymer",155,155
"Jill Clayburgh,Alan Bates,Michael Murphy",156,156
"Burt Reynolds,Jill Clayburgh,Candice Bergen",157,157
"Burt Reynolds,Kris Kristofferson,Jill Clayburgh",158,158
"Burt Reynolds,Eddie Albert,Ed Lauter",159,159
"Warren Beatty,James Mason,Julie Christie",160,160
"Warren Beatty,Annette Bening,Harvey Keitel",161,161
"Jack Nicholson,Danny DeVito,Armand Assante",162,162
"Jack Nicholson,Benicio Del Toro,Patricia Clarkson",163,163
"Steve Martin,Diane Keaton,Martin Short",164,164
"Steve Martin,Victoria Tennant,Richard E. Grant",165,165
"Steve Martin,Charles Grodin,Judith Ivey",166,166
"Steve Martin,Bernadette Peters,Jessica Harper",167,167
"Bing Crosby,Madge Evans,Edith Fellows",168,168
"Marlene Dietrich,Randolph Scott,John Wayne",169,169
"Claire Trevor,John Wayne,George Sanders",170,170
"John Wayne,Lauren Bacall,Paul Fix",171,171
"John Wayne,Susan Hayward,Dennis O'Keefe",172,172
"Robert Montgomery,John Wayne,Donna Reed",173,173
"John Wayne,Henry Fonda,Shirley Temple",174,174
"John Wayne,Lauren Bacall,Ron Howard",175,175
"John Wayne,Dean Martin,Martha Hyer",176,176
"John Wayne,Stewart Granger,Ernie Kovacs",177,177
"John Wayne,Lee Marvin,Elizabeth Allen",178,178
"John Wayne,Elsa Martinelli,Hardy Krüger",179,179
"Jim Sturgess,Ed Harris,Colin Farrell",180,180
"Erin Kelly,Diane Gaidry,Laura Breckenridge",181,181
"Laurel Holloman,Nicole Ari Parker,Maggie Moore",182,182
"John Goodman,Jim Broadbent,Mark Williams",183,183
"Robert Redford,Nick Nolte,Emma Thompson",184,184
"Val Lauren,Christian Patrick,James Franco",185,185
"Madonna,Griffin Dunne,Haviland Morris",186,186
"Rosanna Arquette,Madonna,Aidan Quinn",187,187
"Michael Abruscato,Katy Baker,Sam Bologna",188,188
"Frank Sinatra,Dean Martin,Shirley MacLaine",189,189
"Gerard Butler,Tom Wilkinson,Idris Elba",190,190
"Brian O'Halloran,Bryan Johnson,Jerry Lewkowitz",191,191
"Marc Bernardin,Ming Chen,Matt Cohen",192,192
"Jason Mewes,Kevin Smith,Ben Affleck",193,193
"Ben Affleck,Liv Tyler,Raquel Castro",194,194
"Bruce Willis,Tracy Morgan,Juan Carlos Hernández",195,195
"Sean Morelli,Ryan Allen,Alex Alzona",196,196
"Victoria Justice,Pierson Fode,Matthew Daddario",197,197
"Jackie Chan,Kristine DeBell,José Ferrer",198,198
"Sean Penn,Reni Santoni,Jim Moody",199,199
"Tom Cruise,Lea Thompson,Craig T. Nelson",200,200
"Tom Cruise,Nicole Kidman,Thomas Gibson",201,201
"Jason Patric,Corey Haim,Dianne Wiest",202,202
"Julia Roberts,Patrick Bergin,Kevin Anderson",203,203
"Julia Roberts,Javier Bardem,Richard Jenkins",204,204
"Tom Hanks,Julia Roberts,Sarah Mahoney",205,205
"Julia Roberts,Clive Owen,Tom Wilkinson",206,206
"Clive Owen,Naomi Watts,Armin Mueller-Stahl",207,207
"Denzel Washington,Clive Owen,Jodie Foster",208,208
"Robert Duvall,Karen Black,Joe Don Baker",209,209
"Walter Matthau,Joe Don Baker,Felicia Farr",210,210
"Walter Matthau,Glenda Jackson,Sam Waterston",211,211
"Denzel Washington,Christopher Walken,Dakota Fanning",212,212
"Anthony Quinn,Yaphet Kotto,Anthony Franciosa",213,213
"Denzel Washington,Chris Pine,Rosario Dawson",214,214
"Hugh Jackman,Jake Gyllenhaal,Viola Davis",215,215
"Sean Gullette,Mark Margolis,Ben Shenkman",216,216
"Amy Schumer,Bill Hader,Brie Larson",217,217
"Lee Marvin,Jeanne Moreau,Jack Palance",218,218
"Warren Oates,Isela Vega,Robert Webber",219,219
"Warren Oates,Richard B. Shull,Harry Dean Stanton",220,220
"Richard Coogan,Rosemary Pettit,Frank Albertson",221,221
"Steve McQueen,Jackie Gleason,Tuesday Weld",222,222
"Steve McQueen,Ann-Margret,Edward G. Robinson",223,223
"Steve McQueen,Siegfried Rauch,Elga Andersen",224,224
"James Garner,Eva Marie Saint,Yves Montand",225,225
"Burt Lancaster,Paul Scofield,Jeanne Moreau",226,226
"Burt Lancaster,Dina Merrill,Edward Andrews",227,227
"Burt Lancaster,Shelley Winters,Telly Savalas",228,228
"Burt Lancaster,Bruce Davison,Jorge Luke",229,229
"Randolph Scott,Donna Reed,Claude Jarman Jr.",230,230
"Randolph Scott,Lex Barker,Phyllis Kirk",231,231
"Greer Garson,Gregory Peck,Donald Crisp",232,232
"Faye Dunaway,Diana Scarwid,Steve Forrest",233,233
"Joan Crawford,Diane Baker,Leif Erickson",234,234
"Douglas Fairbanks Jr.,Jobyna Ralston,Mildred Harris",235,235
"Thomas Meighan,Evelyn Brent,Renée Adorée",236,236
"Mark Ruffalo,Zoe Saldana,Imogene Wolodarsky",237,237
"Miles Teller,Kate Mara,Michael B. Jordan",238,238
"Danny Huston,Peter Weller,James Merendino",239,239
"Jeremy Davies,Alberta Watson,Elizabeth Newett",240,240
"Ben Affleck,Rebecca Hall,Jon Hamm",241,241
"Ben Stiller,Michelle Monaghan,Malin Akerman",242,242
"Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl",243,243
"Mel Gibson,Joaquin Phoenix,Rory Culkin",244,244
"George Clooney,Jennifer Lopez,Ving Rhames",245,245
"Mel Gibson,Jodie Foster,James Garner",246,246
"James Franco,Amber Tamblyn,Kate Mara",247,247
"John Savage,David Morse,Diana Scarwid",248,248
"Matt Damon,Greg Kinnear,Eva Mendes",249,249
"Matt Damon,Gwyneth Paltrow,Jude Law",250,250
"Daniel Day-Lewis,Marion Cotillard,Penélope Cruz",251,251
"Christopher Lee,Richard Greene,Howard Marion-Crawford",252,252
"Henry Brandon,William Royle,Robert Kellard",253,253
"George Wallace,Aline Towne,Roy Barcroft",254,254
"Marguerite Chapman,Douglas Kennedy,James Griffith",255,255
"Sylvester Stallone,Arnold Schwarzenegger,50 Cent",256,256
"Sylvester Stallone,Julie Benz,Matthew Marsden",257,257
"Sylvester Stallone,Brian Dennehy,Richard Crenna",258,258
"Sylvester Stallone,Harvey Keitel,Ray Liotta",259,259
"Susan Sarandon,Winona Ryder,Kirsten Dunst",260,260
"Tom Benedict Knight,Amanda Fernando Stevens,Robert Ashby",261,261
"Daniel Day-Lewis,Juliette Binoche,Lena Olin",262,262
"Jessica Chastain,Joel Edgerton,Chris Pratt",263,263
"James Franco,Josh Peck,Jason Ritter",264,264
"Mischa Barton,Dave Bautista,Andy Dick",265,265
"Michael Glauser,Brittany Armstrong,Jonathan Cronin",266,266
"Hugh Jackman,Russell Crowe,Anne Hathaway",267,267
"Mike Vogel,Jessica Lucas,Lizzy Caplan",268,268
"Daniel Day-Lewis,Harry Dean Stanton,Kent Broadhurst",269,269
"Wallace Beery,Barbara Bedford,Alan Roscoe",270,270
"Harry Carey,Edwina Booth,Duncan Renaldo",271,271
"Randolph Scott,Binnie Barnes,Henry Wilcoxon",272,272
"Fran Kranz,Pedro Pascal,Joey Kern",273,273
"Edward G. Robinson,Humphrey Bogart,Ann Sothern",274,274
"Edna Murphy,Harold Miller,Whitehorse",275,275
"Jon Hall,Michael O'Shea,Evelyn Ankers",276,276
"Juliana Harkavy,Joshua Mikel,J. LaRose",277,277
"Camilla Belle,Elisha Cuthbert,Edie Falco",278,278
"Ellen Burstyn,Kris Kristofferson,Mia Bendixsen",279,279
"Tenzin Thuthob Tsarong,Gyurme Tethong,Tulku Jamyang Kunga Tenzin",280,280
"Willem Dafoe,Harvey Keitel,Barbara Hershey",281,281
"Nicolas Cage,Patricia Arquette,John Goodman",282,282
"Robert De Niro,Jerry Lewis,Diahnne Abbott",283,283
"Liza Minnelli,Robert De Niro,Lionel Stander",284,284
"Scoot McNairy,Sara Simmonds,Brian McGuire",285,285
"Glenn Close,John Malkovich,Michelle Pfeiffer",286,286
"Griffin Dunne,Rosanna Arquette,Verna Bloom",287,287
"Wil Wheaton,River Phoenix,Corey Feldman",288,288
"Leonardo DiCaprio,Russell Crowe,Mark Strong",289,289
"Angelina Jolie,James McAvoy,Morgan Freeman",290,290
"Ray Winstone,Crispin Glover,Angelina Jolie",291,291
"Leonardo DiCaprio,Jeremy Irons,John Malkovich",292,292
"David Duchovny,Sigourney Weaver,Ioan Gruffudd",293,293
"Kurt Russell,Zoë Bell,Rosario Dawson",294,294
"Mickey Rourke,Clive Owen,Bruce Willis",295,295
"Bruce Willis,Haley Joel Osment,Toni Collette",296,296
"Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio",297,297
"Mandy Moore,Shane West,Peter Coyote",298,298
"Katherine Heigl,Gerard Butler,Bree Turner",299,299
"Katherine Heigl,James Marsden,Malin Akerman",300,300
"Amanda Bynes,Sara Paxton,Matt Long",301,301
"Matthew McConaughey,Jennifer Garner,Emma Stone",302,302
"Julia Roberts,Jamie Foxx,Anne Hathaway",303,303
"Ryan Reynolds,Rachel Weisz,Abigail Breslin",304,304
"Marilyn Monroe,Tony Curtis,Jack Lemmon",305,305
"Gene Kelly,Donald O'Connor,Debbie Reynolds",306,306
"Bruce Willis,Jeremy Irons,Samuel L. Jackson",307,307
"Bruce Willis,Jai Courtney,Sebastian Koch",308,308
"Dennis Quaid,Channing Tatum,Marlon Wayans",309,309
"Shia LaBeouf,Megan Fox,Josh Duhamel",310,310
"Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard",311,311
"Chris Evans,Samuel L. Jackson,Scarlett Johansson",312,312
"Andrew Garfield,Emma Stone,Jamie Foxx",313,313
"Maika Monroe,Liam Hemsworth,Joey King",314,314
"Richard Gere,Winona Ryder,Anthony LaPaglia",315,315
"Casper Van Dien,Victoria Pratt,Eddie Jemison",316,316
"Richard Gere,Jennifer Lopez,Susan Sarandon",317,317
"Matt Mitler,Ruth Martinez,Bill Hitchcock",318,318
"Laurie Lapinski,Stephen Sachs,David Snow",319,319
"Ben Johnson,Jamie Lee Curtis,Hart Bochner",320,320
"Lilyan Chauvin,Gilmer McCormick,Toni Nero",321,321
"Christopher George,Lynda Day George,Frank Braña",322,322
"Richard Gere,Kim Basinger,Uma Thurman",323,323
"Diane Lane,Richard Gere,Christopher Meloni",324,324
"Danny DeVito,Billy Crystal,Kim Greist",325,325
"Meryl Streep,Bruce Willis,Goldie Hawn",326,326
"Jeff Bridges,Caroline Goodall,John Savage",327,327
Encke King,328,328
"Demi Moore,Viggo Mortensen,Anne Bancroft",329,329
"Tom Cruise,Mia Sara,Tim Curry",330,330
"Susan Sarandon,Geena Davis,Harvey Keitel",331,331
"Tom Berenger,Mimi Rogers,Lorraine Bracco",332,332
"Demi Moore,Alec Baldwin,Joseph Gordon-Levitt",333,333
"Robert Redford,Michelle Pfeiffer,Stockard Channing",334,334
"Michael Douglas,Kiefer Sutherland,Kim Basinger",335,335
"Liv Tyler,Matt Dillon,Mary Jo Smith",336,336
"Paul Giamatti,George Clooney,Philip Seymour Hoffman",337,337
Robert Redford,338,338
"John Beard,Tim Belden,Barbara Boxer",339,339
"Arye Gross,Jonathan Stark,Royal Dano",340,340
"Miguel Ferrer,Julie Entwisle,Dan Monahan",341,341
"Robert Englund,Ted Levine,Daniel Matmor",342,342
"Mira Sorvino,Jeremy Northam,Alexander Goodwin",343,343
"Kevin Spacey,Jeff Bridges,Mary McCormack",344,344
"Matt Damon,William Ackman,Daniel Alpert",345,345
"Oscar Isaac,Jessica Chastain,David Oyelowo",346,346
"Robert De Niro,John Travolta,Milo Ventimiglia",347,347
"Ryan Gosling,Bradley Cooper,Eva Mendes",348,348
"Tom Hardy,Shia LaBeouf,Guy Pearce",349,349
"Chloë Grace Moretz,Blake Lively,Rory Culkin",350,350
"George Clooney,Matt Damon,Amanda Peet",351,351
"Matt Damon,Emily Blunt,Lisa Thoreson",352,352
"Matt Damon,Tony Hale,Patton Oswalt",353,353
"Matt Damon,Kate Winslet,Jude Law",354,354
"Matt Damon,Cécile De France,Bryce Dallas Howard",355,355
"Morgan Freeman,Matt Damon,Tony Kgoroge",356,356
"Rachel McAdams,Cillian Murphy,Brian Cox",357,357
"Kelsey Wedeen,Rebecca Larsen,Darrett Sanders",358,358
"Sarah Lassez,James Duval,Devon Odessa",359,359
"Vera Farmiga,Peter Sarsgaard,Isabelle Fuhrman",360,360
"John Cusack,Ray Liotta,Amanda Peet",361,361
"Kevin Spacey,Haley Joel Osment,Helen Hunt",362,362
"Divine,Tab Hunter,Edith Massey",363,363
"John Gavin,Liselotte Pulver,Jock Mahoney",364,364
"Matthew McConaughey,Naomi Watts,Katie Aselton",365,365
"Jane Wyman,Rock Hudson,Agnes Moorehead",366,366
"Jane Wyman,Rock Hudson,Agnes Moorehead",367,366
"Fred Astaire,Cyd Charisse,Oscar Levant",368,367
"Barbara Stanwyck,Fred MacMurray,Joan Bennett",369,368
"Rock Hudson,Robert Stack,Dorothy Malone",370,369
"Lana Turner,John Gavin,Sandra Dee",371,370
"Piper Laurie,Rock Hudson,Charles Coburn",372,371
"James Mason,Barbara Rush,Walter Matthau",373,372
"Barbara Stanwyck,Richard Carlson,Lyle Bettger",374,373
"William Hurt,Kathleen Turner,Richard Crenna",375,374
"Mickey Rourke,Jacqueline Bisset,Carré Otis",376,375
"Mickey Rourke,Agathe de La Fontaine,Angie Everhart",377,376
"Robin Tunney,Fairuza Balk,Neve Campbell",378,377
"Jennifer Love Hewitt,Sarah Michelle Gellar,Anne Heche",379,378
"Sarah Michelle Gellar,Ryan Phillippe,Reese Witherspoon",380,379
"Serah D'Laine,Brad Johnson,Michael Mantell",381,380
"Neve Campbell,Courteney Cox,David Arquette",382,381
"Orion Acaba,Larry Norman",383,382
"Donavon Warren,Patrick Hume,Diana Gettinger",384,383
"Pete Ammel,Phebe Horschel",385,384
"Justin Long,Jerry O'Connell,John Corbett",386,385
"Sylvester Stallone,Sharon Stone,James Woods",387,386
"Wes Bentley,Vincent Piazza,Amber Tamblyn",388,387
"Michiko Jimenez,Jan Gould,Shane Ryan",389,388
"William Forsythe,Bianca Hunter,Tom Sizemore",390,389
"Sharon Stone,Isabelle Adjani,Chazz Palminteri",391,390
"Christopher Rydell,Sharon Stone,Ana Torrent",392,391
"Clint Eastwood,Portia de Rossi,Paul Newman",393,392
"Patrick Dempsey,Amanda Peterson,Courtney Gains",394,393
"John Candy,Maureen O'Hara,Ally Sheedy",395,394
"David Keith,Tuesday Weld,Charlie Schlatter",396,395
"Corey Haim,Kerri Green,Charlie Sheen",397,396
"Corey Haim,Corey Feldman,Carol Kane",398,397
"Eric Stoltz,Mary Stuart Masterson,Lea Thompson",399,398
"Dan Aykroyd,John Candy,Stephanie Faracy",400,399
"Anthony Michael Hall,Ilan Mitchell-Smith,Kelly LeBrock",401,400
"Dennis Quaid,Martin Short,Meg Ryan",402,401
"Christina Applegate,Joanna Cassidy,Josh Charles",403,402
"Andrew McCarthy,Kim Cattrall,Estelle Getty",404,403
"Emma Roberts,Evan Peters,John Cusack",405,404
"Zac Efron,Michael B. Jordan,Miles Teller",406,405
"Michael Cera,Jonah Hill,Christopher Mintz-Plasse",407,406
"Jesse Eisenberg,Emma Stone,Woody Harrelson",408,407
"Simon Pegg,Nick Frost,Seth Rogen",409,408
"Ben Stiller,Jack Black,Robert Downey Jr.",410,409
"Will Ferrell,Mark Wahlberg,Derek Jeter",411,410
"Will Ferrell,Zach Galifianakis,Jason Sudeikis",412,411
"Will Ferrell,Woody Harrelson,André Benjamin",413,412
"Ben Stiller,Cameron Diaz,Matt Dillon",414,413
"Jim Carrey,Maura Tierney,Justin Cooper",415,414
"Jim Carrey,Danny DeVito,Gerry Becker",416,415
"Anthony Hopkins,Edward Norton,Ralph Fiennes",417,416
"Johnny Depp,Heather Graham,Ian Holm",418,417
"Johnny Depp,Benicio Del Toro,Tobey Maguire",419,418
"Johnny Depp,Giovanni Ribisi,Aaron Eckhart",420,419
"Ryan Reynolds,Jeff Bridges,Mary-Louise Parker",421,420
"Jeremy Renner,Gemma Arterton,Peter Stormare",422,421
"Alexander Skarsgård,Brooklyn Decker,Liam Neeson",423,422
"Daniel Craig,Harrison Ford,Olivia Wilde",424,423
"Scarlett Johansson,Ewan McGregor,Djimon Hounsou",425,424
"Denzel Washington,Paula Patton,Jim Caviezel",426,425
"Denzel Washington,Robert Duvall,Gabriela Oltean",427,426
"Al Pacino,John Cazale,Penelope Allen",428,427
"Robert Downey Jr.,Jude Law,Rachel McAdams",429,428
"Will Smith,Tommy Lee Jones,Josh Brolin",430,429
"Jeff Morrow,Faith Domergue,Rex Reason",431,430
"John Agar,Jean Byron,Philip Tonge",432,431
"Richard Egan,Constance Dowling,Herbert Marshall",433,432
"Lionel Barrymore,Jacqueline Gadsdon,Lloyd Hughes",434,433
"Bela Lugosi,Madge Bellamy,Joseph Cawthorn",435,434
"Demi Moore,Jeff Daniels,George Dzundza",436,435
"Elizabeth Berkley,Kyle MacLachlan,Gina Gershon",437,436
"Shepard Fairey,Billy Idol,Dave Navarro",438,437
"Joel McCrea,Mari Blanchard,Murvyn Vye",439,438
"Gary Cooper,Walter Huston,Mary Brian",440,439
"Stan Laurel,Oliver Hardy,Sharon Lynn",441,440
"Stan Laurel,Oliver Hardy,Charley Chase",442,441
"Demian Bichir,Rodrigo Santoro,Benicio Del Toro",443,442
"Lawrence Tibbett,Catherine Dale Owen,Nance O'Neil",444,443
"Paul Muni,Marguerite Churchill,Johnny Mack Brown",445,444
"Paul Muni,Glenda Farrell,Helen Vinson",446,445
"Warren William,Joan Blondell,Aline MacMahon",447,446
"Dick Powell,Joan Blondell,Glenda Farrell",448,447
"Dick Powell,Fred Waring and His Pennsylvanians,Ted Healy",449,448
"Deanna Durbin,Charles Laughton,Robert Cummings",450,449
"James Garner,Melina Mercouri,Sandra Dee",451,450
"Robert Redford,Katharine Ross,Robert Blake",452,451
"Natalie Wood,Robert Redford,Charles Bronson",453,452
"Robert Redford,Jane Fonda,Charles Boyer",454,453
"Jack Lemmon,Walter Matthau,John Fiedler",455,454
"Jack Lemmon,Walter Matthau,Richard Riehle",456,455
"Selena Gomez,Analeigh Tipton,James Franco",457,456
"Adolphe Menjou,Shirley Temple,Dorothy Dell",458,457
"Eduardo Noriega,Enrico Lo Verso,Paula Garcés",459,458
"Sasha Grey,Chris Santos,Philip Eytan",460,459
"Denzel Washington,Angela Bassett,Delroy Lindo",461,460
"Ginger Rogers,Joseph Cotten,Shirley Temple",462,461
