journal_title,journal_issn,original_index,unique_index
Transfusion,0041-1132,79,68
Eur J Cancer Care (Engl),0961-5423 (Print) 0961-5423,80,69
Statistical methods in medical research,0962-2802,81,70
TEACHING Exceptional Children Plus,"1553-9318, 1553-9318",82,71
Actas urologicas espanolas,1699-7980,83,72
Einstein (Sao Paulo),1679-4508,84,73
"Proc. iEMSs 4th Biennial Meeting - Int. Congress on Environmental Modelling and Software: Integrating Sciences and Information Technology for Environmental Assessment and Decision Making, iEMSs 2008",9788480000000,85,74
J Med Toxicol,1556-9039,86,75
,,87,3
Int J Gynaecol Obstet,0020-7292,88,76
Revista de Neurologia,0210-0010,89,77
J Cardiovasc Med (Hagerstown),1558-2027,90,78
Pathologie non allergique et exposition aux moisissures domestiques.,1776-2588,91,79
Nicotine Tob Res,1462-2203,92,80
Journal of Social Service Research,1540-7314 0148-8376,93,81
Am J Manag Care,1088-0224,94,82
Expert Opin Drug Metab Toxicol,1742-5255,95,83
Allergy: European Journal of Allergy and Clinical Immunology,,96,84
J Dent Res,0022-0345,97,85
Am J Physiol Endocrinol Metab,0193-1849,98,86
Journal of the American Dietetic Association,1878-3570,99,87
,,100,3
Cognitive Processing,1612-4782     1612-4790,101,88
,,102,3
Fertility and sterility,1556-5653,103,89
Cancer chemotherapy and pharmacology,1432-0843,104,90
Psycho-oncology,1057-9249,105,91
,,106,3
,,107,3
Current opinion in pharmacology,1471-4892,108,92
The Cochrane Database Of Systematic Reviews,1469-493X,109,93
"Cancer immunology, immunotherapy : CII",1432-0851,110,94
BMJ Open,2044-6055,111,95
,,112,3
Industrial Robot: An International Journal,0143-991X,113,96
The Journal Of Rheumatology,0315-162X,114,97
,,115,3
Journal of applied physiology,0021-8987,116,98
,,117,3
G̩riatrie et Psychologie Neuropsychiatrie du Vieillissement,2115-7863(Electronic);2115-8789(Print),118,99
,,119,3
Anesthesiology (Hagerstown),Mar-22,120,100
Transactions of the Royal Society of Tropical Medicine and Hygiene,1878-3503,121,101
BMC public Health,1471-2458,122,102
International journal of clinical and experimental pathology,1936-2625,123,103
Int J Gynecol Cancer,1048-891X (Print)     1048-891x,124,104
"Neurologia (Barcelona, Spain)",1578-1968,125,105
,,126,3
Medicinski Glasnik,1840-0132 1840-2445 (electronic),127,106
Scientific Session and Scientiftc Poster Abstracts,1051-0443,128,107
Curr. Vasc. Pharmacol.,-7518,129,108
Journal of the American Geriatrics Society,Feb-14,130,109
Am. J. Trop. Med. Hyg.,Feb-37,131,110
,,132,3
" BMJ 2006, 333:939",,133,111
Annals of Internal Medicine,,134,112
The Journals of Gerontology: Series A: Biological Sciences and Medical Sciences,1079-5006,135,113
Skeletal Radiology,1432-2161,136,114
Pharmacoeconomics,,137,115
,,138,3
,,139,3
,,140,3
,,141,3
Health Technology Assessment Database,,142,116
J Hand Surg Br,0266-7681 (Print) 0266-7681,143,117
Journal of cardiovascular electrophysiology,1540-8167,144,118
Chinese Journal of New Drugs,,145,119
,,146,3
Eur J Gen Pract,1381-4788,147,120
Gut,0017-5749,148,121
General dentistry,0363-6771,149,122
Food Control,0956-7135,150,123
Neuropsychologia,1873-3514,151,124
"Euthanasie en andere medische beslissingen rond het levenseinde, 1990-1995",0028-2162,152,125
,,153,3
American Journal of Acupuncture,00913960 (ISSN),154,126
Swiss Med. Wkly,1424-7860,155,127
Circulation Journal,,156,128
CNS spectrums,1092-8529,157,129
Paliativn�_ Schanzova osteotomie p��i nereponibiln�_ luxaci ky��eln�_ho kloubu u pacient�� s d��tskou mozkovou obrnou v adolescentn�_m v��u,Jan-15,158,130
Hippokratia,1790-8019,159,131
Psycho-Oncology,,160,132
Journal of Clinical and Diagnostic Research,2249-782X,161,133
,,162,3
,,163,3
Strabismus,0927-3972,164,134
,,165,3
Focus on Alternative and Complementary Therapies,,166,135
Animal,1751-7311,167,136
Cochrane Database of Systematic Reviews,,168,137
,,169,3
Diabet Med,0742-3071,170,138
,,171,3
Journal of receptor and signal transduction research,1532-4281,172,139
Functional Neurology,0393-5264,173,140
Spine,0362-2436,174,141
Annals of the New York Academy of Sciences,0077-8923,175,142
Ann N Y Acad Sci,0077-8923 (Print) 0077-8923,176,143
"Obesity (Silver Spring, Md.)",1930-7381,177,144
Water science and technology : a journal of the International Association on Water Pollution Research,0273-1223,178,145
Orthopedics,1938-2367,179,146
Haematologica,0390-6078,180,147
Scandinavian journal of psychology,1467-9450,181,148
,,182,3
,,183,3
AIDS Care,0954-0121,184,149
Mount Sinai Journal of Medicine,,185,150
Radiotherapy and Oncology,,186,151
Alternative Therapies in Health and Medicine,1078-6791,187,152
Journal of International Education Research,2158-0979,188,153
Radiologic Clinics of North America,0033-8389 DO  - http://dx.doi.org/10.1016/j.rcl.2010.07.015,189,154
Health Education & Behavior,1090-1981,190,155
Pediatric annals,0090-4481,191,156
Learning & Leading with Technology,,192,157
Journal of the National Cancer Institute,1460-2105,193,158
Journal of Science & Medicine in Sport,14402440,194,159
,,195,3
European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,1434-4726,196,160
BMC Medical Research Methodology,1471-2288,197,161
Annals Of Surgery,1528-1140,198,162
Journal of biomaterials applications,0885-3282,199,163
The journal of headache and pain,1129-2377,200,164
ProQuest LLC,978-1-2673-2110-7,201,165
Journal of sports sciences,0264-0414,202,166
European Journal of Endocrinology,,203,167
"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",1460-2385,204,168
Cytokine,1096-0023,205,169
,,206,3
,,207,3
Arch Surg,0004-0010 (Print) 0004-0010,208,170
Muscle & nerve,1097-4598,209,171
Social science & medicine (1982),1873-5347,210,172
International archives of occupational and environmental health,0340-0131,211,173
Ugeskr Laeger,0041-5782 (Print) 0041-5782,212,174
,,213,3
Critical reviews in oncology/hematology,1879-0461,214,175
,,215,3
"Public health reports (Washington, D.C. : 1974)",0033-3549,216,176
Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,1462-8910,217,177
,,218,3
Journal of Consulting and Clinical Psychology,,219,178
Computerized Medical Imaging and Graphics: The Official Journal of the Computerized Medical Imaging Society,0895-6111,220,179
,,221,3
American Journal of Clinical Nutrition,,222,180
Int J Obes (Lond),0307-0565,223,181
,,224,3
,,225,3
Endocrinology,1945-7170,226,182
American Journal of Clinical Oncology-Cancer Clinical Trials,0277-3732,227,183
International Journal of Behavioral Consultation and Therapy,1555-7855,228,184
,,229,3
McNeill Mathematics Program,87567555,230,185
The Journal of hospital infection,1532-2939,231,186
Best practice & research. Clinical gastroenterology,1532-1916,232,187
Am J Obstet Gynecol,0002-9378 (Print) 0002-9378,233,188
Medical teacher,1466-187X,234,189
Acta cytologica,Jan-47,235,190
Atherosclerosis. Supplements,1567-5688,236,191
Schlafsțrungen bei kritisch kranken patienten,Mar-17,237,192
BMJ Open,2044-6055,238,95
Mycoses,0933-7407,239,193
BMC Musculoskelet Disord,1471-2474,240,194
Clinical Oncology (Royal College of Radiologists),1433-2981,241,195
BMJ Open,2044-6055,242,95
Physiotherapy,1873-1465,243,196
Public health genomics,1662-8063,244,197
,,245,3
Journal of the International Neuropsychological Society : JINS,1469-7661,246,198
Revista Brasileira de terapia intensiva,1982-4335,247,199
Gene,1879-0038,248,200
Am. J. Managed Care,1088-0224,249,201
Journal of Clinical Gastroenterology,,250,202
Journal of Health Care for the Poor & Underserved,1049-2089,251,203
Biomedical engineering online,1475-925X,252,204
Disease Management and Clinical Outcomes,1088-3371,253,205
Nature: New biology,0090-0028,254,206
Cardiology in the young,1467-1107,255,207
Journal of Huazhong University of Science and Technology. Medical Sciences,1672-0733,256,208
Journal of Epidemiology and Community Health,0143-005X,257,209
Critical care medicine,1530-0293,258,210
"Molecular Biology of the Cell. Conference: Annual Meeting of the American Society for Cell Biology, ASCB",,259,211
Experimental Aging Research,0361-073X     1096-4657,260,212
Johns Hopkins Medical Journal,,261,213
Urologe A,0340-2592,262,214
Prev Med,0091-7435,263,215
Chest,,264,216
Psychiatric Services.,1075-2730,265,217
Archives of General Psychiatry,0003-990X,266,218
Journal of Sexual Medicine,,267,219
Interactive Cardiovascular & Thoracic Surgery,1569-9285,268,220
"The Chartered Society of Physiotherapy Annual Congress and Exhibition: Defining Practice, Friday, October 17 to Sunday, October 19 2003, International Convention Centre, Birmingham.",,269,221
Curr. Probl. Cardiol.,-10475,270,222
Vox Sanguinis,0042-9007,271,223
The British Journal of Psychiatry,0007-1250 1472-1465,272,224
American Journal of Community Psychology,0091-0562,273,225
Ultrasound Obstet. Gynecol.,-8906,274,226
,,275,3
,,276,3
Annual Abstract Supplement,0016-5085,277,227
Journal of psychiatric research,1879-1379,278,228
Proceedings of the 23rd ACM international conference on Multimedia,978-1-4503-3459-4,279,229
Neurology,1526-632X,280,230
International Journal of Oral and Maxillofacial Surgery,0901-5027,281,231
Journal of the American Veterinary Medical Association,1943-569X,282,232
,,283,3
,,284,3
,,285,3
Journal of medical imaging and radiation oncology,1754-9485,286,233
European Respiratory Journal,,287,234
PLoS One,1932-6203,288,25
Kardiologia Polska,0022-9032,289,235
European journal of applied physiology and occupational physiology,0301-5548,290,236
Nutrients,2072-6643,291,237
Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,1473-0502,292,238
Chin. Med,1749-8546,293,239
Current Immunology Reviews,1573-3955     1875-631X,294,240
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,1423-0380,295,241
CNS Drugs,,296,242
Scandinavian journal of infectious diseases. Supplementum,0300-8878,297,243
,,298,3
Applied nursing research : ANR,1532-8201,299,244
Aktuelle Traumatologie,,300,245
JOURNAL OF CHEMICAL PHYSICS,1089-7690,301,246
J Orthop Sci,0949-2658 (Print) 0949-2658,302,247
,,303,3
Rev Med Chir Soc Med Nat Iasi,0048-7848 (Print) 0048-7848,304,248
J Okla State Med Assoc,0030-1876 (Print) 0030-1876,305,249
,,306,3
Social Science and Medicine,,307,250
Gut,0017-5749,308,121
Chest,,309,216
,,310,3
,,311,3
European journal of applied physiology,1439-6327,312,251
,,313,3
,,314,3
Radiology,1527-1315,315,252
Journal of Neurocytology,,316,253
Canadian Journal of Anaesthesia,,317,254
The British journal of social psychology / the British Psychological Society,0144-6665,318,255
Cardiology in the young,1467-1107,319,207
Urban Studies (Routledge),420980,320,256
Dento maxillo facial radiology,0250-832X,321,257
Actas espa̱olas de psiquiatr�_a,1578-2735,322,258
International journal of colorectal disease,1432-1262,323,259
,,324,3
,,325,3
The neurologist,1074-7931,326,260
,,327,3
Expert opinion on emerging drugs,1744-7623,328,261
,,329,3
American Indian and Alaska Native Mental Health Research: The Journal of the National Center,1533-7731,330,262
Drugs & aging,1179-1969,331,263
,,332,3
,,333,3
Endodontics & dental traumatology,0109-2502,334,264
Cardiol Young,1047-9511,335,265
AACN Clinical Issues: Advanced Practice in Acute & Critical Care,1079-0713,336,266
Leukemia and Lymphoma,NCT00227591/ClinicalTrials.gov NCT00509899/ClinicalTrials.gov NCT00599547/ClinicalTrials.gov NCT00631462/ClinicalTrials.gov NCT00934544/ClinicalTrials.gov NCT00952289/ClinicalTrials.gov NCT01420770/ClinicalTrials.gov NCT01437787/ClinicalTrials.gov,337,267
The hematology journal : the official journal of the European Haematology Association / EHA,1466-4860,338,268
,,339,3
International journal of geriatric psychiatry,1099-1166,340,269
Acta Neurochir Suppl (Wien),0065-1419 (Print)     0065-1419,341,270
,,342,3
Acta Clin. Croat.,0353-9466,343,271
,,344,3
Aging & Mental Health,1360-7863,345,272
Supplement: Active Living Research - Niche to Norm,0091-7435,346,273
Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,1463-1318,347,274
Allergy and asthma proceedings : the official journal of regional and state allergy societies,1539-6304,348,275
,,349,3
International Journal of Social Psychiatry,0020-7640,350,276
East African Medical Journal,0012-835X,351,277
,,352,3
Bmc Cancer,1471-2407,353,278
Journal Of Anesthesia,1438-8359,354,279
Eating Behaviors,,355,280
Parkinsonism & related disorders,1873-5126,356,281
Turk. J. Pediatr.,0041-4301,357,282
,,358,3
Psychother. Psychosom.,-4928,359,283
Diseases of the esophagus : official journal of the International Society for Diseases of the Esophagus / I.S.D.E,1442-2050,360,284
Ann Fr Anesth Reanim,0750-7658,361,285
Journal of Sports Medicine & Physical Fitness,0022-4707,362,286
Experimental cell research,1090-2422,363,287
Journal of Substance Abuse Treatment,,364,288
BioMed research international,2314-6141,365,289
Multicultural Education & Technology Journal,1750-497X,366,290
JPN. J. ANESTHESIOL.,0021-4892,367,291
Injury,0020-1383,368,292
International Journal of Qualitative Studies in Education (QSE),9518398,369,293
BR J ANAESTH,0007-0912,370,294
Annals of internal medicine,1539-3704,371,295
Energy Policy,0301-4215,372,296
PLoS ONE [Electronic Resource],,373,297
Journal of Biomolecular Techniques,,374,298
Hepato-gastroenterology,0172-6390,375,299
Current Opinion in Ophthalmology,,376,300
PLoS One,1932-6203,377,25
J Toxicol Environ Health,0098-4108 (Print)     0098-4108 (Linking),378,301
,,379,3
Anesthesia And Analgesia,1526-7598,380,302
Bulletin of mathematical biology,0092-8240,381,303
Kekkaku : [Tuberculosis],0022-9776,382,304
,,383,3
British journal of sports medicine,1473-0480,384,305
The Science of the total environment,1879-1026,385,306
,,386,3
,,387,3
,,388,3
Ann Pharmacother,1060-0280,389,307
PharmacoEconomics,1170-7690,390,308
American Journal of Epidemiology,Feb-62,391,309
Cirug�_a Pedi��trica: Organo Oficial De La Sociedad Espa̱ola De Cirug�_a Pedi��trica,0214-1221,392,310
O papel dos profissionais de saude em casos de violencia domestica: um relato de experiencia.,0102-6933,393,311
Pediatrics,,394,312
Postgraduate medical journal,1469-0756,395,313
Minerva cardioangiologica,1827-1618,396,314
Anesthesia And Analgesia,1526-7598,397,302
Int. J.  Pharmcy Pharm. Sci.,0975-1491,398,315
Neurobiology of aging,1558-1497,399,316
World J Pediatr Congenit Heart Surg,2150-1351 (Print)     2150-1351,400,317
American journal of veterinary research,1943-5681,401,318
Supply Chain Management,13598546,402,319
Critical Care Nursing Quarterly,,403,320
Clinical psychology review,1873-7811,404,321
ANN. ONCOL.,0923-7534,405,322
Polskie Archiwum Medycyny Wewnetrznej,,406,323
"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",1878-0539,407,324
,,408,3
Wiener Medizinische Wochenschrift,,409,325
,,410,3
PRIMUS,"1051-1970, 1051-1970",411,326
Developmental Psychology,0012-1649,412,327
,,413,3
,,414,3
Cancer,1097-0142,415,328
Annals of oncology : official journal of the European Society for Medical Oncology / ESMO,1569-8041,416,329
PALLIATIVE MED.,0269-2163,417,330
Clinical cardiology,0160-9289,418,331
,,419,3
Nature Clinical Practice Neurology,1745-834X     1745-8358,420,332
Journal of dental research,0022-0345,421,333
Addictive Behaviors,0306-4603,422,334
Am J Perinatol,0735-1631,423,335
,,424,3
,,425,3
,,426,3
Anadolu kardiyoloji dergisi : AKD = the Anatolian journal of cardiology,1308-0032,427,336
The Lancet,,428,337
,,429,3
Nederlands Tijdschrift Voor Fysiotherapie,0377-208X,430,338
,,431,3
European Heart Journal,,432,339
Swiss Medical Weekly,,433,340
Am J Clin Nutr,Feb-65,434,341
,,435,3
BMC Oral Health,1472-6831,436,342
JOURNAL OF CELL SCIENCE,0021-9533,437,343
Respirology,,438,344
BR. J. CANCER,0007-0920,439,345
J. Am. Geriatr. Soc.,Feb-14,440,346
"Revue de stomatologie, de chirurgie maxillo-faciale et de chirurgie orale",2213-6541,441,347
"Journal of cardiovascular medicine (Hagerstown, Md.)",1558-2035,442,348
Italian Journal of Psychopathology,1592-1107,443,349
Consumer Reports on Health,1058-0832,444,350
"Journal of clinical hypertension (Greenwich, Conn.)",1751-7176,445,351
Frontiers in human neuroscience,1662-5161,446,352
Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,1557-170X,447,353
Journal of the American Medical Informatics Association : JAMIA,1527-974X,448,354
Pharmacoeconomics,,449,115
Journal of learning disabilities,0022-2194,450,355
Obesity reviews : an official journal of the International Association for the Study of Obesity,1467-789X,451,356
Diabetes technology & therapeutics,1520-9156,452,357
Ophthalmology and eye diseases,1179-1721,453,358
Indian Journal of Physiology and Pharmacology,0019-5499,454,359
Nowoczesne biomateria��y jako opatrunki hemostatyczne w chirurgii oszczedzajacej miazsz nerki--model zwierzecy. Doniesienie wstepne.,0370-0747,455,360
,,456,3
International urogynecology journal,1433-3023,457,361
Pain Medicine,,458,362
Cancer Research,,459,363
Revista latino-americana de enfermagem,0104-1169,460,364
Thrombosis And Haemostasis,0340-6245,461,365
Public health nutrition,1475-2727,462,366
Cancer Treatment Reviews,,463,367
J Pain Res,1178-7090,464,368
J Clin Microbiol,0095-1137 (Print) 0095-1137,465,369
Laboratory Investigation,0023-6837,466,370
Child & Family Social Work,1356-7500,467,371
Surg. Endosc. Interv. Tech.,-5514,468,372
,,469,3
Health Educ Behav,1090-1981,470,373
Journal of the American Academy of Child and Adolescent Psychiatry,1527-5418,471,374
"Science (New York, N.Y.)",1095-9203,472,375
Case Reports in Medicine,1687-9627,473,376
Korean Journal of Anesthesiology,2005-7563,474,377
Physics in medicine and biology,1361-6560,475,378
Surgery,1532-7361,476,379
IEEE transactions on nuclear science,0018-9499,477,380
The International journal of developmental biology,1696-3547,478,381
Scandinavian cardiovascular journal : SCJ,1651-2006,479,382
Rheumatology (Oxford),1462-0324,480,383
Pain,0304-3959,481,384
Emergency Radiology,1070-3004,482,385
Australian & New Zealand Journal of Mental Health Nursing,1324-3780,483,386
Tob Control,0964-4563,484,387
Physiological research / Academia Scientiarum Bohemoslovaca,0862-8408,485,388
Physiotherapy,1873-1465,486,196
,,487,3
,,488,3
Pediatrics,,489,312
,,490,3
European heart journal,1522-9645,491,389
"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",1433-7347,492,50
,,493,3
Horumon to rinsho. Clinical endocrinology,0045-7167,494,390
JAMA,,495,391
"Proceedings of the Asme Pressure Vessels and Piping Conference 2010, Vol 7",978-0-7918-4926-2,496,392
LaboratoriumsMedizin,,497,393
,,498,3
"Clinical medicine (London, England)",1473-4893,499,394
Forsinket implementering af internationale retningslinjer for computertomografi med iodholdigt kontraststof .,1603-6824,500,395
,,501,3
Journal of Women & Aging,0895-2841,502,396
Dissertation Abstracts International: Section B: The Sciences and Engineering,-94325,503,397
TAKAYASUSCHE ARTERIITIS MIT MULTIPLEN INTRAKRANIELLEN ANEURYSMEN,0428-8246,504,398
Scandinavian journal of rheumatology,0300-9742,505,399
Administration and policy in mental health,0894-587X,506,400
Czasopismo stomatologiczne,Nov-53,507,401
International Journal of Medical Informatics,,508,402
International Urology and Nephrology,0301-1623,509,403
Pediatric physical therapy,,510,404
Journal of Korean Neurosurgical Society,2005-3711,511,405
Bmj-British Medical Journal,1756-1833,512,406
,,513,3
J. Pediatric Infect. Dis. Soc.,-14400,514,407
JAMA otolaryngology-- head & neck surgery,2168-619X,515,408
Molecular Biology Reports,0301-4851,516,409
Journal of aerosol medicine and pulmonary drug delivery,1941-2703,517,410
Journal of epidemiology and community health.,1470-2738,518,411
CHUNG-HUA I HSUEH TSA CHIH [CHINESE MEDICAL JOURNAL],0376-2491,519,412
Canadian Forces Dental Services quarterly,0045-4850,520,413
British Journal of Midwifery,0969-4900,521,414
Cochrane Database Syst. Rev.,1469-493X,522,42
Journal Of Oral And Maxillofacial Surgery: Official Journal Of The American Association Of Oral And Maxillofacial Surgeons,1531-5053,523,415
The Journal of biological chemistry,1083-351X,524,416
Chinese medical journal,0366-6999,525,417
Occupational Medicine-Oxford,0962-7480,526,418
,,527,3
Environmental toxicology and pharmacology,1872-7077,528,419
J. Cardiovasc. Med.,1558-2027,529,420
"Dissertation Abstracts International, A: The Humanities and Social Sciences",,530,421
"Science (New York, N.Y.)",1095-9203,531,375
Neuroscience,1873-7544,532,422
Experimental neurology,1090-2430,533,423
Annals of Emergency Medicine American College of Emergency Physician's Research Forum,0196-0644,534,424
Paediatrics & child health,1918-1485,535,425
,,536,3
Family & Community Health,0160-6379,537,426
,,538,3
,,539,3
AJR. American Journal Of Roentgenology,0361-803X,540,427
,,541,3
Cancer Biotherapy,1062-8401,542,428
BMJ,1468-5833 (Electronic),543,429
,,544,3
Rheumatology (Oxford),1462-0324,545,383
,,546,3
,,547,3
J. Urol.,0022-5347,548,430
Disability and rehabilitation,1464-5165,549,431
Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,1532-8511,550,30
Games and Economic Behavior,0899-8256,551,432
,,552,3
J Bone Joint Surg Br,0301-620X (Print) 0301-620x,553,433
Journal of cancer research and clinical oncology,1432-1335,554,434
International journal of obesity (2005),1476-5497,555,435
,,556,3
American Acupuncturist,1520-7714,557,436
,,558,3
Alcohol Clin Exp Res,0145-6008,559,437
Klinik Psikofarmakoloji Bulteni,1017-7833,560,438
Journal of Nursing UFPE / Revista de Enfermagem UFPE,1981-8963,561,439
,,562,3
The British journal of psychiatry : the journal of mental science,1472-1465,563,440
,,564,3
Hernia : the journal of hernias and abdominal wall surgery,1248-9204,565,441
Lancet,1474-547X,566,442
Small Ruminant Research,0921-4488,567,443
,,568,3
International psychogeriatrics / IPA,1041-6102,569,444
Jornal brasileiro de pneumologia : publicacao oficial da Sociedade Brasileira de Pneumologia e Tisilogia,1806-3756,570,445
"JOGNN: Journal of Obstetric, Gynecologic & Neonatal Nursing",0884-2175,571,446
Harefuah,,572,447
,,573,3
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,1423-0380,574,241
Croatian Medical Journal,0353-9504,575,448
International journal of stroke : official journal of the International Stroke Society,1747-4949,576,449
European journal of heart failure,1879-0844,577,450
Yonsei Medical Journal,1976-2437,578,451
Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,1592-7830,579,452
Canadian family physician Medecin de famille canadien,1715-5258,580,453
Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,1433-0350,581,454
,,582,3
Journal of Sexual Medicine,,583,219
,,584,3
Archives Of Physical Medicine And Rehabilitation,1532-821X,585,455
European Journal Of Anaesthesiology,1365-2346,586,456
Clinical Biomechanics,0268-0033 DO  - http://dx.doi.org/10.1016/j.clinbiomech.2015.03.009,587,457
Pharmacogenomics,1462-2416,588,458
Rinsho Byori,0047-1860 (Print)     0047-1860,589,459
J Nutr Gerontol Geriatr,,590,460
Journal of Epidemiology & Community Health,0143-005X,591,461
,,592,3
,,593,3
Online Submission,978-957-41-6666-4,594,462
J Orthop Sci,0949-2658 (Print) 0949-2658,595,247
Geriatr Gerontol Int,1447-0594,596,463
,,597,3
,,598,3
Respiratory medicine,,599,464
Veterinary clinical pathology / American Society for Veterinary Clinical Pathology,1939-165X,600,465
Cardiovascular therapeutics,,601,466
Bulletin of the World Health Organization,0042-9686,602,467
Plos Neglected Tropical Diseases,1935-2735,603,468
Neuropharmacology,1873-7064,604,469
,,605,3
Physical therapy,0031-9023,606,470
Physica D: Nonlinear Phenomena,0167-2789 DO  - http://dx.doi.org/10.1016/j.physd.2013.07.012,607,471
Zeitschrift f��r Erkrankungen der Atmungsorgane mit Folia bronchologica,0044-2631,608,472
Int. Angiol.,0392-9590,609,473
Blood Reviews,0268-960X,610,474
J Altern Complement Med,1075-5535,611,475
Jama,0098-7484,612,476
Complementary Therapies in Medicine,,613,477
Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,1522-726X,614,478
Nature,1476-4687,615,479
The European respiratory journal,0903-1936,616,480
,,617,3
"Public health nursing (Boston, Mass.)",0737-1209,618,481
Value in Health,,619,482
Feminist Legal Studies,09663622 (ISSN),620,483
Impfstoffe: Akzeptanz und Sicherheit.,1439-4413,621,484
,,622,3
Journal of Psychiatric Research,0022-3956,623,485
International Journal of Obesity,,624,486
Sleep,0161-8105,625,487
JPN. J. CANCER RES.,0910-5050,626,488
Journal of dental research,0022-0345,627,333
Therapeutic advances in respiratory disease,1753-4666,628,489
