style,brewery-name,original_index,unique_index
American Blonde Ale,Back East Brewing Company,175,138
American IPA,Back East Brewing Company,176,139
American Amber / Red Ale,Back East Brewing Company,177,140
English Brown Ale,Back Forty Beer Company,178,141
American Pale Ale (APA),Back Forty Beer Company,179,142
American IPA,Bale Breaker Brewing Company,180,143
American Pale Ale (APA),Bale Breaker Brewing Company,181,144
American IPA,Ballast Point Brewing Company,182,145
American IPA,Ballast Point Brewing Company,183,145
Kölsch,Ballast Point Brewing Company,184,146
American IPA,Ballast Point Brewing Company,185,145
Munich Helles Lager,Ballast Point Brewing Company,186,147
American IPA,Ballast Point Brewing Company,187,145
Extra Special / Strong Bitter (ESB),Banner Beer Company,188,148
Rye Beer,Banner Beer Company,189,149
American Amber / Red Ale,Banner Beer Company,190,150
American IPA,Bare Hands Brewery,191,151
American IPA,Barrio Brewing Company,192,152
American Blonde Ale,Barrio Brewing Company,193,153
American Pilsner,Base Camp Brewing Co.,194,154
American IPA,Base Camp Brewing Co.,195,155
American Pale Lager,Base Camp Brewing Co.,196,156
Witbier,Base Camp Brewing Co.,197,157
Euro Dark Lager,Base Camp Brewing Co.,198,158
California Common / Steam Beer,Bauhaus Brew Labs,199,159
American IPA,Bauhaus Brew Labs,200,160
Schwarzbier,Bauhaus Brew Labs,201,161
German Pilsener,Bauhaus Brew Labs,202,162
California Common / Steam Beer,Baxter Brewing Company,203,163
Hefeweizen,Baxter Brewing Company,204,164
American Pale Wheat Ale,Baxter Brewing Company,205,165
Foreign / Export Stout,Baxter Brewing Company,206,166
Rye Beer,Baxter Brewing Company,207,167
American Pale Wheat Ale,Baxter Brewing Company,208,165
American Amber / Red Ale,Baxter Brewing Company,209,168
American Pale Ale (APA),Baxter Brewing Company,210,169
American IPA,Baxter Brewing Company,211,170
American Double / Imperial IPA,Beach Brewing Company,212,171
Fruit / Vegetable Beer,Beer Works Brewery,213,172
American Pale Ale (APA),Beer Works Brewery,214,173
American IPA,Beer Works Brewery,215,174
Other,Beer Works Brewery,216,175
American Pale Wheat Ale,Bell's Brewery,217,176
Rye Beer,Bell's Brewery,218,177
Witbier,Bell's Brewery,219,178
American Pale Wheat Ale,Bell's Brewery,220,176
American IPA,Bell's Brewery,221,179
American Brown Ale,Bell's Brewery,222,180
English India Pale Ale (IPA),Bent Brewstillery,223,181
American Double / Imperial IPA,Bent Brewstillery,224,182
American Blonde Ale,Bent Brewstillery,225,183
American Black Ale,Bent Paddle Brewing Company,226,184
American IPA,Bent Paddle Brewing Company,227,185
Extra Special / Strong Bitter (ESB),Bent Paddle Brewing Company,228,186
American IPA,Bent Paddle Brewing Company,229,185
American Black Ale,Bent Paddle Brewing Company,230,184
German Pilsener,Bent Paddle Brewing Company,231,187
English India Pale Ale (IPA),Berkshire Brewing Company,232,188
American Pale Ale (APA),Berkshire Brewing Company,233,189
American IPA,Big Bend Brewing Company,234,190
Czech Pilsener,Big Bend Brewing Company,235,191
American Porter,Big Bend Brewing Company,236,192
Hefeweizen,Big Bend Brewing Company,237,193
American Blonde Ale,Big Bend Brewing Company,238,194
American Strong Ale,Big Choice Brewing,239,195
American Double / Imperial IPA,Big Choice Brewing,240,196
California Common / Steam Beer,Big Choice Brewing,241,197
American Amber / Red Ale,Big Choice Brewing,242,198
American IPA,Big Elm Brewing,243,199
American Stout,Big Elm Brewing,244,200
Saison / Farmhouse Ale,Big Elm Brewing,245,201
American Stout,Big Lake Brewing,246,202
American IPA,Big Lake Brewing,247,203
Fruit / Vegetable Beer,Big Muddy Brewing,248,204
American IPA,Big Muddy Brewing,249,205
Czech Pilsener,Big River Brewing Company,250,206
American IPA,Big River Brewing Company,251,207
American IPA,Big Sky Brewing Company,252,208
English Pale Ale,Big Sky Brewing Company,253,209
American Pale Wheat Ale,Big Sky Brewing Company,254,210
American Brown Ale,Big Sky Brewing Company,255,211
English Strong Ale,Big Sky Brewing Company,256,212
American Brown Ale,Big Sky Brewing Company,257,211
American Pale Wheat Ale,Big Sky Brewing Company,258,210
American IPA,Big Sky Brewing Company,259,208
American Blonde Ale,Big Sky Brewing Company,260,213
English Pale Ale,Big Sky Brewing Company,261,209
American Pale Wheat Ale,Big Sky Brewing Company,262,210
American Brown Ale,Big Sky Brewing Company,263,211
American IPA,Big Storm Brewing Company,264,214
American Amber / Red Ale,Big Storm Brewing Company,265,215
American Pale Ale (APA),Big Wood Brewery,266,216
Rye Beer,Big Wood Brewery,267,217
American Double / Imperial IPA,Big Wood Brewery,268,218
Oatmeal Stout,Big Wood Brewery,269,219
American IPA,Big Wood Brewery,270,220
American Pale Ale (APA),Birdsong Brewing Company,271,221
American Brown Ale,Bitter Root Brewing,272,222
American Pale Ale (APA),Bitter Root Brewing,273,223
American Blonde Ale,Bitter Root Brewing,274,224
Rye Beer,Black Acre Brewing Co.,275,225
American Blonde Ale,Black Market Brewing Company,276,226
American IPA,Black Market Brewing Company,277,227
Hefeweizen,Black Market Brewing Company,278,228
American Pale Ale (APA),Black Market Brewing Company,279,229
American Strong Ale,Black Shirt Brewing Company,280,230
American Porter,Black Shirt Brewing Company,281,231
Saison / Farmhouse Ale,Black Shirt Brewing Company,282,232
American Amber / Red Ale,Black Shirt Brewing Company,283,233
American Brown Ale,Black Tooth Brewing Company,284,234
American Amber / Red Ale,Black Tooth Brewing Company,285,235
Rye Beer,Blackrocks Brewery,286,236
American IPA,Blackrocks Brewery,287,237
Foreign / Export Stout,Blackrocks Brewery,288,238
American Pale Wheat Ale,Blackrocks Brewery,289,239
American Brown Ale,Blackrocks Brewery,290,240
American IPA,Blackrocks Brewery,291,237
Cream Ale,Blackrocks Brewery,292,241
American Pale Wheat Ale,Blue Blood Brewing Company,293,242
American Pilsner,Blue Blood Brewing Company,294,243
American Brown Ale,Blue Blood Brewing Company,295,244
American Amber / Red Ale,Blue Blood Brewing Company,296,245
American Double / Imperial IPA,Blue Blood Brewing Company,297,246
German Pilsener,Blue Blood Brewing Company,298,247
American Double / Imperial IPA,Blue Blood Brewing Company,299,246
American Stout,Blue Blood Brewing Company,300,248
Saison / Farmhouse Ale,Blue Blood Brewing Company,301,249
American Pale Ale (APA),Blue Blood Brewing Company,302,250
Extra Special / Strong Bitter (ESB),Blue Blood Brewing Company,303,251
Extra Special / Strong Bitter (ESB),Blue Blood Brewing Company,304,251
Extra Special / Strong Bitter (ESB),Blue Blood Brewing Company,305,251
American Pale Ale (APA),Blue Blood Brewing Company,306,250
Mead,Blue Dog Mead,307,252
Mead,Blue Dog Mead,308,252
American Double / Imperial IPA,Blue Hills Brewery,309,253
American Pale Ale (APA),Blue Mountain Brewery,310,254
Extra Special / Strong Bitter (ESB),Blue Mountain Brewery,311,255
Euro Pale Lager,Blue Mountain Brewery,312,256
American Pale Ale (APA),Blue Mountain Brewery,313,254
Kölsch,Blue Mountain Brewery,314,257
American Stout,Blue Owl Brewing,315,258
American Pale Wheat Ale,Blue Owl Brewing,316,259
American Amber / Red Ale,Blue Owl Brewing,317,260
American Pale Ale (APA),Blue Owl Brewing,318,261
American Black Ale,Blue Point Brewing Company,319,262
American White IPA,Blue Point Brewing Company,320,263
American Blonde Ale,Blue Point Brewing Company,321,264
Vienna Lager,Blue Point Brewing Company,322,265
Dortmunder / Export Lager,Bohemian Brewery,323,266
Altbier,Bohemian Brewery,324,267
Schwarzbier,Bohemian Brewery,325,268
Czech Pilsener,Bohemian Brewery,326,269
Vienna Lager,Bohemian Brewery,327,270
American IPA,Bold City Brewery,328,271
Cream Ale,Bold City Brewery,329,272
American Brown Ale,Bold City Brewery,330,273
American IPA,Bolero Snort Brewery,331,274
Irish Dry Stout,Bolero Snort Brewery,332,275
Munich Helles Lager,Bomb Beer Company,333,276
Munich Helles Lager,Bomb Beer Company,334,276
American IPA,Bonfire Brewing Company,335,277
Scotch Ale / Wee Heavy,Bonfire Brewing Company,336,278
Czech Pilsener,Bonfire Brewing Company,337,279
Märzen / Oktoberfest,Bonfire Brewing Company,338,280
English India Pale Ale (IPA),Bonfire Brewing Company,339,281
American Blonde Ale,Bonfire Brewing Company,340,282
American IPA,Bonfire Brewing Company,341,277
American Blonde Ale,Bonfire Brewing Company,342,282
American Blonde Ale,Bonfire Brewing Company,343,282
Extra Special / Strong Bitter (ESB),Bonfire Brewing Company,344,283
Munich Dunkel Lager,Bonfire Brewing Company,345,284
American Pale Ale (APA),Bonfire Brewing Company,346,285
Winter Warmer,Bonfire Brewing Company,347,286
American Porter,Bonfire Brewing Company,348,287
American Pale Ale (APA),Bonfire Brewing Company,349,285
American Brown Ale,Bonfire Brewing Company,350,288
Czech Pilsener,Bonfire Brewing Company,351,279
American Blonde Ale,Bonfire Brewing Company,352,282
American IPA,Bonfire Brewing Company,353,277
American Porter,Borderlands Brewing Company,354,289
Radler,Boston Beer Company,355,290
American IPA,Boston Beer Company,356,291
Witbier,Boston Beer Company,357,292
Bock,Boston Beer Company,358,293
Vienna Lager,Boston Beer Company,359,294
Vienna Lager,Boston Beer Company,360,294
Märzen / Oktoberfest,Boston Beer Company,361,295
American Pale Wheat Ale,Boston Beer Company,362,296
Vienna Lager,Boston Beer Company,363,294
American Pale Ale (APA),Boulder Beer Company,364,297
American Pale Ale (APA),Boulder Beer Company,365,297
American Pale Ale (APA),Boulder Beer Company,366,297
American IPA,Boulevard Brewing Company,367,298
American Pale Ale (APA),Boxcar Brewing Company,368,299
American IPA,Boxcar Brewing Company,369,300
English Dark Mild Ale,Boxcar Brewing Company,370,301
American Porter,Bozeman Brewing Company,371,302
American Porter,Bozeman Brewing Company,372,302
American IPA,Bozeman Brewing Company,373,303
Hefeweizen,Bozeman Brewing Company,374,304
American Amber / Red Ale,Bozeman Brewing Company,375,305
American Amber / Red Ale,Branchline Brewing Company,376,306
Kölsch,Breakside Brewery,377,307
American Pale Wheat Ale,Breckenridge Brewery,378,308
American Pale Wheat Ale,Breckenridge Brewery,379,308
American IPA,Breckenridge Brewery,380,309
American Amber / Red Ale,Breckenridge Brewery,381,310
Fruit / Vegetable Beer,Brew Bus Brewing,382,311
American IPA,Brew Bus Brewing,383,312
Irish Red Ale,Brew Bus Brewing,384,313
American Pale Wheat Ale,Brew Bus Brewing,385,314
American Pale Ale (APA),Brew Link Brewing,386,315
American Amber / Red Ale,Brewery Terra Firma,387,316
Saison / Farmhouse Ale,Brewery Vivant,388,317
Belgian Pale Ale,Brewery Vivant,389,318
American Double / Imperial Stout,Brewery Vivant,390,319
American IPA,Brewery Vivant,391,320
Rauchbier,Brewery Vivant,392,321
Bière de Garde,Brewery Vivant,393,322
Belgian IPA,Brewery Vivant,394,323
Doppelbock,Brewery Vivant,395,324
Saison / Farmhouse Ale,Brewery Vivant,396,317
Witbier,Brewery Vivant,397,325
Belgian IPA,Brewery Vivant,398,323
Saison / Farmhouse Ale,Brewery Vivant,399,317
Belgian IPA,Brewery Vivant,400,323
Saison / Farmhouse Ale,Brewery Vivant,401,317
Rye Beer,Brewery Vivant,402,326
Dunkelweizen,Brewery Vivant,403,327
Belgian Strong Pale Ale,Brewery Vivant,404,328
Dubbel,Brewery Vivant,405,329
Belgian Dark Ale,Brewery Vivant,406,330
Belgian Dark Ale,Brewery Vivant,407,330
Belgian Pale Ale,Brewery Vivant,408,318
Witbier,Brewery Vivant,409,325
Oatmeal Stout,Brewery Vivant,410,331
American Porter,Brewery Vivant,411,332
Quadrupel (Quad),Brewery Vivant,412,333
Rauchbier,Brewery Vivant,413,321
Belgian IPA,Brewery Vivant,414,323
Belgian Dark Ale,Brewery Vivant,415,330
Belgian IPA,Brewery Vivant,416,323
Rye Beer,Brewery Vivant,417,326
American Stout,Brewery Vivant,418,334
Fruit / Vegetable Beer,Brewery Vivant,419,335
Belgian Dark Ale,Brewery Vivant,420,330
Belgian Dark Ale,Brewery Vivant,421,330
Belgian Pale Ale,Brewery Vivant,422,318
Bière de Garde,Brewery Vivant,423,322
Belgian Dark Ale,Brewery Vivant,424,330
Witbier,Brewery Vivant,425,325
American Stout,Brewery Vivant,426,334
Belgian IPA,Brewery Vivant,427,323
American Wild Ale,Brewery Vivant,428,336
Fruit / Vegetable Beer,Brewery Vivant,429,335
American Double / Imperial IPA,Brewery Vivant,430,337
Bière de Garde,Brewery Vivant,431,322
American Black Ale,Brewery Vivant,432,338
Saison / Farmhouse Ale,Brewery Vivant,433,317
Tripel,Brewery Vivant,434,339
Belgian Dark Ale,Brewery Vivant,435,330
American Amber / Red Ale,Brewery Vivant,436,340
Quadrupel (Quad),Brewery Vivant,437,333
American Double / Imperial Stout,Brewery Vivant,438,319
American Wild Ale,Brewery Vivant,439,336
Bière de Garde,Brewery Vivant,440,322
Russian Imperial Stout,Brewery Vivant,441,341
American Amber / Red Ale,Brewery Vivant,442,340
Saison / Farmhouse Ale,Brewery Vivant,443,317
Tripel,Brewery Vivant,444,339
Belgian IPA,Brewery Vivant,445,323
Belgian Strong Dark Ale,Brewery Vivant,446,342
Saison / Farmhouse Ale,Brewery Vivant,447,317
Belgian Pale Ale,Brewery Vivant,448,318
Belgian IPA,Brewery Vivant,449,323
American Pale Ale (APA),Brindle Dog Brewing Company,450,343
American Pale Wheat Ale,Brindle Dog Brewing Company,451,344
American Amber / Red Ale,Broad Brook Brewing LLC,452,345
American Amber / Red Ale,Broken Tooth Brewing Company,453,346
American Pale Ale (APA),Broken Tooth Brewing Company,454,347
Cream Ale,Broken Tooth Brewing Company,455,348
American IPA,Broken Tooth Brewing Company,456,349
English India Pale Ale (IPA),Brooklyn Brewery,457,350
English Pale Mild Ale,Brooklyn Brewery,458,351
English India Pale Ale (IPA),Brooklyn Brewery,459,350
English Pale Mild Ale,Brooklyn Brewery,460,351
American Amber / Red Lager,Brooklyn Brewery,461,352
American Amber / Red Lager,Brooklyn Brewery,462,352
Belgian IPA,Buckbean Brewing Company,463,353
Maibock / Helles Bock,Buckbean Brewing Company,464,354
American Black Ale,Buckbean Brewing Company,465,355
Schwarzbier,Buckbean Brewing Company,466,356
American Amber / Red Ale,Buckbean Brewing Company,467,357
Herbed / Spiced Beer,Buckbean Brewing Company,468,358
Schwarzbier,Buckbean Brewing Company,469,356
Munich Helles Lager,Buckeye Brewing,470,359
American Pale Ale (APA),BuckleDown Brewing,471,360
American Blonde Ale,Buffalo Bayou Brewing Company,472,361
Witbier,Buffalo Bayou Brewing Company,473,362
American Double / Imperial IPA,Buffalo Bayou Brewing Company,474,363
American Brown Ale,Burn 'Em Brewing,475,364
American Black Ale,Burn 'Em Brewing,476,365
Fruit / Vegetable Beer,Burn 'Em Brewing,477,366
American Pale Ale (APA),Burn 'Em Brewing,478,367
American Double / Imperial IPA,Burn 'Em Brewing,479,368
Cream Ale,Burn 'Em Brewing,480,369
American Pale Wheat Ale,Burn 'Em Brewing,481,370
American Pale Wheat Ale,Burn 'Em Brewing,482,370
American IPA,Burn 'Em Brewing,483,371
American IPA,Burn 'Em Brewing,484,371
American Pale Ale (APA),Burn 'Em Brewing,485,367
American Pale Lager,Burnside Brewing Co.,486,372
American Pale Ale (APA),Butcher's Brewing,487,373
Hefeweizen,Butternuts Beer and Ale,488,374
American IPA,Butternuts Beer and Ale,489,375
Milk / Sweet Stout,Butternuts Beer and Ale,490,376
American Pale Ale (APA),Butternuts Beer and Ale,491,377
American Double / Imperial Stout,COAST Brewing Company,492,378
American Brown Ale,COAST Brewing Company,493,379
American Pale Ale (APA),COAST Brewing Company,494,380
Kölsch,COAST Brewing Company,495,381
American IPA,COAST Brewing Company,496,382
American Double / Imperial IPA,COAST Brewing Company,497,383
American Porter,COOP Ale Works,498,384
American Blonde Ale,COOP Ale Works,499,385
American Amber / Red Ale,COOP Ale Works,500,386
American IPA,COOP Ale Works,501,387
American Amber / Red Ale,COOP Ale Works,502,386
American Blonde Ale,COOP Ale Works,503,385
American IPA,Caldera Brewing Company,504,388
American Porter,Caldera Brewing Company,505,389
American Pale Ale (APA),Caldera Brewing Company,506,390
American Adjunct Lager,Caldera Brewing Company,507,391
American Amber / Red Ale,Caldera Brewing Company,508,392
American IPA,Caldera Brewing Company,509,388
American IPA,Caldera Brewing Company,510,388
American Pale Ale (APA),Caldera Brewing Company,511,390
American Pale Ale (APA),Caldera Brewing Company,512,390
American Pale Ale (APA),Caldera Brewing Company,513,390
American Pale Ale (APA),Caldera Brewing Company,514,390
American Pale Ale (APA),Caldera Brewing Company,515,390
American Amber / Red Ale,Caldera Brewing Company,516,392
American IPA,Caldera Brewing Company,517,388
American Pilsner,Cambridge Brewing Company,518,393
American IPA,Cambridge Brewing Company,519,394
Witbier,Cans Bar and Canteen,520,395
American Amber / Red Ale,Cans Bar and Canteen,521,396
American Blonde Ale,Cans Bar and Canteen,522,397
English Dark Mild Ale,Cans Bar and Canteen,523,398
Pumpkin Ale,Cape Ann Brewing Company,524,399
American Double / Imperial IPA,Cape Ann Brewing Company,525,400
American IPA,Cape Ann Brewing Company,526,401
German Pilsener,Cape Ann Brewing Company,527,402
American Amber / Red Ale,Cape Ann Brewing Company,528,403
American Amber / Red Ale,Cape Cod Beer,529,404
American Blonde Ale,Cape Cod Beer,530,405
American Black Ale,Capital Brewery,531,406
Vienna Lager,Capital Brewery,532,407
Munich Helles Lager,Capital Brewery,533,408
American IPA,Capital Brewery,534,409
Munich Helles Lager,Capital Brewery,535,408
American IPA,Capital Brewery,536,409
Vienna Lager,Capital Brewery,537,407
American Pale Wheat Ale,Capital Brewery,538,410
Vienna Lager,Capital Brewery,539,407
American Pale Ale (APA),Capital Brewery,540,411
American Pale Lager,Capital Brewery,541,412
American Blonde Ale,Carolina Beer & Beverage,542,413
American Blonde Ale,Carolina Beer & Beverage,543,413
American Blonde Ale,Carolina Beer & Beverage,544,413
Winter Warmer,Carolina Brewery,545,414
English India Pale Ale (IPA),Carolina Brewery,546,415
Kölsch,Carolina Brewery,547,416
American Black Ale,Carton Brewing Company,548,417
Berliner Weissbier,Carton Brewing Company,549,418
American Double / Imperial IPA,Carton Brewing Company,550,419
American IPA,Carton Brewing Company,551,420
Cider,Cascadia Ciderworks United,552,421
Cider,Cascadia Ciderworks United,553,421
Cream Ale,Catawba Brewing Company,554,422
American IPA,Catawba Brewing Company,555,423
Witbier,Catawba Brewing Company,556,424
Winter Warmer,Catawba Brewing Company,557,425
Witbier,Catawba Brewing Company,558,424
American IPA,Catawba Brewing Company,559,423
Cream Ale,Catawba Brewing Company,560,422
Witbier,Catawba Island Brewing,561,426
Scottish Ale,Catawba Island Brewing,562,427
American Brown Ale,Catawba Valley Brewing Company,563,428
American Porter,Catawba Valley Brewing Company,564,429
American Double / Imperial IPA,Cedar Creek Brewery,565,430
,Cedar Creek Brewery,566,431
American IPA,Cedar Creek Brewery,567,432
Smoked Beer,Cedar Creek Brewery,568,433
American Pale Ale (APA),Cedar Creek Brewery,569,434
Cream Ale,Cedar Creek Brewery,570,435
American Blonde Ale,Centennial Beer Company,571,436
American Amber / Red Ale,Centennial Beer Company,572,437
Altbier,Center of the Universe Brewing C...,573,438
American Amber / Red Lager,Center of the Universe Brewing C...,574,439
Altbier,Center of the Universe Brewing C...,575,438
American Pale Ale (APA),Center of the Universe Brewing C...,576,440
Herbed / Spiced Beer,Central Coast Brewing Company,577,441
American IPA,Central Coast Brewing Company,578,442
American Double / Imperial IPA,Central Coast Brewing Company,579,443
American Black Ale,Central Coast Brewing Company,580,444
Rye Beer,Champion Brewing Company,581,445
American Stout,Champion Brewing Company,582,446
Kölsch,Champion Brewing Company,583,447
American IPA,Champion Brewing Company,584,448
Kölsch,Chapman's Brewing,585,449
Fruit / Vegetable Beer,Chapman's Brewing,586,450
