flight,original_index,unique_index
UA-414-LAX-SFO,61,56
CO-1614-LAX-IAH,62,57
UA-2726-FLL-PHL,63,58
CO-52-IAH-LAX,64,59
CO-1090-BOS-IAH,65,60
AA-616-DFW-DTW,66,15
UA-3515-IAD-MSP,67,61
AA-3468-CVG-MIA,68,6
AA-484-DFW-MIA,69,7
AA-1886-BOS-MIA,70,10
CO-62-IAH-EWR,71,62
CO-1561-PHX-IAH,72,63
UA-2314-ATL-PHL,73,64
AA-446-DFW-PHL,74,8
CO-1023-IAH-DEN,75,65
AA-466-IAH-MIA,76,9
UA-3050-PHX-CLT,77,66
CO-89-IAH-EWR,78,67
CO-1088-CLE-IAH,79,68
AA-1664-MIA-ATL,80,12
AA-1279-DFW-PHX,81,14
UA-854-SFO-IAH,82,69
UA-382-IAD-LAX,83,70
AA-4344-ORD-DTW,84,16
UA-257-JFK-SFO,85,71
UA-2945-PHL-CLT,86,72
CO-63-EWR-IAH,87,73
CO-47-IAH-LAX,88,74
AA-2050-ORD-MIA,89,20
UA-248-PHX-ORD,90,75
AA-4330-CVG-ORD,91,21
AA-1434-DFW-MCO,92,22
AA-1640-MIA-MCO,93,2
AA-4307-ORD-DTW,94,23
AA-3-JFK-LAX,95,24
CO-1694-LAX-IAH,96,76
UA-843-LAX-ORD,97,77
CO-1193-EWR-MCO,98,78
AA-3842-MSP-ORD,99,25
AA-643-MIA-ORD,100,26
AA-1007-MIA-PHX,101,27
AA-2525-DFW-MIA,102,17
UA-2906-PHL-MCO,103,79
UA-938-DEN-ORD,104,80
AA-1221-MCO-ORD,105,28
CO-16-LAX-EWR,106,81
UA-2515-DFW-CLT,107,82
AA-400-DFW-JFK,108,29
UA-664-ORD-PHL,109,83
AA-3756-ORD-SLC,110,4
UA-37-EWR-MCO,111,84
AA-1522-SFO-ORD,112,31
UA-233-LAX-JFK,113,85
AA-3823-LAX-DEN,114,32
AA-2312-DFW-DTW,115,33
AA-1165-JFK-MIA,116,34
AA-431-MIA-SFO,117,35
UA-3373-IAD-PHL,118,86
AA-649-ORD-SNA,119,36
CO-1250-MIA-IAH,120,87
UA-6273-YYC-SFO,121,88
UA-828-SFO-ORD,122,89
CO-4888-IAH-DAL,123,90
UA-858-PVG-SFO,124,91
UA-2704-DTW-PHX,125,92
AA-3063-SLC-LAX,126,37
UA-2708-EWR-CLT,127,93
UA-62-IAH-EWR,128,94
UA-1500-IAH-GUA,129,95
AA-3804-PHL-ORD,130,38
AA-1917-JFK-MCO,131,39
AA-2268-PHX-ORD,132,40
AA-4277-CVG-JFK,133,41
AA-2957-DFW-CVG,134,11
UA-37-EDI-EWR,135,96
AA-789-ORD-DEN,136,42
AA-415-BOS-ORD,137,43
AA-85-JFK-SFO,138,44
AA-3979-CVG-ORD,139,13
AA-3786-IAH-ORD,140,46
AA-271-MIA-LAX,141,19
CO-50-CLE-EWR,142,97
UA-3099-PHX-PHL,143,98
AA-4198-ORD-CLE,144,30
AA-404-MIA-MCO,145,18
CO-45-EWR-MIA,146,99
AA-3809-PHX-LAX,147,48
AA-59-JFK-SFO,148,49
AA-222-LAX-BOS,149,47
AA-3859-IAH-ORD,150,0
CO-1586-IAH-MCO,151,50
AA-518-MIA-JFK,152,3
UA-397-JFK-SFO,153,51
UA-3925-IAD-ORF,154,52
AA-1733-ORD-PHX,155,1
AA-3-JFK-LAX,156,24
UA-2830-MCO-CLT,157,53
CO-58-DEN-IAH,158,54
UA-5487-SFO-MRY,159,55
AA-204-LAX-MCO,160,5
UA-414-LAX-SFO,161,56
CO-1614-LAX-IAH,162,57
UA-2726-FLL-PHL,163,58
CO-52-IAH-LAX,164,59
CO-1090-BOS-IAH,165,60
AA-616-DFW-DTW,166,15
UA-3515-IAD-MSP,167,61
AA-3468-CVG-MIA,168,6
AA-484-DFW-MIA,169,7
AA-1886-BOS-MIA,170,10
CO-62-IAH-EWR,171,62
CO-1561-PHX-IAH,172,63
UA-2314-ATL-PHL,173,64
AA-446-DFW-PHL,174,8
CO-1023-IAH-DEN,175,65
AA-466-IAH-MIA,176,9
UA-3050-PHX-CLT,177,66
CO-89-IAH-EWR,178,67
CO-1088-CLE-IAH,179,68
AA-1664-MIA-ATL,180,12
AA-1279-DFW-PHX,181,14
UA-854-SFO-IAH,182,69
UA-382-IAD-LAX,183,70
AA-4344-ORD-DTW,184,16
UA-257-JFK-SFO,185,71
UA-2945-PHL-CLT,186,72
CO-63-EWR-IAH,187,73
CO-47-IAH-LAX,188,74
AA-2050-ORD-MIA,189,20
UA-248-PHX-ORD,190,75
AA-4330-CVG-ORD,191,21
AA-1434-DFW-MCO,192,22
AA-1640-MIA-MCO,193,2
AA-4307-ORD-DTW,194,23
CO-1694-LAX-IAH,195,76
UA-843-LAX-ORD,196,77
CO-1193-EWR-MCO,197,78
AA-3842-MSP-ORD,198,25
AA-643-MIA-ORD,199,26
AA-1007-MIA-PHX,200,27
UA-2906-PHL-MCO,201,79
UA-938-DEN-ORD,202,80
AA-1221-MCO-ORD,203,28
CO-16-LAX-EWR,204,81
UA-2515-DFW-CLT,205,82
AA-400-DFW-JFK,206,29
UA-664-ORD-PHL,207,83
AA-3756-ORD-SLC,208,4
UA-37-EWR-MCO,209,84
AA-1522-SFO-ORD,210,31
UA-233-LAX-JFK,211,85
AA-3823-LAX-DEN,212,32
AA-2312-DFW-DTW,213,33
AA-1165-JFK-MIA,214,34
AA-431-MIA-SFO,215,35
UA-3373-IAD-PHL,216,86
AA-649-ORD-SNA,217,36
CO-1250-MIA-IAH,218,87
UA-6273-YYC-SFO,219,88
UA-828-SFO-ORD,220,89
CO-4888-IAH-DAL,221,90
UA-858-PVG-SFO,222,91
UA-2704-DTW-PHX,223,92
AA-3063-SLC-LAX,224,37
UA-2708-EWR-CLT,225,93
UA-62-IAH-EWR,226,94
UA-1500-IAH-GUA,227,95
AA-3804-PHL-ORD,228,38
AA-1917-JFK-MCO,229,39
AA-2268-PHX-ORD,230,40
AA-4277-CVG-JFK,231,41
AA-2957-DFW-CVG,232,11
UA-37-EDI-EWR,233,96
AA-789-ORD-DEN,234,42
AA-415-BOS-ORD,235,43
AA-85-JFK-SFO,236,44
AA-3979-CVG-ORD,237,13
AA-1544-SAN-ORD,238,45
AA-3786-IAH-ORD,239,46
AA-271-MIA-LAX,240,19
AA-2525-DFW-MIA,241,17
CO-50-CLE-EWR,242,97
UA-3099-PHX-PHL,243,98
AA-4198-ORD-CLE,244,30
AA-404-MIA-MCO,245,18
CO-45-EWR-MIA,246,99
AA-3809-PHX-LAX,247,48
AA-59-JFK-SFO,248,49
AA-222-LAX-BOS,249,47
AA-3859-IAH-ORD,250,0
AA-518-MIA-JFK,251,3
UA-397-JFK-SFO,252,51
UA-3925-IAD-ORF,253,52
AA-1733-ORD-PHX,254,1
AA-1640-MIA-MCO,255,2
UA-2830-MCO-CLT,256,53
CO-58-DEN-IAH,257,54
AA-1544-SAN-ORD,258,45
UA-5487-SFO-MRY,259,55
AA-204-LAX-MCO,260,5
UA-414-LAX-SFO,261,56
AA-3756-ORD-SLC,262,4
UA-2726-FLL-PHL,263,58
CO-1090-BOS-IAH,264,60
AA-3468-CVG-MIA,265,6
UA-3515-IAD-MSP,266,61
AA-484-DFW-MIA,267,7
CO-62-IAH-EWR,268,62
AA-446-DFW-PHL,269,8
AA-466-IAH-MIA,270,9
UA-3050-PHX-CLT,271,66
CO-89-IAH-EWR,272,67
CO-1088-CLE-IAH,273,68
AA-1886-BOS-MIA,274,10
AA-1664-MIA-ATL,275,12
AA-3979-CVG-ORD,276,13
AA-1279-DFW-PHX,277,14
CO-1614-LAX-IAH,278,57
AA-616-DFW-DTW,279,15
AA-4344-ORD-DTW,280,16
UA-2945-PHL-CLT,281,72
AA-2525-DFW-MIA,282,17
AA-271-MIA-LAX,283,19
AA-2050-ORD-MIA,284,20
AA-1434-DFW-MCO,285,22
CO-1561-PHX-IAH,286,63
AA-4307-ORD-DTW,287,23
AA-3-JFK-LAX,288,24
CO-1694-LAX-IAH,289,76
UA-843-LAX-ORD,290,77
CO-1193-EWR-MCO,291,78
AA-3842-MSP-ORD,292,25
AA-643-MIA-ORD,293,26
UA-2906-PHL-MCO,294,79
UA-938-DEN-ORD,295,80
AA-1221-MCO-ORD,296,28
CO-16-LAX-EWR,297,81
UA-2515-DFW-CLT,298,82
AA-400-DFW-JFK,299,29
UA-664-ORD-PHL,300,83
AA-1522-SFO-ORD,301,31
UA-233-LAX-JFK,302,85
AA-3823-LAX-DEN,303,32
AA-2312-DFW-DTW,304,33
AA-1165-JFK-MIA,305,34
AA-431-MIA-SFO,306,35
UA-257-JFK-SFO,307,71
UA-3373-IAD-PHL,308,86
AA-649-ORD-SNA,309,36
CO-1250-MIA-IAH,310,87
UA-6273-YYC-SFO,311,88
UA-858-PVG-SFO,312,91
UA-2704-DTW-PHX,313,92
AA-3063-SLC-LAX,314,37
UA-2708-EWR-CLT,315,93
UA-62-IAH-EWR,316,94
AA-3804-PHL-ORD,317,38
AA-1917-JFK-MCO,318,39
AA-2268-PHX-ORD,319,40
UA-2314-ATL-PHL,320,64
AA-4277-CVG-JFK,321,41
AA-2957-DFW-CVG,322,11
UA-37-EDI-EWR,323,96
AA-789-ORD-DEN,324,42
UA-854-SFO-IAH,325,69
AA-415-BOS-ORD,326,43
AA-85-JFK-SFO,327,44
AA-3786-IAH-ORD,328,46
CO-50-CLE-EWR,329,97
UA-3099-PHX-PHL,330,98
AA-4198-ORD-CLE,331,30
AA-404-MIA-MCO,332,18
CO-45-EWR-MIA,333,99
AA-3809-PHX-LAX,334,48
AA-59-JFK-SFO,335,49
AA-222-LAX-BOS,336,47
AA-3859-IAH-ORD,337,0
CO-1586-IAH-MCO,338,50
AA-518-MIA-JFK,339,3
UA-397-JFK-SFO,340,51
UA-3925-IAD-ORF,341,52
AA-1733-ORD-PHX,342,1
UA-2830-MCO-CLT,343,53
CO-58-DEN-IAH,344,54
AA-1544-SAN-ORD,345,45
UA-5487-SFO-MRY,346,55
AA-204-LAX-MCO,347,5
UA-414-LAX-SFO,348,56
CO-1614-LAX-IAH,349,57
UA-2726-FLL-PHL,350,58
CO-52-IAH-LAX,351,59
CO-1090-BOS-IAH,352,60
AA-616-DFW-DTW,353,15
UA-3515-IAD-MSP,354,61
AA-3468-CVG-MIA,355,6
AA-484-DFW-MIA,356,7
AA-1886-BOS-MIA,357,10
CO-62-IAH-EWR,358,62
CO-1561-PHX-IAH,359,63
UA-2314-ATL-PHL,360,64
AA-446-DFW-PHL,361,8
CO-1023-IAH-DEN,362,65
AA-466-IAH-MIA,363,9
UA-3050-PHX-CLT,364,66
CO-89-IAH-EWR,365,67
CO-1088-CLE-IAH,366,68
AA-1664-MIA-ATL,367,12
AA-1279-DFW-PHX,368,14
UA-854-SFO-IAH,369,69
UA-382-IAD-LAX,370,70
AA-4344-ORD-DTW,371,16
UA-257-JFK-SFO,372,71
UA-2945-PHL-CLT,373,72
CO-63-EWR-IAH,374,73
CO-47-IAH-LAX,375,74
AA-2050-ORD-MIA,376,20
UA-248-PHX-ORD,377,75
AA-4330-CVG-ORD,378,21
AA-1434-DFW-MCO,379,22
AA-1640-MIA-MCO,380,2
AA-4307-ORD-DTW,381,23
AA-3-JFK-LAX,382,24
CO-1694-LAX-IAH,383,76
UA-843-LAX-ORD,384,77
CO-1193-EWR-MCO,385,78
AA-3842-MSP-ORD,386,25
AA-643-MIA-ORD,387,26
AA-1007-MIA-PHX,388,27
AA-2525-DFW-MIA,389,17
UA-2906-PHL-MCO,390,79
UA-938-DEN-ORD,391,80
AA-1221-MCO-ORD,392,28
CO-16-LAX-EWR,393,81
UA-2515-DFW-CLT,394,82
AA-400-DFW-JFK,395,29
UA-664-ORD-PHL,396,83
AA-3756-ORD-SLC,397,4
UA-37-EWR-MCO,398,84
AA-1522-SFO-ORD,399,31
UA-233-LAX-JFK,400,85
AA-3823-LAX-DEN,401,32
AA-2312-DFW-DTW,402,33
AA-1165-JFK-MIA,403,34
AA-431-MIA-SFO,404,35
UA-3373-IAD-PHL,405,86
AA-649-ORD-SNA,406,36
CO-1250-MIA-IAH,407,87
UA-6273-YYC-SFO,408,88
UA-828-SFO-ORD,409,89
CO-4888-IAH-DAL,410,90
UA-858-PVG-SFO,411,91
UA-2704-DTW-PHX,412,92
AA-3063-SLC-LAX,413,37
UA-2708-EWR-CLT,414,93
UA-62-IAH-EWR,415,94
UA-1500-IAH-GUA,416,95
AA-3804-PHL-ORD,417,38
AA-1917-JFK-MCO,418,39
AA-2268-PHX-ORD,419,40
AA-4277-CVG-JFK,420,41
AA-2957-DFW-CVG,421,11
UA-37-EDI-EWR,422,96
AA-789-ORD-DEN,423,42
AA-415-BOS-ORD,424,43
AA-85-JFK-SFO,425,44
AA-3979-CVG-ORD,426,13
AA-3786-IAH-ORD,427,46
AA-271-MIA-LAX,428,19
CO-50-CLE-EWR,429,97
UA-3099-PHX-PHL,430,98
AA-4198-ORD-CLE,431,30
AA-404-MIA-MCO,432,18
CO-45-EWR-MIA,433,99
AA-3809-PHX-LAX,434,48
AA-59-JFK-SFO,435,49
AA-222-LAX-BOS,436,47
AA-3859-IAH-ORD,437,0
CO-1586-IAH-MCO,438,50
AA-518-MIA-JFK,439,3
UA-397-JFK-SFO,440,51
UA-3925-IAD-ORF,441,52
AA-1733-ORD-PHX,442,1
AA-3-JFK-LAX,443,24
UA-2830-MCO-CLT,444,53
CO-58-DEN-IAH,445,54
UA-5487-SFO-MRY,446,55
AA-204-LAX-MCO,447,5
UA-414-LAX-SFO,448,56
CO-1614-LAX-IAH,449,57
UA-2726-FLL-PHL,450,58
CO-52-IAH-LAX,451,59
CO-1090-BOS-IAH,452,60
AA-616-DFW-DTW,453,15
UA-3515-IAD-MSP,454,61
AA-3468-CVG-MIA,455,6
AA-484-DFW-MIA,456,7
AA-1886-BOS-MIA,457,10
CO-62-IAH-EWR,458,62
CO-1561-PHX-IAH,459,63
UA-2314-ATL-PHL,460,64
AA-446-DFW-PHL,461,8
CO-1023-IAH-DEN,462,65
AA-466-IAH-MIA,463,9
UA-3050-PHX-CLT,464,66
CO-89-IAH-EWR,465,67
CO-1088-CLE-IAH,466,68
AA-1664-MIA-ATL,467,12
AA-1279-DFW-PHX,468,14
UA-854-SFO-IAH,469,69
UA-382-IAD-LAX,470,70
AA-4344-ORD-DTW,471,16
UA-257-JFK-SFO,472,71
UA-2945-PHL-CLT,473,72
CO-63-EWR-IAH,474,73
CO-47-IAH-LAX,475,74
AA-2050-ORD-MIA,476,20
UA-248-PHX-ORD,477,75
AA-4330-CVG-ORD,478,21
AA-1434-DFW-MCO,479,22
AA-1640-MIA-MCO,480,2
AA-4307-ORD-DTW,481,23
CO-1694-LAX-IAH,482,76
UA-843-LAX-ORD,483,77
CO-1193-EWR-MCO,484,78
AA-3842-MSP-ORD,485,25
AA-643-MIA-ORD,486,26
AA-1007-MIA-PHX,487,27
UA-2906-PHL-MCO,488,79
UA-938-DEN-ORD,489,80
AA-1221-MCO-ORD,490,28
CO-16-LAX-EWR,491,81
UA-2515-DFW-CLT,492,82
AA-400-DFW-JFK,493,29
UA-664-ORD-PHL,494,83
AA-3756-ORD-SLC,495,4
UA-37-EWR-MCO,496,84
AA-1522-SFO-ORD,497,31
UA-233-LAX-JFK,498,85
AA-3823-LAX-DEN,499,32
AA-2312-DFW-DTW,500,33
AA-1165-JFK-MIA,501,34
AA-431-MIA-SFO,502,35
UA-3373-IAD-PHL,503,86
AA-649-ORD-SNA,504,36
CO-1250-MIA-IAH,505,87
UA-6273-YYC-SFO,506,88
UA-828-SFO-ORD,507,89
CO-4888-IAH-DAL,508,90
UA-858-PVG-SFO,509,91
UA-2704-DTW-PHX,510,92
AA-3063-SLC-LAX,511,37
UA-2708-EWR-CLT,512,93
UA-62-IAH-EWR,513,94
UA-1500-IAH-GUA,514,95
AA-3804-PHL-ORD,515,38
AA-1917-JFK-MCO,516,39
AA-2268-PHX-ORD,517,40
AA-4277-CVG-JFK,518,41
AA-2957-DFW-CVG,519,11
UA-37-EDI-EWR,520,96
AA-789-ORD-DEN,521,42
AA-415-BOS-ORD,522,43
AA-85-JFK-SFO,523,44
AA-3979-CVG-ORD,524,13
AA-1544-SAN-ORD,525,45
AA-3786-IAH-ORD,526,46
AA-271-MIA-LAX,527,19
AA-2525-DFW-MIA,528,17
CO-50-CLE-EWR,529,97
UA-3099-PHX-PHL,530,98
AA-4198-ORD-CLE,531,30
AA-404-MIA-MCO,532,18
CO-45-EWR-MIA,533,99
AA-3809-PHX-LAX,534,48
AA-59-JFK-SFO,535,49
AA-222-LAX-BOS,536,47
AA-3859-IAH-ORD,537,0
CO-1586-IAH-MCO,538,50
AA-518-MIA-JFK,539,3
UA-397-JFK-SFO,540,51
UA-3925-IAD-ORF,541,52
AA-1733-ORD-PHX,542,1
AA-4344-ORD-DTW,543,16
AA-1640-MIA-MCO,544,2
UA-2830-MCO-CLT,545,53
CO-58-DEN-IAH,546,54
AA-204-LAX-MCO,547,5
UA-414-LAX-SFO,548,56
CO-1614-LAX-IAH,549,57
UA-2726-FLL-PHL,550,58
CO-52-IAH-LAX,551,59
CO-1090-BOS-IAH,552,60
AA-3468-CVG-MIA,553,6
UA-3515-IAD-MSP,554,61
AA-484-DFW-MIA,555,7
AA-616-DFW-DTW,556,15
CO-62-IAH-EWR,557,62
CO-63-EWR-IAH,558,73
AA-446-DFW-PHL,559,8
CO-1023-IAH-DEN,560,65
AA-466-IAH-MIA,561,9
UA-3050-PHX-CLT,562,66
CO-89-IAH-EWR,563,67
CO-1088-CLE-IAH,564,68
AA-2957-DFW-CVG,565,11
AA-1664-MIA-ATL,566,12
AA-3979-CVG-ORD,567,13
AA-1279-DFW-PHX,568,14
AA-404-MIA-MCO,569,18
AA-3756-ORD-SLC,570,4
UA-382-IAD-LAX,571,70
UA-2945-PHL-CLT,572,72
CO-47-IAH-LAX,573,74
AA-271-MIA-LAX,574,19
AA-2050-ORD-MIA,575,20
UA-248-PHX-ORD,576,75
AA-4330-CVG-ORD,577,21
AA-1434-DFW-MCO,578,22
CO-1561-PHX-IAH,579,63
AA-4307-ORD-DTW,580,23
AA-3-JFK-LAX,581,24
CO-1694-LAX-IAH,582,76
UA-843-LAX-ORD,583,77
CO-1193-EWR-MCO,584,78
AA-3842-MSP-ORD,585,25
AA-643-MIA-ORD,586,26
AA-1007-MIA-PHX,587,27
AA-2525-DFW-MIA,588,17
UA-2906-PHL-MCO,589,79
UA-938-DEN-ORD,590,80
AA-1221-MCO-ORD,591,28
CO-16-LAX-EWR,592,81
UA-2515-DFW-CLT,593,82
AA-400-DFW-JFK,594,29
UA-664-ORD-PHL,595,83
UA-37-EWR-MCO,596,84
AA-1522-SFO-ORD,597,31
UA-233-LAX-JFK,598,85
AA-3823-LAX-DEN,599,32
AA-2312-DFW-DTW,600,33
UA-2314-ATL-PHL,601,64
AA-1165-JFK-MIA,602,34
AA-431-MIA-SFO,603,35
UA-257-JFK-SFO,604,71
UA-3373-IAD-PHL,605,86
CO-1250-MIA-IAH,606,87
UA-828-SFO-ORD,607,89
CO-4888-IAH-DAL,608,90
UA-2704-DTW-PHX,609,92
AA-3063-SLC-LAX,610,37
UA-2708-EWR-CLT,611,93
UA-62-IAH-EWR,612,94
AA-3804-PHL-ORD,613,38
AA-1917-JFK-MCO,614,39
AA-2268-PHX-ORD,615,40
AA-4277-CVG-JFK,616,41
AA-789-ORD-DEN,617,42
UA-854-SFO-IAH,618,69
AA-415-BOS-ORD,619,43
AA-85-JFK-SFO,620,44
AA-3786-IAH-ORD,621,46
AA-222-LAX-BOS,622,47
CO-50-CLE-EWR,623,97
UA-3099-PHX-PHL,624,98
AA-4198-ORD-CLE,625,30
CO-45-EWR-MIA,626,99
AA-3809-PHX-LAX,627,48
AA-59-JFK-SFO,628,49
AA-3859-IAH-ORD,629,0
CO-1586-IAH-MCO,630,50
AA-518-MIA-JFK,631,3
UA-397-JFK-SFO,632,51
UA-3925-IAD-ORF,633,52
AA-1733-ORD-PHX,634,1
AA-3-JFK-LAX,635,24
UA-2830-MCO-CLT,636,53
CO-58-DEN-IAH,637,54
UA-5487-SFO-MRY,638,55
AA-204-LAX-MCO,639,5
UA-414-LAX-SFO,640,56
CO-1614-LAX-IAH,641,57
UA-2726-FLL-PHL,642,58
CO-52-IAH-LAX,643,59
CO-1090-BOS-IAH,644,60
AA-616-DFW-DTW,645,15
UA-3515-IAD-MSP,646,61
AA-3468-CVG-MIA,647,6
AA-484-DFW-MIA,648,7
AA-1886-BOS-MIA,649,10
CO-62-IAH-EWR,650,62
CO-1561-PHX-IAH,651,63
UA-2314-ATL-PHL,652,64
AA-446-DFW-PHL,653,8
CO-1023-IAH-DEN,654,65
AA-466-IAH-MIA,655,9
UA-3050-PHX-CLT,656,66
CO-89-IAH-EWR,657,67
CO-1088-CLE-IAH,658,68
AA-1664-MIA-ATL,659,12
AA-1279-DFW-PHX,660,14
UA-854-SFO-IAH,661,69
UA-382-IAD-LAX,662,70
AA-4344-ORD-DTW,663,16
UA-257-JFK-SFO,664,71
UA-2945-PHL-CLT,665,72
CO-63-EWR-IAH,666,73
CO-47-IAH-LAX,667,74
AA-2050-ORD-MIA,668,20
UA-248-PHX-ORD,669,75
AA-4330-CVG-ORD,670,21
AA-1434-DFW-MCO,671,22
AA-1640-MIA-MCO,672,2
AA-4307-ORD-DTW,673,23
CO-1694-LAX-IAH,674,76
UA-843-LAX-ORD,675,77
CO-1193-EWR-MCO,676,78
AA-3842-MSP-ORD,677,25
AA-643-MIA-ORD,678,26
AA-1007-MIA-PHX,679,27
UA-2906-PHL-MCO,680,79
UA-938-DEN-ORD,681,80
AA-1221-MCO-ORD,682,28
CO-16-LAX-EWR,683,81
UA-2515-DFW-CLT,684,82
AA-400-DFW-JFK,685,29
UA-664-ORD-PHL,686,83
AA-3756-ORD-SLC,687,4
UA-37-EWR-MCO,688,84
AA-1522-SFO-ORD,689,31
UA-233-LAX-JFK,690,85
AA-3823-LAX-DEN,691,32
AA-2312-DFW-DTW,692,33
AA-1165-JFK-MIA,693,34
AA-431-MIA-SFO,694,35
UA-3373-IAD-PHL,695,86
AA-649-ORD-SNA,696,36
CO-1250-MIA-IAH,697,87
UA-6273-YYC-SFO,698,88
UA-828-SFO-ORD,699,89
CO-4888-IAH-DAL,700,90
UA-858-PVG-SFO,701,91
UA-2704-DTW-PHX,702,92
AA-3063-SLC-LAX,703,37
UA-2708-EWR-CLT,704,93
UA-62-IAH-EWR,705,94
UA-1500-IAH-GUA,706,95
AA-3804-PHL-ORD,707,38
AA-1917-JFK-MCO,708,39
AA-2268-PHX-ORD,709,40
AA-4277-CVG-JFK,710,41
AA-2957-DFW-CVG,711,11
UA-37-EDI-EWR,712,96
AA-789-ORD-DEN,713,42
AA-415-BOS-ORD,714,43
AA-85-JFK-SFO,715,44
AA-3979-CVG-ORD,716,13
AA-1544-SAN-ORD,717,45
AA-3786-IAH-ORD,718,46
AA-271-MIA-LAX,719,19
AA-2525-DFW-MIA,720,17
CO-50-CLE-EWR,721,97
UA-3099-PHX-PHL,722,98
AA-4198-ORD-CLE,723,30
AA-404-MIA-MCO,724,18
CO-45-EWR-MIA,725,99
AA-3809-PHX-LAX,726,48
AA-59-JFK-SFO,727,49
AA-222-LAX-BOS,728,47
AA-3859-IAH-ORD,729,0
AA-1733-ORD-PHX,730,1
CO-1586-IAH-MCO,731,50
UA-397-JFK-SFO,732,51
UA-3925-IAD-ORF,733,52
AA-1640-MIA-MCO,734,2
AA-1544-SAN-ORD,735,45
UA-5487-SFO-MRY,736,55
AA-204-LAX-MCO,737,5
UA-414-LAX-SFO,738,56
CO-1614-LAX-IAH,739,57
AA-3756-ORD-SLC,740,4
AA-3468-CVG-MIA,741,6
AA-484-DFW-MIA,742,7
AA-616-DFW-DTW,743,15
AA-446-DFW-PHL,744,8
CO-1023-IAH-DEN,745,65
AA-466-IAH-MIA,746,9
AA-2957-DFW-CVG,747,11
AA-1664-MIA-ATL,748,12
AA-3979-CVG-ORD,749,13
AA-1279-DFW-PHX,750,14
UA-382-IAD-LAX,751,70
AA-4344-ORD-DTW,752,16
UA-257-JFK-SFO,753,71
AA-271-MIA-LAX,754,19
AA-2050-ORD-MIA,755,20
UA-248-PHX-ORD,756,75
AA-4330-CVG-ORD,757,21
AA-1434-DFW-MCO,758,22
AA-4307-ORD-DTW,759,23
AA-3-JFK-LAX,760,24
CO-1193-EWR-MCO,761,78
AA-3842-MSP-ORD,762,25
AA-643-MIA-ORD,763,26
AA-1007-MIA-PHX,764,27
AA-2525-DFW-MIA,765,17
UA-938-DEN-ORD,766,80
AA-1221-MCO-ORD,767,28
AA-1886-BOS-MIA,768,10
UA-664-ORD-PHL,769,83
UA-37-EWR-MCO,770,84
AA-1522-SFO-ORD,771,31
AA-3823-LAX-DEN,772,32
AA-2312-DFW-DTW,773,33
AA-1165-JFK-MIA,774,34
AA-431-MIA-SFO,775,35
UA-3373-IAD-PHL,776,86
AA-649-ORD-SNA,777,36
UA-828-SFO-ORD,778,89
CO-4888-IAH-DAL,779,90
CO-1561-PHX-IAH,780,63
AA-3804-PHL-ORD,781,38
AA-2268-PHX-ORD,782,40
UA-233-LAX-JFK,783,85
UA-6273-YYC-SFO,784,88
AA-4277-CVG-JFK,785,41
AA-789-ORD-DEN,786,42
AA-222-LAX-BOS,787,47
AA-4198-ORD-CLE,788,30
AA-404-MIA-MCO,789,18
AA-3809-PHX-LAX,790,48
AA-59-JFK-SFO,791,49
AA-2050-ORD-MIA,792,20
AA-1165-JFK-MIA,793,34
