ounces,original_index,unique_index,count
12.0 oz,258,0,393
12.0 OZ.,259,3,98
12.0 ounce,260,2,360
12.0 oz,261,0,393
12.0 oz,262,0,393
12.0 oz.,263,1,580
12.0 oz.,264,1,580
12.0 ounce,265,2,360
16.0 oz,266,9,220
16.0 ounce,267,6,202
16.0 OZ.,268,10,50
16.0 oz.,269,7,327
16.0 oz.,270,7,327
16.0 ounce,271,6,202
12.0 oz,272,0,393
12.0 oz,273,0,393
12.0 oz.,274,1,580
16.0 oz,275,9,220
12.0 oz,276,0,393
12.0 ounce,277,2,360
12.0 ounce,278,2,360
12.0 ounce,279,2,360
12.0 oz,280,0,393
12.0 ounce,281,2,360
12.0 oz.,282,1,580
12.0 oz,283,0,393
12.0 oz,284,0,393
12.0 oz,285,0,393
12.0 ounce,286,2,360
12.0 oz. Alumi-Tek,287,4,87
12.0 OZ.,288,3,98
12.0 ounce,289,2,360
12.0 ounce,290,2,360
12.0 oz,291,0,393
12.0 ounce,292,2,360
12.0 ounce,293,2,360
12.0 oz. Alumi-Tek,294,4,87
12.0 oz.,295,1,580
12.0 oz.,296,1,580
12.0 oz.,297,1,580
12.0 oz,298,0,393
12.0 ounce,299,2,360
12.0 ounce,300,2,360
12.0 ounce,301,2,360
12.0 oz.,302,1,580
12.0 oz.,303,1,580
12.0 ounce,304,2,360
12.0 ounce,305,2,360
12.0 oz.,306,1,580
12.0 oz.,307,1,580
12.0 oz,308,0,393
12.0 oz,309,0,393
12.0 ounce,310,2,360
12.0 oz.,311,1,580
12.0 oz.,312,1,580
12.0 ounce,313,2,360
12.0 oz,314,0,393
12.0 oz.,315,1,580
12.0 oz.,316,1,580
12.0 oz.,317,1,580
12.0 oz,318,0,393
16.0 oz. Alumi-Tek,319,8,38
12.0 oz.,320,1,580
12.0 ounce,321,2,360
12.0 ounce,322,2,360
12.0 oz.,323,1,580
12.0 oz.,324,1,580
12.0 oz.,325,1,580
12.0 oz,326,0,393
12.0 oz. Alumi-Tek,327,4,87
12.0 oz,328,0,393
12.0 oz. Alumi-Tek,329,4,87
12.0 oz.,330,1,580
16.0 OZ.,331,10,50
16.0 oz.,332,7,327
12.0 oz,333,0,393
12.0 oz.,334,1,580
12.0 ounce,335,2,360
16.0 oz.,336,7,327
16.0 ounce,337,6,202
12.0 oz.,338,1,580
16.0 ounce,339,6,202
12.0 oz. Alumi-Tek,340,4,87
16.0 oz. Alumi-Tek,341,8,38
12.0 oz,342,0,393
12.0 oz,343,0,393
12.0 oz.,344,1,580
16.0 oz.,345,7,327
12.0 oz.,346,1,580
12.0 oz.,347,1,580
16.0 ounce,348,6,202
12.0 ounce,349,2,360
12.0 oz.,350,1,580
12.0 ounce,351,2,360
16.0 oz.,352,7,327
16.0 ounce,353,6,202
16.0 oz. Alumi-Tek,354,8,38
12.0 ounce,355,2,360
16.0 oz,356,9,220
12.0 ounce,357,2,360
12.0 oz.,358,1,580
16.0 ounce,359,6,202
12.0 oz.,360,1,580
12.0 oz,361,0,393
12.0 oz,362,0,393
12.0 oz.,363,1,580
12.0 oz.,364,1,580
12.0 ounce,365,2,360
12.0 oz.,366,1,580
12.0 oz.,367,1,580
12.0 oz.,368,1,580
12.0 oz,369,0,393
12.0 ounce,370,2,360
12.0 oz.,371,1,580
12.0 ounce,372,2,360
12.0 ounce,373,2,360
12.0 oz.,374,1,580
12.0 oz,375,0,393
12.0 oz. Alumi-Tek,376,4,87
16.0 oz,377,9,220
12.0 oz.,378,1,580
12.0 ounce,379,2,360
12.0 ounce,380,2,360
12.0 oz,381,0,393
12.0 oz.,382,1,580
12.0 oz.,383,1,580
12.0 oz.,384,1,580
12.0 oz,385,0,393
16.0 oz.,386,7,327
16.0 ounce,387,6,202
16.0 oz,388,9,220
16.0 oz.,389,7,327
16.0 OZ.,390,10,50
16.0 oz,391,9,220
16.0 oz.,392,7,327
16.0 oz,393,9,220
16.0 oz.,394,7,327
16.0 oz. Alumi-Tek,395,8,38
16.0 oz,396,9,220
16.0 oz.,397,7,327
16.0 oz,398,9,220
16.0 ounce,399,6,202
16.0 oz.,400,7,327
16.0 OZ.,401,10,50
16.0 ounce,402,6,202
16.0 oz.,403,7,327
16.0 oz.,404,7,327
16.0 oz.,405,7,327
16.0 oz. Silo Can,406,12,4
16.0 oz.,407,7,327
16.0 oz,408,9,220
16.0 ounce,409,6,202
16.0 oz.,410,7,327
16.0 oz,411,9,220
16.0 oz,412,9,220
16.0 oz.,413,7,327
16.0 oz.,414,7,327
16.0 oz.,415,7,327
16.0 oz.,416,7,327
16.0 oz.,417,7,327
16.0 ounce,418,6,202
16.0 oz.,419,7,327
16.0 oz.,420,7,327
16.0 oz,421,9,220
16.0 oz,422,9,220
16.0 ounce,423,6,202
16.0 oz,424,9,220
16.0 oz.,425,7,327
16.0 oz,426,9,220
16.0 oz. Alumi-Tek,427,8,38
16.0 ounce,428,6,202
16.0 oz.,429,7,327
16.0 oz,430,9,220
16.0 ounce,431,6,202
16.0 ounce,432,6,202
16.0 oz,433,9,220
16.0 oz.,434,7,327
16.0 ounce,435,6,202
16.0 oz.,436,7,327
16.0 OZ.,437,10,50
16.0 oz,438,9,220
16.0 oz.,439,7,327
16.0 oz,440,9,220
16.0 ounce,441,6,202
16.0 oz.,442,7,327
16.0 oz.,443,7,327
16.0 oz,444,9,220
16.0 oz,445,9,220
16.0 oz. Alumi-Tek,446,8,38
16.0 oz.,447,7,327
16.0 oz.,448,7,327
16.0 oz,449,9,220
12.0 oz.,450,1,580
12.0 oz.,451,1,580
16.0 oz,452,9,220
12.0 oz.,453,1,580
12.0 oz. Alumi-Tek,454,4,87
12.0 oz.,455,1,580
12.0 oz.,456,1,580
16.0 oz,457,9,220
12.0 ounce,458,2,360
12.0 oz.,459,1,580
12.0 OZ.,460,3,98
16.0 oz.,461,7,327
12.0 oz. Alumi-Tek,462,4,87
16.0 oz,463,9,220
16.0 oz. Alumi-Tek,464,8,38
16.0 oz.,465,7,327
16.0 oz,466,9,220
16.0 oz,467,9,220
16.0 oz.,468,7,327
16.0 oz.,469,7,327
16.0 ounce,470,6,202
12.0 oz.,471,1,580
12.0 oz.,472,1,580
12.0 oz,473,0,393
16.0 ounce,474,6,202
16.0 OZ.,475,10,50
16.0 oz,476,9,220
24.0 oz.,477,13,9
12.0 oz,478,0,393
12.0 ounce,479,2,360
12.0 oz.,480,1,580
16.0 oz.,481,7,327
16.0 ounce,482,6,202
16.0 oz,483,9,220
16.0 oz,484,9,220
16.0 oz,485,9,220
12.0 oz,486,0,393
12.0 ounce,487,2,360
12.0 ounce,488,2,360
12.0 oz.,489,1,580
12.0 oz,490,0,393
12.0 ounce,491,2,360
12.0 ounce,492,2,360
12.0 oz. Alumi-Tek,493,4,87
12.0 oz.,494,1,580
16.0 oz.,495,7,327
16.0 oz.,496,7,327
16.0 oz.,497,7,327
16.0 ounce,498,6,202
16.0 oz,499,9,220
16.0 oz.,500,7,327
16.0 oz,501,9,220
16.0 OZ.,502,10,50
16.0 ounce,503,6,202
12.0 ounce,504,2,360
12.0 ounce,505,2,360
12.0 oz.,506,1,580
12.0 oz,507,0,393
12.0 ounce,508,2,360
12.0 oz,509,0,393
12.0 OZ.,510,3,98
12.0 oz,511,0,393
12.0 ounce,512,2,360
12.0 oz.,513,1,580
12.0 ounce,514,2,360
12.0 oz.,515,1,580
12.0 oz. Alumi-Tek,516,4,87
12.0 oz,517,0,393
12.0 oz.,518,1,580
12.0 oz.,519,1,580
12.0 oz,520,0,393
12.0 ounce,521,2,360
12.0 oz. Alumi-Tek,522,4,87
12.0 oz.,523,1,580
16.0 oz.,524,7,327
16.0 oz.,525,7,327
12.0 oz,526,0,393
12.0 oz.,527,1,580
12.0 ounce,528,2,360
16.0 oz.,529,7,327
16.0 oz.,530,7,327
12.0 oz,531,0,393
12.0 ounce,532,2,360
12.0 oz.,533,1,580
12.0 ounce,534,2,360
16.0 OZ.,535,10,50
12.0 oz.,536,1,580
12.0 ounce,537,2,360
12.0 oz.,538,1,580
12.0 ounce,539,2,360
12.0 ounce,540,2,360
12.0 ounce,541,2,360
12.0 ounce,542,2,360
12.0 ounce,543,2,360
12.0 oz,544,0,393
16.0 oz,545,9,220
12.0 oz.,546,1,580
12.0 oz.,547,1,580
16.0 oz.,548,7,327
16.0 ounce,549,6,202
16.0 oz,550,9,220
12.0 oz.,551,1,580
16.0 oz.,552,7,327
16.0 oz,553,9,220
12.0 oz,554,0,393
12.0 ounce,555,2,360
12.0 oz.,556,1,580
12.0 oz. Alumi-Tek,557,4,87
12.0 OZ.,558,3,98
12.0 oz.,559,1,580
12.0 oz.,560,1,580
16.0 ounce,561,6,202
16.0 OZ.,562,10,50
12.0 oz,563,0,393
12.0 oz,564,0,393
16.0 oz.,565,7,327
16.0 oz.,566,7,327
16.0 oz,567,9,220
16.0 oz.,568,7,327
16.0 oz,569,9,220
16.0 oz.,570,7,327
12.0 ounce,571,2,360
12.0 oz,572,0,393
12.0 ounce,573,2,360
12.0 oz. Alumi-Tek,574,4,87
12.0 ounce,575,2,360
12.0 OZ.,576,3,98
16.0 oz,577,9,220
16.0 oz.,578,7,327
16.0 oz.,579,7,327
16.0 oz,580,9,220
24.0 oz,581,14,4
12.0 OZ.,582,3,98
12.0 oz,583,0,393
12.0 oz,584,0,393
16.0 oz. Alumi-Tek,585,8,38
16.0 oz. Alumi-Tek,586,8,38
16.0 oz.,587,7,327
16.0 oz.,588,7,327
16.0 ounce,589,6,202
16.0 ounce,590,6,202
16.0 oz,591,9,220
16.0 oz.,592,7,327
16.0 ounce,593,6,202
12.0 oz.,594,1,580
12.0 oz,595,0,393
12.0 oz.,596,1,580
12.0 ounce,597,2,360
12.0 oz.,598,1,580
12.0 oz,599,0,393
12.0 oz.,600,1,580
12.0 oz,601,0,393
12.0 oz.,602,1,580
12.0 oz.,603,1,580
12.0 oz. Alumi-Tek,604,4,87
12.0 oz. Silo Can,605,11,7
12.0 ounce,606,2,360
12.0 oz. Alumi-Tek,607,4,87
12.0 oz.,608,1,580
12.0 ounce,609,2,360
12.0 oz.,610,1,580
12.0 oz.,611,1,580
16.0 oz,612,9,220
12.0 oz,613,0,393
12.0 ounce,614,2,360
12.0 oz,615,0,393
12.0 oz,616,0,393
12.0 ounce,617,2,360
12.0 oz,618,0,393
12.0 oz.,619,1,580
12.0 oz,620,0,393
12.0 oz,621,0,393
12.0 oz. Alumi-Tek,622,4,87
12.0 oz.,623,1,580
12.0 oz,624,0,393
12.0 oz.,625,1,580
12.0 oz.,626,1,580
12.0 oz,627,0,393
12.0 oz.,628,1,580
12.0 oz.,629,1,580
16.0 oz.,630,7,327
12.0 oz,631,0,393
16.0 oz,632,9,220
12.0 oz,633,0,393
12.0 ounce,634,2,360
12.0 ounce,635,2,360
12.0 ounce,636,2,360
12.0 oz.,637,1,580
12.0 oz,638,0,393
16.0 OZ.,639,10,50
16.0 ounce,640,6,202
16.0 ounce,641,6,202
16.0 oz.,642,7,327
12.0 oz.,643,1,580
12.0 oz,644,0,393
12.0 ounce,645,2,360
12.0 oz.,646,1,580
12.0 oz,647,0,393
12.0 ounce,648,2,360
16.0 oz.,649,7,327
16.0 oz,650,9,220
16.0 oz.,651,7,327
12.0 OZ.,652,3,98
12.0 oz,653,0,393
12.0 oz. Alumi-Tek,654,4,87
12.0 oz.,655,1,580
12.0 ounce,656,2,360
12.0 oz.,657,1,580
12.0 ounce,658,2,360
12.0 ounce,659,2,360
12.0 oz.,660,1,580
12.0 ounce,661,2,360
12.0 oz.,662,1,580
12.0 oz.,663,1,580
12.0 oz,664,0,393
12.0 OZ.,665,3,98
12.0 oz,666,0,393
12.0 oz.,667,1,580
12.0 oz,668,0,393
12.0 ounce,669,2,360
12.0 oz,670,0,393
12.0 oz.,671,1,580
16.0 oz.,672,7,327
16.0 oz,673,9,220
16.0 oz,674,9,220
16.0 oz.,675,7,327
16.0 oz,676,9,220
16.0 oz.,677,7,327
12.0 oz,678,0,393
12.0 oz. Alumi-Tek,679,4,87
12.0 oz,680,0,393
12.0 oz,681,0,393
12.0 oz,682,0,393
12.0 oz.,683,1,580
12.0 oz.,684,1,580
12.0 oz.,685,1,580
12.0 ounce,686,2,360
12.0 oz,687,0,393
16.0 oz.,688,7,327
16.0 ounce,689,6,202
16.0 ounce,690,6,202
12.0 oz.,691,1,580
12.0 oz,692,0,393
12.0 oz,693,0,393
12.0 ounce,694,2,360
12.0 ounce,695,2,360
12.0 oz.,696,1,580
12.0 oz,697,0,393
12.0 oz,698,0,393
12.0 oz.,699,1,580
16.0 oz,700,9,220
12.0 oz.,701,1,580
12.0 oz.,702,1,580
12.0 oz,703,0,393
12.0 oz,704,0,393
12.0 oz,705,0,393
12.0 ounce,706,2,360
12.0 oz.,707,1,580
12.0 oz,708,0,393
12.0 oz,709,0,393
12.0 oz,710,0,393
12.0 oz.,711,1,580
12.0 oz.,712,1,580
12.0 oz,713,0,393
12.0 OZ.,714,3,98
12.0 ounce,715,2,360
12.0 OZ.,716,3,98
12.0 oz.,717,1,580
12.0 oz.,718,1,580
12.0 ounce,719,2,360
12.0 oz.,720,1,580
12.0 OZ.,721,3,98
16.0 oz.,722,7,327
16.0 OZ.,723,10,50
16.0 oz,724,9,220
16.0 oz,725,9,220
12.0 oz.,726,1,580
16.0 ounce,727,6,202
12.0 OZ.,728,3,98
16.0 oz. Alumi-Tek,729,8,38
16.0 oz.,730,7,327
16.0 ounce,731,6,202
16.0 oz,732,9,220
16.0 ounce,733,6,202
16.0 oz,734,9,220
12.0 oz,735,0,393
12.0 oz,736,0,393
12.0 OZ.,737,3,98
12.0 ounce,738,2,360
12.0 oz,739,0,393
12.0 ounce,740,2,360
12.0 ounce,741,2,360
12.0 oz.,742,1,580
16.0 ounce,743,6,202
16.0 ounce,744,6,202
16.0 OZ.,745,10,50
16.0 oz.,746,7,327
16.0 ounce,747,6,202
16.0 ounce,748,6,202
16.0 oz,749,9,220
16.0 oz.,750,7,327
16.0 oz. Silo Can,751,12,4
12.0 ounce,752,2,360
16.0 ounce,753,6,202
12.0 oz. Alumi-Tek,754,4,87
12.0 oz,755,0,393
12.0 oz.,756,1,580
12.0 oz.,757,1,580
12.0 ounce,758,2,360
12.0 oz.,759,1,580
16.0 ounce,760,6,202
16.0 ounce,761,6,202
16.0 oz.,762,7,327
16.0 oz.,763,7,327
16.0 oz,764,9,220
16.0 oz,765,9,220
12.0 oz,766,0,393
16.0 oz.,767,7,327
12.0 oz.,768,1,580
12.0 oz,769,0,393
12.0 oz.,770,1,580
12.0 oz.,771,1,580
12.0 oz.,772,1,580
12.0 oz,773,0,393
12.0 oz,774,0,393
16.0 oz.,775,7,327
16.0 oz,776,9,220
16.0 oz.,777,7,327
16.0 oz.,778,7,327
16.0 oz,779,9,220
16.0 ounce,780,6,202
16.0 ounce,781,6,202
16.0 oz.,782,7,327
16.0 OZ.,783,10,50
16.0 OZ.,784,10,50
16.0 oz,785,9,220
16.0 ounce,786,6,202
12.0 oz.,787,1,580
16.0 oz.,788,7,327
16.0 oz.,789,7,327
16.0 oz.,790,7,327
12.0 oz.,791,1,580
12.0 oz.,792,1,580
12.0 oz.,793,1,580
16.0 oz.,794,7,327
16.0 ounce,795,6,202
16.0 oz.,796,7,327
16.0 ounce,797,6,202
16.0 oz.,798,7,327
16.0 oz. Alumi-Tek,799,8,38
16.0 ounce,800,6,202
16.0 ounce,801,6,202
16.0 oz,802,9,220
16.0 oz,803,9,220
12.0 oz,804,0,393
12.0 oz.,805,1,580
12.0 oz.,806,1,580
12.0 oz,807,0,393
12.0 oz,808,0,393
16.0 oz.,809,7,327
16.0 ounce,810,6,202
16.0 ounce,811,6,202
12.0 ounce,812,2,360
16.0 oz,813,9,220
12.0 ounce,814,2,360
12.0 oz.,815,1,580
12.0 oz.,816,1,580
12.0 ounce,817,2,360
12.0 oz. Alumi-Tek,818,4,87
12.0 oz,819,0,393
12.0 ounce,820,2,360
12.0 oz,821,0,393
12.0 oz.,822,1,580
12.0 oz.,823,1,580
12.0 oz.,824,1,580
12.0 ounce,825,2,360
16.0 oz.,826,7,327
16.0 oz.,827,7,327
16.0 oz.,828,7,327
16.0 ounce,829,6,202
16.0 oz.,830,7,327
16.0 oz.,831,7,327
16.0 oz,832,9,220
16.0 ounce,833,6,202
16.0 oz,834,9,220
16.0 ounce,835,6,202
12.0 oz.,836,1,580
12.0 oz.,837,1,580
12.0 ounce,838,2,360
12.0 oz,839,0,393
12.0 oz,840,0,393
12.0 ounce,841,2,360
12.0 oz.,842,1,580
12.0 oz.,843,1,580
12.0 oz,844,0,393
12.0 ounce,845,2,360
12.0 oz,846,0,393
16.0 oz,847,9,220
16.0 ounce,848,6,202
16.0 oz.,849,7,327
16.0 oz. Alumi-Tek,850,8,38
12.0 oz. Alumi-Tek,851,4,87
12.0 oz,852,0,393
12.0 oz,853,0,393
12.0 oz.,854,1,580
12.0 oz.,855,1,580
12.0 oz,856,0,393
12.0 oz.,857,1,580
12.0 oz,858,0,393
12.0 ounce,859,2,360
12.0 oz.,860,1,580
12.0 oz. Alumi-Tek,861,4,87
12.0 ounce,862,2,360
12.0 oz.,863,1,580
12.0 oz. Alumi-Tek,864,4,87
12.0 ounce,865,2,360
12.0 oz. Alumi-Tek,866,4,87
12.0 oz.,867,1,580
12.0 oz.,868,1,580
12.0 oz.,869,1,580
12.0 oz.,870,1,580
12.0 ounce,871,2,360
12.0 oz,872,0,393
12.0 ounce,873,2,360
12.0 ounce,874,2,360
12.0 oz,875,0,393
12.0 ounce,876,2,360
12.0 oz,877,0,393
12.0 oz,878,0,393
12.0 oz.,879,1,580
12.0 oz,880,0,393
12.0 oz.,881,1,580
12.0 oz,882,0,393
12.0 oz.,883,1,580
16.0 oz. Alumi-Tek,884,8,38
12.0 OZ.,885,3,98
12.0 oz.,886,1,580
12.0 ounce,887,2,360
12.0 ounce,888,2,360
12.0 oz,889,0,393
16.0 oz,890,9,220
12.0 OZ.,891,3,98
16.0 oz.,892,7,327
16.0 oz.,893,7,327
16.0 oz,894,9,220
16.0 oz.,895,7,327
16.0 ounce,896,6,202
16.0 oz,897,9,220
12.0 oz,898,0,393
16.0 oz,899,9,220
16.0 oz.,900,7,327
16.0 oz.,901,7,327
16.0 oz.,902,7,327
16.0 oz.,903,7,327
16.0 ounce,904,6,202
16.0 ounce,905,6,202
12.0 ounce,906,2,360
12.0 oz.,907,1,580
12.0 oz.,908,1,580
12.0 oz,909,0,393
12.0 oz.,910,1,580
12.0 ounce,911,2,360
12.0 ounce,912,2,360
12.0 OZ.,913,3,98
12.0 oz.,914,1,580
16.0 oz.,915,7,327
12.0 oz.,916,1,580
16.0 oz,917,9,220
12.0 ounce,918,2,360
12.0 oz.,919,1,580
12.0 ounce,920,2,360
12.0 oz.,921,1,580
12.0 oz.,922,1,580
12.0 oz. Silo Can,923,11,7
12.0 oz.,924,1,580
12.0 oz.,925,1,580
12.0 oz.,926,1,580
12.0 oz.,927,1,580
16.0 oz.,928,7,327
16.0 OZ.,929,10,50
16.0 oz,930,9,220
16.0 oz.,931,7,327
16.0 oz,932,9,220
16.0 oz.,933,7,327
16.0 oz.,934,7,327
16.0 oz.,935,7,327
16.0 OZ.,936,10,50
16.0 oz.,937,7,327
16.0 oz.,938,7,327
16.0 oz.,939,7,327
16.0 oz,940,9,220
16.0 oz,941,9,220
16.0 oz,942,9,220
16.0 oz.,943,7,327
16.0 oz,944,9,220
16.0 oz.,945,7,327
16.0 oz.,946,7,327
16.0 oz,947,9,220
12.0 oz,948,0,393
12.0 oz,949,0,393
12.0 oz.,950,1,580
12.0 ounce,951,2,360
12.0 oz,952,0,393
12.0 oz.,953,1,580
12.0 ounce,954,2,360
12.0 OZ.,955,3,98
12.0 oz.,956,1,580
24.0 oz.,957,13,9
12.0 ounce,958,2,360
12.0 ounce,959,2,360
12.0 oz,960,0,393
12.0 oz,961,0,393
16.0 ounce,962,6,202
12.0 ounce,963,2,360
12.0 oz.,964,1,580
12.0 oz.,965,1,580
16.0 ounce,966,6,202
16.0 OZ.,967,10,50
16.0 oz.,968,7,327
16.0 oz. Alumi-Tek,969,8,38
16.0 oz.,970,7,327
16.0 oz.,971,7,327
16.0 ounce,972,6,202
16.0 oz,973,9,220
16.0 oz.,974,7,327
16.0 oz.,975,7,327
16.0 oz.,976,7,327
16.0 oz,977,9,220
16.0 oz,978,9,220
12.0 oz.,979,1,580
