Address1,ZipCode,original_index,unique_index
8000 alabama highway 69,35976,170,18
8000 alabama highway 69,35976,171,18
8000 alabama highway 69,35976,172,18
8000 alabama highway 69,35976,173,18
8000 alabama highway 69,35976,174,18
8000 alabama xigxway 69,35976,175,19
8000 alabama highway 69,35976,176,18
8000 alabama highway 69,35976,177,18
8000 alabama highway 69,35976,178,18
8000 alabama highway 69,35976,179,18
8000 alabama highway 69,35976,180,18
8000 alabama highway 69,35976,181,18
8000 alabama highway 69,35976,182,18
8000 alabama highway 69,35976,183,18
8000 alabama highway 69,35976,184,18
8000 alabama highway 69,35976,185,18
8000 alabama highway 69,35976,186,18
8000 alabama highway 69,35976,187,18
8000 alabama highway 69,35976,188,18
8000 alabama highway 69,35976,189,18
8000 alabama highway 69,35976,190,18
8000 alabama highway 69,35976,191,18
8000 alabama highway 69,35976,192,18
8000 alabama highway 69,35976,193,18
50 medical park east drive,35235,194,20
50 medical park east drive,35235,195,20
50 medical park east drive,3x23x,196,21
50 medical park east drive,35235,197,20
50 medical park east drive,35235,198,20
50 medical park east drive,35235,199,20
50 medical park east drive,35235,200,20
50 medical park east drive,35235,201,20
50 medical park east drive,35235,202,20
50 medical park east drive,35235,203,20
50 medical park east drive,35235,204,20
50 medical park east drive,35235,205,20
50 medical park east drive,35235,206,20
50 medical park east drive,35235,207,20
50 medical park east drive,35235,208,20
50 medical park east drive,35235,209,20
50 medical park east drive,35235,210,20
50 medical park east drive,35235,211,20
50 medical park east drive,35235,212,20
50 medical park east drive,35235,213,20
50 medical park east drive,35235,214,20
50 medical park east drive,35235,215,20
50 medical park east drive,35235,216,20
50 medical park east drive,35235,217,20
50 medical park east drive,35235,218,20
200 med center drive,35968,219,22
200 med center drive,35968,220,22
200 med center drive,35968,221,22
200 med center drive,35968,222,22
200 med center drive,35968,223,22
200 med center drive,35968,224,22
200 med center drive,35968,225,22
200 med center drive,35968,226,22
200 med center drive,35968,227,22
200 med center drive,35968,228,22
200 med center drive,35968,229,22
200 med center drive,35968,230,22
200 med center drive,35968,231,22
200 med center drive,359x8,232,23
200 med center drive,35968,233,22
200 med center drive,35968,234,22
200 med center drive,35968,235,22
200 med center drive,35968,236,22
200 med center drive,35968,237,22
200 med center drive,35968,238,22
200 med center drive,35968,239,22
200 med center drive,35968,240,22
200 med center drive,35968,241,22
200 med center drive,35968,242,22
200 med center drive,35968,243,22
33700 highway 43,36784,244,24
33700 highway 43,36784,245,24
33700 highway 43,36784,246,24
33700 highway 43,36784,247,24
33700 highway 43,36784,248,24
33700 highway 43,36784,249,24
33700 highway 43,36784,250,24
33700 highway 43,36784,251,24
33700 highway 43,36784,252,24
33700 highway 43,36784,253,24
33700 highway 43,36784,254,24
33700 highway 43,36784,255,24
33700 highway 43,36784,256,24
33700 highway 43,36784,257,24
33700 highway 43,36784,258,24
33700 highway 43,36784,259,24
33700 hxghway 43,36784,260,25
33700 highway 43,36784,261,24
33700 highway 43,36784,262,24
33700 highway 43,36784,263,24
33700 highway x3,36784,264,26
33700 highway 43,36784,265,24
33700 highway 43,36784,266,24
33700 highway 43,x6784,267,27
33700 highway 43,36784,268,24
1000 first street north,35007,269,28
1000 first street north,35007,270,28
1000 first street north,35007,271,28
1000 first street north,35007,272,28
1000 first street north,35007,273,28
1000 first street north,35007,274,28
1000 fixst stxeet noxth,35007,275,29
1000 first street north,35007,276,28
1000 first street north,35007,277,28
1000 first street north,35007,278,28
1000 first street north,35007,279,28
1000 first street north,35007,280,28
1000 first street north,35007,281,28
1000 first street north,35007,282,28
1000 first street north,3x007,283,30
1000 first street north,35007,284,28
1000 first street north,35007,285,28
1000 first street north,35007,286,28
1000 first street north,35007,287,28
1000 first street north,35007,288,28
1000 first street north,35007,289,28
1000 first street north,x5007,290,31
1000 first street north,35007,291,28
1000 first street north,35007,292,28
1000 first street north,35007,293,28
1720 university blvd,35233,294,0
1720 univxrsity blvd,35233,295,32
1720 university blvd,35233,296,0
1720 university blvd,35233,297,0
1720 university blvd,35233,298,0
1720 university blvd,35233,299,0
1720 university blvd,35233,300,0
1720 university blvd,35233,301,0
1720 university blvd,35233,302,0
1720 university blvd,35233,303,0
1720 university blvd,35233,304,0
1720 university blvd,35233,305,0
1720 university blvd,35233,306,0
1720 university blvd,35233,307,0
1720 university blvd,35233,308,0
1720 university blvd,35233,309,0
1720 university blvd,35233,310,0
301 east 18th st,36201,311,33
301 east 18th st,36201,312,33
301 east 18th st,36201,313,33
301 east 18th st,36201,314,33
301 east 18th st,36201,315,33
301xeastx18thxst,36201,316,34
301 east 18th st,36201,317,33
301 east 18th st,36201,318,33
301 east 18th st,36201,319,33
301 east 18th st,36201,320,33
301 east 18th st,36201,321,33
301 east 18th st,36201,322,33
301 east 18th st,36201,323,33
301 east 18th st,36201,324,33
301 east 18th st,36x01,325,35
301 east 18th st,36201,326,33
301 east 18th st,36201,327,33
301 east 18th st,36201,328,33
301 east 18th st,36201,329,33
301 east 18th st,36201,330,33
4370 west main street,36305,331,36
4370 west main street,3x305,332,37
4370 west main street,36305,333,36
4370xwestxmainxstreet,36305,334,38
4370 west main street,36305,335,36
4370 west main street,36305,336,36
4370 west main street,36305,337,36
4370 west main street,36305,338,36
4370 west main street,36305,339,36
4370 west main street,x6x05,340,39
4370 west main street,36305,341,36
4370 west main street,36305,342,36
4370 west main street,36305,343,36
4370 west main street,36305,344,36
4370 west main street,36305,345,36
4370 west main street,36305,346,36
4370 west main street,36305,347,36
810 st vincents drive,35205,348,40
810 st vincents drive,35205,349,40
810 st vxncents drxve,35205,350,41
810 st vincents drive,35205,351,40
810 st vincents drive,35205,352,40
1201 7th street se,35609,353,42
1530 u s highway 43,35594,354,43
1530 u s highway 43,35594,355,43
1530 u s highway 43,35594,356,43
1530 u s highway 43,35594,357,43
1530 u s highway 43,35594,358,43
1530 u s highway 43,35594,359,43
1530 u s highway 43,35594,360,43
1530 u s highway 43,35594,361,43
1530 u s highway 43,35594,362,43
1530xuxsxhighwayx43,35594,363,44
1530 u s highway 43,35594,364,43
1530 u s highway 43,35594,365,43
1530 u s highway 43,3xx94,366,45
1530 u s highway 43,35594,367,43
1530 u s highway 43,35594,368,43
1530 u s highway 43,35594,369,43
1530 u s highway 43,35594,370,43
1530 u s highway 43,35594,371,43
1530 u s highway 43,35594,372,43
1530 u s highway 43,35594,373,43
1530 u s highway 43,35594,374,43
1530 u s highway 43,3xx94,375,45
1530 u s highway 43,35594,376,43
1530 u s highway 43,35594,377,43
1530 u s highway 43,35594,378,43
2451 fillingim street,36617,379,46
2451 fillingim street,36617,380,46
2451 fillingim street,36617,381,46
2451 fillingim street,36617,382,46
2451 fillingim street,36617,383,46
2451 fillingim street,36617,384,46
2451 fillingim street,36617,385,46
2451 fillingim street,36617,386,46
2451 fillingim street,36617,387,46
2451 fillingim street,36617,388,46
2451 fillingim street,36617,389,46
2451 fillingim street,36617,390,46
2451 fillingim street,36617,391,46
124 s memorial dr,36067,392,47
124xsxmemorialxdr,36067,393,48
124 s memorial dr,36067,394,47
124 s memorial dr,36067,395,47
124 s memorial dr,36067,396,47
124 s memorial dr,36067,397,47
124 s memorial dr,36067,398,47
124 s memorial dr,36067,399,47
124 s memorial dr,36067,400,47
124 s memorial dr,36067,401,47
124 s memorial dr,36067,402,47
124 s memorial dr,36067,403,47
124 s memorial dr,36067,404,47
124 s memorial dr,36067,405,47
124 s memorial dr,3x0x7,406,49
124 s memorial dr,36067,407,47
124 s memorial dr,36067,408,47
124 s memorial dr,36067,409,47
124 s memorial dr,36067,410,47
124 s mxmorial dr,36067,411,50
15155 highway 43,35653,412,51
15155 highway 43,35653,413,51
315 w hickory st,35150,414,52
315 w hickxry st,35150,415,53
315 w hickory st,35150,416,52
315 w hickory st,35150,417,52
315 w hickory st,35150,418,52
315 w hickory st,35150,419,52
315 w hickory st,x5150,420,54
315 w hickory st,35150,421,52
315 w hickory st,35150,422,52
315 w hickory st,35150,423,52
315 w hickory st,35150,424,52
315 w hickory st,35150,425,52
315 w hickory st,35150,426,52
315 w hickory st,35150,427,52
315 w hickory st,3x1x0,428,55
315 w hickory st,35150,429,52
315 w hickory st,35150,430,52
315xwxhickoryxst,35150,431,56
2801 debarr road,99508,432,57
2801 debarr road,99508,433,57
2801 debarr road,99508,434,57
2801 debarr road,99508,435,57
2801 debarr road,99508,436,57
2801 debarr road,99508,437,57
2801 debarr road,99508,438,57
2801 debarr road,99508,439,57
2801 debarr road,99508,440,57
2801 debarr road,99508,441,57
2801 debarr road,99508,442,57
2801 debarr road,99508,443,57
2801 debarr road,99508,444,57
2801 debarr road,99508,445,57
2801 debarr road,99508,446,57
2801 debarr road,99508,447,57
2801 debarr road,99508,448,57
2801 debarr road,99508,449,57
po box 287,99559,450,58
poxboxx287,99559,451,59
1300 south montgomery avenue,35660,452,1
1300 south montgomery avenue,35660,453,1
1300 south montgomery avenue,35660,454,1
1300 south montgomery avenue,35660,455,1
1300 south montgomery avenue,35660,456,1
1300 south montgomery avenue,35660,457,1
1300 south montgomery avenue,35660,458,1
1300 south montgomery avenue,35660,459,1
1300 south montgomery avenue,35660,460,1
1300 south montgomery avenue,35660,461,1
1300 south montgomery avenue,35660,462,1
1300 south montgomery avenue,35660,463,1
1300 south montgomery avenue,35660,464,1
1300 south montgomery avenue,35660,465,1
126 hospital ave,36360,466,60
126 hospital ave,36360,467,60
126 hospital ave,36360,468,60
126 hospital ave,36360,469,60
126 hospital ave,36360,470,60
126 hospital ave,36360,471,60
126xhospitalxave,36360,472,61
126 hospital ave,36360,473,60
126 hospital ave,36360,474,60
126 hospital ave,36360,475,60
126 hospital ave,36360,476,60
126 hospital ave,36360,477,60
126 hospital ave,36360,478,60
126 hospital ave,36360,479,60
126 hospital ave,36360,480,60
126 hospital ave,36360,481,60
126 hospital ave,36360,482,60
126 hospital ave,36360,483,60
1x6 hospital ave,36360,484,62
126 hospital ave,36360,485,60
126 hospital ave,36360,486,60
126 hospital ave,36360,487,60
126 hospital ave,36360,488,60
126 hospital ave,36360,489,60
126 hospital ave,x6x60,490,63
400 northwood dr,35960,491,64
400 northwood dr,35960,492,64
400 northwood dr,35960,493,64
400 northwood dr,35960,494,64
400 northwood dr,35960,495,64
400 northwood dr,35960,496,64
400 northwood dr,35960,497,64
400 northwood dr,35960,498,64
400 northwood dr,x5960,499,65
400 northwood dr,35960,500,64
400 northwood dr,35960,501,64
400 northwood dr,35960,502,64
400 northwood dr,35960,503,64
400 northwood dr,35960,504,64
400 northwood dr,35960,505,64
400 northwood dr,35960,506,64
400 northwood dr,35960,507,64
400 northwood dr,35960,508,64
400 northwood dr,35960,509,64
400 northwood dr,35960,510,64
400 northwood dr,35960,511,64
400 northwood dr,35960,512,64
400 northwood dr,35960,513,64
400 northwood dr,35960,514,64
400 northwood dr,35960,515,64
2105 east south boulevard,36116,516,66
2105 east south boulevard,36116,517,66
2105 east south boulevard,36116,518,66
2105 east south boulevard,36116,519,66
2105 east south boulevard,36116,520,66
2105 east south boulevard,36116,521,66
2105 east south boulevard,36116,522,66
2105 east south boulevard,36116,523,66
2105 east south boulevard,36116,524,66
2105 east south boulevard,36116,525,66
2105 east south boulevard,36116,526,66
2105 east south boulevard,36116,527,66
2105 east south boulevard,36116,528,66
2105 east south boulevard,36116,529,66
2105 east south boulevard,36116,530,66
2105 east south boulevard,36116,531,66
2105 east south boulevard,36116,532,66
2105 east south boulevard,36116,533,66
2105 east south boulevard,36116,534,66
2105 east south boulevard,36116,535,66
2105 east south boulevard,36116,536,66
2105 east south boulevard,36116,537,66
2105 east south boulevard,36116,538,66
2105 east south boulevard,36116,539,66
2105 east south boulevard,36116,540,66
1725 pine street,36106,541,67
1725 pine street,36106,542,67
1725 pine street,36106,543,67
1725 pine street,3x10x,544,68
1725 pine street,36106,545,67
1725 pine street,36106,546,67
1725 pine street,36106,547,67
1725 pine street,36106,548,67
1725 pine street,36106,549,67
1725 pine street,36106,550,67
1725 pine street,36106,551,67
1725 pine street,36106,552,67
1725 pine street,36106,553,67
1725 pine street,36106,554,67
1725 pine street,36106,555,67
1725 pine street,36106,556,67
1725 pine street,36106,557,67
1725 pine street,36106,558,67
1725 pine street,36106,559,67
1725 pine street,36106,560,67
1725 pine street,36106,561,67
1725 pine street,36106,562,67
1725 pine street,36106,563,67
1725 pine street,36106,564,67
1725 pine street,36106,565,67
4800 48th st,36854,566,69
4800 48th st,36854,567,69
4800 48th st,36854,568,69
4800 48th st,36854,569,69
4800 48th st,36854,570,69
4800 48th st,36854,571,69
4800 48th st,36854,572,69
4800 48th st,36854,573,69
4800 48th st,36854,574,69
4800 48th st,36854,575,69
4800 48th st,36854,576,69
4800 48th st,36854,577,69
4800 48th st,36854,578,69
4800 48th st,36854,579,69
4800 48th st,36854,580,69
4800 48th st,36854,581,69
4800 48th st,36854,582,69
4800 48th st,36854,583,69
4800 48th st,36854,584,69
4800 48th st,36854,585,69
4800 48th st,36854,586,69
4800 48th st,36854,587,69
4800 48th st,36854,588,69
4800 48th st,36854,589,69
4800 48th st,36854,590,69
987 drayton street,36323,591,70
987 drayton street,36323,592,70
987 drayton street,36323,593,70
987 drayton street,36323,594,70
987 drayton street,36323,595,70
987 drayton street,36323,596,70
987 drayton street,36323,597,70
987 drayton street,36323,598,70
987 drayton street,36323,599,70
987 drayton street,36323,600,70
987 drayton street,36323,601,70
987 drayton street,36323,602,70
987 drayton street,36323,603,70
987 drayton street,36323,604,70
987 drayton street,36323,605,70
987 drayton street,36323,606,70
987 drayton street,36323,607,70
987 drayton street,36323,608,70
987 drayton street,36323,609,70
987 drayton street,36323,610,70
987 drayton street,36323,611,70
987 drayton street,36323,612,70
987 drayton street,36323,613,70
987 drayton street,36323,614,70
987 drayton street,36323,615,70
2000 pepperell parkway,36801,616,71
2000 pepperell parkway,36801,617,71
2000 pepperell parkway,36801,618,71
2000 pepperell parkway,36801,619,71
2000 pepperell parkway,36801,620,71
2000 pepperell parkway,36801,621,71
2000 pepperell parkway,36801,622,71
2000 pepperell parkway,36801,623,71
2000 pepperell parkway,36801,624,71
2000 pepperell parkway,36801,625,71
2000 pepperell parkway,36801,626,71
2000 pepperell parkway,36801,627,71
2000 pepperell parkway,36801,628,71
2000 pepperell parkway,36801,629,71
2000 pepperell parkway,36801,630,71
2000 pepperell parkway,36801,631,71
2000 pepperell parkway,36801,632,71
2000 pepperell parkway,36801,633,71
2000 pepperell parkway,36801,634,71
2000 pepperell parkway,36801,635,71
2000 pepperell parkway,36801,636,71
2000 pepperell parkway,36801,637,71
2000 pepperell parkway,36801,638,71
2000 pepperell parkway,36801,639,71
2000 pepperell parkway,36801,640,71
209 north main street,36278,641,72
209 north main street,36278,642,72
209 north main street,36278,643,72
209 north main street,36278,644,72
209 north main street,36278,645,72
209 north main street,36278,646,72
209 north main street,36278,647,72
209 north main street,36278,648,72
209 north main street,36278,649,72
209 north main street,36278,650,72
209 north main street,36278,651,72
209 xorth maix street,36278,652,73
209 north main street,36278,653,72
209 north main street,36278,654,72
209 north main street,36278,655,72
209 north main street,36278,656,72
209 north main street,36278,657,72
209 north main street,36278,658,72
209 north main street,36278,659,72
209 north main street,36278,660,72
209 north main street,36278,661,72
209 north main street,36278,662,72
209 north main street,36278,663,72
209 north main street,36278,664,72
209 north main street,36278,665,72
619 south 19th street,35233,666,74
619 south 19th street,35233,667,74
619 south 19th street,35233,668,74
619 south 19th street,35233,669,74
619 south 19th street,35233,670,74
619 south 19th street,35233,671,74
619 south 19th street,35233,672,74
619 south 19th street,35233,673,74
619 south 19th street,35233,674,74
619 south 19th street,35233,675,74
619 south 19th street,35233,676,74
619 south 19th street,35233,677,74
619 south 19th street,35233,678,74
619 south 19th street,3x233,679,75
619 south 19th street,35233,680,74
619 south 19th street,35233,681,74
619 south 19th street,35233,682,74
619 south 19th street,35233,683,74
619 south 19th street,35233,684,74
619 south 19th street,x52xx,685,76
619 south 19th street,35233,686,74
619 south 19th street,35233,687,74
619 south 19th street,35233,688,74
619 south 19th street,35233,689,74
619 south 19th street,35233,690,74
805 friendship road,36078,691,77
805 friendship road,36078,692,77
805 friendship road,36078,693,77
805 friendship road,36078,694,77
805 friendship road,36078,695,77
805 friendship road,36078,696,77
805 friendship road,36078,697,77
805 friendship road,36078,698,77
805 friendship road,36078,699,77
805 friendship road,36078,700,77
805 friendship road,36078,701,77
805 friendship road,36078,702,77
805 friendship road,36078,703,77
805 friendship road,36078,704,77
805 friendship road,36078,705,77
805 friendship road,36078,706,77
805 friendship road,36078,707,77
805 friendship road,36078,708,77
805 friendship road,36078,709,77
805 friendship road,36x78,710,78
805 friendship road,36078,711,77
805 friendship road,36078,712,77
805 friendship road,36078,713,77
805 friendship road,36078,714,77
805 friendship road,36078,715,77
1912 alabama highway 157,35058,716,79
1912 alabama highway 157,35058,717,79
1912 alabama highway 157,35058,718,79
1912 alabama highway 157,35058,719,79
1912 alabama highway 157,35058,720,79
1912 alabama highway 157,35058,721,79
1912 alabama highway 157,35058,722,79
1912 alabama highway 157,35058,723,79
1912 alabama highway 157,35058,724,79
1912 alabama highway 157,35058,725,79
1912 alabama highway 157,35058,726,79
1912 alabama highway 157,35058,727,79
1912 alabama highway 157,35058,728,79
1912 alabama highway 157,35058,729,79
1912 alabama highway 157,35058,730,79
1912 alabama highway 157,35058,731,79
1912 alabama highway 157,35058,732,79
1912 alabama highway 157,35058,733,79
1912 alabama highway 157,35058,734,79
1912 alabama highway 157,35058,735,79
1912xalabamaxhighwayx157,35058,736,80
1912 alabama highway 157,35058,737,79
1912 alabama highway 157,35058,738,79
1912 alabama highway 157,35058,739,79
1912 alabama highway 157,35058,740,79
849 south three notch street,36420,741,81
849 south three notch street,36420,742,81
849 south three notch street,36420,743,81
849 south three notch street,36420,744,81
849 south three notch street,36420,745,81
849 south three notch street,36420,746,81
849 south three notch street,36420,747,81
849 south three notch street,36420,748,81
849 south three notch street,36420,749,81
849 south three notch street,3642x,750,82
849 south three notch street,36420,751,81
849 south three notch street,36420,752,81
849 south three notch street,36420,753,81
849 south three notch street,36420,754,81
849 south three notch street,36420,755,81
849 south three notch street,36420,756,81
849 south three notch street,36420,757,81
849 south three notch street,36420,758,81
849 south three notch street,36420,759,81
849 south three notch street,36420,760,81
849 south three notch street,36420,761,81
849 south three notch street,36420,762,81
849 south three notch street,36420,763,81
849 south three notch street,36420,764,81
849 south three notch street,36420,765,81
301 east 18th st,36201,766,33
301 east 1xth st,36201,767,83
301 east 18th st,36201,768,33
301 east 18th st,36201,769,33
301 east 18th st,36201,770,33
301 east 18th st,36201,771,33
301 east 18th st,36201,772,33
301 east 18th st,36201,773,33
101 sivley rd,35801,774,84
101 sivley rd,35801,775,84
101 sivley rd,35801,776,84
101 sivley rd,35801,777,84
101 sivley rd,35801,778,84
101 sivley rd,35801,779,84
101 sivley rd,35801,780,84
101 sivley rd,35801,781,84
101 sivley rd,35801,782,84
101 sivley rd,35801,783,84
101 sivley rd,35801,784,84
101 sivley rd,35801,785,84
101 sivley rd,35801,786,84
101 sivley rd,35801,787,84
101 sivley rd,35801,788,84
101 sivley rd,35801,789,84
101 sivley rd,35801,790,84
101 sivley rd,35801,791,84
101 sivley rd,35801,792,84
101 sivley rd,35801,793,84
101 sivley rd,35801,794,84
101 sivley rd,35801,795,84
101 sivley rd,35801,796,84
101 sivley rd,35801,797,84
101 sivley rd,35801,798,84
101 sivley rd,35801,799,84
101 sivley rd,35801,800,84
101 sivley rd,35801,801,84
1007 goodyear avenue,35903,802,85
1007 goodyear avenue,35903,803,85
1007 goodyear avenue,35903,804,85
1007 goodyear avenue,35903,805,85
1007 goodyear avenue,35903,806,85
1007 goodyear avenue,35903,807,85
1007 goodyear avenue,35903,808,85
1007 goodyear avenue,35903,809,85
1007 goodyear avenue,35903,810,85
1007 goodyear avenue,35903,811,85
1007 goodyear avenue,35903,812,85
1007 goodyear avenue,35903,813,85
1007 goodyear avenue,35903,814,85
1007 goodyear avenue,x590x,815,86
1007 goodyear avenue,35903,816,85
1007 goodyear avenue,35903,817,85
1007 goodyear avenue,35903,818,85
1007 goodyear avenue,35903,819,85
1007 goodyear avenue,35903,820,85
1007 goodyear avenue,35903,821,85
1007 goodyear avenue,35903,822,85
1007 goodyear avenue,35903,823,85
1007 goodyear avenue,35903,824,85
1007 goodyear avenue,35903,825,85
1007 goodyear avenue,35903,826,85
1010 lay dam road,35045,827,87
1010 lay dam road,35045,828,87
1010 lay dam road,35045,829,87
1010 lay dam road,35045,830,87
1010 lay dam road,35045,831,87
1010 lay dam road,35045,832,87
1010 lay dam road,35045,833,87
1010 lay dam road,35045,834,87
1010 lay dam road,35045,835,87
1010 lay dam road,35045,836,87
1010 lay dam road,35045,837,87
1010 lay dam road,35045,838,87
1010 lay dam road,35045,839,87
1010 lay dam road,35045,840,87
1010 lay dam road,35045,841,87
1010 lay dam road,35045,842,87
1010 lay dam road,35045,843,87
1010 lay dam road,35045,844,87
1010 lay dam road,35045,845,87
1010 lay dam road,35045,846,87
1010 lay dam road,35045,847,87
1010 lay dam road,35045,848,87
x0x0 lay dam road,35045,849,88
1010 lay dam road,35045,850,87
1010 lay dam road,35045,851,87
1256 military street south,35570,852,89
1256 military street south,35570,853,89
1256 military street south,35570,854,89
1256 military street south,35570,855,89
1256 military street south,35570,856,89
1256 military street sxuth,35570,857,90
1256 military street south,35570,858,89
1256 military street south,35570,859,89
1256 military street south,35570,860,89
1256 military street south,35570,861,89
1256 military street south,35570,862,89
1256 military street south,35570,863,89
1256 military street south,35570,864,89
1256 military street south,35570,865,89
1256 military street south,35570,866,89
1256 military street south,35570,867,89
1256 military street south,35570,868,89
1256 military street south,35570,869,89
1256 military street south,35570,870,89
1256 military street south,35570,871,89
1256 military street south,35570,872,89
1256 military street south,35570,873,89
1256 military street south,35570,874,89
1256 military street south,35570,875,89
1256 military street south,35570,876,89
1653 temple avenue north,35555,877,91
1653 temple avenue north,35555,878,91
1653 temple avenue north,35555,879,91
1653 temple avenue north,35555,880,91
1653 temple avenue north,35555,881,91
1653 temple avenue north,35555,882,91
1653 temple avenue north,35555,883,91
1653 temple avenue north,35555,884,91
1653 temple avenue north,35555,885,91
1653 temple avenue north,35555,886,91
1653 temple avenue north,35555,887,91
1653 temple avenue north,35555,888,91
1653 temple avenue north,35555,889,91
1653 temple avenue north,35555,890,91
1653 temple avenue north,35555,891,91
