Year,Release Date,original_index,unique_index
1974,August 1974 (USA),220,217
1953,15 December 1953 (USA),221,218
1963,27 November 1963 (USA),222,219
1965,15 October 1965 (USA),223,220
1971,23 June 1971 (USA),224,221
1966,21 December 1966 (USA),225,222
1964,7 March 1965 (USA),226,223
1960 1961 1962,"May 24, 1961 Wide",227,224
1968,2 April 1968 (USA),228,225
1972,18 October 1972 (USA),229,226
1952,15 November 1952 (USA),230,227
1953,27 October 1953 (USA),231,228
1945,June 1945 (USA),232,229
1981,18 September 1981 (USA),233,230
1964,19 January 1964 (USA),234,231
1928,31 October 1928 (USA),235,232
1928,21 July 1928 (USA),236,233
2014,19 June 2015 (USA),237,234
2015,7 August 2015 (USA),238,235
2000,19 July 2002 (UK),239,236
1994,15 July 1994 (USA),240,237
2010,17 September 2010 (USA),241,238
2007,5 October 2007 (USA),242,239
2007,21 September 2007 (USA),243,240
2002,2 August 2002 (USA),244,241
1998,26 June 1998 (USA),245,242
1994,20 May 1994 (USA),246,243
2010,28 January 2011 (USA),247,244
1980,20 August 1981 (Argentina),248,245
2003,12 December 2003 (USA),249,246
1999,25 December 1999 (USA),250,247
2009,25 December 2009 (USA),251,248
1968,24 September 1969 (USA),252,249
1940,15 March 1940 (USA),253,115
1952,9 January 1952 (USA),254,250
1960,July 1960 (USA),255,251
2013,18 October 2013 (USA),256,252
2008,25 January 2008 (USA),257,253
1982,22 October 1982 (USA),258,254
1997,15 August 1997 (USA),259,255
1994,25 December 1994 (USA),260,256
2014,31 October 2014 (USA),261,257
1988,5 February 1988 (USA),262,258
2012,11 January 2013 (USA),263,259
2015,2015 (USA),264,260
2015,26 June 2015 (USA),265,261
2001,,266,262
2012,25 December 2012 (USA),267,263
2008,18 January 2008 (USA),268,264
1988,18 March 1988 (USA),269,265
1920,21 November 1920 (USA),270,266
1931,23 May 1931 (USA),271,267
1936,4 September 1936 (USA),272,268
2015,4 September 2015 (USA),273,269
1940,8 June 1940 (USA),274,270
1924,23 March 1924 (USA),275,271
1947,1 August 1947 (USA),276,272
2014,6 October 2015 (USA),277,273
2005,25 August 2006 (USA),278,274
1974,30 May 1975 (France),279,275
1997,25 December 1997 (USA),280,276
1988,22 September 1988 (Netherlands),281,277
1999,22 October 1999 (USA),282,278
1982,18 December 1982 (Iceland),283,279
1977,21 June 1977 (USA),284,280
2007,1 August 2008 (USA),285,281
1988,24 February 1989 (USA),286,282
1985,11 October 1985 (USA),287,8
1986,22 August 1986 (USA),288,126
2008,10 October 2008 (USA),289,283
2008,27 June 2008 (USA),290,284
2007,16 November 2007 (USA),291,285
1998,13 March 1998 (USA),292,286
2006,28 April 2006 (USA),293,287
2007,31 May 2007 (Hungary),294,288
2005,1 April 2005 (USA),295,289
1999,6 August 1999 (USA),296,290
1991,14 June 1991 (USA),297,291
2002,25 January 2002 (USA),298,292
2009,24 July 2009 (USA),299,293
2008,18 January 2008 (USA),300,264
2007,21 September 2007 (USA),301,240
2009,1 May 2009 (USA),302,294
2010,12 February 2010 (USA),303,295
2008,14 February 2008 (USA),304,296
1959,29 March 1959 (USA),305,297
1952,11 April 1952 (USA),306,298
1995,19 May 1995 (USA),307,299
2013,14 February 2013 (USA),308,300
2009,7 August 2009 (USA),309,301
2007,3 July 2007 (USA),310,302
2007 2008 2009,"Apr 14, 2008 Wide",311,303
2014,4 April 2014 (USA),312,304
2014,2 May 2014 (USA),313,305
2016,24 June 2016 (USA),314,306
2000,11 August 2000 (USA),315,307
2015,6 October 2015 (USA),316,308
2004,15 October 2004 (USA),317,309
1984,4 January 1985 (USA),318,310
1982,April 1982 (USA),319,311
1980,3 October 1980 (USA),320,312
1984,9 November 1984 (USA),321,313
1982,23 September 1983 (USA),322,314
1992,7 February 1992 (USA),323,315
2008,26 September 2008 (USA),324,316
1987,11 December 1987 (USA),325,317
1992,31 July 1992 (USA),326,318
1996,2 February 1996 (USA),327,319
2003,January 2004 (USA),328,320
1997,22 August 1997 (USA),329,321
1985,18 April 1986 (USA),330,322
1991,24 May 1991 (USA),331,323
1987,9 October 1987 (USA),332,324
1996,2 February 1996 (USA),333,319
1996,1 March 1996 (USA),334,325
2006,21 April 2006 (USA),335,326
2001,27 April 2001 (USA),336,327
2011,7 October 2011 (USA),337,328
2013,7 November 2013 (Greece),338,329
2005,20 May 2005 (USA),339,330
1987,28 August 1987 (USA),340,331
1997,6 February 1998 (USA),341,332
1995,3 March 1995 (USA),342,333
1997,22 August 1997 (USA),343,321
2001,26 October 2001 (USA),344,334
2010,12 November 2010 (USA),345,211
2014,30 January 2015 (USA),346,335
2013,25 July 2013 (Israel),347,336
2012,19 April 2013 (USA),348,337
2012,29 August 2012 (USA),349,338
2011 2012 2013,"May 11, 2012 Limited",350,339
2005,9 December 2005 (USA),351,340
2011,4 March 2011 (USA),352,150
2009,18 September 2009 (USA),353,151
2011,9 September 2011 (USA),354,341
2010,22 October 2010 (USA),355,342
2009,11 December 2009 (USA),356,24
2005,19 August 2005 (USA),357,343
2009,8 October 2009 (USA),358,344
2006,4 February 2006 (USA),359,345
2009,24 July 2009 (USA),360,293
2003,25 April 2003 (USA),361,346
2000,20 October 2000 (USA),362,347
1981,29 May 1981 (USA),363,348
1958,15 September 1958 (Sweden),364,349
2015,16 May 2015 (France),365,350
1954,7 August 1954 (USA),366,351
1955,9 December 1955 (Denmark),367,352
1953,7 August 1953 (USA),368,353
1956,February 1956 (USA),369,354
1957,11 January 1958 (USA),370,355
1959,30 April 1959 (USA),371,356
1952,8 May 1953 (Finland),372,357
1956,2 August 1956 (USA),373,358
1953,July 1953 (USA),374,359
1981,18 September 1981 (USA),375,230
1989,27 April 1990 (USA),376,360
1997,7 January 1998 (France),377,361
1996,3 May 1996 (USA),378,362
1997,17 October 1997 (USA),379,363
1998 1999 2000,"Mar 5, 1999 Wide",380,364
2005,19 February 2005 (USA),381,365
1996,20 December 1996 (USA),382,366
2009,1 March 2009 (USA),383,367
2014,19 September 2014 (USA),384,368
2012,May 2012 (USA),385,369
2014,12 August 2014 (Netherlands),386,370
1994,7 October 1994 (USA),387,371
2014,4 January 2014 (USA),388,372
2006,30 July 2006 (USA),389,373
2015,24 April 2015 (USA),390,374
1996,22 March 1996 (USA),391,375
1989,26 January 1990 (Portugal),392,376
2015,16 October 2015 (USA),393,377
1987,14 August 1987 (USA),394,378
1991,24 May 1991 (USA),395,323
1988,30 September 1988 (USA),396,379
1986,28 March 1986 (USA),397,380
1988,6 July 1988 (USA),398,381
1987,27 February 1987 (USA),399,382
1988,17 June 1988 (USA),400,383
1985,2 August 1985 (USA),401,384
1987,1 July 1987 (USA),402,385
1991,7 June 1991 (USA),403,386
1987,13 February 1987 (USA),404,387
2013,14 February 2014 (USA),405,388
2014,31 January 2014 (USA),406,389
2007,17 August 2007 (USA),407,390
2009,2 October 2009 (USA),408,391
2011,18 March 2011 (USA),409,392
2008,13 August 2008 (USA),410,393
2010,6 August 2010 (USA),411,394
2012,10 August 2012 (USA),412,395
2008,29 February 2008 (USA),413,396
1998,15 July 1998 (USA),414,397
1997,21 March 1997 (USA),415,398
1999,22 December 1999 (USA),416,399
2002,4 October 2002 (USA),417,400
2001,19 October 2001 (USA),418,401
1998,22 May 1998 (USA),419,402
2011,28 October 2011 (USA),420,403
2013,19 July 2013 (USA),421,404
2013,25 January 2013 (USA),422,405
2012,18 May 2012 (USA),423,406
2011,29 July 2011 (USA),424,407
2005,22 July 2005 (USA),425,408
2005 2006 2007,"Nov 22, 2006 Wide",426,409
2002,15 February 2002 (USA),427,410
1975,21 September 1975 (USA),428,411
2009,25 December 2009 (USA),429,248
2012,25 May 2012 (USA),430,412
1955,1 June 1955 (USA),431,413
1959,15 May 1959 (USA),432,414
1954,June 1954 (USA),433,415
1929,5 October 1929 (USA),434,416
1932,4 August 1932 (USA),435,417
1991,25 October 1991 (USA),436,418
1995,22 September 1995 (USA),437,419
2011,31 October 2011 (USA),438,420
1954,June 1954 (USA),439,415
1929,9 November 1929 (USA),440,421
1937,16 April 1937 (USA),441,422
1933,29 December 1933 (USA),442,423
2008,24 January 2009 (USA),443,424
1930,10 May 1930 (USA),444,425
1929,19 May 1929 (USA),445,426
1932,19 November 1932 (USA),446,427
1933,27 May 1933 (USA),447,428
1936,28 December 1936 (USA),448,429
1937,4 September 1937 (USA),449,430
1941,26 September 1941 (USA),450,431
1966,25 March 1966 (USA),451,432
1969,31 October 1969 (West Germany),452,433
1966,7 October 1966 (West Germany),453,434
1967,25 May 1967 (USA),454,435
1968,16 May 1968 (USA),455,436
1998,10 April 1998 (USA),456,437
2016,2016 (USA),457,438
1934,1 June 1934 (USA),458,439
2005,7 February 2008 (Germany),459,440
2009,8 July 2009 (France),460,441
1992,18 November 1992 (USA),461,442
1944,5 January 1945 (USA),462,443
1973,27 September 1973 (USA),463,444
1978,2 August 1978 (USA),464,445
2001,25 January 2002 (USA),465,446
2001,19 October 2001 (USA),466,401
1949,31 October 1949 (USA),467,447
1987,2 October 1987 (USA),468,448
2008,4 July 2008 (USA),469,449
2013,29 October 2013 (USA),470,450
2013,11 June 2013 (USA),471,451
2004,30 July 2004 (USA),472,452
1975,13 November 1976 (Japan),473,453
1987,1 May 1987 (USA),474,7
1986,October 1986 (USA),475,454
1988,3 March 1990 (Japan),476,455
2015,6 October 2015 (USA),477,308
2013,24 December 2013 (USA),478,456
2013,18 October 2013 (USA),479,252
2015,5 January 2015 (USA),480,457
2006,19 January 2007 (USA),481,458
1988,March 1988 (West Germany),482,459
1989,21 July 1989 (USA),483,460
1995,13 September 1995 (USA),484,461
1999,3 December 1999 (USA),485,462
1942,24 April 1942 (USA),486,463
1966,July 1966 (UK),487,464
2012,3 February 2012 (USA),488,465
2015,18 June 2015 (USA),489,466
2015,10 July 2015 (USA),490,467
2015,29 July 2015 (USA),491,468
2015,24 July 2015 (USA),492,469
2015,25 September 2015 (USA),493,470
2015,14 August 2015 (USA),494,471
2014 2015 2016,"Aug 28, 2015 Wide",495,472
1951,4 May 1951 (USA),496,473
2015,6 April 2015 (USA),497,474
2015,8 September 2015 (USA),498,475
2015,18 September 2015 (USA),499,195
2015,7 August 2015 (USA),500,235
1991,6 December 1991 (UK),501,476
2011,15 April 2011 (USA),502,477
1959,26 September 1959 (Japan),503,478
1984,11 May 1984 (USA),504,479
1981,27 March 1981 (USA),505,480
1949,12 May 1949 (USA),506,481
2004,19 November 2004 (USA),507,482
2004,6 August 2004 (USA),508,483
1971,2 February 1972 (USA),509,484
1982,14 May 1982 (USA),510,485
1983,21 October 1983 (USA),511,198
2015,14 September 2015 (USA),512,486
1982,12 February 1982 (USA),513,487
1978,13 May 1978 (USA),514,488
1974,31 October 1974 (USA),515,489
1980,18 October 1980 (USA),516,490
1973,27 June 1973 (USA),517,491
1982,July 1982 (USA),518,492
2004 2005 2006,"May 29, 2005 Wide",519,493
1959,17 April 1959 (Netherlands),520,494
1932,19 February 1932 (USA),521,495
2008,30 January 2009 (USA),522,496
1990,18 January 1991 (UK),523,497
1939,11 November 1939 (USA),524,498
1934,31 March 1934 (USA),525,499
1932,13 August 1932 (USA),526,500
1994,28 April 1995 (USA),527,501
1984,18 January 1985 (USA),528,502
1982,11 June 1982 (USA),529,503
1962,31 October 1962 (USA),530,504
1926,24 February 1927 (France),531,505
2004,29 October 2004 (USA),532,506
2008,8 April 2008 (USA),533,507
2000,5 May 2000 (USA),534,508
2006,2 February 2007 (Mexico),535,509
2011,15 April 2011 (USA),536,477
2002 2003 2004,"Aug 15, 2003 Limited",537,510
2001,8 February 2002 (USA),538,511
2003,2 July 2003 (USA),539,512
2012,8 June 2012 (USA),540,513
1952,30 August 1952 (USA),541,514
1961,30 October 1961 (USA),542,515
1968,27 November 1968 (USA),543,516
2002,3 January 2003 (USA),544,517
2006,12 May 2006 (USA),545,518
1993,1 October 1993 (USA),546,519
1992,31 January 1992 (USA),547,520
1991,2 August 1991 (USA),548,521
2015,6 October 2015 (USA),549,308
1981,30 October 1981 (USA),550,522
1967,10 April 1968 (USA),551,523
1965,15 March 1965 (Denmark),552,524
1971,28 October 1972 (Japan),553,525
1961,December 1961 (USA),554,526
1953,31 January 1953 (USA),555,527
1999,14 July 1999 (USA),556,528
1992,11 December 1992 (USA),557,529
1996,16 February 1996 (USA),558,530
1984,13 July 1984 (USA),559,531
1979,22 June 1979 (USA),560,532
1979,8 September 1980 (Denmark),561,533
2007,25 October 2008 (Japan),562,534
1988,30 September 1988 (USA),563,379
1991,5 April 1991 (USA),564,535
2016,,565,536
1981,17 July 1981 (USA),566,537
1983,22 April 1983 (USA),567,538
1992,25 November 1992 (USA),568,539
1999,12 February 1999 (USA),569,540
2011 2012 2013,"Feb 10, 2012 Wide",570,541
2006,17 March 2006 (USA),571,542
2009,6 February 2009 (USA),572,543
2016,27 May 2016 (USA),573,544
1989,21 November 1990 (USA),574,545
2007,14 September 2007 (USA),575,546
1987,May 1987 (USA),576,547
1996,20 September 1996 (USA),577,548
2004,9 April 2004 (USA),578,549
1998,6 November 1998 (USA),579,550
1999 2000 2001,"Feb 18, 2000 Wide",580,551
1993,17 September 1993 (USA),581,552
1991,13 December 1991 (USA),582,553
2005,18 November 2005 (USA),583,554
2009,16 October 2009 (USA),584,555
1966,18 December 1966 (USA),585,556
2006,10 November 2006 (USA),586,557
2011,16 September 2011 (USA),587,558
1970,April 1970 (USA),588,559
1973,15 February 1974 (USA),589,560
1981,20 March 1981 (USA),590,561
1971,21 October 1971 (Argentina),591,562
1983,29 April 1983 (USA),592,563
1978,6 October 1978 (USA),593,564
2013,3 July 2013 (USA),594,565
2012,10 February 2012 (USA),595,566
1973,5 December 1973 (USA),596,567
1992,2 October 1992 (USA),597,568
2007,2 March 2007 (USA),598,569
2011,1 April 2011 (USA),599,570
1997,2 July 1997 (USA),600,571
1959,3 March 1959 (USA),601,572
1954,7 November 1954 (USA),602,573
1958,26 November 1958 (USA),603,574
1953,May 1953 (USA),604,575
1952,17 May 1952 (USA),605,576
1946,5 May 1946 (USA),606,577
1932,17 September 1932 (USA),607,578
1970,12 September 1970 (USA),608,579
1935,18 May 1935 (USA),609,580
1936,20 December 1936 (USA),610,581
1964,25 December 1964 (Finland),611,582
2007,23 March 2007 (USA),612,583
1975,16 October 1975 (Argentina),613,584
1971,28 May 1971 (France),614,585
1986,,615,586
1987,11 September 1987 (USA),616,587
1971,1 October 1971 (USA),617,588
1968,20 November 1968 (USA),618,589
2013,15 March 2013 (USA),619,590
2015,25 September 2015 (USA),620,470
1994,6 July 1994 (USA),621,591
1948,28 August 1948 (USA),622,592
1955,September 1955 (USA),623,593
2003,4 April 2003 (USA),624,594
1988,17 September 1992 (USA),625,595
1995,13 October 1995 (USA),626,596
2001,3 August 2001 (USA),627,597
2003 2004 2005,"Jul 16, 2004 Wide",628,598
2003,30 May 2003 (USA),629,599
2005,2 September 2005 (USA),630,600
2001,4 May 2001 (USA),631,601
2007,2 November 2007 (USA),632,602
2004,January 2004 (USA),633,603
2002,29 March 2002 (USA),634,604
1955,9 January 1956 (Brazil),635,605
1996,15 November 1996 (USA),636,606
1955,1 October 1955 (USA),637,169
2007,1 June 2007 (USA),638,607
2010,11 November 2011 (UK),639,608
1956,31 July 1956 (USA),640,609
1957,June 1957 (USA),641,610
1957,27 June 1957 (USA),642,611
1948,30 April 1948 (USA),643,612
1998,5 August 1998 (USA),644,613
1995,30 May 1995 (USA),645,614
2005,13 January 2006 (USA),646,615
1989,23 June 1989 (USA),647,616
1992,17 July 1992 (USA),648,617
1996,15 November 1996 (USA),649,606
1956,5 October 1956 (USA),650,618
1993,29 July 1994 (UK),651,619
1991,26 March 1993 (Brazil),652,620
1995,22 September 1995 (USA),653,419
2009,14 October 2010 (USA),654,621
2001,16 September 2002 (USA),655,622
2007,28 September 2007 (USA),656,623
2011,24 August 2011 (Iceland),657,624
1989,17 November 1989 (USA),658,625
1989,26 January 1990 (USA),659,626
1996,21 February 1997 (USA),660,627
2009,25 December 2009 (USA),661,248
1989,2 August 1989 (USA),662,628
1948,17 September 1948 (USA),663,629
2010,April 2010 (USA),664,630
2010,8 October 2010 (USA),665,631
1974,28 March 1984 (France),666,632
2000,26 May 2000 (USA),667,633
1970,10 April 1970 (USA),668,634
1994,11 November 1994 (USA),669,635
2000,17 March 2000 (USA),670,636
2013,25 January 2013 (USA),671,405
1969,14 March 1969 (USA),672,637
1957,10 November 1957 (USA),673,638
1956,December 1956 (USA),674,639
2015,9 January 2015 (USA),675,640
1956,1 August 1956 (USA),676,641
1949,6 May 1949 (USA),677,642
1977,27 May 1977 (USA),678,643
2004,12 October 2004 (USA),679,644
2003,19 January 2003 (USA),680,645
2002,2 September 2011 (USA),681,646
1982,18 February 1983 (USA),682,647
1949,8 June 1949 (USA),683,648
1996,6 December 1996 (USA),684,649
1957,1957 (UK),685,650
2012,20 January 2012 (USA),686,651
2012,11 October 2012 (USA),687,652
2013,19 July 2013 (USA),688,404
1987 1988 1989,"Jan 1, 1988 Wide",689,653
2014,21 September 2014 (USA),690,654
2004,10 September 2004 (USA),691,655
2012,23 September 2012 (USA),692,656
2004,24 November 2004 (USA),693,657
2004,7 July 2004 (USA),694,658
2003,2 November 2003 (USA),695,659
2002,25 January 2002 (UK),696,660
1993,10 September 1993 (USA),697,661
1993,11 June 1993 (USA),698,662
1989,24 May 1989 (USA),699,663
2003 2004 2005,"Jan 9, 2004 Wide",700,664
2004,2 April 2004 (USA),701,665
2014,23 May 2014 (USA),702,666
2014,2 November 2014 (UK),703,667
1993,28 April 1993 (USA),704,668
1994,14 May 1994 (South Korea),705,669
1989,1989 (Spain),706,670
2013,5 November 2013 (USA),707,671
2012,7 June 2013 (USA),708,672
1989,2 November 1991 (Japan),709,673
1988,17 June 1988 (USA),710,383
1938,26 August 1938 (USA),711,674
2007,31 August 2007 (USA),712,675
1992,30 September 1992 (USA),713,676
1988,24 March 1989 (Japan),714,677
1992,7 May 1993 (USA),715,678
2012,10 March 2014 (UK),716,679
2013,21 June 2013 (USA),717,21
2013,30 January 2014 (Kuwait),718,680
2013,17 October 2013 (USA),719,681
2015,20 February 2015 (USA),720,682
2014,4 October 2014 (USA),721,683
2007,15 October 2007 (USA),722,684
1997,October 1998 (USA),723,685
2012,2 May 2013 (Israel),724,686
2013,13 September 2013 (USA),725,687
2014,9 May 2014 (USA),726,688
2013,23 May 2013 (USA),727,689
2004,5 March 2004 (USA),728,690
1996,14 June 1996 (USA),729,691
1996,25 December 1996 (USA),730,692
2001,9 February 2001 (USA),731,693
2000 2001 2002,"Apr 6, 2001 Wide",732,694
2012,30 March 2012 (USA),733,695
2011,10 June 2011 (USA),734,696
2002,24 May 2002 (USA),735,697
1955,14 December 1955 (USA),736,698
1957,April 1957 (USA),737,699
1957,June 1957 (USA),738,610
1948,16 October 1948 (USA),739,700
1951,17 August 1951 (USA),740,701
1950,15 September 1950 (USA),741,702
1955,3 July 1955 (USA),742,703
1956,29 June 1956 (USA),743,704
1957,24 January 1958 (Finland),744,705
1999,,745,706
1996,24 December 1996 (USA),746,707
2010,,747,708
1981,,748,709
1988,29 January 1988 (USA),749,710
2012,15 September 2012 (USA),750,711
1992,15 May 1992 (USA),751,712
2012,23 March 2012 (USA),752,713
2010,28 November 2010 (USA),753,714
1984,27 July 1984 (USA),754,715
1993,27 August 1993 (USA),755,716
2011,30 March 2012 (UK),756,717
1978,April 1984 (USA),757,718
1992,28 August 1992 (USA),758,719
2011,8 August 2012 (France),759,720
1949,1 February 1950 (France),760,721
2009,3 September 2010 (USA),761,722
1948,24 January 1948 (USA),762,723
1992,5 March 1993 (USA),763,724
2003,12 December 2003 (USA),764,246
1997,September 1997 (USA),765,725
2000 2001 2002,"Aug 3, 2001 Wide",766,726
2015,3 September 2015 (USA),767,727
1990,10 August 1990 (USA),768,728
