ProviderNumber,HospitalOwner,original_index,unique_index
10011,voluntary non-profit - private,201,20
10011,voluntary non-profit - private,202,20
10011,voluntary non-profit - private,203,20
10011,voluntary non-profit - private,204,20
10011,voluntary non-profit - private,205,20
10011,voluntary non-profit - private,206,20
10011,voluntary non-profit - private,207,20
10011,voluntary non-profit - private,208,20
10011,voluntary non-profit - private,209,20
10011,voluntary non-profit - private,210,20
10011,voluntary non-profit - private,211,20
10011,voluntary non-profit - private,212,20
x00xx,voluntary non-profit - private,213,21
10011,voluntary non-profit - private,214,20
10011,voluntary non-profit - private,215,20
10011,volunxary non-profix - privaxe,216,22
10011,voluntary non-profit - private,217,20
10011,voluntary nonxprofit x private,218,23
10012,voluntary non-profit - church,219,24
10012,voluntary non-profit - church,220,24
10012,voluntaryxnon-profitx-xchurch,221,25
10012,voluntary non-profit - church,222,24
10012,voluntary non-profit - church,223,24
10012,voluntary non-profit - church,224,24
10012,voluntary non-profit - church,225,24
10012,voluntary non-profit - church,226,24
10012,voluntary non-profit - church,227,24
10012,voluntary non-profit - church,228,24
10012,voluntary non-profit - church,229,24
10012,voluntary non-profit - church,230,24
10012,voluntary non-profit - church,231,24
10012,voluntary non-profit - church,232,24
10012,voluntary non-profit - church,233,24
10012,voluntary non-profit - church,234,24
10012,voluntary non-profit - church,235,24
10012,voluntary non-profit - church,236,24
10012,voluntary non-profit - church,237,24
10012,voxuntary non-profit - church,238,26
10012,voluntary non-profit - church,239,24
10012,voluntary non-profit - church,240,24
10012,voluntary non-profit - church,241,24
10012,voluntary non-profit - church,242,24
10012,voluntary non-profit - church,243,24
x00x5,government - federal,244,27
10015,government - federal,245,28
10015,government - federal,246,28
10015,governxent - federal,247,29
10015,government - federal,248,28
10015,government - federal,249,28
10015,government - federal,250,28
10015,government - federal,251,28
10015,government - federal,252,28
1xx15,government - federal,253,30
10015,government - federal,254,28
10015,government - federal,255,28
10015,government - federal,256,28
10015,government - federal,257,28
10015,government - federal,258,28
10015,government - federal,259,28
10015,government - federal,260,28
10015,government - federal,261,28
10015,government - federal,262,28
10015,government - federal,263,28
10015,government - federal,264,28
10015,government - federal,265,28
10015,government - federal,266,28
10015,government - federal,267,28
10015,government - federal,268,28
10016,voluntary non-profit - church,269,31
10016,voluntary non-profit - church,270,31
10016,voluntary non-profit - church,271,31
10016,voluntary non-profit - church,272,31
1xx16,voluntary non-profit - church,273,32
10016,voluntary non-profit - church,274,31
10016,voluntary non-profit - church,275,31
10016,voluntary non-profit - church,276,31
10016,voluntary non-profit - church,277,31
10016,voluntary non-profit - church,278,31
10016,voluntary non-profit - church,279,31
10016,voluntary non-profit - church,280,31
10016,voluntary non-profit - church,281,31
10016,voluntary non-profit - church,282,31
10016,voluntary non-profit - church,283,31
10016,voluntary non-profit - church,284,31
10016,voluntary non-profit - church,285,31
10016,voluntary non-profit - church,286,31
10016,voluntary non-profit - church,287,31
10016,voluntary non-profit - church,288,31
10016,voluntary non-profit - church,289,31
10016,voluntary non-profit - church,290,31
10016,voluntary non-profit - church,291,31
10016,voluntary non-profit - church,292,31
10016,voluntary non-profit - church,293,31
10018,voluntary non-profit - private,294,0
10018,voluntary non-profit - private,295,0
10018,voluntary non-profit - private,296,0
10018,voluntary non-profit - private,297,0
10018,voluntary non-profit - private,298,0
10018,voluntary non-profit - private,299,0
10018,voluntary non-profit - private,300,0
10018,voluntary non-profit - private,301,0
10018,voluntary non-profit - private,302,0
10018,voluntary non-profit - private,303,0
10018,voluntary non-profit - private,304,0
10018,voluntary non-profit - private,305,0
10018,voluntary non-profit - private,306,0
10018,voluntary non-profit - private,307,0
10018,voluntary non-profit - private,308,0
10018,voluntary non-profit - private,309,0
10018,voluntary non-profit - private,310,0
10038,proprietary,311,33
10038,proprietary,312,33
10038,prxprietary,313,34
100x8,proprietary,314,35
10038,proprietary,315,33
10038,proprietary,316,33
10038,proprietary,317,33
10038,proprietary,318,33
10038,proprietary,319,33
10038,proprietary,320,33
10038,proprietary,321,33
10038,proprietary,322,33
10038,proprietary,323,33
10038,proprietary,324,33
10038,proprietary,325,33
10038,proprietary,326,33
10038,proprietary,327,33
10038,proprietary,328,33
10038,proprietary,329,33
10038,proprietary,330,33
10055,proprietary,331,36
10055,proxrietary,332,37
10055,proprietary,333,36
10055,proprietary,334,36
10055,proprietary,335,36
10055,proprietary,336,36
10055,proprietary,337,36
10055,proprietary,338,36
10055,proprietary,339,36
10055,proprietary,340,36
10055,proprietary,341,36
10055,proprietary,342,36
10055,proprietary,343,36
10055,proprietary,344,36
10055,proprietary,345,36
10055,proprietary,346,36
10055,proprietary,347,36
10056,voluntary non-profit - other,348,38
10056,voluntary non-profit - other,349,38
10056,voluntary non-profit - other,350,38
10056,voluntary non-profit - other,351,38
10056,voluntary non-profit - other,352,38
10085,government - hospital district or authority,353,39
10086,proprietary,354,40
10086,proprietary,355,40
10086,prxprietary,356,41
10086,proprietary,357,40
10086,proprietary,358,40
10086,proprietary,359,40
100x6,proprietary,360,42
10086,proprietary,361,40
10086,proprietary,362,40
10086,proprietary,363,40
10086,proprietary,364,40
10086,proprietary,365,40
10086,proprietary,366,40
10086,proprietary,367,40
10086,proprietary,368,40
10086,proprietary,369,40
10086,proprietary,370,40
10086,proprietary,371,40
10086,proprietary,372,40
10086,proprietary,373,40
10086,proprietary,374,40
10086,proprietary,375,40
10086,proprietary,376,40
10086,proprietary,377,40
10086,proprietary,378,40
10087,government - state,379,43
10087,government - state,380,43
10087,government - state,381,43
10087,government - state,382,43
10087,government - state,383,43
10087,government - state,384,43
10087,government - state,385,43
10087,government - state,386,43
10087,government - state,387,43
10087,government - state,388,43
10087,government - state,389,43
10087,government - state,390,43
10087,government - state,391,43
10108,voluntary non-profit - private,392,44
10108,voluntary non-profit - private,393,44
10108,voluntary non-profit - private,394,44
10108,voluntary non-profit - private,395,44
10108,voluntary non-profit - private,396,44
10108,voluntary non-profit - private,397,44
10108,voluntary non-profit - private,398,44
10108,voluntary non-profit - private,399,44
10108,voluntary non-profit - private,400,44
10108,voluntary non-profit - private,401,44
10108,voluntary non-profit - private,402,44
10108,voluntary non-profit - private,403,44
10108,voluntary non-profit - private,404,44
10108,voluntary non-profit - private,405,44
10108,voluntary non-profit - private,406,44
10108,voluntary non-profit - private,407,44
x0x08,voluntary non-profit - private,408,45
10108,voluntary non-profit - private,409,44
10108,voluntary non-profit - private,410,44
10108,voluntary non-profit - private,411,44
10158,proprietary,412,46
10158,proprietary,413,46
10164,voluntary non-profit - other,414,47
10164,voluntary non-profit - other,415,47
10164,voluntary non-profit - other,416,47
10164,voluntary non-profit - other,417,47
10164,voluntary non-profit - other,418,47
10164,voluntary non-profit - other,419,47
10164,voluntary non-profit - other,420,47
10164,voluntary non-profit - other,421,47
10164,voluntary non-profit - other,422,47
10164,voluntary non-profit - other,423,47
10164,voluntary non-profit - other,424,47
10164,voluntary non-profit - other,425,47
10164,voluntary non-profit - other,426,47
10164,voluntary non-profit - other,427,47
10164,voluntary non-profit - other,428,47
10164,voluntary non-profit - other,429,47
10164,voluntary non-profit - other,430,47
10164,voluntary non-profit - other,431,47
20017,proprietary,432,48
20017,proprietary,433,48
20017,proprietary,434,48
20017,proprietary,435,48
20017,proprietary,436,48
20017,proprietary,437,48
20017,proprietary,438,48
20017,proprietary,439,48
20017,proprietary,440,48
20017,proprietary,441,48
20017,proprietary,442,48
20017,proprietary,443,48
20017,proprietary,444,48
20017,proprietary,445,48
20017,proprietary,446,48
20017,proprietary,447,48
20017,proprietary,448,48
20017,proxrietary,449,49
20018,government - federal,450,50
20018,government - federal,451,50
10019,government - hospital district or authority,452,1
10019,government - hospital district or authority,453,1
10019,government - hospital district or authority,454,1
10019,government - hospital district or authority,455,1
10019,gxvernment - hxspital district xr authxrity,456,51
10019,government - hospital district or authority,457,1
10019,government - hospital district or authority,458,1
10019,government - hospital district or authority,459,1
10019,government - hospital district or authority,460,1
10019,government - hospital district or authority,461,1
10019,government - hospital district or authority,462,1
10019,government - hospital district or authority,463,1
10019,government - hospital district or authority,464,1
10019,government - hospital district or authority,465,1
10021,government - hospital district or authority,466,52
10021,government - hospital district or authority,467,52
10021,government - hospital district or authority,468,52
10021,government - hospital district or authority,469,52
10021,government - hospital district or authority,470,52
10021,government - hospital district or authority,471,52
10021,government - hospital district or authority,472,52
10021,government - hospital district or authority,473,52
10021,government - hospital district or authority,474,52
10021,government - hospital district or authority,475,52
10021,government - hospital district or authority,476,52
10021,government - hospital district or authority,477,52
10021,government - hospital district or authority,478,52
10021,government - hospital district or authority,479,52
10021,government - hospital district or authority,480,52
10021,government - hospital district or authority,481,52
10021,government - hospital district or authority,482,52
10021,government - hospital district or authority,483,52
10021,government - hospital district or authority,484,52
10021,government - hospital district or authority,485,52
10021,government - hospital district or authority,486,52
10021,government - hospital district or authority,487,52
10021,government - hospital district or authority,488,52
10021,government - hospital district or authority,489,52
10021,government - hospital district or authority,490,52
10022,voluntary non-profit - private,491,53
10022,voluntary non-profit - private,492,53
10022,voluntaryxnon-profitx-xprivate,493,54
10022,voluntary non-profit - private,494,53
10022,voluntary non-profit - private,495,53
10022,voluntary non-profit - private,496,53
10022,voluntary non-profit - private,497,53
10022,voluntary non-profit - private,498,53
10022,voluntary non-profit - private,499,53
10022,voluntary non-profit - private,500,53
10022,voluntary non-profit - private,501,53
10022,voluntary non-profit - private,502,53
10022,voluntary non-profit - private,503,53
10022,voluntary non-profit - private,504,53
10022,voluntary non-profit - private,505,53
10022,voluntary non-profit - private,506,53
10022,voluntary non-profit - private,507,53
10022,voluntary non-profit - private,508,53
10022,voluntary non-profit - private,509,53
10022,voluntary non-profit - private,510,53
10022,voluntary non-profit - private,511,53
10022,voluntary non-profit - private,512,53
10022,voluntary non-profit - private,513,53
10022,voluntary non-profit - private,514,53
10022,voluntary non-profit - private,515,53
10023,voluntary non-profit - church,516,55
10023,voluntary non-profit - church,517,55
10023,voluntary non-profit - church,518,55
10023,voluntary non-profit - church,519,55
10023,voluntary non-profit - church,520,55
10023,voluntary non-profit - church,521,55
10023,voluntary non-profit - church,522,55
10023,voluntary non-profit - church,523,55
10023,voluntary non-profit - church,524,55
10023,voluntary non-profit - church,525,55
10023,volxntary non-profit - chxrch,526,56
10023,voluntary non-profit - church,527,55
10023,voluntary non-profit - church,528,55
10023,voluntary non-profit - church,529,55
10023,voluntary non-profit - church,530,55
10023,voluntary non-profit - church,531,55
10023,voluntary non-profit - church,532,55
10023,voluntary non-profit - church,533,55
10023,voluntary non-profit - church,534,55
10023,voluntary non-profit - church,535,55
10023,voluntary non-profit - church,536,55
10023,voluntary non-profit - church,537,55
10023,voluntary non-profit - church,538,55
10023,voluntary non-profit - church,539,55
10023,voluntary non-profit - church,540,55
10024,voluntary non-profit - private,541,57
10024,voluntary non-profit - private,542,57
10024,voluntary non-profit - private,543,57
10024,voluntary non-profit - private,544,57
10024,voluntary non-profit - private,545,57
10024,voluntary non-profit - private,546,57
10024,voluntary non-profit - private,547,57
10024,voluntary non-profit - private,548,57
10024,voluntary non-profit - private,549,57
10024,voluntary non-profit - private,550,57
10024,voluntary non-profit - private,551,57
10024,voluntary non-profit - private,552,57
10024,voluntary non-profit - private,553,57
10024,voluntary non-profit - private,554,57
10024,voluntary non-profit - private,555,57
10024,voluntary non-profit - private,556,57
10024,voluntary non-profit - private,557,57
10024,voluntary non-profit - private,558,57
1xx24,voluntary non-profit - private,559,58
10024,voluntary non-profit - private,560,57
10024,voluntary non-profit - private,561,57
10024,voluntary non-profit - private,562,57
10024,voluntary non-profit - private,563,57
10024,voluntary non-profit - private,564,57
10024,voluntary non-profit - private,565,57
10025,voluntary non-profit - other,566,59
10025,voluntary non-profit - other,567,59
10025,voluntary non-profit - other,568,59
10025,voluntary non-profit - other,569,59
10025,voluntary non-profit - other,570,59
10025,voluntary non-profit - other,571,59
10025,voluntary non-profit - otxer,572,60
10025,voluntary non-profit - other,573,59
10025,voluntary non-profit - other,574,59
10025,voluntary non-profit - other,575,59
10025,voluntary non-profit - other,576,59
10025,voluntary non-profit - other,577,59
10025,voluntary non-profit - other,578,59
10025,voluntary non-profit - other,579,59
10025,voluntary non-profit - other,580,59
10025,voluntary non-profit - other,581,59
10025,voluntary non-profit - other,582,59
10025,voluntary non-profit - other,583,59
10025,voluntary non-profit - other,584,59
10025,voluntary non-profit - other,585,59
10025,voluntary non-profit - other,586,59
10025,voluntary non-profit - other,587,59
10025,voluntary non-profit - other,588,59
10025,voluntary non-profit - other,589,59
10025,voluntary non-profit - other,590,59
10027,voluntary non-profit - other,591,61
10027,voluntary non-profit - other,592,61
10027,voluntary non-profit - other,593,61
10027,voluntary non-profit - other,594,61
10027,voluntary non-profit - other,595,61
10027,voluntary non-profit - other,596,61
10027,voluntary non-profit - other,597,61
10027,voluntary non-profit - other,598,61
10027,voluntary non-profit - other,599,61
10027,voluntary non-profit - other,600,61
10027,voluntary non-profit - other,601,61
10027,voluntary non-profit - other,602,61
10027,voluntary non-profit - other,603,61
10027,voluntary non-profit - other,604,61
10027,voluntary non-profit - other,605,61
10027,voluntary non-profit - other,606,61
10027,voluntary non-profit - other,607,61
x0027,voluntary non-profit - other,608,62
10027,voluntary non-profit - other,609,61
10027,voluntary non-profit - other,610,61
10027,voluntary non-profit - other,611,61
10027,voluntary non-profit - other,612,61
10027,voluntary non-profit - other,613,61
10027,voluntary non-profit - other,614,61
10027,voluntary non-profit - other,615,61
10029,government - hospital district or authority,616,63
10029,government - hospital district or authority,617,63
10029,government - hospital district or authority,618,63
10029,government - hospital district or authority,619,63
10029,government - hospital district or authority,620,63
10029,government - hospital district or authority,621,63
10029,government - hospital district or authority,622,63
10029,government - hospital district or authority,623,63
10029,government - hospital district or authority,624,63
10029,government - hospital district or authority,625,63
10029,government - hospital district or authority,626,63
x0029,government - hospital district or authority,627,64
10029,government - hospital district or authority,628,63
10029,government - hospital district or authority,629,63
10029,government - hospital district or authority,630,63
10029,government - hospital district or authority,631,63
10029,government - hospital district or authority,632,63
10029,government - hospital district or authority,633,63
10029,government - hospital district or authority,634,63
10029,government - hospital district or authority,635,63
10029,government - hospital district or authority,636,63
10029,government - hospital district or authority,637,63
10029,government - hospital district or authority,638,63
1xx29,government - hospital district or authority,639,65
10029,government - hospital district or authority,640,63
10032,government - local,641,66
10032,government - local,642,66
10032,government - local,643,66
10032,government - local,644,66
1xx32,government - local,645,67
10032,government - local,646,66
10032,government - local,647,66
10032,government - local,648,66
10032,government - local,649,66
10032,government - local,650,66
10032,government - local,651,66
10032,government - local,652,66
10032,government - local,653,66
10032,government - local,654,66
1xx32,government - local,655,67
10032,government - local,656,66
10032,government - local,657,66
10032,government - local,658,66
10032,government - local,659,66
10032,government - local,660,66
10032,government - local,661,66
10032,government - local,662,66
10032,government - local,663,66
10032,government - local,664,66
10032,government - local,665,66
10033,government - state,666,68
10033,government - state,667,68
10033,government - state,668,68
10033,government - state,669,68
10033,government - state,670,68
10033,government - state,671,68
10033,government - state,672,68
10033,government - state,673,68
10033,government - state,674,68
10033,government - state,675,68
10033,government - state,676,68
10033,government - state,677,68
10033,government - state,678,68
10033,government - state,679,68
10033,government - state,680,68
10033,government - state,681,68
10033,government - state,682,68
10033,government - state,683,68
10033,government - state,684,68
10033,government - state,685,68
10033,government - state,686,68
10033,government - state,687,68
10033,government - state,688,68
10033,government - state,689,68
10033,government - state,690,68
10034,voluntary non-profit - private,691,69
10034,voluntary non-profit - private,692,69
10034,voluntary non-profit - private,693,69
10034,voluntary non-profit - private,694,69
10034,voluntary non-profit - private,695,69
10034,voluntary non-profit - private,696,69
10034,voluntary non-profit - private,697,69
10034,voluntary non-profit - private,698,69
10034,voluntary non-profit - private,699,69
10034,voluntary non-profit - private,700,69
10034,voluntary non-profit - private,701,69
10034,voluntary non-profit - private,702,69
10034,voluntary non-profit - private,703,69
100x4,voluntary non-profit - private,704,70
10034,voluntary non-profit - private,705,69
10034,voluntary non-profit - private,706,69
10034,voluntary non-profit - private,707,69
10034,voluntary non-profit - private,708,69
10034,voluntary non-profit - private,709,69
10034,voluntary non-profit - private,710,69
10034,voluntary non-profit - private,711,69
10034,voluntary non-profit - private,712,69
10034,voluntary non-profit - private,713,69
10034,voluntary non-profit - private,714,69
10034,voluntary non-profit - private,715,69
10035,government - hospital district or authority,716,71
10035,government - hospital district or authority,717,71
10035,government - hospital district or authority,718,71
10035,government - hospital district or authority,719,71
10035,government - hospital district or authority,720,71
100x5,government - hospital district or authority,721,72
10035,government - hospital district or authority,722,71
10035,government - hospital district or authority,723,71
1xx35,government - hospital district or authority,724,73
10035,government - hospital district or authority,725,71
10035,government - hospital district or authority,726,71
10035,government - hospital district or authority,727,71
10035,government - hospital district or authority,728,71
10035,government - hospital district or authority,729,71
10035,government - hospital district or authority,730,71
10035,government - hospital district or authority,731,71
10035,government - hospital district or authority,732,71
10035,government - hospital district or authority,733,71
10035,government - hospital district or authority,734,71
10035,government - hospital district or authority,735,71
10035,government - hospital district or authority,736,71
10035,government - hospital district or authority,737,71
10035,government - hospital district or authority,738,71
10035,government - hospital district or authority,739,71
10035,government - hospital district or authority,740,71
10036,proprietary,741,74
10036,proprietary,742,74
10036,proprietary,743,74
10036,prxprietary,744,75
10036,proprietary,745,74
10036,proprietary,746,74
10036,proprietary,747,74
10036,proprietary,748,74
10036,proprietary,749,74
10036,proprietary,750,74
10036,proprietary,751,74
10036,proprietary,752,74
10036,proprietary,753,74
10036,proprietary,754,74
1xx36,proprietary,755,76
10036,proprietary,756,74
10036,proprietary,757,74
10036,proprietary,758,74
10036,proprietary,759,74
10036,proprietary,760,74
10036,proprietary,761,74
10036,proprietary,762,74
10036,proprietary,763,74
10036,proprietary,764,74
10036,proprietary,765,74
10038,proprietary,766,33
10038,proprietary,767,33
10038,proprietary,768,33
10038,proprietary,769,33
10038,proprietary,770,33
10038,proprietary,771,33
10038,proprietary,772,33
10038,proprietary,773,33
10039,government - hospital district or authority,774,77
10039,government - hospital district or authority,775,77
10039,government - hospital district or authority,776,77
10039,government - hospital district or authority,777,77
10039,government - hospital district or authority,778,77
10039,government - hospital district or authority,779,77
1003x,government - hospital district or authority,780,78
10039,government - hospital district or authority,781,77
10039,government - hospital district or authority,782,77
10039,government - hospital district or authority,783,77
10039,goverxmext - hospital district or authority,784,79
10039,government - hospital district or authority,785,77
10039,government - hospital district or authority,786,77
10039,government - hospital district or authority,787,77
10039,government - hospital district or authority,788,77
1xx39,government - hospital district or authority,789,80
10039,government - hospital district or authority,790,77
10039,government - hospital district or authority,791,77
10039,government - hospital district or authority,792,77
100x9,government - hospital district or authority,793,81
10039,government - hospital district or authority,794,77
10039,government - hospital district or authority,795,77
10039,government - hospital district or authority,796,77
10039,government - hospital district or authority,797,77
10039,government - hospital district or authority,798,77
10039,government - hospital district or authority,799,77
10039,government - hospital district or authority,800,77
10039,government - hospital district or authority,801,77
10040,proprietary,802,82
10040,proprietary,803,82
10040,proprietary,804,82
10040,proprietary,805,82
10040,proprietary,806,82
10040,proprietary,807,82
10040,proprietary,808,82
10040,proprietary,809,82
10040,proprietary,810,82
10040,proprietary,811,82
10040,proprietary,812,82
10040,proprietary,813,82
10040,proprietary,814,82
10040,proprietary,815,82
10040,proprietary,816,82
10040,proprietary,817,82
10040,proprietary,818,82
10040,proprietary,819,82
10040,proprietary,820,82
10040,proprietary,821,82
10040,proprietary,822,82
10040,proprietary,823,82
10040,proprietary,824,82
10040,proprietary,825,82
10040,proprietary,826,82
10043,voluntary non-profit - private,827,83
10043,voluntary non-profit - private,828,83
10043,voluntary non-profit - private,829,83
10043,voluntary non-profit - private,830,83
10043,voluntary non-profit - private,831,83
10043,voluntary non-profit - private,832,83
10043,voluntary non-profit - private,833,83
10043,voluntary non-profit - private,834,83
10043,voluntary non-profit - private,835,83
10043,voluntary non-profit - private,836,83
10043,voluntary non-profit - private,837,83
10043,voluntary non-profit - private,838,83
10043,voluntary non-profit - private,839,83
10043,voluntary non-profit - private,840,83
10043,voluntary non-profit - private,841,83
10043,voluntary non-profit - private,842,83
10043,voluntary non-profit - private,843,83
10043,voluntary non-profit - private,844,83
10043,voluntary non-profit - private,845,83
10043,voluntaxy non-pxofit - pxivate,846,84
10043,voluntary non-profit - private,847,83
10043,voluntary non-profit - private,848,83
10043,voluntary non-profit - private,849,83
10043,voluntary non-profit - private,850,83
10043,voluntary non-profit - private,851,83
10044,voluntary non-profit - private,852,85
10044,voluntary non-profit - private,853,85
10044,voluntary non-profit - private,854,85
10044,voluntary non-profit - private,855,85
10044,voluntary non-profit - private,856,85
10044,voluntary non-profit - private,857,85
10044,voluntary non-profit - private,858,85
1xx44,voluntary non-profit - private,859,86
10044,voluntary non-profit - private,860,85
10044,voluntary non-profit - private,861,85
10044,voluntary non-profit - private,862,85
10044,voluntary non-profit - private,863,85
10044,voluntary non-profit - private,864,85
10044,voluntary non-profit - private,865,85
10044,voluntary non-profit - private,866,85
10044,voluntary non-profit - private,867,85
10044,voluxtary xox-profit - private,868,87
10044,voluntary non-profit - private,869,85
10044,voluntary non-profit - private,870,85
10044,voluntary non-profit - private,871,85
10044,voluntaxy non-pxofit - pxivate,872,88
10044,voluntary non-profit - private,873,85
10044,voluntary non-profit - private,874,85
