Release Date,Country,original_index,unique_index
10 July 1944 (UK),USA,172,170
20 December 1945 (USA),USA,173,171
"Mar 9, 1948 Wide",USA,174,172
20 August 1976 (USA),USA,175,173
1 July 1965 (USA),USA,176,174
7 November 1960 (USA),USA,177,175
12 June 1963 (USA),USA,178,176
19 June 1962 (USA),USA,179,177
21 January 2011 (USA),"USA,United Arab Emirates,Poland",180,178
24 May 2007 (Germany),USA,181,179
16 June 1995 (USA),USA,182,180
"Feb 13, 1998 Wide","UK,USA",183,181
2 September 2015 (USA),USA,184,182
3 October 2013 (Portugal),USA,185,183
7 August 1987 (USA),USA,186,184
12 April 1985 (USA),USA,187,185
,USA,188,47
18 December 1958 (USA),USA,189,186
31 October 2008 (USA),"UK,USA,France",190,187
26 April 2002 (USA),USA,191,188
20 April 2013 (USA),USA,192,189
24 August 2001 (USA),USA,193,190
26 March 2004 (USA),USA,194,191
26 February 2010 (USA),USA,195,192
2008 (USA),USA,196,193
18 September 2015 (USA),USA,197,42
18 August 1980 (Australia),"USA,Hong Kong",198,194
25 March 1983 (USA),USA,199,195
21 October 1983 (USA),USA,200,196
22 May 1992 (USA),USA,201,197
31 July 1987 (USA),USA,202,198
8 February 1991 (USA),USA,203,163
13 August 2010 (USA),USA,204,199
1 July 2011 (USA),USA,205,200
20 March 2009 (USA),"USA,Germany",206,201
13 February 2009 (USA),"USA,Germany,UK",207,202
24 March 2006 (USA),USA,208,203
October 1973 (USA),USA,209,204
1973 (UK),USA,210,205
10 October 1980 (Finland),USA,211,206
23 April 2004 (USA),"USA,UK",212,207
23 March 1973 (Finland),USA,213,208
12 November 2010 (USA),USA,214,209
20 September 2013 (USA),USA,215,210
10 July 1998 (USA),USA,216,211
17 July 2015 (USA),USA,217,212
7 October 1970 (USA),USA,218,213
13 March 1975 (Mexico),"USA,Mexico",219,214
August 1974 (USA),USA,220,215
15 December 1953 (USA),USA,221,216
27 November 1963 (USA),USA,222,217
15 October 1965 (USA),USA,223,218
23 June 1971 (USA),USA,224,219
21 December 1966 (USA),USA,225,220
7 March 1965 (USA),"France,Italy,USA",226,221
"May 24, 1961 Wide",USA,227,222
2 April 1968 (USA),USA,228,223
18 October 1972 (USA),USA,229,224
15 November 1952 (USA),USA,230,225
27 October 1953 (USA),USA,231,226
June 1945 (USA),USA,232,227
18 September 1981 (USA),USA,233,228
19 January 1964 (USA),USA,234,229
31 October 1928 (USA),USA,235,230
21 July 1928 (USA),USA,236,231
19 June 2015 (USA),USA,237,232
7 August 2015 (USA),"USA,Germany,UK,Canada",238,233
19 July 2002 (UK),"UK,USA",239,234
15 July 1994 (USA),USA,240,235
17 September 2010 (USA),USA,241,236
5 October 2007 (USA),USA,242,237
21 September 2007 (USA),"USA,UK,Canada",243,238
2 August 2002 (USA),USA,244,239
26 June 1998 (USA),USA,245,240
20 May 1994 (USA),USA,246,241
28 January 2011 (USA),"USA,UK",247,242
20 August 1981 (Argentina),USA,248,243
12 December 2003 (USA),USA,249,244
25 December 1999 (USA),USA,250,245
25 December 2009 (USA),"USA,Italy",251,246
24 September 1969 (USA),"Spain,West Germany,UK,USA",252,247
15 March 1940 (USA),USA,253,115
9 January 1952 (USA),USA,254,248
July 1960 (USA),USA,255,249
18 October 2013 (USA),USA,256,250
25 January 2008 (USA),"USA,Germany",257,251
22 October 1982 (USA),USA,258,252
15 August 1997 (USA),USA,259,253
25 December 1994 (USA),"USA,Canada",260,254
31 October 2014 (USA),USA,261,255
5 February 1988 (USA),USA,262,256
11 January 2013 (USA),USA,263,257
2015 (USA),USA,264,258
26 June 2015 (USA),"USA,UK",265,259
,USA,266,47
25 December 2012 (USA),"USA,UK",267,260
18 January 2008 (USA),USA,268,261
18 March 1988 (USA),USA,269,262
21 November 1920 (USA),USA,270,263
23 May 1931 (USA),USA,271,264
4 September 1936 (USA),USA,272,265
4 September 2015 (USA),USA,273,266
8 June 1940 (USA),USA,274,267
23 March 1924 (USA),USA,275,268
1 August 1947 (USA),USA,276,269
6 October 2015 (USA),USA,277,270
25 August 2006 (USA),USA,278,271
30 May 1975 (France),USA,279,272
25 December 1997 (USA),USA,280,273
22 September 1988 (Netherlands),"USA,Canada",281,274
22 October 1999 (USA),USA,282,275
18 December 1982 (Iceland),USA,283,276
21 June 1977 (USA),USA,284,277
1 August 2008 (USA),USA,285,278
24 February 1989 (USA),"USA,UK",286,279
11 October 1985 (USA),USA,287,280
22 August 1986 (USA),USA,288,126
10 October 2008 (USA),"USA,UK",289,281
27 June 2008 (USA),"USA,Germany",290,282
16 November 2007 (USA),USA,291,283
13 March 1998 (USA),"USA,France",292,284
28 April 2006 (USA),USA,293,285
31 May 2007 (Hungary),USA,294,286
1 April 2005 (USA),USA,295,287
6 August 1999 (USA),USA,296,288
14 June 1991 (USA),USA,297,289
25 January 2002 (USA),USA,298,290
24 July 2009 (USA),USA,299,291
18 January 2008 (USA),USA,300,261
21 September 2007 (USA),USA,301,292
1 May 2009 (USA),USA,302,293
12 February 2010 (USA),USA,303,294
14 February 2008 (USA),"Germany,UK,USA,France",304,295
29 March 1959 (USA),USA,305,296
11 April 1952 (USA),USA,306,297
19 May 1995 (USA),USA,307,298
14 February 2013 (USA),USA,308,299
7 August 2009 (USA),"USA,Czech Republic",309,300
3 July 2007 (USA),USA,310,301
"Apr 14, 2008 Wide",USA,311,302
4 April 2014 (USA),USA,312,303
2 May 2014 (USA),USA,313,304
24 June 2016 (USA),USA,314,305
11 August 2000 (USA),USA,315,306
6 October 2015 (USA),USA,316,270
15 October 2004 (USA),USA,317,307
4 January 1985 (USA),USA,318,308
April 1982 (USA),USA,319,309
3 October 1980 (USA),"Canada,USA",320,310
9 November 1984 (USA),USA,321,311
23 September 1983 (USA),"Spain,USA,Puerto Rico,Italy",322,312
7 February 1992 (USA),USA,323,313
26 September 2008 (USA),"USA,Australia",324,314
11 December 1987 (USA),USA,325,315
31 July 1992 (USA),USA,326,316
2 February 1996 (USA),"USA,UK",327,317
January 2004 (USA),USA,328,318
22 August 1997 (USA),"USA,UK",329,319
18 April 1986 (USA),"USA,UK",330,320
24 May 1991 (USA),"USA,France",331,321
9 October 1987 (USA),USA,332,322
2 February 1996 (USA),USA,333,323
1 March 1996 (USA),USA,334,324
21 April 2006 (USA),USA,335,325
27 April 2001 (USA),USA,336,326
7 October 2011 (USA),USA,337,327
7 November 2013 (Greece),USA,338,328
20 May 2005 (USA),USA,339,329
28 August 1987 (USA),USA,340,330
6 February 1998 (USA),"USA,Italy",341,331
3 March 1995 (USA),"USA,UK,Australia,South Africa",342,332
22 August 1997 (USA),USA,343,333
26 October 2001 (USA),"USA,Germany",344,334
12 November 2010 (USA),USA,345,209
30 January 2015 (USA),"USA,United Arab Emirates",346,335
25 July 2013 (Israel),"USA,Belgium,Bulgaria",347,336
19 April 2013 (USA),USA,348,337
29 August 2012 (USA),USA,349,338
"May 11, 2012 Limited",USA,350,339
9 December 2005 (USA),"USA,United Arab Emirates",351,340
4 March 2011 (USA),USA,352,150
18 September 2009 (USA),USA,353,151
9 September 2011 (USA),"USA,United Arab Emirates",354,341
22 October 2010 (USA),USA,355,342
11 December 2009 (USA),USA,356,24
19 August 2005 (USA),USA,357,343
8 October 2009 (USA),USA,358,344
4 February 2006 (USA),USA,359,345
24 July 2009 (USA),"USA,Canada,Germany,France",360,346
25 April 2003 (USA),USA,361,347
20 October 2000 (USA),USA,362,348
29 May 1981 (USA),USA,363,349
15 September 1958 (Sweden),"USA,West Germany",364,350
16 May 2015 (France),USA,365,351
7 August 1954 (USA),USA,366,352
9 December 1955 (Denmark),USA,367,353
7 August 1953 (USA),USA,368,354
February 1956 (USA),USA,369,355
11 January 1958 (USA),USA,370,356
30 April 1959 (USA),USA,371,357
8 May 1953 (Finland),USA,372,358
2 August 1956 (USA),USA,373,359
July 1953 (USA),USA,374,360
18 September 1981 (USA),USA,375,228
27 April 1990 (USA),USA,376,361
7 January 1998 (France),"France,UK,USA",377,362
3 May 1996 (USA),USA,378,363
17 October 1997 (USA),USA,379,364
"Mar 5, 1999 Wide",USA,380,365
19 February 2005 (USA),USA,381,366
20 December 1996 (USA),USA,382,367
1 March 2009 (USA),USA,383,368
19 September 2014 (USA),USA,384,369
May 2012 (USA),USA,385,370
12 August 2014 (Netherlands),USA,386,371
7 October 1994 (USA),"Peru,USA",387,372
4 January 2014 (USA),USA,388,373
30 July 2006 (USA),USA,389,374
24 April 2015 (USA),USA,390,375
22 March 1996 (USA),USA,391,376
26 January 1990 (Portugal),"Spain,USA",392,377
16 October 2015 (USA),USA,393,378
14 August 1987 (USA),USA,394,379
24 May 1991 (USA),USA,395,380
30 September 1988 (USA),USA,396,381
28 March 1986 (USA),USA,397,382
6 July 1988 (USA),USA,398,383
27 February 1987 (USA),USA,399,384
17 June 1988 (USA),USA,400,385
2 August 1985 (USA),USA,401,386
1 July 1987 (USA),USA,402,387
7 June 1991 (USA),USA,403,388
13 February 1987 (USA),USA,404,389
14 February 2014 (USA),USA,405,390
31 January 2014 (USA),USA,406,391
17 August 2007 (USA),USA,407,392
2 October 2009 (USA),USA,408,393
18 March 2011 (USA),"USA,UK",409,394
13 August 2008 (USA),"USA,UK,Germany",410,395
6 August 2010 (USA),USA,411,396
10 August 2012 (USA),USA,412,397
29 February 2008 (USA),USA,413,398
15 July 1998 (USA),USA,414,399
21 March 1997 (USA),USA,415,400
22 December 1999 (USA),"UK,Germany,Japan,USA",416,401
4 October 2002 (USA),"USA,Germany",417,402
19 October 2001 (USA),USA,418,403
22 May 1998 (USA),USA,419,404
28 October 2011 (USA),USA,420,405
19 July 2013 (USA),USA,421,406
25 January 2013 (USA),"Germany,USA",422,407
18 May 2012 (USA),USA,423,408
29 July 2011 (USA),USA,424,409
22 July 2005 (USA),USA,425,410
"Nov 22, 2006 Wide","USA,UK",426,411
15 February 2002 (USA),USA,427,412
21 September 1975 (USA),USA,428,413
25 December 2009 (USA),"USA,Germany",429,414
25 May 2012 (USA),USA,430,415
1 June 1955 (USA),USA,431,416
15 May 1959 (USA),USA,432,417
June 1954 (USA),USA,433,418
5 October 1929 (USA),USA,434,419
4 August 1932 (USA),USA,435,420
25 October 1991 (USA),USA,436,421
22 September 1995 (USA),"France,USA",437,422
31 October 2011 (USA),USA,438,423
June 1954 (USA),USA,439,418
9 November 1929 (USA),USA,440,424
16 April 1937 (USA),USA,441,425
29 December 1933 (USA),USA,442,426
24 January 2009 (USA),"Spain,France,USA",443,427
10 May 1930 (USA),USA,444,428
19 May 1929 (USA),USA,445,429
19 November 1932 (USA),USA,446,430
27 May 1933 (USA),USA,447,431
28 December 1936 (USA),USA,448,432
4 September 1937 (USA),USA,449,433
26 September 1941 (USA),USA,450,434
25 March 1966 (USA),USA,451,435
31 October 1969 (West Germany),USA,452,436
7 October 1966 (West Germany),USA,453,437
25 May 1967 (USA),USA,454,438
16 May 1968 (USA),USA,455,439
10 April 1998 (USA),USA,456,440
2016 (USA),USA,457,441
1 June 1934 (USA),USA,458,442
7 February 2008 (Germany),USA,459,443
8 July 2009 (France),USA,460,444
18 November 1992 (USA),"USA,Japan",461,445
5 January 1945 (USA),USA,462,446
27 September 1973 (USA),USA,463,447
2 August 1978 (USA),USA,464,448
25 January 2002 (USA),USA,465,290
19 October 2001 (USA),"France,USA",466,449
31 October 1949 (USA),USA,467,450
2 October 1987 (USA),USA,468,451
4 July 2008 (USA),USA,469,452
29 October 2013 (USA),USA,470,453
11 June 2013 (USA),USA,471,454
30 July 2004 (USA),USA,472,455
13 November 1976 (Japan),USA,473,456
1 May 1987 (USA),USA,474,7
October 1986 (USA),USA,475,457
3 March 1990 (Japan),USA,476,458
6 October 2015 (USA),USA,477,270
24 December 2013 (USA),USA,478,459
18 October 2013 (USA),USA,479,250
5 January 2015 (USA),USA,480,460
19 January 2007 (USA),"China,USA,Canada",481,461
March 1988 (West Germany),USA,482,462
21 July 1989 (USA),USA,483,463
13 September 1995 (USA),USA,484,464
3 December 1999 (USA),USA,485,465
24 April 1942 (USA),USA,486,466
July 1966 (UK),USA,487,467
3 February 2012 (USA),USA,488,468
18 June 2015 (USA),"UK,France,USA",489,469
10 July 2015 (USA),USA,490,470
29 July 2015 (USA),USA,491,471
24 July 2015 (USA),USA,492,472
25 September 2015 (USA),USA,493,473
14 August 2015 (USA),USA,494,474
"Aug 28, 2015 Wide",USA,495,475
4 May 1951 (USA),USA,496,476
6 April 2015 (USA),USA,497,477
8 September 2015 (USA),USA,498,478
18 September 2015 (USA),USA,499,42
7 August 2015 (USA),USA,500,479
6 December 1991 (UK),USA,501,480
15 April 2011 (USA),USA,502,481
26 September 1959 (Japan),USA,503,482
11 May 1984 (USA),USA,504,483
27 March 1981 (USA),USA,505,484
12 May 1949 (USA),USA,506,485
19 November 2004 (USA),USA,507,486
6 August 2004 (USA),USA,508,487
2 February 1972 (USA),"UK,USA",509,488
14 May 1982 (USA),USA,510,489
21 October 1983 (USA),USA,511,196
14 September 2015 (USA),USA,512,490
12 February 1982 (USA),USA,513,491
13 May 1978 (USA),USA,514,492
31 October 1974 (USA),USA,515,493
18 October 1980 (USA),USA,516,494
27 June 1973 (USA),USA,517,495
July 1982 (USA),"Philippines,USA",518,496
"May 29, 2005 Wide",USA,519,497
17 April 1959 (Netherlands),USA,520,498
19 February 1932 (USA),USA,521,499
30 January 2009 (USA),"USA,France",522,500
18 January 1991 (UK),"UK,USA,Canada",523,501
11 November 1939 (USA),USA,524,502
31 March 1934 (USA),USA,525,503
13 August 1932 (USA),USA,526,504
28 April 1995 (USA),USA,527,505
18 January 1985 (USA),USA,528,506
11 June 1982 (USA),USA,529,507
31 October 1962 (USA),USA,530,508
24 February 1927 (France),USA,531,509
29 October 2004 (USA),"USA,Australia",532,510
8 April 2008 (USA),USA,533,511
5 May 2000 (USA),"USA,UK",534,512
2 February 2007 (Mexico),USA,535,513
15 April 2011 (USA),USA,536,481
"Aug 15, 2003 Limited","USA,Germany,Canada",537,514
8 February 2002 (USA),USA,538,515
2 July 2003 (USA),USA,539,516
8 June 2012 (USA),USA,540,517
30 August 1952 (USA),USA,541,518
30 October 1961 (USA),USA,542,519
27 November 1968 (USA),USA,543,520
3 January 2003 (USA),USA,544,521
12 May 2006 (USA),USA,545,522
1 October 1993 (USA),USA,546,523
31 January 1992 (USA),"USA,UK",547,524
2 August 1991 (USA),USA,548,525
6 October 2015 (USA),USA,549,270
30 October 1981 (USA),USA,550,526
10 April 1968 (USA),USA,551,527
15 March 1965 (Denmark),USA,552,528
28 October 1972 (Japan),USA,553,529
December 1961 (USA),USA,554,530
31 January 1953 (USA),USA,555,531
14 July 1999 (USA),USA,556,532
11 December 1992 (USA),USA,557,533
16 February 1996 (USA),USA,558,534
13 July 1984 (USA),USA,559,535
22 June 1979 (USA),"UK,USA",560,536
8 September 1980 (Denmark),USA,561,537
25 October 2008 (Japan),"UK,USA",562,538
30 September 1988 (USA),USA,563,381
5 April 1991 (USA),USA,564,539
,USA,565,47
17 July 1981 (USA),USA,566,540
22 April 1983 (USA),"Canada,USA",567,541
25 November 1992 (USA),USA,568,542
12 February 1999 (USA),USA,569,543
"Feb 10, 2012 Wide","USA,France,Australia,UK,Germany,Canada",570,544
17 March 2006 (USA),"USA,Canada",571,545
6 February 2009 (USA),"USA,Germany,Netherlands",572,546
27 May 2016 (USA),USA,573,547
21 November 1990 (USA),USA,574,548
14 September 2007 (USA),"USA,Australia",575,549
May 1987 (USA),USA,576,550
20 September 1996 (USA),USA,577,551
9 April 2004 (USA),USA,578,552
6 November 1998 (USA),USA,579,553
"Feb 18, 2000 Wide",USA,580,554
17 September 1993 (USA),USA,581,555
13 December 1991 (USA),USA,582,556
18 November 2005 (USA),USA,583,557
16 October 2009 (USA),USA,584,558
18 December 1966 (USA),"UK,Italy,USA",585,559
10 November 2006 (USA),USA,586,560
16 September 2011 (USA),USA,587,561
April 1970 (USA),USA,588,562
15 February 1974 (USA),USA,589,563
20 March 1981 (USA),"USA,West Germany",590,564
21 October 1971 (Argentina),USA,591,565
29 April 1983 (USA),USA,592,566
6 October 1978 (USA),USA,593,567
3 July 2013 (USA),USA,594,568
10 February 2012 (USA),"USA,South Africa,Japan",595,569
5 December 1973 (USA),"USA,Italy",596,570
2 October 1992 (USA),USA,597,571
2 March 2007 (USA),USA,598,572
1 April 2011 (USA),"USA,Canada",599,573
2 July 1997 (USA),USA,600,574
3 March 1959 (USA),"UK,USA",601,575
7 November 1954 (USA),USA,602,576
26 November 1958 (USA),USA,603,577
May 1953 (USA),USA,604,578
17 May 1952 (USA),USA,605,579
5 May 1946 (USA),USA,606,580
17 September 1932 (USA),USA,607,581
12 September 1970 (USA),USA,608,582
18 May 1935 (USA),USA,609,583
20 December 1936 (USA),USA,610,584
25 December 1964 (Finland),USA,611,585
23 March 2007 (USA),USA,612,586
16 October 1975 (Argentina),USA,613,587
28 May 1971 (France),USA,614,588
,USA,615,47
11 September 1987 (USA),"USA,Italy",616,589
1 October 1971 (USA),USA,617,590
20 November 1968 (USA),USA,618,591
15 March 2013 (USA),USA,619,592
25 September 2015 (USA),USA,620,473
6 July 1994 (USA),USA,621,593
28 August 1948 (USA),USA,622,594
September 1955 (USA),USA,623,595
4 April 2003 (USA),"USA,Germany",624,596
17 September 1992 (USA),USA,625,597
13 October 1995 (USA),USA,626,598
3 August 2001 (USA),"France,USA",627,599
"Jul 16, 2004 Wide","USA,Germany",628,600
30 May 2003 (USA),USA,629,601
2 September 2005 (USA),USA,630,602
4 May 2001 (USA),USA,631,603
2 November 2007 (USA),USA,632,604
January 2004 (USA),USA,633,318
29 March 2002 (USA),"UK,Germany,USA",634,605
9 January 1956 (Brazil),USA,635,606
15 November 1996 (USA),USA,636,607
1 October 1955 (USA),USA,637,169
1 June 2007 (USA),USA,638,608
11 November 2011 (UK),USA,639,609
31 July 1956 (USA),USA,640,610
June 1957 (USA),USA,641,611
27 June 1957 (USA),USA,642,612
30 April 1948 (USA),USA,643,613
5 August 1998 (USA),USA,644,614
30 May 1995 (USA),USA,645,615
13 January 2006 (USA),USA,646,616
23 June 1989 (USA),USA,647,617
17 July 1992 (USA),USA,648,618
15 November 1996 (USA),USA,649,607
5 October 1956 (USA),USA,650,619
29 July 1994 (UK),"France,USA",651,620
26 March 1993 (Brazil),"USA,Canada",652,621
22 September 1995 (USA),USA,653,622
14 October 2010 (USA),USA,654,623
16 September 2002 (USA),USA,655,624
28 September 2007 (USA),USA,656,625
24 August 2011 (Iceland),USA,657,626
17 November 1989 (USA),USA,658,627
26 January 1990 (USA),USA,659,628
21 February 1997 (USA),"USA,UK",660,629
25 December 2009 (USA),"USA,Japan",661,630
2 August 1989 (USA),USA,662,631
17 September 1948 (USA),USA,663,632
April 2010 (USA),USA,664,633
8 October 2010 (USA),USA,665,634
28 March 1984 (France),USA,666,635
26 May 2000 (USA),"USA,Hong Kong",667,636
10 April 1970 (USA),USA,668,637
11 November 1994 (USA),USA,669,638
17 March 2000 (USA),USA,670,639
25 January 2013 (USA),USA,671,640
14 March 1969 (USA),USA,672,641
10 November 1957 (USA),USA,673,642
December 1956 (USA),USA,674,643
9 January 2015 (USA),USA,675,644
1 August 1956 (USA),USA,676,645
6 May 1949 (USA),USA,677,646
27 May 1977 (USA),USA,678,647
12 October 2004 (USA),"USA,Japan,UK",679,648
19 January 2003 (USA),USA,680,649
2 September 2011 (USA),USA,681,650
18 February 1983 (USA),"USA,Portugal,West Germany,France,Spain,Netherlands,UK",682,651
8 June 1949 (USA),USA,683,652
6 December 1996 (USA),USA,684,653
1957 (UK),USA,685,654
20 January 2012 (USA),USA,686,655
11 October 2012 (USA),USA,687,656
19 July 2013 (USA),USA,688,406
"Jan 1, 1988 Wide",USA,689,657
21 September 2014 (USA),USA,690,658
10 September 2004 (USA),"USA,Germany",691,659
23 September 2012 (USA),USA,692,660
24 November 2004 (USA),"Germany,USA,Netherlands,France,UK,Italy",693,661
7 July 2004 (USA),"USA,UK,Ireland",694,662
2 November 2003 (USA),USA,695,663
25 January 2002 (UK),"UK,Netherlands,USA",696,664
10 September 1993 (USA),"USA,France",697,665
11 June 1993 (USA),USA,698,666
24 May 1989 (USA),USA,699,667
"Jan 9, 2004 Wide","USA,UK",700,668
2 April 2004 (USA),"USA,Czech Republic",701,669
23 May 2014 (USA),"USA,UK",702,670
2 November 2014 (UK),"USA,Spain,Italy,Canada",703,671
28 April 1993 (USA),USA,704,672
14 May 1994 (South Korea),USA,705,673
1989 (Spain),"Italy,USA",706,674
5 November 2013 (USA),USA,707,675
7 June 2013 (USA),USA,708,676
2 November 1991 (Japan),USA,709,677
17 June 1988 (USA),"USA,West Germany,UK",710,678
26 August 1938 (USA),USA,711,679
31 August 2007 (USA),USA,712,680
30 September 1992 (USA),"Israel,USA",713,681
24 March 1989 (Japan),USA,714,682
7 May 1993 (USA),USA,715,683
10 March 2014 (UK),USA,716,684
21 June 2013 (USA),"UK,USA",717,685
30 January 2014 (Kuwait),USA,718,686
17 October 2013 (USA),USA,719,687
20 February 2015 (USA),"USA,Canada,Japan,Panama",720,688
4 October 2014 (USA),USA,721,689
15 October 2007 (USA),"USA,UK",722,690
October 1998 (USA),USA,723,691
2 May 2013 (Israel),USA,724,692
