HospitalType,HospitalOwner,original_index,unique_index,count
acute care hospitals,government - federal,248,11,50
acute care hospitals,government - federal,249,11,50
acute care hospitals,government - federal,250,11,50
acute care hospitals,government - federal,251,11,50
acute care hospitals,government - federal,252,11,50
acute care hospitals,government - federal,253,11,50
acute care hospitals,government - federal,254,11,50
acute care hospitals,government - federal,255,11,50
acute care hospitals,government - federal,256,11,50
acute care hospitals,government - federal,257,11,50
acute care hospitals,government - federal,258,11,50
acute care hospitals,government - federal,259,11,50
acute care hospitals,government - federal,260,11,50
acute care hospitals,government - federal,261,11,50
acute care hospitals,government - federal,262,11,50
acute care hospitals,government - federal,263,11,50
acute care hospitals,government - federal,264,11,50
acute care hospitals,government - federal,265,11,50
acuxe care hospixals,government - federal,266,22,1
acute care hospitals,government - federal,267,11,50
acute care hospitals,government - federal,268,11,50
acute care hospitals,voluntary non-profit - church,269,18,69
acute care hospitals,voluntary non-profit - church,270,18,69
acute care hospitals,voluntary non-profit - church,271,18,69
acute care hospitals,voluntary non-profit - church,272,18,69
acute care hospitals,voluntary non-profit - church,273,18,69
acute care hospitals,voluntary non-profit - church,274,18,69
acute care hospitals,voluntary non-profit - church,275,18,69
acute care hospitals,voluntary non-profit - church,276,18,69
acute care hospitals,voluntary non-profit - church,277,18,69
acute care hospitals,voluntary non-profit - church,278,18,69
acute care hospitals,voluntary non-profit - church,279,18,69
acutexcarexhospitals,voluntary non-profit - church,280,23,1
acute care hospitals,voluntary non-profit - church,281,18,69
acute care hospitals,voluntary non-profit - church,282,18,69
acute care hospitals,voluntary non-profit - church,283,18,69
acute care hospitals,voluntary non-profit - church,284,18,69
acute care hospitals,voluntary non-profit - church,285,18,69
acute care hospitals,voluntary non-profit - church,286,18,69
acute care hospitals,voluntary non-profit - church,287,18,69
acute care hospitals,voluntary non-profit - church,288,18,69
acute care hospitals,voluntary non-profit - church,289,18,69
acute care hospitals,voluntary non-profit - church,290,18,69
acute care hospitals,voluntary non-profit - church,291,18,69
acute care hospitals,voluntary non-profit - church,292,18,69
acuxe care hospixals,voluntary non-profit - church,293,24,1
acute care hospitals,voluntary non-profit - private,294,0,248
acute care hospitals,voluntary non-profit - private,295,0,248
acute care hospitals,voluntary non-profit - private,296,0,248
acute care hospitals,voluntary non-profit - private,297,0,248
acute care hospitals,voluntary non-profit - private,298,0,248
acute care hospitals,voluntary non-profit - private,299,0,248
acute care hospitals,voluntary non-profit - private,300,0,248
acute care hospitals,voluntary non-profit - private,301,0,248
acute care hospitals,voluntary non-profit - private,302,0,248
acute care hospitals,voluntary non-profit - private,303,0,248
acute care hospitals,voluntary non-profit - private,304,0,248
acute care hospitals,voluntary non-profit - private,305,0,248
acute care hospitals,voluntary non-profit - private,306,0,248
acute care hospitals,voluntary non-profit - private,307,0,248
acute care hospitals,voluntary non-profit - private,308,0,248
acute care hospitals,voluntary non-profit - private,309,0,248
acute care hospitals,voluntary non-profit - private,310,0,248
acute care hospitals,proprietary,311,12,202
acute care hospitals,proprietary,312,12,202
acute care hospitals,prxprietary,313,25,3
acute care hospitals,proprietary,314,12,202
acute care hospitals,proprietary,315,12,202
acute care hospitals,proprietary,316,12,202
acute care hospitals,proprietary,317,12,202
acute care hospitals,proprietary,318,12,202
acute care hospitals,proprietary,319,12,202
acute care hospitals,proprietary,320,12,202
acute care hospitals,proprietary,321,12,202
acute care hospitals,proprietary,322,12,202
acute care hospitals,proprietary,323,12,202
acute care hospitals,proprietary,324,12,202
acute care hospitals,proprietary,325,12,202
acute care hospitals,proprietary,326,12,202
acute care hospitals,proprietary,327,12,202
acute care hospitals,proprietary,328,12,202
acute care hospitals,proprietary,329,12,202
acute care hospitals,proprietary,330,12,202
acute care hospitals,proprietary,331,12,202
acute care hospitals,proxrietary,332,14,3
acute care hospitals,proprietary,333,12,202
acute care hospitals,proprietary,334,12,202
acute care hospitals,proprietary,335,12,202
acute care hospitals,proprietary,336,12,202
acute care hospitals,proprietary,337,12,202
acute care hospitals,proprietary,338,12,202
acute care hospitals,proprietary,339,12,202
acute care hospitals,proprietary,340,12,202
acute care hospitals,proprietary,341,12,202
acute care hospitals,proprietary,342,12,202
acute care hospitals,proprietary,343,12,202
acute care hospitals,proprietary,344,12,202
acute care hospitals,proprietary,345,12,202
acute care hospitals,proprietary,346,12,202
acute care hospitals,proprietary,347,12,202
acute care hospitals,voluntary non-profit - other,348,8,120
acute care hospitals,voluntary non-profit - other,349,8,120
acute care hospitals,voluntary non-profit - other,350,8,120
acute care hospitals,voluntary non-profit - other,351,8,120
acute care hospitals,voluntary non-profit - other,352,8,120
acute care hospitals,government - hospital district or authority,353,1,190
acute care hospitals,proprietary,354,12,202
acute care hospitals,proprietary,355,12,202
acute care hospitals,prxprietary,356,25,3
acute care hospitals,proprietary,357,12,202
acute care hospitals,proprietary,358,12,202
acute care hospitals,proprietary,359,12,202
acute care hospitals,proprietary,360,12,202
acute care hospitals,proprietary,361,12,202
acute care hospitals,proprietary,362,12,202
acute care hospitals,proprietary,363,12,202
acute care hospitals,proprietary,364,12,202
acute care hospitals,proprietary,365,12,202
acute care hospitals,proprietary,366,12,202
acute care hospitals,proprietary,367,12,202
acute care hospitals,proprietary,368,12,202
acute care hospitals,proprietary,369,12,202
acute care hospitals,proprietary,370,12,202
acute care hospitals,proprietary,371,12,202
acute care hospitals,proprietary,372,12,202
acute care hospitals,proprietary,373,12,202
acute care hospitals,proprietary,374,12,202
acute care hospitals,proprietary,375,12,202
acute care hospitals,proprietary,376,12,202
acute care hospitals,proprietary,377,12,202
acute care hospitals,proprietary,378,12,202
acute care hospitals,government - state,379,26,38
acute care hospitals,government - state,380,26,38
acute care hospitals,government - state,381,26,38
acute care hospitals,government - state,382,26,38
acute care hospitals,government - state,383,26,38
acute care hospitals,government - state,384,26,38
acute care hospitals,government - state,385,26,38
acute care hospitals,government - state,386,26,38
acute care hospitals,government - state,387,26,38
acute care hospitals,government - state,388,26,38
acute care hospitals,government - state,389,26,38
acute care hospitals,government - state,390,26,38
acute care hospitals,government - state,391,26,38
acute care hospitals,voluntary non-profit - private,392,0,248
acute care hospitals,voluntary non-profit - private,393,0,248
acute care hospitals,voluntary non-profit - private,394,0,248
acute care hospitals,voluntary non-profit - private,395,0,248
acute care hospitals,voluntary non-profit - private,396,0,248
acute care hospitals,voluntary non-profit - private,397,0,248
acute care hospitals,voluntary non-profit - private,398,0,248
acute care hospitals,voluntary non-profit - private,399,0,248
acute care hospitals,voluntary non-profit - private,400,0,248
acute care hospitals,voluntary non-profit - private,401,0,248
acute care hospitals,voluntary non-profit - private,402,0,248
acute care hospitals,voluntary non-profit - private,403,0,248
acute care hospitals,voluntary non-profit - private,404,0,248
acute care hospitals,voluntary non-profit - private,405,0,248
acute care hospitals,voluntary non-profit - private,406,0,248
acute care hospitals,voluntary non-profit - private,407,0,248
acute care hospitals,voluntary non-profit - private,408,0,248
acute care hospitals,voluntary non-profit - private,409,0,248
acute care hospitals,voluntary non-profit - private,410,0,248
acute care hosxitals,voluntary non-profit - private,411,9,4
acute care hospitals,proprietary,412,12,202
acuxe care hospixals,proprietary,413,27,2
acute care hospitals,voluntary non-profit - other,414,8,120
acute care hospitals,voluntary non-profit - other,415,8,120
acute care hospitals,voluntary non-profit - other,416,8,120
acute care hospitals,voluntary non-profit - other,417,8,120
acute care hospitals,voluntary non-profit - other,418,8,120
acute care hospitals,voluntary non-profit - other,419,8,120
acute care hospitals,voluntary non-profit - other,420,8,120
acute care hospitals,voluntary non-profit - other,421,8,120
acute care hospitals,voluntary non-profit - other,422,8,120
acute care hospitals,voluntary non-profit - other,423,8,120
acute care hospitals,voluntary non-profit - other,424,8,120
acute care hospitals,voluntary non-profit - other,425,8,120
acute care hospitals,voluntary non-profit - other,426,8,120
acute care hospitals,voluntary non-profit - other,427,8,120
acute care hospitals,voluntary non-profit - other,428,8,120
acute care hospitals,voluntary non-profit - other,429,8,120
acute care hospitals,voluntary non-profit - other,430,8,120
acute care hospitals,voluntary non-profit - other,431,8,120
acute care hospitals,proprietary,432,12,202
acute care hospitals,proprietary,433,12,202
acute care hospitals,proprietary,434,12,202
acute care hospitals,proprietary,435,12,202
acute care hospitals,proprietary,436,12,202
acute care hospitals,proprietary,437,12,202
acute care hospitals,proprietary,438,12,202
acute care hospitals,proprietary,439,12,202
acute care hospitals,proprietary,440,12,202
acute care hospitals,proprietary,441,12,202
acute care hospitals,proprietary,442,12,202
acute care hospitals,proprietary,443,12,202
acute care hospitals,proprietary,444,12,202
acute care hospitals,proprietary,445,12,202
acute care hospitals,proprietary,446,12,202
acute care hospitals,proprietary,447,12,202
acute care hospitals,proprietary,448,12,202
acute care hospitals,proxrietary,449,14,3
acute care hospitals,government - federal,450,11,50
acute care hospitals,government - federal,451,11,50
acute care hospitals,government - hospital district or authority,452,1,190
acute care hospitaxs,government - hospital district or authority,453,28,2
acute care hospitals,government - hospital district or authority,454,1,190
acute care hospitals,government - hospital district or authority,455,1,190
acute care hospitals,gxvernment - hxspital district xr authxrity,456,7,2
acute care hospitals,government - hospital district or authority,457,1,190
acute care hospitals,government - hospital district or authority,458,1,190
acute care hospitals,government - hospital district or authority,459,1,190
acute care hospitals,government - hospital district or authority,460,1,190
acute care hospitals,government - hospital district or authority,461,1,190
acute care hospitals,government - hospital district or authority,462,1,190
acute care hospitals,government - hospital district or authority,463,1,190
acute care hospitals,government - hospital district or authority,464,1,190
acute care hospitals,government - hospital district or authority,465,1,190
acute care hospitals,government - hospital district or authority,466,1,190
acute care hospitals,government - hospital district or authority,467,1,190
acute care hospitals,government - hospital district or authority,468,1,190
acute care hospitals,government - hospital district or authority,469,1,190
acute care hospitals,government - hospital district or authority,470,1,190
acute care hospitals,government - hospital district or authority,471,1,190
acute care hospitals,government - hospital district or authority,472,1,190
acute care hospitals,government - hospital district or authority,473,1,190
acute care hospitals,government - hospital district or authority,474,1,190
acute care hospitals,government - hospital district or authority,475,1,190
acute care hospitals,government - hospital district or authority,476,1,190
acute care hospitals,government - hospital district or authority,477,1,190
acute care hospitals,government - hospital district or authority,478,1,190
acute care hospitals,government - hospital district or authority,479,1,190
acute care hospitals,government - hospital district or authority,480,1,190
acute care hospitals,government - hospital district or authority,481,1,190
acute care hospitals,government - hospital district or authority,482,1,190
acute care hospitals,government - hospital district or authority,483,1,190
acute care hospitals,government - hospital district or authority,484,1,190
acute care hospitals,government - hospital district or authority,485,1,190
acute care hospitals,government - hospital district or authority,486,1,190
acute care hospitals,government - hospital district or authority,487,1,190
acute care hospitals,government - hospital district or authority,488,1,190
acute care hospitals,government - hospital district or authority,489,1,190
acute caxe hospitals,government - hospital district or authority,490,29,1
acute care hospitals,voluntary non-profit - private,491,0,248
acute care hospitals,voluntary non-profit - private,492,0,248
acute care hxspitals,voluntaryxnon-profitx-xprivate,493,30,1
acute care hospitals,voluntary non-profit - private,494,0,248
acute care hospitals,voluntary non-profit - private,495,0,248
acute care hospitals,voluntary non-profit - private,496,0,248
acutx carx hospitals,voluntary non-profit - private,497,16,2
acute care hospitals,voluntary non-profit - private,498,0,248
acute care hospitals,voluntary non-profit - private,499,0,248
acute care hospitals,voluntary non-profit - private,500,0,248
acute care hospitals,voluntary non-profit - private,501,0,248
acute care hospitals,voluntary non-profit - private,502,0,248
acute care hospitals,voluntary non-profit - private,503,0,248
acute care hospitals,voluntary non-profit - private,504,0,248
acute care hospitals,voluntary non-profit - private,505,0,248
acute care hospitals,voluntary non-profit - private,506,0,248
acute care hospitals,voluntary non-profit - private,507,0,248
acute care hospitals,voluntary non-profit - private,508,0,248
acute care hospitals,voluntary non-profit - private,509,0,248
acute care hospitals,voluntary non-profit - private,510,0,248
acuxe care hospixals,voluntary non-profit - private,511,31,1
acute care hospitals,voluntary non-profit - private,512,0,248
acute care hospitals,voluntary non-profit - private,513,0,248
acute care hospitals,voluntary non-profit - private,514,0,248
acute care hospitals,voluntary non-profit - private,515,0,248
acute care hospitals,voluntary non-profit - church,516,18,69
acute care hospitals,voluntary non-profit - church,517,18,69
acute care hospitals,voluntary non-profit - church,518,18,69
acute care hospitals,voluntary non-profit - church,519,18,69
acute care hospitals,voluntary non-profit - church,520,18,69
acute care hospitals,voluntary non-profit - church,521,18,69
acute care hospitals,voluntary non-profit - church,522,18,69
acute care hospitals,voluntary non-profit - church,523,18,69
acute care hospitals,voluntary non-profit - church,524,18,69
acute care hospitals,voluntary non-profit - church,525,18,69
acute care hospitals,volxntary non-profit - chxrch,526,32,1
acute care hospitals,voluntary non-profit - church,527,18,69
acute care hospitals,voluntary non-profit - church,528,18,69
acute care hospitals,voluntary non-profit - church,529,18,69
acute care hospitals,voluntary non-profit - church,530,18,69
acute care hospitals,voluntary non-profit - church,531,18,69
acute care hosxitals,voluntary non-profit - church,532,33,1
acute care hospitals,voluntary non-profit - church,533,18,69
acute care hospitals,voluntary non-profit - church,534,18,69
acute care hospitals,voluntary non-profit - church,535,18,69
acute care hospitals,voluntary non-profit - church,536,18,69
acute care hospitals,voluntary non-profit - church,537,18,69
acute care hospitals,voluntary non-profit - church,538,18,69
acute care hospitals,voluntary non-profit - church,539,18,69
acute care hospitals,voluntary non-profit - church,540,18,69
acute care hospitals,voluntary non-profit - private,541,0,248
acute care hospitals,voluntary non-profit - private,542,0,248
acute care hospitals,voluntary non-profit - private,543,0,248
acute care hospitals,voluntary non-profit - private,544,0,248
acute care hospitals,voluntary non-profit - private,545,0,248
acute care hospitals,voluntary non-profit - private,546,0,248
acute care hospitals,voluntary non-profit - private,547,0,248
acute care hospitals,voluntary non-profit - private,548,0,248
acute care hospitals,voluntary non-profit - private,549,0,248
acute care hospitals,voluntary non-profit - private,550,0,248
acute care hospitals,voluntary non-profit - private,551,0,248
acute care hospitals,voluntary non-profit - private,552,0,248
acute care hospitals,voluntary non-profit - private,553,0,248
acute care hospitals,voluntary non-profit - private,554,0,248
acute care hospitals,voluntary non-profit - private,555,0,248
acute care hospitals,voluntary non-profit - private,556,0,248
acute care hospitals,voluntary non-profit - private,557,0,248
acute care hospitals,voluntary non-profit - private,558,0,248
acute care hospitals,voluntary non-profit - private,559,0,248
acute care hospitals,voluntary non-profit - private,560,0,248
acute care hospitals,voluntary non-profit - private,561,0,248
acute care hospitals,voluntary non-profit - private,562,0,248
acute care hospitals,voluntary non-profit - private,563,0,248
acute care hospitals,voluntary non-profit - private,564,0,248
acute care hospitals,voluntary non-profit - private,565,0,248
acute care hospitals,voluntary non-profit - other,566,8,120
acute care hospitals,voluntary non-profit - other,567,8,120
acute care hospitals,voluntary non-profit - other,568,8,120
acute care hospitals,voluntary non-profit - other,569,8,120
acute care hospitals,voluntary non-profit - other,570,8,120
acute care hospitals,voluntary non-profit - other,571,8,120
acute care hospitals,voluntary non-profit - otxer,572,34,1
acute care hospitals,voluntary non-profit - other,573,8,120
acute care hospitals,voluntary non-profit - other,574,8,120
acute care hospitals,voluntary non-profit - other,575,8,120
acute care hospitals,voluntary non-profit - other,576,8,120
acute care hospitals,voluntary non-profit - other,577,8,120
acute care hospitals,voluntary non-profit - other,578,8,120
acute care hospitals,voluntary non-profit - other,579,8,120
acute care hospitals,voluntary non-profit - other,580,8,120
acute care hospitals,voluntary non-profit - other,581,8,120
acute care hospitals,voluntary non-profit - other,582,8,120
acute care hospitals,voluntary non-profit - other,583,8,120
acute care hospitals,voluntary non-profit - other,584,8,120
acute care hospitals,voluntary non-profit - other,585,8,120
acute care hospitals,voluntary non-profit - other,586,8,120
acute care hospitals,voluntary non-profit - other,587,8,120
acuxe care hospixals,voluntary non-profit - other,588,35,1
acute care hospitals,voluntary non-profit - other,589,8,120
acute care hospitals,voluntary non-profit - other,590,8,120
acute care hospitals,voluntary non-profit - other,591,8,120
acute care hospitals,voluntary non-profit - other,592,8,120
acute care hospitals,voluntary non-profit - other,593,8,120
acute care hospitals,voluntary non-profit - other,594,8,120
acute care hospitals,voluntary non-profit - other,595,8,120
acute care hospitals,voluntary non-profit - other,596,8,120
acute care hospitals,voluntary non-profit - other,597,8,120
acute care hospitals,voluntary non-profit - other,598,8,120
acute care hospitals,voluntary non-profit - other,599,8,120
