flight,sched_arr_time,original_index,unique_index,count
UA-3373-IAD-PHL,,118,117,
AA-649-ORD-SNA,,119,118,
CO-1250-MIA-IAH,4:48 p.m.,120,119,12.0
UA-6273-YYC-SFO,,121,120,
UA-828-SFO-ORD,12/2/11 5:11 a.m.,122,121,4.0
CO-4888-IAH-DAL,,123,122,
UA-858-PVG-SFO,,124,123,
UA-2704-DTW-PHX,,125,124,
AA-3063-SLC-LAX,,126,125,
UA-2708-EWR-CLT,,127,126,
UA-62-IAH-EWR,7:03 p.m.,128,127,11.0
UA-1500-IAH-GUA,11:45 a.m.,129,128,5.0
AA-3804-PHL-ORD,,130,129,
AA-1917-JFK-MCO,,131,130,
AA-2268-PHX-ORD,,132,131,
AA-4277-CVG-JFK,,133,132,
AA-2957-DFW-CVG,,134,133,
UA-37-EDI-EWR,11:53 a.m.,135,134,9.0
AA-789-ORD-DEN,,136,135,
AA-415-BOS-ORD,,137,136,
AA-85-JFK-SFO,,138,137,
AA-3979-CVG-ORD,,139,138,
AA-3786-IAH-ORD,,140,139,
AA-271-MIA-LAX,,141,140,
CO-50-CLE-EWR,4:49 p.m.,142,141,11.0
UA-3099-PHX-PHL,,143,142,
AA-4198-ORD-CLE,,144,143,
AA-404-MIA-MCO,,145,144,
CO-45-EWR-MIA,7:05 p.m.,146,145,20.0
AA-3809-PHX-LAX,,147,146,
AA-59-JFK-SFO,,148,147,
AA-222-LAX-BOS,,149,148,
AA-3859-IAH-ORD,9:40 a.m.,150,0,18.0
CO-1586-IAH-MCO,,151,149,
AA-518-MIA-JFK,9:25 a.m.,152,3,16.0
UA-397-JFK-SFO,11:55 a.m.,153,150,15.0
UA-3925-IAD-ORF,,154,54,
AA-1733-ORD-PHX,10:30 p.m.,155,1,19.0
AA-3-JFK-LAX,3:15 p.m.,156,24,18.0
UA-2830-MCO-CLT,5:05 p.m.,157,151,17.0
CO-58-DEN-IAH,,158,152,
UA-5487-SFO-MRY,,159,59,
AA-204-LAX-MCO,6:55 a.m. Dec 02,160,153,6.0
UA-414-LAX-SFO,,161,61,
CO-1614-LAX-IAH,,162,154,
UA-2726-FLL-PHL,6:46 p.m.,163,155,17.0
CO-52-IAH-LAX,,164,156,
CO-1090-BOS-IAH,,165,157,
AA-616-DFW-DTW,12:35 p.m.,166,15,19.0
UA-3515-IAD-MSP,,167,67,
AA-3468-CVG-MIA,9:55 a.m.,168,6,18.0
AA-484-DFW-MIA,7:55 p.m.,169,7,17.0
AA-1886-BOS-MIA,,170,70,
CO-62-IAH-EWR,,171,158,
CO-1561-PHX-IAH,,172,159,
UA-2314-ATL-PHL,,173,73,
AA-446-DFW-PHL,3:50 p.m.,174,8,18.0
CO-1023-IAH-DEN,,175,160,
AA-466-IAH-MIA,9:20 a.m.,176,9,17.0
UA-3050-PHX-CLT,4:57 p.m.,177,161,18.0
CO-89-IAH-EWR,,178,162,
CO-1088-CLE-IAH,,179,163,
AA-1664-MIA-ATL,12:10 p.m.,180,12,19.0
AA-1279-DFW-PHX,2:35 p.m.,181,14,17.0
UA-854-SFO-IAH,,182,82,
UA-382-IAD-LAX,,183,83,
AA-4344-ORD-DTW,,184,84,
UA-257-JFK-SFO,6:15 p.m.,185,164,18.0
UA-2945-PHL-CLT,1:45 p.m.,186,165,18.0
CO-63-EWR-IAH,,187,166,
CO-47-IAH-LAX,,188,167,
AA-2050-ORD-MIA,2:45 p.m.,189,20,20.0
UA-248-PHX-ORD,4:52 p.m.,190,168,3.0
AA-4330-CVG-ORD,,191,169,
AA-1434-DFW-MCO,10:35 a.m.,192,22,16.0
AA-1640-MIA-MCO,7:25 p.m.,193,2,20.0
AA-4307-ORD-DTW,9:10 p.m.,194,23,19.0
CO-1694-LAX-IAH,12:21 a.m. Dec 02,195,170,7.0
UA-843-LAX-ORD,,196,96,
CO-1193-EWR-MCO,12:18 p.m.,197,97,22.0
AA-3842-MSP-ORD,7:30 a.m.,198,25,17.0
AA-643-MIA-ORD,9:35 a.m.,199,26,16.0
AA-1007-MIA-PHX,,200,100,
UA-2906-PHL-MCO,6:23 p.m.,201,171,18.0
UA-938-DEN-ORD,,202,103,
AA-1221-MCO-ORD,9:45 p.m.,203,28,19.0
CO-16-LAX-EWR,,204,172,
UA-2515-DFW-CLT,,205,106,
AA-400-DFW-JFK,2:59 p.m.,206,29,14.0
UA-664-ORD-PHL,4:31 p.m.,207,173,20.0
AA-3756-ORD-SLC,2:45 p.m.,208,4,19.0
UA-37-EWR-MCO,,209,174,
AA-1522-SFO-ORD,5:50 a.m.Dec 02,210,175,1.0
UA-233-LAX-JFK,12:29 a.m. Dec 02,211,176,7.0
AA-3823-LAX-DEN,12:15 a.m. Dec 02,212,177,6.0
AA-2312-DFW-DTW,11:50 p.m.,213,33,19.0
AA-1165-JFK-MIA,10:34 a.m.,214,34,15.0
AA-431-MIA-SFO,11:50 a.m.,215,35,18.0
UA-3373-IAD-PHL,,216,117,
AA-649-ORD-SNA,3:50 p.m.,217,36,16.0
CO-1250-MIA-IAH,,218,178,
UA-6273-YYC-SFO,,219,120,
UA-828-SFO-ORD,5:11 a.m.Dec 02,220,179,7.0
CO-4888-IAH-DAL,6:09 p.m.,221,180,3.0
UA-858-PVG-SFO,,222,123,
UA-2704-DTW-PHX,,223,124,
AA-3063-SLC-LAX,,224,125,
UA-2708-EWR-CLT,,225,126,
UA-62-IAH-EWR,,226,181,
UA-1500-IAH-GUA,,227,182,
AA-3804-PHL-ORD,4:05 p.m.,228,38,19.0
AA-1917-JFK-MCO,5:55 p.m.,229,39,18.0
AA-2268-PHX-ORD,11:35 a.m.,230,40,18.0
AA-4277-CVG-JFK,2:15 p.m.,231,41,19.0
AA-2957-DFW-CVG,11:05 a.m.,232,11,17.0
UA-37-EDI-EWR,,233,183,
AA-789-ORD-DEN,2:35 p.m.,234,42,20.0
AA-415-BOS-ORD,,235,136,
AA-85-JFK-SFO,6:30 p.m.,236,44,19.0
AA-3979-CVG-ORD,8:00 a.m.,237,13,17.0
AA-1544-SAN-ORD,,238,58,
AA-3786-IAH-ORD,6:40 p.m.,239,46,20.0
AA-271-MIA-LAX,2:25 p.m.,240,19,18.0
AA-2525-DFW-MIA,11:10 a.m.,241,17,15.0
CO-50-CLE-EWR,,242,184,
UA-3099-PHX-PHL,6:17 p.m.,243,185,17.0
AA-4198-ORD-CLE,12:55 p.m.,244,30,18.0
AA-404-MIA-MCO,7:45 a.m.,245,18,17.0
CO-45-EWR-MIA,7:05 p.m.,246,145,20.0
AA-3809-PHX-LAX,6:40 a.m.,247,48,18.0
AA-59-JFK-SFO,10:45 a.m.,248,49,19.0
AA-222-LAX-BOS,3:30 p.m.,249,47,17.0
AA-3859-IAH-ORD,9:40 a.m.,250,0,18.0
AA-518-MIA-JFK,9:25 a.m.,251,3,16.0
UA-397-JFK-SFO,11:55 a.m.,252,150,15.0
UA-3925-IAD-ORF,9:54 a.m.,253,186,7.0
AA-1733-ORD-PHX,10:30 p.m.,254,1,19.0
AA-1640-MIA-MCO,7:25 p.m.,255,2,20.0
UA-2830-MCO-CLT,5:05 p.m.,256,151,17.0
CO-58-DEN-IAH,2:50 p.m.,257,57,10.0
AA-1544-SAN-ORD,5:25 p.m.,258,45,7.0
UA-5487-SFO-MRY,11:19 a.m.,259,187,2.0
AA-204-LAX-MCO,6:55 a.m.,260,188,4.0
UA-414-LAX-SFO,7:23 a.m.,261,189,6.0
AA-3756-ORD-SLC,2:45 p.m.,262,4,19.0
UA-2726-FLL-PHL,6:46 p.m.,263,155,17.0
CO-1090-BOS-IAH,1:16 p.m.,264,65,12.0
AA-3468-CVG-MIA,9:55 a.m.,265,6,18.0
UA-3515-IAD-MSP,10:06 a.m.,266,190,4.0
AA-484-DFW-MIA,7:55 p.m.,267,7,17.0
CO-62-IAH-EWR,7:03 p.m.,268,71,12.0
AA-446-DFW-PHL,3:50 p.m.,269,8,18.0
AA-466-IAH-MIA,9:20 a.m.,270,9,17.0
UA-3050-PHX-CLT,4:57 p.m.,271,161,18.0
CO-89-IAH-EWR,10:20 a.m.,272,78,10.0
CO-1088-CLE-IAH,10:54 a.m.,273,79,9.0
AA-1886-BOS-MIA,2:20 p.m.,274,10,5.0
AA-1664-MIA-ATL,12:10 p.m.,275,12,19.0
AA-3979-CVG-ORD,8:00 a.m.,276,13,17.0
AA-1279-DFW-PHX,2:35 p.m.,277,14,17.0
CO-1614-LAX-IAH,5:35 a.m.,278,62,10.0
AA-616-DFW-DTW,12:35 p.m.,279,15,19.0
AA-4344-ORD-DTW,2:00 p.m.,280,16,8.0
UA-2945-PHL-CLT,1:45 p.m.,281,165,18.0
AA-2525-DFW-MIA,11:10 a.m.,282,17,15.0
AA-271-MIA-LAX,2:25 p.m.,283,19,18.0
AA-2050-ORD-MIA,2:45 p.m.,284,20,20.0
AA-1434-DFW-MCO,10:35 a.m.,285,22,16.0
CO-1561-PHX-IAH,11:35 a.m.,286,72,9.0
AA-4307-ORD-DTW,9:10 p.m.,287,23,19.0
AA-3-JFK-LAX,3:15 p.m.,288,24,18.0
CO-1694-LAX-IAH,12:21 a.m.,289,191,7.0
UA-843-LAX-ORD,7:53 p.m.,290,192,5.0
CO-1193-EWR-MCO,12:18 p.m.,291,97,22.0
AA-3842-MSP-ORD,7:30 a.m.,292,25,17.0
AA-643-MIA-ORD,9:35 a.m.,293,26,16.0
UA-2906-PHL-MCO,6:23 p.m.,294,171,18.0
UA-938-DEN-ORD,7:35 p.m.,295,193,6.0
AA-1221-MCO-ORD,9:45 p.m.,296,28,19.0
CO-16-LAX-EWR,6:44 p.m.,297,105,12.0
UA-2515-DFW-CLT,10:31 a.m.,298,194,5.0
AA-400-DFW-JFK,2:59 p.m.,299,29,14.0
UA-664-ORD-PHL,4:31 p.m.,300,173,20.0
AA-1522-SFO-ORD,5:50 a.m.,301,195,6.0
UA-233-LAX-JFK,12:29 a.m.,302,196,7.0
AA-3823-LAX-DEN,12:15 a.m.,303,197,6.0
AA-2312-DFW-DTW,11:50 p.m.,304,33,19.0
AA-1165-JFK-MIA,10:34 a.m.,305,34,15.0
AA-431-MIA-SFO,11:50 a.m.,306,35,18.0
UA-257-JFK-SFO,6:15 p.m.,307,164,18.0
UA-3373-IAD-PHL,9:24 a.m.,308,198,8.0
AA-649-ORD-SNA,3:50 p.m.,309,36,16.0
CO-1250-MIA-IAH,4:48 p.m.,310,119,12.0
UA-6273-YYC-SFO,9:43 a.m.,311,199,3.0
UA-858-PVG-SFO,8:27 a.m.,312,200,3.0
UA-2704-DTW-PHX,1:40 p.m.,313,201,6.0
AA-3063-SLC-LAX,9:20 p.m.,314,37,7.0
UA-2708-EWR-CLT,4:53 p.m.,315,202,6.0
UA-62-IAH-EWR,7:03 p.m.,316,127,11.0
AA-3804-PHL-ORD,4:05 p.m.,317,38,19.0
AA-1917-JFK-MCO,5:55 p.m.,318,39,18.0
AA-2268-PHX-ORD,11:35 a.m.,319,40,18.0
UA-2314-ATL-PHL,5:00 p.m.,320,203,8.0
AA-4277-CVG-JFK,2:15 p.m.,321,41,19.0
AA-2957-DFW-CVG,11:05 a.m.,322,11,17.0
UA-37-EDI-EWR,11:53 a.m.,323,134,9.0
AA-789-ORD-DEN,2:35 p.m.,324,42,20.0
UA-854-SFO-IAH,1:39 p.m.,325,204,6.0
AA-415-BOS-ORD,10:40 a.m.,326,43,7.0
AA-85-JFK-SFO,6:30 p.m.,327,44,19.0
AA-3786-IAH-ORD,6:40 p.m.,328,46,20.0
CO-50-CLE-EWR,4:49 p.m.,329,141,11.0
UA-3099-PHX-PHL,6:17 p.m.,330,185,17.0
AA-4198-ORD-CLE,12:55 p.m.,331,30,18.0
AA-404-MIA-MCO,7:45 a.m.,332,18,17.0
CO-45-EWR-MIA,7:05 p.m.,333,145,20.0
AA-3809-PHX-LAX,6:40 a.m.,334,48,18.0
AA-59-JFK-SFO,10:45 a.m.,335,49,19.0
AA-222-LAX-BOS,3:30 p.m.,336,47,17.0
AA-3859-IAH-ORD,,337,50,
CO-1586-IAH-MCO,10:15 p.m.,338,51,9.0
AA-518-MIA-JFK,,339,52,
UA-397-JFK-SFO,,340,53,
UA-3925-IAD-ORF,,341,54,
AA-1733-ORD-PHX,,342,55,
UA-2830-MCO-CLT,,343,56,
CO-58-DEN-IAH,2:50 p.m.,344,57,10.0
AA-1544-SAN-ORD,,345,58,
UA-5487-SFO-MRY,,346,59,
AA-204-LAX-MCO,,347,60,
UA-414-LAX-SFO,,348,61,
CO-1614-LAX-IAH,5:35 a.m.,349,62,10.0
UA-2726-FLL-PHL,,350,63,
CO-52-IAH-LAX,9:21 a.m.,351,64,7.0
CO-1090-BOS-IAH,1:16 p.m.,352,65,12.0
AA-616-DFW-DTW,,353,66,
UA-3515-IAD-MSP,,354,67,
AA-3468-CVG-MIA,,355,68,
AA-484-DFW-MIA,,356,69,
AA-1886-BOS-MIA,,357,70,
CO-62-IAH-EWR,7:03 p.m.,358,71,12.0
CO-1561-PHX-IAH,11:35 a.m.,359,72,9.0
UA-2314-ATL-PHL,,360,73,
AA-446-DFW-PHL,,361,74,
CO-1023-IAH-DEN,1:17 p.m.,362,75,10.0
AA-466-IAH-MIA,,363,76,
UA-3050-PHX-CLT,,364,77,
CO-89-IAH-EWR,10:20 a.m.,365,78,10.0
CO-1088-CLE-IAH,10:54 a.m.,366,79,9.0
AA-1664-MIA-ATL,,367,80,
AA-1279-DFW-PHX,,368,81,
UA-854-SFO-IAH,,369,82,
UA-382-IAD-LAX,,370,83,
AA-4344-ORD-DTW,,371,84,
UA-257-JFK-SFO,,372,85,
UA-2945-PHL-CLT,,373,86,
CO-63-EWR-IAH,8:22 p.m.,374,87,8.0
CO-47-IAH-LAX,8:56 p.m.,375,88,7.0
AA-2050-ORD-MIA,,376,89,
UA-248-PHX-ORD,,377,90,
AA-4330-CVG-ORD,4:00 p.m.,378,21,10.0
AA-1434-DFW-MCO,,379,91,
AA-1640-MIA-MCO,,380,92,
AA-4307-ORD-DTW,,381,93,
AA-3-JFK-LAX,,382,94,
CO-1694-LAX-IAH,12/2/11 12:21 a.m.,383,95,4.0
UA-843-LAX-ORD,,384,96,
CO-1193-EWR-MCO,12:18 p.m.,385,97,22.0
AA-3842-MSP-ORD,,386,98,
AA-643-MIA-ORD,,387,99,
AA-1007-MIA-PHX,,388,100,
AA-2525-DFW-MIA,,389,101,
UA-2906-PHL-MCO,,390,102,
UA-938-DEN-ORD,,391,103,
AA-1221-MCO-ORD,,392,104,
CO-16-LAX-EWR,6:44 p.m.,393,105,12.0
UA-2515-DFW-CLT,,394,106,
AA-400-DFW-JFK,,395,107,
UA-664-ORD-PHL,,396,108,
AA-3756-ORD-SLC,,397,109,
UA-37-EWR-MCO,4:17 p.m.,398,110,9.0
AA-1522-SFO-ORD,,399,111,
UA-233-LAX-JFK,,400,112,
AA-3823-LAX-DEN,,401,113,
AA-2312-DFW-DTW,,402,114,
AA-1165-JFK-MIA,,403,115,
AA-431-MIA-SFO,,404,116,
UA-3373-IAD-PHL,,405,117,
AA-649-ORD-SNA,,406,118,
CO-1250-MIA-IAH,4:48 p.m.,407,119,12.0
UA-6273-YYC-SFO,,408,120,
UA-828-SFO-ORD,12/2/11 5:11 a.m.,409,121,4.0
CO-4888-IAH-DAL,,410,122,
UA-858-PVG-SFO,,411,123,
UA-2704-DTW-PHX,,412,124,
AA-3063-SLC-LAX,,413,125,
UA-2708-EWR-CLT,,414,126,
UA-62-IAH-EWR,7:03 p.m.,415,127,11.0
UA-1500-IAH-GUA,11:45 a.m.,416,128,5.0
AA-3804-PHL-ORD,,417,129,
AA-1917-JFK-MCO,,418,130,
AA-2268-PHX-ORD,,419,131,
AA-4277-CVG-JFK,,420,132,
AA-2957-DFW-CVG,,421,133,
UA-37-EDI-EWR,11:53 a.m.,422,134,9.0
AA-789-ORD-DEN,,423,135,
AA-415-BOS-ORD,,424,136,
AA-85-JFK-SFO,,425,137,
AA-3979-CVG-ORD,,426,138,
AA-3786-IAH-ORD,,427,139,
AA-271-MIA-LAX,,428,140,
CO-50-CLE-EWR,4:49 p.m.,429,141,11.0
UA-3099-PHX-PHL,,430,142,
AA-4198-ORD-CLE,,431,143,
AA-404-MIA-MCO,,432,144,
CO-45-EWR-MIA,7:05 p.m.,433,145,20.0
AA-3809-PHX-LAX,,434,146,
AA-59-JFK-SFO,,435,147,
AA-222-LAX-BOS,,436,148,
AA-3859-IAH-ORD,9:40 a.m.,437,0,18.0
CO-1586-IAH-MCO,,438,149,
AA-518-MIA-JFK,9:25 a.m.,439,3,16.0
UA-397-JFK-SFO,11:55 a.m.,440,150,15.0
UA-3925-IAD-ORF,,441,54,
AA-1733-ORD-PHX,10:30 p.m.,442,1,19.0
AA-3-JFK-LAX,3:15 p.m.,443,24,18.0
UA-2830-MCO-CLT,5:05 p.m.,444,151,17.0
CO-58-DEN-IAH,,445,152,
UA-5487-SFO-MRY,,446,59,
AA-204-LAX-MCO,6:55 a.m. Dec 02,447,153,6.0
UA-414-LAX-SFO,,448,61,
CO-1614-LAX-IAH,,449,154,
UA-2726-FLL-PHL,6:46 p.m.,450,155,17.0
CO-52-IAH-LAX,,451,156,
CO-1090-BOS-IAH,,452,157,
AA-616-DFW-DTW,12:35 p.m.,453,15,19.0
UA-3515-IAD-MSP,,454,67,
AA-3468-CVG-MIA,9:55 a.m.,455,6,18.0
AA-484-DFW-MIA,7:55 p.m.,456,7,17.0
AA-1886-BOS-MIA,,457,70,
CO-62-IAH-EWR,,458,158,
CO-1561-PHX-IAH,,459,159,
UA-2314-ATL-PHL,,460,73,
AA-446-DFW-PHL,3:50 p.m.,461,8,18.0
CO-1023-IAH-DEN,,462,160,
AA-466-IAH-MIA,9:20 a.m.,463,9,17.0
UA-3050-PHX-CLT,4:57 p.m.,464,161,18.0
CO-89-IAH-EWR,,465,162,
CO-1088-CLE-IAH,,466,163,
AA-1664-MIA-ATL,12:10 p.m.,467,12,19.0
AA-1279-DFW-PHX,2:35 p.m.,468,14,17.0
UA-854-SFO-IAH,,469,82,
UA-382-IAD-LAX,,470,83,
AA-4344-ORD-DTW,,471,84,
UA-257-JFK-SFO,6:15 p.m.,472,164,18.0
UA-2945-PHL-CLT,1:45 p.m.,473,165,18.0
CO-63-EWR-IAH,,474,166,
CO-47-IAH-LAX,,475,167,
AA-2050-ORD-MIA,2:45 p.m.,476,20,20.0
UA-248-PHX-ORD,,477,90,
AA-4330-CVG-ORD,,478,169,
AA-1434-DFW-MCO,10:35 a.m.,479,22,16.0
AA-1640-MIA-MCO,7:25 p.m.,480,2,20.0
AA-4307-ORD-DTW,9:10 p.m.,481,23,19.0
CO-1694-LAX-IAH,12:21 a.m. Dec 02,482,170,7.0
UA-843-LAX-ORD,,483,96,
CO-1193-EWR-MCO,12:18 p.m.,484,97,22.0
AA-3842-MSP-ORD,7:30 a.m.,485,25,17.0
AA-643-MIA-ORD,9:35 a.m.,486,26,16.0
AA-1007-MIA-PHX,,487,100,
UA-2906-PHL-MCO,6:23 p.m.,488,171,18.0
UA-938-DEN-ORD,,489,103,
AA-1221-MCO-ORD,9:45 p.m.,490,28,19.0
CO-16-LAX-EWR,,491,172,
UA-2515-DFW-CLT,,492,106,
AA-400-DFW-JFK,2:59 p.m.,493,29,14.0
UA-664-ORD-PHL,4:31 p.m.,494,173,20.0
AA-3756-ORD-SLC,2:45 p.m.,495,4,19.0
UA-37-EWR-MCO,,496,174,
AA-1522-SFO-ORD,5:50 a.m. Dec 02,497,205,5.0
UA-233-LAX-JFK,12:29 a.m. Dec 02,498,176,7.0
AA-3823-LAX-DEN,12:15 a.m. Dec 02,499,177,6.0
AA-2312-DFW-DTW,11:50 p.m.,500,33,19.0
AA-1165-JFK-MIA,10:34 a.m.,501,34,15.0
AA-431-MIA-SFO,11:50 a.m.,502,35,18.0
UA-3373-IAD-PHL,,503,117,
AA-649-ORD-SNA,3:50 p.m.,504,36,16.0
CO-1250-MIA-IAH,,505,178,
UA-6273-YYC-SFO,,506,120,
UA-828-SFO-ORD,5:11 a.m.Dec 02,507,179,7.0
CO-4888-IAH-DAL,6:40 p.m.,508,206,13.0
UA-858-PVG-SFO,,509,123,
UA-2704-DTW-PHX,,510,124,
AA-3063-SLC-LAX,,511,125,
UA-2708-EWR-CLT,,512,126,
UA-62-IAH-EWR,,513,181,
UA-1500-IAH-GUA,,514,182,
AA-3804-PHL-ORD,4:05 p.m.,515,38,19.0
AA-1917-JFK-MCO,5:55 p.m.,516,39,18.0
AA-2268-PHX-ORD,11:35 a.m.,517,40,18.0
AA-4277-CVG-JFK,2:15 p.m.,518,41,19.0
AA-2957-DFW-CVG,11:05 a.m.,519,11,17.0
UA-37-EDI-EWR,,520,183,
AA-789-ORD-DEN,2:35 p.m.,521,42,20.0
AA-415-BOS-ORD,,522,136,
AA-85-JFK-SFO,6:30 p.m.,523,44,19.0
AA-3979-CVG-ORD,8:00 a.m.,524,13,17.0
AA-1544-SAN-ORD,,525,58,
AA-3786-IAH-ORD,6:40 p.m.,526,46,20.0
AA-271-MIA-LAX,2:25 p.m.,527,19,18.0
AA-2525-DFW-MIA,11:10 a.m.,528,17,15.0
CO-50-CLE-EWR,,529,184,
UA-3099-PHX-PHL,6:17 p.m.,530,185,17.0
AA-4198-ORD-CLE,12:55 p.m.,531,30,18.0
AA-404-MIA-MCO,7:45 a.m.,532,18,17.0
CO-45-EWR-MIA,7:05 p.m.,533,145,20.0
AA-3809-PHX-LAX,6:40 a.m.,534,48,18.0
AA-59-JFK-SFO,10:45 a.m.,535,49,19.0
AA-222-LAX-BOS,3:30 p.m.,536,47,17.0
