style,original_index,unique_index,count
American Pale Wheat Ale,254,22,97.0
American Brown Ale,255,21,70.0
English Strong Ale,256,15,4.0
American Brown Ale,257,21,70.0
American Pale Wheat Ale,258,22,97.0
American IPA,259,2,424.0
American Blonde Ale,260,18,108.0
English Pale Ale,261,25,12.0
American Pale Wheat Ale,262,22,97.0
American Brown Ale,263,21,70.0
American IPA,264,2,424.0
American Amber / Red Ale,265,19,133.0
American Pale Ale (APA),266,1,245.0
Rye Beer,267,46,18.0
American Double / Imperial IPA,268,3,105.0
Oatmeal Stout,269,4,18.0
American IPA,270,2,424.0
American Pale Ale (APA),271,1,245.0
American Brown Ale,272,21,70.0
American Pale Ale (APA),273,1,245.0
American Blonde Ale,274,18,108.0
Rye Beer,275,46,18.0
American Blonde Ale,276,18,108.0
American IPA,277,2,424.0
Hefeweizen,278,48,40.0
American Pale Ale (APA),279,1,245.0
American Strong Ale,280,53,14.0
American Porter,281,5,68.0
Saison / Farmhouse Ale,282,6,52.0
American Amber / Red Ale,283,19,133.0
American Brown Ale,284,21,70.0
American Amber / Red Ale,285,19,133.0
Rye Beer,286,46,18.0
American IPA,287,2,424.0
Foreign / Export Stout,288,49,6.0
American Pale Wheat Ale,289,22,97.0
American Brown Ale,290,21,70.0
American IPA,291,2,424.0
Cream Ale,292,38,29.0
American Pale Wheat Ale,293,22,97.0
American Pilsner,294,32,25.0
American Brown Ale,295,21,70.0
American Amber / Red Ale,296,19,133.0
American Double / Imperial IPA,297,3,105.0
German Pilsener,298,29,36.0
American Double / Imperial IPA,299,3,105.0
American Stout,300,13,39.0
Saison / Farmhouse Ale,301,6,52.0
American Pale Ale (APA),302,1,245.0
Extra Special / Strong Bitter (ESB),303,45,20.0
Extra Special / Strong Bitter (ESB),304,45,20.0
Extra Special / Strong Bitter (ESB),305,45,20.0
American Pale Ale (APA),306,1,245.0
Mead,307,54,5.0
Mead,308,54,5.0
American Double / Imperial IPA,309,3,105.0
American Pale Ale (APA),310,1,245.0
Extra Special / Strong Bitter (ESB),311,45,20.0
Euro Pale Lager,312,55,2.0
American Pale Ale (APA),313,1,245.0
Kölsch,314,24,42.0
American Stout,315,13,39.0
American Pale Wheat Ale,316,22,97.0
American Amber / Red Ale,317,19,133.0
American Pale Ale (APA),318,1,245.0
American Black Ale,319,16,36.0
American White IPA,320,56,11.0
American Blonde Ale,321,18,108.0
Vienna Lager,322,39,20.0
Dortmunder / Export Lager,323,57,6.0
Altbier,324,35,13.0
Schwarzbier,325,43,9.0
Czech Pilsener,326,52,28.0
Vienna Lager,327,39,20.0
American IPA,328,2,424.0
Cream Ale,329,38,29.0
American Brown Ale,330,21,70.0
American IPA,331,2,424.0
Irish Dry Stout,332,58,5.0
Munich Helles Lager,333,42,20.0
Munich Helles Lager,334,42,20.0
American IPA,335,2,424.0
Scotch Ale / Wee Heavy,336,59,15.0
Czech Pilsener,337,52,28.0
Märzen / Oktoberfest,338,44,30.0
English India Pale Ale (IPA),339,51,13.0
American Blonde Ale,340,18,108.0
American IPA,341,2,424.0
American Blonde Ale,342,18,108.0
American Blonde Ale,343,18,108.0
Extra Special / Strong Bitter (ESB),344,45,20.0
Munich Dunkel Lager,345,60,4.0
American Pale Ale (APA),346,1,245.0
Winter Warmer,347,12,15.0
American Porter,348,5,68.0
American Pale Ale (APA),349,1,245.0
American Brown Ale,350,21,70.0
Czech Pilsener,351,52,28.0
American Blonde Ale,352,18,108.0
American IPA,353,2,424.0
American Porter,354,5,68.0
Radler,355,61,3.0
American IPA,356,2,424.0
Witbier,357,40,51.0
Bock,358,62,7.0
Vienna Lager,359,39,20.0
Vienna Lager,360,39,20.0
Märzen / Oktoberfest,361,44,30.0
American Pale Wheat Ale,362,22,97.0
Vienna Lager,363,39,20.0
American Pale Ale (APA),364,1,245.0
American Pale Ale (APA),365,1,245.0
American Pale Ale (APA),366,1,245.0
American IPA,367,2,424.0
American Pale Ale (APA),368,1,245.0
American IPA,369,2,424.0
English Dark Mild Ale,370,63,6.0
American Porter,371,5,68.0
American Porter,372,5,68.0
American IPA,373,2,424.0
Hefeweizen,374,48,40.0
American Amber / Red Ale,375,19,133.0
American Amber / Red Ale,376,19,133.0
Kölsch,377,24,42.0
American Pale Wheat Ale,378,22,97.0
American Pale Wheat Ale,379,22,97.0
American IPA,380,2,424.0
American Amber / Red Ale,381,19,133.0
Fruit / Vegetable Beer,382,14,49.0
American IPA,383,2,424.0
Irish Red Ale,384,64,12.0
American Pale Wheat Ale,385,22,97.0
American Pale Ale (APA),386,1,245.0
American Amber / Red Ale,387,19,133.0
Saison / Farmhouse Ale,388,6,52.0
Belgian Pale Ale,389,31,24.0
American Double / Imperial Stout,390,41,9.0
American IPA,391,2,424.0
Rauchbier,392,65,2.0
Bière de Garde,393,66,7.0
Belgian IPA,394,7,18.0
Doppelbock,395,67,7.0
Saison / Farmhouse Ale,396,6,52.0
Witbier,397,40,51.0
Belgian IPA,398,7,18.0
Saison / Farmhouse Ale,399,6,52.0
Belgian IPA,400,7,18.0
Saison / Farmhouse Ale,401,6,52.0
Rye Beer,402,46,18.0
Dunkelweizen,403,68,4.0
Belgian Strong Pale Ale,404,69,7.0
Dubbel,405,70,5.0
Belgian Dark Ale,406,17,11.0
Belgian Dark Ale,407,17,11.0
Belgian Pale Ale,408,31,24.0
Witbier,409,40,51.0
Oatmeal Stout,410,4,18.0
American Porter,411,5,68.0
Quadrupel (Quad),412,71,4.0
Rauchbier,413,65,2.0
Belgian IPA,414,7,18.0
Belgian Dark Ale,415,17,11.0
Belgian IPA,416,7,18.0
Rye Beer,417,46,18.0
American Stout,418,13,39.0
Fruit / Vegetable Beer,419,14,49.0
Belgian Dark Ale,420,17,11.0
Belgian Dark Ale,421,17,11.0
Belgian Pale Ale,422,31,24.0
Bière de Garde,423,66,7.0
Belgian Dark Ale,424,17,11.0
Witbier,425,40,51.0
American Stout,426,13,39.0
Belgian IPA,427,7,18.0
American Wild Ale,428,33,6.0
Fruit / Vegetable Beer,429,14,49.0
American Double / Imperial IPA,430,3,105.0
Bière de Garde,431,66,7.0
American Black Ale,432,16,36.0
Saison / Farmhouse Ale,433,6,52.0
Tripel,434,10,11.0
Belgian Dark Ale,435,17,11.0
American Amber / Red Ale,436,19,133.0
Quadrupel (Quad),437,71,4.0
American Double / Imperial Stout,438,41,9.0
American Wild Ale,439,33,6.0
Bière de Garde,440,66,7.0
Russian Imperial Stout,441,72,11.0
American Amber / Red Ale,442,19,133.0
Saison / Farmhouse Ale,443,6,52.0
Tripel,444,10,11.0
Belgian IPA,445,7,18.0
Belgian Strong Dark Ale,446,23,6.0
Saison / Farmhouse Ale,447,6,52.0
Belgian Pale Ale,448,31,24.0
Belgian IPA,449,7,18.0
American Pale Ale (APA),450,1,245.0
American Pale Wheat Ale,451,22,97.0
American Amber / Red Ale,452,19,133.0
American Amber / Red Ale,453,19,133.0
American Pale Ale (APA),454,1,245.0
Cream Ale,455,38,29.0
American IPA,456,2,424.0
English India Pale Ale (IPA),457,51,13.0
English Pale Mild Ale,458,73,3.0
English India Pale Ale (IPA),459,51,13.0
English Pale Mild Ale,460,73,3.0
American Amber / Red Lager,461,26,29.0
American Amber / Red Lager,462,26,29.0
Belgian IPA,463,7,18.0
Maibock / Helles Bock,464,74,5.0
American Black Ale,465,16,36.0
Schwarzbier,466,43,9.0
American Amber / Red Ale,467,19,133.0
Herbed / Spiced Beer,468,75,9.0
Schwarzbier,469,43,9.0
Munich Helles Lager,470,42,20.0
American Pale Ale (APA),471,1,245.0
American Blonde Ale,472,18,108.0
Witbier,473,40,51.0
American Double / Imperial IPA,474,3,105.0
American Brown Ale,475,21,70.0
American Black Ale,476,16,36.0
Fruit / Vegetable Beer,477,14,49.0
American Pale Ale (APA),478,1,245.0
American Double / Imperial IPA,479,3,105.0
Cream Ale,480,38,29.0
American Pale Wheat Ale,481,22,97.0
American Pale Wheat Ale,482,22,97.0
American IPA,483,2,424.0
American IPA,484,2,424.0
American Pale Ale (APA),485,1,245.0
American Pale Lager,486,0,39.0
American Pale Ale (APA),487,1,245.0
Hefeweizen,488,48,40.0
American IPA,489,2,424.0
Milk / Sweet Stout,490,28,10.0
American Pale Ale (APA),491,1,245.0
American Double / Imperial Stout,492,41,9.0
American Brown Ale,493,21,70.0
American Pale Ale (APA),494,1,245.0
Kölsch,495,24,42.0
American IPA,496,2,424.0
American Double / Imperial IPA,497,3,105.0
American Porter,498,5,68.0
American Blonde Ale,499,18,108.0
American Amber / Red Ale,500,19,133.0
American IPA,501,2,424.0
American Amber / Red Ale,502,19,133.0
American Blonde Ale,503,18,108.0
American IPA,504,2,424.0
American Porter,505,5,68.0
American Pale Ale (APA),506,1,245.0
American Adjunct Lager,507,76,18.0
American Amber / Red Ale,508,19,133.0
American IPA,509,2,424.0
American IPA,510,2,424.0
American Pale Ale (APA),511,1,245.0
American Pale Ale (APA),512,1,245.0
American Pale Ale (APA),513,1,245.0
American Pale Ale (APA),514,1,245.0
American Pale Ale (APA),515,1,245.0
American Amber / Red Ale,516,19,133.0
American IPA,517,2,424.0
American Pilsner,518,32,25.0
American IPA,519,2,424.0
Witbier,520,40,51.0
American Amber / Red Ale,521,19,133.0
American Blonde Ale,522,18,108.0
English Dark Mild Ale,523,63,6.0
Pumpkin Ale,524,30,23.0
American Double / Imperial IPA,525,3,105.0
American IPA,526,2,424.0
German Pilsener,527,29,36.0
American Amber / Red Ale,528,19,133.0
American Amber / Red Ale,529,19,133.0
American Blonde Ale,530,18,108.0
American Black Ale,531,16,36.0
Vienna Lager,532,39,20.0
Munich Helles Lager,533,42,20.0
American IPA,534,2,424.0
Munich Helles Lager,535,42,20.0
American IPA,536,2,424.0
Vienna Lager,537,39,20.0
American Pale Wheat Ale,538,22,97.0
Vienna Lager,539,39,20.0
American Pale Ale (APA),540,1,245.0
American Pale Lager,541,0,39.0
American Blonde Ale,542,18,108.0
American Blonde Ale,543,18,108.0
American Blonde Ale,544,18,108.0
Winter Warmer,545,12,15.0
English India Pale Ale (IPA),546,51,13.0
Kölsch,547,24,42.0
American Black Ale,548,16,36.0
Berliner Weissbier,549,20,11.0
American Double / Imperial IPA,550,3,105.0
American IPA,551,2,424.0
Cider,552,8,37.0
Cider,553,8,37.0
Cream Ale,554,38,29.0
American IPA,555,2,424.0
Witbier,556,40,51.0
Winter Warmer,557,12,15.0
Witbier,558,40,51.0
American IPA,559,2,424.0
Cream Ale,560,38,29.0
Witbier,561,40,51.0
Scottish Ale,562,77,19.0
American Brown Ale,563,21,70.0
American Porter,564,5,68.0
American Double / Imperial IPA,565,3,105.0
,566,78,
American IPA,567,2,424.0
Smoked Beer,568,79,1.0
American Pale Ale (APA),569,1,245.0
Cream Ale,570,38,29.0
American Blonde Ale,571,18,108.0
American Amber / Red Ale,572,19,133.0
Altbier,573,35,13.0
American Amber / Red Lager,574,26,29.0
Altbier,575,35,13.0
American Pale Ale (APA),576,1,245.0
Herbed / Spiced Beer,577,75,9.0
American IPA,578,2,424.0
American Double / Imperial IPA,579,3,105.0
American Black Ale,580,16,36.0
Rye Beer,581,46,18.0
American Stout,582,13,39.0
Kölsch,583,24,42.0
American IPA,584,2,424.0
Kölsch,585,24,42.0
Fruit / Vegetable Beer,586,14,49.0
American Pale Ale (APA),587,1,245.0
English Brown Ale,588,34,18.0
American Strong Ale,589,53,14.0
Märzen / Oktoberfest,590,44,30.0
American IPA,591,2,424.0
Fruit / Vegetable Beer,592,14,49.0
Altbier,593,35,13.0
American Double / Imperial IPA,594,3,105.0
American Pilsner,595,32,25.0
Cider,596,8,37.0
Cider,597,8,37.0
Bock,598,62,7.0
American IPA,599,2,424.0
American Black Ale,600,16,36.0
American Brown Ale,601,21,70.0
Märzen / Oktoberfest,602,44,30.0
American Porter,603,5,68.0
American IPA,604,2,424.0
American IPA,605,2,424.0
American IPA,606,2,424.0
American Pale Ale (APA),607,1,245.0
American IPA,608,2,424.0
American IPA,609,2,424.0
American IPA,610,2,424.0
American Pale Ale (APA),611,1,245.0
American Pale Wheat Ale,612,22,97.0
American IPA,613,2,424.0
American IPA,614,2,424.0
American Porter,615,5,68.0
American Pale Ale (APA),616,1,245.0
English Brown Ale,617,34,18.0
American Brown Ale,618,21,70.0
Munich Helles Lager,619,42,20.0
American Amber / Red Ale,620,19,133.0
American IPA,621,2,424.0
Witbier,622,40,51.0
Light Lager,623,80,12.0
Pumpkin Ale,624,30,23.0
Witbier,625,40,51.0
Munich Helles Lager,626,42,20.0
American IPA,627,2,424.0
Light Lager,628,80,12.0
English Pale Ale,629,25,12.0
American IPA,630,2,424.0
American Black Ale,631,16,36.0
American Pale Wheat Ale,632,22,97.0
American Blonde Ale,633,18,108.0
American Brown Ale,634,21,70.0
Kölsch,635,24,42.0
American IPA,636,2,424.0
American Amber / Red Ale,637,19,133.0
American Amber / Red Ale,638,19,133.0
Fruit / Vegetable Beer,639,14,49.0
American IPA,640,2,424.0
German Pilsener,641,29,36.0
American Blonde Ale,642,18,108.0
American Pilsner,643,32,25.0
American Amber / Red Ale,644,19,133.0
Oatmeal Stout,645,4,18.0
Extra Special / Strong Bitter (ESB),646,45,20.0
American Pale Lager,647,0,39.0
Kölsch,648,24,42.0
American Blonde Ale,649,18,108.0
Oatmeal Stout,650,4,18.0
American Black Ale,651,16,36.0
American Pale Ale (APA),652,1,245.0
Belgian Strong Pale Ale,653,69,7.0
American Stout,654,13,39.0
American Amber / Red Ale,655,19,133.0
American Amber / Red Ale,656,19,133.0
Witbier,657,40,51.0
American Pale Ale (APA),658,1,245.0
American Amber / Red Ale,659,19,133.0
American IPA,660,2,424.0
Berliner Weissbier,661,20,11.0
American Blonde Ale,662,18,108.0
American Porter,663,5,68.0
American Pale Ale (APA),664,1,245.0
American Amber / Red Ale,665,19,133.0
Herbed / Spiced Beer,666,75,9.0
American Brown Ale,667,21,70.0
American Blonde Ale,668,18,108.0
Cream Ale,669,38,29.0
American Porter,670,5,68.0
American IPA,671,2,424.0
American Amber / Red Ale,672,19,133.0
Kölsch,673,24,42.0
American Blonde Ale,674,18,108.0
Witbier,675,40,51.0
Scottish Ale,676,77,19.0
American IPA,677,2,424.0
English Pale Ale,678,25,12.0
Kölsch,679,24,42.0
Scotch Ale / Wee Heavy,680,59,15.0
American Blonde Ale,681,18,108.0
Hefeweizen,682,48,40.0
American Porter,683,5,68.0
American Double / Imperial IPA,684,3,105.0
American IPA,685,2,424.0
Belgian Pale Ale,686,31,24.0
American Pale Ale (APA),687,1,245.0
American IPA,688,2,424.0
American IPA,689,2,424.0
American IPA,690,2,424.0
American Pale Lager,691,0,39.0
American Blonde Ale,692,18,108.0
American Pale Ale (APA),693,1,245.0
American Amber / Red Ale,694,19,133.0
Euro Pale Lager,695,55,2.0
American Brown Ale,696,21,70.0
American Double / Imperial IPA,697,3,105.0
American Pale Ale (APA),698,1,245.0
Baltic Porter,699,9,6.0
Saison / Farmhouse Ale,700,6,52.0
German Pilsener,701,29,36.0
American Blonde Ale,702,18,108.0
American IPA,703,2,424.0
American IPA,704,2,424.0
English Pale Mild Ale,705,73,3.0
Irish Dry Stout,706,58,5.0
American Blonde Ale,707,18,108.0
American IPA,708,2,424.0
Irish Red Ale,709,64,12.0
American IPA,710,2,424.0
American Porter,711,5,68.0
American Pale Ale (APA),712,1,245.0
Hefeweizen,713,48,40.0
Abbey Single Ale,714,81,2.0
American IPA,715,2,424.0
Gose,716,37,10.0
Fruit / Vegetable Beer,717,14,49.0
American Double / Imperial IPA,718,3,105.0
Abbey Single Ale,719,81,2.0
American Pale Ale (APA),720,1,245.0
American Pale Ale (APA),721,1,245.0
American Amber / Red Ale,722,19,133.0
American Black Ale,723,16,36.0
American IPA,724,2,424.0
Scotch Ale / Wee Heavy,725,59,15.0
American Pale Ale (APA),726,1,245.0
American IPA,727,2,424.0
American Amber / Red Ale,728,19,133.0
Hefeweizen,729,48,40.0
Extra Special / Strong Bitter (ESB),730,45,20.0
American Double / Imperial IPA,731,3,105.0
American Pale Ale (APA),732,1,245.0
Irish Dry Stout,733,58,5.0
English Dark Mild Ale,734,63,6.0
Cider,735,8,37.0
Cider,736,8,37.0
American IPA,737,2,424.0
Fruit / Vegetable Beer,738,14,49.0
Hefeweizen,739,48,40.0
American Amber / Red Ale,740,19,133.0
American IPA,741,2,424.0
American Pale Wheat Ale,742,22,97.0
Pumpkin Ale,743,30,23.0
American IPA,744,2,424.0
American Pale Ale (APA),745,1,245.0
Pumpkin Ale,746,30,23.0
Fruit / Vegetable Beer,747,14,49.0
German Pilsener,748,29,36.0
American IPA,749,2,424.0
Extra Special / Strong Bitter (ESB),750,45,20.0
American Amber / Red Lager,751,26,29.0
American Brown Ale,752,21,70.0
American Adjunct Lager,753,76,18.0
Fruit / Vegetable Beer,754,14,49.0
American Pale Ale (APA),755,1,245.0
American Pale Lager,756,0,39.0
American IPA,757,2,424.0
American IPA,758,2,424.0
American IPA,759,2,424.0
American Blonde Ale,760,18,108.0
Belgian IPA,761,7,18.0
American Pale Wheat Ale,762,22,97.0
American Pale Ale (APA),763,1,245.0
American Porter,764,5,68.0
Czech Pilsener,765,52,28.0
Berliner Weissbier,766,20,11.0
American Double / Imperial IPA,767,3,105.0
American Pale Ale (APA),768,1,245.0
American IPA,769,2,424.0
American Pale Ale (APA),770,1,245.0
American Pale Ale (APA),771,1,245.0
Scottish Ale,772,77,19.0
American IPA,773,2,424.0
American Pale Ale (APA),774,1,245.0
American IPA,775,2,424.0
American Stout,776,13,39.0
Belgian Pale Ale,777,31,24.0
Roggenbier,778,82,2.0
Kölsch,779,24,42.0
American IPA,780,2,424.0
American Amber / Red Ale,781,19,133.0
Fruit / Vegetable Beer,782,14,49.0
American IPA,783,2,424.0
American Amber / Red Ale,784,19,133.0
American Double / Imperial IPA,785,3,105.0
Scottish Ale,786,77,19.0
American Double / Imperial IPA,787,3,105.0
American Double / Imperial IPA,788,3,105.0
American Double / Imperial IPA,789,3,105.0
American Porter,790,5,68.0
Kristalweizen,791,83,1.0
Czech Pilsener,792,52,28.0
Kölsch,793,24,42.0
American Double / Imperial IPA,794,3,105.0
American Black Ale,795,16,36.0
Belgian Strong Dark Ale,796,23,6.0
American Pale Wheat Ale,797,22,97.0
American Stout,798,13,39.0
American Amber / Red Ale,799,19,133.0
American Pale Ale (APA),800,1,245.0
American IPA,801,2,424.0
American Pale Ale (APA),802,1,245.0
American Blonde Ale,803,18,108.0
American IPA,804,2,424.0
American IPA,805,2,424.0
German Pilsener,806,29,36.0
American Blonde Ale,807,18,108.0
American Blonde Ale,808,18,108.0
Doppelbock,809,67,7.0
American Blonde Ale,810,18,108.0
American IPA,811,2,424.0
American IPA,812,2,424.0
American Pale Ale (APA),813,1,245.0
American IPA,814,2,424.0
American Pale Lager,815,0,39.0
American Porter,816,5,68.0
American IPA,817,2,424.0
Saison / Farmhouse Ale,818,6,52.0
American IPA,819,2,424.0
American Porter,820,5,68.0
American Blonde Ale,821,18,108.0
Witbier,822,40,51.0
American IPA,823,2,424.0
Belgian Pale Ale,824,31,24.0
American IPA,825,2,424.0
American IPA,826,2,424.0
American IPA,827,2,424.0
American Black Ale,828,16,36.0
American IPA,829,2,424.0
American Pale Ale (APA),830,1,245.0
Witbier,831,40,51.0
American Pale Ale (APA),832,1,245.0
American Double / Imperial Stout,833,41,9.0
American Amber / Red Lager,834,26,29.0
American IPA,835,2,424.0
American Amber / Red Ale,836,19,133.0
American Pale Wheat Ale,837,22,97.0
