article_title,author_list,original_index,unique_index,count
"Lycopene metabolite, apo-10'-lycopenoic acid, inhibits diethylnitrosamine-initiated, high fat diet-promoted hepatic inflammation and tumorigenesis in mice.","{""Lynne M Ausman"",""Martin S Obin"",""Xiang-Dong Wang"",""Chun Liu"",""Blanche C Ip"",""Donald E Smith"",""Kang-Quan Hu""}",20,20,1.0
A performance improvement process to tackle tachysystole,"{""V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von Gruenigen"",""A. M. Burkett"",""J. Doyle"",""T. H. Kenny""}",21,21,1.0
Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,"{""Luca Maria Sconfienza"",""Ezio Lanza"",""Gianpaolo Cornalba"",""Dario Poretti"",""Catherine Cyteval"",""Pierre Viala"",""Francesco Sardanelli"",""Yann Thouvenin""}",22,22,1.0
Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.,"{""Ariela Noy"",""Lawrence D Kaplan"",""Yanxing Yu"",""Alexandra M Levine"",""Richard F Ambinder"",""Susan E Krown"",""Bruce J Dezube"",""Lan Lin"",""Jeannette Y Lee"",""Gary S Hayward""}",23,23,1.0
Serum MMPs 7-9 and their inhibitors during glucocorticoid and anti-TNF-alpha therapy in pediatric inflammatory bowel disease,"{""Kaija Leena Kolho"",""Hanne Rintamaki"",""Taina Tervahartiala"",""Timo Sorsa"",""Laura Makitalo""}",24,24,1.0
Examining waiting placement in hospital: utilization and the lived experience.,"{""Donna M Wilson"",""Jessica A Hewitt"",""Ralph Magnus"",""Jill Vihos"",""Karen Peterson"",""Nancy Barnes""}",25,25,1.0
"A prospective observational study of obesity, body composition, and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.","{""Isabella Soreca"",""Andrea Fagiolini"",""David J Kupfer"",""Bret H Goodpaster"",""Sara B Fleet-Michaliszyn"",""Amy D Otto"",""John M Jakicic""}",26,26,1.0
Diminished A-cell secretion in the early phase of type I diabetes mellitus,"{""S. Srikanta"",""O. P. Ganda"",""R. E. Gleason""}",27,27,1.0
Strong stability and host specific bacterial community in faeces of ponies.,"{""Tina M Blackmore"",""Kirsty Dougal"",""Hilary J Worgan"",""Eric Pinloche"",""Gemma Curtis"",""C Jamie Newbold"",""Neil R McEwan"",""Susan E Girdwood"",""Pat A Harris"",""Caroline McG Argo"",""Alex Dugdale""}",28,28,1.0
"Responses to open peer commentaries on ""the subjective brain, identity, and neuroethics""","{""G.R. Gillett""}",29,29,1.0
[A case of giant Brunner's gland hyperplasia combined with adenomyomatous hyperplasia].,"{""Seung Woo Park"",""Jae Bock Chung"",""Sang Kyum Kim"",""Si Young Song"",""Joo Won Chung"",""Ho Keun Kim"",""Joo Hee Seo"",""Seungmin Bang""}",30,30,1.0
Efficacy and safety of the low-molecular weight heparin enoxaparin compared with unfractionated heparin across the acute coronary syndrome spectrum: a meta-analysis.,"{""Carolyn H McCabe"",""Shaun G Goodman"",""Frans Van de Werf"",""David A Morrow"",""Elliott M Antman"",""Eugene Braunwald"",""Kenneth W Mahaffey"",""Marc Cohen"",""Ian B Menown"",""Sabina A Murphy"",""Charles Michael Gibson""}",31,31,1.0
Optimal Starting Age for School Attendance: FY76 Issue Analysis,"{""Marilou Madden""}",32,32,1.0
Bone density and body composition in young women with chronic fatigue syndrome.,"{""F Gates"",""P Clifton-Bligh"",""G Fulcher"",""L Hoskin"",""R Hansen""}",33,33,1.0
Prognostic value of morning blood pressure surge in clinical events: a meta-analysis of longitudinal studies.,"{""Yan-Xin Zhao"",""Jun-Chao Xie"",""Xue-Yuan Liu"",""Han Yan""}",34,34,1.0
"Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan, Nigeria.","{""B O Olley""}",35,35,1.0
Successful treatment of lung cancer by multimodal endobronchial interventions,"{""T. Nakajima"",""I. Yoshino"",""K. Yasufuku"",""S. Yoshida"",""Y. Sakairi"",""K. Shibuya""}",36,36,1.0
Fat and neurosurgery: does obesity affect outcome after intracranial surgery?,"{""R Loch Macdonald"",""Farbod Asgarzadie-Gadim"",""Yeon Gyoe Jang"",""Daniel J Curry"",""Rachel N Yanowitch"",""Kim E Schultheiss"",""Jocelyn Tolentino"",""J�_rgen L�_ders""}",37,37,1.0
Out of harm's way: curbing violence in the ED,"{""K. Sandrick""}",38,38,1.0
The incidence of contrast-induced nephropathy in trauma patients.,"{""Rich Sinert"",""Shoma Desai"",""Antonia Hipp"",""Carmen Lopez""}",39,39,1.0
Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted intensity modulated radiation therapy for squamous cell carcinoma of the anal canal,"{""Kooy H."",""Hong T.S."",""Symonifka J."",""Depauw N."",""Wo J.Y.""}",40,40,1.0
Brain BDNF levels elevation induced by physical training is reduced after unilateral common carotid artery occlusion in rats.,"{""Jacques Van Hoecke"",""Hayat Banoujaafar"",""Christine Marie"",""Claude M Mossiat""}",41,41,1.0
Multiresistance of clinically relevant gram-positive cocci,"{""G. Peters"",""K. Becker"",""C. Von Eiff""}",42,42,1.0
ColoRectal Cancer Predicted Risk Online (CRC-PRO) calculator using data from the Multi-Ethnic Cohort Study.,"{""Leila Jackson"",""Brian J Wells"",""Gregory S Cooper"",""Siran Koroukian"",""Michael W Kattan""}",43,43,1.0
Methodology to estimate building energy consumption using EnergyPlus Benchmark Models,"{""R. Luck"",""P. Mago"",""N. Fumo""}",44,44,1.0
Evidence that serum levels of the soluble receptor for advanced glycation end products are inversely associated with pancreatic cancer risk: a prospective study.,"{""Stephanie J Weinstein"",""Rachael Z Stolzenberg-Solomon"",""Philip R Taylor"",""Barry I Graubard"",""Jarmo Virtamo"",""Demetrius Albanes"",""Li Jiao""}",45,45,1.0
"Norton, Waterlow and Braden scores: a review of the literature and a comparison between the scores and clinical judgement",{NULL},46,46,1.0
"Strategies for partner notification for sexually transmitted infections, including HIV.","{""Catherine Mathews"",""Moleen Zunza"",""Adel Ferreira"",""Nicola Low"",""Taryn Young""}",47,47,1.0
A cohort study of the prevalence and impact of comorbid medical conditions in pediatric bipolar disorder.,"{""Roger S McIntyre"",""Avnish Tripathi"",""Jeanette M Jerrell""}",48,48,1.0
Are tkis still active in patients treated with tki and everolimus? Experience from 36 patients treated in france in the record 1 trial,"{""B. Escudier"",""A. Ravaud"",""F. Rolland"",""A. Blesius"",""B. Beuzelink"",""S. Oudard"",""C. Chevreau""}",49,49,1.0
Use of alendronate in peri-implant defect regeneration,"{""P. C. Wollan"",""S. J. Meraw"",""C. M. Reeve""}",50,50,1.0
"Prevention of phantom pain after major lower limb amputation by epidural infusion of diamorphine, clonidine and bupivacaine","{""Jayatunga AP"",""Dark CH"",""Jahangiri M"",""Bradley JWP""}",51,51,1.0
How assistive technology use by individuals with disabilities impacts their caregivers: a systematic review of the research evidence.,"{""James Lenker"",""W Ben Mortenson"",""Frank DeRuyter"",""Louise Demers"",""Jeffrey W Jutai"",""Marcus J Fuhrer""}",52,52,1.0
"Gender differences in personal, social and environmental influences on active travel to and from school for Australian adolescents.","{""John W Toumbourou"",""Eva Leslie"",""Peter Kremer"",""Joanne W Williams""}",53,53,1.0
Adolescent overscheduling: The relationship between levels of participation in scheduled activities and self-reported clinical symptomology,"{""Steven G Little"",""K Angeleque Akin-Little"",""Shari Melman""}",54,54,1.0
Quantitative Analysis of Robustness of Dynamic Response and Signal Transfer in Insulin mediated PI3K/AKT Pathway.,"{""Shibin Mathew"",""Ipsita Banerjee""}",55,55,1.0
Does neuraxial anesthesia reduce intraoperative blood loss? A meta-analysis.,"{""David N Maine"",""Genevieve E Courpas"",""James F Weller"",""Jeffrey M Richman"",""Andrew J Rowlingson"",""Christopher L Wu""}",56,56,1.0
Novel genetic linkage of rat Sp6 mutation to Amelogenesis imperfecta,"{""K. Miyoshi"",""T. Noma"",""T. Muto"",""H. Hagita"",""T. Horiguchi""}",57,57,1.0
"Educating Emergent Bilinguals: Policies, Programs, and Practices for English Language Learners. Language & Literacy Series","{""Ofelia Garcia"",""Jo Anne Kleifgen""}",58,58,1.0
Similar survival between uncemented and cemented fixation prostheses in total knee arthroplasty: a meta-analysis and systematic comparative analysis using registers.,"{""Junwei Jiang"",""Hongchuan Wang"",""Hua Lou"",""Kai Liu"",""Huiwei Zhang""}",59,59,1.0
Current palliative chemotherapy trials in the elderly neglect patient-centred outcome measures.,"{""Marlies L van Bekkum"",""Barbara C van Munster"",""Marije E Hamaker"",""Carolien H Smorenburg"",""Peter L M Thunnissen""}",60,60,1.0
Outcome of gastric bypass patients.,"{""Ryan Holzwarth"",""Basir Tareen"",""Alicia Majkrzak"",""Darren Huber""}",61,61,1.0
A Modified Technique for Pulmonary Valve Replacement with a Homograft,"{""S. K. Choudhary"",""G. S. Gulati"",""P. Sharma"",""S. Talwar"",""B. Airan"",""S. Mishra""}",62,62,1.0
"Advances in allergic skin disease, anaphylaxis, and hypersensitivity reactions to foods, drugs, and insects","{""S. H. Sicherer"",""D. Y. M. Leung""}",63,63,1.0
"Phase II study of epirubicin, oxaliplatin and docetaxel combination in metastatic gastric or gastroesophageal junction adenocarcinoma.","{""Laura Giacinti"",""Silvia Ileana Fattoruso"",""Maria Grazia Arena"",""Luigi Di Lauro"",""Massimo Lopez"",""Domenico Sergi"",""Diana Giannarelli""}",64,64,1.0
Neck pain.,"{""Allan I Binder""}",65,65,1.0
A guide to physiotherapy in cerebral palsy,"{""C. E. Barber""}",66,66,1.0
Community associated methicillin-resistant Staphylococcus aureus in HIV-infected patients,"{""M. Pujol"",""P. Barrag��n"",""J.M. Tiraboschi"",""A. Imaz"",""M.́. Dom�_nguez"",""D. Podzamczer""}",67,67,1.0
[The anxiety level of the patients who will have ultrasound-guided puncture biopsy: a survey study].,"{""Rujun Zheng"",""Yulan Peng"",""Shuzhen Zhao"",""Hong Huang"",""Ii Liang"",""Xiaoli He""}",68,68,1.0
The relationship between capsulorhexis size and anterior chamber depth relation.,"{""O Ceki̤"",""C Batman""}",69,69,1.0
"A pilot study of rituximab in patients with recurrent, classic Hodgkin disease.","{""Anas Younes"",""L Jeffrey Medeiros"",""Frederick Hagemeister"",""Maria Alma Rodriguez"",""Sima Jeha"",""Paolo Fiumara"",""Lynne V Abruzzo"",""John T Manning"",""Jorge Romaguera"",""Andre Goy"",""Dan Jones"",""Peter McLaughlin""}",70,70,1.0
A cognitive behavior intervention program in women with unexplained chest pain--a pilot study,"{""Cecilia Bj̦rkelund"",""Margaretha Jerlock""}",71,71,1.0
Assessing social isolation in motor neurone disease: a Rasch analysis of the MND Social Withdrawal Scale.,"{""Everard W Thornton"",""Carolyn A Young"",""Alan Tennant"",""John Ealing"",""Kevin Talbot"",""[Collective Name] UKMND-QoL Group"",""Chris J Gibbons"",""Pamela J Shaw""}",72,72,1.0
"Three-year Outcomes in de Novo Liver Transplant Patients     Receiving Everolimus with Reduced Tacrolimus: Follow-Up Results from     a Randomized, Multicenter Study","{""Junge G"",""Rauer B"",""De Simone P"",""Fischer L"",""De Carlis L"",""Kaiser GM"",""Saliba F"",""Duvoux C"",""Metselaar HJ"",""Dong G"",""Nevens F"",""Fung JJ""}",73,73,1.0
Plasma cell leukemia--a case report.,"{""T K Dutta"",""Pampa Ch Toi"",""Bhawana A Badhe"",""L H Ghotekar"",""Debdatta Basu""}",74,74,1.0
CABG again outshines stenting for some patients with coronary artery blockage,"{""M. Mitka""}",75,75,1.0
Health-promoting behaviors of low-income cancer survivors,"{""Alexa Stuifbergen"",""Martha Gene Meraviglia""}",76,76,1.0
Food allergy in children,"{""E. Bidat""}",77,77,1.0
"Here to stay. An interview with Dr. David Satcher, Director, U.S. Centers for Disease Control and Prevention.","{""J Stilkind""}",78,78,1.0
The first case of drug-induced immune hemolytic anemia due to hydrocortisone,"{""M. Martinengo"",""D. F. Ardenghi"",""G. Reali"",""G. Tripodi""}",79,79,1.0
KRAS mutational status assessment in patients with metastatic colorectal cancer: are the clinical implications so clear?,"{""M. Hebbar"",""P. Fournier"",""O. Romano""}",80,80,1.0
Classifying radiographic progression status in early rheumatoid arthritis patients using propensity scores to adjust for baseline differences.,"{""John T Sharp"",""Weng Kee Wong"",""Grace S Park"",""Harold E Paulus"",""MyungShin Oh"",""Richard H Gold"",""Dinesh Khanna""}",81,81,1.0
"Infusing Tolerance, Diversity, and Social Personal Curriculum into Inclusive Social Studies Classes Using Family Portraits and Contextual Teaching and Learning","{""Milagros M. Sessions"",""Kevin J. Miller""}",82,82,1.0
Adherence to fesoterodine in women with overactive bladder in routine clinical practice.,"{""E Huguet"",""O Porta"",""E Mart�_nez"",""I Mora"",""M Sim�_"",""J Pubill"",""J A Ortega"",""M T Castillo""}",83,83,1.0
Chronic pain related to quality of sleep,"{""W. Hummig"",""J. Stechman Neto"",""L. F. Tonial""}",84,84,1.0
On the role of pre and post-processing in environmental data mining,"{""Miquel S����nchez-Marr���"",""Geoff Holmes"",""Joaqu���_n Izquierdo"",""Joaquim Comas"",""Ioannis Athanasiadis"",""Karina Gibert""}",85,85,1.0
Cardioactive steroid poisoning: a comparison of plant- and animal-derived compounds.,"{""Robert S Hoffman"",""Brian W Cotter"",""Barbara M Kirrane"",""Fermin Barrueto"",""Lewis S Nelson""}",86,86,1.0
Forensic odontology: A prosthodontic view,"{""S. Gosavi"",""S. Gosavi""}",87,87,1.0
FIGO staging of gynecologic cancer. 1994-1997 FIGO Committee on Gynecologic Oncology. International Federation of Gynecology and Obstetrics,"{""W. T. Creasman"",""S. Pecorelli"",""J. L. Benedet"",""J. H. Shepherd""}",88,88,1.0
Effect of neuromuscular electrical stimulation and isotonic exercises in flexor and extensor muscles of knee of hemiplegic patients,"{""S. Regina-Ribeiro"",""C. Tortoza"",""R. P. S. Lima"",""S. T. T. de Freitas"",""P. R. Lucareli"",""M. O. Lima"",""M. T. Pacheco"",""J. Gomes-Lucareli"",""R. A. Lopes-Martins""}",89,89,1.0
Ventricular fibrillation in acute mitral valve insufficiency caused by chordae tendineae rupture: report of a surgically corrected case.,"{""Giovanni Teodori"",""Marta Leverone"",""Eraldo Occhetta"",""Miriam Bortnik"",""Paolo Marino"",""Marco Marcolongo""}",90,90,1.0
[Assessment of prognostic factors of thoracic synovial sarcoma].,"{""B H Mbatchou Ngahane"",""G Devouassoux"",""H Baudrand"",""B Guibert"",""N Freymond"",""Y Pacheco"",""A Traverse-Glehen""}",91,91,1.0
Secondary school tobacco policy and prevention curricula in South Carolina,"{""M. W. Martin"",""R. Saunders"",""S. Levin""}",92,92,1.0
Intimate Partner Violence Survivors' Unmet Social Service Needs,"{""Melissa E. Dichter"",""Karin V. Rhodes""}",93,93,1.0
Partial fill strategies for oral oncolytics to reduce waste and drive persistency,"{""A. A. Kaddis""}",94,94,1.0
The impact of advancing age on P-glycoprotein expression and activity: current knowledge and future directions,"{""A. A. Mangoni""}",95,95,1.0
Prevalence of allergic diseases in Poland - ECAP study,"{""N. Jakubik"",""L. Trzpil"",""F. Raciborski"",""U. Samolinska-Zawisza"",""L. Samoli̱ski"",""D. Paczesny"",""Z. Halat"",""J. Marszalkowska"",""B. Samolinski"",""P. Samel-Kowalik"",""A. Lusawa"",""J. Gutowska"",""A. Tomaszewska"",""A. Walkiewicz""}",96,96,1.0
The changing patterns of systemic fluoride intake,"{""B. A. Burt""}",97,97,1.0
Normal insulin sensitivity and IMCL content in overweight humans are associated with higher fasting lipid oxidation.,"{""Paola Scifo"",""Alessandro Del Maschio"",""Livio Luzi"",""Elena Meneghini"",""Alberto Battezzati"",""Gianluca Perseghin"",""Massimo Danna"",""Stefano Benedini""}",98,98,1.0
"Dietary practices of ballet, jazz, and modern dancers","{""Stensland SH"",""Sobal J""}",99,99,1.0
Iatrogenic perforation at colonic imaging.,{NULL},100,100,1.0
The embodied nature of medical concepts: Image schemas and language for pain,"{""M. Tercedor S��nchez"",""J.A. Prieto Velasco""}",101,101,1.0
Nasal steroids in snorers can decrease snoring frequency: a randomized placebo-controlled crossover trial,"{""A. Keliris"",""I. Koutsourelakis"",""A. Minaritzoglou"",""S. Zakynthinos""}",102,102,1.0
Risk of gestational diabetes mellitus in women with polycystic ovary syndrome: a systematic review and a meta-analysis.,"{""Christos A Venetis"",""Basil C Tarlatzis"",""Konstantinos A Toulis"",""Efstratios M Kolibianakis"",""Dimitrios G Goulis"",""Ioannis Papadimas""}",103,103,1.0
"Clinical pharmacokinetics of Icotinib, an anti-cancer drug: evaluation of dose proportionality, food effect, and tolerability in healthy subjects.","{""Fenlai Tan"",""Ji Jiang"",""Don Zhang"",""Dongyang Liu"",""Yingxiang Wang"",""Li Zhang"",""Pei Hu""}",104,104,1.0
"A qualitative exploration of the cancer experience among long-term survivors: comparisons by cancer type, ethnicity, gender, and age.","{""Sarah McGraw"",""Vida M Petronis"",""Charles S Carver"",""Nancy Avis"",""Kristie Long Foley"",""Deborah F Farmer"",""Roselyn G Smith"",""Kevin Smith""}",105,105,1.0
High intensity interval exercise training in overweight young women,"{""Y. Fengying"",""Y. Hainai"",""W. Jianxiong"",""T. Sijie""}",106,106,1.0
Effect of antibiotic prescribing in primary care on meticillin-resistant Staphylococcus aureus carriage in community-resident adults: a controlled observational study,"{""A. D. Hay"",""A. Lovering"",""C. Costelloe"",""A. Montgomery"",""D. Lewis"",""C. McNulty""}",107,107,1.0
Ghrelin improves left ventricular dysfunction and cardiac cachexia in heart failure.,"{""Noritoshi Nagaya"",""Kenji Kangawa""}",108,108,1.0
Pool fencing for preventing drowning in children.,"{""D C Thompson"",""F P Rivara""}",109,109,1.0
Intrinsically de-sialylated CD103(+) CD8 T cells mediate beneficial anti-glioma immune responses.,"{""HongQiang Wang"",""Dwain K Irvin"",""Ashley Gragg"",""Xiao-xue Zhang"",""Christopher J Wheeler"",""Keith L Black"",""Lucia Veiga"",""Ryan Cordner"",""Mandana Zandian"",""Akanksha Panwar"",""Emmanuel Jouanneau"",""Yuying Zhai"",""Shyam Goverdhana"",""Armen Mardiros""}",110,110,1.0
Mind the Gap: Difference between Framingham heart age and real age increases with age in HIV-positive individuals - A clinical cohort study,"{""T. L. Davies"",""B. Bovill"",""S. Johnston"",""M. T. May"",""M. Gompels""}",111,111,1.0
Cardiac atrophy in women following bed rest,"{""J. L. Hastings"",""G. Biolo"",""B. D. Levine"",""T. Tillery"",""R. M. Peshock"",""T. A. Dorfman"",""B. R. Macias"",""A. R. DA  - Jul DO  - 10.1152/japplphysiol.01162.2006 DP  - NLM ET  - 2007/03/24 Hargens"",""S. M. Schneider""}",112,112,1.0
Patent abstractsnull,{NULL},113,113,1.0
The value of a continuous ambulatory activity monitor to quantify the amount and intensity of daily activity in patients with rheumatoid arthritis.,"{""A H Zwinderman"",""M Munneke"",""G J Tijhuis"",""Z de Jong"",""J M Hazes"",""T P Vliet Vlieland""}",114,114,1.0
Antiplatelet therapy in patients with ST-elevation myocardial infarction undergoing myocardial revascularisation: Beyond clopidogrel.,{NULL},115,115,1.0
Thermoregulatory response of women to intermittent work in the heat,"{""B. L. Drinkwater"",""J. E. Denton"",""S. M. Horvath"",""P. B. Raven""}",116,116,1.0
Perceived barriers that impede provider relations and medication delivery: Hospice providers' experiences in nursing homes and private homes,"{""Denys T. Lau"",""Brass Buchanan Deandrea Glaser Guest Hodgson Huerta Lau Lau Miles Miller Parker-Oliver Raina Teno Weller Bostick"",""Celia Berdes"",""Jonathan Masin-Peters"",""Megan Ong""}",117,117,1.0
"Effet d'une intervention non m̩dicamenteuse, Voix d'Or�, sur les troubles du comportement dans la maladie d'Alzheimer ou une maladie apparent̩e. [Effect of a non-pharmacological intervention, Voix d'Or�, on behavior disturbances in Alzheimer disease and associated disorders.]","{""G̩raldine Martin-Gaujard"",""Floriane Delphin-Combe"",""Isabelle Rouch"",""Solveig Relland"",""Pierre Krolak-Salmon""}",118,118,1.0
The Hierarchical Organization of Intellectual Structures,"{""Sheldon H. White""}",119,119,1.0
Desflurane and isoflurane increase lumbar cerebrospinal fluid pressure in normocapnic patients undergoing transsphenoidal hypophysectomy.,"{""P Talke"",""J Caldwell"",""B Dodsont"",""C A Richardson""}",120,120,1.0
Pathways of care-seeking during fatal infant illnesses in under-resourced South African settings.,"{""Peter J Winch"",""Mickey Chopra"",""Cynthia S Minkovitz"",""Debra Jackson"",""Alyssa B Sharkey""}",121,121,1.0
Impact of education and provision of complementary feeding on growth and morbidity in children less than 2 years of age in developing countries: a systematic review.,"{""Jai K Das"",""Zohra S Lassi"",""Zulfiqar A Bhutta"",""Guleshehwar Zahid"",""Aamer Imdad""}",122,122,1.0
Sustained complete remission of a limited-stage blastic plasmacytoid dendritic cell neoplasm followed by a simultaneous combination of low-dose DeVIC therapy and radiation therapy: a case report and review of the literature.,"{""Yasunori Ota"",""Masaaki Noguchi"",""Kei-Ji Sugimoto"",""Hiroshi Izumi"",""Norio Komatsu"",""Nanae Yamaguchi"",""Hidenori Imai"",""Asami Shimada"",""Yasunobu Sekiguchi"",""Mutsumi Wakabayashi""}",123,123,1.0
Primary vaginal cancer and chemoradiotherapy: a patterns-of-care analysis,"{""A. J. Ghia"",""V. J. Gonzalez"",""J. D. Tward"",""A. M. Stroup"",""D. K. Gaffney"",""L. Pappas""}",124,124,1.0
[Neurological dysfunction induced by bilirrubin].,"{""V Cus�_"",""H Galvez"",""M Iriondo"",""J Campistol"",""I M��laga"",""A Garc�_a Cazorla""}",125,125,1.0
A comparison of recovery characteristics of sevoflurane and propofol-remifentanil anesthesia in geriatric patients,"{""A. Erol"",""J. B. Celik"",""I. Kara"",""A. Topal"",""S. Guven""}",126,126,1.0
Data mining usage in health care management: literature survey and decision tree application,"{""M. P. Bach"",""D. Cosic""}",127,127,1.0
Predicting infection in localized intraabdominal fluid collections: value of pH and pO2 measurements.,"{""D J Sadler"",""R R Gray"",""B D Schouten"",""J M Bohnen"",""J K Wong"",""R Mustard"",""G Doyle"",""R A Pugash"",""J Sanabria""}",128,128,1.0
Antivitamin K drugs in stroke prevention,"{""di Raimondo D."",""Pinto A."",""Lucifora B."",""Tuttolomondo A."",""Licata G."",""Butt�� C.""}",129,129,1.0
Teaching medical student geriatrics competencies in 1 week: an efficient model to teach and document selected competencies using clinical and community resources,"{""Jamehl L. Demons"",""Jeff D. Williamson"",""Kathryn E. Callahan"",""James Lovato"",""Janice S. Lawlor"",""Hal H. Atkinson"",""Ann Lambros"",""Franklin S. Watkins"",""Kaycee M. Sink"",""Brooke R. Davis"",""Mary F. Lyles""}",130,130,1.0
Low prevalence and increased household clustering of Mycobacterium tuberculosis infection in high altitude villages in Peru.,"{""Mayuko Saito"",""Susan Olender"",""Robert H Gilman"",""Christian T Bautista"",""Evelyn J Hsieh"",""Luz Caviedes"",""Kari Gillenwater"",""Jane Apgar"",""Pedro Moro"",""Andres G Lescano""}",131,131,1.0
A literature review on chronic pain: the daily overcoming of a complex problem.,{NULL},132,132,1.0
" Mobilisation with movement and exercise, corticosteroid injection, or wait and see for tennis elbow","{""Vicenzino B Bisset L, Beller E, Jull G, Brooks P, Darnell R""}",133,133,1.0
Clinical outcomes and cost-effectiveness of strategies for managing people at high risk for diabetes (Structured abstract),"{""L. Schlessinger"",""D. M. Eddy"",""R. Kahn""}",134,134,1.0
Soleus Hoffmann-reflex modulation during walking in healthy elderly and young adults.,"{""G R Chalmers"",""K M Knutzen""}",135,135,1.0
CT false-profile view of the hip: a reproducible method of measuring anterior acetabular coverage using volume CT data.,"{""Dominic S Carreira"",""Ross M Borzykowski"",""John Kozy"",""Steven D Needell""}",136,136,1.0
A pharmacoeconomic evaluation of statins in the treatment of hypercholesterolaemia in the primary care setting in Spain (Structured abstract),"{""P. Tarraga-Lopez"",""J. M. Ocana-Lopez"",""J. Miguel-Clave"",""J. Solera-Albero"",""M. Cerdan-Oliver"",""M. A. Lopez-Cara"",""A. Celada-Rodriguez""}",137,137,1.0
