Actors,Cast,original_index,unique_index
"Kevin Bacon,Linda Fiorentino,John Malkovich","Kevin Bacon,Linda Fiorentino,John Malkovich,Joe Mantegna,Ken Olin,Tony Spiridakis,Tom Waits,Chloe Webb,Jamie Lee Curtis,Michael Zelniker,Kelly Bishop,Terry Kinney,Ed Marinaro,Wendy Gazelle,Jodie Markell",10,10
"Allison Anders,Jane Anderson,Doug Atchison","Allison Anders,Jane Anderson,Doug Atchison,John August,Shane Black,John D. Brancato,John Carpenter,Larry Cohen,Frank Darabont,Steven E. de Souza,Gerald Di Pego,Mark Fergus,Antwone Fisher,Naomi Foner,Joe Forte",11,11
"Gene Hackman,Gwyneth Paltrow,Anjelica Huston","Gene Hackman,Anjelica Huston,Ben Stiller,Gwyneth Paltrow,Luke Wilson,Owen Wilson,Bill Murray,Danny Glover,Seymour Cassel,Kumar Pallana,Alec Baldwin,Grant Rosenmeyer,Jonah Meyerson,Aram Aslanian-Persico,Irina Gorovaia",12,12
"Matt Damon,Édgar Ramírez,Joan Allen","Matt Damon,Julia Stiles,David Strathairn,Scott Glenn,Paddy Considine,Édgar Ramírez,Albert Finney,Joan Allen,Tom Gallop,Corey Johnson,Daniel Brühl,Joey Ansah,Colin Stinton,Dan Fredenburgh,Lucy Liemann",13,13
"Michael Douglas,Sharon Stone,George Dzundza","Michael Douglas,Sharon Stone,George Dzundza,Jeanne Tripplehorn,Denis Arndt,Leilani Sarelle,Bruce A. Young,Chelcie Ross,Dorothy Malone,Wayne Knight,Daniel von Bargen,Stephen Tobolowsky,Benjamin Mouton,Jack McGee,Bill Cable",14,14
"Richard Gere,Diane Lane,Olivier Martinez","Diane Lane,Erik Per Sullivan,Richard Gere,Olivier Martinez,Myra Lucretia Taylor,Michelle Monaghan,Chad Lowe,Joseph Badalucco Jr.,Erich Anderson,Damon Gupton,Kate Burton,Margaret Colin,Marc Forget,Larry Gleason,Dominic Chianese",15,15
"Angelina Jolie,Gerard Butler,Chris Barrie","Angelina Jolie,Gerard Butler,Ciarán Hinds,Chris Barrie,Noah Taylor,Djimon Hounsou,Til Schweiger,Simon Yam,Terence Yin,Daniel Caltagirone,Fabiano Martell,Jonny Coyne,Robert Cavanah,Ronan Vibert,Lenny Juma",16,16
"Brendan Fraser,Rachel Weisz,John Hannah","Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,Kevin J. O'Connor,Jonathan Hyde,Oded Fehr,Erick Avari,Stephen Dunham,Corey Johnson,Tuc Watkins,Omid Djalili,Aharon Ipalé,Bernard Fox,Patricia Velasquez",17,17
"Kate Beckinsale,Scott Speedman,Shane Brolly","Kate Beckinsale,Scott Speedman,Michael Sheen,Shane Brolly,Bill Nighy,Erwin Leder,Sophia Myles,Robbie Gee,Wentworth Miller,Kevin Grevioux,Zita Görög,Dennis J. Kozeluh,Scott McElroy,Todd Schneider,Sándor Bolla",18,18
"Kate Beckinsale,Scott Speedman,Bill Nighy","Kate Beckinsale,Scott Speedman,Tony Curran,Derek Jacobi,Bill Nighy,Steven Mackintosh,Shane Brolly,Brian Steele,Zita Görög,Scott McElroy,John Mann,Michael Sheen,Sophia Myles,Richard Cetrone,Mike Mukatis",19,19
"Steve Carell,Jason Segel,Russell Brand","Steve Carell,Jason Segel,Russell Brand,Julie Andrews,Will Arnett,Kristen Wiig,Miranda Cosgrove,Dana Gaier,Elsie Fisher,Pierre Coffin,Chris Renaud,Jemaine Clement,Jack McBrayer,Danny McBride,Mindy Kaling",20,20
"Billy Crystal,John Goodman,Steve Buscemi","Billy Crystal,John Goodman,Steve Buscemi,Helen Mirren,Peter Sohn,Joel Murray,Sean Hayes,Dave Foley,Charlie Day,Alfred Molina,Tyler Labine,Nathan Fillion,Aubrey Plaza,Bobby Moynihan,Noah Johnston",21,21
"Tom Hanks,Tim Allen,Joan Cusack","Tom Hanks,Tim Allen,Joan Cusack,Kelsey Grammer,Don Rickles,Jim Varney,Wallace Shawn,John Ratzenberger,Annie Potts,Wayne Knight,John Morris,Laurie Metcalf,Estelle Harris,R. Lee Ermey,Jodi Benson",22,22
"Michael Shannon,Willem Dafoe,Chloë Sevigny","Michael Shannon,Willem Dafoe,Chloë Sevigny,Udo Kier,Michael Peña,Grace Zabriskie,Brad Dourif,Irma P. Hall,Loretta Devine,Candice Coke,Gabriel Pimentel,Braden Lynch,James C. Burns,Noel Arthur,Julius Morck",23,23
"Nicolas Cage,Eva Mendes,Russell M. Haeuser","Nicolas Cage,Eva Mendes,Val Kilmer,Xzibit,Fairuza Balk,Shawn Hatosy,Jennifer Coolidge,Tom Bower,Vondie Curtis-Hall,Brad Dourif,Denzel Whitaker,Irma P. Hall,Shea Whigham,Michael Shannon,Joe Nemmers",24,24
"Daniel Craig,Javier Bardem,Naomie Harris","Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes,Naomie Harris,Bérénice Marlohe,Albert Finney,Ben Whishaw,Rory Kinnear,Ola Rapace,Helen McCrory,Nicholas Woodeson,Bill Buckhurst,Elize du Toit,Ian Bonar",25,25
"Wesley Snipes,Stephen Dorff,Kris Kristofferson","Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright,Donal Logue,Udo Kier,Arly Jover,Traci Lords,Kevin Patrick Walls,Tim Guinee,Sanaa Lathan,Eric Edwards,Donna Wong,Carmen Thomas,Shannon Lee",26,26
"Ernest Adams,Scott Adams,Hollywood Anderson","Ernest Adams,Scott Adams,Hollywood Anderson,Jim Aspnes,Richard Bartle,Bob Bates,Michael Berlyn,Marc Blank,Ian Bogost,Amy Briggs,Tom Brucker,Mary Ann Buckles,Adam Cadre,David Cornelson,Chris Crawford",27,27
"Bill Carlton,Robert Mruczek,Terry Nelson","Bill Carlton,Robert Mruczek,Terry Nelson,Todd Rogers,Jayson Smith,Alison Vick,Jordan Vick",28,28
"Tom Cruise,Cobie Smulders,Danika Yarosh","Tom Cruise,Cobie Smulders,Danika Yarosh,Aldis Hodge",29,29
"Tom Cruise,Ken Watanabe,Billy Connolly","Ken Watanabe,Tom Cruise,William Atherton,Chad Lindberg,Ray Godshall Sr.,Billy Connolly,Tony Goldwyn,Masato Harada,Masashi Odate,John Koyama,Timothy Spall,Shichinosuke Nakamura,Togo Igawa,Satoshi Nikaido,Shintaro Wada",30,30
"Tom Cruise,Tim Robbins,Kelly McGillis","Tom Cruise,Kelly McGillis,Val Kilmer,Anthony Edwards,Tom Skerritt,Michael Ironside,John Stockwell,Barry Tubb,Rick Rossovich,Tim Robbins,Clarence Gilyard Jr.,Whip Hubley,James Tolkan,Meg Ryan,Adrian Pasdar",31,31
"Robin Williams,Cuba Gooding Jr.,Annabella Sciorra","Robin Williams,Cuba Gooding Jr.,Annabella Sciorra,Max von Sydow,Jessica Brooks Grant,Josh Paddock,Rosalind Chao,Lucinda Jenney,Maggie McCarthy,Wilma Bonet,Matt Salinger,Carin Sprague,June Carryl,Paul P. Card IV,Werner Herzog",32,32
"Barbra Streisand,Walter Matthau,Michael Crawford","Barbra Streisand,Walter Matthau,Michael Crawford,Marianne McAndrew,Danny Lockin,E.J. Peaker,Joyce Ames,Tommy Tune,Judy Knaiz,David Hurst,Fritz Feld,Richard Collier,J. Pat O'Malley,Louis Armstrong",33,33
"Barbra Streisand,Omar Sharif,Kay Medford","Barbra Streisand,Omar Sharif,Kay Medford,Anne Francis,Walter Pidgeon,Lee Allen,Mae Questel,Gerald Mohr,Frank Faylen,Mittie Lawrence,Gertrude Flynn,Penny Santon,John Harmon,Thordis Brandt,Bettina Brenna",34,34
"Humphrey Bogart,Ingrid Bergman,Paul Henreid","Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Conrad Veidt,Sydney Greenstreet,Peter Lorre,S.Z. Sakall,Madeleine Lebeau,Dooley Wilson,Joy Page,John Qualen,Leonid Kinskey,Curt Bois",35,35
"Keir Dullea,Gary Lockwood,William Sylvester","Keir Dullea,Gary Lockwood,William Sylvester,Daniel Richter,Leonard Rossiter,Margaret Tyzack,Robert Beatty,Sean Sullivan,Douglas Rain,Frank Miller,Bill Weston,Ed Bishop,Glenn Beck,Alan Gifford,Ann Gillis",36,36
"Ellen Burstyn,Jared Leto,Jennifer Connelly","Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans,Christopher McDonald,Louise Lasser,Marcia Jean Kurtz,Janet Sarno,Suzanne Shepherd,Joanne Gordon,Charlotte Aronofsky,Mark Margolis,Michael Kaycheck,Jack O'Connell,Chas Mastin",37,37
"Isabella Rossellini,Kyle MacLachlan,Dennis Hopper","Isabella Rossellini,Kyle MacLachlan,Dennis Hopper,Laura Dern,Hope Lange,Dean Stockwell,George Dickerson,Priscilla Pointer,Frances Bay,Jack Harvey,Ken Stovitz,Brad Dourif,Jack Nance,J. Michael Hunter,Dick Green",38,38
"Tom Cruise,Nicole Kidman,Todd Field","Tom Cruise,Nicole Kidman,Sydney Pollack,Marie Richardson,Rade Serbedzija,Todd Field,Vinessa Shaw,Sky du Mont,Fay Masterson,Leelee Sobieski,Thomas Gibson,Madison Eginton,Jackie Sawiris,Leslie Lowe,Peter Benson",39,39
"James Mason,Shelley Winters,Sue Lyon","James Mason,Shelley Winters,Sue Lyon,Gary Cockrell,Jerry Stovin,Diana Decker,Lois Maxwell,Cec Linder,Bill Greene,Shirley Douglas,Marianne Stone,Marion Mathie,James Dyrenforth,Maxine Holden,John Harrison",40,40
"Anne Chevalier,Matahi,Hitu","Matahi,Anne Chevalier,Bill Bambridge,Hitu",41,41
"Elijah Wood,Rainn Wilson,Alison Pill","Elijah Wood,Rainn Wilson,Alison Pill,Jack McBrayer,Leigh Whannell,Nasim Pedrad,Ian Brennan,Jorge Garcia,Cooper Roth,Miles Elliot,Morgan Lily,Sunny May Allison,Armani Jackson,Peter Kwong,Kate Flannery",42,42
"Steve Wiebe,Billy Mitchell,Mark Alpiger","Steve Wiebe,Mark Alpiger,Adam Wood,Walter Day,Steve Sanders,Steven Krogman,Robert Mruczek,Doris Self,Todd Rogers,Brian Kuh,Zack Hample,Billy Mitchell,Barbara Mitchell,Jon Farley,Nicole Wiebe",43,43
"Dan Bustard,Ashley Esqueda,Andrew Monkelban","Dan Bustard,Ashley Esqueda,Andrew Monkelban,Nick Yee",44,44
"Thor Aackerlund,Pat Contri,Harry Hong","Thor Aackerlund,Pat Contri,Harry Hong,Jesse Kelkar,Robin Mihara,Ben Mullen,Jonas Neubauer,Alexey Pazhitnov,Henk Rogers,Chris Tang,Dana Wilcox",45,45
"Bryan Armitage,Nathan Barnatt,Chris Connally","Bryan Armitage,Nathan Barnatt,Chris Connally,Dave Danzara,Walter Day,Paul Dean,Cat DeSpira,Joshua Docherty,Chris Donner,Keith Elliott,Ben Gold,Rachel Green,Zack Green,Kalan Harvest,Steve Hertz",46,46
"Skip Lipman,Kenyon Wells,Daniel McArthur","Skip Lipman,Kenyon Wells,Daniel McArthur,Rebecca Thurmond,James Iddings,Gary Black,Domenic Prince,Andrew Mattingly,Frank Kanach,Leah Kanach,Michael Wells,Nancy Lee Wells",47,47
"Chris Alcott,Pete Ashdown,Jean Baudin","Chris Alcott,Pete Ashdown,Jean Baudin,Deb Bazzano,Tom Bazzano,Tim Burnham,Randall Christie,Damon Claussen,Mark Davidson,Paul Dean,Mark Dreher,Walt Granacki,Dan Gutchess,Jeff Hendrix,Steve Hertz",48,48
"Ralph H. Baer,Tim Balderamos,Greg Bond","Ralph H. Baer,Tim Balderamos,Greg Bond,Jerry Buckner,Hank Chien,Walter Day,Ben Gold,Donald Hayes,Leonard Herman,Eugene Jarvis,Isaiah TriForce Johnson,Richie Knucklez,George Leutz,Dale Levin,Ryan McLelland",49,49
"Ross Partridge,Oona Laurence,Tom Bower","Ross Partridge,Oona Laurence,Tom Bower,Ron Burkhardt,Jennifer Lafleur,Scoot McNairy,Joel Murray,Lindsay Pulsipher,Jennifer Spriggs,Jess Weixler",50,50
"Lorenza Izzo,Ariel Levy,Aaron Burns","Lorenza Izzo,Ariel Levy,Aaron Burns,Kirby Bliss Blanton,Magda Apanowicz,Ignacia Allamand,Daryl Sabara,Nicolás Martínez,Sky Ferreira,Eusebio Arenas,Richard Burgi,Matías López,Ramón Llao,Antonieta Pari,John Mark Allan",51,51
"Tom Hanks,Elizabeth Perkins,Robert Loggia","Tom Hanks,Elizabeth Perkins,Robert Loggia,John Heard,Jared Rushton,David Moscow,Jon Lovitz,Mercedes Ruehl,Josh Clark,Kimberlee M. Davis,Oliver Block,Erika Katz,Allan Wasserman,Mark Ballou,Gary Howard Klar",52,52
"Angelina Jolie,Ethan Hawke,Kiefer Sutherland","Angelina Jolie,Ethan Hawke,Kiefer Sutherland,Gena Rowlands,Olivier Martinez,Tchéky Karyo,Jean-Hugues Anglade,Paul Dano,Justin Chatwin,André Lacoste,Billy Two Rivers,Richard Lemire,Julien Poulin,Marie-Josée Croze,Christian Tessier",53,53
"Winona Ryder,Angelina Jolie,Clea DuVall","Winona Ryder,Angelina Jolie,Clea DuVall,Brittany Murphy,Elisabeth Moss,Jared Leto,Jeffrey Tambor,Vanessa Redgrave,Whoopi Goldberg,Angela Bettis,Jillian Armenante,Drucie McDaniel,Alison Claire,Christina Myers,Joanna Kerns",54,54
"Jim Sturgess,Hugo Weaving,David Wenham","Emily Barclay,Abbie Cornish,Essie Davis,Adrienne DeFaria,Joel Edgerton,Deborra-Lee Furness,Sacha Horler,Bill Hunter,Ryan Kwanten,Anthony LaPaglia,Miriam Margolyes,Helen Mirren,Sam Neill,Barry Otto,Richard Roxburgh",55,55
"George Clooney,Meryl Streep,Bill Murray","George Clooney,Meryl Streep,Jason Schwartzman,Bill Murray,Wallace Wolodarsky,Eric Chase Anderson,Michael Gambon,Willem Dafoe,Owen Wilson,Jarvis Cocker,Wes Anderson,Karen Duffy,Robin Hurlstone,Hugo Guinness,Helen McCrory",56,56
"Sanaa Lathan,Michael Ealy,Morris Chestnut","Sanaa Lathan,Michael Ealy,Morris Chestnut,L. Scott Caldwell,Charles S. Dutton,John Getz,Tess Harper,Kathryn Morris,Rutina Wesley,Holt McCallany,Jessica Parker Kennedy,David Starzyk,Ronnie Gene Blevins,Wilmer Calderon,Gordon Clapp",57,57
"Henry Cavill,Mickey Rourke,John Hurt","Henry Cavill,Mickey Rourke,Stephen Dorff,Freida Pinto,Luke Evans,John Hurt,Joseph Morgan,Anne Day-Jones,Greg Bryk,Alan Van Sprang,Peter Stebbings,Daniel Sharman,Isabel Lucas,Kellan Lutz,Steve Byers",58,58
"Alexander Skarsgård,Andrea Riseborough,Emily Alyn Lind","Alexander Skarsgård,Andrea Riseborough,Emily Alyn Lind,Heather Doerksen,David Lewis,William Ainscough,Steven Elliot",59,59
"Jesse Eisenberg,Kristen Stewart,Connie Britton","Jesse Eisenberg,Kristen Stewart,Topher Grace,Connie Britton,Walton Goggins,John Leguizamo,Bill Pullman,Tony Hale,Stuart Greer,Michael Papajohn,Monique Ganderton,Nash Edgerton,Paul Andrew O'Connor,Freddie Poole,Ilram Choi",60,60
"Zach Galligan,Phoebe Cates,John Glover","Zach Galligan,Phoebe Cates,John Glover,Robert Prosky,Robert Picardo,Christopher Lee,Haviland Morris,Dick Miller,Jackie Joseph,Gedde Watanabe,Keye Luke,Kathleen Freeman,Don Stanton,Dan Stanton,Shawn Nelson",61,61
"JoBeth Williams,Heather O'Rourke,Craig T. Nelson","Craig T. Nelson,JoBeth Williams,Beatrice Straight,Dominique Dunne,Oliver Robins,Heather O'Rourke,Michael McManus,Virginia Kiser,Martin Casella,Richard Lawson,Zelda Rubinstein,James Karen,Lou Perryman,Clair E. Leucart,Dirk Blocker",62,62
"Bill Murray,Karen Allen,John Forsythe","Bill Murray,Karen Allen,John Forsythe,John Glover,Bobcat Goldthwait,David Johansen,Carol Kane,Robert Mitchum,Nicholas Phillips,Michael J. Pollard,Alfre Woodard,Mabel King,John Murray,Jamie Farr,Robert Goulet",63,63
"Halle Berry,Sharon Stone,Benjamin Bratt","Halle Berry,Benjamin Bratt,Sharon Stone,Lambert Wilson,Frances Conroy,Alex Borstein,Michael Massee,Byron Mann,Kim Smith,Christopher Heyerdahl,Peter Wingfield,Berend McKenzie,Chase Nelson-Murray,Manny Petruzzelli,Harley Reiner",64,64
"Joe Don Baker,Rossano Brazzi,Venantino Venantini","Joe Don Baker,Rossano Brazzi,Venantino Venantini,Patrizia Pellegrino,Bill McKinney,Helena Abella,Lino Grech,Tony Ellul,Joe Theuma,Bettina Amato-Gauci,Joe Quattromani,Odetta Balzan,Josie Coppini,John Suda,Elvisio Cannori",65,65
"Carlos Leon,Eric Smith,Jackie Quinones","Carlos Leon,Eric Smith,Jackie Quinones,Sherri Saum,Geronimo Frias,Antonio Macia,Janice Richardson,Julia Moran,Omas Diaz,David Zayas,David Cera,Zhamyr 'Summy' Cueva,Kamau Hervert,Charles Holt,'Nesta' Ward",66,66
"Cicely Tyson,Paul Winfield,Kevin Hooks","Cicely Tyson,Paul Winfield,Kevin Hooks,Carmen Mathews,Taj Mahal,James Best,Eric Hooks,Yvonne Jarrell,Sylvia Kuumba Williams,Teddy Airhart,Richard Durham,Wendell Brumfield,Al Bankston,Myrl Sharkey,Inez Durham",67,67
"Spencer Tracy,Freddie Bartholomew,Lionel Barrymore","Freddie Bartholomew,Spencer Tracy,Lionel Barrymore,Melvyn Douglas,Charley Grapewin,Mickey Rooney,John Carradine,Oscar O'Shea,Jack La Rue,Walter Kingsford,Donald Briggs,Sam McDaniel,Bill Burrud",68,68
"Bette Davis,Franchot Tone,Margaret Lindsay","Bette Davis,Franchot Tone,Margaret Lindsay,Alison Skipworth,John Eldredge,Dick Foran,Walter Walker,Richard Carle,George Irving,Pierre Watkin,Douglas Wood,William B. Davidson",69,69
"Bette Davis,Miriam Hopkins,Gig Young","Bette Davis,Miriam Hopkins,Gig Young,John Loder,Dolores Moran,Phillip Reed,Roscoe Karns,Anne Revere,Esther Dale",70,70
"Arnold Schwarzenegger,Danny DeVito,Emma Thompson","Arnold Schwarzenegger,Danny DeVito,Emma Thompson,Frank Langella,Pamela Reed,Aida Turturro,James Eckhouse,Megan Cavanagh,Welker White,Kathleen Chalfant,Merle Kennedy,Judy Collins,Mindy Seeger,Christopher Meloni,Antoinette Peragine",71,71
"Bette Davis,Susan Hayward,Mike Connors","Susan Hayward,Bette Davis,Mike Connors,Joey Heatherton,Jane Greer,DeForest Kelley,George Macready,Anne Seymour,Willis Bouchey,Walter Reed,Ann Doran,Bartlett Robinson,Whit Bissell,Anthony Caruso",72,72
"Betty Compson,Conrad Nagel,Robert Ames","Betty Compson,Conrad Nagel,Robert Ames,Robert Emmett O'Connor,Bodil Rosing,Dickie Moore,Fred Santley",73,73
"Walter Pidgeon,Ann Harding,Barry Sullivan","Walter Pidgeon,Ann Harding,Barry Sullivan,Keefe Brasselle,Lewis Stone,Eduard Franz,Richard Anderson,Dawn Addams,Philip Ober,Konstantin Shayne,Mari Blanchard,Don Beddoe,John Maxwell,Robert Williams",74,74
"Dorothy Jordan,Eric Linden,Purnell Pratt","Dorothy Jordan,Eric Linden,Purnell Pratt,Roscoe Ates,David Landau,Bruce Cabot,Phyllis Clare,Gustav von Seyffertitz,Roscoe Karns,William Morris,Frank Sheridan,Carl Gerard",75,75
"Jack Pearl,Jimmy Durante,Zasu Pitts","Jack Pearl,Jimmy Durante,Zasu Pitts,Ted Healy,Edna May Oliver,The Metro-Goldwyn-Mayer Girls,Henry Kolker,William B. Davidson,Moe Howard,Larry Fine,Curly Howard,Ben Bard",76,76
"Bud Abbott,Lou Costello,Lee Bowman","Bud Abbott,Lou Costello,Lee Bowman,Jane Frazee,Alan Curtis,Nat Pendleton,The Andrews Sisters,Laverne Andrews,Maxene Andrews,Patty Andrews,Samuel S. Hinds,Harry Strang,Nella Walker,Leonard Elliott,Shemp Howard",77,77
"Bud Abbott,Lou Costello,Peggy Ryan","Bud Abbott,Lou Costello,Peggy Ryan,Martha O'Driscoll,June Vincent,Lon Chaney Jr.,Donald Cook,Charles Dingle,Richard Lane,Joe Kirk,Bill Stern,Phil Spitalny,Evelyn Kaye Klein,Ruth Lee,Phil Spitalny and His All-Girl Orchestra",78,78
"Bud Abbott,Lou Costello,Fred Clark","Bud Abbott,Lou Costello,Fred Clark,Lynn Bari,Maxie Rosenbloom,Harold Goodwin,Roscoe Ates,Mack Sennett,Heinie Conklin,Hank Mann",79,79
"Margarita Fischer,James B. Lowe,Arthur Edmund Carewe","Margarita Fischer,James B. Lowe,Arthur Edmund Carewe,George Siegmann,Eulalie Jensen,Mona Ray,Virginia Grey,Lassie Lou Ahern,Lucien Littlefield,Adolph Milar,J. Gordon Russell,Gertrude Howard,Jack Mower,Vivien Oakland,John Roche",80,80
"Yul Brynner,George Chakiris,Shirley Anne Field","Yul Brynner,George Chakiris,Shirley Anne Field,Richard Basehart,Brad Dexter,Barry Morse,Armando Silvestre,Leo Gordon,Victoria Vetri,Rudy Solari,Ford Rainey,Angel Di Steffano,José Moreno",81,81
"Yul Brynner,Richard Widmark,George Chakiris","Yul Brynner,Richard Widmark,George Chakiris,Suzy Parker,Shirley Knight,Danièle Gaubert,Eiko Taki,Joe Di Reda,Mitsuhiro Sugiyama,E.S. Ince,Andrew Hughes,William Ross,June Shelley",82,82
"Lesley-Anne Down,Frank Langella,Maurice Ronet","Lesley-Anne Down,Frank Langella,Maurice Ronet,John Gielgud,Vic Tablian,Martin Benson,John Rhys-Davies,Nadim Sawalha,Tutte Lemkow,Saeed Jaffrey,Eileen Way,William Hootkins,Mark Kingston,James Cossins,Victoria Tennant",83,83
"Christopher Reeve,Vanessa Redgrave,Jessica Tandy","Christopher Reeve,Vanessa Redgrave,Jessica Tandy,Madeleine Potter,Nancy Marchand,Wesley Addy,Barbara Bryne,Linda Hunt,Charles McCaughan,Nancy New,Jon Van Ness,Wallace Shawn,Peter Bogyo,Martha Farrar,Dusty Maxwell",84,84
"Paul Newman,Sally Field,Bob Balaban","Paul Newman,Sally Field,Bob Balaban,Melinda Dillon,Luther Adler,Barry Primus,Josef Sommer,John Harkins,Don Hood,Wilford Brimley,Arnie Ross,Phanie Napoli,Shelley Spurlock,Shawn McAllister,Joe Petrullo",85,85
"Paul Newman,Melvyn Douglas,Patricia Neal","Paul Newman,Melvyn Douglas,Patricia Neal,Brandon De Wilde,Whit Bissell,Crahan Denton,John Ashley,Val Avery,George Petrie,Curt Conway,Sheldon Allman,Pitt Herbert,Carl Low,Robert Hinkle,Don Kennedy",86,86
"Joel McCrea,Veronica Lake,Robert Warwick","Joel McCrea,Veronica Lake,Robert Warwick,William Demarest,Franklin Pangborn,Porter Hall,Byron Foulger,Margaret Hayes,Robert Greig,Eric Blore,Torben Meyer,Victor Potel,Richard Webb,Charles R. Moore,Almira Sessions",87,87
"Gary Cooper,Madeleine Carroll,Paulette Goddard","Gary Cooper,Madeleine Carroll,Paulette Goddard,Preston Foster,Robert Preston,George Bancroft,Lynne Overman,Akim Tamiroff,Walter Hampden,Lon Chaney Jr.,Montagu Love,Francis McDonald,George E. Stone,Willard Robertson,Regis Toomey",88,88
"Errol Flynn,Miriam Hopkins,Randolph Scott","Errol Flynn,Miriam Hopkins,Randolph Scott,Humphrey Bogart,Frank McHugh,Alan Hale,Guinn 'Big Boy' Williams,John Litel,Douglass Dumbrille,Moroni Olsen,Russell Hicks,Dickie Jones,Frank Wilcox,Russell Simpson,Victor Kilian",89,89
"Spencer Tracy,Nancy Kelly,Richard Greene","Spencer Tracy,Nancy Kelly,Richard Greene,Walter Brennan,Charles Coburn,Cedric Hardwicke,Henry Hull,Henry Travers,Miles Mander,David Torrence,Holmes Herbert,C. Montague Shaw,Brandon Hurst,Hassan Said,Paul Harvey",90,90
"Glenn Ford,Bette Davis,Hope Lange","Glenn Ford,Bette Davis,Hope Lange,Arthur O'Connell,Peter Falk,Thomas Mitchell,Edward Everett Horton,Mickey Shaughnessy,David Brian,Sheldon Leonard,Peter Mann,Ann-Margret,Barton MacLane,John Litel,Jerome Cowan",91,91
"Gary Cooper,Jean Arthur,George Bancroft","Gary Cooper,Jean Arthur,George Bancroft,Lionel Stander,Douglass Dumbrille,Raymond Walburn,H.B. Warner,Ruth Donnelly,Walter Catlett,John Wray",92,92
"Jean Harlow,Loretta Young,Robert Williams","Loretta Young,Robert Williams,Jean Harlow,Halliwell Hobbes,Reginald Owen,Edmund Breese,Don Dillaway,Walter Catlett,Claud Allister,Louise Closser Hale",93,93
"Barbara Stanwyck,David Manners,Sam Hardy","Barbara Stanwyck,David Manners,Sam Hardy,Beryl Mercer,Russell Hopton,Charles Middleton,Eddie Boland,Thelma Hill",94,94
