Release Date,Language,original_index,unique_index
September 1984 (UK),English,84,83
18 December 1981 (USA),"English,Spanish",85,84
29 May 1963 (USA),English,86,85
December 1941 (USA),English,87,86
22 October 1940 (USA),English,88,87
23 March 1940 (USA),English,89,88
18 August 1939 (USA),English,90,89
15 February 1962 (Japan),"English,American Sign Language,Spanish",91,90
12 April 1936 (USA),English,92,91
31 October 1931 (USA),English,93,92
7 August 1931 (USA),English,94,93
25 March 1932 (USA),English,95,94
December 1933 (UK),"English,French",96,95
29 October 1932 (USA),English,97,96
30 June 1933 (USA),English,98,97
17 June 1933 (USA),"English,German",99,98
28 October 1933 (USA),English,100,99
17 November 1939 (USA),"English,Spanish",101,100
23 May 1941 (USA),English,102,101
9 November 1934 (USA),"English,French",103,102
November 1941 (USA),English,104,103
21 November 1980 (USA),"English,French,German,Italian",105,104
2017 (USA),English,106,105
7 July 1989 (USA),"English,Afrikaans",107,106
4 August 1999 (France),English,108,107
18 June 1994 (USA),English,109,108
5 October 1990 (USA),"English,Italian,Irish,Yiddish",110,109
26 November 1997 (USA),English,111,110
31 October 1942 (USA),"English,Portuguese",112,111
September 1959 (Austria),English,113,112
28 August 2015 (USA),English,114,113
1 September 2000 (USA),"English,French,Scottish Gaelic",115,114
15 March 1940 (USA),English,116,115
26 December 1959 (UK),English,117,116
3 April 1968 (USA),English,118,117
1 August 1971 (USA),English,119,118
10 March 1972 (USA),English,120,119
3 June 1983 (USA),English,121,120
5 April 2013 (USA),English,122,121
27 October 2006 (USA),English,123,122
10 February 2006 (USA),English,124,123
28 August 2009 (USA),English,125,124
15 January 1988 (USA),English,126,125
22 August 1986 (USA),English,127,126
24 October 1986 (USA),English,128,127
11 April 2013 (Argentina),English,129,128
20 July 2012 (USA),English,130,129
14 December 1984 (USA),"English,Italian",131,130
11 March 2011 (USA),English,132,131
12 October 2012 (USA),English,133,132
10 August 2001 (USA),English,134,133
12 June 1981 (USA),English,135,134
22 October 1970 (USA),"English,German",136,135
16 December 1959 (USA),English,137,136
14 February 1931 (USA),"English,Hungarian,Latin",138,137
7 April 1933 (USA),English,139,138
11 June 2004 (USA),English,140,139
5 March 2010 (USA),English,141,140
4 June 2004 (USA),English,142,141
18 May 2001 (USA),English,143,142
24 June 1994 (USA),"English,Swahili,Xhosa,Zulu",144,143
22 November 1991 (USA),"English,French",145,144
18 June 1999 (USA),English,146,145
15 December 2000 (USA),English,147,37
1 November 2003 (USA),"English,Inuktitut,Croatian,Serbian",148,146
31 March 2000 (USA),English,149,147
1 October 2004 (USA),English,150,148
17 November 2006 (USA),English,151,149
4 March 2011 (USA),English,152,150
18 September 2009 (USA),"English,French,Russian",153,151
7 November 2008 (USA),"English,Italian",154,152
23 December 1961 (Japan),"English,Spanish",155,153
26 May 1978 (France),English,156,154
5 October 1979 (USA),English,157,155
June 1978 (Austria),English,158,156
30 August 1974 (USA),English,159,157
"Jun 28, 1978 Wide",English,160,158
"Dec 13, 1991 Wide",English,161,159
25 December 1992 (USA),English,162,160
19 January 2001 (USA),English,163,161
8 December 1995 (USA),English,164,162
8 February 1991 (USA),English,165,163
27 January 1984 (USA),English,166,164
1 January 1982 (USA),English,167,165
"Nov 25, 1936 Limited",English,168,166
8 May 1942 (USA),English,169,167
10 November 1939 (USA),English,170,168
1 October 1955 (USA),English,171,169
10 July 1944 (UK),English,172,170
20 December 1945 (USA),English,173,171
"Mar 9, 1948 Wide","English,Spanish",174,172
20 August 1976 (USA),English,175,173
1 July 1965 (USA),English,176,174
7 November 1960 (USA),English,177,175
12 June 1963 (USA),"English,French",178,176
19 June 1962 (USA),"English,Swahili",179,177
21 January 2011 (USA),"English,Russian,Polish",180,178
24 May 2007 (Germany),English,181,179
16 June 1995 (USA),English,182,180
"Feb 13, 1998 Wide",English,183,181
2 September 2015 (USA),English,184,182
3 October 2013 (Portugal),English,185,183
7 August 1987 (USA),English,186,184
12 April 1985 (USA),English,187,185
,English,188,47
18 December 1958 (USA),English,189,186
31 October 2008 (USA),"English,Russian",190,187
26 April 2002 (USA),English,191,188
20 April 2013 (USA),English,192,189
24 August 2001 (USA),English,193,190
26 March 2004 (USA),English,194,191
26 February 2010 (USA),"English,Spanish",195,192
2008 (USA),English,196,193
18 September 2015 (USA),English,197,42
18 August 1980 (Australia),English,198,194
25 March 1983 (USA),English,199,195
21 October 1983 (USA),English,200,196
22 May 1992 (USA),English,201,197
31 July 1987 (USA),English,202,198
8 February 1991 (USA),English,203,163
13 August 2010 (USA),"English,Italian,Portuguese",204,199
1 July 2011 (USA),English,205,200
20 March 2009 (USA),"English,Spanish,Russian,German",206,201
13 February 2009 (USA),"English,Italian,French,Danish",207,202
24 March 2006 (USA),"English,Albanian,Spanish",208,203
October 1973 (USA),English,209,204
1973 (UK),English,210,205
10 October 1980 (Finland),"English,German,French,Russian",211,206
23 April 2004 (USA),"English,Spanish",212,207
23 March 1973 (Finland),English,213,208
12 November 2010 (USA),English,214,209
20 September 2013 (USA),English,215,210
10 July 1998 (USA),"English,Hebrew",216,211
17 July 2015 (USA),English,217,212
7 October 1970 (USA),English,218,213
13 March 1975 (Mexico),"English,Spanish",219,214
August 1974 (USA),English,220,215
15 December 1953 (USA),English,221,216
27 November 1963 (USA),English,222,217
15 October 1965 (USA),English,223,218
23 June 1971 (USA),"English,French,Italian,German",224,219
21 December 1966 (USA),"English,French,Italian,Portuguese,Japanese",225,220
7 March 1965 (USA),"English,German",226,221
"May 24, 1961 Wide","English,Italian,Spanish",227,222
2 April 1968 (USA),English,228,223
18 October 1972 (USA),"English,Apache languages",229,224
15 November 1952 (USA),English,230,225
27 October 1953 (USA),English,231,226
June 1945 (USA),English,232,227
18 September 1981 (USA),English,233,228
19 January 1964 (USA),English,234,229
31 October 1928 (USA),English,235,230
21 July 1928 (USA),English,236,231
19 June 2015 (USA),English,237,232
7 August 2015 (USA),English,238,233
19 July 2002 (UK),English,239,234
15 July 1994 (USA),English,240,235
17 September 2010 (USA),English,241,236
5 October 2007 (USA),"English,Spanish",242,237
21 September 2007 (USA),"English,Russian,Turkish,Ukrainian,Urdu",243,238
2 August 2002 (USA),"English,Portuguese",244,239
26 June 1998 (USA),English,245,240
20 May 1994 (USA),English,246,241
28 January 2011 (USA),"English,Italian",247,242
20 August 1981 (Argentina),English,248,243
12 December 2003 (USA),English,249,244
25 December 1999 (USA),"English,Italian",250,245
25 December 2009 (USA),"English,Italian,French",251,246
24 September 1969 (USA),English,252,247
15 March 1940 (USA),English,253,115
9 January 1952 (USA),English,254,248
July 1960 (USA),English,255,249
18 October 2013 (USA),"English,German,Arabic,Urdu",256,250
25 January 2008 (USA),"English,Burmese,Thai",257,251
22 October 1982 (USA),English,258,252
15 August 1997 (USA),English,259,253
25 December 1994 (USA),"English,German,French",260,254
31 October 2014 (USA),English,261,255
5 February 1988 (USA),English,262,256
11 January 2013 (USA),"English,Arabic",263,257
2015 (USA),English,264,258
26 June 2015 (USA),English,265,259
,English,266,47
25 December 2012 (USA),English,267,260
18 January 2008 (USA),"English,Russian",268,261
18 March 1988 (USA),English,269,262
21 November 1920 (USA),English,270,263
23 May 1931 (USA),"English,Swahili",271,264
4 September 1936 (USA),English,272,265
4 September 2015 (USA),English,273,266
8 June 1940 (USA),English,274,267
23 March 1924 (USA),English,275,268
1 August 1947 (USA),English,276,269
6 October 2015 (USA),English,277,270
25 August 2006 (USA),"English,American Sign Language",278,271
30 May 1975 (France),English,279,272
25 December 1997 (USA),"English,Tibetan,Mandarin",280,273
22 September 1988 (Netherlands),English,281,274
22 October 1999 (USA),English,282,275
18 December 1982 (Iceland),English,283,276
21 June 1977 (USA),English,284,277
1 August 2008 (USA),English,285,278
24 February 1989 (USA),English,286,279
11 October 1985 (USA),English,287,8
22 August 1986 (USA),English,288,126
10 October 2008 (USA),"English,Arabic",289,280
27 June 2008 (USA),English,290,3
16 November 2007 (USA),"English,Old English",291,281
13 March 1998 (USA),"English,Italian",292,282
28 April 2006 (USA),English,293,283
31 May 2007 (Hungary),English,294,284
1 April 2005 (USA),English,295,285
6 August 1999 (USA),"English,Latin,Spanish",296,286
14 June 1991 (USA),English,297,287
25 January 2002 (USA),English,298,288
24 July 2009 (USA),English,299,289
18 January 2008 (USA),English,300,290
21 September 2007 (USA),English,301,291
1 May 2009 (USA),English,302,292
12 February 2010 (USA),"English,Spanish,Russian,Italian",303,293
14 February 2008 (USA),English,304,294
29 March 1959 (USA),English,305,295
11 April 1952 (USA),English,306,296
19 May 1995 (USA),"English,German,Romanian",307,297
14 February 2013 (USA),"English,Russian,Hindi",308,298
7 August 2009 (USA),"English,French,Scottish Gaelic",309,299
3 July 2007 (USA),"English,Spanish",310,300
"Apr 14, 2008 Wide","English,Persian,Urdu,Arabic,Hungarian",311,301
4 April 2014 (USA),English,312,302
2 May 2014 (USA),English,313,303
24 June 2016 (USA),English,314,304
11 August 2000 (USA),English,315,305
6 October 2015 (USA),English,316,270
15 October 2004 (USA),English,317,306
4 January 1985 (USA),English,318,307
April 1982 (USA),English,319,308
3 October 1980 (USA),English,320,309
9 November 1984 (USA),English,321,310
23 September 1983 (USA),"Spanish,English,Italian",322,311
7 February 1992 (USA),English,323,312
26 September 2008 (USA),"English,Spanish",324,313
11 December 1987 (USA),English,325,314
31 July 1992 (USA),English,326,315
2 February 1996 (USA),"English,Danish,Spanish",327,316
January 2004 (USA),English,328,317
22 August 1997 (USA),English,329,318
18 April 1986 (USA),"English,Italian",330,319
24 May 1991 (USA),English,331,320
9 October 1987 (USA),English,332,321
2 February 1996 (USA),English,333,322
1 March 1996 (USA),English,334,323
21 April 2006 (USA),English,335,324
27 April 2001 (USA),"English,Spanish",336,325
7 October 2011 (USA),English,337,326
7 November 2013 (Greece),English,338,327
20 May 2005 (USA),English,339,328
28 August 1987 (USA),English,340,329
6 February 1998 (USA),English,341,330
3 March 1995 (USA),English,342,331
22 August 1997 (USA),"English,Italian",343,332
26 October 2001 (USA),English,344,333
12 November 2010 (USA),English,345,209
30 January 2015 (USA),"English,Spanish",346,334
25 July 2013 (Israel),"English,Serbian",347,335
19 April 2013 (USA),"English,Spanish",348,336
29 August 2012 (USA),English,349,337
"May 11, 2012 Limited",English,350,338
9 December 2005 (USA),"English,Urdu,Arabic,Persian,French,Mandarin",351,339
4 March 2011 (USA),English,352,150
18 September 2009 (USA),English,353,340
9 September 2011 (USA),"English,Mandarin,Cantonese",354,341
22 October 2010 (USA),"English,French",355,342
11 December 2009 (USA),"English,Afrikaans,Maori,Zulu,Xhosa,Southern Sotho",356,343
19 August 2005 (USA),"English,Russian",357,344
8 October 2009 (USA),English,358,345
4 February 2006 (USA),"English,French",359,346
24 July 2009 (USA),"English,American Sign Language,Estonian",360,347
25 April 2003 (USA),English,361,348
20 October 2000 (USA),English,362,349
29 May 1981 (USA),English,363,350
15 September 1958 (Sweden),"English,German,Russian",364,351
16 May 2015 (France),"English,Japanese",365,352
7 August 1954 (USA),"English,German",366,353
9 December 1955 (Denmark),English,367,354
7 August 1953 (USA),"English,French",368,355
February 1956 (USA),English,369,356
11 January 1958 (USA),English,370,357
30 April 1959 (USA),English,371,358
8 May 1953 (Finland),English,372,359
2 August 1956 (USA),English,373,360
July 1953 (USA),English,374,361
18 September 1981 (USA),English,375,228
27 April 1990 (USA),"English,Portuguese",376,362
7 January 1998 (France),English,377,363
3 May 1996 (USA),"English,French",378,364
17 October 1997 (USA),English,379,365
"Mar 5, 1999 Wide","English,Vietnamese,French",380,366
19 February 2005 (USA),English,381,367
20 December 1996 (USA),English,382,368
1 March 2009 (USA),English,383,369
19 September 2014 (USA),English,384,370
May 2012 (USA),English,385,371
12 August 2014 (Netherlands),English,386,372
7 October 1994 (USA),English,387,373
4 January 2014 (USA),English,388,374
30 July 2006 (USA),English,389,375
24 April 2015 (USA),English,390,376
22 March 1996 (USA),"English,Spanish",391,377
26 January 1990 (Portugal),"Spanish,English",392,378
16 October 2015 (USA),English,393,379
14 August 1987 (USA),English,394,380
24 May 1991 (USA),"English,Irish,Greek",395,381
30 September 1988 (USA),English,396,382
28 March 1986 (USA),English,397,383
6 July 1988 (USA),English,398,384
27 February 1987 (USA),English,399,385
17 June 1988 (USA),English,400,386
2 August 1985 (USA),English,401,387
1 July 1987 (USA),English,402,388
7 June 1991 (USA),English,403,389
13 February 1987 (USA),English,404,390
14 February 2014 (USA),English,405,391
31 January 2014 (USA),English,406,392
17 August 2007 (USA),English,407,393
2 October 2009 (USA),English,408,394
18 March 2011 (USA),"English,Klingon",409,395
13 August 2008 (USA),"English,Mandarin",410,396
6 August 2010 (USA),English,411,397
10 August 2012 (USA),English,412,398
29 February 2008 (USA),English,413,399
15 July 1998 (USA),English,414,400
21 March 1997 (USA),English,415,401
22 December 1999 (USA),English,416,402
4 October 2002 (USA),"English,French",417,403
19 October 2001 (USA),English,418,404
22 May 1998 (USA),English,419,405
28 October 2011 (USA),"English,Spanish,German",420,406
19 July 2013 (USA),English,421,407
25 January 2013 (USA),English,422,408
18 May 2012 (USA),"English,Japanese",423,409
29 July 2011 (USA),"English,Apache languages",424,410
22 July 2005 (USA),English,425,411
"Nov 22, 2006 Wide",English,426,412
15 February 2002 (USA),"English,Spanish",427,413
21 September 1975 (USA),English,428,414
25 December 2009 (USA),"English,French",429,415
25 May 2012 (USA),English,430,416
1 June 1955 (USA),English,431,417
15 May 1959 (USA),English,432,418
June 1954 (USA),English,433,419
5 October 1929 (USA),English,434,420
4 August 1932 (USA),English,435,421
25 October 1991 (USA),English,436,422
22 September 1995 (USA),English,437,423
31 October 2011 (USA),English,438,424
June 1954 (USA),English,439,419
9 November 1929 (USA),English,440,425
16 April 1937 (USA),English,441,426
29 December 1933 (USA),English,442,427
24 January 2009 (USA),"Spanish,English",443,428
10 May 1930 (USA),English,444,429
19 May 1929 (USA),English,445,430
19 November 1932 (USA),English,446,431
27 May 1933 (USA),English,447,432
28 December 1936 (USA),English,448,433
4 September 1937 (USA),English,449,434
26 September 1941 (USA),"English,Spanish",450,435
25 March 1966 (USA),"English,Portuguese",451,436
31 October 1969 (West Germany),English,452,437
7 October 1966 (West Germany),English,453,438
25 May 1967 (USA),English,454,439
16 May 1968 (USA),English,455,440
10 April 1998 (USA),"English,Spanish",456,441
2016 (USA),English,457,442
1 June 1934 (USA),English,458,443
7 February 2008 (Germany),English,459,444
8 July 2009 (France),"English,French",460,445
18 November 1992 (USA),English,461,446
5 January 1945 (USA),English,462,447
27 September 1973 (USA),English,463,448
2 August 1978 (USA),English,464,449
25 January 2002 (USA),English,465,288
19 October 2001 (USA),"English,Spanish",466,450
31 October 1949 (USA),English,467,451
2 October 1987 (USA),English,468,452
4 July 2008 (USA),"English,French",469,453
29 October 2013 (USA),English,470,454
11 June 2013 (USA),English,471,455
30 July 2004 (USA),"English,German,Spanish",472,456
13 November 1976 (Japan),"English,German,Swedish,American Sign Language",473,457
1 May 1987 (USA),English,474,7
October 1986 (USA),English,475,458
3 March 1990 (Japan),English,476,459
6 October 2015 (USA),English,477,270
24 December 2013 (USA),English,478,460
18 October 2013 (USA),English,479,461
5 January 2015 (USA),English,480,462
19 January 2007 (USA),"Mandarin,English,French",481,463
March 1988 (West Germany),English,482,464
21 July 1989 (USA),"English,Italian,Spanish",483,465
13 September 1995 (USA),English,484,466
3 December 1999 (USA),English,485,467
24 April 1942 (USA),English,486,468
July 1966 (UK),"English,German,Swedish,Norwegian",487,469
3 February 2012 (USA),English,488,470
18 June 2015 (USA),English,489,471
10 July 2015 (USA),English,490,472
29 July 2015 (USA),English,491,473
24 July 2015 (USA),English,492,474
25 September 2015 (USA),English,493,50
14 August 2015 (USA),English,494,475
"Aug 28, 2015 Wide",English,495,476
4 May 1951 (USA),English,496,477
6 April 2015 (USA),English,497,478
8 September 2015 (USA),English,498,479
18 September 2015 (USA),English,499,42
7 August 2015 (USA),English,500,233
6 December 1991 (UK),English,501,480
15 April 2011 (USA),English,502,481
26 September 1959 (Japan),English,503,482
11 May 1984 (USA),English,504,483
27 March 1981 (USA),English,505,484
12 May 1949 (USA),English,506,485
19 November 2004 (USA),"English,Spanish",507,486
6 August 2004 (USA),"English,Spanish",508,487
2 February 1972 (USA),English,509,488
14 May 1982 (USA),English,510,489
21 October 1983 (USA),English,511,196
14 September 2015 (USA),"English,Russian",512,490
12 February 1982 (USA),"English,Spanish",513,491
13 May 1978 (USA),English,514,492
31 October 1974 (USA),English,515,493
18 October 1980 (USA),English,516,494
27 June 1973 (USA),English,517,495
July 1982 (USA),English,518,496
"May 29, 2005 Wide",English,519,497
17 April 1959 (Netherlands),"English,German",520,498
19 February 1932 (USA),"English,French",521,499
30 January 2009 (USA),English,522,500
18 January 1991 (UK),English,523,501
11 November 1939 (USA),English,524,502
31 March 1934 (USA),English,525,503
13 August 1932 (USA),English,526,504
28 April 1995 (USA),English,527,505
18 January 1985 (USA),English,528,506
11 June 1982 (USA),English,529,507
31 October 1962 (USA),English,530,508
24 February 1927 (France),English,531,509
29 October 2004 (USA),English,532,510
8 April 2008 (USA),English,533,511
5 May 2000 (USA),English,534,512
2 February 2007 (Mexico),English,535,513
15 April 2011 (USA),English,536,481
"Aug 15, 2003 Limited","English,Spanish",537,514
8 February 2002 (USA),"English,Serbo-Croatian",538,515
2 July 2003 (USA),"English,Cantonese,Italian",539,516
8 June 2012 (USA),"English,Norwegian",540,517
30 August 1952 (USA),English,541,518
30 October 1961 (USA),English,542,519
27 November 1968 (USA),"English,Spanish",543,520
3 January 2003 (USA),English,544,521
12 May 2006 (USA),English,545,522
1 October 1993 (USA),English,546,523
31 January 1992 (USA),English,547,524
2 August 1991 (USA),English,548,525
6 October 2015 (USA),English,549,270
30 October 1981 (USA),English,550,526
10 April 1968 (USA),English,551,527
15 March 1965 (Denmark),"English,French,Spanish",552,528
28 October 1972 (Japan),English,553,529
December 1961 (USA),English,554,530
31 January 1953 (USA),English,555,531
14 July 1999 (USA),English,556,532
11 December 1992 (USA),English,557,533
16 February 1996 (USA),English,558,534
13 July 1984 (USA),English,559,535
22 June 1979 (USA),English,560,536
8 September 1980 (Denmark),English,561,537
25 October 2008 (Japan),English,562,538
30 September 1988 (USA),English,563,382
5 April 1991 (USA),English,564,539
,English,565,47
17 July 1981 (USA),English,566,540
22 April 1983 (USA),English,567,541
25 November 1992 (USA),"English,Japanese",568,542
12 February 1999 (USA),English,569,543
"Feb 10, 2012 Wide",English,570,544
17 March 2006 (USA),English,571,545
6 February 2009 (USA),English,572,546
27 May 2016 (USA),English,573,547
21 November 1990 (USA),English,574,548
14 September 2007 (USA),English,575,549
May 1987 (USA),English,576,550
20 September 1996 (USA),"English,Spanish",577,551
9 April 2004 (USA),"English,Hungarian,Hebrew",578,552
6 November 1998 (USA),"English,Arabic,Spanish",579,553
"Feb 18, 2000 Wide","English,French,Spanish",580,554
17 September 1993 (USA),English,581,555
13 December 1991 (USA),English,582,556
18 November 2005 (USA),English,583,557
16 October 2009 (USA),English,584,558
18 December 1966 (USA),English,585,559
10 November 2006 (USA),English,586,560
16 September 2011 (USA),"English,Spanish",587,561
April 1970 (USA),English,588,562
15 February 1974 (USA),English,589,563
20 March 1981 (USA),English,590,564
21 October 1971 (Argentina),English,591,565
29 April 1983 (USA),English,592,566
6 October 1978 (USA),English,593,567
3 July 2013 (USA),"English,North American Indian",594,568
10 February 2012 (USA),"English,Afrikaans,Spanish",595,569
5 December 1973 (USA),"English,Italian,Spanish",596,570
2 October 1992 (USA),English,597,571
2 March 2007 (USA),English,598,572
1 April 2011 (USA),English,599,573
2 July 1997 (USA),"English,Spanish",600,574
3 March 1959 (USA),English,601,575
7 November 1954 (USA),English,602,576
26 November 1958 (USA),English,603,577
May 1953 (USA),English,604,578
17 May 1952 (USA),English,605,579
5 May 1946 (USA),English,606,580
17 September 1932 (USA),English,607,581
12 September 1970 (USA),English,608,582
18 May 1935 (USA),English,609,583
20 December 1936 (USA),English,610,584
25 December 1964 (Finland),English,611,585
23 March 2007 (USA),English,612,586
16 October 1975 (Argentina),English,613,587
28 May 1971 (France),English,614,588
,English,615,47
11 September 1987 (USA),English,616,589
1 October 1971 (USA),English,617,590
20 November 1968 (USA),"English,Italian",618,591
15 March 2013 (USA),English,619,592
25 September 2015 (USA),English,620,50
6 July 1994 (USA),English,621,593
28 August 1948 (USA),English,622,594
September 1955 (USA),"English,French",623,595
4 April 2003 (USA),"English,Spanish",624,596
17 September 1992 (USA),English,625,597
13 October 1995 (USA),English,626,598
3 August 2001 (USA),"English,German,Japanese,Latin,Spanish",627,599
"Jul 16, 2004 Wide",English,628,600
30 May 2003 (USA),English,629,601
2 September 2005 (USA),English,630,602
4 May 2001 (USA),"English,Arabic",631,603
2 November 2007 (USA),English,632,604
January 2004 (USA),English,633,317
29 March 2002 (USA),English,634,605
9 January 1956 (Brazil),English,635,606
15 November 1996 (USA),English,636,607
1 October 1955 (USA),English,637,169
1 June 2007 (USA),English,638,608
11 November 2011 (UK),"English,Korean",639,609
31 July 1956 (USA),English,640,610
June 1957 (USA),English,641,611
27 June 1957 (USA),English,642,612
30 April 1948 (USA),English,643,613
5 August 1998 (USA),English,644,614
30 May 1995 (USA),English,645,615
13 January 2006 (USA),English,646,616
23 June 1989 (USA),English,647,617
17 July 1992 (USA),English,648,618
15 November 1996 (USA),English,649,607
5 October 1956 (USA),English,650,619
29 July 1994 (UK),English,651,620
26 March 1993 (Brazil),English,652,621
22 September 1995 (USA),English,653,423
14 October 2010 (USA),English,654,622
16 September 2002 (USA),English,655,623
28 September 2007 (USA),English,656,624
24 August 2011 (Iceland),English,657,625
17 November 1989 (USA),"English,French",658,626
26 January 1990 (USA),"English,Hebrew",659,627
21 February 1997 (USA),English,660,628
25 December 2009 (USA),"English,French",661,415
2 August 1989 (USA),English,662,629
17 September 1948 (USA),"English,Spanish",663,630
April 2010 (USA),English,664,631
8 October 2010 (USA),English,665,632
28 March 1984 (France),English,666,633
26 May 2000 (USA),"English,Mandarin,Sioux,Spanish",667,634
10 April 1970 (USA),English,668,635
11 November 1994 (USA),"English,French",669,636
17 March 2000 (USA),English,670,637
25 January 2013 (USA),English,671,408
14 March 1969 (USA),English,672,638
10 November 1957 (USA),English,673,639
December 1956 (USA),English,674,640
9 January 2015 (USA),English,675,641
1 August 1956 (USA),English,676,642
6 May 1949 (USA),English,677,643
27 May 1977 (USA),English,678,644
12 October 2004 (USA),English,679,645
19 January 2003 (USA),English,680,646
2 September 2011 (USA),English,681,647
18 February 1983 (USA),"English,French",682,648
8 June 1949 (USA),English,683,649
6 December 1996 (USA),English,684,650
1957 (UK),English,685,651
20 January 2012 (USA),English,686,652
11 October 2012 (USA),English,687,653
19 July 2013 (USA),English,688,407
"Jan 1, 1988 Wide",English,689,654
21 September 2014 (USA),English,690,655
10 September 2004 (USA),English,691,656
23 September 2012 (USA),English,692,657
24 November 2004 (USA),English,693,658
7 July 2004 (USA),"English,Latin,Irish,Welsh,Scottish Gaelic",694,659
2 November 2003 (USA),English,695,660
25 January 2002 (UK),English,696,661
10 September 1993 (USA),"English,Italian",697,662
11 June 1993 (USA),"English,Spanish",698,663
24 May 1989 (USA),"English,German,Greek",699,664
"Jan 9, 2004 Wide","English,French,German,Hebrew,Italian,Spanish",700,665
2 April 2004 (USA),"English,Danish,German",701,666
23 May 2014 (USA),"English,Vietnamese,French",702,667
2 November 2014 (UK),English,703,668
28 April 1993 (USA),English,704,669
14 May 1994 (South Korea),English,705,670
1989 (Spain),English,706,671
5 November 2013 (USA),English,707,672
7 June 2013 (USA),English,708,673
2 November 1991 (Japan),English,709,674
17 June 1988 (USA),English,710,386
26 August 1938 (USA),English,711,675
31 August 2007 (USA),English,712,676
30 September 1992 (USA),English,713,677
24 March 1989 (Japan),English,714,678
7 May 1993 (USA),English,715,679
10 March 2014 (UK),English,716,680
21 June 2013 (USA),English,717,21
30 January 2014 (Kuwait),English,718,681
17 October 2013 (USA),English,719,682
20 February 2015 (USA),English,720,683
4 October 2014 (USA),English,721,684
15 October 2007 (USA),English,722,685
October 1998 (USA),English,723,686
2 May 2013 (Israel),English,724,687
13 September 2013 (USA),English,725,688
9 May 2014 (USA),English,726,689
23 May 2013 (USA),English,727,690
5 March 2004 (USA),"English,Korean",728,691
14 June 1996 (USA),"English,French",729,692
25 December 1996 (USA),English,730,693
9 February 2001 (USA),"English,Italian,Japanese",731,694
"Apr 6, 2001 Wide",English,732,695
30 March 2012 (USA),English,733,696
10 June 2011 (USA),English,734,697
24 May 2002 (USA),English,735,698
14 December 1955 (USA),English,736,699
April 1957 (USA),English,737,700
June 1957 (USA),English,738,611
16 October 1948 (USA),English,739,701
