ReviewCount,Description,original_index,unique_index
"310 user,141 critic",An FBI profiler is called in by French Canadian police to catch a serial killer who takes on the identity of each new victim.,53,53
"380 user,133 critic",Based on writer Susanna Kaysen's account of her 18-month stay at a mental hospital in the 1960s.,54,54
"158 user,188 critic","When a young owl is abducted by an evil Owl army, he must escape with new-found friends and seek the legendary Guardians to stop the menace.",55,55
"238 user,324 critic",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,56,56
"18 user,27 critic","After breaking up with her boyfriend, a professional woman gets involved with a man who seems almost too good to be true.",57,57
"397 user,278 critic","The brutal and bloodthirsty King Hyperion (Mickey Rourke) and his murderous Heraklion army are rampaging across Greece in search of the long lost Bow of Epirus. With the invincible Bow, the king will be able to overthrow the Gods of Olympus and become the undisputed master of his world. With ruthless efficiency, Hyperion and his legions destroy everything in their wake, and it seems nothing will stop the evil king's mission. As village after village is obliterated, a stonemason named Theseus,(Henry Cavill) vows to avenge the death of his mother in one of Hyperion's raids. When Theseus meets the Sybelline Oracle, Phaedra (Freida Pinto), her disturbing visions of the young man's future convince her that he is the key to stopping the destruction. With her help, Theseus assembles a small band of followers and embraces his destiny in a final desperate battle for the future of humanity. -- (C) Relativity Media",58,58
"21 user,6 critic",A family takes refuge in a fallout shelter to avoid a dangerous outbreak.,59,59
"74 user,180 critic","American Ultra is a fast-paced action comedy about Mike (Eisenberg), a seemingly hapless and unmotivated stoner whose small-town life with his live-in girlfriend, Phoebe (Stewart), is suddenly turned upside down. Unbeknownst to him, Mike is actually a highly trained, lethal sleeper agent. In the blink of an eye, as his secret past comes back to haunt him, Mike is thrust into the middle of a deadly government operation and is forced to summon his inner action-hero in order to survive. (C),Lionsgate",60,60
"140 user,103 critic","The Gremlins are back, and this time, they've taken total control over the building of a media mogul.",61,61
"315 user,209 critic",A family's home is haunted by a host of ghosts.,62,62
"150 user,85 critic","A selfish, cynical T.V. executive is haunted by three spirits bearing lessons on Christmas Eve.",63,63
"646 user,209 critic","A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.",64,64
"49 user,7 critic","Homicidal Sheriff Thomas Jefferson Geronimo is tasked with escorting a mobster to Malta; when the prisoner escapes, Geronimo goes rogue to catch him.",65,65
"21 user,1 critic","ANNE B. REAL is the coming of age story of a young female rapper, who finds her inspiration by reading the Diary of Anne Frank.",66,66
"23 user,19 critic","Set during the 1930s, this film is the tale of a family of Black sharecroppers struggling to survive the Great Depression. After suffering months of poverty, the father steals in order to support his family. He is sent to jail, leaving the mother to care for the family and farm.",67,67
"72 user,34 critic",Harvey Cheyne is a spoiled brat used to having his own way. When a prank goes wrong onboard an ocean liner Harvey ends up overboard and nearly drowns. Fortunately he's picked up by a ...,68,68
"28 user,16 critic","An alcoholic actress who is considered a dangerous jinx is rehabilitated, but she then shows that she's as dangerous as ever.",69,69
"26 user,12 critic","Old friends Kit Marlowe and Millie Drake adopt contrasting lifestyles: Kit is a single, critically acclaimed author while married Millie writes popular pulp novels.",70,70
"69 user,31 critic","As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",71,71
"32 user,14 critic",A divorced couple's teen-age daughter stands trial for stabbing her mother's latest lover.,72,72
"6 user,1 critic",John Hanson (Conrad Nagel) is a bank teller and invests in stocks. He and his best friend (another bank teller) Phil Wilson (Robert Ames) live at a boarding house run by his Swedish ...,73,73
"12 user,2 critic","Prominent attorney Brad Mason takes on the defense of Rudi Walchek, a young hit-man hoodlum accused of murder. Convinced of the youthful thug's innocence, Mason get him acquitted. Later, he...",74,74
"8 user,1 critic","To gain fame, a reporter arranges to be suspected of murder.",75,75
"15 user,4 critic","The famous Baron Munchausen dumps two dimwits in the African jungle. A rescue team mistakes one of them for the missing Baron, and returns them to the US, where they're greeted as heroes. ...",76,76
"46 user,18 critic","Bud and Lou enlist in the army in order to escape being hauled off to jail, and soon find themselves in boot camp. To their dismay, the company's drill instructor is none other than the cop...",77,77
"15 user,3 critic",Lou and Bud become caretakers at an all girls college. During their misadventures the duo raise money to free the school from its traditionally minded landlord.,78,78
"18 user,6 critic","Harry and Willie buy the Edison Movie Studio in the year 1912 from Joseph Gorman, a confidence man. They follow Gorman to Hollywood where, as stunt men, they find him directing movies as Sergei Trumanoff and stealing the studio payroll.",79,79
"19 user,3 critic",Slavery tears apart a black family in the South before the start of the Civil War.,80,80
"48 user,14 critic","On the coast of the Gulf of Mexico, the Native American tribe of chief Black Eagle clashes with the Mayan tribe of king Balam.",81,81
12 user,A helicopter rescue team tries to save the survivors of a shipwreck off the coast of Japan during a raging typhoon.,82,82
"21 user,4 critic","Egyptologist Erica Baron finds more than she bargained for during her long-planned trip to The Land of the Pharoahs - murder, theft, betrayal, love, and a mummy's curse!",83,83
"13 user,12 critic",A Boston feminist and a conservative Southern lawyer contend for the heart and mind of a beautiful and bright girl unsure of her future.,84,84
"72 user,22 critic","When a prosecutor leaks a false story that a liquor warehouse owner is involved in the murder of an union head, the man's life begins to unravel.",85,85
"119 user,61 critic","Hud Bannon is a ruthless young man who tarnishes everything and everyone he touches. Hud represents the perfect embodiment of alienated youth, out for kicks with no regard for the ...",86,86
"127 user,107 critic",A director of escapist films goes on the road as a hobo to learn about Life...which gives him a rude awakening.,87,87
"19 user,4 critic","Texas Ranger Dusty Rivers ('Isn't that a contradiction in terms?', another character asks him) travels to Canada in the 1880s in search of Jacques Corbeau, who is wanted for murder. He ...",88,88
"30 user,14 critic",Union officer Kerry Bradford escapes from Confederate Prison and is set to Virginia City in Nevada. Once there he finds that the former commander of his prison Vance Irby is planning to send $5 million in gold to save the Confederacy.,89,89
"15 user,5 critic","When American newspaperman and adventurer Henry M. Stanley comes back from the western Indian wars, his editor James Gordon Bennett sends him to Africa to find Dr. David Livingstone, the ...",90,90
"39 user,21 critic",A New York gangster and his girlfriend attempt to turn street beggar Apple Annie into a society lady when the peddler learns her daughter is marrying royalty.,91,91
"109 user,47 critic","Longfellow Deeds, a simple-hearted Vermont tuba player, inherits a fortune and has to contend with opportunist city slickers.",92,92
"49 user,21 critic","A young woman from a very rich family impulsively marries a reporter, but each assumes the other is the one whose lifestyle must change.",93,93
"29 user,15 critic","After Florence Fallon's father dies unappreciated in the church where he preached for many years, she becomes embittered and loses faith. She teams up with Horsby, a con man, and performs ...",94,94
"15 user,7 critic","A poor but honest and hardworking waitress from way across the tracks meets and falls in love with a college student from the upper-stuffy class, but the Mama of the intended objects to the...",95,95
"99 user,32 critic","A young woman uses her body and her sexuality to help her climb the social ladder, but soon begins to wonder if her new status will ever bring her happiness.",96,96
"40 user,21 critic","Although Vivian Revere is seemingly the most successful of a trio of reunited schoolmates, she throws it away by descending into a life of debauchery and drugs.",97,97
"21 user,13 critic","A young woman is on trial for murder. In flashback, we learn of her struggles to overcome poverty as a teenager -- a mistaken arrest and prison term for shoplifting and lack of employment ...",98,98
"33 user,14 critic","The saga of Tom Holmes - a man of principles - from the Great War to the Great Depression. Will he ever get a break? His war heroics earn fame and a medal for someone else, and his wounds ...",99,99
"48 user,17 critic","Philo Vance, accompanied by his prize-losing Scottish terrier, investigates the locked-room murder of a prominent and much-hated collector whose broken Chinese vase provides an important clue.",100,100
"42 user,31 critic",An explosives manufacturer suspects a young man is out to kill him. He calls in Nick and Nora (with new baby) to sort things out.,101,101
"33 user,20 critic","A series of misunderstandings on their fourth wedding anniversary lead an architect and his wife to break up, but he pretends to be insane and even poses as his own sister in order to win her back.",102,102
"25 user,15 critic",The neglected wife of a high profile attorney dallies with a unscrupulous womanizer and finds herself involved in blackmail and murder.,103,103
"26 user,25 critic",Nick and Nora are at their wise-cracking best as they investigate murder and racketeering at a local race-track.,104,104
"74 user,38 critic","Musical set in the 'future', e.g. 1994. A young couple enters the world of the music industry, but also the world of drugs.",105,105
,The continuation of Surly's adventures.,106,106
"162 user,77 critic",Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.,107,107
"239 user,110 critic",An extremely volatile and dangerous Englishman goes to Los Angeles to find the man he considers responsible for his daughter's death.,108,108
"120 user,61 critic",A devious sexpot steals her husband's drug money and hides out in a small town where she meets the perfect dupe for her next scheme.,109,109
"286 user,126 critic","Tom Regan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",110,110
"64 user,52 critic","An absent-minded professor discovers 'flubber,' a rubber-like super-bouncy substance.",111,111
"126 user,44 critic",Boston spinster blossoms under therapy and finds impossible romance.,112,112
"190 user,93 critic","In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",113,113
"85 user,23 critic","A seemingly perfect family looks to fix their problems with the help of Miss Clara, an older, wiser woman.",114,114
"356 user,89 critic","Immortals Connor and Duncan Macleod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone.",115,115
"288 user,76 critic","A poor Midwest family is forced off of their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",116,116
"362 user,110 critic","When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",117,117
"399 user,199 critic","An astronaut crew crash lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",118,118
"198 user,108 critic",Army doctor Robert Neville struggles to create a cure for the plague that wiped out most of the human race.,119,119
"198 user,85 critic","In a future where all flora is extinct on Earth, an astronaut is given orders to destroy the last of Earth's botany, kept in a greenhouse aboard a spacecraft.",120,120
"149 user,81 critic","A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III.",121,121
"772 user,534 critic","Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods. The evil presence possesses them until only one is left to fight for survival.",122,122
"612 user,210 critic",Jigsaw kidnaps a doctor to keep him alive while he watches his new apprentice put an unlucky citizen through a brutal test.,123,123
"564 user,211 critic","In this third installment of the Final Destination series, a student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself which seeks out those who escaped their fate.",124,124
"284 user,218 critic","After a young man's premonition of a deadly race-car crash helps saves the lives of his peers, Death sets out to collect those who evaded their end.",125,125
"113 user,61 critic","Curious kids unearth the barrels that helped revive the dead of the first film, which proves the second time's an undead charm.",126,126
"128 user,121 critic","Alien brain parasites, entering humans through the mouth, turn their host into a killing zombie. Some teenagers start to fight against them.",127,127
"112 user,131 critic","A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms.",128,128
"128 user,118 critic","A woman and her sister begin to link a mysterious tunnel to a series of disappearances, including that of her own husband.",129,129
"2,673 user,795 critic","Eight years after the Joker's reign of anarchy, the Dark Knight is forced to return from his imposed exile to save Gotham City from the brutal guerrilla terrorist Bane with the help of the enigmatic Catwoman.",130,130
"562 user,143 critic",A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis when they assassinate his father and free their desert world from the emperor's rule.,131,131
"797 user,353 critic",A squadron of U.S. Marines becomes the last line of defense against a global invasion.,132,132
,"When the son of an alleged killer inherits a 'blue movie' that may be the key to solving a 50 year old murder, he finds himself drawn into a forbidden world of sexual obsession. But the ...",133,133
"123 user,81 critic","A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.",134,134
"182 user,96 critic",A film adaption of the myth of Perseus and his quest to battle both Medusa and the Kraken monster to save the Princess Andromeda.,135,135
"75 user,83 critic",Seductive vampire Carmilla Karnstein and her family target the beautiful and the rich a remote area of late 18th century Gemany.,136,136
"70 user,55 critic","In 1895, British archaeologists find and open the tomb of Egyptian Princess Ananka with nefarious consequences.",137,137
"375 user,159 critic",The ancient vampire Count Dracula arrives in England and begins to prey upon the virtuous young Mina.,138,138
"393 user,153 critic",A film crew goes to a tropical island for an exotic location shoot and discovers a colossal giant gorilla who takes a shine to their female blonde star.,139,139
"401 user,190 critic","While examining the influence of the fast food industry, Morgan Spurlock personally explores the consequences on his health of a diet of solely McDonald's food for one month.",140,140
"720 user,435 critic","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",141,141
"1,497 user,271 critic","It's Harry's third year at Hogwarts; not only does he have a new 'Defense Against the Dark Arts' teacher, but there is also trouble brewing. Convicted murderer Sirius Black has escaped the Wizards' Prison and is coming after Harry.",142,142
"937 user,211 critic","After his swamp is filled with magical creatures, an ogre agrees to rescue a princess for a villainous lord in order to get his land back.",143,143
"616 user,184 critic",Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.,144,144
"327 user,177 critic","Belle, whose father is imprisoned by the Beast, offers herself instead, unaware her captor to be an enchanted prince.",145,145
"259 user,163 critic",A man raised by gorillas must decide where he really belongs when he discovers he is a human.,146,146
"291 user,140 critic","Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",147,147
"157 user,111 critic","When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.",148,148
"137 user,81 critic","Two swindlers get their hands on a map to the fabled city of gold, El Dorado.",149,149
"285 user,139 critic","When a son of a gangster shark boss is accidently killed while on the hunt, his would-be prey and his vegetarian brother both decide to use the incident to their own advantage.",150,150
"544 user,205 critic","Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",151,151
"334 user,353 critic","Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.",152,152
"155 user,191 critic","A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst.",153,153
"117 user,165 critic","The animals try to fly back to New York City, but crash-land on an African wildlife refuge, where Alex is reunited with his parents.",154,154
"304 user,113 critic","Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",155,155
"45 user,25 critic",A wealthy woman from Manhattan's Upper East Side struggles to deal with her new identity and her sexuality after her husband of 16 years leaves her for a younger woman.,156,156
"31 user,9 critic","A divorced man falls in love, but somehow he can't get over his ex-wife. This affects his love life in comic ways. Based on Dan Wakefield's novel.",157,157
"22 user,7 critic",A three-way friendship between two free-spirited professional football players and the owner's daughter becomes compromised when two of them become romantically involved.,158,158
"64 user,51 critic","A sadistic warden asks a former pro quarterback, now serving time in his prison, to put together a team of inmates to take on (and get pummeled by) the guards.",159,159
"92 user,28 critic","Opting for light entertainment after the critical satire of Shampoo (1975), producer-director-writer-star Warren Beatty remade the 1941 comic fantasy Here Comes Mr. Jordan. Dimly amiable L.A. Rams quarterback Joe Pendleton (Beatty) is prematurely called to Heaven by an over-eager escort (Buck Henry, who co-directed) after a traffic accident. When archangel Mr. Jordan (James Mason) discovers the error, he offers to return Joe to his body, only to find that it has been cremated. On the verge of,playing in the Super Bowl, Joe demands a fit body rather than the old about-to-be-murdered industrialist Farnsworth he has been offered, but he reconsiders when he sees environmentalist Betty Logan (Julie Christie) in Farnsworth's house. Assuming Farnsworth's body while keeping his sweet self, Joe hires his beloved coach Max Corkle (Jack Warden) to get him in shape (after convincing Max who he really is), sets Farnsworth's business on an eco-friendly path, and romances Betty. Farnsworth's homicidal wife (Dyan Cannon) and secretary (Charles Grodin), however, are still determined to succeed in their plan to kill him. When Mr. Jordan finally finds the Super Bowl body Joe wanted, Joe has to trade his old self for the new life -- but will he remember his love for Betty? Heaven Can Wait offered contemporary yet old-fashioned escapism and tapped into the late-1970s vogue for nostalgic fun, becoming one of 1978's most popular summer movies after Grease. Updating the original while following its blueprint, Beatty and co-writer Elaine May switched Joe's sport and turned Joe into a man of his '70s moment, adoring Betty for her convictions and favoring 'green' policies over corporate greed. Gently breathing life into a classic form, Heaven Can Wait found romantic innocence in a jaded time, and it went on to receive nine Oscar nominations, including Best Picture.",160,160
"65 user,50 critic","Brutal and batty as a March hare, notorious gangster Bugsy Siegel played a crucial role in making Las Vegas the gambling capitol of the United States. This arresting biopic starring Warren Beatty offers a remarkably cliché-free look at the mobster's life and times.",161,161
"64 user,31 critic",A film based on the story of legendary union figure Jimmy Hoffa.,162,162
"526 user,150 critic",A retiring police chief pledges to catch the killer of a young child.,163,163
"64 user,37 critic","In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",164,164
"97 user,44 critic","With the help of a talking freeway billboard, a 'wacky weatherman' tries to win the heart of an English newspaper reporter, who is struggling to make sense of the strange world of early-90s Los Angeles.",165,165
"37 user,23 critic",A writer for a greeting card company learns the true meaning of loneliness when he comes home to find his girlfriend in bed with another man.,166,166
"56 user,37 critic","During the Great Depression, a sheet music salesman seeks to escape his dreary life through popular music and a love affair with an innocent school teacher.",167,167
"16 user,11 critic","In this sentimental musical drama, Bing Crosby is in jail on a trumped-up charge. Crosby meets a condemned prisoner and promises the doomed man to look after his little girl. The girl's grandfather is also part of the 'deal,' and soon the footloose Crosby finds himself overwhelmed by his responsibilities.",168,168
"28 user,15 critic","In Nome, Alaska, miner Roy Glennister and his partner Dextry, financed by saloon entertainer Cherry Malotte, fight to save their gold claim from crooked commissioner Alexander McNamara.",169,169
"14 user,12 critic","In British colonial America, Captain Swanson's adherence to the rules results in Trader Callendar's selling to the Indians under cover of a government permit. Jim Smith won't sit still for ...",170,170
"34 user,16 critic","His ship seized by the Chinese Communists, American Merchant Captain Tom Wilder languishes in prison but Chinese villagers help him escape to sail them to Hong-Kong.",171,171
"29 user,16 critic","Construction workers in World War II in the Pacific are needed to build military sites, but the work is dangerous and they doubt the ability of the Navy to protect them. After a series of ...",172,172
"78 user,26 critic",A dramatized account of the role of the American PT Boats in the defense of the Philippines in World War II.,173,173
"77 user,53 critic","The soldiers at Fort Apache may disagree with the tactics of their glory-seeking new commander. But to a man, they're duty-bound to obey - even when it means almost certain disaster. John Wayne, Henry Fonda and many familiar supporting players from master director John Ford's 'stock company' saddle up for the first film in the director's famed cavalry trilogy (She Wore a Yellow Ribbon and Rio Grande are the others). Roughhouse camaraderie, sentimental vignettes of frontier life, massive action,sequences staged in Monument Valley - all are part of Fort Apache. So is Ford's exploration of the West's darker side. Themes of justice, heroism and honor that Ford would revisit in later Westerns are given rein in this moving, thought-provoking film that, even as it salutes a legend, gives reasons to question it.",174,174
"145 user,46 critic",A dying gunfighter spends his last days looking for a way to die with a minimum of pain and a maximum of dignity.,175,175
"52 user,32 critic",Ranch owner Katie Elder's four sons determine to avenge the murder of their father and the swindling of their mother.,176,176
"40 user,21 critic","Sam and George strike gold in Alaska. George sends Sam to Seattle to bring George's fiancée back to Alaska. Sam finds she is already married, and returns instead with Angel. Sam, after ...",177,177
"61 user,20 critic","'Guns' Donovan prefers carousing with his pals Doc Dedham and 'Boats' Gilhooley, until Dedham's high-society daughter Amelia shows up in their South Seas paradise.",178,178
"74 user,37 critic",A group of men trap wild animals in Africa and sell them to zoos. Will the arrival of a female wildlife photographer change their ways ?,179,179
"154 user,214 critic","Siberian gulag escapees travel 4,000 miles by foot to freedom in India.",180,180
"75 user,13 critic",Annabelle is the wise-beyond-her-years newcomer to an exclusive Catholic girls school. Having been expelled from her first two schools she's bound to stir some trouble. Sparks fly between ...,181,181
"35 user,22 critic",An adventurous love story between two young women of different social and economic backgrounds who find themselves going through all the typical struggles of a new romance.,182,182
"37 user,42 critic","Mary Norton's children's books about a family of four-inch-tall people who share accommodations with giant 'beans' (as in 'human bein's') are brought to the screen in beautifully scaled detail, but neither the story nor the characters come alive.",183,183
"66 user,109 critic","After spending two decades in England, Bill Bryson returns to the U.S., where he decides the best way to connect with his homeland is to hike the Appalachian Trail with one of his oldest friends.",184,184
"18 user,67 critic",Filmmakers James Franco and Travis Mathews re-imagine the lost 40 minutes from 'Cruising' as a starting point to a broader exploration of sexual and creative freedom.,185,185
"63 user,15 critic","An uptight New York tax lawyer gets his life turned upside down, all in a single day, when he's asked to escort a feisty and free-spirited female ex-convict whom asks him to help prove her innocence of her crime.",186,186
"55 user,27 critic","A bored suburban housewife, seeking adventure to her life, accidentally gets hit on the head, wakes up with amnesia, and is mistaken for a free-spirited New York City drifter named Susan.",187,187
1 user,"In Hollywood, a film buff gets involved with selling a Faberge egg.",188,188
"66 user,30 critic","In the post-war, the alcoholic and bitter veteran military and former writer Dave Hirsch returns from Chicago to his hometown Parkman, Indiana. He is followed by Ginnie Moorehead, a vulgar ...",189,189
"184 user,208 critic","In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged out rock 'n' roller presumed to be dead but very much alive -- has a multi-million dollar prize fall into...",190,190
"118 user,29 critic",A man who performs as a children's birthday party clown tries to piece his life back together after being gang-raped.,191,191
"7 user,11 critic","Jay and Silent Bob hit the lottery jackpot, and use their cash windfall to become crime-fighting superheroes.",192,192
