style,ounces,original_index,unique_index
Altbier,12.0 OZ.,89,68
American Pale Ale (APA),12.0 OZ.,90,69
Kölsch,16.0 oz,91,70
American IPA,16.0 OZ.,92,71
American Pale Ale (APA),16.0 oz. Alumi-Tek,93,72
American IPA,16.0 oz,94,43
American IPA,16.0 ounce,95,37
American IPA,12.0 oz. Alumi-Tek,96,73
American IPA,12.0 ounce,97,2
American Pale Wheat Ale,12.0 oz,98,74
American Amber / Red Lager,12.0 oz.,99,51
California Common / Steam Beer,12.0 ounce,100,75
Gose,12.0 oz.,101,76
American Pale Ale (APA),12.0 oz,102,20
Gose,12.0 oz.,103,76
Pumpkin Ale,12.0 oz,104,77
Oatmeal Stout,12.0 ounce,105,78
Cream Ale,12.0 ounce,106,79
American IPA,12.0 oz,107,35
American Amber / Red Ale,12.0 oz.,108,30
Oatmeal Stout,12.0 oz. Alumi-Tek,109,80
Vienna Lager,16.0 oz,110,81
American Amber / Red Ale,12.0 oz.,111,30
Cream Ale,12.0 oz,112,82
Oatmeal Stout,12.0 oz,113,5
Winter Warmer,12.0 ounce,114,26
American IPA,12.0 ounce,115,2
American Amber / Red Ale,12.0 ounce,116,83
Cream Ale,12.0 oz.,117,84
American Pale Ale (APA),12.0 oz.,118,1
American IPA,16.0 ounce,119,37
American Pale Ale (APA),16.0 oz,120,85
Oatmeal Stout,16.0 oz.,121,86
Cider,16.0 oz.,122,87
Cider,16.0 oz.,123,87
Cider,12.0 OZ.,124,88
Belgian Pale Ale,12.0 oz.,125,89
Witbier,12.0 ounce,126,90
American Stout,12.0 OZ.,127,91
American IPA,16.0 oz.,128,39
American Blonde Ale,16.0 oz. Alumi-Tek,129,92
American Porter,16.0 ounce,130,93
American Pale Ale (APA),12.0 oz. Silo Can,131,94
American Pale Wheat Ale,12.0 oz.,132,36
American Pale Ale (APA),12.0 oz,133,20
American Double / Imperial Stout,12.0 ounce,134,95
Saison / Farmhouse Ale,12.0 oz.,135,8
Gose,16.0 oz,136,96
American IPA,16.0 oz.,137,39
Kölsch,12.0 oz,138,97
American Porter,12.0 oz,139,98
American IPA,12.0 oz.,140,23
Kölsch,16.0 ounce,141,41
American IPA,16.0 oz. Alumi-Tek,142,99
American Amber / Red Ale,16.0 oz. Silo Can,143,100
American Blonde Ale,12.0 oz.,144,29
American IPA,12.0 oz,145,35
American Stout,12.0 oz.,146,19
American Double / Imperial IPA,12.0 oz.,147,25
American Porter,12.0 ounce,148,6
American Amber / Red Ale,12.0 OZ.,149,101
American Double / Imperial IPA,16.0 ounce,150,53
American Porter,16.0 oz.,151,102
Fruit / Vegetable Beer,16.0 oz,152,103
American Blonde Ale,12.0 oz.,153,29
American IPA,12.0 oz,154,35
Munich Helles Lager,12.0 oz.,155,104
American Black Ale,16.0 oz,156,105
American IPA,12.0 OZ.,157,4
American Pale Ale (APA),12.0 oz,158,20
German Pilsener,12.0 oz.,159,106
Schwarzbier,12.0 ounce,160,107
American Double / Imperial IPA,12.0 oz.,161,25
Saison / Farmhouse Ale,12.0 oz.,162,8
German Pilsener,12.0 oz.,163,106
Witbier,12.0 oz.,164,108
American IPA,12.0 oz,165,35
American Brown Ale,12.0 ounce,166,109
Pumpkin Ale,12.0 oz. Alumi-Tek,167,110
Märzen / Oktoberfest,12.0 oz.,168,111
American Pale Wheat Ale,12.0 ounce,169,112
American IPA,12.0 oz.,170,23
Tripel,12.0 oz.,171,16
American Amber / Red Ale,12.0 ounce,172,83
American Double / Imperial IPA,12.0 ounce,173,7
American Porter,12.0 oz.,174,113
American Blonde Ale,12.0 OZ.,175,114
American IPA,12.0 oz.,176,23
American Amber / Red Ale,12.0 ounce,177,83
English Brown Ale,12.0 ounce,178,115
American Pale Ale (APA),12.0 oz,179,20
American IPA,12.0 ounce,180,2
American Pale Ale (APA),12.0 ounce,181,11
American IPA,12.0 ounce,182,2
American IPA,12.0 ounce,183,2
Kölsch,12.0 OZ.,184,116
American IPA,12.0 OZ.,185,4
Munich Helles Lager,12.0 oz,186,117
American IPA,12.0 oz.,187,23
Extra Special / Strong Bitter (ESB),12.0 oz. Alumi-Tek,188,118
Rye Beer,12.0 oz,189,119
American Amber / Red Ale,12.0 ounce,190,83
American IPA,16.0 oz,191,43
American IPA,12.0 oz.,192,23
American Blonde Ale,12.0 oz,193,32
American Pilsner,12.0 oz. Alumi-Tek,194,120
American IPA,12.0 oz.,195,23
American Pale Lager,12.0 ounce,196,121
Witbier,12.0 oz.,197,108
Euro Dark Lager,12.0 oz,198,122
California Common / Steam Beer,12.0 ounce,199,75
American IPA,12.0 oz.,200,23
Schwarzbier,12.0 oz.,201,123
German Pilsener,12.0 oz.,202,106
California Common / Steam Beer,12.0 oz,203,124
Hefeweizen,16.0 oz,204,125
American Pale Wheat Ale,12.0 oz,205,74
Foreign / Export Stout,12.0 oz.,206,126
Rye Beer,12.0 ounce,207,127
American Pale Wheat Ale,12.0 oz.,208,36
American Amber / Red Ale,12.0 oz.,209,30
American Pale Ale (APA),12.0 OZ.,210,69
American IPA,12.0 oz,211,35
American Double / Imperial IPA,16.0 ounce,212,53
Fruit / Vegetable Beer,12.0 OZ.,213,128
American Pale Ale (APA),12.0 oz. Alumi-Tek,214,67
American IPA,12.0 oz.,215,23
Other,12.0 ounce,216,129
American Pale Wheat Ale,12.0 oz,217,74
Rye Beer,16.0 oz.,218,130
Witbier,16.0 oz.,219,131
American Pale Wheat Ale,16.0 oz.,220,132
American IPA,16.0 OZ.,221,71
American Brown Ale,16.0 oz.,222,133
English India Pale Ale (IPA),12.0 oz.,223,134
American Double / Imperial IPA,16.0 ounce,224,53
American Blonde Ale,12.0 oz.,225,29
American Black Ale,12.0 OZ.,226,135
American IPA,12.0 oz.,227,23
Extra Special / Strong Bitter (ESB),12.0 ounce,228,136
American IPA,12.0 oz.,229,23
American Black Ale,12.0 oz.,230,34
German Pilsener,12.0 oz.,231,106
English India Pale Ale (IPA),12.0 ounce,232,137
American Pale Ale (APA),12.0 oz,233,20
American IPA,12.0 oz.,234,23
Czech Pilsener,12.0 oz.,235,138
American Porter,12.0 oz,236,98
Hefeweizen,12.0 oz,237,139
American Blonde Ale,12.0 OZ.,238,114
American Strong Ale,16.0 oz. Alumi-Tek,239,140
American Double / Imperial IPA,12.0 ounce,240,7
California Common / Steam Beer,16.0 oz.,241,141
American Amber / Red Ale,16.0 oz,242,142
American IPA,12.0 ounce,243,2
American Stout,12.0 OZ.,244,91
Saison / Farmhouse Ale,12.0 ounce,245,143
American Stout,16.0 oz.,246,144
American IPA,16.0 ounce,247,37
Fruit / Vegetable Beer,12.0 oz.,248,22
American IPA,16.0 oz.,249,39
Czech Pilsener,12.0 oz.,250,138
American IPA,12.0 oz.,251,23
American IPA,12.0 ounce,252,2
English Pale Ale,12.0 oz,253,145
American Pale Wheat Ale,12.0 oz,254,74
American Brown Ale,12.0 oz.,255,146
English Strong Ale,12.0 oz.,256,24
American Brown Ale,12.0 oz.,257,146
American Pale Wheat Ale,12.0 oz,258,74
American IPA,12.0 OZ.,259,4
American Blonde Ale,12.0 ounce,260,147
English Pale Ale,12.0 oz,261,145
American Pale Wheat Ale,12.0 oz,262,74
American Brown Ale,12.0 oz.,263,146
American IPA,12.0 oz.,264,23
American Amber / Red Ale,12.0 ounce,265,83
American Pale Ale (APA),16.0 oz,266,85
Rye Beer,16.0 ounce,267,148
American Double / Imperial IPA,16.0 OZ.,268,149
Oatmeal Stout,16.0 oz.,269,86
American IPA,16.0 oz.,270,39
American Pale Ale (APA),16.0 ounce,271,150
American Brown Ale,12.0 oz,272,33
American Pale Ale (APA),12.0 oz,273,20
American Blonde Ale,12.0 oz.,274,29
Rye Beer,16.0 oz,275,151
American Blonde Ale,12.0 oz,276,32
American IPA,12.0 ounce,277,2
Hefeweizen,12.0 ounce,278,152
American Pale Ale (APA),12.0 ounce,279,11
American Strong Ale,12.0 oz,280,153
American Porter,12.0 ounce,281,6
Saison / Farmhouse Ale,12.0 oz.,282,8
American Amber / Red Ale,12.0 oz,283,154
American Brown Ale,12.0 oz,284,33
American Amber / Red Ale,12.0 oz,285,154
Rye Beer,12.0 ounce,286,127
American IPA,12.0 oz. Alumi-Tek,287,73
Foreign / Export Stout,12.0 OZ.,288,155
American Pale Wheat Ale,12.0 ounce,289,112
American Brown Ale,12.0 ounce,290,109
American IPA,12.0 oz,291,35
Cream Ale,12.0 ounce,292,79
American Pale Wheat Ale,12.0 ounce,293,112
American Pilsner,12.0 oz. Alumi-Tek,294,120
American Brown Ale,12.0 oz.,295,146
American Amber / Red Ale,12.0 oz.,296,30
American Double / Imperial IPA,12.0 oz.,297,25
German Pilsener,12.0 oz,298,156
American Double / Imperial IPA,12.0 ounce,299,7
American Stout,12.0 ounce,300,157
Saison / Farmhouse Ale,12.0 ounce,301,143
American Pale Ale (APA),12.0 oz.,302,1
Extra Special / Strong Bitter (ESB),12.0 oz.,303,158
Extra Special / Strong Bitter (ESB),12.0 ounce,304,136
Extra Special / Strong Bitter (ESB),12.0 ounce,305,136
American Pale Ale (APA),12.0 oz.,306,1
Mead,12.0 oz.,307,159
Mead,12.0 oz,308,160
American Double / Imperial IPA,12.0 oz,309,3
American Pale Ale (APA),12.0 ounce,310,11
Extra Special / Strong Bitter (ESB),12.0 oz.,311,158
Euro Pale Lager,12.0 oz.,312,161
American Pale Ale (APA),12.0 ounce,313,11
Kölsch,12.0 oz,314,97
American Stout,12.0 oz.,315,19
American Pale Wheat Ale,12.0 oz.,316,36
American Amber / Red Ale,12.0 oz.,317,30
American Pale Ale (APA),12.0 oz,318,20
American Black Ale,16.0 oz. Alumi-Tek,319,162
American White IPA,12.0 oz.,320,163
American Blonde Ale,12.0 ounce,321,147
Vienna Lager,12.0 ounce,322,164
Dortmunder / Export Lager,12.0 oz.,323,165
Altbier,12.0 oz.,324,166
Schwarzbier,12.0 oz.,325,123
Czech Pilsener,12.0 oz,326,167
Vienna Lager,12.0 oz. Alumi-Tek,327,168
American IPA,12.0 oz,328,35
Cream Ale,12.0 oz. Alumi-Tek,329,169
American Brown Ale,12.0 oz.,330,146
American IPA,16.0 OZ.,331,71
Irish Dry Stout,16.0 oz.,332,170
Munich Helles Lager,12.0 oz,333,117
Munich Helles Lager,12.0 oz.,334,104
American IPA,12.0 ounce,335,2
Scotch Ale / Wee Heavy,16.0 oz.,336,171
Czech Pilsener,16.0 ounce,337,172
Märzen / Oktoberfest,12.0 oz.,338,111
English India Pale Ale (IPA),16.0 ounce,339,173
American Blonde Ale,12.0 oz. Alumi-Tek,340,174
American IPA,16.0 oz. Alumi-Tek,341,99
American Blonde Ale,12.0 oz,342,32
American Blonde Ale,12.0 oz,343,32
Extra Special / Strong Bitter (ESB),12.0 oz.,344,158
Munich Dunkel Lager,16.0 oz.,345,175
American Pale Ale (APA),12.0 oz.,346,1
Winter Warmer,12.0 oz.,347,176
American Porter,16.0 ounce,348,93
American Pale Ale (APA),12.0 ounce,349,11
American Brown Ale,12.0 oz.,350,146
Czech Pilsener,12.0 ounce,351,177
American Blonde Ale,16.0 oz.,352,178
American IPA,16.0 ounce,353,37
American Porter,16.0 oz. Alumi-Tek,354,179
Radler,12.0 ounce,355,180
American IPA,16.0 oz,356,43
Witbier,12.0 ounce,357,90
Bock,12.0 oz.,358,181
Vienna Lager,16.0 ounce,359,182
Vienna Lager,12.0 oz.,360,183
Märzen / Oktoberfest,12.0 oz,361,184
American Pale Wheat Ale,12.0 oz,362,74
Vienna Lager,12.0 oz.,363,183
American Pale Ale (APA),12.0 oz.,364,1
American Pale Ale (APA),12.0 ounce,365,11
American Pale Ale (APA),12.0 oz.,366,1
American IPA,12.0 oz.,367,23
American Pale Ale (APA),12.0 oz.,368,1
American IPA,12.0 oz,369,35
English Dark Mild Ale,12.0 ounce,370,185
American Porter,12.0 oz.,371,113
American Porter,12.0 ounce,372,6
American IPA,12.0 ounce,373,2
Hefeweizen,12.0 oz.,374,186
American Amber / Red Ale,12.0 oz,375,154
American Amber / Red Ale,12.0 oz. Alumi-Tek,376,187
Kölsch,16.0 oz,377,70
American Pale Wheat Ale,12.0 oz.,378,36
American Pale Wheat Ale,12.0 ounce,379,112
American IPA,12.0 ounce,380,2
American Amber / Red Ale,12.0 oz,381,154
Fruit / Vegetable Beer,12.0 oz.,382,22
American IPA,12.0 oz.,383,23
Irish Red Ale,12.0 oz.,384,188
American Pale Wheat Ale,12.0 oz,385,74
American Pale Ale (APA),16.0 oz.,386,56
American Amber / Red Ale,16.0 ounce,387,189
Saison / Farmhouse Ale,16.0 oz,388,190
Belgian Pale Ale,16.0 oz.,389,191
American Double / Imperial Stout,16.0 OZ.,390,192
American IPA,16.0 oz,391,43
Rauchbier,16.0 oz.,392,193
Bière de Garde,16.0 oz,393,194
Belgian IPA,16.0 oz.,394,195
Doppelbock,16.0 oz. Alumi-Tek,395,196
Saison / Farmhouse Ale,16.0 oz,396,190
Witbier,16.0 oz.,397,131
Belgian IPA,16.0 oz,398,197
Saison / Farmhouse Ale,16.0 ounce,399,198
Belgian IPA,16.0 oz.,400,195
Saison / Farmhouse Ale,16.0 OZ.,401,61
Rye Beer,16.0 ounce,402,148
Dunkelweizen,16.0 oz.,403,199
Belgian Strong Pale Ale,16.0 oz.,404,200
Dubbel,16.0 oz.,405,201
Belgian Dark Ale,16.0 oz. Silo Can,406,202
Belgian Dark Ale,16.0 oz.,407,203
Belgian Pale Ale,16.0 oz,408,59
Witbier,16.0 ounce,409,204
Oatmeal Stout,16.0 oz.,410,86
American Porter,16.0 oz,411,205
Quadrupel (Quad),16.0 oz,412,206
Rauchbier,16.0 oz.,413,193
Belgian IPA,16.0 oz.,414,195
Belgian Dark Ale,16.0 oz.,415,203
Belgian IPA,16.0 oz.,416,195
Rye Beer,16.0 oz.,417,130
American Stout,16.0 ounce,418,64
Fruit / Vegetable Beer,16.0 oz.,419,207
Belgian Dark Ale,16.0 oz.,420,203
Belgian Dark Ale,16.0 oz,421,42
Belgian Pale Ale,16.0 oz,422,59
Bière de Garde,16.0 ounce,423,208
Belgian Dark Ale,16.0 oz,424,42
Witbier,16.0 oz.,425,131
American Stout,16.0 oz,426,209
Belgian IPA,16.0 oz. Alumi-Tek,427,210
American Wild Ale,16.0 ounce,428,62
Fruit / Vegetable Beer,16.0 oz.,429,207
American Double / Imperial IPA,16.0 oz,430,211
Bière de Garde,16.0 ounce,431,208
American Black Ale,16.0 ounce,432,212
Saison / Farmhouse Ale,16.0 oz,433,190
Tripel,16.0 oz.,434,213
Belgian Dark Ale,16.0 ounce,435,214
American Amber / Red Ale,16.0 oz.,436,215
Quadrupel (Quad),16.0 OZ.,437,216
American Double / Imperial Stout,16.0 oz,438,217
American Wild Ale,16.0 oz.,439,218
Bière de Garde,16.0 oz,440,194
Russian Imperial Stout,16.0 ounce,441,219
American Amber / Red Ale,16.0 oz.,442,215
Saison / Farmhouse Ale,16.0 oz.,443,220
Tripel,16.0 oz,444,221
Belgian IPA,16.0 oz,445,197
Belgian Strong Dark Ale,16.0 oz. Alumi-Tek,446,222
Saison / Farmhouse Ale,16.0 oz.,447,220
Belgian Pale Ale,16.0 oz.,448,191
Belgian IPA,16.0 oz,449,197
American Pale Ale (APA),12.0 oz.,450,1
American Pale Wheat Ale,12.0 oz.,451,36
American Amber / Red Ale,16.0 oz,452,142
American Amber / Red Ale,12.0 oz.,453,30
American Pale Ale (APA),12.0 oz. Alumi-Tek,454,67
Cream Ale,12.0 oz.,455,84
American IPA,12.0 oz.,456,23
English India Pale Ale (IPA),16.0 oz,457,223
English Pale Mild Ale,12.0 ounce,458,224
English India Pale Ale (IPA),12.0 oz.,459,134
English Pale Mild Ale,12.0 OZ.,460,225
American Amber / Red Lager,16.0 oz.,461,226
American Amber / Red Lager,12.0 oz. Alumi-Tek,462,227
Belgian IPA,16.0 oz,463,197
Maibock / Helles Bock,16.0 oz. Alumi-Tek,464,228
American Black Ale,16.0 oz.,465,229
Schwarzbier,16.0 oz,466,230
American Amber / Red Ale,16.0 oz,467,142
Herbed / Spiced Beer,16.0 oz.,468,231
Schwarzbier,16.0 oz.,469,232
Munich Helles Lager,16.0 ounce,470,233
American Pale Ale (APA),12.0 oz.,471,1
American Blonde Ale,12.0 oz.,472,29
Witbier,12.0 oz,473,234
American Double / Imperial IPA,16.0 ounce,474,53
American Brown Ale,16.0 OZ.,475,235
American Black Ale,16.0 oz,476,105
Fruit / Vegetable Beer,24.0 oz.,477,236
American Pale Ale (APA),12.0 oz,478,20
American Double / Imperial IPA,12.0 ounce,479,7
Cream Ale,12.0 oz.,480,84
American Pale Wheat Ale,16.0 oz.,481,132
American Pale Wheat Ale,16.0 ounce,482,237
American IPA,16.0 oz,483,43
American IPA,16.0 oz,484,43
American Pale Ale (APA),16.0 oz,485,85
American Pale Lager,12.0 oz,486,0
American Pale Ale (APA),12.0 ounce,487,11
Hefeweizen,12.0 ounce,488,152
American IPA,12.0 oz.,489,23
Milk / Sweet Stout,12.0 oz,490,238
American Pale Ale (APA),12.0 ounce,491,11
American Double / Imperial Stout,12.0 ounce,492,95
American Brown Ale,12.0 oz. Alumi-Tek,493,239
American Pale Ale (APA),12.0 oz.,494,1
Kölsch,16.0 oz.,495,240
American IPA,16.0 oz.,496,39
American Double / Imperial IPA,16.0 oz.,497,46
American Porter,16.0 ounce,498,93
American Blonde Ale,16.0 oz,499,241
American Amber / Red Ale,16.0 oz.,500,215
American IPA,16.0 oz,501,43
American Amber / Red Ale,16.0 OZ.,502,242
American Blonde Ale,16.0 ounce,503,243
American IPA,12.0 ounce,504,2
American Porter,12.0 ounce,505,6
American Pale Ale (APA),12.0 oz.,506,1
American Adjunct Lager,12.0 oz,507,244
American Amber / Red Ale,12.0 ounce,508,83
American IPA,12.0 oz,509,35
American IPA,12.0 OZ.,510,4
American Pale Ale (APA),12.0 oz,511,20
American Pale Ale (APA),12.0 ounce,512,11
American Pale Ale (APA),12.0 oz.,513,1
American Pale Ale (APA),12.0 ounce,514,11
American Pale Ale (APA),12.0 oz.,515,1
American Amber / Red Ale,12.0 oz. Alumi-Tek,516,187
American IPA,12.0 oz,517,35
American Pilsner,12.0 oz.,518,245
American IPA,12.0 oz.,519,23
Witbier,12.0 oz,520,234
American Amber / Red Ale,12.0 ounce,521,83
American Blonde Ale,12.0 oz. Alumi-Tek,522,174
English Dark Mild Ale,12.0 oz.,523,246
Pumpkin Ale,16.0 oz.,524,247
American Double / Imperial IPA,16.0 oz.,525,46
American IPA,12.0 oz,526,35
German Pilsener,12.0 oz.,527,106
American Amber / Red Ale,12.0 ounce,528,83
American Amber / Red Ale,16.0 oz.,529,215
American Blonde Ale,16.0 oz.,530,178
American Black Ale,12.0 oz,531,248
Vienna Lager,12.0 ounce,532,164
Munich Helles Lager,12.0 oz.,533,104
American IPA,12.0 ounce,534,2
Munich Helles Lager,16.0 OZ.,535,249
American IPA,12.0 oz.,536,23
Vienna Lager,12.0 ounce,537,164
American Pale Wheat Ale,12.0 oz.,538,36
Vienna Lager,12.0 ounce,539,164
American Pale Ale (APA),12.0 ounce,540,11
American Pale Lager,12.0 ounce,541,121
American Blonde Ale,12.0 ounce,542,147
American Blonde Ale,12.0 ounce,543,147
American Blonde Ale,12.0 oz,544,32
Winter Warmer,16.0 oz,545,250
English India Pale Ale (IPA),12.0 oz.,546,134
Kölsch,12.0 oz.,547,251
American Black Ale,16.0 oz.,548,229
Berliner Weissbier,16.0 ounce,549,252
American Double / Imperial IPA,16.0 oz,550,211
American IPA,12.0 oz.,551,23
Cider,16.0 oz.,552,87
Cider,16.0 oz,553,253
Cream Ale,12.0 oz,554,82
American IPA,12.0 ounce,555,2
Witbier,12.0 oz.,556,108
Winter Warmer,12.0 oz. Alumi-Tek,557,254
Witbier,12.0 OZ.,558,255
American IPA,12.0 oz.,559,23
Cream Ale,12.0 oz.,560,84
Witbier,16.0 ounce,561,204
Scottish Ale,16.0 OZ.,562,256
American Brown Ale,12.0 oz,563,33
American Porter,12.0 oz,564,98
American Double / Imperial IPA,16.0 oz.,565,46
,16.0 oz.,566,257
American IPA,16.0 oz,567,43
Smoked Beer,16.0 oz.,568,258
American Pale Ale (APA),16.0 oz,569,85
Cream Ale,16.0 oz.,570,259
American Blonde Ale,12.0 ounce,571,147
American Amber / Red Ale,12.0 oz,572,154
Altbier,12.0 ounce,573,260
American Amber / Red Lager,12.0 oz. Alumi-Tek,574,227
Altbier,12.0 ounce,575,260
American Pale Ale (APA),12.0 OZ.,576,69
Herbed / Spiced Beer,16.0 oz,577,261
American IPA,16.0 oz.,578,39
American Double / Imperial IPA,16.0 oz.,579,46
American Black Ale,16.0 oz,580,105
Rye Beer,24.0 oz,581,262
American Stout,12.0 OZ.,582,91
Kölsch,12.0 oz,583,97
American IPA,12.0 oz,584,35
Kölsch,16.0 oz. Alumi-Tek,585,263
Fruit / Vegetable Beer,16.0 oz. Alumi-Tek,586,264
American Pale Ale (APA),16.0 oz.,587,56
English Brown Ale,16.0 oz.,588,265
American Strong Ale,16.0 ounce,589,266
Märzen / Oktoberfest,16.0 ounce,590,267
American IPA,16.0 oz,591,43
Fruit / Vegetable Beer,16.0 oz.,592,207
Altbier,16.0 ounce,593,268
American Double / Imperial IPA,12.0 oz.,594,25
American Pilsner,12.0 oz,595,269
Cider,12.0 oz.,596,13
Cider,12.0 ounce,597,12
Bock,12.0 oz.,598,181
American IPA,12.0 oz,599,35
American Black Ale,12.0 oz.,600,34
American Brown Ale,12.0 oz,601,33
Märzen / Oktoberfest,12.0 oz.,602,111
American Porter,12.0 oz.,603,113
American IPA,12.0 oz. Alumi-Tek,604,73
American IPA,12.0 oz. Silo Can,605,270
American IPA,12.0 ounce,606,2
American Pale Ale (APA),12.0 oz. Alumi-Tek,607,67
American IPA,12.0 oz.,608,23
American IPA,12.0 ounce,609,2
American IPA,12.0 oz.,610,23
American Pale Ale (APA),12.0 oz.,611,1
American Pale Wheat Ale,16.0 oz,612,271
American IPA,12.0 oz,613,35
American IPA,12.0 ounce,614,2
American Porter,12.0 oz,615,98
American Pale Ale (APA),12.0 oz,616,20
English Brown Ale,12.0 ounce,617,115
American Brown Ale,12.0 oz,618,33
Munich Helles Lager,12.0 oz.,619,104
American Amber / Red Ale,12.0 oz,620,154
American IPA,12.0 oz,621,35
Witbier,12.0 oz. Alumi-Tek,622,272
Light Lager,12.0 oz.,623,273
Pumpkin Ale,12.0 oz,624,77
Witbier,12.0 oz.,625,108
Munich Helles Lager,12.0 oz.,626,104
American IPA,12.0 oz,627,35
Light Lager,12.0 oz.,628,273
English Pale Ale,12.0 oz.,629,274
American IPA,16.0 oz.,630,39
American Black Ale,12.0 oz,631,248
American Pale Wheat Ale,16.0 oz,632,271
American Blonde Ale,12.0 oz,633,32
American Brown Ale,12.0 ounce,634,109
Kölsch,12.0 ounce,635,275
American IPA,12.0 ounce,636,2
American Amber / Red Ale,12.0 oz.,637,30
American Amber / Red Ale,12.0 oz,638,154
Fruit / Vegetable Beer,16.0 OZ.,639,276
American IPA,16.0 ounce,640,37
German Pilsener,16.0 ounce,641,277
American Blonde Ale,16.0 oz.,642,178
American Pilsner,12.0 oz.,643,245
American Amber / Red Ale,12.0 oz,644,154
Oatmeal Stout,12.0 ounce,645,78
Extra Special / Strong Bitter (ESB),12.0 oz.,646,158
American Pale Lager,12.0 oz,647,0
Kölsch,12.0 ounce,648,275
American Blonde Ale,16.0 oz.,649,178
Oatmeal Stout,16.0 oz,650,278
American Black Ale,16.0 oz.,651,229
American Pale Ale (APA),12.0 OZ.,652,69
Belgian Strong Pale Ale,12.0 oz,653,279
American Stout,12.0 oz. Alumi-Tek,654,280
American Amber / Red Ale,12.0 oz.,655,30
American Amber / Red Ale,12.0 ounce,656,83
Witbier,12.0 oz.,657,108
American Pale Ale (APA),12.0 ounce,658,11
American Amber / Red Ale,12.0 ounce,659,83
American IPA,12.0 oz.,660,23
Berliner Weissbier,12.0 ounce,661,281
American Blonde Ale,12.0 oz.,662,29
American Porter,12.0 oz.,663,113
American Pale Ale (APA),12.0 oz,664,20
