article_title,article_jissue,original_index,unique_index,count
"Responses to open peer commentaries on ""the subjective brain, identity, and neuroethics""",9.0,29,29,1.0
[A case of giant Brunner's gland hyperplasia combined with adenomyomatous hyperplasia].,6.0,30,30,1.0
Efficacy and safety of the low-molecular weight heparin enoxaparin compared with unfractionated heparin across the acute coronary syndrome spectrum: a meta-analysis.,17.0,31,31,1.0
Optimal Starting Age for School Attendance: FY76 Issue Analysis,0.0,32,32,1.0
Bone density and body composition in young women with chronic fatigue syndrome.,,33,33,
Prognostic value of morning blood pressure surge in clinical events: a meta-analysis of longitudinal studies.,2.0,34,34,1.0
"Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan, Nigeria.",3.0,35,35,1.0
Successful treatment of lung cancer by multimodal endobronchial interventions,2.0,36,36,1.0
Fat and neurosurgery: does obesity affect outcome after intracranial surgery?,2.0,37,37,1.0
Out of harm's way: curbing violence in the ED,10.0,38,38,1.0
The incidence of contrast-induced nephropathy in trauma patients.,3.0,39,39,1.0
Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted intensity modulated radiation therapy for squamous cell carcinoma of the anal canal,1.0,40,40,1.0
Brain BDNF levels elevation induced by physical training is reduced after unilateral common carotid artery occlusion in rats.,10.0,41,41,1.0
Multiresistance of clinically relevant gram-positive cocci,7.0,42,42,1.0
ColoRectal Cancer Predicted Risk Online (CRC-PRO) calculator using data from the Multi-Ethnic Cohort Study.,1.0,43,43,1.0
Methodology to estimate building energy consumption using EnergyPlus Benchmark Models,12.0,44,44,1.0
Evidence that serum levels of the soluble receptor for advanced glycation end products are inversely associated with pancreatic cancer risk: a prospective study.,10.0,45,45,1.0
"Norton, Waterlow and Braden scores: a review of the literature and a comparison between the scores and clinical judgement",0.0,46,46,1.0
"Strategies for partner notification for sexually transmitted infections, including HIV.",,47,47,
A cohort study of the prevalence and impact of comorbid medical conditions in pediatric bipolar disorder.,11.0,48,48,1.0
Are tkis still active in patients treated with tki and everolimus? Experience from 36 patients treated in france in the record 1 trial,0.0,49,49,1.0
Use of alendronate in peri-implant defect regeneration,2.0,50,50,1.0
"Prevention of phantom pain after major lower limb amputation by epidural infusion of diamorphine, clonidine and bupivacaine",5.0,51,51,1.0
How assistive technology use by individuals with disabilities impacts their caregivers: a systematic review of the research evidence.,11.0,52,52,1.0
"Gender differences in personal, social and environmental influences on active travel to and from school for Australian adolescents.",6.0,53,53,1.0
Adolescent overscheduling: The relationship between levels of participation in scheduled activities and self-reported clinical symptomology,3.0,54,54,1.0
Quantitative Analysis of Robustness of Dynamic Response and Signal Transfer in Insulin mediated PI3K/AKT Pathway.,,55,55,
Does neuraxial anesthesia reduce intraoperative blood loss? A meta-analysis.,6.0,56,56,1.0
Novel genetic linkage of rat Sp6 mutation to Amelogenesis imperfecta,0.0,57,57,1.0
"Educating Emergent Bilinguals: Policies, Programs, and Practices for English Language Learners. Language & Literacy Series",0.0,58,58,1.0
Similar survival between uncemented and cemented fixation prostheses in total knee arthroplasty: a meta-analysis and systematic comparative analysis using registers.,12.0,59,59,1.0
Current palliative chemotherapy trials in the elderly neglect patient-centred outcome measures.,1.0,60,60,1.0
Outcome of gastric bypass patients.,2.0,61,61,1.0
A Modified Technique for Pulmonary Valve Replacement with a Homograft,2.0,62,62,1.0
"Advances in allergic skin disease, anaphylaxis, and hypersensitivity reactions to foods, drugs, and insects",1.0,63,63,1.0
"Phase II study of epirubicin, oxaliplatin and docetaxel combination in metastatic gastric or gastroesophageal junction adenocarcinoma.",,64,64,
Neck pain.,,65,65,
A guide to physiotherapy in cerebral palsy,0.0,66,66,1.0
Community associated methicillin-resistant Staphylococcus aureus in HIV-infected patients,3.0,67,67,1.0
[The anxiety level of the patients who will have ultrasound-guided puncture biopsy: a survey study].,3.0,68,68,1.0
The relationship between capsulorhexis size and anterior chamber depth relation.,3.0,69,69,1.0
"A pilot study of rituximab in patients with recurrent, classic Hodgkin disease.",2.0,70,70,1.0
A cognitive behavior intervention program in women with unexplained chest pain--a pilot study,2.0,71,71,1.0
Assessing social isolation in motor neurone disease: a Rasch analysis of the MND Social Withdrawal Scale.,1.0,72,72,1.0
"Three-year Outcomes in de Novo Liver Transplant Patients     Receiving Everolimus with Reduced Tacrolimus: Follow-Up Results from     a Randomized, Multicenter Study",7.0,73,73,1.0
Plasma cell leukemia--a case report.,3.0,74,74,1.0
CABG again outshines stenting for some patients with coronary artery blockage,1.0,75,75,1.0
Health-promoting behaviors of low-income cancer survivors,3.0,76,76,1.0
Food allergy in children,10.0,77,77,1.0
"Here to stay. An interview with Dr. David Satcher, Director, U.S. Centers for Disease Control and Prevention.",17.0,78,78,1.0
The first case of drug-induced immune hemolytic anemia due to hydrocortisone,9.0,79,79,1.0
KRAS mutational status assessment in patients with metastatic colorectal cancer: are the clinical implications so clear?,2.0,80,80,1.0
Classifying radiographic progression status in early rheumatoid arthritis patients using propensity scores to adjust for baseline differences.,1.0,81,81,1.0
"Infusing Tolerance, Diversity, and Social Personal Curriculum into Inclusive Social Studies Classes Using Family Portraits and Contextual Teaching and Learning",3.0,82,82,1.0
Adherence to fesoterodine in women with overactive bladder in routine clinical practice.,4.0,83,83,1.0
Chronic pain related to quality of sleep,2.0,84,84,1.0
On the role of pre and post-processing in environmental data mining,0.0,85,85,1.0
Cardioactive steroid poisoning: a comparison of plant- and animal-derived compounds.,4.0,86,86,1.0
Forensic odontology: A prosthodontic view,1.0,87,87,1.0
FIGO staging of gynecologic cancer. 1994-1997 FIGO Committee on Gynecologic Oncology. International Federation of Gynecology and Obstetrics,1.0,88,88,1.0
Effect of neuromuscular electrical stimulation and isotonic exercises in flexor and extensor muscles of knee of hemiplegic patients,3.0,89,89,1.0
Ventricular fibrillation in acute mitral valve insufficiency caused by chordae tendineae rupture: report of a surgically corrected case.,3.0,90,90,1.0
[Assessment of prognostic factors of thoracic synovial sarcoma].,1.0,91,91,1.0
Secondary school tobacco policy and prevention curricula in South Carolina,4.0,92,92,1.0
Intimate Partner Violence Survivors' Unmet Social Service Needs,5.0,93,93,1.0
Partial fill strategies for oral oncolytics to reduce waste and drive persistency,1.0,94,94,1.0
The impact of advancing age on P-glycoprotein expression and activity: current knowledge and future directions,3.0,95,95,1.0
Prevalence of allergic diseases in Poland - ECAP study,0.0,96,96,1.0
The changing patterns of systemic fluoride intake,5.0,97,97,1.0
Normal insulin sensitivity and IMCL content in overweight humans are associated with higher fasting lipid oxidation.,3.0,98,98,1.0
"Dietary practices of ballet, jazz, and modern dancers",3.0,99,99,1.0
Iatrogenic perforation at colonic imaging.,0.0,100,100,1.0
The embodied nature of medical concepts: Image schemas and language for pain,3.0,101,101,1.0
Nasal steroids in snorers can decrease snoring frequency: a randomized placebo-controlled crossover trial,2.0,102,102,1.0
Risk of gestational diabetes mellitus in women with polycystic ovary syndrome: a systematic review and a meta-analysis.,2.0,103,103,1.0
"Clinical pharmacokinetics of Icotinib, an anti-cancer drug: evaluation of dose proportionality, food effect, and tolerability in healthy subjects.",4.0,104,104,1.0
"A qualitative exploration of the cancer experience among long-term survivors: comparisons by cancer type, ethnicity, gender, and age.",3.0,105,105,1.0
High intensity interval exercise training in overweight young women,3.0,106,106,1.0
Effect of antibiotic prescribing in primary care on meticillin-resistant Staphylococcus aureus carriage in community-resident adults: a controlled observational study,2.0,107,107,1.0
Ghrelin improves left ventricular dysfunction and cardiac cachexia in heart failure.,2.0,108,108,1.0
Pool fencing for preventing drowning in children.,2.0,109,109,1.0
Intrinsically de-sialylated CD103(+) CD8 T cells mediate beneficial anti-glioma immune responses.,9.0,110,110,1.0
Mind the Gap: Difference between Framingham heart age and real age increases with age in HIV-positive individuals - A clinical cohort study,10.0,111,111,1.0
Cardiac atrophy in women following bed rest,0.0,112,112,1.0
Patent abstractsnull,4.0,113,113,1.0
The value of a continuous ambulatory activity monitor to quantify the amount and intensity of daily activity in patients with rheumatoid arthritis.,4.0,114,114,1.0
Antiplatelet therapy in patients with ST-elevation myocardial infarction undergoing myocardial revascularisation: Beyond clopidogrel.,0.0,115,115,1.0
Thermoregulatory response of women to intermittent work in the heat,1.0,116,116,1.0
Perceived barriers that impede provider relations and medication delivery: Hospice providers' experiences in nursing homes and private homes,0.0,117,117,1.0
"Effet d'une intervention non m̩dicamenteuse, Voix d'Or�, sur les troubles du comportement dans la maladie d'Alzheimer ou une maladie apparent̩e. [Effect of a non-pharmacological intervention, Voix d'Or�, on behavior disturbances in Alzheimer disease and associated disorders.]",3.0,118,118,1.0
The Hierarchical Organization of Intellectual Structures,0.0,119,119,1.0
Desflurane and isoflurane increase lumbar cerebrospinal fluid pressure in normocapnic patients undergoing transsphenoidal hypophysectomy.,5.0,120,120,1.0
Pathways of care-seeking during fatal infant illnesses in under-resourced South African settings.,2.0,121,121,1.0
Impact of education and provision of complementary feeding on growth and morbidity in children less than 2 years of age in developing countries: a systematic review.,,122,122,
Sustained complete remission of a limited-stage blastic plasmacytoid dendritic cell neoplasm followed by a simultaneous combination of low-dose DeVIC therapy and radiation therapy: a case report and review of the literature.,11.0,123,123,1.0
Primary vaginal cancer and chemoradiotherapy: a patterns-of-care analysis,2.0,124,124,1.0
[Neurological dysfunction induced by bilirrubin].,4.0,125,125,1.0
A comparison of recovery characteristics of sevoflurane and propofol-remifentanil anesthesia in geriatric patients,0.0,126,126,1.0
Data mining usage in health care management: literature survey and decision tree application,1.0,127,127,1.0
Predicting infection in localized intraabdominal fluid collections: value of pH and pO2 measurements.,4.0,128,128,1.0
Antivitamin K drugs in stroke prevention,6.0,129,129,1.0
Teaching medical student geriatrics competencies in 1 week: an efficient model to teach and document selected competencies using clinical and community resources,7.0,130,130,1.0
Low prevalence and increased household clustering of Mycobacterium tuberculosis infection in high altitude villages in Peru.,6.0,131,131,1.0
A literature review on chronic pain: the daily overcoming of a complex problem.,0.0,132,132,1.0
" Mobilisation with movement and exercise, corticosteroid injection, or wait and see for tennis elbow",0.0,133,133,1.0
Clinical outcomes and cost-effectiveness of strategies for managing people at high risk for diabetes (Structured abstract),1.0,134,134,1.0
Soleus Hoffmann-reflex modulation during walking in healthy elderly and young adults.,12.0,135,135,1.0
CT false-profile view of the hip: a reproducible method of measuring anterior acetabular coverage using volume CT data.,11.0,136,136,1.0
A pharmacoeconomic evaluation of statins in the treatment of hypercholesterolaemia in the primary care setting in Spain (Structured abstract),3.0,137,137,1.0
When is carotid angioplasty and stenting the cost-effective alternative for revascularization of symptomatic carotid stenosis? A Canadian health system perspective,2.0,138,138,1.0
Proximal migration of a 5 French pancreatic stent during bile stone extraction: a successful retrieval using mini-snare,0.0,139,139,1.0
Carriage of methicillin-resistant Staphylococcus aureus by veterinarians in Australia,5.0,140,140,1.0
"Multicenter, randomized, placebo-controlled trial of amitriptyline in children with functional gastrointestinal disorders",0.0,141,141,1.0
Terbutaline pump for the prevention of preterm birth (Structured abstract),4.0,142,142,1.0
Complex regional pain syndrome type 1 after fractures of the distal radius: a prospective study of the role of psychological factors,6.0,143,143,1.0
Interatrial conduction measured during biventricular pacemaker implantation accurately predicts optimal paced atrioventricular intervals.,3.0,144,144,1.0
Clinical comparison of the effects of nimesulide and ibuprofen on fever in children. [Chinese],4.0,145,145,1.0
Usefulness of a myofascial trigger point injection for groin pain in patients with chronic prostatitis/chronic pelvic pain syndrome: a pilot study,5.0,146,146,1.0
The value of routine radiography in patients with knee osteoarthritis consulting primary health care: a study of agreement,1.0,147,147,1.0
Studies with the maximal histamine test.,4.0,148,148,1.0
Mandibular second molar with C-shaped canal morphology and five canals: report of a case.,3.0,149,149,1.0
Assessing food safety system in sub-Saharan countries: An overview of key issues,2.0,150,150,1.0
Hearing feelings: a quantitative meta-analysis on the neuroimaging literature of emotional prosody perception.,12.0,151,151,1.0
[Skeletal maturation in assessing underage asylum seekers].,22.0,152,152,1.0
The ex vivo antimicrobial activity and colonization rate of two antimicrobial-bonded central venous catheters,6.0,153,153,1.0
Acupuncture anesthesia used in rabbit abdominal operations,2.0,154,154,1.0
Posterior positional plagiocephaly treated with cranial remodeling orthosis.,25.0,155,155,1.0
Cardiac MRI in ischemic heart disease,9.0,156,156,1.0
"Twisting the night away: a review of the neurobiology, genetics, diagnosis, and treatment of shift work disorder.",,157,157,
[Evaluation of treatment outcomes in tuberculosis of knee and hip joints in 2005-2012].,4.0,158,158,1.0
Assessing quality of life in patients after partial laryngectomy,2.0,159,159,1.0
Application of a stress and coping model to positive and negative adjustment outcomes in colorectal cancer caregiving,11.0,160,160,1.0
"Cyclin d1 gene expression in oral mucosa of tobacco chewers""-an immunohistochemical study.",5.0,161,161,1.0
Single bolus parecoxib attenuates sore throat after laryngeal microsurgery: A randomized double-blind control study,0.0,162,162,1.0
Scar Management Practice and Science: A Comprehensive Approach to Controlling Scar Tissue and Avoiding Hypertrophic Scarring.... Reprinted and adapted with permission from Wound Healing South Africa and Medpharm. Widgerow AD. Scar management-marrying the practical with the science. Wound Heal South Afr 2010;3(1):7-10,0.0,163,163,1.0
Sporadic Duane's Retraction Syndrome Associated with Imperforate Anus: Case Report.,3.0,164,164,1.0
Prevalence and antibacterial susceptibility of mef(A)-positive macrolide-resistant streptococcus pneumoniae over 4 years (2000 to 2004) of the PROTEKT US study,2.0,165,165,1.0
Yoga may help manage binge eating disorder,1.0,166,166,1.0
Meta-analyses of experimental data in animal nutrition.,8.0,167,167,1.0
"Castor oil, bath and/or enema for cervical priming and induction of labour",7.0,168,168,1.0
"The Role of Radiology in Preclinical Anatomy. A Critical Review of the Past, Present, and Future.",0.0,169,169,1.0
Insulin detemir lowers the risk of hypoglycaemia and provides more consistent plasma glucose levels compared with NPH insulin in Type 1 diabetes.,7.0,170,170,1.0
Remote presence proctoring by using a wireless remote-control videoconferencing system,2.0,171,171,1.0
"Association of transforming growth factor-�_1���T869C, G915C, and C509T gene polymorphisms with rheumatoid arthritis risk.",6.0,172,172,1.0
Sinus arrhythmia and pupil size in Chiari I malformation: Evidence of autonomic dysfunction,4.0,173,173,1.0
"An observational study on the prevalence and pattern of opioid use in 25,479 patients with spine and radicular pain",2.0,174,174,1.0
Selective loss of anterior pituitary volume with severe pituitary-gonadal insufficiency in poorly compliant male thalassemic patients with pubertal arrest.,,175,175,
Localized deficiencies of folic acid in aerodigestive tissues,0.0,176,176,1.0
Overweight and obesity in young and middle age and early retirement: the ARIC study,1.0,177,177,1.0
Comparing modelling techniques for analysing urban pluvial flooding.,2.0,178,178,1.0
Unique failure mechanism of a femoral component after revision total hip arthroplasty.,10.0,179,179,1.0
The impact of bleeding complications in patients receiving novel oral anticoagulants: A systematic review and metaanalysis,0.0,180,180,1.0
From task characteristics to learning: A systematic review.,,181,181,
"Daily step goal of 10,000 steps: A literature review.",0.0,182,182,1.0
[Effects of hand acupuncture therapy on sleep quality in sleep disrupted adults: verification by polysomnography and cerebral blood flow test],7.0,183,183,1.0
Supporting patient adherence to antiretrovirals using mobile phone reminders: patient responses from South India,5.0,184,184,1.0
Amyloid neuropathies,6.0,185,185,1.0
A randomized study with a hyaluronic acid and chondroitin sulfate lotion for radiodermitis in breast cancer patients,0.0,186,186,1.0
A systematic review on acupuncture for trigeminal neuralgia (Provisional abstract),6.0,187,187,1.0
Using Debate as a Pedagogical Tool in Enhancing Pre-Service Teachers' Learning and Critical Thinking,2.0,188,188,1.0
Current status of diagnostic and therapeutic endoscopic ultrasonography,3.0,189,189,1.0
Are physicians and patients in agreement? Exploring dyadic concordance,5.0,190,190,1.0
Services for children and adolescents with autism spectrum disorders: payment issues.,1.0,191,191,1.0
Mapping Curriculum to Ed Tech and Industry Standards,6.0,192,192,1.0
Processed meat consumption and stomach cancer risk: a meta-analysis.,15.0,193,193,1.0
The epidemiology of injury for an elite junior Australian Football cohort,3.0,194,194,1.0
"Prebiotics, immune function, infection and inflammation: a review of the evidence",0.0,195,195,1.0
Steroids and antihistamines synergize to inhibit rat's airway smooth muscle contractility.,,196,196,
Reasons for and against participation in studies of medicinal therapies for women with breast cancer: a debate.,,197,197,
The effect of preservation solutions for storage of liver allografts on transplant outcomes: a systematic review and meta-analysis.,1.0,198,198,1.0
Ultrasonically enhanced vancomycin activity against Staphylococcus epidermidis biofilms in vivo.,4.0,199,199,1.0
Cuneus and fusiform cortices thickness is reduced in trigeminal neuralgia.,,200,200,
The Impact of Read Right: Semester-Only versus Year-Long Inplementation,0.0,201,201,1.0
Muscle - tendon unit mechanical and morphological properties and sprint performance.,9.0,202,202,1.0
An insulin-like growth factor-I gene polymorphism modifies the risk of microalbuminuria in subjects with an abnormal glucose tolerance,5.0,203,203,1.0
Biofeedback dialysis for hypotension and hypervolemia: a systematic review and meta-analysis.,1.0,204,204,1.0
Cytokine profiling of young overweight and obese female African American adults with prediabetes,1.0,205,205,1.0
Review of prasugrel for the secondary prevention of atherothrombosis.,0.0,206,206,1.0
Stereotactic radiosurgery for spinal metastases: a literature review. [Review],0.0,207,207,1.0
Pancreatic surgery. A paradigm for progress in the age of the bottom line,3.0,208,208,1.0
Difference in fascicle behaviors between superficial and deep quadriceps muscles during isometric contractions.,,209,209,
Losing life and livelihood: a systematic review and meta-analysis of unemployment and all-cause mortality.,6.0,210,210,1.0
Evaluation of a rapidly rotating shift system for tolerance of nurses to nightwork.,5.0,211,211,1.0
[Osteoporosis prevention in patients with low energy hip fractures hospitalized in the orthopedic department],27.0,212,212,1.0
American palm ethnomedicine: a meta-analysis..,0.0,213,213,1.0
Symptoms tell it all: a systematic review of the value of symptom assessment to predict survival in advanced cancer patients.,1.0,214,214,1.0
Isolates and antibiotic resistance of culture-proven endophthalmitis cases presented to a referral center in Tehran,4.0,215,215,1.0
Public health impact of the 1992 Los Angeles civil unrest,3.0,216,216,1.0
Laparoscopic reversal of Hartmann's rectosigmoidectomy,1.0,217,217,1.0
The situation of Romanian HIV-positive adolescents: Results from the first national representative survey,0.0,218,218,1.0
Life stress and the long-term treatment course of recurrent depression: III. Nonsevere life events predict recurrence for medicated patients over 3 years,1.0,219,219,1.0
Value of spiral CT in hemodynamically stable patients following blunt chest trauma.,6.0,220,220,1.0
Preventing injuries through interventions for problem drinking: a systematic review of randomized controlled trials,4.0,221,221,1.0
Nutrition and obstructed labor,1.0,222,222,1.0
"Rationale, design and methods of the HEALTHY study nutrition intervention component",0.0,223,223,1.0
Atomoxetine treatment of children and adolescents with ADHD: Clinical questions and answers. (German),0.0,224,224,1.0
The novel applications of the quantitative analysis of neutrophil cell surface FcgammaRI (CD64) to the diagnosis of infectious and inflammatory diseases.,0.0,225,225,1.0
Inhibition of cisplatin-induced lipid catabolism and weight loss by ghrelin in male mice.,9.0,226,226,1.0
Primary cutaneous large B-cell lymphoma of the legs: a distinct clinical pathologic entity treated with CD20 monoclonal antibody (rituximab).,3.0,227,227,1.0
Improving Implementation of Classroom Instruction through Teacher-Directed Behavioral Consultation: A Single-Case Demonstration,3.0,228,228,1.0
Green tea in dermatology. [Review],0.0,229,229,1.0
Teaching Calculus and Other Challenging Courses to Nontraditional and At-Risk Students at a Research University.,4.0,230,230,1.0
Tropical infection after a case of total hip arthroplasty.,3.0,231,231,1.0
Chronic pelvic pain.,4.0,232,232,1.0
Obstetrical anal sphincter laceration and anal incontinence 5-10 years after childbirth,5.0,233,233,1.0
Comparative effectiveness of instructional design features in simulation-based education: systematic review and meta-analysis.,1.0,234,234,1.0
Body mass index and outcome of ASC-H-interpreted cervical smears in postmenopausal women.,3.0,235,235,1.0
Plasma concentration of asymmetric dimethylarginine and the risk of coronary heart disease: rationale and design of the multicenter CARDIAC study.,4.0,236,236,1.0
[Toxicology and clinical significance of base-catalized degradation of sevoflurane to Compound A].,,237,237,
"Functionality and feedback: a protocol for a realist synthesis of the collation, interpretation and utilisation of PROMs data to improve patient care",7.0,238,238,1.0
Case report. Cutaneous cryptococcosis in a patient with systemic erythematous lupus.,9.0,239,239,1.0
A method for determining skeletal lengths from DXA images.,,240,240,
Imaging for target volume delineation in rectal cancer radiotherapy--a systematic review.,1.0,241,241,1.0
The influence of smoking and impaired glucose homoeostasis on the outcome in patients presenting with an acute coronary syndrome: a cross-sectional study.,7.0,242,242,1.0
Systematic review exploring the effect of exercise in pulmonary rehabilitation on depression levels in patients with chronic obstructive pulmonary disease,0.0,243,243,1.0
Environmental and genomic factors as well as interventions influencing smoking cessation: a systematic review of reviews and a proposed working model.,4.0,244,244,1.0
"Impact of seasonality on recruitment, retention, adherence, and outcomes in a web-based smoking cessation intervention: randomized controlled trial",0.0,245,245,1.0
White matter diffusivity predicts memory in patients with subjective and mild cognitive impairment and normal CSF total tau levels.,1.0,246,246,1.0
Comparison between open and closed suction systems: a systematic review.,4.0,247,247,1.0
Association between interleukin-10 promoter polymorphisms and endometriosis: a meta-analysis.,1.0,248,248,1.0
Overactive bladder: Optimizing quality of care,2.0,249,249,1.0
Thyroid-related autoantibodies and celiac disease: a role for a gluten-free diet?,3.0,250,250,1.0
Providing access to specialty care for severely disabled institutional residents: an academic health center telemedicine model,2.0,251,251,1.0
A robust method for diagnosis of morphological arrhythmias based on Hermitian model of higher-order statistics,0.0,252,252,1.0
Shared decision making and the future of managed care,1.0,253,253,1.0
Specific plasma factors blocking human maternal cell-mediated immune reaction to placental antigens.,117.0,254,254,1.0
MicroRNAs: a new piece in the paediatric cardiovascular disease puzzle.,5.0,255,255,1.0
Association of Ureaplasma urealyticum colonization with development of bronchopulmonary dysplasia: a systemic review and meta-analysis.,2.0,256,256,1.0
Mortality at older ages and moves in residential and sheltered housing: evidence from the UK,6.0,257,257,1.0
A multinational study of thromboprophylaxis practice in critically ill children.,5.0,258,258,1.0
Asymmetric inheritance of mitochondrial content in aging budding yeast cells,24.0,259,259,1.0
Physical activity moderates time-of-day differences in older adults' working memory performance.,4.0,260,260,1.0
Uses of the electrical skin resistance method in the study of patients with neck and upper extremity pain,2.0,261,261,1.0
[New aspects in hernia surgery].,7.0,262,262,1.0
An exploration of self-reported negative affect by adolescents as a reason for smoking: implications for tobacco prevention and intervention programs,2.0,263,263,1.0
Diagnosis of peripheral lung cancer with three echoic features via endobronchial ultrasound,3.0,264,264,1.0
A meta-analysis of labor supply effects of interventions for major depressive disorder.,2.0,265,265,1.0
Combined pharmacotherapy and psychological treatment for depression: a systematic review.,7.0,266,266,1.0
Dyspareunia and sexual dysfunction following vaginal delivery in thai primiparous women with second degree perineal tear: A prospective cohort study,0.0,267,267,1.0
eComment. EuroSCORE II - corrected in-hospital mortality rate in a modern cohort of patients undergoing cardiac surgery,5.0,268,268,1.0
"The effect of a cervical lateral glide on the upper limb neurodynamic test: a blinded, placebo-controlled investigation",0.0,269,269,1.0
Thoracic Aortic Aneurysm: Reading the Enemy's Playbook,5.0,270,270,1.0
Early predicting of blood component quality by Statistical Process Control,0.0,271,271,1.0
Lifetime risk of suicide in affective disorders,0.0,272,272,1.0
A geographic analysis of chronically homeless adults before and after enrollment in a multi-site supported housing initiative: community characteristics and migration,3.0,273,273,1.0
Fetal cleft lip and palate detection by three-dimensional ultrasonography,4.0,274,274,1.0
Substance Abuse and Trauma in Incarcerated Women,0.0,275,275,1.0
Use of Job Design to Reduce Mechanical Stress on the Back,0.0,276,276,1.0
Rehabilitation of swallowing by exercise in tube-fed patients with pharyngeal dysphagia secondary to abnormal UES opening.,5.0,277,277,1.0
A meta-analysis of two genome-wide association studies identifies 3 new loci for alcohol dependence.,11.0,278,278,1.0
Crowdsourced Multimedia Enhanced Spatio-temporal Constraint Based on-Demand Social Network for Group Mobility,0.0,279,279,1.0
Impaired default network functional connectivity in autosomal dominant Alzheimer disease.,8.0,280,280,1.0
Cranial reconstruction of major traumatic defects in children with osteoinductive and resorbable materials,0.0,281,281,1.0
Meta-analysis of the effects of sometribove zinc suspension on the production and health of lactating dairy cows.,5.0,282,282,1.0
"Journal of Health Communication : International Perspectives The Effect of an Internet-Based , Stage- Matched Message Intervention on Young Taiwanese Women ' s Physical Activity",0.0,283,283,1.0
Azathioprine for multiple sclerosis,4.0,284,284,1.0
Wound care,0.0,285,285,1.0
Comparison between incidental malignant and benign breast lesions detected by computed tomography: a systematic review.,5.0,286,286,1.0
"Plant Kunitz proteinase inhibitor attenuates inflammation, oxidative stress and remodeling induced by elastase in mice",0.0,287,287,1.0
Streptococcus pneumoniae carriage in the Gaza strip,4.0,288,288,1.0
Direct healthcare costs and cost-effectiveness of acute coronary syndrome secondary prevention with ticagrelor compared to clopidogrel: Economic evaluation from the public payer's perspective in Poland based on the PLATO trial results,9.0,289,289,1.0
Changes in renal blood flow measured by radionuclide angiography following exhausting exercise in humans.,1.0,290,290,1.0
Hormonal and dietary characteristics in obese human subjects with and without food addiction.,1.0,291,291,1.0
Importance of membrane materials for blood purification devices in critical care.,1.0,292,292,1.0
Myofascial trigger points: Spontaneous electrical activity and its consequences for pain induction and propagation,0.0,293,293,1.0
Treatment of large vessel vasculitis,4.0,294,294,1.0
Quantitative assessment of the influence of common variations (rs8034191 and rs1051730) at 15q25 and lung cancer risk.,3.0,295,295,1.0
