journal_issn,original_index,unique_index,count
1827-1618,396,268,1.0
1526-7598,397,257,2.0
0975-1491,398,269,1.0
1558-1497,399,270,1.0
2150-1351 (Print)     2150-1351,400,271,1.0
1943-5681,401,272,1.0
13598546,402,273,1.0
,403,3,
1873-7811,404,274,1.0
0923-7534,405,275,1.0
,406,3,
1878-0539,407,276,1.0
,408,3,
,409,3,
,410,3,
"1051-1970, 1051-1970",411,277,1.0
0012-1649,412,278,1.0
,413,3,
,414,3,
1097-0142,415,279,2.0
1569-8041,416,280,1.0
0269-2163,417,281,1.0
0160-9289,418,282,1.0
,419,3,
1745-834X     1745-8358,420,283,1.0
0022-0345,421,76,3.0
0306-4603,422,284,1.0
0735-1631,423,285,1.0
,424,3,
,425,3,
,426,3,
1308-0032,427,286,1.0
,428,3,
,429,3,
0377-208X,430,287,1.0
,431,3,
,432,3,
,433,3,
Feb-65,434,288,3.0
,435,3,
1472-6831,436,289,1.0
0021-9533,437,290,1.0
,438,3,
0007-0920,439,291,1.0
Feb-14,440,99,2.0
2213-6541,441,292,1.0
1558-2035,442,293,2.0
1592-1107,443,294,1.0
1058-0832,444,295,1.0
1751-7176,445,296,1.0
1662-5161,446,297,1.0
1557-170X,447,298,1.0
1527-974X,448,299,1.0
,449,3,
0022-2194,450,300,1.0
1467-789X,451,301,1.0
1520-9156,452,302,1.0
1179-1721,453,303,1.0
0019-5499,454,304,1.0
0370-0747,455,305,1.0
,456,3,
1433-3023,457,306,1.0
,458,3,
,459,3,
0104-1169,460,307,1.0
0340-6245,461,308,1.0
1475-2727,462,309,1.0
,463,3,
1178-7090,464,310,1.0
0095-1137 (Print) 0095-1137,465,311,1.0
0023-6837,466,312,1.0
1356-7500,467,313,1.0
-5514,468,314,1.0
,469,3,
1090-1981,470,133,2.0
1527-5418,471,315,1.0
1095-9203,472,316,2.0
1687-9627,473,317,1.0
2005-7563,474,318,1.0
1361-6560,475,319,1.0
1532-7361,476,320,1.0
0018-9499,477,321,1.0
1696-3547,478,322,1.0
1651-2006,479,323,1.0
1462-0324,480,324,3.0
0304-3959,481,325,1.0
1070-3004,482,326,1.0
1324-3780,483,327,1.0
0964-4563,484,328,1.0
0862-8408,485,329,1.0
1873-1465,486,170,2.0
,487,3,
,488,3,
,489,3,
,490,3,
1522-9645,491,330,1.0
1433-7347,492,44,2.0
,493,3,
0045-7167,494,331,1.0
,495,3,
978-0-7918-4926-2,496,332,1.0
,497,3,
,498,3,
1473-4893,499,333,1.0
1603-6824,500,334,1.0
,501,3,
0895-2841,502,335,1.0
-94325,503,336,1.0
0428-8246,504,337,1.0
0300-9742,505,338,1.0
0894-587X,506,339,1.0
Nov-53,507,340,1.0
,508,3,
0301-1623,509,341,1.0
,510,3,
2005-3711,511,342,1.0
1756-1833,512,343,1.0
,513,3,
-14400,514,344,1.0
2168-619X,515,345,1.0
0301-4851,516,346,1.0
1941-2703,517,347,1.0
1470-2738,518,348,1.0
0376-2491,519,349,1.0
0045-4850,520,350,1.0
0969-4900,521,351,1.0
1469-493X,522,13,6.0
1531-5053,523,352,1.0
1083-351X,524,353,1.0
0366-6999,525,354,1.0
0962-7480,526,355,1.0
,527,3,
1872-7077,528,356,1.0
1558-2027,529,70,2.0
,530,3,
1095-9203,531,316,2.0
1873-7544,532,357,1.0
1090-2430,533,358,1.0
0196-0644,534,359,1.0
1918-1485,535,360,1.0
,536,3,
0160-6379,537,361,1.0
,538,3,
,539,3,
0361-803X,540,362,1.0
,541,3,
1062-8401,542,363,1.0
1468-5833 (Electronic),543,364,1.0
,544,3,
1462-0324,545,324,3.0
,546,3,
,547,3,
0022-5347,548,365,1.0
1464-5165,549,366,1.0
1532-8511,550,26,2.0
0899-8256,551,367,1.0
,552,3,
0301-620X (Print) 0301-620x,553,368,1.0
1432-1335,554,369,1.0
1476-5497,555,370,2.0
,556,3,
1520-7714,557,371,1.0
,558,3,
0145-6008,559,372,1.0
1017-7833,560,373,1.0
1981-8963,561,374,1.0
,562,3,
1472-1465,563,375,1.0
,564,3,
1248-9204,565,376,1.0
1474-547X,566,377,1.0
0921-4488,567,378,1.0
,568,3,
1041-6102,569,379,1.0
1806-3756,570,380,1.0
0884-2175,571,381,1.0
,572,3,
,573,3,
1423-0380,574,207,3.0
0353-9504,575,382,1.0
1747-4949,576,383,1.0
1879-0844,577,384,1.0
1976-2437,578,385,1.0
1592-7830,579,386,2.0
1715-5258,580,387,1.0
1433-0350,581,388,1.0
,582,3,
,583,3,
,584,3,
1532-821X,585,389,1.0
1365-2346,586,390,2.0
0268-0033 DO  - http://dx.doi.org/10.1016/j.clinbiomech.2015.03.009,587,391,1.0
1462-2416,588,392,1.0
0047-1860 (Print)     0047-1860,589,393,1.0
,590,3,
0143-005X,591,181,2.0
,592,3,
,593,3,
978-957-41-6666-4,594,394,1.0
0949-2658 (Print) 0949-2658,595,211,2.0
1447-0594,596,395,1.0
,597,3,
,598,3,
,599,3,
1939-165X,600,396,1.0
,601,3,
0042-9686,602,397,1.0
1935-2735,603,398,1.0
1873-7064,604,399,1.0
,605,3,
0031-9023,606,400,1.0
0167-2789 DO  - http://dx.doi.org/10.1016/j.physd.2013.07.012,607,401,1.0
0044-2631,608,402,1.0
0392-9590,609,403,1.0
0268-960X,610,404,1.0
1075-5535,611,405,1.0
0098-7484,612,406,1.0
,613,3,
1522-726X,614,407,2.0
1476-4687,615,408,1.0
0903-1936,616,409,1.0
,617,3,
0737-1209,618,410,1.0
,619,3,
09663622 (ISSN),620,411,1.0
1439-4413,621,412,1.0
,622,3,
0022-3956,623,413,1.0
,624,3,
0161-8105,625,414,1.0
0910-5050,626,415,1.0
0022-0345,627,76,3.0
1753-4666,628,416,1.0
,629,3,
,630,3,
,631,3,
0378-584X,632,417,1.0
1462-0324,633,324,3.0
,634,3,
0161-6412 (Print) 0161-6412,635,418,1.0
1523-5378,636,419,1.0
0390-6078,637,127,2.0
1440-1584,638,420,1.0
,639,3,
1520-4804,640,421,1.0
1540-9996,641,422,1.0
1525-1446,642,423,1.0
1524-4539,643,424,1.0
Jan-55,644,425,1.0
,645,3,
1469-896X,646,426,1.0
0889-5406,647,427,1.0
1547-1896,648,428,1.0
0196-6553,649,429,1.0
1063-8652,650,430,1.0
1527-3350,651,431,1.0
1076-6294 (Print)     1076-6294,652,432,1.0
0039-2499,653,433,1.0
1949-8349 (Print)     1949-8357,654,434,1.0
0360-7283,655,435,1.0
1460-2385,656,144,2.0
1879-0593,657,436,1.0
1524-4628,658,437,1.0
1873-5592,659,438,1.0
1872-6844,660,439,1.0
,661,3,
0966-8519,662,440,1.0
1932-6203,663,21,7.0
1878-4046,664,441,1.0
,665,3,
1672-2531,666,442,2.0
0195-6744,667,443,1.0
1757-1626,668,444,1.0
,669,3,
,670,3,
,671,3,
-9262,672,445,1.0
1573-2959,673,446,1.0
Jan-14,674,447,1.0
,675,3,
,676,3,
,677,3,
,678,3,
0096-3445,679,448,1.0
"0036-8148, 0036-8148",680,449,1.0
,681,3,
0268-1153,682,450,1.0
0019-9567,683,451,1.0
,684,3,
1557-8550,685,452,1.0
1020-3397,686,453,1.0
0021-9355 (Print),687,454,1.0
1528-395X,688,455,1.0
,689,3,
Sep-60,690,456,1.0
,691,3,
,692,3,
1473-5725,693,457,1.0
0214-9915,694,458,1.0
1541-0048,695,459,1.0
0146-4760 (Print) 0146-4760,696,460,1.0
0301-4215,697,254,2.0
,698,3,
,699,3,
,700,3,
1440-1843,701,461,1.0
1469-493X,702,13,6.0
,703,3,
2314-6141,704,247,2.0
0021-8987 (Print)     0021-8987,705,462,1.0
1365-2060,706,463,1.0
0954-3007,707,464,1.0
0022-3514,708,465,1.0
0363-5023,709,466,3.0
09593985 (ISSN),710,467,1.0
,711,3,
1471-2377,712,468,1.0
,713,3,
1462-2203,714,72,2.0
1885-642X,715,469,1.0
1053-8135,716,470,1.0
1098-2752,717,471,1.0
0020-7454,718,472,1.0
1470-0328 (Print) 1470-0328,719,473,1.0
,720,3,
0021-7557,721,474,1.0
,722,3,
1364-3703,723,475,1.0
,724,3,
,725,3,
,726,3,
,727,3,
1521-186X,728,476,2.0
"1386-4416, 1386-4416",729,477,1.0
,730,3,
1470-7926,731,478,1.0
0160-6689,732,479,1.0
,733,3,
1678-4464,734,480,1.0
1523-536X,735,481,1.0
1545-0848,736,482,1.0
0033-3174,737,483,1.0
0732-183X,738,484,1.0
0195-6701 (Print) 0195-6701,739,485,1.0
Apr-74,740,486,1.0
,741,3,
,742,3,
,743,3,
0301-5149,744,487,1.0
Sep-22,745,488,3.0
Mar-67,746,489,2.0
,747,3,
2165-8242,748,490,1.0
1437-1588,749,491,1.0
,750,3,
0095-8301,751,492,1.0
,752,3,
2049-9434,753,493,1.0
0546-1766 (Print) 0546-1766,754,494,1.0
1079-2082 (Print) 1079-2082,755,495,1.0
0190-535X,756,496,1.0
,757,3,
0029-6570 (Print) 0029-6570,758,497,1.0
1098-3015,759,498,1.0
,760,3,
1042-8194,761,499,1.0
0033-8419,762,500,1.0
,763,3,
1526-4610,764,501,1.0
1098-240X,765,502,1.0
,766,3,
0301-2603,767,503,1.0
1347-4820,768,504,1.0
1932-6203,769,21,7.0
0221-0363,770,505,1.0
0939-5555,771,506,1.0
1460-2105,772,135,3.0
1473-5571,773,507,1.0
0030-4220,774,508,1.0
0003-9926 (Print) 0003-9926,775,509,1.0
,776,3,
,777,3,
,778,3,
0361-7734,779,510,1.0
0885-3185,780,511,1.0
1939-134X,781,512,1.0
,782,3,
1303-6521,783,513,1.0
1592-7830,784,386,2.0
,785,3,
,786,3,
0039-1735,787,514,1.0
1741-7015,788,515,1.0
,789,3,
2212-4411,790,516,1.0
1558-2035,791,293,2.0
0034-9887,792,517,1.0
,793,3,
0969-8043,794,518,1.0
1878-5921,795,519,1.0
,796,3,
0363-5023,797,466,3.0
,798,3,
2047-4881,799,520,1.0
1460-2105,800,135,3.0
1535-7414,801,521,1.0
,802,3,
0961-5423,803,522,1.0
0093-934X,804,523,1.0
1672-2531,805,442,2.0
1521-3773,806,524,1.0
1467-1107,807,179,3.0
1096-4673,808,525,1.0
0049-8610,809,526,1.0
,810,3,
,811,3,
,812,3,
1784-3286,813,527,1.0
0021-9258,814,528,1.0
,815,3,
,816,3,
0300-9750,817,529,1.0
,818,3,
0090-3493,819,530,1.0
,820,3,
1930-739X,821,531,1.0
,822,3,
2168-6114,823,532,1.0
1473-5598,824,533,1.0
1468-3296,825,534,1.0
,826,3,
1532-5415,827,535,1.0
,828,3,
2150-136X,829,536,1.0
,830,3,
0008-543X,831,54,2.0
,832,3,
1555-7162,833,537,1.0
0342-4642,834,538,1.0
,835,3,
0884-0431,836,539,1.0
1399-3038,837,540,1.0
1540-0514,838,541,1.0
,839,3,
,840,3,
1533-4406,841,542,1.0
1071-1007 (Print) 1071-1007,842,543,1.0
,843,3,
,844,3,
,845,3,
1743-9159,846,544,1.0
,847,3,
Mar-67,848,489,2.0
,849,3,
0882-2786,850,545,1.0
,851,3,
Sep-22,852,488,3.0
1043-0342,853,546,1.0
1423-0356,854,547,1.0
,855,3,
,856,3,
Sep-22,857,488,3.0
,858,3,
,859,3,
,860,3,
1601-0825,861,548,1.0
1699-5198,862,549,1.0
0025-7753,863,550,1.0
,864,3,
1098-4275,865,551,1.0
1469-493X,866,13,6.0
1432-0843,867,81,2.0
,868,3,
,869,3,
,870,3,
2044-6055,871,85,4.0
0140-525X,872,552,1.0
,873,3,
1432-0711,874,553,1.0
,875,3,
,876,3,
,877,3,
1469-8978,878,554,1.0
1040-2446,879,555,1.0
,880,3,
,881,3,
1478-7547 (electronic),882,556,1.0
,883,3,
,884,3,
,885,3,
,886,3,
1522-726X,887,407,2.0
1932-6203,888,21,7.0
,889,3,
0305-1862,890,557,1.0
0363-5023,891,466,3.0
,892,3,
1399-3003,893,558,1.0
,894,3,
1353-3452 (Print)     1353-3452,895,559,1.0
0306-5251,896,560,1.0
,897,3,
,898,3,
1537-6591,899,561,1.0
Mar-22,900,90,2.0
,901,3,
1573-2606,902,562,1.0
1566-0702,903,563,1.0
1931-3543,904,564,1.0
,905,3,
978-1-2673-2110-7,906,142,2.0
1533-4112,907,565,1.0
1053881X (ISSN),908,566,1.0
1097-0142,909,279,2.0
0027-8424,910,567,1.0
,911,3,
"0361-6843, Print 1471-6402, Electronic",912,568,1.0
1872-7727,913,569,1.0
1099-1611,914,570,1.0
1521-186X,915,476,2.0
,916,3,
1558-3597,917,571,1.0
Mar-09,918,572,1.0
2168-6157,919,573,1.0
0391-5387,920,574,1.0
,921,3,
,922,3,
1672-1977,923,575,1.0
1365-2346,924,390,2.0
0393-5264,925,121,2.0
"1466-187X, Electronic 0142-159X, Print",926,576,1.0
,927,3,
,928,3,
1092-0684,929,577,1.0
1872-8243,930,578,1.0
1527-7755,931,18,2.0
,932,3,
,933,3,
,934,3,
2054-2704,935,579,1.0
1062-3264 (Print)     1062-3264,936,580,1.0
0022-4804,937,581,1.0
0261-5614,938,582,1.0
"1742-3953, 1742-3953",939,583,1.0
,940,3,
1123-6337 (Print) 1123-6337,941,584,1.0
-5990,942,585,1.0
1364-6915,943,586,1.0
1464-0325,944,587,1.0
,945,3,
,946,3,
,947,3,
,948,3,
,949,3,
1932-6203,950,21,7.0
,951,3,
,952,3,
1476-5497,953,370,2.0
0893-133X,954,588,1.0
1538-7933,955,589,1.0
0272-4944,956,590,1.0
1531-698X,957,591,1.0
1539-3704,958,253,2.0
1432-1076,959,592,1.0
,960,3,
0951-418X,961,593,1.0
0966-6362 DO  - http://dx.doi.org/10.1016/j.gaitpost.2010.04.002,962,594,1.0
0951-7375,963,595,1.0
2162-3279,964,596,1.0
1535-5667,965,597,1.0
0935-8943,966,598,1.0
1049-2089,967,175,2.0
0300-8843,968,599,1.0
,969,3,
,970,3,
0021-9525,971,600,1.0
1175-3277,972,601,1.0
1432-2048,973,602,1.0
1557-8674,974,603,1.0
1878-5867,975,604,1.0
,976,3,
1460-2091,977,605,1.0
,978,3,
1945-7170,979,156,2.0
,980,3,
0009-9201 (Print) 0009-9201,981,606,1.0
0300-5771 (Print) 0300-5771,982,607,1.0
Feb-65,983,288,3.0
1083-8791,984,608,1.0
0007-0912,985,252,2.0
,986,3,
0950-9240 (Print) 0950-9240,987,609,1.0
,988,3,
1600-0455,989,610,1.0
Feb-65,990,288,3.0
1535-4970,991,611,1.0
1423-0380,992,207,3.0
,993,3,
0305-4179,994,612,1.0
0003-0805 (Print) 0003-0805,995,613,1.0
,996,3,
2154-4212,997,614,1.0
-4473,998,615,1.0
,999,3,
