HospitalName,HospitalOwner,original_index,unique_index
st vincents east,voluntary non-profit - private,194,20
st vincents east,voluntary non-profit - private,195,20
st vincents east,voluntary non-profit - private,196,20
st vincents east,voluntary non-profit - private,197,20
st vincents east,voluntary non-profit - private,198,20
st vincents east,voluntary non-profit - private,199,20
st vincents east,voluntary non-profit - private,200,20
st vincents east,voluntary non-profit - private,201,20
st vincents east,voluntary non-profit - private,202,20
st vincents east,voluntary non-profit - private,203,20
st vincents east,voluntary non-profit - private,204,20
st vincents east,voluntary non-profit - private,205,20
st vincents east,voluntary non-profit - private,206,20
st vincents east,voluntary non-profit - private,207,20
st vincents east,voluntary non-profit - private,208,20
st vincents east,voluntary non-profit - private,209,20
st vincents east,voluntary non-profit - private,210,20
st vincents east,voluntary non-profit - private,211,20
st vincents east,voluntary non-profit - private,212,20
st vincents east,voluntary non-profit - private,213,20
st vincents east,voluntary non-profit - private,214,20
st vincents east,voluntary non-profit - private,215,20
st vincents east,volunxary non-profix - privaxe,216,21
st vincents east,voluntary non-profit - private,217,20
st vincents east,voluntary nonxprofit x private,218,22
dekalb regional medical center,voluntary non-profit - church,219,23
dekalb regional medical center,voluntary non-profit - church,220,23
dekalb regional medical center,voluntaryxnon-profitx-xchurch,221,24
dekalb regional medical center,voluntary non-profit - church,222,23
dekalb regional medical center,voluntary non-profit - church,223,23
dekalb regional medical center,voluntary non-profit - church,224,23
dekalb regional medical center,voluntary non-profit - church,225,23
dekalb regional medical center,voluntary non-profit - church,226,23
dekalb regional medical center,voluntary non-profit - church,227,23
dekalb regional medical center,voluntary non-profit - church,228,23
dekalb regional medical center,voluntary non-profit - church,229,23
dekalb regional medical center,voluntary non-profit - church,230,23
dekalb regional medical center,voluntary non-profit - church,231,23
dekalb regional medical center,voluntary non-profit - church,232,23
dekalb regional medical center,voluntary non-profit - church,233,23
dekalb regional medical center,voluntary non-profit - church,234,23
dekalb regional medical center,voluntary non-profit - church,235,23
dekalb regional medical center,voluntary non-profit - church,236,23
dekalb regional medical center,voluntary non-profit - church,237,23
dekalb regional medical center,voxuntary non-profit - church,238,25
dekalb regional medical center,voluntary non-profit - church,239,23
dekalb regional medical center,voluntary non-profit - church,240,23
dekalb regional medical center,voluntary non-profit - church,241,23
dekalb regional medical center,voluntary non-profit - church,242,23
dexalb regional medical center,voluntary non-profit - church,243,26
southwest alabama medical center,government - federal,244,27
southwest alabama medical center,government - federal,245,27
southwest alabama medical center,government - federal,246,27
southwest alabama medical center,governxent - federal,247,28
southwest alabama medical center,government - federal,248,27
southwest alabama medical center,government - federal,249,27
southwest alabama medical center,government - federal,250,27
southwest alabama medical center,government - federal,251,27
southwest alabama medical center,government - federal,252,27
southwest alabama medical center,government - federal,253,27
southwest alabama medical center,government - federal,254,27
southwest alabama medical center,government - federal,255,27
southwest alabama medical center,government - federal,256,27
southwest alabama medical center,government - federal,257,27
southwest alabama medical center,government - federal,258,27
southwest alabama medical center,government - federal,259,27
southwest alabama medical center,government - federal,260,27
southwest alabama medical center,government - federal,261,27
southwest alabama medical center,government - federal,262,27
southwest alabama medical center,government - federal,263,27
southwest alabama medical center,government - federal,264,27
southwest alabama medical center,government - federal,265,27
southwest alabama medical center,government - federal,266,27
southwest alabama medical center,government - federal,267,27
southwest alabama medical center,government - federal,268,27
shelby baptist medical center,voluntary non-profit - church,269,29
shelby baptist medical center,voluntary non-profit - church,270,29
shelby baptist medical center,voluntary non-profit - church,271,29
shelby baptist medical center,voluntary non-profit - church,272,29
shelby baptist medical center,voluntary non-profit - church,273,29
shelby baptist medical center,voluntary non-profit - church,274,29
shelby baptist medical center,voluntary non-profit - church,275,29
shelby baptist medical center,voluntary non-profit - church,276,29
shelby baptist medical center,voluntary non-profit - church,277,29
shelby baptist medical center,voluntary non-profit - church,278,29
shelby baptist medical center,voluntary non-profit - church,279,29
shelby baptist medical center,voluntary non-profit - church,280,29
shelby baptist medical center,voluntary non-profit - church,281,29
shelby baptist medical center,voluntary non-profit - church,282,29
shelby baptist medical center,voluntary non-profit - church,283,29
shelby baptist medical center,voluntary non-profit - church,284,29
shelby baptist medical center,voluntary non-profit - church,285,29
shelby baptist medical center,voluntary non-profit - church,286,29
shelby baptist medical center,voluntary non-profit - church,287,29
shelby baptist medical center,voluntary non-profit - church,288,29
shelby baptist medical center,voluntary non-profit - church,289,29
shelby baptist medical center,voluntary non-profit - church,290,29
shelby baptist medical center,voluntary non-profit - church,291,29
shelby baptist medical center,voluntary non-profit - church,292,29
shelby baptist medical center,voluntary non-profit - church,293,29
callahan eye foundation hospital,voluntary non-profit - private,294,0
callahan eye foundation hospital,voluntary non-profit - private,295,0
callahan eye foundation hospital,voluntary non-profit - private,296,0
callahan eye foundation hospital,voluntary non-profit - private,297,0
callahan eye foundation hospital,voluntary non-profit - private,298,0
callahan eye foundation hospital,voluntary non-profit - private,299,0
callahan eye foundation hospital,voluntary non-profit - private,300,0
callahan eye foundation hospital,voluntary non-profit - private,301,0
callahan eye foundation hospital,voluntary non-profit - private,302,0
callahan eye foundation hospital,voluntary non-profit - private,303,0
callahan eye foundation hospital,voluntary non-profit - private,304,0
callahan eye foundation hospital,voluntary non-profit - private,305,0
callahan eye foundation hospital,voluntary non-profit - private,306,0
callahan eye foundation hospital,voluntary non-profit - private,307,0
callahan eye foundation hospital,voluntary non-profit - private,308,0
callahan eye foundation hospital,voluntary non-profit - private,309,0
callahan eye foundation hospital,voluntary non-profit - private,310,0
stringfellow memorial hospital,proprietary,311,30
stringfellow memorial hospital,proprietary,312,30
stringfellow memorial hospital,prxprietary,313,31
stringfellow memorial hospital,proprietary,314,30
stringfellow memorial hospital,proprietary,315,30
stringfellow memorial hospital,proprietary,316,30
stringfellow memorial hospital,proprietary,317,30
stringfellow memorial hospital,proprietary,318,30
stringfellow memorial hospital,proprietary,319,30
stringfellow memorial hospital,proprietary,320,30
stringfellow memorial hospital,proprietary,321,30
stringfellow memorial hospital,proprietary,322,30
stringfellow memorial hospital,proprietary,323,30
stringfellow memorial hospital,proprietary,324,30
stringfellow memorial hospital,proprietary,325,30
stringfellow memorial hospital,proprietary,326,30
stringfellow memorial hospital,proprietary,327,30
stringfellow memorial hospital,proprietary,328,30
stringfellow memorial hospital,proprietary,329,30
stringfellow memorial hospital,proprietary,330,30
flowers hospital,proprietary,331,32
flowers hospital,proxrietary,332,33
flowers hospital,proprietary,333,32
flowers hospital,proprietary,334,32
flowers hospital,proprietary,335,32
flowers hospital,proprietary,336,32
floxers hospital,proprietary,337,34
flowers hospital,proprietary,338,32
flowers hospital,proprietary,339,32
flowers hospital,proprietary,340,32
flowers hospital,proprietary,341,32
flowers hospital,proprietary,342,32
flowers hospital,proprietary,343,32
flowers hospital,proprietary,344,32
flowers hospital,proprietary,345,32
flowers hospital,proprietary,346,32
flowers hospital,proprietary,347,32
st vincents hospital,voluntary non-profit - other,348,35
st vincents hospital,voluntary non-profit - other,349,35
st vincents hospital,voluntary non-profit - other,350,35
st vincents hospital,voluntary non-profit - other,351,35
st vincents hospital,voluntary non-profit - other,352,35
decatur general hospital,government - hospital district or authority,353,36
northwest medical center,proprietary,354,37
northwest medical center,proprietary,355,37
northwest medical center,prxprietary,356,38
northwest medical center,proprietary,357,37
northwest medical center,proprietary,358,37
northwest medical center,proprietary,359,37
northwest medical center,proprietary,360,37
northwest medical center,proprietary,361,37
northwest medical center,proprietary,362,37
northwest medical center,proprietary,363,37
northwest medical center,proprietary,364,37
northwest medical center,proprietary,365,37
northwest medical center,proprietary,366,37
northwest medical center,proprietary,367,37
northwest medical center,proprietary,368,37
northwest medical center,proprietary,369,37
northwest medical center,proprietary,370,37
northwest medical center,proprietary,371,37
northwest medical center,proprietary,372,37
northwest medical center,proprietary,373,37
northwest medical center,proprietary,374,37
northwest medical center,proprietary,375,37
northwest medical center,proprietary,376,37
northwest medical center,proprietary,377,37
northwest medical center,proprietary,378,37
univ of south alabama medical center,government - state,379,39
univ of south alabama medical center,government - state,380,39
univ of south alabama medical center,government - state,381,39
univ of south alabama medical center,government - state,382,39
univ of south alabama medical center,government - state,383,39
univ ox south alabama medical center,government - state,384,40
xniv of soxth alabama medical center,government - state,385,41
univ of south alabama medical center,government - state,386,39
univ of south alabama medical center,government - state,387,39
univ of south alabama medical center,government - state,388,39
univ of south alabama medical center,government - state,389,39
univ of south alabama medical center,government - state,390,39
univ of south alabama medical center,government - state,391,39
prattville baptist hospital,voluntary non-profit - private,392,42
prattville baptist hospital,voluntary non-profit - private,393,42
prattville baptist hospital,voluntary non-profit - private,394,42
prattville baptist hospital,voluntary non-profit - private,395,42
prattville baptist hospital,voluntary non-profit - private,396,42
prattville baptist hospital,voluntary non-profit - private,397,42
prattville baptist hospital,voluntary non-profit - private,398,42
prattville baptist hospital,voluntary non-profit - private,399,42
prattville baptist hospital,voluntary non-profit - private,400,42
prattville baptist hospital,voluntary non-profit - private,401,42
prattville baptist hospital,voluntary non-profit - private,402,42
prattville baptist hospital,voluntary non-profit - private,403,42
prattville baptist hospital,voluntary non-profit - private,404,42
prattville baptist hospital,voluntary non-profit - private,405,42
prattville baptist hospital,voluntary non-profit - private,406,42
prattville baptist hospital,voluntary non-profit - private,407,42
prattville baptist hospital,voluntary non-profit - private,408,42
prattville baptist hospital,voluntary non-profit - private,409,42
prattville baptist hospital,voluntary non-profit - private,410,42
prattville baptist hospital,voluntary non-profit - private,411,42
russellville hospital,proprietary,412,43
russellville hospital,proprietary,413,43
coosa valley medical center,voluntary non-profit - other,414,44
coosa valley medical center,voluntary non-profit - other,415,44
coosa valley medical center,voluntary non-profit - other,416,44
coosa valley medical center,voluntary non-profit - other,417,44
coosa valley medical center,voluntary non-profit - other,418,44
coosa valley medical center,voluntary non-profit - other,419,44
coosa valley medical center,voluntary non-profit - other,420,44
coosa valley medical center,voluntary non-profit - other,421,44
coosa valley medical center,voluntary non-profit - other,422,44
coosa valley medical center,voluntary non-profit - other,423,44
coosa valley medical center,voluntary non-profit - other,424,44
coosa valley medical center,voluntary non-profit - other,425,44
coosa valley medical center,voluntary non-profit - other,426,44
coosa valley medical center,voluntary non-profit - other,427,44
coosa valley medical center,voluntary non-profit - other,428,44
coosa valley medical center,voluntary non-profit - other,429,44
coosa valley medical center,voluntary non-profit - other,430,44
coosa valley medical center,voluntary non-profit - other,431,44
alaska regional hospital,proprietary,432,45
alaska regional hospital,proprietary,433,45
alaska regional hospital,proprietary,434,45
alaska regional hospital,proprietary,435,45
alaska regional hospital,proprietary,436,45
alaska regional hospital,proprietary,437,45
alaska regional hospital,proprietary,438,45
alaska regional hospital,proprietary,439,45
alaska regional hospital,proprietary,440,45
alaska regional hospital,proprietary,441,45
alaska regional hospital,proprietary,442,45
alaska regional hospital,proprietary,443,45
alaska regional hospital,proprietary,444,45
alaska regional hospital,proprietary,445,45
alaska regional hospital,proprietary,446,45
alaska regional hospital,proprietary,447,45
xlxskx regionxl hospitxl,proprietary,448,46
alaska regional hospital,proxrietary,449,47
yukon kuskokwim delta reg hospital,government - federal,450,48
yukon kuskokwim delta reg hospital,government - federal,451,48
helen keller memorial hospital,government - hospital district or authority,452,1
helen keller memorial hospital,government - hospital district or authority,453,1
helen keller memorial hospital,government - hospital district or authority,454,1
helen keller memorial hospital,government - hospital district or authority,455,1
helen keller memorial hospital,gxvernment - hxspital district xr authxrity,456,49
helen keller memorial hospital,government - hospital district or authority,457,1
helen keller memorial hospital,government - hospital district or authority,458,1
helen keller memorial hospital,government - hospital district or authority,459,1
helen keller memorial hospital,government - hospital district or authority,460,1
helen keller memorial hospital,government - hospital district or authority,461,1
helen keller memorial hospital,government - hospital district or authority,462,1
helen keller memorial hospital,government - hospital district or authority,463,1
helen keller memorial hospital,government - hospital district or authority,464,1
helen keller memorial hospital,government - hospital district or authority,465,1
dale medical center,government - hospital district or authority,466,50
dale medical center,government - hospital district or authority,467,50
dale medical center,government - hospital district or authority,468,50
dale medical center,government - hospital district or authority,469,50
dale medical center,government - hospital district or authority,470,50
dale medical center,government - hospital district or authority,471,50
dale medical center,government - hospital district or authority,472,50
dale medical center,government - hospital district or authority,473,50
dale medical center,government - hospital district or authority,474,50
dale medical center,government - hospital district or authority,475,50
dale medical center,government - hospital district or authority,476,50
dale medical center,government - hospital district or authority,477,50
dale medical center,government - hospital district or authority,478,50
dale medical center,government - hospital district or authority,479,50
dale medical center,government - hospital district or authority,480,50
dale medical center,government - hospital district or authority,481,50
dale medical center,government - hospital district or authority,482,50
dale medical center,government - hospital district or authority,483,50
dale medical center,government - hospital district or authority,484,50
dale medical center,government - hospital district or authority,485,50
dale medical center,government - hospital district or authority,486,50
dale medical center,government - hospital district or authority,487,50
dale medical center,government - hospital district or authority,488,50
dale medical center,government - hospital district or authority,489,50
dale medical center,government - hospital district or authority,490,50
cherokee medical center,voluntary non-profit - private,491,51
cherokee medical center,voluntary non-profit - private,492,51
cherokee medical center,voluntaryxnon-profitx-xprivate,493,52
cherokee medical center,voluntary non-profit - private,494,51
cherokee medical center,voluntary non-profit - private,495,51
cherokee medical center,voluntary non-profit - private,496,51
cherokee medical center,voluntary non-profit - private,497,51
cherokee medical center,voluntary non-profit - private,498,51
cherokee medical center,voluntary non-profit - private,499,51
cherokee medical center,voluntary non-profit - private,500,51
cherokee medical center,voluntary non-profit - private,501,51
cherokee medical center,voluntary non-profit - private,502,51
cherokee medical center,voluntary non-profit - private,503,51
cherokee medical center,voluntary non-profit - private,504,51
cherokee medical center,voluntary non-profit - private,505,51
cherokee medical center,voluntary non-profit - private,506,51
cherokee medical center,voluntary non-profit - private,507,51
cherokee medical center,voluntary non-profit - private,508,51
cherokee medical center,voluntary non-profit - private,509,51
cherokee medical center,voluntary non-profit - private,510,51
cherokee medical center,voluntary non-profit - private,511,51
cherokee medical center,voluntary non-profit - private,512,51
cherokee medical center,voluntary non-profit - private,513,51
cherokee medical center,voluntary non-profit - private,514,51
cherokee medical center,voluntary non-profit - private,515,51
baptist medical center south,voluntary non-profit - church,516,53
baptist medical center south,voluntary non-profit - church,517,53
baptist medical center south,voluntary non-profit - church,518,53
baptist medical center south,voluntary non-profit - church,519,53
baptist medical center south,voluntary non-profit - church,520,53
baptist medical center south,voluntary non-profit - church,521,53
baptist medical center south,voluntary non-profit - church,522,53
baptist medical center south,voluntary non-profit - church,523,53
baptist medical center south,voluntary non-profit - church,524,53
baptist medical center south,voluntary non-profit - church,525,53
baptist medical center south,volxntary non-profit - chxrch,526,54
baptist medical center south,voluntary non-profit - church,527,53
baptist medical center south,voluntary non-profit - church,528,53
baptist medical center south,voluntary non-profit - church,529,53
baptist medical center south,voluntary non-profit - church,530,53
baptist medical center south,voluntary non-profit - church,531,53
baptist medical cexter south,voluntary non-profit - church,532,55
baptist medical center south,voluntary non-profit - church,533,53
baptist medical center south,voluntary non-profit - church,534,53
baptist medical center south,voluntary non-profit - church,535,53
baptist medical center south,voluntary non-profit - church,536,53
baptist medical center south,voluntary non-profit - church,537,53
baptist medical center south,voluntary non-profit - church,538,53
baptist medical center south,voluntary non-profit - church,539,53
baptist medical center south,voluntary non-profit - church,540,53
jackson hospital & clinic inc,voluntary non-profit - private,541,56
jackson hospital & clinic inc,voluntary non-profit - private,542,56
jackson hospital & clinic inc,voluntary non-profit - private,543,56
jackson hospital & clinic inc,voluntary non-profit - private,544,56
jackson hospital & clinic inc,voluntary non-profit - private,545,56
jackson hospital & clinic inc,voluntary non-profit - private,546,56
jackson hospital & clinic inc,voluntary non-profit - private,547,56
jackson hospital & clinic inc,voluntary non-profit - private,548,56
jackson hospital & clinic inc,voluntary non-profit - private,549,56
jackson hospital & clinic inc,voluntary non-profit - private,550,56
jackson hospital & clinic inc,voluntary non-profit - private,551,56
jackson hospital & clinic inc,voluntary non-profit - private,552,56
jackson hospital & clinic inc,voluntary non-profit - private,553,56
jackson hospital & clinic inc,voluntary non-profit - private,554,56
jackson hospital & clinic inc,voluntary non-profit - private,555,56
jackson hospital & clinic inc,voluntary non-profit - private,556,56
jackson hospital & clinic inc,voluntary non-profit - private,557,56
jackson hospital & clinic inc,voluntary non-profit - private,558,56
jackson hospital & clinic inc,voluntary non-profit - private,559,56
jaxkson hospital & xlinix inx,voluntary non-profit - private,560,57
jackson hospital & clinic inc,voluntary non-profit - private,561,56
jackson hospital & clinic inc,voluntary non-profit - private,562,56
jackson hospital & clinic inc,voluntary non-profit - private,563,56
jackson hospital & clinic inc,voluntary non-profit - private,564,56
jackson hospital & clinic inc,voluntary non-profit - private,565,56
g h lanier memorial hospital,voluntary non-profit - other,566,58
g h lanier memorial hospital,voluntary non-profit - other,567,58
g h lanier memorial hospital,voluntary non-profit - other,568,58
g h lanier memorial hospital,voluntary non-profit - other,569,58
g h lanier memorial hospital,voluntary non-profit - other,570,58
g h lanier memorial hospital,voluntary non-profit - other,571,58
g h lanier memorial hospital,voluntary non-profit - otxer,572,59
g h lanier memorial hospital,voluntary non-profit - other,573,58
g h lanier memorial hospital,voluntary non-profit - other,574,58
g h lanier memorial hospital,voluntary non-profit - other,575,58
g h lanier memorial hospital,voluntary non-profit - other,576,58
g h lanier memorial hospital,voluntary non-profit - other,577,58
g h lanier memorial hospital,voluntary non-profit - other,578,58
g h lanier memorial hospital,voluntary non-profit - other,579,58
g h lanier memorial hospital,voluntary non-profit - other,580,58
g h lanier memorial hospital,voluntary non-profit - other,581,58
g h lanier memorial hospital,voluntary non-profit - other,582,58
g h lanier memorial hospital,voluntary non-profit - other,583,58
g h lanier memorial hospital,voluntary non-profit - other,584,58
g h lanier memorial hospital,voluntary non-profit - other,585,58
g h lanier memorial hospital,voluntary non-profit - other,586,58
g h lanier memorial hospital,voluntary non-profit - other,587,58
g h lanier memorial hospital,voluntary non-profit - other,588,58
g h lanier memorial hospital,voluntary non-profit - other,589,58
g h lanier memorial hospital,voluntary non-profit - other,590,58
elba general hospital,voluntary non-profit - other,591,60
elba general hospital,voluntary non-profit - other,592,60
elba general hospital,voluntary non-profit - other,593,60
elba general hospital,voluntary non-profit - other,594,60
elba general hospital,voluntary non-profit - other,595,60
elba general hospital,voluntary non-profit - other,596,60
elba general hospital,voluntary non-profit - other,597,60
elba general hospital,voluntary non-profit - other,598,60
elba general hospital,voluntary non-profit - other,599,60
elba general hospital,voluntary non-profit - other,600,60
elba general hospital,voluntary non-profit - other,601,60
elba general hospital,voluntary non-profit - other,602,60
elba general hospital,voluntary non-profit - other,603,60
elba general hospital,voluntary non-profit - other,604,60
elba general hospital,voluntary non-profit - other,605,60
elba general hospital,voluntary non-profit - other,606,60
elba general hospital,voluntary non-profit - other,607,60
elba general hospital,voluntary non-profit - other,608,60
elba general hospital,voluntary non-profit - other,609,60
elba general hospital,voluntary non-profit - other,610,60
elba general hospital,voluntary non-profit - other,611,60
elba general hospital,voluntary non-profit - other,612,60
elba general hospital,voluntary non-profit - other,613,60
