abv,original_index,unique_index,count
0.048%,169,53,22.0
0.067,170,74,20.0
0.092,171,65,11.0
0.061,172,75,17.0
0.086,173,9,3.0
0.06,174,15,92.0
0.049%,175,21,25.0
0.07,176,22,62.0
0.05,177,0,150.0
0.06%,178,64,33.0
0.06%,179,64,33.0
0.068,180,61,36.0
0.044000000000000004%,181,76,3.0
0.07%,182,23,30.0
0.038%,183,77,3.0
0.052000000000000005%,184,34,27.0
0.07,185,22,62.0
0.046,186,78,22.0
0.07,187,22,62.0
0.045,188,39,64.0
0.045%,189,6,25.0
0.035,190,29,4.0
0.07,191,22,62.0
0.06,192,15,92.0
0.045,193,39,64.0
0.049%,194,21,25.0
0.067,195,74,20.0
0.068,196,61,36.0
0.05,197,0,150.0
0.051,198,70,44.0
0.054,199,35,35.0
0.067%,200,79,5.0
0.05,201,0,150.0
0.054,202,35,35.0
0.053,203,46,47.0
0.07%,204,23,30.0
0.047,205,63,39.0
0.068,206,61,36.0
0.066,207,1,12.0
0.047,208,63,39.0
0.055,209,8,112.0
0.049%,210,21,25.0
0.069,211,32,21.0
0.088,212,80,6.0
0.05,213,0,150.0
0.057999999999999996%,214,55,28.0
0.068%,215,26,16.0
0.048,216,67,50.0
0.057999999999999996%,217,55,28.0
0.06%,218,64,33.0
0.05,219,0,150.0
0.058,220,57,38.0
0.07,221,22,62.0
0.058,222,57,38.0
0.044,223,19,13.0
0.083,224,27,6.0
0.057%,225,56,17.0
0.06,226,15,92.0
0.072,227,10,28.0
0.056,228,54,38.0
0.062,229,50,44.0
0.06%,230,64,33.0
0.05,231,0,150.0
0.055,232,8,112.0
0.053,233,46,47.0
0.078%,234,81,2.0
0.047%,235,59,18.0
0.064,236,72,18.0
0.055999999999999994%,237,52,28.0
0.06,238,15,92.0
0.081,239,82,4.0
0.095%,240,83,4.0
0.041,241,84,5.0
0.067,242,74,20.0
0.07%,243,23,30.0
0.065,244,7,86.0
0.06,245,15,92.0
0.08,246,40,40.0
0.062,247,50,44.0
0.06,248,15,92.0
0.075,249,4,30.0
0.05,250,0,150.0
0.06,251,15,92.0
0.062,252,50,44.0
0.05%,253,60,65.0
0.05,254,0,150.0
0.051,255,70,44.0
0.072,256,10,28.0
0.051,257,70,44.0
0.05,258,0,150.0
0.062,259,50,44.0
0.047,260,63,39.0
0.05,261,0,150.0
0.05,262,0,150.0
0.051%,263,44,18.0
0.069,264,32,21.0
0.057999999999999996%,265,55,28.0
0.053,266,46,47.0
0.099%,267,85,10.0
0.098,268,86,3.0
0.055,269,8,112.0
0.066,270,1,12.0
0.055,271,8,112.0
0.052,272,47,80.0
0.063,273,73,31.0
0.054,274,35,35.0
0.072,275,10,28.0
0.045%,276,6,25.0
0.075,277,4,30.0
0.05,278,0,150.0
0.058,279,57,38.0
0.071,280,2,14.0
0.071,281,2,14.0
0.078,282,87,8.0
0.066,283,1,12.0
0.048%,284,53,22.0
0.046,285,78,22.0
0.073%,286,88,6.0
0.048,287,67,50.0
0.06,288,15,92.0
0.052,289,47,80.0
0.068,290,61,36.0
0.07,291,22,62.0
0.055,292,8,112.0
0.05%,293,60,65.0
,294,89,
0.055%,295,30,46.0
0.08,296,40,40.0
0.096,297,90,3.0
0.052,298,47,80.0
,299,89,
0.05,300,0,150.0
0.064,301,72,18.0
0.045,302,39,64.0
0.056,303,54,38.0
0.055999999999999994%,304,52,28.0
0.055999999999999994%,305,52,28.0
0.046,306,78,22.0
0.059,307,28,22.0
0.059000000000000004%,308,51,12.0
0.08%,309,71,17.0
0.059,310,28,22.0
0.065,311,7,86.0
0.053,312,46,47.0
0.059,313,28,22.0
0.049,314,20,34.0
,315,89,
,316,89,
,317,89,
,318,89,
0.07,319,22,62.0
0.06%,320,64,33.0
0.044,321,19,13.0
0.055,322,8,112.0
0.06,323,15,92.0
0.053,324,46,47.0
0.04,325,42,28.0
0.05%,326,60,65.0
0.05,327,0,150.0
0.065,328,7,86.0
0.055,329,8,112.0
0.06%,330,64,33.0
0.042%,331,91,11.0
0.04,332,42,28.0
0.051,333,70,44.0
0.045,334,39,64.0
0.066,335,1,12.0
0.075,336,4,30.0
0.048,337,67,50.0
0.056,338,54,38.0
0.07,339,22,62.0
0.047,340,63,39.0
0.068,341,61,36.0
0.047,342,63,39.0
0.047,343,63,39.0
0.048,344,67,50.0
0.049%,345,21,25.0
0.053,346,46,47.0
0.064%,347,92,3.0
0.061,348,75,17.0
0.058,349,57,38.0
0.057999999999999996%,350,55,28.0
0.048,351,67,50.0
0.048,352,67,50.0
0.066,353,1,12.0
0.071,354,2,14.0
0.045,355,39,64.0
0.065,356,7,86.0
0.055,357,8,112.0
0.055999999999999994%,358,52,28.0
0.049,359,20,34.0
0.049,360,20,34.0
0.053,361,46,47.0
0.053,362,46,47.0
0.049,363,20,34.0
0.049,364,20,34.0
0.057,365,48,35.0
0.049,366,20,34.0
0.062,367,50,44.0
0.065,368,7,86.0
0.058,369,57,38.0
0.047%,370,59,18.0
0.06%,371,64,33.0
0.057,372,48,35.0
0.07,373,22,62.0
0.06,374,15,92.0
0.055%,375,30,46.0
0.052,376,47,80.0
0.05,377,0,150.0
0.042,378,38,27.0
0.045,379,39,64.0
0.062%,380,69,15.0
0.054,381,35,35.0
0.05,382,0,150.0
0.072,383,10,28.0
0.05%,384,60,65.0
0.055,385,8,112.0
0.057999999999999996%,386,55,28.0
0.053,387,46,47.0
0.067,388,74,20.0
0.06,389,15,92.0
0.098,390,86,3.0
0.06,391,15,92.0
0.07,392,22,62.0
0.077,393,5,11.0
0.065,394,7,86.0
0.065,395,7,86.0
0.065%,396,45,37.0
0.065,397,7,86.0
0.05,398,0,150.0
0.09,399,31,15.0
0.055,400,8,112.0
0.059,401,28,22.0
0.066%,402,93,8.0
0.040999999999999995%,403,94,4.0
0.08199999999999999%,404,68,5.0
0.065,405,7,86.0
0.062%,406,69,15.0
,407,89,
,408,89,
0.061,409,75,17.0
0.063,410,73,31.0
0.055999999999999994%,411,52,28.0
0.099,412,17,25.0
0.051,413,70,44.0
0.062,414,50,44.0
0.062,415,50,44.0
0.053,416,46,47.0
0.063,417,73,31.0
0.064,418,72,18.0
0.07%,419,23,30.0
0.067%,420,79,5.0
0.067,421,74,20.0
0.05,422,0,150.0
0.06,423,15,92.0
0.065,424,7,86.0
0.045%,425,6,25.0
0.063,426,73,31.0
0.093,427,95,4.0
0.073,428,11,12.0
0.055999999999999994%,429,52,28.0
0.093,430,95,4.0
0.065,431,7,86.0
0.05%,432,60,65.0
0.09%,433,3,9.0
0.082,434,16,17.0
0.098,435,86,3.0
0.06%,436,64,33.0
0.099%,437,85,10.0
0.095,438,96,5.0
0.092%,439,97,2.0
0.065,440,7,86.0
0.099,441,17,25.0
0.062,442,50,44.0
0.09,443,31,15.0
0.092,444,65,11.0
0.097,445,24,3.0
0.085,446,13,24.0
0.055%,447,30,46.0
0.06%,448,64,33.0
0.065,449,7,86.0
,450,89,
,451,89,
0.061,452,75,17.0
0.05,453,0,150.0
0.052,454,47,80.0
0.048%,455,53,22.0
0.061,456,75,17.0
0.068%,457,26,16.0
0.045,458,39,64.0
0.068,459,61,36.0
0.045,460,39,64.0
0.052,461,47,80.0
0.052000000000000005%,462,34,27.0
0.08%,463,71,17.0
,464,89,
0.073,465,11,12.0
0.099,466,17,25.0
0.062%,467,69,15.0
0.057999999999999996%,468,55,28.0
0.052,469,47,80.0
0.053%,470,98,13.0
0.045%,471,6,25.0
0.06,472,15,92.0
0.06,473,15,92.0
0.09,474,31,15.0
0.065%,475,45,37.0
0.068,476,61,36.0
0.078,477,87,8.0
0.055,478,8,112.0
0.099,479,17,25.0
0.06,480,15,92.0
0.065,481,7,86.0
0.068%,482,26,16.0
0.072,483,10,28.0
0.068,484,61,36.0
0.055,485,8,112.0
0.05,486,0,150.0
0.056,487,54,38.0
0.049%,488,21,25.0
0.068,489,61,36.0
0.049,490,20,34.0
0.043%,491,99,4.0
0.093,492,95,4.0
0.062,493,50,44.0
0.06,494,15,92.0
0.048,495,67,50.0
0.077,496,5,11.0
0.097,497,24,3.0
0.052,498,47,80.0
0.053,499,46,47.0
0.063,500,73,31.0
0.068%,501,26,16.0
0.063,502,73,31.0
0.053,503,46,47.0
0.068%,504,26,16.0
0.06,505,15,92.0
0.055999999999999994%,506,52,28.0
0.039,507,100,9.0
0.054,508,35,35.0
0.061,509,75,17.0
0.061%,510,14,4.0
0.055999999999999994%,511,52,28.0
0.056,512,54,38.0
0.056,513,54,38.0
0.056,514,54,38.0
0.056,515,54,38.0
0.054,516,35,35.0
0.061,517,75,17.0
0.05,518,0,150.0
0.065%,519,45,37.0
,520,89,
,521,89,
,522,89,
,523,89,
0.099,524,17,25.0
0.09,525,31,15.0
0.055%,526,30,46.0
0.054,527,35,35.0
0.055%,528,30,46.0
0.055,529,8,112.0
0.049%,530,21,25.0
0.065,531,7,86.0
0.052,532,47,80.0
0.046%,533,33,10.0
0.056,534,54,38.0
0.046,535,78,22.0
0.062,536,50,44.0
0.052000000000000005%,537,34,27.0
0.042%,538,91,11.0
0.052,539,47,80.0
0.05,540,0,150.0
,541,89,
0.04,542,42,28.0
0.05%,543,60,65.0
0.035,544,29,4.0
0.059,545,28,22.0
0.057%,546,56,17.0
0.051,547,70,44.0
0.099,548,17,25.0
0.039,549,100,9.0
0.078,550,87,8.0
0.042,551,38,27.0
0.069,552,32,21.0
0.069,553,32,21.0
0.056,554,54,38.0
0.052,555,47,80.0
0.047,556,63,39.0
0.07,557,22,62.0
0.047,558,63,39.0
0.052,559,47,80.0
0.056,560,54,38.0
0.048,561,67,50.0
0.078,562,87,8.0
0.057999999999999996%,563,55,28.0
0.054,564,35,35.0
0.085,565,13,24.0
,566,89,
0.068%,567,26,16.0
0.051%,568,44,18.0
0.051%,569,44,18.0
0.05,570,0,150.0
0.05%,571,60,65.0
0.05,572,0,150.0
0.05,573,0,150.0
0.045,574,39,64.0
0.05,575,0,150.0
0.052,576,47,80.0
0.051,577,70,44.0
0.072,578,10,28.0
0.095,579,96,5.0
0.075,580,4,30.0
0.07,581,22,62.0
0.06,582,15,92.0
0.05,583,0,150.0
0.07%,584,23,30.0
0.045,585,39,64.0
0.065,586,7,86.0
0.055,587,8,112.0
0.045%,588,6,25.0
0.08%,589,71,17.0
0.055,590,8,112.0
0.057%,591,56,17.0
0.057%,592,56,17.0
0.052,593,47,80.0
0.089,594,101,1.0
0.049,595,20,34.0
0.05,596,0,150.0
0.05%,597,60,65.0
0.055,598,8,112.0
0.062,599,50,44.0
0.082,600,16,17.0
0.055,601,8,112.0
0.055,602,8,112.0
0.06,603,15,92.0
0.045,604,39,64.0
0.07,605,22,62.0
0.07,606,22,62.0
0.063,607,73,31.0
0.07%,608,23,30.0
0.07,609,22,62.0
0.07,610,22,62.0
0.055,611,8,112.0
0.052,612,47,80.0
0.075,613,4,30.0
0.075,614,4,30.0
0.08,615,40,40.0
0.05%,616,60,65.0
0.055,617,8,112.0
0.055%,618,30,46.0
0.05%,619,60,65.0
0.07200000000000001%,620,102,9.0
0.075,621,4,30.0
0.05%,622,60,65.0
0.048,623,67,50.0
0.06,624,15,92.0
0.045,625,39,64.0
0.062%,626,69,15.0
0.065,627,7,86.0
0.038%,628,77,3.0
0.055999999999999994%,629,52,28.0
0.067,630,74,20.0
0.06%,631,64,33.0
0.044,632,19,13.0
0.047,633,63,39.0
0.062,634,50,44.0
0.046,635,78,22.0
0.065,636,7,86.0
0.052,637,47,80.0
0.052,638,47,80.0
0.058,639,57,38.0
0.068,640,61,36.0
0.048,641,67,50.0
0.056,642,54,38.0
0.05,643,0,150.0
0.052,644,47,80.0
0.057,645,48,35.0
0.061,646,75,17.0
0.038,647,37,3.0
0.05%,648,60,65.0
0.048%,649,53,22.0
0.075%,650,103,13.0
0.077,651,5,11.0
0.06,652,15,92.0
0.075%,653,103,13.0
0.059,654,28,22.0
,655,89,
,656,89,
0.052,657,47,80.0
0.06,658,15,92.0
0.052,659,47,80.0
0.065,660,7,86.0
0.045%,661,6,25.0
0.049%,662,21,25.0
0.055%,663,30,46.0
0.056,664,54,38.0
0.065,665,7,86.0
0.066,666,1,12.0
0.055%,667,30,46.0
0.045,668,39,64.0
0.055%,669,30,46.0
0.069,670,32,21.0
0.06,671,15,92.0
0.06%,672,64,33.0
0.052,673,47,80.0
0.049%,674,21,25.0
0.054,675,35,35.0
0.08,676,40,40.0
0.063,677,73,31.0
0.045%,678,6,25.0
0.06%,679,64,33.0
0.08,680,40,40.0
0.05%,681,60,65.0
0.053,682,46,47.0
0.055,683,8,112.0
0.092,684,65,11.0
0.065%,685,45,37.0
0.07,686,22,62.0
0.06,687,15,92.0
0.065%,688,45,37.0
0.065%,689,45,37.0
0.07200000000000001%,690,102,9.0
0.055,691,8,112.0
0.05,692,0,150.0
0.05,693,0,150.0
0.063%,694,104,7.0
0.06%,695,64,33.0
0.075%,696,103,13.0
0.085,697,13,24.0
0.06%,698,64,33.0
0.07,699,22,62.0
0.048,700,67,50.0
0.046,701,78,22.0
0.052000000000000005%,702,34,27.0
0.07,703,22,62.0
0.045,704,39,64.0
0.05,705,0,150.0
0.059,706,28,22.0
0.056,707,54,38.0
0.065,708,7,86.0
0.058,709,57,38.0
0.07,710,22,62.0
0.05%,711,60,65.0
0.05%,712,60,65.0
0.052000000000000005%,713,34,27.0
0.049%,714,21,25.0
0.063%,715,104,7.0
0.05,716,0,150.0
0.05%,717,60,65.0
0.096,718,90,3.0
0.049%,719,21,25.0
0.044000000000000004%,720,76,3.0
0.052,721,47,80.0
0.054000000000000006%,722,58,15.0
,723,89,
0.071,724,2,14.0
0.074,725,105,4.0
0.045%,726,6,25.0
0.065%,727,45,37.0
,728,89,
,729,89,
,730,89,
,731,89,
,732,89,
,733,89,
,734,89,
0.049,735,20,34.0
0.051,736,70,44.0
0.066%,737,93,8.0
0.051,738,70,44.0
0.043,739,49,8.0
0.057999999999999996%,740,55,28.0
0.061%,741,14,4.0
0.045%,742,6,25.0
0.05,743,0,150.0
0.078,744,87,8.0
0.06,745,15,92.0
0.05,746,0,150.0
0.055,747,8,112.0
0.045,748,39,64.0
0.078,749,87,8.0
0.057%,750,56,17.0
0.049,751,20,34.0
0.07,752,22,62.0
0.05%,753,60,65.0
0.052,754,47,80.0
0.052,755,47,80.0
0.05%,756,60,65.0
0.062,757,50,44.0
0.043%,758,99,4.0
0.062,759,50,44.0
0.049%,760,21,25.0
0.07%,761,23,30.0
0.051,762,70,44.0
0.052,763,47,80.0
0.048,764,67,50.0
0.054,765,35,35.0
0.04%,766,106,10.0
0.085,767,13,24.0
0.055,768,8,112.0
0.027000000000000003%,769,107,2.0
0.055%,770,30,46.0
0.05,771,0,150.0
0.045,772,39,64.0
0.067,773,74,20.0
0.063%,774,104,7.0
0.07,775,22,62.0
0.07,776,22,62.0
0.05%,777,60,65.0
0.05,778,0,150.0
0.05,779,0,150.0
0.07%,780,23,30.0
0.075%,781,103,13.0
0.046,782,78,22.0
0.051,783,70,44.0
0.075,784,4,30.0
0.069,785,32,21.0
0.05,786,0,150.0
0.081,787,82,4.0
0.08199999999999999%,788,68,5.0
0.082,789,16,17.0
0.055%,790,30,46.0
0.045,791,39,64.0
0.055%,792,30,46.0
0.048,793,67,50.0
0.09%,794,3,9.0
0.08,795,40,40.0
0.086,796,9,3.0
0.05,797,0,150.0
0.053%,798,98,13.0
0.08%,799,71,17.0
0.055,800,8,112.0
0.075,801,4,30.0
0.055,802,8,112.0
0.047%,803,59,18.0
0.045,804,39,64.0
0.075,805,4,30.0
0.053,806,46,47.0
0.047,807,63,39.0
0.047,808,63,39.0
0.065,809,7,86.0
0.05,810,0,150.0
0.06,811,15,92.0
,812,89,
0.055%,813,30,46.0
0.071%,814,108,4.0
0.047,815,63,39.0
0.04,816,42,28.0
0.07,817,22,62.0
0.078,818,87,8.0
0.06%,819,64,33.0
0.065%,820,45,37.0
0.045,821,39,64.0
0.05,822,0,150.0
0.069,823,32,21.0
0.052000000000000005%,824,34,27.0
0.062%,825,69,15.0
0.045,826,39,64.0
0.065,827,7,86.0
0.062,828,50,44.0
0.067,829,74,20.0
0.058,830,57,38.0
0.052,831,47,80.0
0.055,832,8,112.0
0.088,833,80,6.0
0.051,834,70,44.0
0.07400000000000001%,835,109,4.0
,836,89,
0.047%,837,59,18.0
0.056,838,54,38.0
0.046,839,78,22.0
0.063,840,73,31.0
0.085,841,13,24.0
0.072,842,10,28.0
0.047,843,63,39.0
0.076%,844,110,1.0
0.057,845,48,35.0
0.052,846,47,80.0
0.055,847,8,112.0
0.05,848,0,150.0
0.06,849,15,92.0
0.064,850,72,18.0
0.04%,851,106,10.0
0.052,852,47,80.0
0.06,853,15,92.0
0.051,854,70,44.0
0.042,855,38,27.0
0.067,856,74,20.0
0.06,857,15,92.0
0.052,858,47,80.0
0.06,859,15,92.0
0.05%,860,60,65.0
0.057,861,48,35.0
0.07,862,22,62.0
0.055999999999999994%,863,52,28.0
0.069,864,32,21.0
0.055,865,8,112.0
0.053,866,46,47.0
0.065%,867,45,37.0
0.06,868,15,92.0
0.042,869,38,27.0
0.068,870,61,36.0
0.042,871,38,27.0
0.059,872,28,22.0
0.044,873,19,13.0
0.04,874,42,28.0
0.045,875,39,64.0
0.08,876,40,40.0
0.065%,877,45,37.0
0.065,878,7,86.0
0.055999999999999994%,879,52,28.0
0.065%,880,45,37.0
0.053%,881,98,13.0
0.07%,882,23,30.0
0.052000000000000005%,883,34,27.0
0.07%,884,23,30.0
0.05%,885,60,65.0
0.072,886,10,28.0
0.049,887,20,34.0
0.05,888,0,150.0
0.067,889,74,20.0
0.072,890,10,28.0
0.057999999999999996%,891,55,28.0
0.074,892,105,4.0
0.08,893,40,40.0
0.094,894,111,1.0
0.059000000000000004%,895,51,12.0
0.046,896,78,22.0
0.068,897,61,36.0
0.059000000000000004%,898,51,12.0
0.05,899,0,150.0
0.055,900,8,112.0
0.08,901,40,40.0
0.08,902,40,40.0
0.059,903,28,22.0
0.046%,904,33,10.0
0.07,905,22,62.0
0.07,906,22,62.0
0.06,907,15,92.0
0.055999999999999994%,908,52,28.0
0.093,909,95,4.0
0.06,910,15,92.0
0.06,911,15,92.0
0.057999999999999996%,912,55,28.0
0.055,913,8,112.0
0.059,914,28,22.0
0.054,915,35,35.0
0.054000000000000006%,916,58,15.0
0.042%,917,91,11.0
0.042%,918,91,11.0
0.042%,919,91,11.0
0.052000000000000005%,920,34,27.0
0.05,921,0,150.0
0.052000000000000005%,922,34,27.0
0.054,923,35,35.0
,924,89,
0.043,925,49,8.0
0.049,926,20,34.0
0.055,927,8,112.0
0.053,928,46,47.0
0.057,929,48,35.0
0.056,930,54,38.0
0.062,931,50,44.0
0.057,932,48,35.0
0.053,933,46,47.0
0.056,934,54,38.0
0.057%,935,56,17.0
0.045,936,39,64.0
0.057,937,48,35.0
0.057%,938,56,17.0
0.06%,939,64,33.0
0.051,940,70,44.0
0.075,941,4,30.0
0.08,942,40,40.0
0.055999999999999994%,943,52,28.0
0.057,944,48,35.0
0.042,945,38,27.0
0.062%,946,69,15.0
0.053%,947,98,13.0
0.05,948,0,150.0
0.087,949,112,8.0
0.061%,950,14,4.0
0.071,951,2,14.0
0.083%,952,113,2.0
0.05,953,0,150.0
0.095%,954,83,4.0
0.073%,955,88,6.0
0.071,956,2,14.0
0.045%,957,6,25.0
0.045,958,39,64.0
0.052,959,47,80.0
0.052,960,47,80.0
0.05,961,0,150.0
0.07%,962,23,30.0
0.048,963,67,50.0
0.048,964,67,50.0
0.048%,965,53,22.0
0.05,966,0,150.0
0.06%,967,64,33.0
0.055,968,8,112.0
0.054000000000000006%,969,58,15.0
0.053,970,46,47.0
0.09%,971,3,9.0
0.07,972,22,62.0
0.07%,973,23,30.0
0.059000000000000004%,974,51,12.0
0.048,975,67,50.0
0.06%,976,64,33.0
0.053%,977,98,13.0
0.054,978,35,35.0
0.05%,979,60,65.0
0.057,980,48,35.0
0.067,981,74,20.0
0.058,982,57,38.0
0.085,983,13,24.0
0.058,984,57,38.0
0.06%,985,64,33.0
0.04,986,42,28.0
0.055,987,8,112.0
0.06,988,15,92.0
0.06%,989,64,33.0
0.049%,990,21,25.0
0.045,991,39,64.0
0.065%,992,45,37.0
0.05,993,0,150.0
0.05%,994,60,65.0
0.065,995,7,86.0
0.075,996,4,30.0
0.05%,997,60,65.0
0.04,998,42,28.0
0.09,999,31,15.0
0.063,1000,73,31.0
0.069,1001,32,21.0
0.047,1002,63,39.0
0.07,1003,22,62.0
0.08,1004,40,40.0
0.057%,1005,56,17.0
0.055,1006,8,112.0
0.06,1007,15,92.0
0.06,1008,15,92.0
0.042,1009,38,27.0
0.052,1010,47,80.0
0.07,1011,22,62.0
0.052,1012,47,80.0
0.046,1013,78,22.0
0.043,1014,49,8.0
0.075,1015,4,30.0
0.044,1016,19,13.0
0.056,1017,54,38.0
0.052,1018,47,80.0
0.062,1019,50,44.0
0.048,1020,67,50.0
0.05%,1021,60,65.0
0.059,1022,28,22.0
0.059000000000000004%,1023,51,12.0
0.055,1024,8,112.0
0.059000000000000004%,1025,51,12.0
0.05%,1026,60,65.0
0.048,1027,67,50.0
0.05,1028,0,150.0
0.059000000000000004%,1029,51,12.0
,1030,89,
0.048%,1031,53,22.0
0.049,1032,20,34.0
0.054000000000000006%,1033,58,15.0
0.064%,1034,92,3.0
0.064,1035,72,18.0
0.083,1036,27,6.0
0.076,1037,43,4.0
0.062%,1038,69,15.0
0.088,1039,80,6.0
0.072,1040,10,28.0
0.06%,1041,64,33.0
0.06,1042,15,92.0
0.063%,1043,104,7.0
0.08%,1044,71,17.0
0.099,1045,17,25.0
0.063,1046,73,31.0
0.07,1047,22,62.0
0.044,1048,19,13.0
0.045%,1049,6,25.0
0.055,1050,8,112.0
0.045%,1051,6,25.0
0.055%,1052,30,46.0
0.049,1053,20,34.0
0.055,1054,8,112.0
0.066%,1055,93,8.0
0.042,1056,38,27.0
0.042,1057,38,27.0
0.047%,1058,59,18.0
0.057999999999999996%,1059,55,28.0
0.049,1060,20,34.0
0.078%,1061,81,2.0
0.063,1062,73,31.0
0.049,1063,20,34.0
0.048,1064,67,50.0
0.065,1065,7,86.0
0.065,1066,7,86.0
0.049,1067,20,34.0
0.07,1068,22,62.0
0.051,1069,70,44.0
0.051,1070,70,44.0
0.06,1071,15,92.0
0.065,1072,7,86.0
0.068,1073,61,36.0
0.027000000000000003%,1074,107,2.0
0.039,1075,100,9.0
0.039,1076,100,9.0
0.039,1077,100,9.0
0.039%,1078,114,6.0
0.039%,1079,114,6.0
0.039,1080,100,9.0
0.039%,1081,114,6.0
0.039%,1082,114,6.0
0.039,1083,100,9.0
0.039%,1084,114,6.0
0.039,1085,100,9.0
0.039%,1086,114,6.0
0.058,1087,57,38.0
0.057999999999999996%,1088,55,28.0
0.066%,1089,93,8.0
0.073%,1090,88,6.0
0.06,1091,15,92.0
0.058,1092,57,38.0
0.073,1093,11,12.0
0.051,1094,70,44.0
0.066,1095,1,12.0
0.055999999999999994%,1096,52,28.0
0.051,1097,70,44.0
0.06,1098,15,92.0
0.065%,1099,45,37.0
0.055,1100,8,112.0
0.068%,1101,26,16.0
0.065,1102,7,86.0
0.05,1103,0,150.0
0.046,1104,78,22.0
0.065,1105,7,86.0
0.054000000000000006%,1106,58,15.0
0.048,1107,67,50.0
0.055,1108,8,112.0
0.059,1109,28,22.0
0.057999999999999996%,1110,55,28.0
0.07,1111,22,62.0
0.055%,1112,30,46.0
0.045%,1113,6,25.0
0.068,1114,61,36.0
0.053,1115,46,47.0
0.049,1116,20,34.0
