ProviderNumber,State,original_index,unique_index,count
10011,al,207,19,24
10011,al,208,19,24
10011,al,209,19,24
10011,al,210,19,24
10011,al,211,19,24
10011,al,212,19,24
x00xx,al,213,20,1
10011,al,214,19,24
10011,al,215,19,24
10011,al,216,19,24
10011,al,217,19,24
10011,al,218,19,24
10012,al,219,21,24
10012,al,220,21,24
10012,al,221,21,24
10012,al,222,21,24
10012,al,223,21,24
10012,al,224,21,24
10012,al,225,21,24
10012,al,226,21,24
10012,al,227,21,24
10012,ax,228,22,1
10012,al,229,21,24
10012,al,230,21,24
10012,al,231,21,24
10012,al,232,21,24
10012,al,233,21,24
10012,al,234,21,24
10012,al,235,21,24
10012,al,236,21,24
10012,al,237,21,24
10012,al,238,21,24
10012,al,239,21,24
10012,al,240,21,24
10012,al,241,21,24
10012,al,242,21,24
10012,al,243,21,24
x00x5,al,244,23,1
10015,al,245,24,23
10015,al,246,24,23
10015,al,247,24,23
10015,al,248,24,23
10015,al,249,24,23
10015,al,250,24,23
10015,al,251,24,23
10015,al,252,24,23
1xx15,al,253,25,1
10015,al,254,24,23
10015,al,255,24,23
10015,al,256,24,23
10015,al,257,24,23
10015,al,258,24,23
10015,al,259,24,23
10015,al,260,24,23
10015,al,261,24,23
10015,al,262,24,23
10015,al,263,24,23
10015,al,264,24,23
10015,al,265,24,23
10015,al,266,24,23
10015,al,267,24,23
10015,al,268,24,23
10016,al,269,26,23
10016,al,270,26,23
10016,al,271,26,23
10016,al,272,26,23
1xx16,al,273,27,1
10016,al,274,26,23
10016,al,275,26,23
10016,al,276,26,23
10016,al,277,26,23
10016,xl,278,28,1
10016,al,279,26,23
10016,al,280,26,23
10016,al,281,26,23
10016,al,282,26,23
10016,al,283,26,23
10016,al,284,26,23
10016,al,285,26,23
10016,al,286,26,23
10016,al,287,26,23
10016,al,288,26,23
10016,al,289,26,23
10016,al,290,26,23
10016,al,291,26,23
10016,al,292,26,23
10016,al,293,26,23
10018,al,294,0,25
10018,al,295,0,25
10018,al,296,0,25
10018,al,297,0,25
10018,al,298,0,25
10018,al,299,0,25
10018,al,300,0,25
10018,al,301,0,25
10018,al,302,0,25
10018,al,303,0,25
10018,al,304,0,25
10018,al,305,0,25
10018,al,306,0,25
10018,al,307,0,25
10018,al,308,0,25
10018,al,309,0,25
10018,al,310,0,25
10038,al,311,29,27
10038,al,312,29,27
10038,al,313,29,27
100x8,al,314,30,1
10038,al,315,29,27
10038,al,316,29,27
10038,al,317,29,27
10038,al,318,29,27
10038,al,319,29,27
10038,al,320,29,27
10038,al,321,29,27
10038,al,322,29,27
10038,al,323,29,27
10038,al,324,29,27
10038,al,325,29,27
10038,al,326,29,27
10038,al,327,29,27
10038,al,328,29,27
10038,al,329,29,27
10038,al,330,29,27
10055,al,331,31,17
10055,al,332,31,17
10055,al,333,31,17
10055,al,334,31,17
10055,al,335,31,17
10055,al,336,31,17
10055,al,337,31,17
10055,al,338,31,17
10055,al,339,31,17
10055,al,340,31,17
10055,al,341,31,17
10055,al,342,31,17
10055,al,343,31,17
10055,al,344,31,17
10055,al,345,31,17
10055,al,346,31,17
10055,al,347,31,17
10056,al,348,32,5
10056,al,349,32,5
10056,al,350,32,5
10056,al,351,32,5
10056,al,352,32,5
10085,al,353,33,1
10086,al,354,34,23
10086,al,355,34,23
10086,ax,356,35,1
10086,al,357,34,23
10086,al,358,34,23
10086,al,359,34,23
100x6,al,360,36,1
10086,al,361,34,23
10086,al,362,34,23
10086,al,363,34,23
10086,al,364,34,23
10086,al,365,34,23
10086,al,366,34,23
10086,al,367,34,23
10086,al,368,34,23
10086,al,369,34,23
10086,al,370,34,23
10086,al,371,34,23
10086,al,372,34,23
10086,al,373,34,23
10086,al,374,34,23
10086,al,375,34,23
10086,al,376,34,23
10086,al,377,34,23
10086,al,378,34,23
10087,al,379,37,12
10087,al,380,37,12
10087,al,381,37,12
10087,al,382,37,12
10087,al,383,37,12
10087,al,384,37,12
10087,al,385,37,12
10087,xl,386,38,1
10087,al,387,37,12
10087,al,388,37,12
10087,al,389,37,12
10087,al,390,37,12
10087,al,391,37,12
10108,al,392,39,18
10108,al,393,39,18
10108,al,394,39,18
10108,al,395,39,18
10108,al,396,39,18
10108,al,397,39,18
10108,al,398,39,18
10108,al,399,39,18
10108,al,400,39,18
10108,al,401,39,18
10108,ax,402,40,1
10108,al,403,39,18
10108,al,404,39,18
10108,al,405,39,18
10108,al,406,39,18
10108,al,407,39,18
x0x08,al,408,41,1
10108,al,409,39,18
10108,al,410,39,18
10108,al,411,39,18
10158,al,412,42,2
10158,al,413,42,2
10164,al,414,43,18
10164,al,415,43,18
10164,al,416,43,18
10164,al,417,43,18
10164,al,418,43,18
10164,al,419,43,18
10164,al,420,43,18
10164,al,421,43,18
10164,al,422,43,18
10164,al,423,43,18
10164,al,424,43,18
10164,al,425,43,18
10164,al,426,43,18
10164,al,427,43,18
10164,al,428,43,18
10164,al,429,43,18
10164,al,430,43,18
10164,al,431,43,18
20017,ak,432,44,18
20017,ak,433,44,18
20017,ak,434,44,18
20017,ak,435,44,18
20017,ak,436,44,18
20017,ak,437,44,18
20017,ak,438,44,18
20017,ak,439,44,18
20017,ak,440,44,18
20017,ak,441,44,18
20017,ak,442,44,18
20017,ak,443,44,18
20017,ak,444,44,18
20017,ak,445,44,18
20017,ak,446,44,18
20017,ak,447,44,18
20017,ak,448,44,18
20017,ak,449,44,18
20018,ak,450,45,2
20018,ak,451,45,2
10019,al,452,1,24
10019,al,453,1,24
10019,al,454,1,24
10019,al,455,1,24
10019,al,456,1,24
10019,al,457,1,24
10019,al,458,1,24
10019,al,459,1,24
10019,al,460,1,24
10019,al,461,1,24
10019,al,462,1,24
10019,al,463,1,24
10019,al,464,1,24
10019,al,465,1,24
10021,al,466,46,23
10021,al,467,46,23
10021,al,468,46,23
10021,al,469,46,23
10021,al,470,46,23
10021,al,471,46,23
10021,al,472,46,23
10021,al,473,46,23
10021,al,474,46,23
10021,al,475,46,23
10021,al,476,46,23
10021,xl,477,47,2
10021,al,478,46,23
10021,al,479,46,23
10021,al,480,46,23
10021,al,481,46,23
10021,al,482,46,23
10021,xl,483,47,2
10021,al,484,46,23
10021,al,485,46,23
10021,al,486,46,23
10021,al,487,46,23
10021,al,488,46,23
10021,al,489,46,23
10021,al,490,46,23
10022,al,491,48,24
10022,al,492,48,24
10022,al,493,48,24
10022,al,494,48,24
10022,al,495,48,24
10022,al,496,48,24
10022,al,497,48,24
10022,al,498,48,24
10022,al,499,48,24
10022,al,500,48,24
10022,al,501,48,24
10022,al,502,48,24
10022,al,503,48,24
10022,ax,504,49,1
10022,al,505,48,24
10022,al,506,48,24
10022,al,507,48,24
10022,al,508,48,24
10022,al,509,48,24
10022,al,510,48,24
10022,al,511,48,24
10022,al,512,48,24
10022,al,513,48,24
10022,al,514,48,24
10022,al,515,48,24
10023,al,516,50,25
10023,al,517,50,25
10023,al,518,50,25
10023,al,519,50,25
10023,al,520,50,25
10023,al,521,50,25
10023,al,522,50,25
10023,al,523,50,25
10023,al,524,50,25
10023,al,525,50,25
10023,al,526,50,25
10023,al,527,50,25
10023,al,528,50,25
10023,al,529,50,25
10023,al,530,50,25
10023,al,531,50,25
10023,al,532,50,25
10023,al,533,50,25
10023,al,534,50,25
10023,al,535,50,25
10023,al,536,50,25
10023,al,537,50,25
10023,al,538,50,25
10023,al,539,50,25
10023,al,540,50,25
10024,al,541,51,24
10024,al,542,51,24
10024,al,543,51,24
10024,al,544,51,24
10024,al,545,51,24
10024,al,546,51,24
10024,al,547,51,24
10024,al,548,51,24
10024,al,549,51,24
10024,al,550,51,24
10024,al,551,51,24
10024,al,552,51,24
10024,al,553,51,24
10024,al,554,51,24
10024,al,555,51,24
10024,al,556,51,24
10024,al,557,51,24
10024,al,558,51,24
1xx24,xl,559,52,1
10024,al,560,51,24
10024,al,561,51,24
10024,al,562,51,24
10024,al,563,51,24
10024,al,564,51,24
10024,al,565,51,24
10025,al,566,53,24
10025,al,567,53,24
10025,al,568,53,24
10025,al,569,53,24
10025,al,570,53,24
10025,al,571,53,24
10025,ax,572,54,1
10025,al,573,53,24
10025,al,574,53,24
10025,al,575,53,24
10025,al,576,53,24
10025,al,577,53,24
10025,al,578,53,24
10025,al,579,53,24
10025,al,580,53,24
10025,al,581,53,24
10025,al,582,53,24
10025,al,583,53,24
10025,al,584,53,24
10025,al,585,53,24
10025,al,586,53,24
10025,al,587,53,24
10025,al,588,53,24
10025,al,589,53,24
10025,al,590,53,24
10027,al,591,55,23
10027,ax,592,56,1
10027,al,593,55,23
10027,al,594,55,23
10027,al,595,55,23
10027,al,596,55,23
10027,al,597,55,23
10027,al,598,55,23
10027,al,599,55,23
10027,al,600,55,23
10027,al,601,55,23
10027,al,602,55,23
10027,al,603,55,23
10027,al,604,55,23
10027,al,605,55,23
10027,al,606,55,23
10027,al,607,55,23
x0027,al,608,57,1
10027,al,609,55,23
10027,al,610,55,23
10027,al,611,55,23
10027,al,612,55,23
10027,al,613,55,23
10027,al,614,55,23
10027,al,615,55,23
10029,al,616,58,23
10029,al,617,58,23
10029,al,618,58,23
10029,al,619,58,23
10029,al,620,58,23
10029,al,621,58,23
10029,al,622,58,23
10029,al,623,58,23
10029,al,624,58,23
10029,al,625,58,23
10029,al,626,58,23
x0029,al,627,59,1
10029,al,628,58,23
10029,al,629,58,23
10029,al,630,58,23
10029,al,631,58,23
10029,al,632,58,23
10029,al,633,58,23
10029,al,634,58,23
10029,al,635,58,23
10029,al,636,58,23
10029,al,637,58,23
10029,al,638,58,23
1xx29,al,639,60,1
10029,al,640,58,23
10032,al,641,61,23
10032,al,642,61,23
10032,al,643,61,23
10032,al,644,61,23
1xx32,al,645,62,2
10032,al,646,61,23
10032,al,647,61,23
10032,al,648,61,23
10032,al,649,61,23
10032,al,650,61,23
10032,al,651,61,23
10032,al,652,61,23
10032,al,653,61,23
10032,al,654,61,23
1xx32,al,655,62,2
10032,al,656,61,23
10032,al,657,61,23
10032,al,658,61,23
10032,al,659,61,23
10032,al,660,61,23
10032,al,661,61,23
10032,al,662,61,23
10032,al,663,61,23
10032,al,664,61,23
10032,al,665,61,23
10033,al,666,63,25
10033,al,667,63,25
10033,al,668,63,25
10033,al,669,63,25
10033,al,670,63,25
10033,al,671,63,25
10033,al,672,63,25
10033,al,673,63,25
10033,al,674,63,25
10033,al,675,63,25
10033,al,676,63,25
10033,al,677,63,25
10033,al,678,63,25
10033,al,679,63,25
10033,al,680,63,25
10033,al,681,63,25
10033,al,682,63,25
10033,al,683,63,25
10033,al,684,63,25
10033,al,685,63,25
10033,al,686,63,25
10033,al,687,63,25
10033,al,688,63,25
10033,al,689,63,25
10033,al,690,63,25
10034,al,691,64,23
10034,al,692,64,23
10034,al,693,64,23
10034,al,694,64,23
10034,al,695,64,23
10034,al,696,64,23
10034,al,697,64,23
10034,al,698,64,23
10034,al,699,64,23
10034,al,700,64,23
10034,xl,701,65,1
10034,al,702,64,23
10034,al,703,64,23
100x4,al,704,66,1
10034,al,705,64,23
10034,al,706,64,23
10034,al,707,64,23
10034,al,708,64,23
10034,al,709,64,23
10034,al,710,64,23
10034,al,711,64,23
10034,al,712,64,23
10034,al,713,64,23
10034,al,714,64,23
10034,al,715,64,23
10035,al,716,67,23
10035,al,717,67,23
10035,al,718,67,23
10035,al,719,67,23
10035,al,720,67,23
100x5,al,721,68,1
10035,al,722,67,23
10035,al,723,67,23
1xx35,al,724,69,1
10035,al,725,67,23
10035,al,726,67,23
10035,al,727,67,23
10035,al,728,67,23
10035,al,729,67,23
10035,al,730,67,23
10035,al,731,67,23
10035,al,732,67,23
10035,al,733,67,23
10035,al,734,67,23
10035,al,735,67,23
10035,al,736,67,23
10035,al,737,67,23
10035,al,738,67,23
10035,al,739,67,23
10035,al,740,67,23
10036,al,741,70,23
10036,al,742,70,23
10036,al,743,70,23
10036,al,744,70,23
10036,al,745,70,23
10036,al,746,70,23
10036,al,747,70,23
10036,al,748,70,23
10036,al,749,70,23
10036,al,750,70,23
10036,al,751,70,23
10036,al,752,70,23
10036,al,753,70,23
10036,al,754,70,23
1xx36,al,755,71,1
10036,al,756,70,23
10036,al,757,70,23
10036,al,758,70,23
10036,al,759,70,23
10036,al,760,70,23
10036,al,761,70,23
10036,al,762,70,23
10036,al,763,70,23
10036,xl,764,72,1
10036,al,765,70,23
10038,al,766,29,27
10038,al,767,29,27
10038,al,768,29,27
10038,al,769,29,27
10038,al,770,29,27
10038,al,771,29,27
10038,al,772,29,27
10038,al,773,29,27
10039,al,774,73,24
10039,al,775,73,24
10039,al,776,73,24
10039,al,777,73,24
10039,al,778,73,24
10039,al,779,73,24
1003x,al,780,74,1
10039,al,781,73,24
10039,al,782,73,24
10039,al,783,73,24
10039,al,784,73,24
10039,al,785,73,24
10039,al,786,73,24
10039,al,787,73,24
10039,al,788,73,24
1xx39,al,789,75,1
10039,al,790,73,24
10039,xl,791,76,1
10039,al,792,73,24
100x9,al,793,77,1
10039,al,794,73,24
10039,al,795,73,24
10039,al,796,73,24
10039,al,797,73,24
10039,al,798,73,24
10039,al,799,73,24
10039,al,800,73,24
10039,al,801,73,24
10040,al,802,78,25
10040,al,803,78,25
10040,al,804,78,25
10040,al,805,78,25
10040,al,806,78,25
10040,al,807,78,25
10040,al,808,78,25
10040,al,809,78,25
10040,al,810,78,25
10040,al,811,78,25
10040,al,812,78,25
10040,al,813,78,25
10040,al,814,78,25
10040,al,815,78,25
10040,al,816,78,25
10040,al,817,78,25
10040,al,818,78,25
10040,al,819,78,25
10040,al,820,78,25
10040,al,821,78,25
10040,al,822,78,25
10040,al,823,78,25
10040,al,824,78,25
10040,al,825,78,25
10040,al,826,78,25
10043,al,827,79,25
10043,al,828,79,25
10043,al,829,79,25
10043,al,830,79,25
10043,al,831,79,25
10043,al,832,79,25
10043,al,833,79,25
10043,al,834,79,25
10043,al,835,79,25
10043,al,836,79,25
10043,al,837,79,25
10043,al,838,79,25
10043,al,839,79,25
10043,al,840,79,25
10043,al,841,79,25
10043,al,842,79,25
10043,al,843,79,25
10043,al,844,79,25
10043,al,845,79,25
10043,al,846,79,25
10043,al,847,79,25
10043,al,848,79,25
10043,al,849,79,25
10043,al,850,79,25
10043,al,851,79,25
10044,al,852,80,24
10044,al,853,80,24
10044,al,854,80,24
10044,al,855,80,24
10044,al,856,80,24
10044,al,857,80,24
10044,al,858,80,24
1xx44,al,859,81,1
10044,al,860,80,24
10044,al,861,80,24
10044,al,862,80,24
10044,al,863,80,24
10044,al,864,80,24
10044,al,865,80,24
10044,al,866,80,24
10044,al,867,80,24
10044,al,868,80,24
10044,al,869,80,24
10044,al,870,80,24
10044,al,871,80,24
10044,al,872,80,24
10044,al,873,80,24
10044,al,874,80,24
10044,al,875,80,24
10044,al,876,80,24
10045,al,877,82,21
1xx45,al,878,83,1
10045,al,879,82,21
10045,al,880,82,21
10045,al,881,82,21
10045,al,882,82,21
10045,al,883,82,21
10045,xl,884,84,2
10045,al,885,82,21
10045,xl,886,84,2
10045,al,887,82,21
x0045,al,888,85,1
10045,al,889,82,21
10045,al,890,82,21
10045,al,891,82,21
10045,al,892,82,21
10045,al,893,82,21
10045,al,894,82,21
10045,al,895,82,21
10045,al,896,82,21
10045,al,897,82,21
10045,al,898,82,21
10045,al,899,82,21
10045,al,900,82,21
10045,al,901,82,21
10046,al,902,86,27
10046,al,903,86,27
10046,al,904,86,27
10046,al,905,86,27
10046,al,906,86,27
10046,al,907,86,27
10046,al,908,86,27
10046,al,909,86,27
10046,al,910,86,27
10046,al,911,86,27
10046,al,912,86,27
10046,al,913,86,27
10046,al,914,86,27
10046,al,915,86,27
10046,al,916,86,27
10046,al,917,86,27
10046,al,918,86,27
10046,al,919,86,27
10046,al,920,86,27
10046,al,921,86,27
10046,ax,922,87,1
10046,al,923,86,27
10046,al,924,86,27
10046,al,925,86,27
10046,al,926,86,27
10046,al,927,86,27
10046,al,928,86,27
10046,al,929,86,27
10047,al,930,88,24
10047,al,931,88,24
10047,al,932,88,24
1xx47,al,933,89,1
10047,al,934,88,24
10047,al,935,88,24
10047,al,936,88,24
10047,al,937,88,24
10047,al,938,88,24
10047,al,939,88,24
10047,al,940,88,24
10047,al,941,88,24
10047,al,942,88,24
10047,al,943,88,24
10047,al,944,88,24
10047,al,945,88,24
10047,al,946,88,24
10047,al,947,88,24
10047,al,948,88,24
10047,al,949,88,24
10047,al,950,88,24
10047,al,951,88,24
10047,al,952,88,24
10047,al,953,88,24
10047,al,954,88,24
1004x,al,955,90,1
10049,al,956,91,24
10049,al,957,91,24
10049,al,958,91,24
10049,al,959,91,24
10049,al,960,91,24
10049,al,961,91,24
10049,al,962,91,24
10049,al,963,91,24
10049,al,964,91,24
10049,al,965,91,24
10049,al,966,91,24
10049,al,967,91,24
10049,al,968,91,24
10049,al,969,91,24
10049,al,970,91,24
10049,al,971,91,24
10049,al,972,91,24
10049,al,973,91,24
10049,al,974,91,24
10049,al,975,91,24
10049,al,976,91,24
10049,al,977,91,24
10049,al,978,91,24
10049,al,979,91,24
10050,al,980,92,20
10050,al,981,92,20
10050,al,982,92,20
10050,al,983,92,20
10050,al,984,92,20
10050,al,985,92,20
10050,al,986,92,20
10050,al,987,92,20
10050,al,988,92,20
10050,al,989,92,20
10050,al,990,92,20
10050,al,991,92,20
10050,al,992,92,20
10050,al,993,92,20
10050,al,994,92,20
10050,al,995,92,20
10050,al,996,92,20
10050,al,997,92,20
10050,al,998,92,20
10050,al,999,92,20
