ProviderNumber,ZipCode,original_index,unique_index,count
10009,35640,168,15,23
10010,35976,169,17,25
10010,35976,170,17,25
10010,35976,171,17,25
10010,35976,172,17,25
10010,35976,173,17,25
10010,35976,174,17,25
10010,35976,175,17,25
10010,35976,176,17,25
10010,35976,177,17,25
10010,35976,178,17,25
10010,35976,179,17,25
10010,35976,180,17,25
10010,35976,181,17,25
10010,35976,182,17,25
10010,35976,183,17,25
10010,35976,184,17,25
10010,35976,185,17,25
10010,35976,186,17,25
10010,35976,187,17,25
10010,35976,188,17,25
10010,35976,189,17,25
10010,35976,190,17,25
10010,35976,191,17,25
10010,35976,192,17,25
10010,35976,193,17,25
10011,35235,194,18,23
10011,35235,195,18,23
10011,3x23x,196,19,1
10011,35235,197,18,23
10011,35235,198,18,23
10011,35235,199,18,23
10011,35235,200,18,23
10011,35235,201,18,23
10011,35235,202,18,23
10011,35235,203,18,23
10011,35235,204,18,23
10011,35235,205,18,23
10011,35235,206,18,23
10011,35235,207,18,23
10011,35235,208,18,23
10011,35235,209,18,23
10011,35235,210,18,23
10011,35235,211,18,23
10011,35235,212,18,23
x00xx,35235,213,20,1
10011,35235,214,18,23
10011,35235,215,18,23
10011,35235,216,18,23
10011,35235,217,18,23
10011,35235,218,18,23
10012,35968,219,21,24
10012,35968,220,21,24
10012,35968,221,21,24
10012,35968,222,21,24
10012,35968,223,21,24
10012,35968,224,21,24
10012,35968,225,21,24
10012,35968,226,21,24
10012,35968,227,21,24
10012,35968,228,21,24
10012,35968,229,21,24
10012,35968,230,21,24
10012,35968,231,21,24
10012,359x8,232,22,1
10012,35968,233,21,24
10012,35968,234,21,24
10012,35968,235,21,24
10012,35968,236,21,24
10012,35968,237,21,24
10012,35968,238,21,24
10012,35968,239,21,24
10012,35968,240,21,24
10012,35968,241,21,24
10012,35968,242,21,24
10012,35968,243,21,24
x00x5,36784,244,23,1
10015,36784,245,24,22
10015,36784,246,24,22
10015,36784,247,24,22
10015,36784,248,24,22
10015,36784,249,24,22
10015,36784,250,24,22
10015,36784,251,24,22
10015,36784,252,24,22
1xx15,36784,253,25,1
10015,36784,254,24,22
10015,36784,255,24,22
10015,36784,256,24,22
10015,36784,257,24,22
10015,36784,258,24,22
10015,36784,259,24,22
10015,36784,260,24,22
10015,36784,261,24,22
10015,36784,262,24,22
10015,36784,263,24,22
10015,36784,264,24,22
10015,36784,265,24,22
10015,36784,266,24,22
10015,x6784,267,26,1
10015,36784,268,24,22
10016,35007,269,27,22
10016,35007,270,27,22
10016,35007,271,27,22
10016,35007,272,27,22
1xx16,35007,273,28,1
10016,35007,274,27,22
10016,35007,275,27,22
10016,35007,276,27,22
10016,35007,277,27,22
10016,35007,278,27,22
10016,35007,279,27,22
10016,35007,280,27,22
10016,35007,281,27,22
10016,35007,282,27,22
10016,3x007,283,29,1
10016,35007,284,27,22
10016,35007,285,27,22
10016,35007,286,27,22
10016,35007,287,27,22
10016,35007,288,27,22
10016,35007,289,27,22
10016,x5007,290,30,1
10016,35007,291,27,22
10016,35007,292,27,22
10016,35007,293,27,22
10018,35233,294,0,25
10018,35233,295,0,25
10018,35233,296,0,25
10018,35233,297,0,25
10018,35233,298,0,25
10018,35233,299,0,25
10018,35233,300,0,25
10018,35233,301,0,25
10018,35233,302,0,25
10018,35233,303,0,25
10018,35233,304,0,25
10018,35233,305,0,25
10018,35233,306,0,25
10018,35233,307,0,25
10018,35233,308,0,25
10018,35233,309,0,25
10018,35233,310,0,25
10038,36201,311,31,26
10038,36201,312,31,26
10038,36201,313,31,26
100x8,36201,314,32,1
10038,36201,315,31,26
10038,36201,316,31,26
10038,36201,317,31,26
10038,36201,318,31,26
10038,36201,319,31,26
10038,36201,320,31,26
10038,36201,321,31,26
10038,36201,322,31,26
10038,36201,323,31,26
10038,36201,324,31,26
10038,36x01,325,33,1
10038,36201,326,31,26
10038,36201,327,31,26
10038,36201,328,31,26
10038,36201,329,31,26
10038,36201,330,31,26
10055,36305,331,34,15
10055,3x305,332,35,1
10055,36305,333,34,15
10055,36305,334,34,15
10055,36305,335,34,15
10055,36305,336,34,15
10055,36305,337,34,15
10055,36305,338,34,15
10055,36305,339,34,15
10055,x6x05,340,36,1
10055,36305,341,34,15
10055,36305,342,34,15
10055,36305,343,34,15
10055,36305,344,34,15
10055,36305,345,34,15
10055,36305,346,34,15
10055,36305,347,34,15
10056,35205,348,37,5
10056,35205,349,37,5
10056,35205,350,37,5
10056,35205,351,37,5
10056,35205,352,37,5
10085,35609,353,38,1
10086,35594,354,39,22
10086,35594,355,39,22
10086,35594,356,39,22
10086,35594,357,39,22
10086,35594,358,39,22
10086,35594,359,39,22
100x6,35594,360,40,1
10086,35594,361,39,22
10086,35594,362,39,22
10086,35594,363,39,22
10086,35594,364,39,22
10086,35594,365,39,22
10086,3xx94,366,41,2
10086,35594,367,39,22
10086,35594,368,39,22
10086,35594,369,39,22
10086,35594,370,39,22
10086,35594,371,39,22
10086,35594,372,39,22
10086,35594,373,39,22
10086,35594,374,39,22
10086,3xx94,375,41,2
10086,35594,376,39,22
10086,35594,377,39,22
10086,35594,378,39,22
10087,36617,379,42,13
10087,36617,380,42,13
10087,36617,381,42,13
10087,36617,382,42,13
10087,36617,383,42,13
10087,36617,384,42,13
10087,36617,385,42,13
10087,36617,386,42,13
10087,36617,387,42,13
10087,36617,388,42,13
10087,36617,389,42,13
10087,36617,390,42,13
10087,36617,391,42,13
10108,36067,392,43,18
10108,36067,393,43,18
10108,36067,394,43,18
10108,36067,395,43,18
10108,36067,396,43,18
10108,36067,397,43,18
10108,36067,398,43,18
10108,36067,399,43,18
10108,36067,400,43,18
10108,36067,401,43,18
10108,36067,402,43,18
10108,36067,403,43,18
10108,36067,404,43,18
10108,36067,405,43,18
10108,3x0x7,406,44,1
10108,36067,407,43,18
x0x08,36067,408,45,1
10108,36067,409,43,18
10108,36067,410,43,18
10108,36067,411,43,18
10158,35653,412,46,2
10158,35653,413,46,2
10164,35150,414,47,16
10164,35150,415,47,16
10164,35150,416,47,16
10164,35150,417,47,16
10164,35150,418,47,16
10164,35150,419,47,16
10164,x5150,420,48,1
10164,35150,421,47,16
10164,35150,422,47,16
10164,35150,423,47,16
10164,35150,424,47,16
10164,35150,425,47,16
10164,35150,426,47,16
10164,35150,427,47,16
10164,3x1x0,428,49,1
10164,35150,429,47,16
10164,35150,430,47,16
10164,35150,431,47,16
20017,99508,432,50,18
20017,99508,433,50,18
20017,99508,434,50,18
20017,99508,435,50,18
20017,99508,436,50,18
20017,99508,437,50,18
20017,99508,438,50,18
20017,99508,439,50,18
20017,99508,440,50,18
20017,99508,441,50,18
20017,99508,442,50,18
20017,99508,443,50,18
20017,99508,444,50,18
20017,99508,445,50,18
20017,99508,446,50,18
20017,99508,447,50,18
20017,99508,448,50,18
20017,99508,449,50,18
20018,99559,450,51,2
20018,99559,451,51,2
10019,35660,452,1,24
10019,35660,453,1,24
10019,35660,454,1,24
10019,35660,455,1,24
10019,35660,456,1,24
10019,35660,457,1,24
10019,35660,458,1,24
10019,35660,459,1,24
10019,35660,460,1,24
10019,35660,461,1,24
10019,35660,462,1,24
10019,35660,463,1,24
10019,35660,464,1,24
10019,35660,465,1,24
10021,36360,466,52,24
10021,36360,467,52,24
10021,36360,468,52,24
10021,36360,469,52,24
10021,36360,470,52,24
10021,36360,471,52,24
10021,36360,472,52,24
10021,36360,473,52,24
10021,36360,474,52,24
10021,36360,475,52,24
10021,36360,476,52,24
10021,36360,477,52,24
10021,36360,478,52,24
10021,36360,479,52,24
10021,36360,480,52,24
10021,36360,481,52,24
10021,36360,482,52,24
10021,36360,483,52,24
10021,36360,484,52,24
10021,36360,485,52,24
10021,36360,486,52,24
10021,36360,487,52,24
10021,36360,488,52,24
10021,36360,489,52,24
10021,x6x60,490,53,1
10022,35960,491,54,24
10022,35960,492,54,24
10022,35960,493,54,24
10022,35960,494,54,24
10022,35960,495,54,24
10022,35960,496,54,24
10022,35960,497,54,24
10022,35960,498,54,24
10022,x5960,499,55,1
10022,35960,500,54,24
10022,35960,501,54,24
10022,35960,502,54,24
10022,35960,503,54,24
10022,35960,504,54,24
10022,35960,505,54,24
10022,35960,506,54,24
10022,35960,507,54,24
10022,35960,508,54,24
10022,35960,509,54,24
10022,35960,510,54,24
10022,35960,511,54,24
10022,35960,512,54,24
10022,35960,513,54,24
10022,35960,514,54,24
10022,35960,515,54,24
10023,36116,516,56,25
10023,36116,517,56,25
10023,36116,518,56,25
10023,36116,519,56,25
10023,36116,520,56,25
10023,36116,521,56,25
10023,36116,522,56,25
10023,36116,523,56,25
10023,36116,524,56,25
10023,36116,525,56,25
10023,36116,526,56,25
10023,36116,527,56,25
10023,36116,528,56,25
10023,36116,529,56,25
10023,36116,530,56,25
10023,36116,531,56,25
10023,36116,532,56,25
10023,36116,533,56,25
10023,36116,534,56,25
10023,36116,535,56,25
10023,36116,536,56,25
10023,36116,537,56,25
10023,36116,538,56,25
10023,36116,539,56,25
10023,36116,540,56,25
10024,36106,541,57,23
10024,36106,542,57,23
10024,36106,543,57,23
10024,3x10x,544,58,1
10024,36106,545,57,23
10024,36106,546,57,23
10024,36106,547,57,23
10024,36106,548,57,23
10024,36106,549,57,23
10024,36106,550,57,23
10024,36106,551,57,23
10024,36106,552,57,23
10024,36106,553,57,23
10024,36106,554,57,23
10024,36106,555,57,23
10024,36106,556,57,23
10024,36106,557,57,23
10024,36106,558,57,23
1xx24,36106,559,59,1
10024,36106,560,57,23
10024,36106,561,57,23
10024,36106,562,57,23
10024,36106,563,57,23
10024,36106,564,57,23
10024,36106,565,57,23
10025,36854,566,60,25
10025,36854,567,60,25
10025,36854,568,60,25
10025,36854,569,60,25
10025,36854,570,60,25
10025,36854,571,60,25
10025,36854,572,60,25
10025,36854,573,60,25
10025,36854,574,60,25
10025,36854,575,60,25
10025,36854,576,60,25
10025,36854,577,60,25
10025,36854,578,60,25
10025,36854,579,60,25
10025,36854,580,60,25
10025,36854,581,60,25
10025,36854,582,60,25
10025,36854,583,60,25
10025,36854,584,60,25
10025,36854,585,60,25
10025,36854,586,60,25
10025,36854,587,60,25
10025,36854,588,60,25
10025,36854,589,60,25
10025,36854,590,60,25
10027,36323,591,61,24
10027,36323,592,61,24
10027,36323,593,61,24
10027,36323,594,61,24
10027,36323,595,61,24
10027,36323,596,61,24
10027,36323,597,61,24
10027,36323,598,61,24
10027,36323,599,61,24
10027,36323,600,61,24
10027,36323,601,61,24
10027,36323,602,61,24
10027,36323,603,61,24
10027,36323,604,61,24
10027,36323,605,61,24
10027,36323,606,61,24
10027,36323,607,61,24
x0027,36323,608,62,1
10027,36323,609,61,24
10027,36323,610,61,24
10027,36323,611,61,24
10027,36323,612,61,24
10027,36323,613,61,24
10027,36323,614,61,24
10027,36323,615,61,24
10029,36801,616,63,23
10029,36801,617,63,23
10029,36801,618,63,23
10029,36801,619,63,23
10029,36801,620,63,23
10029,36801,621,63,23
10029,36801,622,63,23
10029,36801,623,63,23
10029,36801,624,63,23
10029,36801,625,63,23
10029,36801,626,63,23
x0029,36801,627,64,1
10029,36801,628,63,23
10029,36801,629,63,23
10029,36801,630,63,23
10029,36801,631,63,23
10029,36801,632,63,23
10029,36801,633,63,23
10029,36801,634,63,23
10029,36801,635,63,23
10029,36801,636,63,23
10029,36801,637,63,23
10029,36801,638,63,23
1xx29,36801,639,65,1
10029,36801,640,63,23
10032,36278,641,66,23
10032,36278,642,66,23
10032,36278,643,66,23
10032,36278,644,66,23
1xx32,36278,645,67,2
10032,36278,646,66,23
10032,36278,647,66,23
10032,36278,648,66,23
10032,36278,649,66,23
10032,36278,650,66,23
10032,36278,651,66,23
10032,36278,652,66,23
10032,36278,653,66,23
10032,36278,654,66,23
1xx32,36278,655,67,2
10032,36278,656,66,23
10032,36278,657,66,23
10032,36278,658,66,23
10032,36278,659,66,23
10032,36278,660,66,23
10032,36278,661,66,23
10032,36278,662,66,23
10032,36278,663,66,23
10032,36278,664,66,23
10032,36278,665,66,23
10033,35233,666,68,23
10033,35233,667,68,23
10033,35233,668,68,23
10033,35233,669,68,23
10033,35233,670,68,23
10033,35233,671,68,23
10033,35233,672,68,23
10033,35233,673,68,23
10033,35233,674,68,23
10033,35233,675,68,23
10033,35233,676,68,23
10033,35233,677,68,23
10033,35233,678,68,23
10033,3x233,679,69,1
10033,35233,680,68,23
10033,35233,681,68,23
10033,35233,682,68,23
10033,35233,683,68,23
10033,35233,684,68,23
10033,x52xx,685,70,1
10033,35233,686,68,23
10033,35233,687,68,23
10033,35233,688,68,23
10033,35233,689,68,23
10033,35233,690,68,23
10034,36078,691,71,23
10034,36078,692,71,23
10034,36078,693,71,23
10034,36078,694,71,23
10034,36078,695,71,23
10034,36078,696,71,23
10034,36078,697,71,23
10034,36078,698,71,23
10034,36078,699,71,23
10034,36078,700,71,23
10034,36078,701,71,23
10034,36078,702,71,23
10034,36078,703,71,23
100x4,36078,704,72,1
10034,36078,705,71,23
10034,36078,706,71,23
10034,36078,707,71,23
10034,36078,708,71,23
10034,36078,709,71,23
10034,36x78,710,73,1
10034,36078,711,71,23
10034,36078,712,71,23
10034,36078,713,71,23
10034,36078,714,71,23
10034,36078,715,71,23
10035,35058,716,74,23
10035,35058,717,74,23
10035,35058,718,74,23
10035,35058,719,74,23
10035,35058,720,74,23
100x5,35058,721,75,1
10035,35058,722,74,23
10035,35058,723,74,23
1xx35,35058,724,76,1
10035,35058,725,74,23
10035,35058,726,74,23
10035,35058,727,74,23
10035,35058,728,74,23
10035,35058,729,74,23
10035,35058,730,74,23
10035,35058,731,74,23
10035,35058,732,74,23
10035,35058,733,74,23
10035,35058,734,74,23
10035,35058,735,74,23
10035,35058,736,74,23
10035,35058,737,74,23
10035,35058,738,74,23
10035,35058,739,74,23
10035,35058,740,74,23
10036,36420,741,77,23
10036,36420,742,77,23
10036,36420,743,77,23
10036,36420,744,77,23
10036,36420,745,77,23
10036,36420,746,77,23
10036,36420,747,77,23
10036,36420,748,77,23
10036,36420,749,77,23
10036,3642x,750,78,1
10036,36420,751,77,23
10036,36420,752,77,23
10036,36420,753,77,23
10036,36420,754,77,23
1xx36,36420,755,79,1
10036,36420,756,77,23
10036,36420,757,77,23
10036,36420,758,77,23
10036,36420,759,77,23
10036,36420,760,77,23
10036,36420,761,77,23
10036,36420,762,77,23
10036,36420,763,77,23
10036,36420,764,77,23
10036,36420,765,77,23
10038,36201,766,31,26
10038,36201,767,31,26
10038,36201,768,31,26
10038,36201,769,31,26
10038,36201,770,31,26
10038,36201,771,31,26
10038,36201,772,31,26
10038,36201,773,31,26
10039,35801,774,80,25
10039,35801,775,80,25
10039,35801,776,80,25
10039,35801,777,80,25
10039,35801,778,80,25
10039,35801,779,80,25
1003x,35801,780,81,1
10039,35801,781,80,25
10039,35801,782,80,25
10039,35801,783,80,25
10039,35801,784,80,25
10039,35801,785,80,25
10039,35801,786,80,25
10039,35801,787,80,25
10039,35801,788,80,25
1xx39,35801,789,82,1
10039,35801,790,80,25
10039,35801,791,80,25
10039,35801,792,80,25
100x9,35801,793,83,1
10039,35801,794,80,25
10039,35801,795,80,25
10039,35801,796,80,25
10039,35801,797,80,25
10039,35801,798,80,25
10039,35801,799,80,25
10039,35801,800,80,25
10039,35801,801,80,25
10040,35903,802,84,24
10040,35903,803,84,24
10040,35903,804,84,24
10040,35903,805,84,24
10040,35903,806,84,24
10040,35903,807,84,24
10040,35903,808,84,24
10040,35903,809,84,24
10040,35903,810,84,24
10040,35903,811,84,24
10040,35903,812,84,24
10040,35903,813,84,24
10040,35903,814,84,24
10040,x590x,815,85,1
10040,35903,816,84,24
10040,35903,817,84,24
10040,35903,818,84,24
10040,35903,819,84,24
10040,35903,820,84,24
10040,35903,821,84,24
10040,35903,822,84,24
10040,35903,823,84,24
10040,35903,824,84,24
10040,35903,825,84,24
10040,35903,826,84,24
10043,35045,827,86,25
10043,35045,828,86,25
10043,35045,829,86,25
10043,35045,830,86,25
10043,35045,831,86,25
10043,35045,832,86,25
10043,35045,833,86,25
10043,35045,834,86,25
10043,35045,835,86,25
10043,35045,836,86,25
10043,35045,837,86,25
10043,35045,838,86,25
10043,35045,839,86,25
10043,35045,840,86,25
10043,35045,841,86,25
10043,35045,842,86,25
10043,35045,843,86,25
10043,35045,844,86,25
10043,35045,845,86,25
10043,35045,846,86,25
10043,35045,847,86,25
10043,35045,848,86,25
10043,35045,849,86,25
10043,35045,850,86,25
10043,35045,851,86,25
10044,35570,852,87,24
10044,35570,853,87,24
10044,35570,854,87,24
10044,35570,855,87,24
10044,35570,856,87,24
10044,35570,857,87,24
10044,35570,858,87,24
1xx44,35570,859,88,1
10044,35570,860,87,24
10044,35570,861,87,24
10044,35570,862,87,24
10044,35570,863,87,24
10044,35570,864,87,24
10044,35570,865,87,24
10044,35570,866,87,24
10044,35570,867,87,24
10044,35570,868,87,24
10044,35570,869,87,24
10044,35570,870,87,24
10044,35570,871,87,24
10044,35570,872,87,24
10044,35570,873,87,24
10044,35570,874,87,24
10044,35570,875,87,24
10044,35570,876,87,24
10045,35555,877,89,23
1xx45,35555,878,90,1
10045,35555,879,89,23
10045,35555,880,89,23
10045,35555,881,89,23
10045,35555,882,89,23
10045,35555,883,89,23
10045,35555,884,89,23
10045,35555,885,89,23
10045,35555,886,89,23
10045,35555,887,89,23
x0045,35555,888,91,1
10045,35555,889,89,23
10045,35555,890,89,23
10045,35555,891,89,23
10045,35555,892,89,23
10045,35555,893,89,23
10045,35555,894,89,23
10045,35555,895,89,23
10045,35555,896,89,23
10045,35555,897,89,23
10045,35555,898,89,23
10045,35555,899,89,23
10045,35555,900,89,23
10045,35555,901,89,23
10046,35901,902,92,27
10046,35901,903,92,27
10046,35901,904,92,27
10046,35901,905,92,27
10046,35901,906,92,27
10046,35901,907,92,27
10046,35901,908,92,27
10046,35901,909,92,27
10046,35901,910,92,27
10046,35901,911,92,27
10046,35901,912,92,27
10046,35901,913,92,27
10046,35901,914,92,27
10046,35901,915,92,27
10046,35901,916,92,27
10046,35901,917,92,27
10046,35901,918,92,27
10046,35901,919,92,27
10046,35901,920,92,27
10046,35901,921,92,27
10046,35901,922,92,27
10046,3590x,923,93,1
10046,35901,924,92,27
10046,35901,925,92,27
10046,35901,926,92,27
10046,35901,927,92,27
10046,35901,928,92,27
10046,35901,929,92,27
10047,36033,930,94,24
10047,36033,931,94,24
10047,36033,932,94,24
1xx47,36033,933,95,1
10047,36033,934,94,24
10047,36033,935,94,24
10047,36033,936,94,24
10047,36033,937,94,24
10047,36033,938,94,24
10047,36033,939,94,24
10047,36033,940,94,24
10047,36033,941,94,24
10047,36033,942,94,24
10047,36033,943,94,24
10047,36033,944,94,24
10047,36033,945,94,24
10047,36033,946,94,24
10047,36033,947,94,24
10047,36033,948,94,24
10047,36033,949,94,24
10047,36033,950,94,24
10047,36033,951,94,24
10047,36033,952,94,24
10047,36033,953,94,24
10047,36033,954,94,24
1004x,36330,955,96,1
10049,36330,956,97,24
10049,36330,957,97,24
10049,36330,958,97,24
10049,36330,959,97,24
10049,36330,960,97,24
10049,36330,961,97,24
10049,36330,962,97,24
10049,36330,963,97,24
10049,36330,964,97,24
10049,36330,965,97,24
10049,36330,966,97,24
10049,36330,967,97,24
10049,36330,968,97,24
10049,36330,969,97,24
10049,36330,970,97,24
10049,36330,971,97,24
10049,36330,972,97,24
10049,36330,973,97,24
10049,36330,974,97,24
10049,36330,975,97,24
10049,36330,976,97,24
10049,36330,977,97,24
10049,36330,978,97,24
10049,36330,979,97,24
10050,35121,980,98,20
10050,35121,981,98,20
10050,35121,982,98,20
10050,35121,983,98,20
10050,35121,984,98,20
10050,35121,985,98,20
10050,35121,986,98,20
10050,35121,987,98,20
10050,35121,988,98,20
10050,35121,989,98,20
10050,35121,990,98,20
10050,35121,991,98,20
10050,35121,992,98,20
10050,35121,993,98,20
10050,35121,994,98,20
10050,35121,995,98,20
10050,35121,996,98,20
10050,35121,997,98,20
10050,35121,998,98,20
10050,35121,999,98,20
