beer_name,style,original_index,unique_index,count
Hell or High Watermelon Wheat,Fruit / Vegetable Beer,38,37,1.0
Bimini Twist,American IPA,39,38,1.0
Beach Blonde,American Blonde Ale,40,39,2.0
Rod Bender Red,American Amber / Red Ale,41,40,1.0
Passion Fruit Prussia,Berliner Weissbier,42,41,1.0
Send Help,American Blonde Ale,43,42,1.0
Cast Iron Oatmeal Brown,American Brown Ale,44,43,1.0
Reprise Centennial Red,American Amber / Red Ale,45,44,1.0
Alter Ego,American Black Ale,46,45,1.0
Divided Sky,American IPA,47,46,1.0
Resurrected,American IPA,48,47,1.0
Contact High,American Pale Wheat Ale,49,48,1.0
Galaxyfest,American IPA,50,49,1.0
Citrafest,American IPA,51,50,1.0
Barn Yeti,Belgian Strong Dark Ale,52,51,1.0
Scarecrow,American IPA,53,52,1.0
Ironman,English Strong Ale,54,53,1.0
Honey Kolsch,Kölsch,55,54,1.0
Copperhead Amber,Belgian Dark Ale,56,55,1.0
Rude Parrot IPA,American IPA,57,56,1.0
British Pale Ale (2010),English Pale Ale,58,57,1.0
British Pale Ale,English Pale Ale,59,58,1.0
Ballz Deep Double IPA,American Double / Imperial IPA,60,59,1.0
Wolfman's Berliner,Berliner Weissbier,61,60,1.0
Colorado Native,American Amber / Red Lager,62,61,1.0
Colorado Native (2011),American Amber / Red Lager,63,62,1.0
Jockamo IPA,American IPA,64,63,1.0
Purple Haze,Fruit / Vegetable Beer,65,64,1.0
Abita Amber,American Amber / Red Lager,66,65,1.0
Citra Ass Down,American IPA,67,66,1.0
The Brown Note,American Brown Ale,68,67,1.0
Citra Ass Down,American Double / Imperial IPA,69,68,1.0
London Balling,English Barleywine,70,69,1.0
35 K,Milk / Sweet Stout,71,70,1.0
A Beer,American Pale Ale (APA),72,71,1.0
Rules are Rules,German Pilsener,73,72,1.0
Flesh Gourd'n,Pumpkin Ale,74,73,1.0
Sho'nuff,Belgian Pale Ale,75,74,1.0
Bloody Show,American Pilsner,76,75,1.0
Rico Sauvin,American Double / Imperial IPA,77,76,1.0
Coq de la Marche,Saison / Farmhouse Ale,78,77,1.0
Kamen Knuddeln,American Wild Ale,79,78,1.0
Pile of Face,American IPA,80,79,1.0
The Brown Note,English Brown Ale,81,80,1.0
Maylani's Coconut Stout,American Stout,82,81,1.0
Oatmeal PSA,American Pale Ale (APA),83,82,1.0
Pre Flight Pilsner,American Pilsner,84,83,1.0
P-Town Pilsner,American Pilsner,85,84,1.0
Klickitat Pale Ale,American Pale Ale (APA),86,85,1.0
Yellow Wolf Imperial IPA,American Double / Imperial IPA,87,86,1.0
Freeride APA,American Pale Ale (APA),88,87,1.0
Alaskan Amber,Altbier,89,88,1.0
Hopalicious,American Pale Ale (APA),90,89,1.0
Kentucky Kölsch,Kölsch,91,90,1.0
Kentucky IPA,American IPA,92,91,1.0
Dusty Trail Pale Ale,American Pale Ale (APA),93,92,1.0
Damnesia,American IPA,94,93,1.0
Desolation IPA,American IPA,95,94,1.0
Liberty Ale,American IPA,96,95,1.0
IPA,American IPA,97,96,1.0
Summer Wheat,American Pale Wheat Ale,98,97,1.0
California Lager,American Amber / Red Lager,99,98,1.0
Brotherhood Steam,California Common / Steam Beer,100,99,1.0
Blood Orange Gose,Gose,101,100,1.0
Keebarlin' Pale Ale,American Pale Ale (APA),102,101,1.0
"the Kimmie, the Yink and the Holy Gose",Gose,103,102,1.0
Fall Hornin',Pumpkin Ale,104,103,1.0
Barney Flats Oatmeal Stout,Oatmeal Stout,105,104,2.0
Summer Solstice,Cream Ale,106,105,1.0
Hop Ottin' IPA,American IPA,107,106,1.0
Boont Amber Ale,American Amber / Red Ale,108,107,1.0
Barney Flats Oatmeal Stout,Oatmeal Stout,109,104,2.0
El Steinber Dark Lager,Vienna Lager,110,108,1.0
Boont Amber Ale (2010),American Amber / Red Ale,111,109,1.0
Summer Solstice Cerveza Crema (2009),Cream Ale,112,110,1.0
Barney Flats Oatmeal Stout (2012),Oatmeal Stout,113,111,1.0
Winter Solstice,Winter Warmer,114,112,1.0
Hop Ottin' IPA (2011),American IPA,115,113,1.0
Boont Amber Ale (2011),American Amber / Red Ale,116,114,1.0
Summer Solstice (2011),Cream Ale,117,115,1.0
Poleeko Gold Pale Ale (2009),American Pale Ale (APA),118,116,1.0
Charlie's Rye IPA,American IPA,119,117,1.0
River Pig Pale Ale,American Pale Ale (APA),120,118,1.0
Oaky's Oatmeal Stout,Oatmeal Stout,121,119,1.0
Angry Orchard Apple Ginger,Cider,122,120,1.0
Angry Orchard Crisp Apple,Cider,123,121,2.0
Angry Orchard Crisp Apple,Cider,124,121,2.0
Golden One,Belgian Pale Ale,125,122,1.0
Arjuna,Witbier,126,123,1.0
Uroboros,American Stout,127,124,1.0
Long Leaf,American IPA,128,125,1.0
Honey Badger Blonde,American Blonde Ale,129,126,1.0
Porter (a/k/a Black Gold Porter),American Porter,130,127,1.0
Sky High Rye,American Pale Ale (APA),131,128,1.0
Whitsun,American Pale Wheat Ale,132,129,1.0
On-On Ale (2008),American Pale Ale (APA),133,130,1.0
Quakertown Stout,American Double / Imperial Stout,134,131,1.0
Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,135,132,1.0
Mo's Gose,Gose,136,133,1.0
Green Bullet Organic India Pale Ale,American IPA,137,134,1.0
Rocket Girl,Kölsch,138,135,1.0
Ninja Porter,American Porter,139,136,1.0
Shiva IPA,American IPA,140,137,1.0
Aslan Kölsch,Kölsch,141,138,1.0
Aslan IPA,American IPA,142,139,1.0
Aslan Amber,American Amber / Red Ale,143,140,1.0
This Season's Blonde,American Blonde Ale,144,141,1.0
Independence Pass Ale,American IPA,145,142,1.0
Trolley Stop Stout,American Stout,146,143,1.0
Bitter Bitch Imperial IPA,American Double / Imperial IPA,147,144,1.0
Poop Deck Porter,American Porter,148,145,1.0
Old Red Beard Amber Ale,American Amber / Red Ale,149,146,1.0
Hop A-Peel,American Double / Imperial IPA,150,147,1.0
Vanilla Java Porter,American Porter,151,148,1.0
Michelada,Fruit / Vegetable Beer,152,149,1.0
Dirty Blonde Ale,American Blonde Ale,153,150,1.0
Grand Circus IPA,American IPA,154,151,1.0
Atwater's Lager,Munich Helles Lager,155,152,1.0
Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,156,153,1.0
Fire Eagle IPA,American IPA,157,154,1.0
Peacemaker,American Pale Ale (APA),158,155,1.0
Pearl-Snap,German Pilsener,159,156,1.0
Black Thunder,Schwarzbier,160,157,1.0
Raja,American Double / Imperial IPA,161,158,1.0
Perzik Saison,Saison / Farmhouse Ale,162,159,1.0
Avery Joe’s Premium American Pilsner,German Pilsener,163,160,1.0
White Rascal,Witbier,164,161,1.0
Avery India Pale Ale,American IPA,165,162,1.0
Ellie’s Brown Ale,American Brown Ale,166,163,1.0
Pumpkin Beast,Pumpkin Ale,167,164,1.0
OktoberBeast,Märzen / Oktoberfest,168,165,1.0
Mad Beach,American Pale Wheat Ale,169,166,1.0
Hog Wild India Pale Ale,American IPA,170,167,1.0
Devils Tramping Ground Tripel,Tripel,171,168,1.0
Hot Rod Red,American Amber / Red Ale,172,169,1.0
Palate Mallet,American Double / Imperial IPA,173,170,1.0
Back East Porter,American Porter,174,171,1.0
Back East Golden Ale,American Blonde Ale,175,172,1.0
Misty Mountain IPA,American IPA,176,173,1.0
Back East Ale,American Amber / Red Ale,177,174,1.0
Truck Stop Honey Brown Ale,English Brown Ale,178,175,1.0
Naked Pig Pale Ale,American Pale Ale (APA),179,176,1.0
Topcutter India Pale Ale,American IPA,180,177,1.0
Field 41 Pale Ale,American Pale Ale (APA),181,178,1.0
Grapefruit Sculpin,American IPA,182,179,1.0
Even Keel,American IPA,183,180,1.0
Ballast Point Pale Ale,Kölsch,184,181,1.0
Big Eye India Pale Ale,American IPA,185,182,1.0
Longfin Lager,Munich Helles Lager,186,183,1.0
Sculpin IPA,American IPA,187,184,1.0
All Nighter Ale,Extra Special / Strong Bitter (ESB),188,185,1.0
Banner American Rye,Rye Beer,189,186,1.0
Banner American Ale,American Amber / Red Ale,190,187,1.0
Thai.p.a,American IPA,191,188,1.0
Barrio Blanco,American IPA,192,189,1.0
Barrio Tucson Blonde,American Blonde Ale,193,190,1.0
Hop in the ‘Pool Helles,American Pilsner,194,191,1.0
Ultra Gnar Gnar IPA,American IPA,195,192,1.0
In-Tents India Pale Lager,American Pale Lager,196,193,1.0
Lost Meridian Wit,Witbier,197,194,1.0
Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,198,195,1.0
Wagon Party,California Common / Steam Beer,199,196,1.0
Sky-Five,American IPA,200,197,1.0
Stargrazer,Schwarzbier,201,198,1.0
Wonderstuff,German Pilsener,202,199,1.0
Tarnation California-Style Lager,California Common / Steam Beer,203,200,1.0
On the Count of 3 (2015),Hefeweizen,204,201,1.0
Summer Swelter,American Pale Wheat Ale,205,202,1.0
Phantom Punch Winter Stout,Foreign / Export Stout,206,203,1.0
Hayride Autumn Ale,Rye Beer,207,204,1.0
Celsius Summer Ale (2012),American Pale Wheat Ale,208,205,1.0
Amber Road,American Amber / Red Ale,209,206,1.0
Pamola Xtra Pale Ale,American Pale Ale (APA),210,207,1.0
Stowaway IPA,American IPA,211,208,1.0
Hoptopus Double IPA,American Double / Imperial IPA,212,209,1.0
Watermelon Ale,Fruit / Vegetable Beer,213,210,2.0
Fenway American Pale Ale,American Pale Ale (APA),214,211,1.0
Back Bay IPA,American IPA,215,212,1.0
Bunker Hill Blueberry Ale,Other,216,213,1.0
Oberon,American Pale Wheat Ale,217,214,2.0
Smitten,Rye Beer,218,215,1.0
Winter White,Witbier,219,216,1.0
Oberon,American Pale Wheat Ale,220,214,2.0
Two Hearted,American IPA,221,217,1.0
Best Brown,American Brown Ale,222,218,1.0
Moar,English India Pale Ale (IPA),223,219,1.0
Uber Lupin Schwarz IPA,American Double / Imperial IPA,224,220,1.0
Nordic Blonde,American Blonde Ale,225,221,1.0
Cold Press,American Black Ale,226,222,1.0
Harness the Winter,American IPA,227,223,1.0
14° ESB,Extra Special / Strong Bitter (ESB),228,224,1.0
Bent Hop Golden IPA,American IPA,229,225,1.0
Bent Paddle Black Ale,American Black Ale,230,226,1.0
Venture Pils,German Pilsener,231,227,1.0
Lost Sailor IPA,English India Pale Ale (IPA),232,228,1.0
Steel Rail Extra Pale Ale,American Pale Ale (APA),233,229,1.0
La Frontera Premium IPA,American IPA,234,230,1.0
Tejas Lager,Czech Pilsener,235,231,1.0
Number 22 Porter,American Porter,236,232,1.0
Big Bend Hefeweizen,Hefeweizen,237,233,1.0
Terlingua Gold,American Blonde Ale,238,234,1.0
Aprè Shred,American Strong Ale,239,235,1.0
Hemlock Double IPA,American Double / Imperial IPA,240,236,1.0
West Portal Colorado Common Summer Ale,California Common / Steam Beer,241,237,1.0
Disconnected Red,American Amber / Red Ale,242,238,1.0
Big Elm IPA,American IPA,243,239,1.0
Gerry Dog Stout,American Stout,244,240,1.0
413 Farmhouse Ale,Saison / Farmhouse Ale,245,241,1.0
Dark Star,American Stout,246,242,1.0
Ryecoe,American IPA,247,243,1.0
Blueberry Blonde,Fruit / Vegetable Beer,248,244,1.0
Galaxy IPA,American IPA,249,245,1.0
Big River Pilsner,Czech Pilsener,250,246,1.0
House Brand IPA,American IPA,251,247,1.0
Big Sky IPA,American IPA,252,248,1.0
Scape Goat Pale Ale,English Pale Ale,253,249,1.0
Montana Trout Slayer Ale,American Pale Wheat Ale,254,250,1.0
Moose Drool Brown Ale,American Brown Ale,255,251,1.0
Powder Hound Winter Ale,English Strong Ale,256,252,1.0
Moose Drool Brown Ale (2011),American Brown Ale,257,253,1.0
Montana Trout Slayer Ale (2012),American Pale Wheat Ale,258,254,1.0
Big Sky IPA (2012),American IPA,259,255,1.0
Summer Honey,American Blonde Ale,260,256,1.0
Scape Goat Pale Ale (2010),English Pale Ale,261,257,1.0
Montana Trout Slayer Ale (2009),American Pale Wheat Ale,262,258,1.0
Moose Drool Brown Ale (2009),American Brown Ale,263,259,1.0
Arcus IPA,American IPA,264,260,1.0
Wavemaker,American Amber / Red Ale,265,261,1.0
Jack Pine Savage,American Pale Ale (APA),266,262,1.0
Forest Fire Imperial Smoked Rye,Rye Beer,267,263,1.0
Bad Axe Imperial IPA,American Double / Imperial IPA,268,264,1.0
Morning Wood,Oatmeal Stout,269,265,1.0
Bark Bite IPA,American IPA,270,266,1.0
Jalapeno Pale Ale,American Pale Ale (APA),271,267,1.0
Blown Out Brown,American Brown Ale,272,268,1.0
Single Hop Ale,American Pale Ale (APA),273,269,1.0
Sawtooth Ale,American Blonde Ale,274,270,1.0
Saucy Intruder,Rye Beer,275,271,1.0
Deception,American Blonde Ale,276,272,1.0
Blackmarket Rye IPA,American IPA,277,273,1.0
Black Market Hefeweizen,Hefeweizen,278,274,1.0
Aftermath Pale Ale,American Pale Ale (APA),279,275,1.0
American India Red Ale,American Strong Ale,280,276,1.0
American Red Porter,American Porter,281,277,1.0
American Red Saison,Saison / Farmhouse Ale,282,278,1.0
Colorado Red Ale,American Amber / Red Ale,283,279,2.0
Saddle Bronc Brown Ale,American Brown Ale,284,280,1.0
Bomber Mountain Amber Ale,American Amber / Red Ale,285,281,1.0
Flying Sailor,Rye Beer,286,282,1.0
Nordskye,American IPA,287,283,1.0
North Third Stout,Foreign / Export Stout,288,284,1.0
Honey Lav,American Pale Wheat Ale,289,285,1.0
Coconut Brown Ale,American Brown Ale,290,286,1.0
51K IPA,American IPA,291,287,1.0
Grand Rabbits,Cream Ale,292,288,1.0
1800 Big Log Wheat (2012),American Pale Wheat Ale,293,289,1.0
Double Play Pilsner,American Pilsner,294,290,1.0
Brewerhood Brown Ale,American Brown Ale,295,291,1.0
Last Call Imperial Amber Ale,American Amber / Red Ale,296,292,1.0
Pernicious Double IPA,American Double / Imperial IPA,297,293,1.0
6-4-3 Double Play Pilsner,German Pilsener,298,294,1.0
N Street Drive-In 50th Anniversary IPA,American Double / Imperial IPA,299,295,1.0
467 Ethan's Stout,American Stout,300,296,1.0
1335 Wicked Snout,Saison / Farmhouse Ale,301,297,1.0
543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),302,298,1.0
1327 Pod's ESB,Extra Special / Strong Bitter (ESB),303,299,3.0
1327 Pod's ESB,Extra Special / Strong Bitter (ESB),304,299,3.0
1327 Pod's ESB,Extra Special / Strong Bitter (ESB),305,299,3.0
834 Happy As Ale,American Pale Ale (APA),306,300,1.0
Yellow Collar,Mead,307,301,1.0
Green Collar,Mead,308,302,1.0
Quarter Mile Double IPA,American Double / Imperial IPA,309,303,1.0
Full Nelson Pale Ale,American Pale Ale (APA),310,304,1.0
Steel Wheels ESB,Extra Special / Strong Bitter (ESB),311,305,1.0
Blue Mountain Classic Lager,Euro Pale Lager,312,306,1.0
Full Nelson Pale Ale (2010),American Pale Ale (APA),313,307,1.0
Kölsch 151,Kölsch,314,308,1.0
Professor Black,American Stout,315,309,1.0
Little Boss,American Pale Wheat Ale,316,310,1.0
Van Dayum!,American Amber / Red Ale,317,311,1.0
Spirit Animal,American Pale Ale (APA),318,312,1.0
Toxic Sludge,American Black Ale,319,313,1.0
Blue Point White IPA,American White IPA,320,314,1.0
Blue Point Summer Ale,American Blonde Ale,321,315,1.0
Toasted Lager,Vienna Lager,322,316,1.0
Bohemian Export Lager,Dortmunder / Export Lager,323,317,1.0
Altus Bohemes Altbier,Altbier,324,318,1.0
Cherny Bock,Schwarzbier,325,319,1.0
Czech Pilsner,Czech Pilsener,326,320,1.0
Viennese Lager,Vienna Lager,327,321,1.0
Mad Manatee IPA,American IPA,328,322,1.0
Killer Whale Cream Ale,Cream Ale,329,323,1.0
Duke's Cold Nose Brown Ale,American Brown Ale,330,324,1.0
Longhop IPA,American IPA,331,325,1.0
Lucky Buck,Irish Dry Stout,332,326,1.0
Bomb Lager (New Recipe),Munich Helles Lager,333,327,1.0
Bomb Lager (Old Recipe),Munich Helles Lager,334,328,1.0
Firestarter India Pale Ale,American IPA,335,329,2.0
Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,336,330,1.0
Wood Splitter Pilsner,Czech Pilsener,337,331,1.0
Gyptoberfest,Märzen / Oktoberfest,338,332,1.0
Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),339,333,1.0
Slow & Steady Golden Ale,American Blonde Ale,340,334,1.0
Pink-I Raspberry IPA,American IPA,341,335,1.0
Moe's Original Bar B Que 'Bama Brew Golden Ale,American Blonde Ale,342,336,1.0
Live Local Golden Ale,American Blonde Ale,343,337,1.0
Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),344,338,1.0
Dirtbag Dunkel,Munich Dunkel Lager,345,339,1.0
Kindler Pale Ale,American Pale Ale (APA),346,340,1.0
Mistress Winter Wheat,Winter Warmer,347,341,1.0
Tent Pole Vanilla Porter,American Porter,348,342,1.0
Awry Rye Pale Ale,American Pale Ale (APA),349,343,1.0
Demshitz Brown Ale,American Brown Ale,350,344,1.0
Wood Splitter Pilsner (2012),Czech Pilsener,351,345,1.0
Brush Creek Blonde,American Blonde Ale,352,346,1.0
Firestarter India Pale Ale,American IPA,353,329,2.0
Noche Dulce,American Porter,354,347,1.0
Porch Rocker,Radler,355,348,1.0
Rebel IPA,American IPA,356,349,1.0
Cold Snap,Witbier,357,350,1.0
Samuel Adams Winter Lager,Bock,358,351,1.0
Boston Lager,Vienna Lager,359,352,3.0
Boston Lager,Vienna Lager,360,352,3.0
Samuel Adams Octoberfest,Märzen / Oktoberfest,361,353,1.0
Samuel Adams Summer Ale,American Pale Wheat Ale,362,354,1.0
Boston Lager,Vienna Lager,363,352,3.0
Hazed & Infused,American Pale Ale (APA),364,355,1.0
Hoopla Pale Ale,American Pale Ale (APA),365,356,1.0
Hazed & Infused (2010),American Pale Ale (APA),366,357,1.0
Heavy Lifting,American IPA,367,358,1.0
1492,American Pale Ale (APA),368,359,1.0
Mango Ginger,American IPA,369,360,1.0
Passenger,English Dark Mild Ale,370,361,1.0
Plum St. Porter,American Porter,371,362,2.0
Plum St. Porter,American Porter,372,362,2.0
Bozone HopZone IPA,American IPA,373,363,1.0
Bozone Hefe Weizen,Hefeweizen,374,364,1.0
Bozone Select Amber Ale,American Amber / Red Ale,375,365,1.0
Evil Owl,American Amber / Red Ale,376,366,1.0
Post Time Kölsch,Kölsch,377,367,1.0
Agave Wheat,American Pale Wheat Ale,378,368,1.0
SummerBright Ale,American Pale Wheat Ale,379,369,1.0
Lucky U IPA,American IPA,380,370,1.0
Avalanche Ale,American Amber / Red Ale,381,371,1.0
"You're My Boy, Blue",Fruit / Vegetable Beer,382,372,1.0
Last Stop IPA,American IPA,383,373,1.0
Rollin Dirty Red Ale,Irish Red Ale,384,374,1.0
Are Wheat There Yet?,American Pale Wheat Ale,385,375,1.0
Insert Hop Reference,American Pale Ale (APA),386,376,1.0
Manitou Amber,American Amber / Red Ale,387,377,1.0
Belfort,Saison / Farmhouse Ale,388,378,1.0
Star Runner,Belgian Pale Ale,389,379,1.0
Tart Side of the Barrel,American Double / Imperial Stout,390,380,1.0
Linnaeus Mango IPA,American IPA,391,381,1.0
Beasts A'Burnin',Rauchbier,392,382,1.0
Verdun,Bière de Garde,393,383,1.0
Barrel Aged Triomphe,Belgian IPA,394,384,1.0
Cherry Doppelbock,Doppelbock,395,385,1.0
Tropical Saison,Saison / Farmhouse Ale,396,386,1.0
Beach Patrol,Witbier,397,387,1.0
Nuit Serpent,Belgian IPA,398,388,1.0
Paris,Saison / Farmhouse Ale,399,389,1.0
The Grand Army,Belgian IPA,400,390,1.0
Acidulated Trip,Saison / Farmhouse Ale,401,391,1.0
Root Stock,Rye Beer,402,392,1.0
Mind Games,Dunkelweizen,403,393,1.0
Sous Chef,Belgian Strong Pale Ale,404,394,1.0
Dubbelicious,Dubbel,405,395,1.0
Psychopomp,Belgian Dark Ale,406,396,1.0
Fat Paczki,Belgian Dark Ale,407,397,1.0
Earth-Like Planets,Belgian Pale Ale,408,398,1.0
Ski Patrol,Witbier,409,399,1.0
Viking Ice Hole,Oatmeal Stout,410,400,1.0
Rye Porter,American Porter,411,401,2.0
Wizard Burial Ground,Quadrupel (Quad),412,402,1.0
Smoky Wheat,Rauchbier,413,403,1.0
BRIPA,Belgian IPA,414,404,1.0
Mela,Belgian Dark Ale,415,405,1.0
W.I.P.A Snappa,Belgian IPA,416,406,1.0
Pepper in the Rye,Rye Beer,417,407,1.0
Moe Lasses',American Stout,418,408,1.0
Pumpkin Tart,Fruit / Vegetable Beer,419,409,1.0
Undertaker,Belgian Dark Ale,420,410,1.0
Undertaker (2014),Belgian Dark Ale,421,411,1.0
Coq D'Or,Belgian Pale Ale,422,412,1.0
North French,Bière de Garde,423,413,1.0
Agent a Deux,Belgian Dark Ale,424,414,1.0
Belgian Wit,Witbier,425,415,1.0
Pothole Stout,American Stout,426,416,1.0
Tree Bucket,Belgian IPA,427,417,1.0
Le Flaneur Ale,American Wild Ale,428,418,1.0
Maize & Blueberry,Fruit / Vegetable Beer,429,419,1.0
Trebuchet Double IPA,American Double / Imperial IPA,430,420,1.0
Contemplation,Bière de Garde,431,421,1.0
Black Rabbit,American Black Ale,432,422,1.0
Zaison,Saison / Farmhouse Ale,433,423,1.0
Vivant Tripel,Tripel,434,424,1.0
Tart Side of the Moon,Belgian Dark Ale,435,425,1.0
Big Red Coq,American Amber / Red Ale,436,426,1.0
Hubris Quadrupel Anniversary Ale,Quadrupel (Quad),437,427,1.0
Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,438,428,1.0
Escoffier Bretta Ale,American Wild Ale,439,429,1.0
Contemplation (2012),Bière de Garde,440,430,1.0
Vivant Belgian Style Imperial Stout (2012),Russian Imperial Stout,441,431,1.0
Big Red Coq (2012),American Amber / Red Ale,442,432,1.0
Zaison (2012),Saison / Farmhouse Ale,443,433,1.0
Vivant Tripel (2012),Tripel,444,434,1.0
Trebuchet Double IPA (2012),Belgian IPA,445,435,1.0
Kludde,Belgian Strong Dark Ale,446,436,1.0
Farm Hand,Saison / Farmhouse Ale,447,437,1.0
Solitude,Belgian Pale Ale,448,438,1.0
Triomphe,Belgian IPA,449,439,1.0
Tampa Pale Ale,American Pale Ale (APA),450,440,1.0
Orange Grove Wheat Ale,American Pale Wheat Ale,451,441,1.0
Broad Brook Ale,American Amber / Red Ale,452,442,1.0
Northern Lights Amber Ale,American Amber / Red Ale,453,443,1.0
Polar Pale Ale,American Pale Ale (APA),454,444,1.0
Chugach Session Ale,Cream Ale,455,445,1.0
Fairweather IPA,American IPA,456,446,1.0
East India Pale Ale,English India Pale Ale (IPA),457,447,2.0
Brooklyn Summer Ale,English Pale Mild Ale,458,448,1.0
East India Pale Ale,English India Pale Ale (IPA),459,447,2.0
Brooklyn Summer Ale (2011),English Pale Mild Ale,460,449,1.0
Brooklyn Lager (16 oz.),American Amber / Red Lager,461,450,1.0
Brooklyn Lager (12 oz.),American Amber / Red Lager,462,451,1.0
Tour de Nez Belgian IPA (Current),Belgian IPA,463,452,1.0
Roler Bock (Current),Maibock / Helles Bock,464,453,1.0
Black Adder IBA (Current),American Black Ale,465,454,1.0
Very Noddy Lager (Current),Schwarzbier,466,455,1.0
Tule Duck Red Ale (Current),American Amber / Red Ale,467,456,1.0
Original Orange Blossom Ale (Current),Herbed / Spiced Beer,468,457,1.0
Black Noddy Lager (Current),Schwarzbier,469,458,1.0
Cleveland Beer Week 2013,Munich Helles Lager,470,459,1.0
Painted Turtle,American Pale Ale (APA),471,460,1.0
1836,American Blonde Ale,472,461,1.0
Summer's Wit,Witbier,473,462,1.0
More Cowbell,American Double / Imperial IPA,474,463,1.0
Wrath of Pele,American Brown Ale,475,464,1.0
Black Beer'd,American Black Ale,476,465,1.0
Mr. Tea,Fruit / Vegetable Beer,477,466,1.0
Pale Alement,American Pale Ale (APA),478,467,2.0
Hopkick Dropkick,American Double / Imperial IPA,479,468,1.0
Kreamed Corn,Cream Ale,480,469,1.0
Coconoats,American Pale Wheat Ale,481,470,1.0
Joey Wheat,American Pale Wheat Ale,482,471,1.0
3:33 Black IPA,American IPA,483,472,1.0
MCA,American IPA,484,473,1.0
Pale Alement,American Pale Ale (APA),485,467,2.0
Couch Select Lager,American Pale Lager,486,474,1.0
Mucho Aloha Hawaiian Pale Ale,American Pale Ale (APA),487,475,1.0
Heinnieweisse Weissebier,Hefeweizen,488,476,1.0
Snapperhead IPA,American IPA,489,477,1.0
Moo Thunder Stout,Milk / Sweet Stout,490,478,1.0
Porkslap Pale Ale,American Pale Ale (APA),491,479,1.0
Blackbeard,American Double / Imperial Stout,492,480,1.0
Rye Knot,American Brown Ale,493,481,1.0
Dead Arm,American Pale Ale (APA),494,482,1.0
32°/50° Kölsch,Kölsch,495,483,1.0
HopArt,American IPA,496,484,1.0
Boy King,American Double / Imperial IPA,497,485,1.0
Gran Sport,American Porter,498,486,1.0
Horny Toad Cerveza,American Blonde Ale,499,487,1.0
Native Amber,American Amber / Red Ale,500,488,1.0
F5 IPA,American IPA,501,489,1.0
Native Amber (2013),American Amber / Red Ale,502,490,1.0
Horny Toad Cerveza (2013),American Blonde Ale,503,491,1.0
Hopportunity Knocks IPA,American IPA,504,492,1.0
Pilot Rock Porter,American Porter,505,493,1.0
Caldera Pale Ale,American Pale Ale (APA),506,494,1.0
Lawnmower Lager,American Adjunct Lager,507,495,1.0
Ashland Amber Ale (2009),American Amber / Red Ale,508,496,1.0
Caldera IPA (2009),American IPA,509,497,1.0
Caldera IPA (2007),American IPA,510,498,1.0
Caldera Pale Ale (2010),American Pale Ale (APA),511,499,1.0
Caldera Pale Ale (2009),American Pale Ale (APA),512,500,1.0
Caldera Pale Ale (2005),American Pale Ale (APA),513,501,1.0
