score ,original_index,unique_index
0%    ,359,30
empty ,360,0
90%   ,361,18
100%  ,362,4
85%   ,363,41
100%  ,364,4
91%   ,365,12
98%   ,366,8
98%   ,367,8
100%  ,368,4
100%  ,369,4
82%   ,370,26
89%   ,371,14
98%   ,372,8
99%   ,373,7
94%   ,374,16
empty ,375,0
100%  ,376,4
95%   ,377,23
x5%   ,378,42
99%   ,379,7
97%   ,380,1
100%  ,381,4
100%  ,382,4
96%   ,383,9
empty ,384,0
50%   ,385,27
83%   ,386,19
98%   ,387,8
96%   ,388,9
100%  ,389,4
71%   ,390,47
89%   ,391,14
100%  ,392,4
67%   ,393,38
empty ,394,0
100%  ,395,4
empty ,396,0
empty ,397,0
96%   ,398,9
94%   ,399,16
94%   ,400,16
96%   ,401,9
94%   ,402,16
95%   ,403,23
100%  ,404,4
x4%   ,405,48
92%   ,406,2
99%   ,407,7
100%  ,408,4
90%   ,409,18
90%   ,410,18
1xx%  ,411,49
100%  ,412,4
98%   ,413,8
90%   ,414,18
100%  ,415,4
100%  ,416,4
empty ,417,0
100%  ,418,4
empty ,419,0
empty ,420,0
77%   ,421,50
99%   ,422,7
85%   ,423,41
100%  ,424,4
93%   ,425,13
x7%   ,426,39
100%  ,427,4
97%   ,428,1
96%   ,429,9
88%   ,430,17
82%   ,431,26
91%   ,432,12
98%   ,433,8
100%  ,434,4
100%  ,435,4
97%   ,436,1
100%  ,437,4
96%   ,438,9
97%   ,439,1
95%   ,440,23
90%   ,441,18
87%   ,442,28
96%   ,443,9
98%   ,444,8
88%   ,445,17
94%   ,446,16
100%  ,447,4
94%   ,448,16
94%   ,449,16
empty ,450,0
empty ,451,0
89%   ,452,14
99%   ,453,7
97%   ,454,1
98%   ,455,8
86%   ,456,5
82%   ,457,26
81%   ,458,21
92%   ,459,2
91%   ,460,12
84%   ,461,15
empty ,462,0
97%   ,463,1
85%   ,464,41
79%   ,465,25
100%  ,466,4
100%  ,467,4
empty ,468,0
100%  ,469,4
83%   ,470,19
0%    ,471,30
empty ,472,0
66%   ,473,51
96%   ,474,9
94%   ,475,16
94%   ,476,16
85%   ,477,41
94%   ,478,16
87%   ,479,28
95%   ,480,23
64%   ,481,29
90%   ,482,18
100%  ,483,4
94%   ,484,16
96%   ,485,9
85%   ,486,41
empty ,487,0
1xx%  ,488,49
88%   ,489,17
68%   ,490,52
empty ,491,0
100%  ,492,4
empty ,493,0
empty ,494,0
empty ,495,0
empty ,496,0
empty ,497,0
83%   ,498,19
94%   ,499,16
90%   ,500,18
100%  ,501,4
93%   ,502,13
97%   ,503,1
100%  ,504,4
89%   ,505,14
93x   ,506,53
81%   ,507,21
empty ,508,0
0%    ,509,30
100%  ,510,4
0%    ,511,30
empty ,512,0
100%  ,513,4
1xx%  ,514,49
100%  ,515,4
100%  ,516,4
100%  ,517,4
100%  ,518,4
100%  ,519,4
100%  ,520,4
empty ,521,0
96%   ,522,9
100%  ,523,4
100%  ,524,4
100%  ,525,4
100%  ,526,4
94%   ,527,16
96%   ,528,9
94%   ,529,16
95%   ,530,23
90%   ,531,18
92%   ,532,2
97%   ,533,1
97%   ,534,1
97%   ,535,1
94%   ,536,16
95%   ,537,23
100%  ,538,4
98%   ,539,8
94%   ,540,16
95%   ,541,23
92%   ,542,2
79%   ,543,25
97%   ,544,1
95%   ,545,23
empty ,546,0
40%   ,547,43
45%   ,548,54
90%   ,549,18
85%   ,550,41
99%   ,551,7
85%   ,552,41
95%   ,553,23
91%   ,554,12
88%   ,555,17
82%   ,556,26
82%   ,557,26
67%   ,558,38
78%   ,559,11
98%   ,560,8
83%   ,561,19
72%   ,562,10
97%   ,563,1
92%   ,564,2
87%   ,565,28
92%   ,566,2
90%   ,567,18
100%  ,568,4
50%   ,569,27
92%   ,570,2
0%    ,571,30
empty ,572,0
54%   ,573,55
99%   ,574,7
96%   ,575,9
97%   ,576,1
80%   ,577,6
95%   ,578,23
91%   ,579,12
82%   ,580,26
85%   ,581,41
75%   ,582,3
32%   ,583,56
100%  ,584,4
93%   ,585,13
79%   ,586,25
empty ,587,0
96%   ,588,9
88%   ,589,17
82%   ,590,26
empty ,591,0
empty ,592,0
empty ,593,0
empty ,594,0
empty ,595,0
empty ,596,0
empty ,597,0
100%  ,598,4
100%  ,599,4
empty ,600,0
empty ,601,0
100%  ,602,4
100%  ,603,4
100%  ,604,4
100%  ,605,4
93%   ,606,13
100%  ,607,4
empty ,608,0
empty ,609,0
empty ,610,0
empty ,611,0
empty ,612,0
empty ,613,0
empty ,614,0
empty ,615,0
98%   ,616,8
97%   ,617,1
93%   ,618,13
100%  ,619,4
98%   ,620,8
empty ,621,0
85%   ,622,41
82%   ,623,26
100%  ,624,4
92%   ,625,2
100%  ,626,4
92%   ,627,2
91%   ,628,12
100%  ,629,4
96%   ,630,9
97%   ,631,1
88%   ,632,17
98%   ,633,8
99%   ,634,7
99%   ,635,7
97%   ,636,1
98%   ,637,8
100%  ,638,4
92%   ,639,2
90%   ,640,18
50%   ,641,27
67%   ,642,38
empty ,643,0
empty ,644,0
67%   ,645,38
empty ,646,0
empty ,647,0
0%    ,648,30
38%   ,649,57
25%   ,650,33
100%  ,651,4
25%   ,652,33
100%  ,653,4
67%   ,654,38
90%   ,655,18
96%   ,656,9
12%   ,657,58
empty ,658,0
empty ,659,0
empty ,660,0
empty ,661,0
empty ,662,0
empty ,663,0
empty ,664,0
empty ,665,0
98%   ,666,8
98%   ,667,8
91%   ,668,12
100%  ,669,4
97%   ,670,1
empty ,671,0
98%   ,672,8
46%   ,673,59
96%   ,674,9
94%   ,675,16
100%  ,676,4
74%   ,677,24
92%   ,678,2
100%  ,679,4
92%   ,680,2
85%   ,681,41
79%   ,682,25
69%   ,683,60
88%   ,684,17
95%   ,685,23
87%   ,686,28
76%   ,687,61
97%   ,688,1
79%   ,689,25
77%   ,690,50
77%   ,691,50
100%  ,692,4
100%  ,693,4
empty ,694,0
75%   ,695,3
empty ,696,0
empty ,697,0
xx%   ,698,44
100%  ,699,4
100%  ,700,4
100%  ,701,4
87%   ,702,28
95%   ,703,23
90%   ,704,18
97%   ,705,1
96%   ,706,9
93%   ,707,13
100%  ,708,4
100%  ,709,4
100%  ,710,4
1xx%  ,711,49
empty ,712,0
100%  ,713,4
88%   ,714,17
88%   ,715,17
100%  ,716,4
100%  ,717,4
x7%   ,718,39
100%  ,719,4
100%  ,720,4
empty ,721,0
empty ,722,0
99%   ,723,7
100%  ,724,4
97%   ,725,1
100%  ,726,4
100%  ,727,4
100%  ,728,4
100%  ,729,4
99%   ,730,7
98%   ,731,8
98%   ,732,8
99%   ,733,7
99%   ,734,7
98%   ,735,8
98%   ,736,8
empty ,737,0
100%  ,738,4
95%   ,739,23
95%   ,740,23
100%  ,741,4
60%   ,742,20
100%  ,743,4
empty ,744,0
100%  ,745,4
empty ,746,0
empty ,747,0
100%  ,748,4
91%   ,749,12
86%   ,750,5
100%  ,751,4
100%  ,752,4
89%   ,753,14
100%  ,754,4
97%   ,755,1
75%   ,756,3
92%   ,757,2
89%   ,758,14
97%   ,759,1
88%   ,760,17
99%   ,761,7
empty ,762,0
100%  ,763,4
80%   ,764,6
80%   ,765,6
100%  ,766,4
99%   ,767,7
93%   ,768,13
x3%   ,769,62
empty ,770,0
100%  ,771,4
90%   ,772,18
89%   ,773,14
100%  ,774,4
98%   ,775,8
14%   ,776,63
98%   ,777,8
100%  ,778,4
97%   ,779,1
100%  ,780,4
100%  ,781,4
empty ,782,0
82%   ,783,26
72%   ,784,10
95%   ,785,23
98%   ,786,8
100%  ,787,4
96%   ,788,9
99%   ,789,7
97%   ,790,1
93%   ,791,13
89%   ,792,14
89%   ,793,14
90%   ,794,18
95%   ,795,23
99%   ,796,7
93%   ,797,13
95%   ,798,23
99%   ,799,7
93%   ,800,13
90%   ,801,18
94%   ,802,16
99%   ,803,7
89%   ,804,14
100%  ,805,4
95%   ,806,23
68%   ,807,52
83%   ,808,19
47%   ,809,36
100%  ,810,4
93%   ,811,13
100%  ,812,4
96%   ,813,9
96%   ,814,9
100%  ,815,4
94%   ,816,16
89%   ,817,14
96%   ,818,9
91%   ,819,12
98%   ,820,8
97%   ,821,1
90%   ,822,18
94%   ,823,16
100%  ,824,4
95%   ,825,23
87%   ,826,28
100%  ,827,4
100%  ,828,4
100%  ,829,4
empty ,830,0
100%  ,831,4
empty ,832,0
empty ,833,0
84%   ,834,15
89%   ,835,14
75%   ,836,3
100%  ,837,4
89%   ,838,14
92%   ,839,2
94%   ,840,16
98%   ,841,8
95%   ,842,23
81%   ,843,21
50%   ,844,27
100%  ,845,4
100%  ,846,4
100%  ,847,4
empty ,848,0
100%  ,849,4
empty ,850,0
empty ,851,0
67%   ,852,38
67%   ,853,38
100%  ,854,4
empty ,855,0
33%   ,856,34
empty ,857,0
empty ,858,0
74%   ,859,24
80x   ,860,64
78%   ,861,11
80%   ,862,6
96%   ,863,9
99%   ,864,7
90%   ,865,18
98%   ,866,8
76%   ,867,61
91%   ,868,12
67%   ,869,38
80%   ,870,6
87%   ,871,28
87%   ,872,28
empty ,873,0
100%  ,874,4
100%  ,875,4
100%  ,876,4
100%  ,877,4
100%  ,878,4
0%    ,879,30
100%  ,880,4
82%   ,881,26
empty ,882,0
empty ,883,0
87%   ,884,28
94%   ,885,16
89%   ,886,14
100%  ,887,4
x5%   ,888,42
100%  ,889,4
100%  ,890,4
97%   ,891,1
87%   ,892,28
87%   ,893,28
empty ,894,0
empty ,895,0
empty ,896,0
empty ,897,0
empty ,898,0
100%  ,899,4
100%  ,900,4
100%  ,901,4
100%  ,902,4
100%  ,903,4
100%  ,904,4
100%  ,905,4
100%  ,906,4
100%  ,907,4
100%  ,908,4
100%  ,909,4
88%   ,910,17
100%  ,911,4
100%  ,912,4
100%  ,913,4
100%  ,914,4
100%  ,915,4
99%   ,916,7
97%   ,917,1
100%  ,918,4
87%   ,919,28
76%   ,920,61
99%   ,921,7
95%   ,922,23
95%   ,923,23
95%   ,924,23
79%   ,925,25
76%   ,926,61
100%  ,927,4
91%   ,928,12
84%   ,929,15
53%   ,930,65
50%   ,931,27
100%  ,932,4
33%   ,933,34
60%   ,934,20
empty ,935,0
empty ,936,0
53%   ,937,65
63%   ,938,66
67%   ,939,38
75%   ,940,3
90%   ,941,18
50%   ,942,27
80%   ,943,6
97%   ,944,1
50%   ,945,27
65%   ,946,67
empty ,947,0
empty ,948,0
empty ,949,0
empty ,950,0
empty ,951,0
empty ,952,0
empty ,953,0
empty ,954,0
100%  ,955,4
100%  ,956,4
empty ,957,0
empty ,958,0
100%  ,959,4
empty ,960,0
empty ,961,0
96%   ,962,9
99%   ,963,7
100%  ,964,4
100%  ,965,4
100%  ,966,4
98%   ,967,8
100%  ,968,4
99%   ,969,7
99%   ,970,7
100%  ,971,4
100%  ,972,4
99%   ,973,7
100%  ,974,4
100%  ,975,4
empty ,976,0
100%  ,977,4
100%  ,978,4
100%  ,979,4
100%  ,980,4
100%  ,981,4
100%  ,982,4
empty ,983,0
100%  ,984,4
empty ,985,0
empty ,986,0
50%   ,987,27
85%   ,988,41
100%  ,989,4
43%   ,990,68
74%   ,991,24
83%   ,992,19
83%   ,993,19
98%   ,994,8
77%   ,995,50
64%   ,996,29
25%   ,997,33
64%   ,998,29
88%   ,999,17
