article_jissue,original_index,unique_index
3.0,693,11
3.0,694,11
12.0,695,0
5.0,696,8
12.0,697,0
0.0,698,3
0.0,699,3
0.0,700,3
0.0,701,3
0.0,702,3
0.0,703,3
,704,1
1.0,705,5
4.0,706,2
7.0,707,6
2.0,708,4
4.0,709,2
2.0,710,4
0.0,711,3
,712,1
3.0,713,11
10.0,714,16
2.0,715,4
4.0,716,2
1.0,717,5
8.0,718,10
1.0,719,5
1.0,720,5
5.0,721,8
1.0,722,5
8.0,723,10
0.0,724,3
0.0,725,3
0.0,726,3
2.0,727,4
9.0,728,14
5.0,729,8
0.0,730,3
1.0,731,5
8.0,732,10
1.0,733,5
1.0,734,5
1.0,735,5
2.0,736,4
5.0,737,8
15.0,738,12
2.0,739,4
9.0,740,14
1.0,741,5
0.0,742,3
0.0,743,3
,744,1
22.0,745,17
0.0,746,3
0.0,747,3
8.0,748,10
5.0,749,8
0.0,750,3
8.0,751,10
0.0,752,3
3.0,753,11
12.0,754,0
10.0,755,16
5.0,756,8
0.0,757,3
12.0,758,0
7.0,759,6
2.0,760,4
7.0,761,6
1.0,762,5
0.0,763,3
10.0,764,16
2.0,765,4
0.0,766,3
9.0,767,14
,768,1
11.0,769,13
9.0,770,14
,771,1
7.0,772,6
17.0,773,15
2.0,774,4
2.0,775,4
2.0,776,4
4.0,777,2
4.0,778,2
3.0,779,11
1.0,780,5
2.0,781,4
0.0,782,3
2.0,783,4
3.0,784,11
0.0,785,3
0.0,786,3
2.0,787,4
0.0,788,3
1.0,789,5
6.0,790,9
,791,1
2.0,792,4
5.0,793,8
5.0,794,8
12.0,795,0
2.0,796,4
5.0,797,8
0.0,798,3
2.0,799,4
11.0,800,13
1.0,801,5
0.0,802,3
2.0,803,4
1.0,804,5
3.0,805,11
7.0,806,6
1.0,807,5
3.0,808,11
10.0,809,16
0.0,810,3
0.0,811,3
0.0,812,3
4.0,813,2
16.0,814,37
0.0,815,3
1.0,816,5
0.0,817,3
0.0,818,3
12.0,819,0
0.0,820,3
4.0,821,2
0.0,822,3
19.0,823,28
4.0,824,2
4.0,825,2
14.0,826,24
11.0,827,13
5.0,828,8
2.0,829,4
2.0,830,4
8.0,831,10
0.0,832,3
10.0,833,16
5.0,834,8
0.0,835,3
6.0,836,9
2.0,837,4
5.0,838,8
0.0,839,3
0.0,840,3
19.0,841,28
10.0,842,16
1.0,843,5
0.0,844,3
1.0,845,5
9.0,846,14
0.0,847,3
10.0,848,16
0.0,849,3
3.0,850,11
3.0,851,11
6.0,852,9
9.0,853,14
4.0,854,2
4.0,855,2
0.0,856,3
24.0,857,21
5.0,858,8
3.0,859,11
0.0,860,3
,861,1
,862,1
1.0,863,5
6.0,864,9
1.0,865,5
3.0,866,11
4.0,867,2
7.0,868,6
0.0,869,3
4.0,870,2
5.0,871,8
3.0,872,11
4.0,873,2
1.0,874,5
0.0,875,3
0.0,876,3
0.0,877,3
3.0,878,11
5.0,879,8
6.0,880,9
5.0,881,8
1.0,882,5
1.0,883,5
0.0,884,3
7.0,885,6
6.0,886,9
,887,1
7.0,888,6
0.0,889,3
5.0,890,8
1.0,891,5
0.0,892,3
6.0,893,9
0.0,894,3
4.0,895,2
5.0,896,8
0.0,897,3
0.0,898,3
,899,1
1.0,900,5
6.0,901,9
3.0,902,11
1.0,903,5
3.0,904,11
2.0,905,4
0.0,906,3
3.0,907,11
1.0,908,5
23.0,909,38
36.0,910,39
6.0,911,9
3.0,912,11
11.0,913,13
3.0,914,11
3.0,915,11
0.0,916,3
10.0,917,16
3.0,918,11
1.0,919,5
5.0,920,8
0.0,921,3
0.0,922,3
3.0,923,11
4.0,924,2
6.0,925,9
9.0,926,14
1.0,927,5
0.0,928,3
5.0,929,8
2.0,930,4
20.0,931,40
0.0,932,3
0.0,933,3
0.0,934,3
1.0,935,5
5.0,936,8
5.0,937,8
3.0,938,11
4.0,939,2
4.0,940,2
0.0,941,3
3.0,942,11
4.0,943,2
1.0,944,5
4.0,945,2
3.0,946,11
0.0,947,3
0.0,948,3
0.0,949,3
10.0,950,16
6.0,951,9
1.0,952,5
5.0,953,8
3.0,954,11
0.0,955,3
3.0,956,11
5.0,957,8
3.0,958,11
5.0,959,8
10.0,960,16
6.0,961,9
1.0,962,5
6.0,963,9
0.0,964,3
8.0,965,10
10.0,966,16
2.0,967,4
,968,1
2.0,969,4
1.0,970,5
1.0,971,5
,972,1
6.0,973,9
5.0,974,8
,975,1
0.0,976,3
,977,1
0.0,978,3
7.0,979,6
0.0,980,3
2.0,981,4
0.0,982,3
2.0,983,4
2.0,984,4
6.0,985,9
7.0,986,6
9.0,987,14
0.0,988,3
7.0,989,6
5.0,990,8
9.0,991,14
4.0,992,2
2.0,993,4
4.0,994,2
2.0,995,4
3.0,996,11
,997,1
9.0,998,14
1.0,999,5
