MeasureName,Sample,original_index,unique_index
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,200 patients,83,79
pneumonia patients given the most appropriate initial antibiotic(s),138 patients,84,80
pneumonia patients assessed and given influenza vaccination,85 patients,85,81
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,107 patients,86,82
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,457 patients,87,83
surgery patients who were given the  right kind  of antibiotic to help prevent infection,462 patients,88,84
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),439 patients,89,85
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,130 patients,90,86
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),619 paxienxs,91,87
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,242 patients,92,88
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,242 patients,93,89
xeart attack patients given aspirin at arrival,5 patients,94,90
heart attack patients given aspirin at discharge,2 patients,95,91
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0 patients,96,92
heart attack patients given smoking cessation advice/counseling,0 patients,97,46
heart attack patients given beta blocker at discharge,2 patients,98,93
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,99,13
heart attack patients given pci within 90 minutes of arrival,0 patients,100,14
heart failure patients given discharge instructions,59 patients,101,94
heart failure patients given an evaluation of left ventricular systolic (lvs) function,76 patients,102,95
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),14 patients,103,96
heart failure patients given smoking cessation advice/counseling,8 patients,104,97
pneumonia patients assessed and given pneumococcal vaccination,85 patients,105,98
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,64 patients,106,99
pneumonia patients given smoking cessation advice/counseling,28 patients,107,100
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,87 patients,108,101
pneumonia patients given the most appropriate initial antibiotic(s),57 patients,109,102
pneumonia patients assessed and given influenza vaccination,63 patients,110,103
surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery,11 patients,111,104
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,101 patients,112,105
surgery patients who were given the  right kind  of antibiotic to help prevent infection,101 patients,113,106
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100 patients,114,107
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patixnts,115,108
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),123 patients,116,109
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,77 patients,117,110
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,76 patients,118,65
heart attack patients given aspirin at arrivax,1 patients,119,111
heart attack patients given aspirin at discharge,1 patients,120,112
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0 patients,121,92
heart attack patients given smoking cessation advice/counseling,0 patients,122,46
heart attack patients given beta blocker at discharge,1 patients,123,113
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,124,13
heart attack patients given pci within 90 minutes of arrival,0 patients,125,14
heart failure patients given discharge instructions,26 patients,126,114
heart failure patients given an evaluation of left ventricular systolic (lvs) function,39 patients,127,115
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),8 patients,128,116
heart failure patients given smoking cessation advice/counseling,5 patients,129,117
pneumonia patients assessed and given pneumococcal vaccination,16 patients,130,118
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,15 patients,131,119
pneumonia patients given smoking cessation advice/counseling,9 patients,132,120
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,21 pxtients,133,121
pneumonia patients given the most appropriate initial antibiotic(s),21 patients,134,122
pneumonia patients assessed and given influenza vaccination,15 patients,135,123
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,1 patients,136,124
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,2 patients,137,125
surgery patients who were given the  right kind  of antibiotic to help prevent infection,2 patients,138,126
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),2 patients,139,127
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,140,62
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),4 patients,141,128
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,4 patients,142,129
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,4 patients,143,130
heart attack patients given aspirin at arrival,6 patients,144,131
heart attaxk patients given aspirin at disxharge,1 patients,145,132
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1 patients,146,133
heart attack patients given smoking cessation advice/counseling,2 patients,147,134
heart attack patients given beta blocker at discharge,3 patients,148,135
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,149,13
heart attack patients given pci within 90 minutes of arrival,0 patients,150,14
heart failure patients given discharge instructions,35 patients,151,136
heart failure patients given an evaluation of left ventricular systolic (lvs) function,42 patients,152,137
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),10 patients,153,138
heart failure patients given smoking cessation advice/counseling,12 patients,154,139
pneumonia patients assessed and given pneumococcal vaccination,44 patients,155,140
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,30 patients,156,141
pneumonia patients given smoking cessation advice/counseling,25 patients,157,142
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,51 patients,158,143
pneumonia patients given the most appropriate initial antibiotic(s),45 patients,159,144
pneumonia patients assessed and given influenza vaccination,30 patients,160,145
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,3 patients,161,146
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,6 patients,162,147
surgery patients who were given the  right kind  of antibiotic to help prevent infection,7 patients,163,148
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),5 patients,164,149
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,165,62
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),xx patients,166,150
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,9 patients,167,151
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,9 patients,168,152
heart attack patients given aspirin at arrival,8 patients,169,153
heart attack patients given aspirin at discharge,6xpatients,170,154
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),2 patients,171,45
heart attack patients given smoking cessation advice/counseling,2 patients,172,134
heart attack patients given beta blocker at discharge,6 patients,173,155
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,174,13
heart attack patients given pci within 90 minutes of arrival,0 patients,175,14
heart failure patients given discharge instructions,55 patients,176,156
heart failure patients given an evaluation of left ventricular systolic (lvs) function,80 patients,177,157
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),27 patients,178,158
heart failure patients given smoking cessation advice/counseling,10 patients,179,159
pneumonia patients assessed and given pneumococcal vaccination,128 patients,180,160
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,115 patients,181,161
pneumonia patients given smoking cessation advice/counseling,65 patients,182,78
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,158 patients,183,162
pneumonia patients given the most appropriate initial antibiotic(s),133 patients,184,163
pneumonia patients assessed and given influenza vaccination,101 patients,185,164
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,14 patients,186,58
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,66 patients,187,165
surgery patients who were given the  right kind  of antibiotic to help prevent infection,64 patients,188,166
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),63 patients,189,167
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,190,62
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),155 patients,191,168
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,56 patients,192,169
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,56 patients,193,170
heart attack patients given aspirin at arrival,240 patients,194,171
heart attack patients given aspirin at discharge,295 patients,195,172
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),70 patients,196,173
heart attack patients given smoking cessation advice/counseling,131 patients,197,174
heart attack patients given beta blocker at discharge,288 patients,198,175
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,199,13
heart attack patients given pci within 90 minutes of arrival,48 patients,200,176
heart failure patients given discharge instructions,316 patients,201,177
heart failure patients given an evaluation of left ventricular systolic (lvs) function,372 patients,202,178
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),130 patients,203,179
heart failure patients given smoking cessation advice/counseling,69 patients,204,180
pneumonia patients assessed and given pneumococcal vaccination,125 patients,205,181
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,131 patients,206,182
pneumonia patients given smoking cessation advice/counseling,69 patients,207,183
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,135 patients,208,184
pneumonia patients given the most appropriate initial antibiotic(s),112 patients,209,185
pneumoniaxpatientsxassessedxandxgivenxinfluenzaxvaccination,89 patients,210,186
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,125 patients,211,187
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,461 patients,212,188
surgery patients who were given the  right kind  of antibiotic to help prevent infection,473 patients,213,189
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),442 patients,214,190
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,127 patients,215,191
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),601 patients,216,192
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,229 patients,217,193
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,224 patients,218,194
heartxattackxpatientsxgivenxaspirinxatxarrival,46 patients,219,195
heart attack patients given aspirin at discharge,39 patients,220,196
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),11 patients,221,197
heart attack patients given smoking cessation advice/counseling,14 patients,222,198
heart attack patients given beta blocker at discharge,41 patients,223,199
heart attack patients given fibrinolytic medication within 30 minutes of arrival,1 patiexts,224,200
heart attack patients given pci within 90 minutes of arrival,5 patients,225,201
heart failure patients given discharge instructions,76 patients,226,202
heart failure patients given an evaluation of left ventricular systolic (lvs) function,94 patients,227,203
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),36 patients,228,204
heart failure patients given smoking cessation advice/counseling,15 patients,229,205
pneumonia patients assessed and given pneumococcal vaccination,69 patients,230,206
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,91 patients,231,207
pneumonia patients given smoking cessation advice/counseling,37 patients,232,208
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,88 patients,233,209
pneumonia patients given the most appropriate initial antibiotic(s),82 patientx,234,210
pneumonia patients assessed and given influenza vaccination,56 patients,235,211
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,16 patients,236,212
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,139 patients,237,213
surgery patients who were given the  right kind  of antibiotic to help prevent infection,147 patients,238,214
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),136 patients,239,215
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,240,62
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),179 patients,241,216
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,90 patients,242,217
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,90 patients,243,218
heart attack patients given aspirin at arrival,0 patients,244,219
heart attack patients given aspirin at discharge,0 patients,245,220
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0 patients,246,92
heart attack patients given smoking cessation advice/counseling,0 patients,247,46
heart attack patients given beta blocker at discharge,0 patients,248,221
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,249,13
heart attack patients given pci within 90 minutes of arrival,0 patients,250,14
heart failure patients given discharge instructions,79 patients,251,222
heart failure patients given an evaluation of left ventricular systolic (lvs) function,91 patients,252,223
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),25 patients,253,224
heart failure patients given smoking cessation advice/counseling,17 patients,254,225
pneumonia patients assessed and given pneumococcal vaccination,25 patients,255,226
pneumonxa patxents whose inxtxal emergency room blood culture was performed prxor to the admxnxstratxon of the fxrst hospxtal dose of antxbxotxcs,24 patients,256,227
pneumonia patients given smoking cessation advice/counseling,6 patients,257,228
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,24 patients,258,229
pneumonia patients given the most appropriate initial antibiotic(s),26 patients,259,230
pneumonia patients assessed and given influenza vaccination,24 patients,260,231
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,261,232
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,14 patients,262,233
surgery patients who were given the  right kind  of antibiotic to help prevent infection,14 patients,263,234
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),14 patients,264,235
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,265,62
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),15 patients,266,236
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,10 patients,267,237
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,10 patients,268,238
heart attack patients given aspirin at arrival,179 patients,269,239
heart attack patients given aspirin at discharge,208 patients,270,240
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),30 patients,271,241
heart attack patients given smoking cessation advice/counseling,98 patients,272,242
heart attack patients given beta blocker at discharge,169 patients,273,243
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,274,13
heart attack patients given pci within 90 minutes of arrival,36 patients,275,244
heart failure patients given discharge instructions,210 patients,276,245
heart failure patients given an evaluation of left ventricular systolic (lvs) function,246 patients,277,246
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),71 patients,278,247
heart failure patients given smoking cessation advice/counseling,48 patients,279,248
pneumonia patients assessed and given pneumococcal vaccination,235 patients,280,249
pnxumonia patixnts whosx initial emxrgxncy room blood culturx was pxrformxd prior to thx administration of thx first hospital dosx of antibiotics,110 patients,281,250
pneumonia patients given smoking cessation advice/counseling,131 patients,282,251
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,239 patients,283,252
pneumonia patients given the most appropriate initial antibiotic(s),116 patients,284,253
pneumonia patients assessed and given influenza vaccination,199 patients,285,254
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,96 patients,286,255
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,368 patients,287,256
surgery patients who were given the  right kind  of antibiotic to help prevent infection,370 patients,288,257
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),331 patients,289,258
all heart surgerx patients whose blood sugar (blood glucose) is kept under good control in the daxs right after surgerx,116 patients,290,259
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),588 patients,291,260
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,226 patients,292,261
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,225 patients,293,262
heart attack patients given aspirin at arrival,empty,294,263
heart attack patients given aspirin at discharge,empty,295,264
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,296,265
heart attack patients given smoking cessation advice/counseling,empty,297,266
heart attack patients given beta blocker at discharge,empty,298,267
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,299,268
heart attack patients given pci within 90 minutes of arrival,empty,300,269
heart failure patients given discharge instructions,empty,301,270
heart failure patients given an evaluation of left ventricular systolic (lvs) function,empty,302,271
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,303,272
heart failure patients given smoking cessation advice/counseling,empty,304,273
pneumonia patients assessed and given pneumococcal vaccination,empty,305,274
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,empty,306,275
pneumonia patients given smoking cessation advice/counseling,empty,307,276
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,empty,308,277
pneumonia patients given the most appropriate initial antibiotic(s),empty,309,278
pneumonia patients assessed and given influenza vaccination,empty,310,279
children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,9 patients,311,280
children and their caregivers who received a home management plan of care document while hospitalized for asthma,9 patients,312,281
heart attack patients given aspirin at arrival,81 patients,313,282
heart attack patients given aspirin at discharge,73 patients,314,283
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),14 patients,315,284
heart attack patients given smoking cessation advice/counseling,29 xatients,316,285
heart attack patients given beta blocker at discharge,67 patients,317,286
heart attack patients given fibrinolytic medication within 30 minutes of arrival,1 patients,318,287
heart attack patients given pci within 90 minutes of arrival,15 patients,319,288
heart failure patients given discharge instructions,142 patients,320,289
heart failure patients given an evaluation of left ventricular systolic (lvs) function,157 patients,321,290
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),49 patients,322,291
heart failure patients given smoking cessation advice/counseling,41 patients,323,18
pneumonia patients assessed and given pneumococcal vaccination,110 patients,324,292
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,102 patients,325,293
pneumonia patients given smoking cessation advice/counseling,83 patients,326,294
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,145 patients,327,295
pneumonia patients given the most appropriate initial antibiotic(s),99 patients,328,296
pneumonia patients assessed and given influenza vaccination,87 patients,329,297
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,23 patients,330,298
heart failure patients given an evaluation of left ventricular systolic (lvs) function,342 patients,331,299
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),94 patients,332,300
heart failure patients given smoking cessation advice/counseling,62 patients,333,301
pneumonia patients assessed and given pneumococcal vaccination,166 patients,334,302
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,152 patients,335,303
pneumonia patients given smoking cessation advice/counseling,77 patients,336,304
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,146 patients,337,305
pneumonia patients given the most appropriate initial antibiotic(s),112 patients,338,185
pneumonia patients assessed and given influenza vaccination,128 patients,339,306
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,147 patients,340,307
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,950 patients,341,308
surgery patients who were given the  right kind  of antibiotic to help prevent infection,957 patients,342,309
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),882 patients,343,310
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,165 patients,344,311
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),1295 patients,345,312
surgery pxtients whose doctors ordered trextments to prevent blood clots xfter certxin types of surgeries,497 patients,346,313
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,497 patients,347,314
heart attack patients given aspirin at arrival,239 patients,348,315
heart attack patients given aspirin at discharge,260 patients,349,316
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),41 patients,350,317
heart attack patients given smoking cessation advice/counseling,63 patients,351,318
heart attack patients given beta blocker at discharge,242 patients,352,319
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,205 patients,353,320
heart attack patients given aspirin at arrival,1x patients,354,321
heart attack patients given aspirin at discharge,7 patients,355,322
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),2 patients,356,45
heart attack patients given smoking cessation advice/counseling,1 patients,357,323
heart attack patients given beta blocker at discharge,8 patients,358,324
heart attack patients given fibrinolytic medication within 30 minutes of arrival,1 patients,359,287
heart attack patients given pci within 90 minutes of arrival,0 patients,360,14
heart failure patients given discharge instructions,48 patients,361,325
heart failure patients given an evaluation of left ventricular systolic (lvs) function,59 patients,362,326
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),13 patients,363,327
heart failure patients given smoking cessation advice/counseling,14 patients,364,328
pneumonia patients assessed and given pneumococcal vaccination,66 patients,365,329
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,59 patients,366,330
