article_language,article_jcreated_at,original_index,unique_index
eng,11/1/14,136,88
,1/1/05,137,54
,1/1/14,138,89
eng,1/1/14,139,41
eng,1/1/11,140,14
eng,1/1/09,141,5
,1/1/11,142,13
eng,1/1/05,143,17
eng,3/1/07,144,90
"Chinese     Chinese, English",1/1/12,145,91
,,146,38
eng,1/1/14,147,41
eng,8/1/65,148,92
eng,5/1/04,149,93
,1/1/07,150,48
eng,10/1/12,151,94
dut,5/28/05,152,95
eng,1/1/99,153,66
English,1/1/76,154,96
eng,6/30/07,155,97
,1/1/09,156,10
eng,12/1/13,157,20
cze,1/1/13,158,98
English,1/1/14,159,34
,,160,38
eng,5/1/14,161,99
,1/1/14,162,89
,1/1/11,163,13
eng,1/1/95,164,100
,1/1/07,165,48
,1/1/10,166,42
eng,8/1/08,167,101
,1/1/13,168,85
,,169,38
eng,7/1/06,170,102
eng,1/1/05,171,17
eng,12/1/14,172,21
English,1/1/93,173,103
English; ABSTRACT LANGUAGE:English,1/1/02,174,104
eng,6/30/98,175,105
eng,1/1/92,176,106
,1/1/09,177,10
eng,1/1/14,178,41
eng,10/1/13,179,107
English,1/1/14,180,34
ENG,2/17/10,181,108
,,182,38
Korean,1/1/07,183,109
,1/1/12,184,23
English,1/1/12,185,110
,,186,38
,1/1/10,187,42
,1/1/12,188,23
English,1/1/01,189,111
,1/1/13,190,85
eng,1/1/09,191,5
,3/1/06,192,112
eng,8/2/06,193,113
,1/1/12,194,23
eng,1/1/09,195,5
ENG,8/13/14,196,114
eng,1/1/12,197,16
eng,7/1/14,198,115
eng,4/1/04,199,116
eng,12/1/14,200,21
,1/1/13,201,85
eng,7/1/07,202,117
English,1/1/06,203,118
eng,1/1/13,204,12
English,1/1/13,205,78
,,206,38
,,207,38
eng,1/1/95,208,100
ENG,9/10/15,209,119
eng,3/1/11,210,120
eng,1/1/94,211,121
dan,1/1/02,212,122
,,213,38
eng,10/1/12,214,94
eng,1/1/12,215,16
,1/1/93,216,123
,1/1/08,217,33
,1/1/10,218,42
,1/1/06,219,9
eng,11/1/98,220,124
,1/1/99,221,125
,,222,38
eng,1/1/09,223,5
,,224,38
,,225,38
eng,9/1/13,226,126
eng,6/1/01,227,127
,1/1/06,228,9
,,229,38
,1/1/06,230,9
eng,7/1/14,231,115
eng,1/1/09,232,5
eng,1/1/12,233,16
eng,1/1/13,234,12
eng,1/1/12,235,16
eng,12/1/03,236,128
ger,2/1/96,237,129
eng,1/1/14,238,41
eng,11/1/01,239,130
eng,1/1/07,240,69
eng,2/1/12,241,82
eng,1/1/14,242,41
,,243,38
eng,1/1/13,244,12
,1/1/13,245,85
eng,1/1/10,246,62
ENGPOR,12/1/08,247,131
eng,2/15/13,248,132
,,249,38
,9/1/02,250,133
,1/1/09,251,10
English,1/1/11,252,8
,1/1/97,253,40
eng,3/28/73,254,134
eng,10/1/13,255,107
eng,4/1/14,256,73
,1/1/14,257,89
eng,5/1/14,258,99
English,1/1/12,259,110
,10/1/06,260,135
English,1/1/75,261,136
ger,7/1/05,262,137
eng,1/1/05,263,17
English,1/1/07,264,138
eng,2/1/06,265,139
eng,7/1/04,266,140
,1/1/15,267,141
English,1/1/14,268,34
,1/1/03,269,142
,,270,38
,1/1/10,271,42
,1/1/98,272,143
,1/1/11,273,13
,,274,38
,1/1/11,275,13
,1/1/89,276,144
eng,5/1/02,277,145
eng,11/1/11,278,146
,1/1/15,279,141
eng,8/20/13,280,147
,1/1/11,281,13
eng,9/1/14,282,77
,1/1/14,283,89
,1/1/07,284,48
,1/1/92,285,70
eng,10/1/13,286,107
,1/1/14,287,89
eng,1/1/12,288,16
English,1/1/14,289,34
eng,1/1/96,290,148
eng,1/1/15,291,52
eng,2/1/09,292,35
,,293,38
,1/1/11,294,13
eng,3/1/14,295,24
English,1/1/06,296,118
eng,1/1/91,297,149
English,1/1/14,298,34
eng,11/1/13,299,150
,1/1/04,300,151
English,1/1/07,301,138
eng,1/1/10,302,62
,1/1/02,303,152
,,304,38
eng,1/1/93,305,153
,,306,38
English,1/1/03,307,154
eng,12/1/01,308,155
English,1/1/15,309,11
,,310,38
English,1/1/12,311,110
ENG,10/8/15,312,156
,1/1/03,313,142
eng,1/1/10,314,62
eng,2/1/14,315,157
English,1/1/93,316,103
,1/1/09,317,10
eng,6/1/04,318,158
eng,6/1/14,319,159
,1/1/03,320,142
eng,1/1/13,321,12
eng,5/1/13,322,160
ENG,1/7/15,323,161
,1/1/06,324,9
,,325,38
eng,5/1/12,326,162
,,327,38
,1/1/10,328,42
,,329,38
,1/1/13,330,85
eng,12/1/09,331,163
,1/1/06,332,9
chi,1/1/07,333,164
eng,12/1/97,334,165
eng,9/1/00,335,166
eng,10/1/05,336,167
,1/1/12,337,23
eng,1/1/04,338,168
,1/1/78,339,169
ENG,10/9/15,340,170
eng,1/1/88,341,171
,,342,38
eng,9/1/09,343,172
,,344,38
,1/1/05,345,54
eng,6/1/01,346,127
eng,3/1/09,347,67
eng,5/1/12,348,162
eng,1/1/09,349,5
English,1/1/12,350,110
,1/1/98,351,143
English,1/1/15,352,11
eng,1/1/12,353,16
eng,8/1/15,354,173
,1/1/10,355,42
ENG,3/7/15,356,174
eng,7/1/08,357,175
eng,1/1/01,358,176
,,359,38
ENG,2/28/14,360,177
fre,1/1/06,361,178
eng,2/1/13,362,179
eng,10/15/13,363,180
,1/1/12,364,23
eng,1/1/14,365,41
,1/1/09,366,10
jpn,10/1/94,367,181
eng,1/1/10,368,62
English,1/1/11,369,8
eng,3/1/84,370,182
eng,9/2/14,371,183
,1/1/12,372,23
English,1/1/14,373,34
,1/1/05,374,54
eng,7/1/14,375,115
English,1/1/15,376,11
eng,1/1/12,377,16
,1/1/96,378,184
,1/1/04,379,151
eng,5/1/06,380,185
eng,9/1/99,381,186
jpn,8/1/05,382,187
,1/1/12,383,23
eng,1/1/09,384,5
,1/1/85,385,188
,1/1/07,386,48
,1/1/05,387,54
,,388,38
eng,1/1/12,389,16
eng,1/1/01,390,176
eng,2/1/81,391,189
spa,7/1/08,392,190
por,12/1/08,393,191
,1/1/12,394,23
eng,8/1/12,395,192
eng,4/1/14,396,73
eng,1/1/11,397,14
,,398,38
eng,3/1/14,399,24
eng,1/1/13,400,12
eng,2/1/14,401,157
English,1/1/14,402,34
,1/1/12,403,23
eng,2/1/13,404,179
eng,12/1/98,405,193
,4/1/09,406,194
eng,7/1/13,407,195
,1/1/04,408,151
German,1/1/97,409,196
eng,1/1/10,410,62
,3/1/06,411,112
,11/1/10,412,197
,1/1/00,413,198
,,414,38
eng,7/15/14,415,199
eng,2/1/13,416,179
eng,3/1/99,417,57
eng,1/1/04,418,168
,,419,38
,1/1/08,420,33
eng,1/1/63,421,200
,1/1/12,422,23
eng,1/1/15,423,52
,1/1/09,424,10
,1/1/95,425,201
,,426,38
tur,12/1/09,427,202
,8/13/10,428,203
English,1/1/97,429,204
,1/1/00,430,198
eng,1/1/07,431,69
,1/1/11,432,13
English,1/1/13,433,78
eng,1/1/01,434,176
eng,1/1/08,435,55
eng,1/1/14,436,41
English,1/1/11,437,8
,1/1/15,438,141
eng,6/17/02,439,205
,,440,38
eng,4/1/14,441,73
eng,6/1/14,442,159
,1/1/07,443,48
,1/1/07,444,48
ENG,10/20/14,445,206
eng,1/1/13,446,12
English,1/1/07,447,138
eng,5/1/14,448,99
eng,1/1/03,449,207
eng,5/1/09,450,208
eng,9/1/12,451,209
eng,1/1/10,452,62
eng,1/1/11,453,14
English,1/1/04,454,210
pol,1/1/07,455,211
eng,1/1/09,456,5
eng,12/1/12,457,212
,1/1/09,458,10
,1/1/09,459,10
,1/1/12,460,23
eng,11/1/13,461,150
eng,12/1/14,462,21
English,1/1/04,463,210
eng,1/1/13,464,12
eng,1/1/11,465,14
English,1/1/15,466,11
,5/1/11,467,213
,,468,38
,1/1/13,469,85
eng,1/1/13,470,12
eng,5/1/09,471,208
eng,4/3/15,472,214
eng,1/1/13,473,12
eng,7/1/12,474,215
eng,6/21/10,475,216
eng,3/1/14,476,24
ENG,8/26/10,477,217
eng,1/1/11,478,14
eng,4/1/09,479,218
eng,1/1/06,480,219
,1/1/99,481,125
,4/1/11,482,220
,6/1/96,483,221
eng,1/1/99,484,66
eng,1/1/00,485,76
eng,3/1/10,486,222
,,487,38
,,488,38
,,489,38
,1/1/14,490,89
eng,7/1/12,491,215
eng,9/1/10,492,223
,1/1/07,493,48
jpn,4/1/68,494,224
eng,8/1/13,495,225
,1/1/10,496,42
,1/1/05,497,54
,1/1/11,498,13
,1/1/04,499,151
dan,2/12/07,500,226
English,1/1/91,501,227
,1/1/11,502,13
,1/1/09,503,10
,,504,38
eng,3/1/08,505,228
,1/1/00,506,198
pol,1/1/67,507,229
English,1/1/13,508,78
,1/1/13,509,85
,1/1/02,510,152
eng,6/1/15,511,230
eng,1/1/13,512,12
,1/1/97,513,40
,,514,38
eng,4/1/14,515,73
,1/1/11,516,13
eng,8/1/13,517,225
eng,10/1/11,518,231
chi,10/26/05,519,232
engfre,1/1/77,520,233
,1/1/13,521,85
eng,1/1/00,522,76
eng,4/1/15,523,234
eng,10/3/14,524,235
eng,10/5/08,525,236
eng,3/1/08,526,228
,1/1/14,527,89
eng,1/1/14,528,41
eng,6/1/09,529,237
English,,530,238
eng,5/11/07,531,239
eng,12/19/13,532,240
ENG,5/22/14,533,241
eng,5/1/01,534,242
eng,3/1/00,535,243
,,536,38
,10/1/11,537,244
English,1/1/06,538,118
eng,1/1/04,539,168
eng,5/1/05,540,245
,,541,38
,1/1/95,542,201
,1/1/04,543,151
,,544,38
,1/1/05,545,54
English,1/1/06,546,118
,1/1/14,547,89
eng,3/1/92,548,246
ENG,7/28/14,549,247
ENG,7/24/15,550,248
,1/1/09,551,10
,,552,38
eng,1/1/07,553,69
eng,9/1/12,554,209
eng,6/1/12,555,249
English,1/1/10,556,250
,1/1/13,557,85
eng,1/1/98,558,251
eng,10/1/96,559,252
,1/1/11,560,13
,11/1/12,561,253
,1/1/04,562,151
eng,5/1/10,563,254
,1/1/11,564,13
eng,2/1/15,565,32
eng,1/1/05,566,17
,6/29/98,567,255
,1/1/10,568,42
eng,6/1/00,569,256
engpor,7/1/11,570,257
,1/1/12,571,23
heb,1/1/12,572,258
eng,1/1/96,573,148
eng,3/1/14,574,24
,1/1/05,575,54
eng,6/1/14,576,159
English,1/1/14,577,34
English,1/1/08,578,259
ita,7/1/07,579,260
eng,6/1/10,580,261
eng,4/1/14,581,73
,1/1/13,582,85
English,1/1/11,583,8
,,584,38
eng,10/1/09,585,262
eng,9/1/09,586,172
,12/1/03,587,263
,1/1/13,588,85
jpn,1/1/95,589,264
eng,1/1/13,590,12
,1/1/14,591,89
English,1/1/98,592,265
eng,1/1/05,593,17
,4/1/05,594,266
eng,1/1/10,595,62
eng,10/1/10,596,267
,1/1/02,597,152
eng,1/1/11,598,14
,1/1/14,599,89
eng,9/1/15,600,268
English,1/1/14,601,34
,8/1/07,602,269
eng,1/1/12,603,16
eng,10/1/14,604,39
eng,1/1/99,605,66
,1/1/09,606,10
,6/15/92,607,270
ger,12/1/70,608,271
eng,12/1/03,609,128
,9/1/14,610,272
eng,10/1/03,611,273
eng,1/1/86,612,274
,1/1/13,613,85
eng,4/1/11,614,275
eng,2/6/14,615,276
eng,9/1/04,616,277
,1/22/15,617,278
,1/1/08,618,33
English,1/1/14,619,34
English,1/1/06,620,118
ger,8/1/10,621,279
eng,1/1/05,622,17
,1/1/13,623,85
,1/1/11,624,13
eng,9/1/08,625,280
eng,5/1/90,626,281
eng,12/1/01,627,155
eng,12/1/13,628,20
English,1/1/15,629,11
English,1/1/11,630,8
,1/1/00,631,198
,1/1/13,632,85
,1/1/12,633,23
,,634,38
eng,1/1/03,635,207
,1/1/09,636,10
,1/1/09,637,10
eng,8/1/14,638,282
English,1/1/09,639,27
eng,3/27/14,640,283
,1/1/06,641,9
ENG,11/4/15,642,284
eng,11/1/11,643,146
eng,5/1/96,644,285
,,645,38
eng,3/1/12,646,286
eng,4/1/90,647,287
eng,1/1/07,648,69
eng,4/1/89,649,288
,7/2/08,650,289
eng,6/1/11,651,290
eng,1/1/10,652,62
,1/1/15,653,141
eng,1/1/13,654,12
,1/1/04,655,151
eng,10/1/08,656,291
eng,10/1/10,657,267
eng,3/1/15,658,292
eng,10/1/13,659,107
eng,7/1/14,660,115
,1/1/11,661,13
eng,5/1/11,662,293
eng,1/1/14,663,41
eng,5/1/12,664,162
Eng,1/1/15,665,294
"Chinese     English, Chinese",1/1/15,666,295
,2/1/13,667,296
,1/1/08,668,33
,1/1/07,669,48
,1/1/14,670,89
French,1/1/11,671,297
,,672,38
,1/1/09,673,10
eng,10/1/04,674,298
,1/1/11,675,13
eng,1/1/00,676,76
,1/1/07,677,48
,1/1/10,678,42
eng,8/1/08,679,101
,3/1/13,680,299
,1/1/13,681,85
English,1/1/13,682,78
eng,9/1/01,683,300
,1/1/10,684,42
eng,1/1/14,685,41
,1/1/14,686,89
eng,1/1/09,687,5
eng,7/1/09,688,301
jpn,1/1/81,689,302
eng,11/1/06,690,303
,1/1/08,691,33
English,1/1/14,692,34
ENG,6/1/97,693,304
eng,8/1/06,694,305
,1/1/14,695,89
,1/1/96,696,184
,1/1/08,697,33
eng,1/1/07,698,69
English,7/1/00,699,306
,1/1/12,700,23
English,1/1/14,701,34
eng,1/1/15,702,52
,,703,38
eng,1/1/14,704,41
eng,1/1/70,705,307
eng,6/1/12,706,249
eng,7/1/02,707,308
eng,2/1/93,708,309
eng,1/1/07,709,69
English,1/1/01,710,111
,,711,38
eng,1/1/12,712,16
eng,1/1/08,713,55
,10/1/13,714,310
eng,4/1/14,715,73
,1/1/02,716,152
eng,1/1/14,717,41
English,1/1/04,718,210
eng,1/1/08,719,55
,1/1/12,720,23
eng,1/1/15,721,52
,1/1/07,722,48
eng,10/1/12,723,94
,,724,38
,1/1/86,725,311
,,726,38
,1/1/75,727,312
,1/1/01,728,313
,10/1/11,729,244
,1/1/14,730,89
,1/1/08,731,33
eng,8/1/05,732,314
eng,1/1/14,733,41
eng,1/1/09,734,5
eng,1/1/02,735,315
eng,1/1/06,736,219
eng,1/1/10,737,62
,,738,38
eng,1/1/00,739,76
,1/1/10,740,42
eng,1/1/98,741,251
,1/1/05,742,54
,,743,38
eng,1/1/86,744,274
,1/1/13,745,85
Eng,1/1/14,746,316
,,747,38
,1/1/13,748,85
ger,5/1/11,749,317
eng,1/1/04,750,168
eng,8/1/02,751,318
,1/1/05,752,54
ENG,5/1/13,753,319
jpn,1/1/95,754,264
eng,1/1/10,755,62
eng,6/1/01,756,127
,,757,38
en,,758,320
,,759,38
eng,1/1/03,760,207
eng,7/1/07,761,117
eng,7/1/06,762,102
,1/1/12,763,23
eng,11/1/13,764,150
eng,4/1/09,765,218
,,766,38
jpn,9/1/98,767,321
ENG,7/4/14,768,322
eng,1/1/14,769,41
fre,9/1/08,770,323
eng,1/1/01,771,176
eng,7/1/14,772,115
eng,11/13/12,773,324
eng,2/1/82,774,325
eng,1/1/98,775,251
,6/1/13,776,326
,1/1/97,777,40
English     Italian,1/1/06,778,327
eng,5/1/02,779,145
eng,1/1/98,780,251
eng,6/1/10,781,261
,,782,38
,4/1/11,783,220
ita,7/1/12,784,328
,1/1/13,785,85
English,1/1/14,786,34
rus,3/1/71,787,329
eng,1/1/10,788,62
,1/1/01,789,313
eng,12/1/14,790,21
ENG,9/23/14,791,330
,1/1/00,792,198
,1/1/13,793,85
eng,5/1/98,794,331
eng,12/1/12,795,212
pt,,796,332
eng,9/1/04,797,277
,,798,38
eng,8/1/12,799,192
eng,11/1/14,800,88
eng,1/1/03,801,207
eng,1/1/93,802,153
English,1/1/05,803,333
,1/1/82,804,334
,,805,38
eng,2/10/14,806,335
eng,1/1/15,807,52
eng,3/1/08,808,228
,1/1/67,809,336
,1/1/12,810,23
,,811,38
English,1/1/14,812,34
eng,7/1/06,813,102
English,1/1/14,814,34
eng,1/1/14,815,41
English,1/1/13,816,78
English,1/1/88,817,337
eng,1/1/05,818,17
,,819,38
,1/1/14,820,89
eng,4/1/14,821,73
,1/1/04,822,151
eng,10/28/13,823,338
eng,4/1/11,824,275
eng,4/1/15,825,234
,1/1/08,826,33
eng,11/1/10,827,44
English,1/1/12,828,110
eng,4/1/15,829,234
English,1/1/03,830,154
eng,4/15/05,831,339
,,832,38
eng,10/1/07,833,340
eng,5/1/06,834,185
,1/1/13,835,85
eng,6/1/95,836,341
eng,3/1/10,837,222
eng,11/1/13,838,150
eng,1/1/99,839,66
,,840,38
eng,5/7/09,841,342
eng,1/1/14,842,41
,1/1/94,843,343
,1/1/14,844,89
English,1/1/10,845,250
eng,1/1/14,846,41
,1/1/11,847,13
eng,10/1/07,848,340
English,1/1/11,849,8
eng,5/1/07,850,344
,1/1/14,851,89
,2/16/10,852,345
eng,6/10/02,853,346
eng,1/1/14,854,41
eng,1/1/88,855,171
,1/1/10,856,42
,1/1/06,857,9
,1/1/09,858,10
,1/1/15,859,141
,1/1/14,860,89
ENG,3/22/14,861,347
spa,1/1/15,862,348
spa,7/7/14,863,349
English,1/1/10,864,250
eng,1/1/05,865,17
eng,1/1/06,866,219
eng,3/1/09,867,67
,1/1/10,868,42
eng,1/1/05,869,17
,1/1/02,870,152
eng,1/1/14,871,41
eng,9/1/97,872,350
eng,1/1/05,873,17
eng,1/1/14,874,41
eng,1/1/04,875,168
eng,1/1/93,876,153
,,877,38
eng,3/1/13,878,351
eng,5/1/01,879,242
eng,6/1/03,880,86
,1/1/11,881,13
,1/1/11,882,13
,1/1/89,883,144
,1/1/96,884,184
German,1/1/15,885,352
,1/1/06,886,9
ENG,10/24/14,887,353
eng,1/1/13,888,12
English; ABSTRACT LANGUAGE:English,1/1/09,889,354
,1/1/97,890,40
eng,1/1/03,891,207
eng,1/1/08,892,55
eng,6/1/12,893,249
,1/1/09,894,10
eng,1/1/98,895,251
,1/1/95,896,201
eng,1/1/05,897,17
,,898,38
eng,7/1/05,899,355
,1/1/10,900,42
,11/1/07,901,356
eng,9/1/13,902,126
English,1/1/09,903,27
eng,3/1/14,904,24
,1/1/14,905,89
,1/1/12,906,23
eng,9/1/14,907,77
English,1/1/05,908,333
eng,12/1/13,909,20
English,1/1/07,910,138
eng,6/1/15,911,230
English,1/1/00,912,357
eng,11/1/13,913,150
eng,3/1/14,914,24
,1/1/02,915,152
,1/1/98,916,143
eng,8/31/10,917,358
eng,3/1/02,918,359
eng,1/1/14,919,41
ita,9/1/94,920,360
,,921,38
,1/1/03,922,142
,,923,38
eng,4/1/15,924,234
English,1/1/93,925,103
,9/1/12,926,361
,,927,38
eng,1/1/86,928,274
English,1/1/01,929,111
eng,2/1/15,930,32
eng,7/10/13,931,362
,,932,38
,,933,38
,1/1/05,934,54
eng,1/1/15,935,52
eng,1/1/03,936,207
eng,1/1/87,937,363
eng,1/1/14,938,41
,1/1/08,939,33
English,1/1/14,940,34
eng,1/1/10,941,62
,,942,38
eng,5/1/11,943,293
,1/1/09,944,10
eng,1/1/11,945,14
,1/1/76,946,80
,,947,38
,,948,38
,1/1/12,949,23
eng,1/1/14,950,41
,1/1/14,951,89
pt,,952,332
eng,5/1/10,953,254
eng,1/1/10,954,62
,,955,38
,1/1/05,956,54
eng,10/1/13,957,107
,1/1/95,958,201
eng,5/1/15,959,364
,1/1/15,960,141
eng,6/1/05,961,365
,1/1/14,962,89
English,1/1/94,963,366
,1/1/13,964,85
eng,8/1/13,965,225
ger,10/1/03,966,367
,1/1/13,967,85
eng,1/1/91,968,149
English,1/1/91,969,227
English,1/1/13,970,78
English,1/1/13,971,78
fre,1/1/07,972,368
eng,6/1/14,973,159
eng,10/1/14,974,39
eng,9/1/15,975,268
,,976,38
eng,11/1/10,977,44
eng,1/1/93,978,153
eng,7/1/12,979,215
,8/1/09,980,369
eng,1/1/86,981,274
eng,1/1/10,982,62
eng,2/1/01,983,370
,1/1/13,984,85
,1/1/90,985,371
eng,1/1/13,986,12
eng,1/1/99,987,66
,1/1/05,988,54
eng,9/1/14,989,77
,1/1/00,990,198
eng,11/1/13,991,150
eng,4/1/14,992,73
,1/1/14,993,89
eng,6/1/02,994,372
eng,1/1/91,995,149
,1/1/07,996,48
ENG,10/27/14,997,373
English,1/1/11,998,8
,1/1/12,999,23
