beer_name,abv,original_index,unique_index,count
Truck Stop Honey Brown Ale,0.06%,178,176,1.0
Naked Pig Pale Ale,0.06%,179,177,1.0
Topcutter India Pale Ale,0.068,180,178,1.0
Field 41 Pale Ale,0.044000000000000004%,181,179,1.0
Grapefruit Sculpin,0.07%,182,180,1.0
Even Keel,0.038%,183,181,1.0
Ballast Point Pale Ale,0.052000000000000005%,184,182,1.0
Big Eye India Pale Ale,0.07,185,183,1.0
Longfin Lager,0.046,186,184,1.0
Sculpin IPA,0.07,187,185,1.0
All Nighter Ale,0.045,188,186,1.0
Banner American Rye,0.045%,189,187,1.0
Banner American Ale,0.035,190,188,1.0
Thai.p.a,0.07,191,189,1.0
Barrio Blanco,0.06,192,190,1.0
Barrio Tucson Blonde,0.045,193,191,1.0
Hop in the ‘Pool Helles,0.049%,194,192,1.0
Ultra Gnar Gnar IPA,0.067,195,193,1.0
In-Tents India Pale Lager,0.068,196,194,1.0
Lost Meridian Wit,0.05,197,195,1.0
Celestial Meridian Cascadian Dark Lager,0.051,198,196,1.0
Wagon Party,0.054,199,197,1.0
Sky-Five,0.067%,200,198,1.0
Stargrazer,0.05,201,199,1.0
Wonderstuff,0.054,202,200,1.0
Tarnation California-Style Lager,0.053,203,201,1.0
On the Count of 3 (2015),0.07%,204,202,1.0
Summer Swelter,0.047,205,203,1.0
Phantom Punch Winter Stout,0.068,206,204,1.0
Hayride Autumn Ale,0.066,207,205,1.0
Celsius Summer Ale (2012),0.047,208,206,1.0
Amber Road,0.055,209,207,1.0
Pamola Xtra Pale Ale,0.049%,210,208,1.0
Stowaway IPA,0.069,211,209,1.0
Hoptopus Double IPA,0.088,212,210,1.0
Watermelon Ale,0.05,213,211,1.0
Fenway American Pale Ale,0.057999999999999996%,214,212,1.0
Back Bay IPA,0.068%,215,213,1.0
Bunker Hill Blueberry Ale,0.048,216,214,1.0
Oberon,0.057999999999999996%,217,215,1.0
Smitten,0.06%,218,216,1.0
Winter White,0.05,219,217,1.0
Oberon,0.058,220,218,1.0
Two Hearted,0.07,221,219,1.0
Best Brown,0.058,222,220,1.0
Moar,0.044,223,221,1.0
Uber Lupin Schwarz IPA,0.083,224,222,1.0
Nordic Blonde,0.057%,225,223,1.0
Cold Press,0.06,226,224,1.0
Harness the Winter,0.072,227,225,1.0
14° ESB,0.056,228,226,1.0
Bent Hop Golden IPA,0.062,229,227,1.0
Bent Paddle Black Ale,0.06%,230,228,1.0
Venture Pils,0.05,231,229,1.0
Lost Sailor IPA,0.055,232,230,1.0
Steel Rail Extra Pale Ale,0.053,233,231,1.0
La Frontera Premium IPA,0.078%,234,232,1.0
Tejas Lager,0.047%,235,233,1.0
Number 22 Porter,0.064,236,234,1.0
Big Bend Hefeweizen,0.055999999999999994%,237,235,1.0
Terlingua Gold,0.06,238,236,1.0
Aprè Shred,0.081,239,237,1.0
Hemlock Double IPA,0.095%,240,238,1.0
West Portal Colorado Common Summer Ale,0.041,241,239,1.0
Disconnected Red,0.067,242,240,1.0
Big Elm IPA,0.07%,243,241,1.0
Gerry Dog Stout,0.065,244,242,1.0
413 Farmhouse Ale,0.06,245,243,1.0
Dark Star,0.08,246,244,1.0
Ryecoe,0.062,247,245,1.0
Blueberry Blonde,0.06,248,246,1.0
Galaxy IPA,0.075,249,247,1.0
Big River Pilsner,0.05,250,248,1.0
House Brand IPA,0.06,251,249,1.0
Big Sky IPA,0.062,252,250,1.0
Scape Goat Pale Ale,0.05%,253,251,1.0
Montana Trout Slayer Ale,0.05,254,252,1.0
Moose Drool Brown Ale,0.051,255,253,1.0
Powder Hound Winter Ale,0.072,256,254,1.0
Moose Drool Brown Ale (2011),0.051,257,255,1.0
Montana Trout Slayer Ale (2012),0.05,258,256,1.0
Big Sky IPA (2012),0.062,259,257,1.0
Summer Honey,0.047,260,258,1.0
Scape Goat Pale Ale (2010),0.05,261,259,1.0
Montana Trout Slayer Ale (2009),0.05,262,260,1.0
Moose Drool Brown Ale (2009),0.051%,263,261,1.0
Arcus IPA,0.069,264,262,1.0
Wavemaker,0.057999999999999996%,265,263,1.0
Jack Pine Savage,0.053,266,264,1.0
Forest Fire Imperial Smoked Rye,0.099%,267,265,1.0
Bad Axe Imperial IPA,0.098,268,266,1.0
Morning Wood,0.055,269,267,1.0
Bark Bite IPA,0.066,270,268,1.0
Jalapeno Pale Ale,0.055,271,269,1.0
Blown Out Brown,0.052,272,270,1.0
Single Hop Ale,0.063,273,271,1.0
Sawtooth Ale,0.054,274,272,1.0
Saucy Intruder,0.072,275,273,1.0
Deception,0.045%,276,274,1.0
Blackmarket Rye IPA,0.075,277,275,1.0
Black Market Hefeweizen,0.05,278,276,1.0
Aftermath Pale Ale,0.058,279,277,1.0
American India Red Ale,0.071,280,278,1.0
American Red Porter,0.071,281,279,1.0
American Red Saison,0.078,282,280,1.0
Colorado Red Ale,0.066,283,281,1.0
Saddle Bronc Brown Ale,0.048%,284,282,1.0
Bomber Mountain Amber Ale,0.046,285,283,1.0
Flying Sailor,0.073%,286,284,1.0
Nordskye,0.048,287,285,1.0
North Third Stout,0.06,288,286,1.0
Honey Lav,0.052,289,287,1.0
Coconut Brown Ale,0.068,290,288,1.0
51K IPA,0.07,291,289,1.0
Grand Rabbits,0.055,292,290,1.0
1800 Big Log Wheat (2012),0.05%,293,291,1.0
Double Play Pilsner,,294,292,
Brewerhood Brown Ale,0.055%,295,293,1.0
Last Call Imperial Amber Ale,0.08,296,294,1.0
Pernicious Double IPA,0.096,297,295,1.0
6-4-3 Double Play Pilsner,0.052,298,296,1.0
N Street Drive-In 50th Anniversary IPA,,299,297,
467 Ethan's Stout,0.05,300,298,1.0
1335 Wicked Snout,0.064,301,299,1.0
543 Skull Creek Fresh Hopped Pale Ale,0.045,302,300,1.0
1327 Pod's ESB,0.056,303,301,1.0
1327 Pod's ESB,0.055999999999999994%,304,302,2.0
1327 Pod's ESB,0.055999999999999994%,305,302,2.0
834 Happy As Ale,0.046,306,303,1.0
Yellow Collar,0.059,307,304,1.0
Green Collar,0.059000000000000004%,308,305,1.0
Quarter Mile Double IPA,0.08%,309,306,1.0
Full Nelson Pale Ale,0.059,310,307,1.0
Steel Wheels ESB,0.065,311,308,1.0
Blue Mountain Classic Lager,0.053,312,309,1.0
Full Nelson Pale Ale (2010),0.059,313,310,1.0
Kölsch 151,0.049,314,311,1.0
Professor Black,,315,312,
Little Boss,,316,313,
Van Dayum!,,317,314,
Spirit Animal,,318,315,
Toxic Sludge,0.07,319,316,1.0
Blue Point White IPA,0.06%,320,317,1.0
Blue Point Summer Ale,0.044,321,318,1.0
Toasted Lager,0.055,322,319,1.0
Bohemian Export Lager,0.06,323,320,1.0
Altus Bohemes Altbier,0.053,324,321,1.0
Cherny Bock,0.04,325,322,1.0
Czech Pilsner,0.05%,326,323,1.0
Viennese Lager,0.05,327,324,1.0
Mad Manatee IPA,0.065,328,325,1.0
Killer Whale Cream Ale,0.055,329,326,1.0
Duke's Cold Nose Brown Ale,0.06%,330,327,1.0
Longhop IPA,0.042%,331,328,1.0
Lucky Buck,0.04,332,329,1.0
Bomb Lager (New Recipe),0.051,333,330,1.0
Bomb Lager (Old Recipe),0.045,334,331,1.0
Firestarter India Pale Ale,0.066,335,332,2.0
Kilt Dropper Scotch Ale,0.075,336,333,1.0
Wood Splitter Pilsner,0.048,337,334,1.0
Gyptoberfest,0.056,338,335,1.0
Farmer Wirtz India Pale Ale,0.07,339,336,1.0
Slow & Steady Golden Ale,0.047,340,337,1.0
Pink-I Raspberry IPA,0.068,341,338,1.0
Moe's Original Bar B Que 'Bama Brew Golden Ale,0.047,342,339,1.0
Live Local Golden Ale,0.047,343,340,1.0
Screaming Eagle Special Ale ESB,0.048,344,341,1.0
Dirtbag Dunkel,0.049%,345,342,1.0
Kindler Pale Ale,0.053,346,343,1.0
Mistress Winter Wheat,0.064%,347,344,1.0
Tent Pole Vanilla Porter,0.061,348,345,1.0
Awry Rye Pale Ale,0.058,349,346,1.0
Demshitz Brown Ale,0.057999999999999996%,350,347,1.0
Wood Splitter Pilsner (2012),0.048,351,348,1.0
Brush Creek Blonde,0.048,352,349,1.0
Firestarter India Pale Ale,0.066,353,332,2.0
Noche Dulce,0.071,354,350,1.0
Porch Rocker,0.045,355,351,1.0
Rebel IPA,0.065,356,352,1.0
Cold Snap,0.055,357,353,1.0
Samuel Adams Winter Lager,0.055999999999999994%,358,354,1.0
Boston Lager,0.049,359,355,3.0
Boston Lager,0.049,360,355,3.0
Samuel Adams Octoberfest,0.053,361,356,1.0
Samuel Adams Summer Ale,0.053,362,357,1.0
Boston Lager,0.049,363,355,3.0
Hazed & Infused,0.049,364,358,1.0
Hoopla Pale Ale,0.057,365,359,1.0
Hazed & Infused (2010),0.049,366,360,1.0
Heavy Lifting,0.062,367,361,1.0
1492,0.065,368,362,1.0
Mango Ginger,0.058,369,363,1.0
Passenger,0.047%,370,364,1.0
Plum St. Porter,0.06%,371,365,1.0
Plum St. Porter,0.057,372,366,1.0
Bozone HopZone IPA,0.07,373,367,1.0
Bozone Hefe Weizen,0.06,374,368,1.0
Bozone Select Amber Ale,0.055%,375,369,1.0
Evil Owl,0.052,376,370,1.0
Post Time Kölsch,0.05,377,371,1.0
Agave Wheat,0.042,378,372,1.0
SummerBright Ale,0.045,379,373,1.0
Lucky U IPA,0.062%,380,374,1.0
Avalanche Ale,0.054,381,375,1.0
"You're My Boy, Blue",0.05,382,376,1.0
Last Stop IPA,0.072,383,377,1.0
Rollin Dirty Red Ale,0.05%,384,378,1.0
Are Wheat There Yet?,0.055,385,379,1.0
Insert Hop Reference,0.057999999999999996%,386,380,1.0
Manitou Amber,0.053,387,381,1.0
Belfort,0.067,388,382,1.0
Star Runner,0.06,389,383,1.0
Tart Side of the Barrel,0.098,390,384,1.0
Linnaeus Mango IPA,0.06,391,385,1.0
Beasts A'Burnin',0.07,392,386,1.0
Verdun,0.077,393,387,1.0
Barrel Aged Triomphe,0.065,394,388,1.0
Cherry Doppelbock,0.065,395,389,1.0
Tropical Saison,0.065%,396,390,1.0
Beach Patrol,0.065,397,391,1.0
Nuit Serpent,0.05,398,392,1.0
Paris,0.09,399,393,1.0
The Grand Army,0.055,400,394,1.0
Acidulated Trip,0.059,401,395,1.0
Root Stock,0.066%,402,396,1.0
Mind Games,0.040999999999999995%,403,397,1.0
Sous Chef,0.08199999999999999%,404,398,1.0
Dubbelicious,0.065,405,399,1.0
Psychopomp,0.062%,406,400,1.0
Fat Paczki,,407,401,
Earth-Like Planets,,408,402,
Ski Patrol,0.061,409,403,1.0
Viking Ice Hole,0.063,410,404,1.0
Rye Porter,0.055999999999999994%,411,405,1.0
Wizard Burial Ground,0.099,412,406,1.0
Smoky Wheat,0.051,413,407,1.0
BRIPA,0.062,414,408,1.0
Mela,0.062,415,409,1.0
W.I.P.A Snappa,0.053,416,410,1.0
Pepper in the Rye,0.063,417,411,1.0
Moe Lasses',0.064,418,412,1.0
Pumpkin Tart,0.07%,419,413,1.0
Undertaker,0.067%,420,414,1.0
Undertaker (2014),0.067,421,415,1.0
Coq D'Or,0.05,422,416,1.0
North French,0.06,423,417,1.0
Agent a Deux,0.065,424,418,1.0
Belgian Wit,0.045%,425,419,1.0
Pothole Stout,0.063,426,420,1.0
Tree Bucket,0.093,427,421,1.0
Le Flaneur Ale,0.073,428,422,1.0
Maize & Blueberry,0.055999999999999994%,429,423,1.0
Trebuchet Double IPA,0.093,430,424,1.0
Contemplation,0.065,431,425,1.0
Black Rabbit,0.05%,432,426,1.0
Zaison,0.09%,433,427,1.0
Vivant Tripel,0.082,434,428,1.0
Tart Side of the Moon,0.098,435,429,1.0
Big Red Coq,0.06%,436,430,1.0
Hubris Quadrupel Anniversary Ale,0.099%,437,431,1.0
Plow Horse Belgian Style Imperial Stout,0.095,438,432,1.0
Escoffier Bretta Ale,0.092%,439,433,1.0
Contemplation (2012),0.065,440,434,1.0
Vivant Belgian Style Imperial Stout (2012),0.099,441,435,1.0
Big Red Coq (2012),0.062,442,436,1.0
Zaison (2012),0.09,443,437,1.0
Vivant Tripel (2012),0.092,444,438,1.0
Trebuchet Double IPA (2012),0.097,445,439,1.0
Kludde,0.085,446,440,1.0
Farm Hand,0.055%,447,441,1.0
Solitude,0.06%,448,442,1.0
Triomphe,0.065,449,443,1.0
Tampa Pale Ale,,450,444,
Orange Grove Wheat Ale,,451,445,
Broad Brook Ale,0.061,452,446,1.0
Northern Lights Amber Ale,0.05,453,447,1.0
Polar Pale Ale,0.052,454,448,1.0
Chugach Session Ale,0.048%,455,449,1.0
Fairweather IPA,0.061,456,450,1.0
East India Pale Ale,0.068%,457,451,1.0
Brooklyn Summer Ale,0.045,458,452,1.0
East India Pale Ale,0.068,459,453,1.0
Brooklyn Summer Ale (2011),0.045,460,454,1.0
Brooklyn Lager (16 oz.),0.052,461,455,1.0
Brooklyn Lager (12 oz.),0.052000000000000005%,462,456,1.0
Tour de Nez Belgian IPA (Current),0.08%,463,457,1.0
Roler Bock (Current),,464,458,
Black Adder IBA (Current),0.073,465,459,1.0
Very Noddy Lager (Current),0.099,466,460,1.0
Tule Duck Red Ale (Current),0.062%,467,461,1.0
Original Orange Blossom Ale (Current),0.057999999999999996%,468,462,1.0
Black Noddy Lager (Current),0.052,469,463,1.0
Cleveland Beer Week 2013,0.053%,470,464,1.0
Painted Turtle,0.045%,471,465,1.0
1836,0.06,472,466,1.0
Summer's Wit,0.06,473,467,1.0
More Cowbell,0.09,474,468,1.0
Wrath of Pele,0.065%,475,469,1.0
Black Beer'd,0.068,476,470,1.0
Mr. Tea,0.078,477,471,1.0
Pale Alement,0.055,478,472,2.0
Hopkick Dropkick,0.099,479,473,1.0
Kreamed Corn,0.06,480,474,1.0
Coconoats,0.065,481,475,1.0
Joey Wheat,0.068%,482,476,1.0
3:33 Black IPA,0.072,483,477,1.0
MCA,0.068,484,478,1.0
Pale Alement,0.055,485,472,2.0
Couch Select Lager,0.05,486,479,1.0
Mucho Aloha Hawaiian Pale Ale,0.056,487,480,1.0
Heinnieweisse Weissebier,0.049%,488,481,1.0
Snapperhead IPA,0.068,489,482,1.0
Moo Thunder Stout,0.049,490,483,1.0
Porkslap Pale Ale,0.043%,491,484,1.0
Blackbeard,0.093,492,485,1.0
Rye Knot,0.062,493,486,1.0
Dead Arm,0.06,494,487,1.0
32°/50° Kölsch,0.048,495,488,1.0
HopArt,0.077,496,489,1.0
Boy King,0.097,497,490,1.0
Gran Sport,0.052,498,491,1.0
Horny Toad Cerveza,0.053,499,492,1.0
Native Amber,0.063,500,493,1.0
F5 IPA,0.068%,501,494,1.0
Native Amber (2013),0.063,502,495,1.0
Horny Toad Cerveza (2013),0.053,503,496,1.0
Hopportunity Knocks IPA,0.068%,504,497,1.0
Pilot Rock Porter,0.06,505,498,1.0
Caldera Pale Ale,0.055999999999999994%,506,499,1.0
Lawnmower Lager,0.039,507,500,1.0
Ashland Amber Ale (2009),0.054,508,501,1.0
Caldera IPA (2009),0.061,509,502,1.0
Caldera IPA (2007),0.061%,510,503,1.0
Caldera Pale Ale (2010),0.055999999999999994%,511,504,1.0
Caldera Pale Ale (2009),0.056,512,505,1.0
Caldera Pale Ale (2005),0.056,513,506,1.0
Caldera Pale Ale (2007),0.056,514,507,1.0
Caldera Pale Ale (2011),0.056,515,508,1.0
Ashland Amber Ale,0.054,516,509,1.0
Caldera IPA,0.061,517,510,1.0
Remain in Light,0.05,518,511,1.0
Flower Child (2014),0.065%,519,512,1.0
THP White (2006),,520,513,
THP Amber (2006),,521,514,
THP Light (2006),,522,515,
THP Dark (2006),,523,516,
Imperial Pumpkin Stout,0.099,524,517,1.0
Dead-Eye DIPA,0.09,525,518,1.0
Fisherman's IPA,0.055%,526,519,1.0
Fisherman's Pils,0.054,527,520,1.0
Fisherman's Brew,0.055%,528,521,1.0
Cape Cod Red,0.055,529,522,1.0
Beach Blonde,0.049%,530,523,1.0
Dark Voyage Black IPA (2013),0.065,531,524,1.0
Wisconsin Amber,0.052,532,525,1.0
Lake House,0.046%,533,526,1.0
Ghost Ship White IPA,0.056,534,527,1.0
Lake House,0.046,535,528,1.0
Mutiny IPA,0.062,536,529,1.0
Wisconsin Amber (1998),0.052000000000000005%,537,530,1.0
Island Wheat,0.042%,538,531,1.0
Wisconsin Amber (2013),0.052,539,532,1.0
U.S. Pale Ale,0.05,540,533,1.0
Supper Club Lager,,541,534,
Carolina Lighthouse (2007),0.04,542,535,1.0
Carolina Blonde (2006),0.05%,543,536,1.0
Carolina Blonde Light (2005),0.035,544,537,1.0
Santa's Secret,0.059,545,538,1.0
Flagship IPA,0.057%,546,539,1.0
Sky Blue Golden Ale,0.051,547,540,1.0
Epitome,0.099,548,541,1.0
Monkey Chased the Weasel,0.039,549,542,1.0
077XX,0.078,550,543,1.0
Boat Beer,0.042,551,544,1.0
Granny Smith Hard Apple Cider,0.069,552,545,1.0
Dry Hard Apple Cider,0.069,553,546,1.0
Farmer Ted's Cream Ale,0.056,554,547,1.0
Firewater India Pale Ale,0.052,555,548,2.0
White Zombie Ale,0.047,556,549,2.0
King Winterbolt Winter Ale,0.07,557,550,1.0
White Zombie Ale,0.047,558,549,2.0
Firewater India Pale Ale,0.052,559,548,2.0
Farmer Ted's Farmhouse Cream Ale,0.056,560,551,1.0
Whitecap Wit,0.048,561,552,1.0
Seiche Scottish Ale,0.078,562,553,1.0
Peanut Butter Jelly Time,0.057999999999999996%,563,554,1.0
King Coconut,0.054,564,555,1.0
Gone A-Rye,0.085,565,556,1.0
Special Release,,566,557,
Dankosaurus,0.068%,567,558,1.0
Scruffy's Smoked Alt,0.051%,568,559,1.0
Elliott's Phoned Home Pale Ale,0.051%,569,560,1.0
The Lawn Ranger,0.05,570,561,1.0
All American Blonde Ale,0.05%,571,562,1.0
All American Red Ale,0.05,572,563,1.0
Main St. Virginia Ale,0.05,573,564,2.0
Chin Music Amber Lager,0.045,574,565,1.0
Main St. Virginia Ale,0.05,575,564,2.0
Ray Ray’s Pale Ale,0.052,576,566,1.0
Chai Ale,0.051,577,567,1.0
Lucky Day IPA,0.072,578,568,1.0
Terrace Hill Double IPA,0.095,579,569,1.0
Catch 23,0.075,580,570,1.0
Stickin' In My Rye,0.07,581,571,1.0
Black Me Stout,0.06,582,572,1.0
Killer Kolsch,0.05,583,573,1.0
Missile IPA,0.07%,584,574,1.0
Enlighten,0.045,585,575,1.0
Ale Cider,0.065,586,576,1.0
Pail Ale,0.055,587,577,1.0
Englishman,0.045%,588,578,1.0
8 Barrel,0.08%,589,579,1.0
Oktoberfest,0.055,590,580,3.0
IPA #11,0.057%,591,581,1.0
Blood Orange Honey,0.057%,592,582,1.0
Lighthouse Amber,0.052,593,583,1.0
Bay of Bengal Double IPA (2014),0.089,594,584,1.0
Churchkey Pilsner Style Beer,0.049,595,585,1.0
First Press,0.05,596,586,1.0
Magic Apple,0.05%,597,587,1.0
Cubano Espresso,0.055,598,588,1.0
Operation Homefront,0.062,599,589,1.0
Wandering Pelican,0.082,600,590,1.0
Sugar Plum,0.055,601,591,1.0
Oktoberfest,0.055,602,580,3.0
Puppy's Breath Porter,0.06,603,592,1.0
Happening Now,0.045,604,593,1.0
Hopped on the High Seas (Hop #529),0.07,605,594,1.0
Hopped on the High Seas (Calypso),0.07,606,595,1.0
Wiregrass Post-Prohibition Ale,0.063,607,596,1.0
Dry-Hopped On The High Seas Caribbean-Style IPA,0.07%,608,597,1.0
Hopped on the High Seas (Citra),0.07,609,598,1.0
Hopped on the High Seas (Ahtanum),0.07,610,599,1.0
Gwar Beer,0.055,611,600,1.0
Tropical Heatwave,0.052,612,601,1.0
Humidor Series India Pale Ale,0.075,613,602,1.0
Jai Alai IPA Aged on White Oak,0.075,614,603,1.0
José Martí American Porter,0.08,615,604,1.0
