ProviderNumber,CountyName,original_index,unique_index,count
10007,covington,103,11,25
10007,covington,104,11,25
10007,covington,105,11,25
10007,covington,106,11,25
10007,covington,107,11,25
10007,covington,108,11,25
10007,covington,109,11,25
10007,covington,110,11,25
10007,covington,111,11,25
10007,covington,112,11,25
10007,covington,113,11,25
10007,covington,114,11,25
10007,covington,115,11,25
10007,covington,116,11,25
10007,covington,117,11,25
10007,covington,118,11,25
10008,crenshaw,119,12,24
10008,crenshaw,120,12,24
10008,crenshaw,121,12,24
10008,crenshaw,122,12,24
10008,crenshaw,123,12,24
10008,crenshaw,124,12,24
10008,crenshaw,125,12,24
10008,crenshaw,126,12,24
10008,crenshaw,127,12,24
10008,crenshaw,128,12,24
10008,crenshaw,129,12,24
10008,crenshaw,130,12,24
10008,crenshaw,131,12,24
10008,crenshaw,132,12,24
10008,crenshaw,133,12,24
10008,crenshaw,134,12,24
10008,crenshaw,135,12,24
10008,crxnshaw,136,13,1
10008,crenshaw,137,12,24
10008,crenshaw,138,12,24
10008,crenshaw,139,12,24
10008,crenshaw,140,12,24
10008,crenshaw,141,12,24
10008,crenshaw,142,12,24
10008,crenshaw,143,12,24
10009,morgan,144,14,25
10009,morgan,145,14,25
10009,morgan,146,14,25
10009,morgan,147,14,25
10009,morgan,148,14,25
10009,morgan,149,14,25
10009,morgan,150,14,25
10009,morgan,151,14,25
10009,morgan,152,14,25
10009,morgan,153,14,25
10009,morgan,154,14,25
10009,morgan,155,14,25
10009,morgan,156,14,25
10009,morgan,157,14,25
10009,morgan,158,14,25
10009,morgan,159,14,25
10009,morgan,160,14,25
10009,morgan,161,14,25
10009,morgan,162,14,25
10009,morgan,163,14,25
10009,morgan,164,14,25
10009,morgan,165,14,25
10009,morgan,166,14,25
10009,morgan,167,14,25
10009,morgan,168,14,25
10010,marshall,169,15,25
10010,marshall,170,15,25
10010,marshall,171,15,25
10010,marshall,172,15,25
10010,marshall,173,15,25
10010,marshall,174,15,25
10010,marshall,175,15,25
10010,marshall,176,15,25
10010,marshall,177,15,25
10010,marshall,178,15,25
10010,marshall,179,15,25
10010,marshall,180,15,25
10010,marshall,181,15,25
10010,marshall,182,15,25
10010,marshall,183,15,25
10010,marshall,184,15,25
10010,marshall,185,15,25
10010,marshall,186,15,25
10010,marshall,187,15,25
10010,marshall,188,15,25
10010,marshall,189,15,25
10010,marshall,190,15,25
10010,marshall,191,15,25
10010,marshall,192,15,25
10010,marshall,193,15,25
10011,jefferson,194,16,23
10011,jefferson,195,16,23
10011,jefferson,196,16,23
10011,jefferson,197,16,23
10011,jefferson,198,16,23
10011,jefferson,199,16,23
10011,jefferson,200,16,23
10011,jefferson,201,16,23
10011,jefferson,202,16,23
10011,jefferson,203,16,23
10011,jefferson,204,16,23
10011,jefferson,205,16,23
10011,jefferson,206,16,23
10011,jefferson,207,16,23
10011,jefferson,208,16,23
10011,jefferson,209,16,23
10011,jefferson,210,16,23
10011,jefferson,211,16,23
10011,jefferson,212,16,23
x00xx,jefferson,213,17,1
10011,jefferson,214,16,23
10011,jefferson,215,16,23
10011,jeffersxn,216,18,1
10011,jefferson,217,16,23
10011,jefferson,218,16,23
10012,de kalb,219,19,21
10012,de kalb,220,19,21
10012,dx kalb,221,20,2
10012,de kalb,222,19,21
10012,xe kalb,223,21,2
10012,de kalb,224,19,21
10012,de kalb,225,19,21
10012,de kalb,226,19,21
10012,dx kalb,227,20,2
10012,de kalb,228,19,21
10012,de kalb,229,19,21
10012,de kalb,230,19,21
10012,de kalb,231,19,21
10012,de kalb,232,19,21
10012,de kalb,233,19,21
10012,de kalb,234,19,21
10012,de kalb,235,19,21
10012,de kalb,236,19,21
10012,de kalb,237,19,21
10012,xe kalb,238,21,2
10012,de kalb,239,19,21
10012,de kalb,240,19,21
10012,de kalb,241,19,21
10012,de kalb,242,19,21
10012,de kalb,243,19,21
x00x5,clarke,244,22,1
10015,clarke,245,23,22
10015,clarke,246,23,22
10015,clarke,247,23,22
10015,clarke,248,23,22
10015,clarke,249,23,22
10015,clarke,250,23,22
10015,clarke,251,23,22
10015,xlarke,252,24,1
1xx15,clarke,253,25,1
10015,clarke,254,23,22
10015,clarke,255,23,22
10015,clarke,256,23,22
10015,clarke,257,23,22
10015,clarke,258,23,22
10015,clarke,259,23,22
10015,clarke,260,23,22
10015,clarke,261,23,22
10015,clarke,262,23,22
10015,clarke,263,23,22
10015,clarke,264,23,22
10015,clarke,265,23,22
10015,clarke,266,23,22
10015,clarke,267,23,22
10015,clarke,268,23,22
10016,shelby,269,26,24
10016,shelby,270,26,24
10016,shelby,271,26,24
10016,shelby,272,26,24
1xx16,shelby,273,27,1
10016,shelby,274,26,24
10016,shelby,275,26,24
10016,shelby,276,26,24
10016,shelby,277,26,24
10016,shelby,278,26,24
10016,shelby,279,26,24
10016,shelby,280,26,24
10016,shelby,281,26,24
10016,shelby,282,26,24
10016,shelby,283,26,24
10016,shelby,284,26,24
10016,shelby,285,26,24
10016,shelby,286,26,24
10016,shelby,287,26,24
10016,shelby,288,26,24
10016,shelby,289,26,24
10016,shelby,290,26,24
10016,shelby,291,26,24
10016,shelby,292,26,24
10016,shelby,293,26,24
10018,jefferson,294,0,25
10018,jefferson,295,0,25
10018,jefferson,296,0,25
10018,jefferson,297,0,25
10018,jefferson,298,0,25
10018,jefferson,299,0,25
10018,jefferson,300,0,25
10018,jefferson,301,0,25
10018,jefferson,302,0,25
10018,jefferson,303,0,25
10018,jefferson,304,0,25
10018,jefferson,305,0,25
10018,jefferson,306,0,25
10018,jefferson,307,0,25
10018,jefferson,308,0,25
10018,jefferson,309,0,25
10018,jefferson,310,0,25
10038,calhoun,311,28,25
10038,calhoxn,312,29,1
10038,calhoun,313,28,25
100x8,calhoun,314,30,1
10038,calhoun,315,28,25
10038,calhoun,316,28,25
10038,calhoun,317,28,25
10038,calhoun,318,28,25
10038,calhoun,319,28,25
10038,calhoun,320,28,25
10038,calhoun,321,28,25
10038,calhoun,322,28,25
10038,calhoun,323,28,25
10038,caxhoun,324,31,1
10038,calhoun,325,28,25
10038,calhoun,326,28,25
10038,calhoun,327,28,25
10038,calhoun,328,28,25
10038,calhoun,329,28,25
10038,calhoun,330,28,25
10055,houston,331,32,16
10055,houston,332,32,16
10055,houston,333,32,16
10055,houston,334,32,16
10055,houston,335,32,16
10055,houston,336,32,16
10055,houston,337,32,16
10055,houston,338,32,16
10055,houston,339,32,16
10055,houston,340,32,16
10055,houston,341,32,16
10055,houston,342,32,16
10055,houston,343,32,16
10055,houston,344,32,16
10055,houston,345,32,16
10055,housxon,346,33,1
10055,houston,347,32,16
10056,jefferson,348,34,5
10056,jefferson,349,34,5
10056,jefferson,350,34,5
10056,jefferson,351,34,5
10056,jefferson,352,34,5
10085,morgan,353,35,1
10086,marion,354,36,24
10086,marion,355,36,24
10086,marion,356,36,24
10086,marion,357,36,24
10086,marion,358,36,24
10086,marion,359,36,24
100x6,marion,360,37,1
10086,marion,361,36,24
10086,marion,362,36,24
10086,marion,363,36,24
10086,marion,364,36,24
10086,marion,365,36,24
10086,marion,366,36,24
10086,marion,367,36,24
10086,marion,368,36,24
10086,marion,369,36,24
10086,marion,370,36,24
10086,marion,371,36,24
10086,marion,372,36,24
10086,marion,373,36,24
10086,marion,374,36,24
10086,marion,375,36,24
10086,marion,376,36,24
10086,marion,377,36,24
10086,marion,378,36,24
10087,mobile,379,38,13
10087,mobile,380,38,13
10087,mobile,381,38,13
10087,mobile,382,38,13
10087,mobile,383,38,13
10087,mobile,384,38,13
10087,mobile,385,38,13
10087,mobile,386,38,13
10087,mobile,387,38,13
10087,mobile,388,38,13
10087,mobile,389,38,13
10087,mobile,390,38,13
10087,mobile,391,38,13
10108,autauga,392,39,19
10108,autauga,393,39,19
10108,autauga,394,39,19
10108,autauga,395,39,19
10108,autauga,396,39,19
10108,autauga,397,39,19
10108,autauga,398,39,19
10108,autauga,399,39,19
10108,autauga,400,39,19
10108,autauga,401,39,19
10108,autauga,402,39,19
10108,autauga,403,39,19
10108,autauga,404,39,19
10108,autauga,405,39,19
10108,autauga,406,39,19
10108,autauga,407,39,19
x0x08,autauga,408,40,1
10108,autauga,409,39,19
10108,autauga,410,39,19
10108,autauga,411,39,19
10158,franklin,412,41,2
10158,franklin,413,41,2
10164,talladega,414,42,17
10164,tallaxega,415,43,1
10164,talladega,416,42,17
10164,talladega,417,42,17
10164,talladega,418,42,17
10164,talladega,419,42,17
10164,talladega,420,42,17
10164,talladega,421,42,17
10164,talladega,422,42,17
10164,talladega,423,42,17
10164,talladega,424,42,17
10164,talladega,425,42,17
10164,talladega,426,42,17
10164,talladega,427,42,17
10164,talladega,428,42,17
10164,talladega,429,42,17
10164,talladega,430,42,17
10164,talladega,431,42,17
20017,anchorage,432,44,18
20017,anchorage,433,44,18
20017,anchorage,434,44,18
20017,anchorage,435,44,18
20017,anchorage,436,44,18
20017,anchorage,437,44,18
20017,anchorage,438,44,18
20017,anchorage,439,44,18
20017,anchorage,440,44,18
20017,anchorage,441,44,18
20017,anchorage,442,44,18
20017,anchorage,443,44,18
20017,anchorage,444,44,18
20017,anchorage,445,44,18
20017,anchorage,446,44,18
20017,anchorage,447,44,18
20017,anchorage,448,44,18
20017,anchorage,449,44,18
20018,bethel,450,45,2
20018,bethel,451,45,2
10019,jefferson,452,1,21
10019,jefferson,453,1,21
10019,jefferson,454,1,21
10019,jefferson,455,1,21
10019,jxffxrson,456,46,1
10019,xefferson,457,47,1
10019,jefferson,458,1,21
10019,jefferson,459,1,21
10019,jefferson,460,1,21
10019,jefferson,461,1,21
10019,jefferson,462,1,21
10019,jefferson,463,1,21
10019,jefferson,464,1,21
10019,jexxerson,465,48,1
10021,dale,466,49,25
10021,dale,467,49,25
10021,dale,468,49,25
10021,dale,469,49,25
10021,dale,470,49,25
10021,dale,471,49,25
10021,dale,472,49,25
10021,dale,473,49,25
10021,dale,474,49,25
10021,dale,475,49,25
10021,dale,476,49,25
10021,dale,477,49,25
10021,dale,478,49,25
10021,dale,479,49,25
10021,dale,480,49,25
10021,dale,481,49,25
10021,dale,482,49,25
10021,dale,483,49,25
10021,dale,484,49,25
10021,dale,485,49,25
10021,dale,486,49,25
10021,dale,487,49,25
10021,dale,488,49,25
10021,dale,489,49,25
10021,dale,490,49,25
10022,cherokee,491,50,23
10022,cherokee,492,50,23
10022,cherokee,493,50,23
10022,cherokee,494,50,23
10022,cherokee,495,50,23
10022,cherokee,496,50,23
10022,cherokee,497,50,23
10022,cherokee,498,50,23
10022,cherokee,499,50,23
10022,cherokee,500,50,23
10022,cherokee,501,50,23
10022,chxrokxx,502,51,2
10022,cherokee,503,50,23
10022,cherokee,504,50,23
10022,cherokee,505,50,23
10022,cherokee,506,50,23
10022,cherokee,507,50,23
10022,cherokee,508,50,23
10022,cherokee,509,50,23
10022,cherokee,510,50,23
10022,cherokee,511,50,23
10022,cherokee,512,50,23
10022,chxrokxx,513,51,2
10022,cherokee,514,50,23
10022,cherokee,515,50,23
10023,montgomery,516,52,23
10023,montgomery,517,52,23
10023,montgomery,518,52,23
10023,montgomery,519,52,23
10023,montgomery,520,52,23
10023,montgomery,521,52,23
10023,montgomery,522,52,23
10023,montgomery,523,52,23
10023,montgomery,524,52,23
10023,montgomery,525,52,23
10023,montgomery,526,52,23
10023,monxgomery,527,53,1
10023,montgomery,528,52,23
10023,montgomery,529,52,23
10023,montgomery,530,52,23
10023,montgomery,531,52,23
10023,montgomery,532,52,23
10023,montgomery,533,52,23
10023,montgomery,534,52,23
10023,montgomery,535,52,23
10023,montgomery,536,52,23
10023,montgomery,537,52,23
10023,montgomery,538,52,23
10023,montgomery,539,52,23
10023,montgomexy,540,54,1
10024,montgomery,541,55,23
10024,montgomery,542,55,23
10024,montgomery,543,55,23
10024,montgomery,544,55,23
10024,montgomery,545,55,23
10024,montgomery,546,55,23
10024,montgomery,547,55,23
10024,montgomery,548,55,23
10024,montgomery,549,55,23
10024,montgomery,550,55,23
10024,monxgomery,551,56,1
10024,montgomery,552,55,23
10024,montgomery,553,55,23
10024,montgomery,554,55,23
10024,montgomery,555,55,23
10024,montgomery,556,55,23
10024,montgomery,557,55,23
10024,montgomery,558,55,23
1xx24,montgomery,559,57,1
10024,montgomery,560,55,23
10024,montgomery,561,55,23
10024,montgomery,562,55,23
10024,montgomery,563,55,23
10024,montgomery,564,55,23
10024,montgomery,565,55,23
10025,chambers,566,58,23
10025,chambers,567,58,23
10025,chambers,568,58,23
10025,chambers,569,58,23
10025,chambers,570,58,23
10025,chambers,571,58,23
10025,chambers,572,58,23
10025,chambers,573,58,23
10025,chambers,574,58,23
10025,chambers,575,58,23
10025,chambers,576,58,23
10025,chambers,577,58,23
10025,xhambers,578,59,1
10025,chambers,579,58,23
10025,chambers,580,58,23
10025,chambers,581,58,23
10025,chambers,582,58,23
10025,chambers,583,58,23
10025,chambers,584,58,23
10025,chambers,585,58,23
10025,chambers,586,58,23
10025,chambers,587,58,23
10025,chambers,588,58,23
10025,chambers,589,58,23
10025,chaxbers,590,60,1
10027,coffee,591,61,23
10027,coffee,592,61,23
10027,coffee,593,61,23
10027,coffee,594,61,23
10027,coffee,595,61,23
10027,coffee,596,61,23
10027,coffee,597,61,23
10027,coffee,598,61,23
10027,coffee,599,61,23
10027,coffee,600,61,23
10027,coffee,601,61,23
10027,coffxx,602,62,1
10027,coffee,603,61,23
10027,coffee,604,61,23
10027,coffee,605,61,23
10027,coffee,606,61,23
10027,coffee,607,61,23
x0027,coffee,608,63,1
10027,coffee,609,61,23
10027,coffee,610,61,23
10027,coffee,611,61,23
10027,coffee,612,61,23
10027,coffee,613,61,23
10027,coffee,614,61,23
10027,coffee,615,61,23
10029,lee,616,64,22
10029,lee,617,64,22
10029,lee,618,64,22
10029,lee,619,64,22
10029,lee,620,64,22
10029,lee,621,64,22
10029,lee,622,64,22
10029,lee,623,64,22
10029,lee,624,64,22
10029,lee,625,64,22
10029,lee,626,64,22
x0029,lee,627,65,1
10029,lee,628,64,22
10029,lee,629,64,22
10029,lee,630,64,22
10029,lee,631,64,22
10029,lee,632,64,22
10029,xee,633,66,1
10029,lee,634,64,22
10029,lee,635,64,22
10029,lee,636,64,22
10029,lee,637,64,22
10029,lee,638,64,22
1xx29,lee,639,67,1
10029,lee,640,64,22
10032,randolph,641,68,23
10032,randolph,642,68,23
10032,randolph,643,68,23
10032,randolph,644,68,23
1xx32,randolph,645,69,2
10032,randolph,646,68,23
10032,randolph,647,68,23
10032,randolph,648,68,23
10032,randolph,649,68,23
10032,randolph,650,68,23
10032,randolph,651,68,23
10032,randolph,652,68,23
10032,randolph,653,68,23
10032,randolph,654,68,23
1xx32,randolph,655,69,2
10032,randolph,656,68,23
10032,randolph,657,68,23
10032,randolph,658,68,23
10032,randolph,659,68,23
10032,randolph,660,68,23
10032,randolph,661,68,23
10032,randolph,662,68,23
10032,randolph,663,68,23
10032,randolph,664,68,23
10032,randolph,665,68,23
10033,jefferson,666,70,23
10033,jefferson,667,70,23
10033,jefferson,668,70,23
10033,jefferson,669,70,23
10033,jefferson,670,70,23
10033,jefferson,671,70,23
10033,jxffxrson,672,71,1
10033,jefferson,673,70,23
10033,jefferson,674,70,23
10033,jefferson,675,70,23
10033,jefferson,676,70,23
10033,jefferson,677,70,23
10033,jefferson,678,70,23
10033,jefferson,679,70,23
10033,jefferson,680,70,23
10033,jefferson,681,70,23
10033,jefferson,682,70,23
10033,jefferson,683,70,23
10033,jefferson,684,70,23
10033,jefferson,685,70,23
10033,jefferson,686,70,23
10033,jefferson,687,70,23
10033,jefferson,688,70,23
10033,jexxerson,689,72,1
10033,jefferson,690,70,23
10034,elmore,691,73,22
10034,elmoxe,692,74,1
10034,elmore,693,73,22
10034,elmore,694,73,22
10034,elmore,695,73,22
10034,elmore,696,73,22
10034,elmore,697,73,22
10034,elxore,698,75,1
10034,elmore,699,73,22
10034,elmore,700,73,22
10034,elmore,701,73,22
10034,elmore,702,73,22
10034,elmore,703,73,22
100x4,elmore,704,76,1
10034,elmore,705,73,22
10034,elmore,706,73,22
10034,elmore,707,73,22
10034,elmore,708,73,22
10034,elmore,709,73,22
10034,elmore,710,73,22
10034,elmore,711,73,22
10034,elmore,712,73,22
10034,elmore,713,73,22
10034,elmore,714,73,22
10034,elmore,715,73,22
10035,cullman,716,77,21
10035,cullman,717,77,21
10035,cullman,718,77,21
10035,cullman,719,77,21
10035,cullman,720,77,21
100x5,cullman,721,78,1
10035,cxllman,722,79,2
10035,cullman,723,77,21
1xx35,cullman,724,80,1
10035,cullman,725,77,21
10035,cullman,726,77,21
10035,cullman,727,77,21
10035,cullman,728,77,21
10035,cullman,729,77,21
10035,cxllman,730,79,2
10035,cullman,731,77,21
10035,cullman,732,77,21
10035,cullman,733,77,21
10035,cullman,734,77,21
10035,cullman,735,77,21
10035,cullman,736,77,21
10035,cullman,737,77,21
10035,cullman,738,77,21
10035,cullman,739,77,21
10035,cullman,740,77,21
10036,covington,741,81,23
10036,covington,742,81,23
10036,covington,743,81,23
10036,covington,744,81,23
10036,covington,745,81,23
10036,covington,746,81,23
10036,covington,747,81,23
10036,covington,748,81,23
10036,covington,749,81,23
10036,covington,750,81,23
10036,covington,751,81,23
10036,coxington,752,82,1
10036,covington,753,81,23
10036,covington,754,81,23
1xx36,covington,755,83,1
10036,covington,756,81,23
10036,covington,757,81,23
10036,covington,758,81,23
10036,covington,759,81,23
10036,covington,760,81,23
10036,covington,761,81,23
10036,covington,762,81,23
10036,covington,763,81,23
10036,covington,764,81,23
10036,covington,765,81,23
10038,calhoun,766,28,25
10038,calhoun,767,28,25
10038,calhoun,768,28,25
10038,calhoun,769,28,25
10038,calhoun,770,28,25
10038,calhoun,771,28,25
10038,calhoun,772,28,25
10038,calhoun,773,28,25
10039,madison,774,84,23
10039,madison,775,84,23
10039,madison,776,84,23
10039,madison,777,84,23
10039,madison,778,84,23
10039,madison,779,84,23
1003x,madison,780,85,1
10039,madison,781,84,23
10039,madison,782,84,23
10039,madison,783,84,23
10039,madison,784,84,23
10039,madisxn,785,86,1
10039,madison,786,84,23
10039,madison,787,84,23
10039,madison,788,84,23
1xx39,madison,789,87,1
10039,madison,790,84,23
10039,madison,791,84,23
10039,madison,792,84,23
100x9,madison,793,88,1
10039,madison,794,84,23
10039,madison,795,84,23
10039,madison,796,84,23
10039,madison,797,84,23
10039,madisox,798,89,1
10039,madison,799,84,23
10039,madison,800,84,23
10039,madison,801,84,23
10040,etowah,802,90,25
10040,etowah,803,90,25
10040,etowah,804,90,25
10040,etowah,805,90,25
10040,etowah,806,90,25
10040,etowah,807,90,25
10040,etowah,808,90,25
10040,etowah,809,90,25
10040,etowah,810,90,25
10040,etowah,811,90,25
10040,etowah,812,90,25
10040,etowah,813,90,25
10040,etowah,814,90,25
10040,etowah,815,90,25
10040,etowah,816,90,25
10040,etowah,817,90,25
10040,etowah,818,90,25
10040,etowah,819,90,25
10040,etowah,820,90,25
10040,etowah,821,90,25
10040,etowah,822,90,25
10040,etowah,823,90,25
10040,etowah,824,90,25
10040,etowah,825,90,25
10040,etowah,826,90,25
10043,chilton,827,91,25
10043,chilton,828,91,25
10043,chilton,829,91,25
10043,chilton,830,91,25
10043,chilton,831,91,25
10043,chilton,832,91,25
10043,chilton,833,91,25
10043,chilton,834,91,25
10043,chilton,835,91,25
10043,chilton,836,91,25
10043,chilton,837,91,25
10043,chilton,838,91,25
10043,chilton,839,91,25
10043,chilton,840,91,25
10043,chilton,841,91,25
10043,chilton,842,91,25
10043,chilton,843,91,25
10043,chilton,844,91,25
10043,chilton,845,91,25
10043,chilton,846,91,25
10043,chilton,847,91,25
10043,chilton,848,91,25
10043,chilton,849,91,25
10043,chilton,850,91,25
10043,chilton,851,91,25
10044,marion,852,92,24
10044,marion,853,92,24
10044,marion,854,92,24
10044,marion,855,92,24
10044,marion,856,92,24
10044,marion,857,92,24
10044,marion,858,92,24
1xx44,marion,859,93,1
10044,marion,860,92,24
10044,marion,861,92,24
10044,marion,862,92,24
10044,marion,863,92,24
10044,marion,864,92,24
10044,marion,865,92,24
10044,marion,866,92,24
10044,marion,867,92,24
10044,marion,868,92,24
10044,marion,869,92,24
10044,marion,870,92,24
10044,marion,871,92,24
10044,marion,872,92,24
10044,marion,873,92,24
10044,marion,874,92,24
10044,marion,875,92,24
10044,marion,876,92,24
10045,fayette,877,94,22
1xx45,fayette,878,95,1
10045,fayette,879,94,22
10045,fayette,880,94,22
10045,fayette,881,94,22
10045,fayette,882,94,22
10045,fayette,883,94,22
10045,fayette,884,94,22
10045,fayette,885,94,22
10045,fayette,886,94,22
10045,fayette,887,94,22
x0045,fayette,888,96,1
10045,fayette,889,94,22
10045,fayette,890,94,22
10045,fayette,891,94,22
10045,fayette,892,94,22
10045,fayette,893,94,22
10045,fayette,894,94,22
10045,fayexxe,895,97,1
10045,fayette,896,94,22
10045,fayette,897,94,22
10045,fayette,898,94,22
10045,fayette,899,94,22
10045,fayette,900,94,22
10045,fayette,901,94,22
10046,etowah,902,98,27
10046,etowah,903,98,27
10046,etowah,904,98,27
10046,etowah,905,98,27
10046,etowah,906,98,27
10046,etowah,907,98,27
10046,etowah,908,98,27
10046,etowah,909,98,27
10046,etowah,910,98,27
10046,etowah,911,98,27
10046,etowah,912,98,27
10046,etowah,913,98,27
10046,etowah,914,98,27
10046,etowah,915,98,27
10046,etowah,916,98,27
10046,etowxh,917,99,1
10046,etowah,918,98,27
10046,etowah,919,98,27
10046,etowah,920,98,27
10046,etowah,921,98,27
10046,etowah,922,98,27
10046,etowah,923,98,27
10046,etowah,924,98,27
10046,etowah,925,98,27
10046,etowah,926,98,27
10046,etowah,927,98,27
10046,etowah,928,98,27
10046,etowah,929,98,27
10047,butler,930,100,23
10047,butler,931,100,23
10047,butler,932,100,23
1xx47,butler,933,101,1
10047,butler,934,100,23
10047,butler,935,100,23
10047,butler,936,100,23
10047,butler,937,100,23
10047,butler,938,100,23
10047,butler,939,100,23
10047,butler,940,100,23
10047,butler,941,100,23
10047,butler,942,100,23
10047,butxer,943,102,1
10047,butler,944,100,23
10047,butler,945,100,23
10047,butler,946,100,23
10047,butler,947,100,23
10047,butler,948,100,23
10047,butler,949,100,23
10047,butler,950,100,23
10047,butler,951,100,23
10047,butler,952,100,23
10047,butler,953,100,23
10047,butler,954,100,23
1004x,coffee,955,103,1
10049,coffee,956,104,23
10049,coffee,957,104,23
10049,coffee,958,104,23
10049,coffee,959,104,23
10049,coffee,960,104,23
10049,coffee,961,104,23
10049,coffee,962,104,23
10049,coffee,963,104,23
10049,coffee,964,104,23
10049,coffee,965,104,23
10049,cxffee,966,105,1
10049,coffee,967,104,23
10049,coffee,968,104,23
10049,coffee,969,104,23
10049,coffee,970,104,23
10049,coffee,971,104,23
10049,coffee,972,104,23
10049,coffee,973,104,23
10049,coffee,974,104,23
10049,coffee,975,104,23
10049,coffee,976,104,23
10049,coffee,977,104,23
10049,coffee,978,104,23
10049,coffee,979,104,23
10050,blount,980,106,20
10050,blount,981,106,20
10050,blount,982,106,20
10050,blount,983,106,20
10050,blount,984,106,20
10050,blount,985,106,20
10050,blount,986,106,20
10050,blount,987,106,20
10050,blount,988,106,20
10050,blount,989,106,20
10050,blount,990,106,20
10050,blount,991,106,20
10050,blount,992,106,20
10050,blount,993,106,20
10050,blount,994,106,20
10050,blount,995,106,20
10050,blount,996,106,20
10050,blount,997,106,20
10050,blount,998,106,20
10050,blount,999,106,20
