owner                                       ,original_index,unique_index
government - hospital district or authority ,64,1
government - hospital district or authority ,65,1
government - hospital district or authority ,66,1
government - hospital district or authority ,67,1
government - hospital district or authority ,68,1
voluntary non-profit - other                ,69,6
voluntary non-profit - other                ,70,6
voluntary non-profit - other                ,71,6
voluntary non-profit - other                ,72,6
voluntary non-profit - other                ,73,6
voluntary non-profit - other                ,74,6
voluntary non-profit - other                ,75,6
voluntary non-profit - other                ,76,6
voluntary non-profit - other                ,77,6
voluntary non-profit - other                ,78,6
voluntary non-profit - other                ,79,6
voluntary non-profit - other                ,80,6
voluntary non-profit - other                ,81,6
voluntary non-profit - other                ,82,6
voluntary non-profit - other                ,83,6
voluntary non-profit - other                ,84,6
voluntary non-profit - other                ,85,6
voluntary non-profit - other                ,86,6
voluntary non-profit - other                ,87,6
voluntary non-profit - other                ,88,6
voluntary non-profit - other                ,89,6
voluntary non-profit - other                ,90,6
voluntary non-profit - other                ,91,6
voluntary non-profit - other                ,92,6
voluntary non-profit - other                ,93,6
voluntary non-profit - private              ,94,0
voluntary non-profit - private              ,95,0
voluntary non-profit - private              ,96,0
voluntary non-profit - private              ,97,0
voluntary non-profit - private              ,98,0
voluntary non-profit - private              ,99,0
voluntary non-profit - private              ,100,0
voluntary non-profit - private              ,101,0
voluntary non-profit - private              ,102,0
voluntary non-profit - private              ,103,0
voluntary non-profit - private              ,104,0
voluntary non-profit - private              ,105,0
voluntary non-profit - private              ,106,0
voluntary non-profit - private              ,107,0
voluntary non-profit - private              ,108,0
voluntary non-profit - private              ,109,0
voluntary non-profit - private              ,110,0
voluntary non-profit - private              ,111,0
voluntary non-profit - private              ,112,0
volunxary non-profix - privaxe              ,113,7
voluntary non-profit - private              ,114,0
voluntary non-profit - private              ,115,0
voluntary non-profit - private              ,116,0
voluntary non-profit - private              ,117,0
voluntary non-profit - private              ,118,0
government - federal                        ,119,8
government - federal                        ,120,8
government - federal                        ,121,8
government - federal                        ,122,8
government - federal                        ,123,8
government - federal                        ,124,8
government - federal                        ,125,8
government - federal                        ,126,8
government - federal                        ,127,8
government - federal                        ,128,8
government - federal                        ,129,8
government - federal                        ,130,8
government - federal                        ,131,8
government - federal                        ,132,8
government - federal                        ,133,8
government - federal                        ,134,8
government - federal                        ,135,8
government - federal                        ,136,8
government - federal                        ,137,8
government - federal                        ,138,8
government - federal                        ,139,8
government - federal                        ,140,8
government - federal                        ,141,8
government - federal                        ,142,8
government - federal                        ,143,8
proprietary                                 ,144,9
proprietary                                 ,145,9
proprietary                                 ,146,9
proprietary                                 ,147,9
proprietary                                 ,148,9
proprietary                                 ,149,9
proprietary                                 ,150,9
proprietary                                 ,151,9
proprietary                                 ,152,9
proprietary                                 ,153,9
proprietary                                 ,154,9
proprietary                                 ,155,9
proprietary                                 ,156,9
pxopxietaxy                                 ,157,10
proprietary                                 ,158,9
proxrietary                                 ,159,11
proprietary                                 ,160,9
proprietary                                 ,161,9
xroprietary                                 ,162,12
proprietary                                 ,163,9
pxopxietaxy                                 ,164,10
proprietary                                 ,165,9
proprietary                                 ,166,9
proprietary                                 ,167,9
proprietary                                 ,168,9
government - hospital district or authority ,169,1
government - hospital district or authority ,170,1
government - hospital district or authority ,171,1
government - hospital district or authority ,172,1
government - hospital district or authority ,173,1
government - hospital district or authority ,174,1
government - hospital district or authority ,175,1
government - hospital district or authority ,176,1
government - hospital district or authority ,177,1
government - hospital district or authority ,178,1
government - hospital district or authority ,179,1
government - hospital district or authority ,180,1
government - hospital district or authority ,181,1
government - hospital district or authority ,182,1
government - hospital district or authority ,183,1
government - hospital district or authority ,184,1
government - hospital district or authority ,185,1
government - hospital district or authority ,186,1
government - hospital district or authority ,187,1
government - hospital district or authority ,188,1
government - hospital district or authority ,189,1
government - hospital district or authority ,190,1
government - hospital district or authority ,191,1
government - hospital district or authority ,192,1
government - hospital district or authority ,193,1
voluntary non-profit - private              ,194,0
voluntary non-profit - private              ,195,0
voluntary non-profit - private              ,196,0
voluntary non-profit - private              ,197,0
voluntary non-profit - private              ,198,0
voluntary non-profit - private              ,199,0
voluntary non-profit - private              ,200,0
voluntary non-profit - private              ,201,0
voluntary non-profit - private              ,202,0
voluntary non-profit - private              ,203,0
voluntary non-profit - private              ,204,0
voluntary non-profit - private              ,205,0
voluntary non-profit - private              ,206,0
voluntary non-profit - private              ,207,0
voluntary non-profit - private              ,208,0
voluntary non-profit - private              ,209,0
voluntary non-profit - private              ,210,0
voluntary non-profit - private              ,211,0
voluntary non-profit - private              ,212,0
voluntary non-profit - private              ,213,0
voluntary non-profit - private              ,214,0
voluntary non-profit - private              ,215,0
volunxary non-profix - privaxe              ,216,7
voluntary non-profit - private              ,217,0
voluntary nonxprofit x private              ,218,13
voluntary non-profit - church               ,219,14
voluntary non-profit - church               ,220,14
voluntaryxnon-profitx-xchurch               ,221,15
voluntary non-profit - church               ,222,14
voluntary non-profit - church               ,223,14
voluntary non-profit - church               ,224,14
voluntary non-profit - church               ,225,14
voluntary non-profit - church               ,226,14
voluntary non-profit - church               ,227,14
voluntary non-profit - church               ,228,14
voluntary non-profit - church               ,229,14
voluntary non-profit - church               ,230,14
voluntary non-profit - church               ,231,14
voluntary non-profit - church               ,232,14
voluntary non-profit - church               ,233,14
voluntary non-profit - church               ,234,14
voluntary non-profit - church               ,235,14
voluntary non-profit - church               ,236,14
voluntary non-profit - church               ,237,14
voxuntary non-profit - church               ,238,16
voluntary non-profit - church               ,239,14
voluntary non-profit - church               ,240,14
voluntary non-profit - church               ,241,14
voluntary non-profit - church               ,242,14
voluntary non-profit - church               ,243,14
government - federal                        ,244,8
government - federal                        ,245,8
government - federal                        ,246,8
governxent - federal                        ,247,17
government - federal                        ,248,8
government - federal                        ,249,8
government - federal                        ,250,8
government - federal                        ,251,8
government - federal                        ,252,8
government - federal                        ,253,8
government - federal                        ,254,8
government - federal                        ,255,8
government - federal                        ,256,8
government - federal                        ,257,8
government - federal                        ,258,8
government - federal                        ,259,8
government - federal                        ,260,8
government - federal                        ,261,8
government - federal                        ,262,8
government - federal                        ,263,8
government - federal                        ,264,8
government - federal                        ,265,8
government - federal                        ,266,8
government - federal                        ,267,8
government - federal                        ,268,8
voluntary non-profit - church               ,269,14
voluntary non-profit - church               ,270,14
voluntary non-profit - church               ,271,14
voluntary non-profit - church               ,272,14
voluntary non-profit - church               ,273,14
voluntary non-profit - church               ,274,14
voluntary non-profit - church               ,275,14
voluntary non-profit - church               ,276,14
voluntary non-profit - church               ,277,14
voluntary non-profit - church               ,278,14
voluntary non-profit - church               ,279,14
voluntary non-profit - church               ,280,14
voluntary non-profit - church               ,281,14
voluntary non-profit - church               ,282,14
voluntary non-profit - church               ,283,14
voluntary non-profit - church               ,284,14
voluntary non-profit - church               ,285,14
voluntary non-profit - church               ,286,14
voluntary non-profit - church               ,287,14
voluntary non-profit - church               ,288,14
voluntary non-profit - church               ,289,14
voluntary non-profit - church               ,290,14
voluntary non-profit - church               ,291,14
voluntary non-profit - church               ,292,14
voluntary non-profit - church               ,293,14
voluntary non-profit - private              ,294,0
voluntary non-profit - private              ,295,0
voluntary non-profit - private              ,296,0
voluntary non-profit - private              ,297,0
voluntary non-profit - private              ,298,0
voluntary non-profit - private              ,299,0
voluntary non-profit - private              ,300,0
voluntary non-profit - private              ,301,0
voluntary non-profit - private              ,302,0
voluntary non-profit - private              ,303,0
voluntary non-profit - private              ,304,0
voluntary non-profit - private              ,305,0
voluntary non-profit - private              ,306,0
voluntary non-profit - private              ,307,0
voluntary non-profit - private              ,308,0
voluntary non-profit - private              ,309,0
voluntary non-profit - private              ,310,0
proprietary                                 ,311,9
proprietary                                 ,312,9
prxprietary                                 ,313,18
proprietary                                 ,314,9
proprietary                                 ,315,9
proprietary                                 ,316,9
proprietary                                 ,317,9
proprietary                                 ,318,9
proprietary                                 ,319,9
proprietary                                 ,320,9
proprietary                                 ,321,9
proprietary                                 ,322,9
proprietary                                 ,323,9
proprietary                                 ,324,9
proprietary                                 ,325,9
proprietary                                 ,326,9
proprietary                                 ,327,9
proprietary                                 ,328,9
proprietary                                 ,329,9
proprietary                                 ,330,9
proprietary                                 ,331,9
proxrietary                                 ,332,11
proprietary                                 ,333,9
proprietary                                 ,334,9
proprietary                                 ,335,9
proprietary                                 ,336,9
proprietary                                 ,337,9
proprietary                                 ,338,9
proprietary                                 ,339,9
proprietary                                 ,340,9
proprietary                                 ,341,9
proprietary                                 ,342,9
proprietary                                 ,343,9
proprietary                                 ,344,9
proprietary                                 ,345,9
proprietary                                 ,346,9
proprietary                                 ,347,9
voluntary non-profit - other                ,348,6
voluntary non-profit - other                ,349,6
voluntary non-profit - other                ,350,6
voluntary non-profit - other                ,351,6
voluntary non-profit - other                ,352,6
government - hospital district or authority ,353,1
proprietary                                 ,354,9
proprietary                                 ,355,9
prxprietary                                 ,356,18
proprietary                                 ,357,9
proprietary                                 ,358,9
proprietary                                 ,359,9
proprietary                                 ,360,9
proprietary                                 ,361,9
proprietary                                 ,362,9
proprietary                                 ,363,9
proprietary                                 ,364,9
proprietary                                 ,365,9
proprietary                                 ,366,9
proprietary                                 ,367,9
proprietary                                 ,368,9
proprietary                                 ,369,9
proprietary                                 ,370,9
proprietary                                 ,371,9
proprietary                                 ,372,9
proprietary                                 ,373,9
proprietary                                 ,374,9
proprietary                                 ,375,9
proprietary                                 ,376,9
proprietary                                 ,377,9
proprietary                                 ,378,9
government - state                          ,379,19
government - state                          ,380,19
government - state                          ,381,19
government - state                          ,382,19
government - state                          ,383,19
government - state                          ,384,19
government - state                          ,385,19
government - state                          ,386,19
government - state                          ,387,19
government - state                          ,388,19
government - state                          ,389,19
government - state                          ,390,19
government - state                          ,391,19
voluntary non-profit - private              ,392,0
voluntary non-profit - private              ,393,0
voluntary non-profit - private              ,394,0
voluntary non-profit - private              ,395,0
voluntary non-profit - private              ,396,0
voluntary non-profit - private              ,397,0
voluntary non-profit - private              ,398,0
voluntary non-profit - private              ,399,0
voluntary non-profit - private              ,400,0
voluntary non-profit - private              ,401,0
voluntary non-profit - private              ,402,0
voluntary non-profit - private              ,403,0
voluntary non-profit - private              ,404,0
voluntary non-profit - private              ,405,0
voluntary non-profit - private              ,406,0
voluntary non-profit - private              ,407,0
voluntary non-profit - private              ,408,0
voluntary non-profit - private              ,409,0
voluntary non-profit - private              ,410,0
voluntary non-profit - private              ,411,0
proprietary                                 ,412,9
proprietary                                 ,413,9
voluntary non-profit - other                ,414,6
voluntary non-profit - other                ,415,6
voluntary non-profit - other                ,416,6
voluntary non-profit - other                ,417,6
voluntary non-profit - other                ,418,6
voluntary non-profit - other                ,419,6
voluntary non-profit - other                ,420,6
voluntary non-profit - other                ,421,6
voluntary non-profit - other                ,422,6
voluntary non-profit - other                ,423,6
voluntary non-profit - other                ,424,6
voluntary non-profit - other                ,425,6
voluntary non-profit - other                ,426,6
voluntary non-profit - other                ,427,6
voluntary non-profit - other                ,428,6
voluntary non-profit - other                ,429,6
voluntary non-profit - other                ,430,6
voluntary non-profit - other                ,431,6
proprietary                                 ,432,9
proprietary                                 ,433,9
proprietary                                 ,434,9
proprietary                                 ,435,9
proprietary                                 ,436,9
proprietary                                 ,437,9
proprietary                                 ,438,9
proprietary                                 ,439,9
proprietary                                 ,440,9
proprietary                                 ,441,9
proprietary                                 ,442,9
proprietary                                 ,443,9
proprietary                                 ,444,9
proprietary                                 ,445,9
proprietary                                 ,446,9
proprietary                                 ,447,9
proprietary                                 ,448,9
proxrietary                                 ,449,11
government - federal                        ,450,8
government - federal                        ,451,8
government - hospital district or authority ,452,1
government - hospital district or authority ,453,1
government - hospital district or authority ,454,1
government - hospital district or authority ,455,1
gxvernment - hxspital district xr authxrity ,456,5
government - hospital district or authority ,457,1
government - hospital district or authority ,458,1
government - hospital district or authority ,459,1
government - hospital district or authority ,460,1
government - hospital district or authority ,461,1
government - hospital district or authority ,462,1
government - hospital district or authority ,463,1
government - hospital district or authority ,464,1
government - hospital district or authority ,465,1
government - hospital district or authority ,466,1
government - hospital district or authority ,467,1
government - hospital district or authority ,468,1
government - hospital district or authority ,469,1
government - hospital district or authority ,470,1
government - hospital district or authority ,471,1
government - hospital district or authority ,472,1
government - hospital district or authority ,473,1
government - hospital district or authority ,474,1
government - hospital district or authority ,475,1
government - hospital district or authority ,476,1
government - hospital district or authority ,477,1
government - hospital district or authority ,478,1
government - hospital district or authority ,479,1
government - hospital district or authority ,480,1
government - hospital district or authority ,481,1
government - hospital district or authority ,482,1
government - hospital district or authority ,483,1
government - hospital district or authority ,484,1
government - hospital district or authority ,485,1
government - hospital district or authority ,486,1
government - hospital district or authority ,487,1
government - hospital district or authority ,488,1
government - hospital district or authority ,489,1
government - hospital district or authority ,490,1
voluntary non-profit - private              ,491,0
voluntary non-profit - private              ,492,0
voluntaryxnon-profitx-xprivate              ,493,20
voluntary non-profit - private              ,494,0
voluntary non-profit - private              ,495,0
voluntary non-profit - private              ,496,0
voluntary non-profit - private              ,497,0
voluntary non-profit - private              ,498,0
voluntary non-profit - private              ,499,0
voluntary non-profit - private              ,500,0
voluntary non-profit - private              ,501,0
voluntary non-profit - private              ,502,0
voluntary non-profit - private              ,503,0
voluntary non-profit - private              ,504,0
voluntary non-profit - private              ,505,0
voluntary non-profit - private              ,506,0
voluntary non-profit - private              ,507,0
voluntary non-profit - private              ,508,0
voluntary non-profit - private              ,509,0
voluntary non-profit - private              ,510,0
voluntary non-profit - private              ,511,0
voluntary non-profit - private              ,512,0
voluntary non-profit - private              ,513,0
voluntary non-profit - private              ,514,0
voluntary non-profit - private              ,515,0
voluntary non-profit - church               ,516,14
voluntary non-profit - church               ,517,14
voluntary non-profit - church               ,518,14
voluntary non-profit - church               ,519,14
voluntary non-profit - church               ,520,14
voluntary non-profit - church               ,521,14
voluntary non-profit - church               ,522,14
voluntary non-profit - church               ,523,14
voluntary non-profit - church               ,524,14
voluntary non-profit - church               ,525,14
volxntary non-profit - chxrch               ,526,21
voluntary non-profit - church               ,527,14
voluntary non-profit - church               ,528,14
voluntary non-profit - church               ,529,14
voluntary non-profit - church               ,530,14
voluntary non-profit - church               ,531,14
voluntary non-profit - church               ,532,14
voluntary non-profit - church               ,533,14
voluntary non-profit - church               ,534,14
voluntary non-profit - church               ,535,14
voluntary non-profit - church               ,536,14
voluntary non-profit - church               ,537,14
voluntary non-profit - church               ,538,14
voluntary non-profit - church               ,539,14
voluntary non-profit - church               ,540,14
voluntary non-profit - private              ,541,0
voluntary non-profit - private              ,542,0
voluntary non-profit - private              ,543,0
voluntary non-profit - private              ,544,0
voluntary non-profit - private              ,545,0
voluntary non-profit - private              ,546,0
voluntary non-profit - private              ,547,0
voluntary non-profit - private              ,548,0
voluntary non-profit - private              ,549,0
voluntary non-profit - private              ,550,0
voluntary non-profit - private              ,551,0
voluntary non-profit - private              ,552,0
voluntary non-profit - private              ,553,0
voluntary non-profit - private              ,554,0
voluntary non-profit - private              ,555,0
voluntary non-profit - private              ,556,0
voluntary non-profit - private              ,557,0
voluntary non-profit - private              ,558,0
voluntary non-profit - private              ,559,0
voluntary non-profit - private              ,560,0
voluntary non-profit - private              ,561,0
voluntary non-profit - private              ,562,0
voluntary non-profit - private              ,563,0
voluntary non-profit - private              ,564,0
voluntary non-profit - private              ,565,0
voluntary non-profit - other                ,566,6
voluntary non-profit - other                ,567,6
voluntary non-profit - other                ,568,6
voluntary non-profit - other                ,569,6
voluntary non-profit - other                ,570,6
voluntary non-profit - other                ,571,6
voluntary non-profit - otxer                ,572,22
voluntary non-profit - other                ,573,6
voluntary non-profit - other                ,574,6
voluntary non-profit - other                ,575,6
voluntary non-profit - other                ,576,6
voluntary non-profit - other                ,577,6
voluntary non-profit - other                ,578,6
voluntary non-profit - other                ,579,6
voluntary non-profit - other                ,580,6
voluntary non-profit - other                ,581,6
voluntary non-profit - other                ,582,6
voluntary non-profit - other                ,583,6
voluntary non-profit - other                ,584,6
voluntary non-profit - other                ,585,6
voluntary non-profit - other                ,586,6
voluntary non-profit - other                ,587,6
voluntary non-profit - other                ,588,6
voluntary non-profit - other                ,589,6
voluntary non-profit - other                ,590,6
voluntary non-profit - other                ,591,6
voluntary non-profit - other                ,592,6
voluntary non-profit - other                ,593,6
voluntary non-profit - other                ,594,6
voluntary non-profit - other                ,595,6
voluntary non-profit - other                ,596,6
voluntary non-profit - other                ,597,6
voluntary non-profit - other                ,598,6
voluntary non-profit - other                ,599,6
voluntary non-profit - other                ,600,6
voluntary non-profit - other                ,601,6
voluntary non-profit - other                ,602,6
voluntary non-profit - other                ,603,6
voluntary non-profit - other                ,604,6
voluntary non-profit - other                ,605,6
voluntary non-profit - other                ,606,6
voluntary non-profit - other                ,607,6
voluntary non-profit - other                ,608,6
voluntary non-profit - other                ,609,6
voluntary non-profit - other                ,610,6
voluntary non-profit - other                ,611,6
voluntary non-profit - other                ,612,6
voluntary non-profit - other                ,613,6
voluntary non-profit - other                ,614,6
voluntary non-profit - other                ,615,6
government - hospital district or authority ,616,1
government - hospital district or authority ,617,1
government - hospital district or authority ,618,1
government - hospital district or authority ,619,1
government - hospital district or authority ,620,1
government - hospital district or authority ,621,1
government - hospital district or authority ,622,1
government - hospital district or authority ,623,1
government - hospital district or authority ,624,1
government - hospital district or authority ,625,1
government - hospital district or authority ,626,1
government - hospital district or authority ,627,1
government - hospital district or authority ,628,1
government - hospital district or authority ,629,1
government - hospital district or authority ,630,1
government - hospital district or authority ,631,1
government - hospital district or authority ,632,1
government - hospital district or authority ,633,1
government - hospital district or authority ,634,1
government - hospital district or authority ,635,1
government - hospital district or authority ,636,1
government - hospital district or authority ,637,1
government - hospital district or authority ,638,1
government - hospital district or authority ,639,1
government - hospital district or authority ,640,1
government - local                          ,641,23
government - local                          ,642,23
government - local                          ,643,23
government - local                          ,644,23
government - local                          ,645,23
government - local                          ,646,23
government - local                          ,647,23
government - local                          ,648,23
government - local                          ,649,23
government - local                          ,650,23
government - local                          ,651,23
government - local                          ,652,23
government - local                          ,653,23
government - local                          ,654,23
government - local                          ,655,23
government - local                          ,656,23
government - local                          ,657,23
government - local                          ,658,23
government - local                          ,659,23
government - local                          ,660,23
government - local                          ,661,23
government - local                          ,662,23
government - local                          ,663,23
government - local                          ,664,23
government - local                          ,665,23
government - state                          ,666,19
government - state                          ,667,19
government - state                          ,668,19
government - state                          ,669,19
government - state                          ,670,19
government - state                          ,671,19
government - state                          ,672,19
government - state                          ,673,19
government - state                          ,674,19
government - state                          ,675,19
government - state                          ,676,19
government - state                          ,677,19
government - state                          ,678,19
government - state                          ,679,19
government - state                          ,680,19
government - state                          ,681,19
government - state                          ,682,19
government - state                          ,683,19
government - state                          ,684,19
government - state                          ,685,19
government - state                          ,686,19
government - state                          ,687,19
government - state                          ,688,19
government - state                          ,689,19
government - state                          ,690,19
voluntary non-profit - private              ,691,0
voluntary non-profit - private              ,692,0
voluntary non-profit - private              ,693,0
voluntary non-profit - private              ,694,0
voluntary non-profit - private              ,695,0
voluntary non-profit - private              ,696,0
voluntary non-profit - private              ,697,0
voluntary non-profit - private              ,698,0
voluntary non-profit - private              ,699,0
voluntary non-profit - private              ,700,0
voluntary non-profit - private              ,701,0
voluntary non-profit - private              ,702,0
voluntary non-profit - private              ,703,0
voluntary non-profit - private              ,704,0
voluntary non-profit - private              ,705,0
voluntary non-profit - private              ,706,0
voluntary non-profit - private              ,707,0
voluntary non-profit - private              ,708,0
voluntary non-profit - private              ,709,0
voluntary non-profit - private              ,710,0
voluntary non-profit - private              ,711,0
voluntary non-profit - private              ,712,0
voluntary non-profit - private              ,713,0
voluntary non-profit - private              ,714,0
voluntary non-profit - private              ,715,0
government - hospital district or authority ,716,1
government - hospital district or authority ,717,1
government - hospital district or authority ,718,1
government - hospital district or authority ,719,1
government - hospital district or authority ,720,1
government - hospital district or authority ,721,1
government - hospital district or authority ,722,1
government - hospital district or authority ,723,1
government - hospital district or authority ,724,1
government - hospital district or authority ,725,1
government - hospital district or authority ,726,1
government - hospital district or authority ,727,1
government - hospital district or authority ,728,1
government - hospital district or authority ,729,1
government - hospital district or authority ,730,1
government - hospital district or authority ,731,1
government - hospital district or authority ,732,1
government - hospital district or authority ,733,1
government - hospital district or authority ,734,1
government - hospital district or authority ,735,1
government - hospital district or authority ,736,1
government - hospital district or authority ,737,1
government - hospital district or authority ,738,1
government - hospital district or authority ,739,1
government - hospital district or authority ,740,1
proprietary                                 ,741,9
proprietary                                 ,742,9
proprietary                                 ,743,9
prxprietary                                 ,744,18
proprietary                                 ,745,9
proprietary                                 ,746,9
proprietary                                 ,747,9
proprietary                                 ,748,9
proprietary                                 ,749,9
proprietary                                 ,750,9
proprietary                                 ,751,9
proprietary                                 ,752,9
proprietary                                 ,753,9
proprietary                                 ,754,9
proprietary                                 ,755,9
proprietary                                 ,756,9
proprietary                                 ,757,9
proprietary                                 ,758,9
proprietary                                 ,759,9
proprietary                                 ,760,9
proprietary                                 ,761,9
proprietary                                 ,762,9
proprietary                                 ,763,9
proprietary                                 ,764,9
proprietary                                 ,765,9
proprietary                                 ,766,9
proprietary                                 ,767,9
proprietary                                 ,768,9
proprietary                                 ,769,9
proprietary                                 ,770,9
proprietary                                 ,771,9
proprietary                                 ,772,9
proprietary                                 ,773,9
government - hospital district or authority ,774,1
government - hospital district or authority ,775,1
government - hospital district or authority ,776,1
government - hospital district or authority ,777,1
government - hospital district or authority ,778,1
government - hospital district or authority ,779,1
government - hospital district or authority ,780,1
government - hospital district or authority ,781,1
government - hospital district or authority ,782,1
government - hospital district or authority ,783,1
goverxmext - hospital district or authority ,784,24
government - hospital district or authority ,785,1
government - hospital district or authority ,786,1
government - hospital district or authority ,787,1
government - hospital district or authority ,788,1
government - hospital district or authority ,789,1
government - hospital district or authority ,790,1
government - hospital district or authority ,791,1
government - hospital district or authority ,792,1
government - hospital district or authority ,793,1
government - hospital district or authority ,794,1
government - hospital district or authority ,795,1
government - hospital district or authority ,796,1
government - hospital district or authority ,797,1
government - hospital district or authority ,798,1
government - hospital district or authority ,799,1
government - hospital district or authority ,800,1
government - hospital district or authority ,801,1
proprietary                                 ,802,9
proprietary                                 ,803,9
proprietary                                 ,804,9
proprietary                                 ,805,9
proprietary                                 ,806,9
proprietary                                 ,807,9
proprietary                                 ,808,9
proprietary                                 ,809,9
proprietary                                 ,810,9
proprietary                                 ,811,9
proprietary                                 ,812,9
proprietary                                 ,813,9
proprietary                                 ,814,9
proprietary                                 ,815,9
proprietary                                 ,816,9
proprietary                                 ,817,9
proprietary                                 ,818,9
proprietary                                 ,819,9
proprietary                                 ,820,9
proprietary                                 ,821,9
proprietary                                 ,822,9
proprietary                                 ,823,9
proprietary                                 ,824,9
proprietary                                 ,825,9
proprietary                                 ,826,9
voluntary non-profit - private              ,827,0
voluntary non-profit - private              ,828,0
voluntary non-profit - private              ,829,0
voluntary non-profit - private              ,830,0
voluntary non-profit - private              ,831,0
voluntary non-profit - private              ,832,0
voluntary non-profit - private              ,833,0
voluntary non-profit - private              ,834,0
voluntary non-profit - private              ,835,0
voluntary non-profit - private              ,836,0
voluntary non-profit - private              ,837,0
voluntary non-profit - private              ,838,0
voluntary non-profit - private              ,839,0
voluntary non-profit - private              ,840,0
voluntary non-profit - private              ,841,0
voluntary non-profit - private              ,842,0
voluntary non-profit - private              ,843,0
voluntary non-profit - private              ,844,0
voluntary non-profit - private              ,845,0
voluntaxy non-pxofit - pxivate              ,846,25
voluntary non-profit - private              ,847,0
voluntary non-profit - private              ,848,0
voluntary non-profit - private              ,849,0
voluntary non-profit - private              ,850,0
voluntary non-profit - private              ,851,0
voluntary non-profit - private              ,852,0
voluntary non-profit - private              ,853,0
voluntary non-profit - private              ,854,0
voluntary non-profit - private              ,855,0
voluntary non-profit - private              ,856,0
voluntary non-profit - private              ,857,0
voluntary non-profit - private              ,858,0
voluntary non-profit - private              ,859,0
voluntary non-profit - private              ,860,0
voluntary non-profit - private              ,861,0
voluntary non-profit - private              ,862,0
voluntary non-profit - private              ,863,0
voluntary non-profit - private              ,864,0
voluntary non-profit - private              ,865,0
voluntary non-profit - private              ,866,0
voluntary non-profit - private              ,867,0
voluxtary xox-profit - private              ,868,26
voluntary non-profit - private              ,869,0
voluntary non-profit - private              ,870,0
voluntary non-profit - private              ,871,0
voluntaxy non-pxofit - pxivate              ,872,25
voluntary non-profit - private              ,873,0
voluntary non-profit - private              ,874,0
voluntary non-profit - private              ,875,0
voluntary non-profit - private              ,876,0
voluntary non-profit - other                ,877,6
voluntary non-profit - other                ,878,6
voluntary non-profit - other                ,879,6
voluntary non-profit - other                ,880,6
voluntary non-profit - other                ,881,6
voluntary non-profit - other                ,882,6
voluntary non-profit - other                ,883,6
voluntary non-profit - other                ,884,6
voluntary non-profit - other                ,885,6
voluntary non-profit - other                ,886,6
voluntary non-profit - other                ,887,6
voluntary non-profit - other                ,888,6
voluntary non-profit - other                ,889,6
voluntary non-profit - other                ,890,6
voluntary non-profit - other                ,891,6
voluntary non-profit - other                ,892,6
voluntary non-profit - other                ,893,6
voluntary non-profit - other                ,894,6
voluntary non-profit - other                ,895,6
voluntary non-profit - other                ,896,6
voluntary non-profit - other                ,897,6
voluntary non-profit - other                ,898,6
voluntary non-profit - other                ,899,6
voluntary non-profit - other                ,900,6
voluntary non-profit - other                ,901,6
proprietary                                 ,902,9
proprietary                                 ,903,9
proprietary                                 ,904,9
proprietary                                 ,905,9
proprietary                                 ,906,9
proprietary                                 ,907,9
proprietary                                 ,908,9
proprietary                                 ,909,9
proprietary                                 ,910,9
proprietary                                 ,911,9
proprietary                                 ,912,9
proprietary                                 ,913,9
proprietary                                 ,914,9
proprietary                                 ,915,9
proprietary                                 ,916,9
proprietary                                 ,917,9
proprietary                                 ,918,9
proprietary                                 ,919,9
