Sample,Stateavg,original_index,unique_index
0 patients,al_ami-3,121,92
0 patients,al_ami-4,122,46
1 patients,al_ami-5,123,113
0 patients,al_ami-7a,124,13
0 patients,al_ami-8a,125,14
26 patients,al_hf-1,126,114
39 patients,al_hf-2,127,115
8 patients,al_hf-3,128,116
5 patients,al_hf-4,129,117
16 patients,al_pn-2,130,118
15 patients,al_pn-3b,131,119
9 patients,al_pn-4,132,120
21 pxtients,al_pn-5c,133,121
21 patients,al_pn-6,134,122
15 patients,al_pn-7,135,123
1 patients,al_scip-card-2,136,124
2 patients,al_scip-inf-1,137,125
2 patients,al_scip-inf-2,138,126
2 patients,al_scip-inf-3,139,127
0 patients,al_scip-inf-4,140,62
4 patients,al_scip-inf-6,141,128
4 patients,al_scip-vte-1,142,129
4 patients,al_scip-vte-2,143,130
6 patients,al_ami-1,144,131
1 patients,al_ami-2,145,112
1 patients,al_ami-3,146,132
2 patients,al_ami-4,147,133
3 patients,al_ami-5,148,134
0 patients,al_ami-7a,149,13
0 patients,al_ami-8a,150,14
35 patients,al_hf-1,151,135
42 patients,al_hf-2,152,136
10 patients,al_hf-3,153,137
12 patients,al_hf-4,154,138
44 patients,al_pn-2,155,139
30 patients,al_pn-3b,156,140
25 patients,al_pn-4,157,141
51 patients,al_pn-5c,158,142
45 patients,al_pn-6,159,143
30 patients,al_pn-7,160,144
3 patients,al_scip-card-2,161,145
6 patients,al_scip-inf-1,162,146
7 patients,al_scip-inf-2,163,147
5 patients,al_scip-inf-3,164,148
0 patients,al_scip-inf-4,165,62
xx patients,al_scip-inf-6,166,149
9 patients,al_scip-vte-1,167,150
9 patients,al_scip-vte-2,168,151
8 patients,al_ami-1,169,152
6xpatients,al_ami-2,170,153
2 patients,al_ami-3,171,45
2 patients,al_ami-4,172,133
6 patients,al_ami-5,173,154
0 patients,al_ami-7a,174,13
0 patients,al_ami-8a,175,14
55 patients,al_hf-1,176,155
80 patients,al_hf-2,177,156
27 patients,al_hf-3,178,157
10 patients,al_hf-4,179,158
128 patients,al_pn-2,180,159
115 patients,al_pn-3b,181,160
65 patients,al_pn-4,182,78
158 patients,al_pn-5c,183,161
133 patients,al_pn-6,184,162
101 patients,al_pn-7,185,163
14 patients,al_scip-card-2,186,58
66 patients,al_scip-inf-1,187,164
64 patients,al_scip-inf-2,188,165
63 patients,al_scip-inf-3,189,166
0 patients,al_scip-inf-4,190,62
155 patients,al_scip-inf-6,191,167
56 patients,al_scip-vte-1,192,168
56 patients,al_scix-vte-2,193,169
240 patients,al_ami-1,194,170
295 patients,al_ami-2,195,171
70 patients,al_ami-3,196,172
131 patients,al_ami-4,197,173
288 patients,al_ami-5,198,174
0 patients,al_ami-7a,199,13
48 patients,al_ami-8a,200,175
316 patients,al_hf-1,201,176
372 patients,al_hf-2,202,177
130 patients,al_hf-3,203,178
69 patients,al_hf-4,204,179
125 patients,al_pn-2,205,180
131 patients,al_pn-3b,206,181
69 patients,al_pn-4,207,182
135 patients,al_pn-5c,208,183
112 patients,al_pn-6,209,184
89 patients,al_pn-7,210,185
125 patients,al_scip-card-2,211,186
461 patients,al_scip-inf-1,212,187
473 patients,al_sxip-inf-2,213,188
442 patients,al_scip-inf-3,214,189
127 patients,al_scip-inf-4,215,190
601 patients,al_scip-inf-6,216,191
229 patients,al_scip-vte-1,217,192
224 patients,al_scip-vte-2,218,193
46 patients,al_ami-1,219,194
39 patients,al_ami-2,220,195
11 patients,al_ami-3,221,196
14 patients,al_ami-4,222,197
41 patients,al_ami-5,223,198
1 patiexts,al_ami-7a,224,199
5 patients,al_ami-8a,225,200
76 patients,al_hf-1,226,201
94 patients,al_hf-2,227,202
36 patients,al_hf-3,228,203
15 patients,al_hf-4,229,204
69 patients,al_pn-2,230,205
91 patients,al_pn-3b,231,206
37 patients,al_pn-4,232,207
88 patients,al_pn-5c,233,208
82 patientx,al_pn-6,234,209
56 patients,al_pn-7,235,210
16 patients,al_scip-card-2,236,211
139 patients,al_scip-inf-1,237,212
147 patients,al_scip-inf-2,238,213
136 patients,al_scip-inf-3,239,214
0 patients,al_scip-inf-4,240,62
179 patients,al_scip-inf-6,241,215
90 patients,al_scip-vte-1,242,216
90 patients,al_scip-vte-2,243,217
0 patients,ax_ami-1,244,218
0 patients,al_ami-2,245,219
0 patients,al_ami-3,246,92
0 patients,al_ami-4,247,46
0 patients,xl_xmi-5,248,220
0 patients,al_ami-7a,249,13
0 patients,al_ami-8a,250,14
79 patients,al_hf-1,251,221
91 patients,al_hf-2,252,222
25 patients,al_hf-3,253,223
17 patients,al_hf-4,254,224
25 patients,al_pn-2,255,225
24 patients,al_pn-3b,256,226
6 patients,al_pn-4,257,227
24 patients,al_pn-5c,258,228
26 patients,al_pn-6,259,229
24 patients,al_pn-7,260,230
empty,al_scip-card-2,261,0
14 patients,al_scip-inf-1,262,231
14 patients,al_scip-inf-2,263,232
14 patients,al_scip-inf-3,264,233
0 patients,al_scip-inf-4,265,62
15 patients,al_scip-inf-6,266,234
10 patients,al_scip-vte-1,267,235
10 patients,al_scip-vte-2,268,236
179 patients,al_axi-1,269,237
208 patients,al_ami-2,270,238
30 patients,al_ami-3,271,239
98 patients,al_ami-4,272,240
169 patients,al_ami-5,273,241
0 patients,al_ami-7a,274,13
36 patients,al_ami-8a,275,242
210 patients,al_hf-1,276,243
246 patients,al_hf-2,277,244
71 patients,al_hf-3,278,245
48 patients,al_hf-4,279,246
235 patients,al_pn-2,280,247
110 patients,al_pn-3b,281,248
131 patients,al_pn-4,282,249
239 patients,al_pn-5c,283,250
116 patients,al_pn-6,284,251
199 patients,al_pn-7,285,252
96 patients,al_scip-card-2,286,253
368 patients,al_scip-inf-1,287,254
370 patients,al_scip-inf-2,288,255
331 patients,al_scip-inf-3,289,256
116 patients,al_scip-inf-4,290,257
588 patients,al_scip-inf-6,291,258
226 patients,al_scip-vte-1,292,259
225 patients,al_scip-vte-2,293,260
empty,al_ami-1,294,261
empty,al_ami-2,295,262
empty,al_ami-3,296,263
empty,al_ami-4,297,264
empty,al_ami-5,298,265
empty,al_ami-7a,299,266
empty,al_ami-8a,300,267
empty,al_hf-1,301,268
empty,al_hf-2,302,269
empty,al_hf-3,303,270
empty,al_hf-4,304,271
empty,al_pn-2,305,272
empty,al_pn-3b,306,273
empty,al_pn-4,307,274
empty,al_pn-5c,308,275
empty,al_pn-6,309,276
empty,al_pn-7,310,277
9 patients,al_cac-2,311,278
9 patients,al_cac-3,312,279
81 patients,al_ami-1,313,280
73 patients,al_ami-2,314,281
14 patients,al_ami-3,315,282
29 xatients,al_ami-4,316,283
67 patients,al_ami-5,317,284
1 patients,al_ami-7a,318,285
15 patients,al_ami-8a,319,286
142 patients,al_hf-1,320,287
157 patients,al_hf-2,321,288
49 patients,al_hf-3,322,289
41 patients,al_hf-4,323,18
110 patients,al_pn-2,324,290
102 patients,al_pn-3b,325,291
83 patients,al_pn-4,326,292
145 patients,al_pn-5c,327,293
99 patients,al_pn-6,328,294
87 patients,al_pn-7,329,295
23 patients,al_scip-card-2,330,296
342 patients,al_hf-2,331,297
94 patients,al_hf-3,332,298
62 patients,al_hf-4,333,299
166 patients,al_pnx2,334,300
152 patients,al_pn-3b,335,301
77 patients,al_pn-4,336,302
146 patients,al_pn-5c,337,303
112 patients,al_pn-6,338,184
128 patients,al_pn-7,339,304
147 patients,al_scip-card-2,340,305
950 patients,al_scip-inf-1,341,306
957 patients,al_scip-inf-2,342,307
882 patients,al_scip-inf-3,343,308
165 patients,al_scip-inf-4,344,309
1295 patients,al_scip-inf-6,345,310
497 patients,al_scip-vte-1,346,311
497 patients,al_scipxvtex2,347,312
239 patients,al_ami-1,348,313
260 patients,al_ami-2,349,314
41 patients,al_ami-3,350,315
63 patients,al_ami-4,351,316
242 patients,al_ami-5,352,317
205 patients,al_scip-vte-2,353,318
1x patients,al_ami-1,354,319
7 patients,al_ami-2,355,320
2 patients,al_ami-3,356,45
1 patients,al_ami-4,357,321
8 patients,al_ami-5,358,322
1 patients,al_ami-7a,359,285
0 patients,al_ami-8a,360,14
48 patients,al_hf-1,361,323
59 patients,al_hf-2,362,324
13 patients,al_hf-3,363,325
14 patients,al_hf-4,364,326
66 patients,al_pn-2,365,327
59 patients,al_pn-3b,366,328
40 patients,al_pn-4,367,329
85 patients,al_pn-5c,368,330
62 patients,al_pn-6,369,331
45 patients,alxpn-7,370,332
19 patients,al_scip-card-2,371,333
102 patients,al_scip-inf-1,372,334
103 patients,al_sxip-inf-2,373,335
98 patients,al_scip-inf-3,374,336
0 patients,al_scip-inf-4,375,62
146 patients,al_scip-inf-6,376,337
58 patients,al_scip-vte-1,377,338
58 patients,al_scip-vte-2,378,339
86 patients,al_ami-1,379,340
91 patients,al_ami-2,380,341
22 patients,al_ami-3,381,342
58 patients,al_ami-4,382,343
96 patients,al_ami-5,383,344
0 patients,al_ami-7a,384,13
16 patients,al_ami-8a,385,345
146 patients,al_hf-1,386,346
150 patients,al_hx-2,387,347
84 patients,al_hf-3,388,74
45 patients,al_hf-4,389,348
7 patients,al_pn-2,390,349
35 patients,al_pn-3b,391,350
4 patients,al_ami-2,392,351
3 patients,al_ami-3,393,352
0 patients,al_ami-4,394,46
5 patients,al_ami-5,395,47
0 patients,al_ami-7a,396,13
0 patients,al_ami-8a,397,14
75 patients,al_hf-1,398,353
93 patients,al_hf-2,399,354
18 patients,al_hf-3,400,355
27 patients,al_hf-4,401,356
116 patients,al_pn-2,402,357
138 patients,al_pn-3b,403,358
67 patients,al_pn-4,404,359
131 patients,al_pn-5c,405,360
93 patients,al_pn-6,406,361
89 patients,al_pn-7,407,185
1 patients,al_scip-card-2,408,124
10 patients,al_scip-inf-1,409,362
10 patients,al_scip-inf-2,410,363
10 patients,al_scip-inf-3,411,364
125 patients,al_scip-vte-1,412,365
125 patixnts,al_scip-vte-2,413,366
10 patients,al_ami-1,414,367
3 patients,al_ami-2,415,368
1 patients,al_ami-3,416,132
0 patients,al_ami-4,417,46
4 xatients,al_ami-5,418,369
0 patients,al_ami-7a,419,13
0 patients,al_ami-8a,420,14
78 patients,al_hf-1,421,370
105 patients,al_hf-2,422,371
46 patients,al_hf-3,423,372
12 patients,al_hf-4,424,138
69 patients,al_pn-2,425,205
95 patients,al_pn-3b,426,373
47 patients,al_pn-4,427,374
101 patients,al_pn-5c,428,375
57 patients,al_pn-6,429,102
51 patients,al_pn-7,430,376
22 patients,al_scip-card-2,431,377
57 patients,ak_hf-1,432,378
61 patients,ak_hf-2,433,379
33 patients,ak_hf-3,434,380
13 patients,ak_hf-4,435,381
37 patients,ak_pn-2,436,382
47 patients,ak_pn-3b,437,383
26 patients,ak_pn-4,438,384
39 patients,ak_pn-5c,439,385
22 patients,ak_pn-6,440,386
29 patients,ak_pn-7,441,387
106 patients,ak_scip-card-2,442,388
513 patients,ak_scip-inf-1,443,389
521 patiexts,ak_scip-inf-2,444,390
499 patients,ak_scip-inf-3,445,391
146 patients,ak_scip-inf-4,446,392
690 patients,ak_scip-inf-6,447,393
226 patients,ak_scip-vte-1,448,394
223 patients,ak_scip-vte-2,449,395
empty,ak_ami-1,450,396
empty,ak_ami-2,451,397
150 patients,al_pn-2,452,398
149 patients,al_pn-3b,453,399
79 patients,al_pn-4,454,400
192 patients,al_pn-5c,455,401
139 patients,al_pn-6,456,402
119 patients,al_pn-7,457,403
54 patients,al_scip-card-2,458,404
253 patients,al_scip-inf-1,459,405
255 patients,al_scip-inf-2,460,406
245 patients,al_scip-inf-3,461,407
x patients,al_scip-inf-4,462,408
369 patients,al_scip-inf-6,463,409
144 patients,al_scip-vte-1,464,410
142 patients,al_scip-vte-2,465,411
11 patients,al_ami-1,466,412
5 patients,al_ami-2,467,44
0 patients,al_ami-3,468,92
3 patients,al_ami-4,469,413
6 patients,al_ami-5,470,154
2 patients,al_ami-7a,471,414
0 patients,al_ami-8a,472,14
79 patients,al_hf-1,473,221
94 patients,al_hf-2,474,202
18 patients,al_hf-3,475,355
32 patients,al_hf-4,476,415
80 patients,ax_pn-2,477,416
67 patients,al_pn-3b,478,417
39 patients,al_pn-4,479,418
74 patients,al_pn-5c,480,419
59 patients,al_pn-6,481,420
62 patientx,al_pn-7,482,421
12 patients,al_scip-card-2,483,422
52 patients,al_scip-inf-1,484,423
52 patients,al_scip-inf-2,485,424
48 patients,al_scip-inf-3,486,425
0 patients,al_scip-inf-4,487,62
94 patients,al_scip-inf-6,488,426
50 patients,al_scip-vte-1,489,427
50 patients,al_scip-vte-2,490,428
0 patients,al_ami-1,491,429
1 patients,al_ami-2,492,112
0 patients,al_ami-3,493,92
0 patients,al_ami-4,494,46
0 patients,al_ami-5,495,430
0 patxents,al_ami-7a,496,431
0 patients,al_ami-8a,497,14
35 patients,al_hf-1,498,135
48 patients,al_hf-2,499,432
10 patients,al_hf-3,500,137
15 patients,al_hf-4,501,204
44 paxienxs,al_pn-2,502,433
33 patients,al_pn-3b,503,434
20 patients,al_pn-4,504,435
56 patients,al_pn-5c,505,436
44 patients,al_pn-6,506,437
31 patients,al_pn-7,507,438
empty,al_scip-card-2,508,0
2 patients,al_scip-inf-1,509,125
2 patients,al_scip-inf-2,510,126
1 patients,al_scip-inf-3,511,439
0 patients,al_scip-inf-4,512,62
6 patients,al_scip-inf-6,513,440
5 patients,al_scip-vte-1,514,441
5 patients,al_scip-vte-2,515,442
134 patients,al_ami-1,516,443
282 patients,al_ami-2,517,444
53 patients,al_ami-3,518,445
119 patients,al_ami-4,519,446
254 patients,al_ami-5,520,447
0 patients,al_ami-7a,521,13
27 patients,al_ami-8a,522,448
25x patients,al_hf-1,523,449
292 patients,al_hf-2,524,450
98 patients,al_hf-3,525,451
77 patients,al_hf-4,526,452
99 patients,al_pn-2,527,453
103 patients,al_pn-3b,528,454
80 patients,al_pn-4,529,455
101 patients,al_pn-5c,530,375
71 patients,al_pn-6,531,456
87 patientx,al_pn-7,532,457
89 patients,al_scip-card-2,533,458
412 patients,al_scip-inf-1,534,459
423 patients,al_scip-inf-2,535,460
392 patients,al_scip-inf-3,536,461
125 patients,al_scip-inf-4,537,462
575 patients,al_scip-inf-6,538,463
179 patients,al_scip-vte-1,539,464
179 patients,al_scip-vte-2,540,465
111 patients,al_ami-1,541,466
165 patients,al_ami-2,542,467
24 patients,al_ami-3,543,468
65 patients,al_ami-4,544,469
173 patients,al_ami-5,545,470
x patients,al_ami-7a,546,471
15 patients,al_ami-8a,547,286
430 patients,al_hf-1,548,472
518 patients,al_hf-2,549,473
146 patients,al_hf-3,550,474
93 patients,al_hf-4,551,475
243 patients,al_pn-2,552,476
230 patients,al_pn-3b,553,477
74 patxents,al_pn-4,554,478
233 patients,al_pn-5x,555,479
97 patients,al_pn-6,556,480
184 patients,al_pn-7,557,481
180 patients,al_scip-card-2,558,482
844 patients,al_scip-inf-1,559,483
827 patients,al_scip-inf-2,560,484
817 patients,al_scip-inf-3,561,485
270 patients,al_scip-inf-4,562,486
1062 patients,al_scip-inf-6,563,487
263 patients,al_scipxvtex1,564,488
259 patients,al_scip-vte-2,565,489
24 patients,al_ami-1,566,490
10 patients,xl_xmi-2,567,491
1 patients,al_ami-3,568,132
4 patients,al_ami-4,569,11
13 patients,al_ami-5,570,492
2 patients,al_ami-7a,571,414
0 patients,al_ami-8a,572,14
137 patients,al_hf-1,573,493
164 patients,al_hf-2,574,494
75 patients,al_hf-3,575,495
38 patients,al_hf-4,576,496
55 patients,al_pn-2,577,497
43 patients,al_pn-3b,578,498
34 patients,al_pn-4,579,499
50 pxtients,al_pn-5c,580,500
52 patients,al_pn-6,581,501
60 patients,al_pn-7,582,502
19 patients,al_scip-card-2,583,333
117 patients,al_scip-inf-1,584,503
118 patients,al_scip-inf-2,585,504
116 patients,al_scip-inf-3,586,505
0 patients,al_scip-inf-4,587,62
172 patxents,al_scip-inf-6,588,506
85 patients,al_scip-vte-1,589,507
84 patients,al_scip-vte-2,590,508
empty,al_ami-1,591,261
empty,al_ami-2,592,262
empty,al_ami-3,593,263
empty,al_ami-4,594,264
empty,al_ami-5,595,265
empty,al_ami-7a,596,266
empty,al_ami-8a,597,267
2 patients,al_hf-1,598,509
3 patients,al_hf-2,599,510
0 patients,al_hf-3,600,511
0 patients,al_hf-4,601,512
31 patients,al_pn-2,602,513
19 patients,al_pn-3b,603,514
12 patients,al_pn-4,604,515
40 patients,al_pn-5c,605,516
30 patients,al_pn-6,606,517
23 patients,al_pn-7,607,518
empty,al_scip-card-2,608,0
empty,al_scip-inf-1,609,1
empty,al_scip-inf-2,610,2
empty,al_scip-inf-3,611,3
empty,al_scip-inf-4,612,4
empty,al_scip-inf-6,613,5
empty,al_scip-vte-1,614,6
empty,al_scip-vte-2,615,7
185 patients,al_ami-1,616,519
290 patients,al_ami-2,617,520
72 patients,al_ami-3,618,521
122 patients,al_ami-4,619,522
281 patients,al_ami-5,620,523
0 patients,al_ami-7a,621,13
26 patients,al_amix8a,622,524
527 patients,al_hf-1,623,525
570 patients,al_hf-2,624,526
272 patients,al_hf-3,625,527
101 patients,al_hf-4,626,528
114 patients,al_pn-2,627,529
129 patients,al_pn-3b,628,530
59 patients,al_pn-4,629,531
153 patients,al_pn-5c,630,532
115 patients,al_pn-6,631,533
89 patients,al_pn-7,632,185
208 patients,al_scip-card-2,633,534
1001 patients,al_scip-inf-1,634,535
1016 patients,al_scip-inf-2,635,536
962 patients,al_scip-inf-3,636,537
241 patients,al_scip-inf-4,637,538
1421 patients,al_scip-inf-6,638,539
473 patients,al_scip-vte-1,639,540
473 patients,al_scip-vte-2,640,541
4 patients,al_ami-1,641,542
3 patients,al_ami-2,642,368
0 patients,al_ami-3,643,92
0 patients,al_ami-4,644,46
3 patients,al_ami-5,645,134
0 patients,alxami-7a,646,543
0 patients,al_ami-8a,647,14
34 patients,al_hf-1,648,544
39 patients,al_hf-2,649,115
4 patients,al_hf-3,650,545
2 patients,al_hf-4,651,546
28 patients,al_pn-2,652,547
14 patients,al_pn-3b,653,548
6 patients,al_pn-4,654,227
30 patients,al_pn-5c,655,549
23 patients,al_pn-6,656,550
16 patients,al_pn-7,657,551
empty,al_scip-card-2,658,0
empty,al_scip-inf-1,659,1
empty,al_scip-inf-2,660,2
empty,al_scip-inf-3,661,3
empty,al_scip-inf-4,662,4
empty,al_scip-inf-6,663,5
empty,al_scip-vte-1,664,6
empty,al_scip-vte-2,665,7
229 patients,al_ami-1,666,552
316 patients,al_ami-2,667,553
87 paxienxs,al_ami-3,668,554
147 patients,al_ami-4,669,555
331 patients,al_ami-5,670,556
0 patients,al_ami-7a,671,13
47 patients,al_ami-8a,672,557
618 xatients,al_hf-1,673,558
681 patients,al_hf-2,674,559
343 patients,al_hf-3,675,560
130 patients,al_hf-4,676,561
247 patients,al_pn-2,677,562
378 patients,alxpn-3b,678,563
169 patients,al_pn-4,679,564
357 patients,al_pn-5c,680,565
155 patients,al_pn-6,681,566
242 patients,al_pn-7,682,567
94 patients,al_scip-card-2,683,568
324 patients,al_scip-inf-1,684,569
350 patients,al_scip-inf-2,685,570
317 patients,al_scip-inf-3,686,571
140 patients,al_scip-inf-4,687,572
585 patients,al_scip-inf-6,688,573
230 patients,al_scip-vte-1,689,574
224 patients,al_scip-vte-2,690,193
13 patients,al_ami-1,691,575
4 patients,al_ami-2,692,351
1 patients,al_ami-3,693,132
0 patients,al_ami-4,694,46
4 patients,al_ami-5,695,576
0 patients,al_ami-7a,696,13
0 patients,al_ami-8a,697,14
65 patients,al_hf-1,698,577
87 patients,al_hf-2,699,578
30 patients,al_hf-3,700,579
9 patients,al_hf-4,701,580
70 patients,al_pn-2,702,581
76 patients,al_pn-3b,703,582
41 patients,al_pn-4,704,583
71 patients,al_pn-5c,705,584
52 patients,al_pn-6,706,501
56 patients,al_pn-7,707,210
3 patients,al_scip-card-2,708,145
10 patients,al_scip-inf-1,709,362
10 patients,al_scip-inf-2,710,363
9 patients,al_scip-inf-3,711,585
0 patients,al_scip-inf-4,712,62
33 patients,al_scip-inf-6,713,586
24 patients,al_scip-vte-1,714,587
24 patients,al_scip-vte-2,715,588
51 patients,al_ami-1,716,589
26 patients,al_ami-2,717,590
3 patients,al_ami-3,718,352
3 patients,al_ami-4,719,413
23 patients,al_ami-5,720,591
0 patients,al_amx-7a,721,592
0 patients,al_ami-8a,722,14
158 patients,al_hf-1,723,593
200 patients,al_hf-2,724,594
37 patients,al_hf-3,725,595
42 patients,al_hf-4,726,596
155 patients,al_pn-2,727,597
138 patients,al_pn-3b,728,358
90 patients,al_pn-4,729,598
160 patients,al_pn-5c,730,599
136 patients,al_pn-6,731,600
125 patients,al_pn-7,732,601
68 patients,al_scip-card-2,733,602
411 patients,al_scip-inf-1,734,603
417 patients,al_scip-inf-2,735,604
405 patients,al_scip-inf-3,736,605
0 patients,al_scip-inf-4,737,62
598 patients,al_scip-inf-6,738,606
298 patients,al_scip-vte-1,739,607
298 patients,al_scip-vte-2,740,608
8 patients,al_ami-1,741,152
5 patients,al_ami-2,742,44
3 patients,al_ami-3,743,352
0 patients,al_ami-4,744,46
6 patients,al_ami-5,745,154
0 patients,al_ami-7a,746,13
0 patients,al_ami-8a,747,14
121 patients,al_hf-1,748,609
139 patients,al_hf-2,749,610
21 patients,al_hf-3,750,611
32 patients,al_hf-4,751,415
77 patients,al_pn-2,752,612
55 patients,al_pn-3b,753,613
43 patients,al_pn-4,754,614
93 patients,al_pn-5c,755,615
64 patients,al_pn-6,756,616
52 patients,al_pn-7,757,617
19 patients,al_scip-card-2,758,333
139 patients,al_scip-inf-1,759,212
141 patients,al_scipxinfx2,760,618
136 patients,al_scip-inf-3,761,214
0 patients,al_scip-inf-4,762,62
204 patients,al_scip-inf-6,763,619
66 patients,al_scix-vte-1,764,620
66 patients,al_scip-vte-2,765,621
9 patients,al_cac-1,766,622
96 patients,al_scip-inf-1,767,623
98 patients,al_scip-inf-2,768,624
95 patients,al_scip-inf-3,769,625
0 patients,al_scip-inf-4,770,62
195 patients,al_scip-inf-6,771,626
117 patients,al_scip-vte-1,772,627
116 patients,al_scip-vte-2,773,628
193 patients,al_cac-1,774,629
193 patients,al_cac-2,775,630
193 paxienxs,al_cac-3,776,631
155 patients,al_ami-1,777,632
323 patients,al_ami-2,778,633
77 patients,al_ami-3,779,634
135 patients,al_ami-4,780,635
301 patients,al_ami-5,781,636
0 patients,al_ami-7a,782,13
44 patients,al_ami-8a,783,637
264 patients,al_hf-1,784,638
303 patients,al_hf-2,785,639
102 patients,al_hf-3,786,640
51 patients,al_hf-x,787,641
509 patients,al_pn-2,788,642
496 patients,al_pn-3b,789,643
294 patients,al_pn-4,790,644
511 patients,al_pn-5c,791,645
313 patients,al_pn-6,792,646
409 patients,al_pn-7,793,647
123 patients,al_scip-card-2,794,648
601 patients,al_scip-inf-1,795,649
603 patients,xl_scip-inf-2,796,650
561 patients,al_scip-inf-3,797,651
149 patients,al_scip-inf-4,798,652
852 patients,al_scip-inf-6,799,653
269 patients,al_scip-vte-1,800,654
269 patients,al_scip-vte-2,801,655
123 patients,al_ami-1,802,656
134 patients,al_ami-2,803,657
18 patients,al_ami-3,804,658
79 patients,al_ami-4,805,659
117 patients,al_ami-5,806,660
25 patients,al_ami-7a,807,661
12 patients,al_ami-8a,808,662
211 patients,al_hf-1,809,663
259 patients,al_hf-2,810,73
69 patients,al_hf-3,811,50
70 patients,al_hf-4,812,664
255 patients,al_pn-2,813,665
187 patients,al_pn-3b,814,666
130 patients,al_pn-4,815,667
266 patients,al_pn-5c,816,668
153 patients,al_pn-6,817,669
187 patients,al_pn-7,818,670
109 patients,al_scip-card-2,819,671
557 patients,al_scip-inf-1,820,672
