Filming Locations,original_index,unique_index
"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",96,56
"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",97,56
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",98,54
"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",99,56
"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",100,56
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",101,54
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",102,54
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",103,54
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",104,54
Germany,105,72
,106,3
"2nd Street Tunnel between Hill and Figueroa, Los Angeles, California, USA",107,73
"The Astral House, 2210 Astral Place, Los Angeles, California, USA",108,74
"Irvington, New York, USA",109,75
"Magazine Street, New Orleans, Louisiana, USA",110,76
"Alameda, California, USA",111,28
"6621 Whitley Terrace, Whitley Heights, Hollywood, Los Angeles, California, USA",112,77
"2nd Floor, Marquette County Courthouse - 234 W. Baraga Avenue, Marquette, Michigan, USA",113,78
"North Carolina, USA",114,79
Romania,115,80
"Los Angeles, California, USA",116,10
"Anzio, Italy",117,81
"Kayenta, Arizona, USA",118,82
"South Flower Street, Los Angeles, California, USA",119,83
"Aircraft Hanger, Van Nuys Airport - 6590 Hayvenhurst Avenue, Van Nuys, Los Angeles, California, USA",120,84
"Snohomish High School - 1316 5th Street, Snohomish, Washington, USA",121,85
"Muriwai Beach, Woodhill Forest, Woodhill, Auckland, New Zealand",122,86
"Toronto, Ontario, Canada",123,87
"Playland Amusement Park, Pacific National Exhibition Grounds, Vancouver, British Columbia, Canada",124,88
"Harahan, Louisiana, USA",125,89
"169 N. Baldwin Avenue, Sierra Madre, California, USA",126,90
"California State University Northridge - 18111 Nordhoff Street, Northridge, Los Angeles, California, USA",127,91
"Empire Studios, Rome, Lazio, Italy",128,92
"Glendale, California, USA",129,93
"Downtown, Los Angeles, California, USA",130,94
"Yuma, Arizona, USA",131,95
"Manhattan Beach, California, USA",132,96
,133,3
"Plymouth, Massachusetts, USA",134,97
"Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",135,98
"Associated British Picture Studios, Borehamwood, Hertfordshire, England, UK",136,99
"Bray Studios, Down Place, Oakley Green, Berkshire, England, UK",137,100
"Chatham Historic Dockyard, Chatham, Kent, England, UK",138,101
"RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA",139,102
"Appleton, Wisconsin, USA",140,103
"Antony House, Torpoint, Cornwall, England, UK",141,104
"England, UK",142,45
,143,3
,144,3
"Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",145,105
,146,3
,147,3
"Disney's Hollywood Studios, Walt Disney World, Lake Buena Vista, Florida, USA",148,106
,149,3
"Los Angeles, California, USA",150,10
"Fox Studios, Moore Park, Sydney, New South Wales, Australia",151,44
,152,3
,153,3
,154,3
"Church of Saint Paul the Apostle, Columbus Avenue & West 60th Street, New York City, New York, USA",155,107
"New York City, New York, USA",156,9
"Boston Garden - 150 Causeway Street, Boston, Massachusetts, USA",157,108
"Tarrant County, Texas, USA",158,109
"Beverly Hills, California, USA",159,110
"Exposition Park, Los Angeles, California, USA",160,111
"Indoor Pool, Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA",161,112
"Carnegie Mellon University - 5000 Forbes Avenue, Pittsburgh, Pennsylvania, USA",162,113
"Chilliwack, British Columbia, Canada",163,114
"West Dayton Street & South Delacy Street, Pasadena, California, USA",164,115
"Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA",165,116
"New York City, New York, USA",166,9
"4th Street Bridge, Los Angeles, California, USA",167,117
"General Service Studios - 1040 N. Las Palmas, Hollywood, Los Angeles, California, USA",168,118
"Lake Arrowhead, San Bernardino National Forest, California, USA",169,119
"Lake Sherwood, California, USA",170,120
"Belvedere Island, California, USA",171,121
"Camp Pendleton Marine Corps Base, Oceanside, California, USA",172,122
"Florida Keys, Florida, USA",173,123
"Monument Valley, Arizona, USA",174,124
"Carson City, Nevada, USA",175,125
"Casa Blanca, Durango, Mexico",176,126
"Alabama Hills, Lone Pine, California, USA",177,127
"Kaua'i, Hawaii, USA",178,128
"Arusha National Park, Tanzania",179,129
Morocco,180,130
"Marymount High School - 10643 W. Sunset Blvd., Los Angeles, California, USA",181,131
,182,3
"Ealing Town Hall, Ealing, London, England, UK",183,132
"Fontana Dam, North Carolina, USA",184,133
"Los Angeles, California, USA",185,10
"1050 Arden Road, Pasadena, California, USA",186,134
"8th Avenue, Manhattan, New York City, New York, USA",187,135
"Los Angeles, California, USA",188,10
"Jefferson County, Indiana, USA",189,136
"Connaught Tunnel, near London City Airport, Newham, East London, London, England, UK",190,137
"Red Bank, New Jersey, USA",191,138
,192,3
"Santa Clarita, California, USA",193,26
"New Jersey, USA",194,139
"Colonial Rd & 81st St, Brooklyn, New York City, New York, USA",195,140
"Las Vegas, Nevada, USA",196,141
,197,3
"Floresville, Texas, USA",198,142
"William Cullen Bryant School 1355 South Kedvale Avenue, Chicago, IL.",199,143
"Conemaugh, Pennsylvania, USA",200,144
"Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",201,145
"Cliffs, Marineland of the Pacific - 6610 Palos Verdes Drive South, Rancho Palos Verdes, California, USA",202,146
"Wilmington, Ohio, USA",203,147
"Bali, Indonesia",204,148
"Reseda, California, USA",205,149
"Atlantis Casino, Paradise Island, Bahamas",206,150
USA,207,21
"Exchange Place, Lower Manhattan, Manhattan, New York City, New York, USA",208,151
"Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA",209,152
"Arlington Towers - 100 N. Arlington Avenue, Reno, Nevada, USA",210,153
"Atlanta, Georgia, USA",211,154
"Los Angeles, California, USA",212,10
"Warner Brothers Studio Plaza - 3400 W. Riverside Dr. Burbank, California, USA",213,155
"Ohio, USA",214,156
"Conyers, Georgia, USA",215,157
"Brooklyn, New York City, New York, USA",216,33
"Madison Square Garden, New York City, New York, USA",217,158
"Circle Z Ranch - 1476 Highway 82, Patagonia, Arizona, USA",218,159
"Chalco, Mexico City, Distrito Federal, Mexico",219,160
"Juliette, Georgia, USA",220,161
"New York City, New York, USA",221,9
"Fort Ord, California, USA",222,162
"New Orleans, Louisiana, USA",223,48
"Le Mans, Sarthe, France",224,163
"Farnborough Hall, Warwickshire",225,164
"Acquigny, Calvados, France",226,165
"East Harlem, Manhattan, New York City, New York, USA",227,166
"Durango, Mexico",228,167
"Tucson, Arizona, USA",229,168
"Alabama Hills, Lone Pine, California, USA",230,127
"Dijon Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",231,169
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",232,54
"417 Amapola Lane, Bel Air, Los Angeles, California, USA",233,170
,234,3
,235,3
,236,3
"Providence, Rhode Island, USA",237,171
"Raleigh Studios Baton Rouge, Celtic Media Centre, Baton Rouge, Louisiana, USA",238,172
"Los Angeles, California, USA",239,10
"Pawling, New York, USA",240,173
"Boston, Massachusetts, USA",241,174
"Santa Clarita, California, USA",242,26
"Broadway Market, Hackney, London, England, UK",243,175
"Bensalem Township, Pennsylvania, USA",244,176
"Angola, Louisiana, USA",245,177
"Lee's Ferry, Arizona, USA",246,178
"Moab, Utah, USA",247,179
"Echo Park, Los Angeles, California, USA",248,180
"Cape Cod, Massachusetts, USA",249,181
"Cafe Florian, Piazza San Marco 56-59, Venice, Veneto, Italy",250,182
"Anguillara Sabazia, Rome, Lazio, Italy",251,183
"Madrid, Spain",252,184
"Corriganville, Ray Corrigan Ranch, Simi Valley, California, USA",253,185
"Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",254,186
"Berkshire Mountains, Massachusetts, USA",255,187
"Los Angeles, California, USA",256,10
"Arizona, USA",257,188
"Golden Ears Provincial Park, British Columbia, Canada",258,189
"New Jersey, USA",259,139
Canada,260,190
,261,3
"Prague, Czech Republic",262,191
"Chandigarh, Punjab, India",263,192
"Los Angeles, California, USA",264,10
,265,3
"Littlefield, Arizona, USA",266,193
"Chatham Historic Dockyard, Chatham, Kent, England, UK",267,101
"Bloomingdale's - 1000 Third Avenue, Manhattan, New York City, New York, USA",268,194
"Clarkesville, Georgia, USA",269,195
"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",270,68
Africa,271,196
"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",272,68
,273,3
"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",274,56
,275,3
"Corriganville, Ray Corrigan Ranch, Simi Valley, California, USA",276,185
"Sanford, Florida, USA",277,197
"Bowie High School - 4103 W. Slaughter Lane, Austin, Texas, USA",278,198
"Monterey Village. Tucson, Arizona, USA",279,199
"Ait Benhaddou, Morocco",280,16
"Ait Benhaddou, Morocco",281,16
"Manhattan, New York City, New York, USA",282,200
"Paramount Building, 1633 Broadway, New York City, New York, USA",283,201
"Ballroom, Park Plaza Hotel - 607 S. Park View Street, Los Angeles, California, USA",284,202
"Austin, Texas, USA",285,203
"Hôtel de Sully, Paris 4, Paris, France",286,204
"128 Spring Street, Soho, Manhattan, New York City, New York, USA",287,205
"380 South San Rafael Avenue, Pasadena, California, USA",288,206
"White House - 1600 Pennsylvania Avenue NW, Washington, District of Columbia, USA",289,207
"Sokolec, Czech Republic",290,208
"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",291,209
"Château de Pierrefonds, Pierrefonds, Oise, France",292,210
"Beverly Center - 8500 Beverly Blvd., Los Angeles, California, USA",293,211
"Austin, Texas, USA",294,203
"Austin, Texas, USA",295,203
"Blue Bell, Pennsylvania, USA",296,212
"Alnwick Castle, Alnwick, Northumberland, England, UK",297,213
"North Carolina, USA",298,79
"1930 Rodney Drive, Los Angeles, California, USA",299,214
"Broadway, Manhattan, New York City, New York, USA",300,215
"Church Street Station - 129 W. Church Street, Orlando, Florida, USA",301,216
"Brophy Elementary School, Framingham, Massachusetts, USA",302,217
"The Original Los Angeles Flower Market - 754 Wall St, Los Angeles, California, USA",303,218
"New York City, New York, USA",304,9
"Coronado Beach, Coronado, California, USA",305,219
"Grauman's Chinese Theater - 6925 Hollywood Blvd., Hollywood, Los Angeles, California, USA",306,220
"72nd Street, Broadway, Manhattan, New York City, New York, USA",307,221
Hungary,308,222
Arctic,309,223
"Cesar E Chavez Avenue Viaduct, Downtown, Los Angeles, California, USA",310,224
"Palmdale Regional Airport, Palmdale, California, USA",311,225
"Los Angeles, California, USA",312,10
"Ironhead Studio, Los Angeles, California, USA",313,226
"Albuquerque, New Mexico, USA",314,227
"Central Park, Manhattan, New York City, New York, USA",315,228
"Baton Rouge, Louisiana, USA",316,229
"Chicago, Illinois, USA",317,230
"Atlantic Beach, North Carolina, USA",318,231
"Los Angeles, California, USA",319,10
"Montréal, Québec, Canada",320,46
"Oyster Bay, Long Island, New York, USA",321,232
"Boston, Massachusetts, USA",322,174
"Hotaling Cafe - 60 Hotaling Pl, San Francisco, California, USA",323,233
"Carolina Beach, North Carolina, USA",324,234
"Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",325,235
"The Ebell of Los Angeles - 743 South Lucerne Bouelvard, Los Angeles, California, USA",326,236
"Beaufort, South Carolina, USA",327,237
"Bradbury Building - 304 S. Broadway, Downtown, Los Angeles, California, USA",328,238
"Beaufort, South Carolina, USA",329,237
"Agnes Scott College - 141 E. College Avenue, Decatur, Georgia, USA",330,239
"Bakersfield, California, USA",331,240
"Forest Hills, Queens, New York City, New York, USA",332,241
"Harriman State Park, Bear Mountain, New York, USA",333,242
"Holmesburg Prison - 8215 Torresdale Avenue, Philadelphia, Pennsylvania, USA",334,243
"Chesapeake Bay Bridge, Chesapeake Bay, Maryland, USA",335,244
"Agoura Hills, California, USA",336,245
"Oxford, Ohio, USA",337,246
Bahamas,338,247
,339,3
"2421 S Figueroa St, Los Angeles, California, USA",340,248
"Wilmington, North Carolina, USA",341,249
"London, England, UK",342,22
"Osgoode Hall, Toronto, Ontario, Canada",343,250
"Rose Center for Earth & Space - 200 Central Park West, Manhattan, New York City, New York, USA",344,251
China,345,252
"New York City, New York, USA",346,9
"Stone Mountain - Highway 78, Stone Mountain, Georgia, USA",347,253
"Glenville, New York, USA",348,254
"Woodbury, Georgia USA",349,255
"Reidsville, North Carolina, USA",350,256
"Annapolis, Maryland, USA",351,257
"Statue of Liberty, Liberty Island, New York Harbor, New York City, New York, USA",352,258
"Blue Mound, Illinois, USA",353,259
"Taylor Street, San Francisco, California, USA",354,260
"Alexandra Palace, Alexandra Palace Way, Muswell Hill, London, England, UK",355,261
South Africa,356,262
"Continuum At South Beach - 100 South Pointe Drive, Miami Beach, Florida, USA",357,263
"Los Angeles, California, USA",358,10
"Los Angeles, California, USA",359,10
"Centennial College, Toronto, Ontario, Canada",360,264
"Four Aces - 14499 E. Avenue Q, Palmdale, California, USA",361,265
"Bradbury Building - 304 S. Broadway, Downtown, Los Angeles, California, USA",362,238
"Greenmount Avenue at 33rd Street, Baltimore, Maryland, USA",363,266
"Hopfenohe, Grafenwöhr, Bavaria, Germany",364,267
"Foxborough, Massachusetts, USA",365,268
"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",366,68
"Circle Drive, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",367,269
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",368,54
"Apple Valley Inn - Apple Valley Inn Road, Apple Valley, California, USA",369,270
"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",370,271
"Aquarius Theater - 6230 Sunset Blvd., Hollywood, Los Angeles, California, USA",371,272
"Colonial Street, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",372,273
"Beverly Hilton Hotel - 9876 Wilshire Blvd., Beverly Hills, California, USA",373,274
"Circle Drive, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",374,269
"Delray Beach, Florida, USA",375,275
"Bahia, Brazil",376,276
"Paris, France",377,277
"Culver City, California, USA",378,278
"209 Short Street, Southport, North Carolina, USA",379,279
"5th Avenue, Manhattan, New York City, New York, USA",380,280
"Fort Lauderdale, Florida, USA",381,281
"3871 Tomales Road, Tomales, California, USA",382,282
,383,3
"Los Angeles, California, USA",384,10
,385,3
"New Orleans, Louisiana, USA",386,48
"Cookeville, Tennessee, USA",387,283
"Agua Dulce Movie Ranch - 34855 Petersen Road, Agua Dulce, California, USA",388,284
"Lompoc, California, USA",389,285
"New York City, New York, USA",390,9
"Allegheny County, Pennsylvania, USA",391,286
"Sevilla, Andalucía, Spain",392,287
,393,3
"3324 N. Christmas Avenue, Tucson, Arizona, USA",394,288
"1152 S Wabash Ave, Chicago, Illinois, USA",395,289
"Austin, Texas, USA",396,203
"1382 Waverly Rd., Highland Park, Illinois, USA",397,290
"340 N. Faring Rd. Los Angeles, California",398,291
"Koi, former L'Ermitage Restaurant - 730 North La Cienega Boulevard, Los Angeles, California, USA",399,292
"Yosemite National Park, California, USA",400,293
"Black Lagoon, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",401,294
"391 Filbert Street - San Francisco, California, USA",402,295
"California, USA",403,27
"Boscov's Camp Hill - 170 South 32nd Street, Camp Hill, Pennsylvania, USA",404,296
"Syracuse, New York, USA",405,297
"Manhattan, New York City, New York, USA",406,200
"California State University Northridge - 18111 Nordhoff Street, Northridge, Los Angeles, California, USA",407,91
"One Park Place B5, Atlanta, Georgia, USA",408,298
"Rio Grande Gorge Bridge, Taos, New Mexico, USA",409,299
"Santa Clarita, California, USA",410,26
"9 Broadway, Manhattan, New York City, New York, USA",411,300
"Courthouse Square, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",412,301
"Santa Clarita, California, USA",413,26
"Baltimore, Maryland, USA",414,38
"1004 Highland Street, South Pasadena, California, USA",415,302
"Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",416,303
"4160 Country Club Drive, Long Beach, California, USA",417,304
Czech Republic,418,305
"Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",419,303
"San Juan, Puerto Rico",420,306
"Fore River Ship Yard, Quincy, Massachusetts, USA",421,307
"Sächsische Schweiz, Saxony, Germany",422,308
"Figueroa Hotel - 939 S. Figueroa Street, Downtown, Los Angeles, California, USA",423,309
"Abiquiu, New Mexico, USA",424,310
"Cook Bank Building, Rhyolite, Nevada, USA",425,311
"Castle Green Apartments - 99 S. Raymond, Pasadena, California, USA",426,312
"Ajax, Ontario, Canada",427,313
"New York, USA",428,314
"Chatham Historic Dockyard, Chatham, Kent, England, UK",429,101
"Bronx, New York City, New York, USA",430,315
"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",431,271
"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",432,58
"George Air Force Base, Victorville, California, USA",433,316
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",434,54
"RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA",435,102
"Bald Head Island, North Carolina, USA",436,317
"Carson City, Nevada, USA",437,125
"Santa Monica, California, USA",438,318
"Guadalupe Canyon, Arizona, USA",439,319
"Lone Pine, California, USA",440,320
"Santa Clarita, California, USA",441,26
"Hal Roach Studios - 8822 Washington Blvd., Culver City, California, USA",442,321
"Huelva, Andalucía, Spain",443,322
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",444,54
,445,3
"Bronson Caves, Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",446,323
"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",447,56
"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",448,56
"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",449,56
"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",450,271
"Rome, Italy",451,324
"Banning, California, USA",452,325
"Bay St. Louis, Mississippi, USA",453,326
"111 Waverly Place, Greenwich Village, Manhattan, New York City, New York, USA",454,327
"190 Riverside Drive, Manhattan, New York City, New York, USA",455,328
"Los Angeles, California, USA",456,10
,457,3
"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",458,58
"Sable Ranch - 25933 Sand Canyon Road, Santa Clarita, California, USA",459,329
USA,460,21
USA,461,21
"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",462,68
"Madison, New Jersey, USA",463,330
"Hop Kiln Winery, Sonoma, California, USA",464,331
"Echo Park, Los Angeles, California, USA",465,180
"387 South Main Street, Los Angeles, California, USA",466,332
"Hollywood, California, USA",467,333
"Downtown, Los Angeles, California, USA",468,94
"Los Angeles, California, USA",469,10
"Los Angeles, California, USA",470,10
"Los Angeles, California, USA",471,10
"Jersey City, New Jersey, USA",472,334
"Arizona, USA",473,188
"Goshen, Connecticut, USA",474,335
"California, USA",475,27
"Bremen, Georgia, USA",476,336
"13780 Rayen Street - Arleta, California, USA",477,337
"Los Angeles, California, USA",478,10
,479,3
"San Francisco, California, USA",480,338
"Beijing Film Studio, Beijing, China",481,339
"Lake Mead, Nevada, USA",482,340
"Bedford-Stuyvesant, Brooklyn, New York City, New York, USA",483,341
"88th Precinct - 298 Classon Avenue, Fort Greene, Brooklyn, New York City, New York, USA",484,342
"California, USA",485,27
"Owens Lake, California, USA",486,343
"Hotel d'Angleterre, Copenhagen, Denmark",487,344
,488,3
"Shreveport, Louisiana, USA",489,345
"Louisiana, USA",490,25
"Atlanta, Georgia, USA",491,154
"North Carolina, USA",492,79
"Charlotte, North Carolina, USA",493,346
"Ossining, New York, USA",494,347
"Louisiana, USA",495,25
"California, USA",496,27
"Michigan, USA",497,348
"Cincinnati, Ohio, USA",498,349
"Utah, USA",499,350
"San Francisco, California, USA",500,338
,501,3
"Ann Arbor, Michigan, USA",502,351
"Garces Highway 1/10th mile East from Corcoran Road and Kern National Wildlife Preserve, Kern County, California, USA",503,352
"176 Elkwood Dr., Lake Lure, North Carolina, USA",504,353
"Miami, Florida, USA",505,354
"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",506,54
"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",507,355
"1912 N Cahuenga Boulevard, Los Angeles, USA",508,356
"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",509,357
"Almería, Andalucía, Spain",510,358
"Chiapas, Mexico",511,359
,512,3
"Antigua, Guatemala",513,360
"333 S La Cienega Blvd, Los Angeles, California, USA",514,361
"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",515,362
"High Street, Moorpark, California, USA",516,363
"Atlanta, Georgia, USA",517,154
Philippines,518,364
"Distillery District, Toronto, Ontario, Canada",519,365
"Amsterdam, Noord-Holland, Netherlands",520,366
"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",521,56
"1230 East Linden Avenue, Linden, New Jersey, USA",522,367
France,523,368
"Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",524,369
"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",525,56
"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",526,56
"New York City, New York, USA",527,9
"Pflugerville, Texas, USA",528,370
"7121 Lonzo Street, Tujunga, Los Angeles, California, USA",529,371
"172 S. McCadden Pl., Hancock Park, Los Angeles, California, USA",530,372
"Cottage Grove, Oregon, USA",531,373
"Lacy Street Production Center - 2630 Lacy Street, Los Angeles, California, USA",532,374
Bulgaria,533,375
"Ait Benhaddou, Morocco",534,16
"Cleveland, Ohio, USA",535,376
"Gotham, New York City, New York, USA",536,377
"White Stallion Ranch, Tucson, Arizona, USA",537,378
"Belfast, Maine, USA",538,379
,539,3
,540,3
"Pearl Harbor, O'ahu, Hawaii, USA",541,380
"Castle Valley, Moab, Utah, USA",542,381
"Conroe, Texas, USA",543,382
"Nebraska, USA",544,383
"Communications Center, Los Angeles City College - 855 North Vermont Avenue, Los Angeles, California, USA",545,384
,546,3
"Hansaviertel, Tiergarten, Berlin, Germany",547,385
"Santa Clarita, California, USA",548,26
,549,3
"California, USA",550,27
"Old Tucson Studios, Tucson, Arizona, USA",551,386
"Sierra Madre del Sur, Mexico",552,387
"Athens, Tennessee, USA",553,388
"San Francisco, California, USA",554,338
"Bell Ranch, Santa Susana, California, USA",555,389
"Screen Gems Studios - 1223 North 23rd Street, Wilmington, North Carolina, USA",556,390
"Shepperton Studios, Shepperton, Surrey, England, UK",557,32
"London, England, UK",558,22
"Empire Stages of New York, Long Island City, Queens, New York City, New York, USA",559,391
"Santa Clarita, California, USA",560,26
"Cow Palace, San Francisco, California, USA",561,392
"Eel Pie Studios, Twickenham, Middlesex, England, UK",562,393
"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",563,362
