ReviewCount,original_index,unique_index
"15 user,7 critic",95,95
"99 user,32 critic",96,96
"40 user,21 critic",97,97
"21 user,13 critic",98,98
"33 user,14 critic",99,99
"48 user,17 critic",100,100
"42 user,31 critic",101,101
"33 user,20 critic",102,102
"25 user,15 critic",103,103
"26 user,25 critic",104,104
"74 user,38 critic",105,105
,106,29
"162 user,77 critic",107,106
"239 user,110 critic",108,107
"120 user,61 critic",109,108
"286 user,126 critic",110,109
"64 user,52 critic",111,110
"126 user,44 critic",112,111
"190 user,93 critic",113,112
"85 user,23 critic",114,113
"356 user,89 critic",115,114
"288 user,76 critic",116,115
"362 user,110 critic",117,116
"399 user,199 critic",118,117
"198 user,108 critic",119,118
"198 user,85 critic",120,119
"149 user,81 critic",121,120
"772 user,534 critic",122,121
"612 user,210 critic",123,122
"564 user,211 critic",124,123
"284 user,218 critic",125,124
"113 user,61 critic",126,125
"128 user,121 critic",127,126
"112 user,131 critic",128,127
"128 user,118 critic",129,128
"2,673 user,795 critic",130,129
"562 user,143 critic",131,130
"797 user,353 critic",132,131
,133,29
"123 user,81 critic",134,132
"182 user,96 critic",135,133
"75 user,83 critic",136,134
"70 user,55 critic",137,135
"375 user,159 critic",138,136
"393 user,153 critic",139,137
"401 user,190 critic",140,138
"720 user,435 critic",141,139
"1,497 user,271 critic",142,140
"937 user,211 critic",143,141
"616 user,184 critic",144,142
"327 user,177 critic",145,143
"259 user,163 critic",146,144
"291 user,140 critic",147,145
"157 user,111 critic",148,146
"137 user,81 critic",149,147
"285 user,139 critic",150,148
"544 user,205 critic",151,149
"334 user,353 critic",152,150
"155 user,191 critic",153,151
"117 user,165 critic",154,152
"304 user,113 critic",155,153
"45 user,25 critic",156,154
"31 user,9 critic",157,155
"22 user,7 critic",158,156
"64 user,51 critic",159,157
"92 user,28 critic",160,158
"65 user,50 critic",161,159
"64 user,31 critic",162,160
"526 user,150 critic",163,161
"64 user,37 critic",164,162
"97 user,44 critic",165,163
"37 user,23 critic",166,164
"56 user,37 critic",167,165
"16 user,11 critic",168,166
"28 user,15 critic",169,167
"14 user,12 critic",170,168
"34 user,16 critic",171,169
"29 user,16 critic",172,170
"78 user,26 critic",173,171
"77 user,53 critic",174,172
"145 user,46 critic",175,173
"52 user,32 critic",176,174
"40 user,21 critic",177,97
"61 user,20 critic",178,175
"74 user,37 critic",179,176
"154 user,214 critic",180,177
"75 user,13 critic",181,178
"35 user,22 critic",182,179
"37 user,42 critic",183,180
"66 user,109 critic",184,181
"18 user,67 critic",185,182
"63 user,15 critic",186,183
"55 user,27 critic",187,184
1 user,188,185
"66 user,30 critic",189,186
"184 user,208 critic",190,187
"118 user,29 critic",191,188
"7 user,11 critic",192,189
"866 user,178 critic",193,190
"356 user,161 critic",194,191
"170 user,201 critic",195,192
"1 user,5 critic",196,193
"34 user,6 critic",197,194
"31 user,21 critic",198,195
"55 user,27 critic",199,184
"50 user,23 critic",200,196
"95 user,30 critic",201,197
"329 user,139 critic",202,198
"107 user,36 critic",203,199
"292 user,210 critic",204,200
"176 user,215 critic",205,201
"183 user,209 critic",206,202
"190 user,244 critic",207,203
"637 user,230 critic",208,204
"38 user,28 critic",209,205
"98 user,51 critic",210,206
"63 user,21 critic",211,207
"682 user,166 critic",212,208
"50 user,38 critic",213,209
"318 user,305 critic",214,210
"584 user,440 critic",215,211
"581 user,135 critic",216,212
"184 user,271 critic",217,213
"30 user,24 critic",218,214
"113 user,101 critic",219,215
"24 user,33 critic",220,216
"7 user,4 critic",221,217
"53 user,10 critic",222,218
"91 user,37 critic",223,219
"66 user,33 critic",224,220
"103 user,40 critic",225,221
"124 user,62 critic",226,222
"28 user,12 critic",227,223
"30 user,15 critic",228,224
"59 user,20 critic",229,225
"26 user,6 critic",230,226
"16 user,6 critic",231,10
"29 user,7 critic",232,227
"156 user,70 critic",233,228
"75 user,49 critic",234,229
"5 user,2 critic",235,230
"19 user,3 critic",236,80
"19 user,72 critic",237,231
"519 user,319 critic",238,232
"24 user,27 critic",239,233
"67 user,34 critic",240,234
"409 user,371 critic",241,235
"167 user,171 critic",242,236
"394 user,348 critic",243,237
"2,321 user,208 critic",244,238
"305 user,154 critic",245,239
"113 user,38 critic",246,240
"439 user,444 critic",247,241
"34 user,15 critic",248,242
"152 user,123 critic",249,243
"693 user,198 critic",250,244
"232 user,203 critic",251,245
"21 user,20 critic",252,246
"11 user,9 critic",253,247
"23 user,8 critic",254,248
"56 user,33 critic",255,249
"266 user,280 critic",256,250
"709 user,274 critic",257,251
"358 user,136 critic",258,252
"199 user,129 critic",259,253
"130 user,27 critic",260,254
"1 user,2 critic",261,48
"131 user,49 critic",262,255
"633 user,553 critic",263,256
,264,29
9 critic,265,257
"11 user,1 critic",266,258
"827 user,486 critic",267,259
"2,157 user,445 critic",268,260
"12 user,3 critic",269,261
"21 user,3 critic",270,262
"24 user,8 critic",271,263
"20 user,10 critic",272,264
"11 user,28 critic",273,265
"22 user,15 critic",274,266
,275,29
2 user,276,267
"32 user,7 critic",277,268
"88 user,64 critic",278,269
"88 user,46 critic",279,270
"117 user,86 critic",280,271
"302 user,110 critic",281,272
"381 user,160 critic",282,273
"217 user,82 critic",283,274
"74 user,52 critic",284,275
"43 user,85 critic",285,276
"139 user,46 critic",286,277
"175 user,79 critic",287,278
"563 user,95 critic",288,279
"259 user,236 critic",289,280
"709 user,315 critic",290,281
"503 user,287 critic",291,282
"237 user,80 critic",292,283
"34 user,60 critic",293,284
"574 user,206 critic",294,285
"1,723 user,373 critic",295,286
"2,061 user,228 critic",296,287
"309 user,63 critic",297,288
"957 user,78 critic",298,289
"168 user,174 critic",299,290
"153 user,174 critic",300,291
"49 user,72 critic",301,292
"101 user,146 critic",302,293
"207 user,184 critic",303,294
"165 user,158 critic",304,295
"340 user,179 critic",305,296
"521 user,164 critic",306,297
"338 user,143 critic",307,298
"495 user,407 critic",308,299
"534 user,248 critic",309,300
"1,766 user,396 critic",310,301
"1,025 user,479 critic",311,302
"712 user,555 critic",312,303
"1,051 user,487 critic",313,304
,314,29
"180 user,100 critic",315,305
"2 user,9 critic",316,306
"207 user,117 critic",317,307
"56 user,44 critic",318,308
"39 user,65 critic",319,309
"118 user,74 critic",320,310
"181 user,168 critic",321,311
"142 user,107 critic",322,312
"45 user,23 critic",323,313
"91 user,129 critic",324,314
"71 user,21 critic",325,315
"166 user,39 critic",326,316
"88 user,37 critic",327,317
"35 user,54 critic",328,318
"139 user,98 critic",329,319
"280 user,99 critic",330,320
"274 user,110 critic",331,321
"42 user,20 critic",332,322
"60 user,27 critic",333,323
"52 user,33 critic",334,324
"212 user,161 critic",335,325
"130 user,103 critic",336,326
"281 user,412 critic",337,327
"303 user,335 critic",338,328
"35 user,45 critic",339,329
"75 user,38 critic",340,330
"77 user,38 critic",341,331
"76 user,29 critic",342,332
"153 user,120 critic",343,333
"534 user,140 critic",344,334
"125 user,169 critic",345,335
"163 user,323 critic",346,336
"142 user,70 critic",347,337
"363 user,415 critic",348,338
"273 user,350 critic",349,339
"65 user,34 critic",350,340
"624 user,357 critic",351,341
"397 user,408 critic",352,342
"173 user,247 critic",353,343
"400 user,429 critic",354,344
"319 user,311 critic",355,345
"252 user,302 critic",356,346
"665 user,223 critic",357,347
"7 user,4 critic",358,217
"12 user,52 critic",359,348
"372 user,263 critic",360,349
"705 user,135 critic",361,350
"656 user,158 critic",362,351
"43 user,37 critic",363,352
"12 user,21 critic",364,353
"3 user,32 critic",365,354
"59 user,42 critic",366,355
"88 user,83 critic",367,356
"93 user,56 critic",368,357
"19 user,29 critic",369,358
"26 user,28 critic",370,359
"140 user,46 critic",371,360
"19 user,14 critic",372,361
"54 user,58 critic",373,362
"14 user,20 critic",374,363
"149 user,73 critic",375,364
"48 user,17 critic",376,100
"29 user,4 critic",377,365
"190 user,87 critic",378,366
"415 user,136 critic",379,367
"747 user,99 critic",380,368
"19 user,20 critic",381,369
"851 user,233 critic",382,370
9 user,383,371
6 user,384,372
9 user,385,371
"6 user,12 critic",386,373
"109 user,38 critic",387,374
"4 user,3 critic",388,27
"11 user,119 critic",389,375
"14 user,5 critic",390,376
"56 user,35 critic",391,377
"4 user,1 critic",392,9
"8 user,14 critic",393,378
"69 user,22 critic",394,379
"41 user,12 critic",395,380
"14 user,7 critic",396,381
"59 user,20 critic",397,225
"53 user,26 critic",398,382
"115 user,52 critic",399,383
"79 user,17 critic",400,384
"125 user,52 critic",401,385
"71 user,63 critic",402,386
"76 user,22 critic",403,387
"96 user,27 critic",404,388
"37 user,38 critic",405,389
"98 user,161 critic",406,390
"550 user,251 critic",407,391
"538 user,437 critic",408,392
"330 user,336 critic",409,393
"567 user,310 critic",410,394
"303 user,258 critic",411,395
"175 user,252 critic",412,396
"118 user,164 critic",413,397
"608 user,171 critic",414,398
"240 user,74 critic",415,399
"548 user,139 critic",416,400
"757 user,208 critic",417,401
"536 user,207 critic",418,402
"645 user,155 critic",419,403
"161 user,277 critic",420,404
"203 user,204 critic",421,405
"298 user,347 critic",422,406
"744 user,372 critic",423,407
"482 user,439 critic",424,408
"896 user,252 critic",425,409
"399 user,201 critic",426,410
"390 user,129 critic",427,411
"245 user,103 critic",428,412
"609 user,408 critic",429,413
"341 user,446 critic",430,414
"105 user,51 critic",431,415
"42 user,29 critic",432,416
"27 user,19 critic",433,417
"17 user,11 critic",434,418
"144 user,100 critic",435,419
"27 user,13 critic",436,420
"443 user,151 critic",437,421
,438,29
"4 user,1 critic",439,9
"7 user,5 critic",440,422
"50 user,27 critic",441,423
"50 user,23 critic",442,196
"58 user,166 critic",443,424
"5 user,2 critic",444,230
"8 user,3 critic",445,425
"340 user,39 critic",446,426
"67 user,31 critic",447,427
"18 user,3 critic",448,428
"13 user,2 critic",449,429
"24 user,6 critic",450,430
9 user,451,371
"30 user,17 critic",452,431
"54 user,20 critic",453,432
"76 user,25 critic",454,433
"111 user,58 critic",455,434
"61 user,34 critic",456,435
,457,29
"12 user,5 critic",458,436
4 user,459,437
"96 user,169 critic",460,438
"153 user,62 critic",461,439
"33 user,6 critic",462,440
"13 user,4 critic",463,441
"9 user,1 critic",464,442
"430 user,129 critic",465,443
"1,745 user,236 critic",466,444
"9 user,3 critic",467,445
"39 user,46 critic",468,446
"17 user,18 critic",469,447
"2 user,7 critic",470,448
"1 user,2 critic",471,48
"66 user,72 critic",472,449
"30 user,31 critic",473,450
"31 user,23 critic",474,451
"54 user,41 critic",475,452
"132 user,74 critic",476,453
3 critic,477,454
,478,29
"4 user,3 critic",479,27
,480,29
"215 user,141 critic",481,455
2 user,482,267
"404 user,98 critic",483,456
"81 user,44 critic",484,457
"833 user,241 critic",485,458
"131 user,53 critic",486,459
"134 user,60 critic",487,460
,488,29
"53 user,95 critic",489,461
"71 user,138 critic",490,462
"118 user,170 critic",491,463
"92 user,165 critic",492,464
"7 user,12 critic",493,465
"7 user,23 critic",494,466
"6 user,16 critic",495,467
"10 user,4 critic",496,468
"23 user,11 critic",497,469
"7 user,1 critic",498,470
"28 user,9 critic",499,471
"24 user,103 critic",500,472
"46 user,61 critic",501,473
"515 user,414 critic",502,474
"497 user,197 critic",503,475
"93 user,41 critic",504,476
"47 user,34 critic",505,477
"11 user,1 critic",506,258
"685 user,191 critic",507,478
"824 user,296 critic",508,479
"1,313 user,208 critic",509,480
"327 user,151 critic",510,481
"35 user,26 critic",511,482
"10 user,5 critic",512,483
"37 user,21 critic",513,484
"22 user,30 critic",514,485
"140 user,107 critic",515,486
"108 user,149 critic",516,487
"42 user,51 critic",517,488
"20 user,37 critic",518,489
"524 user,200 critic",519,490
"48 user,32 critic",520,491
"11 user,2 critic",521,492
"545 user,388 critic",522,493
"30 user,12 critic",523,494
"60 user,25 critic",524,495
"10 user,5 critic",525,483
"28 user,13 critic",526,496
"93 user,66 critic",527,497
"251 user,171 critic",528,498
"495 user,210 critic",529,499
"179 user,107 critic",530,500
"228 user,105 critic",531,501
"1,499 user,295 critic",532,502
"252 user,98 critic",533,503
"2,334 user,260 critic",534,504
"56 user,50 critic",535,505
"103 user,231 critic",536,506
"274 user,178 critic",537,507
"507 user,166 critic",538,508
"91 user,98 critic",539,509
"149 user,205 critic",540,510
"34 user,9 critic",541,511
"60 user,37 critic",542,512
"46 user,9 critic",543,513
"612 user,215 critic",544,514
"132 user,96 critic",545,515
"29 user,13 critic",546,516
"96 user,17 critic",547,517
"63 user,23 critic",548,518
"5 user,3 critic",549,519
"469 user,160 critic",550,520
"58 user,17 critic",551,521
"67 user,52 critic",552,522
"101 user,103 critic",553,523
"2 user,1 critic",554,524
"16 user,9 critic",555,525
"100 user,70 critic",556,526
"143 user,71 critic",557,527
"58 user,44 critic",558,528
"46 user,33 critic",559,529
"91 user,61 critic",560,530
"16 user,6 critic",561,10
"8 user,10 critic",562,531
"38 user,28 critic",563,205
"16 user,7 critic",564,532
,565,29
"61 user,20 critic",566,175
"15 user,7 critic",567,95
"125 user,48 critic",568,533
"221 user,84 critic",569,534
"165 user,212 critic",570,535
"258 user,90 critic",571,536
"197 user,160 critic",572,537
,573,29
"60 user,45 critic",574,538
"286 user,233 critic",575,539
"62 user,21 critic",576,540
"149 user,58 critic",577,541
"109 user,74 critic",578,542
"275 user,118 critic",579,543
"316 user,128 critic",580,544
"84 user,33 critic",581,545
"147 user,51 critic",582,546
"334 user,220 critic",583,547
"423 user,212 critic",584,548
"251 user,99 critic",585,549
"524 user,250 critic",586,550
"1,222 user,657 critic",587,551
"17 user,7 critic",588,552
"110 user,41 critic",589,553
"47 user,32 critic",590,554
"56 user,28 critic",591,555
"77 user,37 critic",592,556
"38 user,16 critic",593,557
"694 user,448 critic",594,558
"272 user,294 critic",595,559
"162 user,94 critic",596,560
"359 user,113 critic",597,561
"574 user,373 critic",598,562
"558 user,515 critic",599,563
"285 user,172 critic",600,564
"60 user,28 critic",601,565
"43 user,19 critic",602,566
"34 user,11 critic",603,567
7 user,604,568
"8 user,1 critic",605,75
"14 user,9 critic",606,569
"18 user,4 critic",607,570
"177 user,87 critic",608,571
"14 user,12 critic",609,168
"19 user,12 critic",610,572
"18 user,1 critic",611,573
"11 user,5 critic",612,574
"28 user,19 critic",613,575
"21 user,22 critic",614,576
"8 user,5 critic",615,577
"54 user,17 critic",616,578
"11 user,14 critic",617,579
"120 user,44 critic",618,580
"1 user,5 critic",619,193
"38 user,94 critic",620,581
"1,316 user,142 critic",621,582
"315 user,127 critic",622,583
"170 user,150 critic",623,584
"132 user,101 critic",624,585
"2 user,2 critic",625,586
"18 user,15 critic",626,587
"181 user,91 critic",627,588
"779 user,223 critic",628,589
"840 user,283 critic",629,590
"383 user,192 critic",630,591
"884 user,201 critic",631,592
"14 user,21 critic",632,593
"11 user,11 critic",633,594
"336 user,104 critic",634,595
"97 user,45 critic",635,596
"69 user,27 critic",636,597
"99 user,62 critic",637,598
"26 user,56 critic",638,599
"24 user,118 critic",639,600
"23 user,2 critic",640,601
"134 user,45 critic",641,602
"108 user,99 critic",642,603
"25 user,27 critic",643,604
"580 user,152 critic",644,605
"86 user,30 critic",645,606
"15 user,18 critic",646,607
"68 user,26 critic",647,608
"46 user,16 critic",648,609
"113 user,45 critic",649,610
"224 user,85 critic",650,611
"61 user,27 critic",651,612
"44 user,29 critic",652,613
"1,048 user,201 critic",653,614
"2 user,11 critic",654,615
"5 user,6 critic",655,616
"11 user,1 critic",656,258
"45 user,131 critic",657,617
"221 user,113 critic",658,618
"131 user,60 critic",659,619
"55 user,41 critic",660,620
"213 user,184 critic",661,621
"117 user,46 critic",662,622
"158 user,89 critic",663,623
"3 user,9 critic",664,624
"15 user,64 critic",665,625
"58 user,35 critic",666,626
"293 user,145 critic",667,627
"26 user,13 critic",668,628
"397 user,116 critic",669,629
"488 user,168 critic",670,630
"137 user,222 critic",671,631
"20 user,16 critic",672,632
"29 user,19 critic",673,633
"22 user,5 critic",674,634
,675,29
"45 user,11 critic",676,635
"39 user,18 critic",677,636
"57 user,36 critic",678,637
"9 user,4 critic",679,638
"19 user,42 critic",680,639
"22 user,7 critic",681,156
"19 user,22 critic",682,640
"13 user,5 critic",683,641
"96 user,62 critic",684,642
"107 user,76 critic",685,643
"24 user,70 critic",686,644
"13 user,4 critic",687,441
"5 user,21 critic",688,645
"368 user,138 critic",689,646
"12 user,52 critic",690,348
"351 user,126 critic",691,647
"4 user,24 critic",692,648
"1,384 user,247 critic",693,649
"881 user,171 critic",694,650
"34 user,14 critic",695,651
"18 user,9 critic",696,652
"447 user,118 critic",697,653
"863 user,301 critic",698,654
"470 user,144 critic",699,655
"129 user,65 critic",700,656
"151 user,84 critic",701,657
"727 user,522 critic",702,658
"19 user,28 critic",703,659
"13 user,29 critic",704,660
"27 user,9 critic",705,661
"24 user,26 critic",706,662
3 user,707,46
"12 user,30 critic",708,663
"31 user,21 critic",709,195
"82 user,65 critic",710,664
"61 user,9 critic",711,665
"1,029 user,330 critic",712,666
3 user,713,46
"6 user,5 critic",714,667
"27 user,10 critic",715,668
"7 user,10 critic",716,669
5 user,717,670
"60 user,67 critic",718,671
"7 user,4 critic",719,217
"1 user,4 critic",720,672
"1 user,3 critic",721,673
1 user,722,185
"8 user,10 critic",723,531
"75 user,87 critic",724,674
"168 user,214 critic",725,675
"380 user,341 critic",726,676
"278 user,321 critic",727,677
"308 user,172 critic",728,678
"338 user,69 critic",729,679
"125 user,63 critic",730,680
"1,348 user,272 critic",731,681
"420 user,145 critic",732,682
"249 user,310 critic",733,683
"835 user,530 critic",734,684
"643 user,183 critic",735,685
"93 user,65 critic",736,686
"50 user,20 critic",737,687
"89 user,44 critic",738,688
"15 user,5 critic",739,90
"27 user,12 critic",740,689
"28 user,19 critic",741,575
"17 user,9 critic",742,690
"9 user,1 critic",743,442
"16 user,4 critic",744,691
1 user,745,185
"17 user,13 critic",746,692
"3 user,6 critic",747,693
"7 user,5 critic",748,422
"51 user,51 critic",749,694
"7 user,18 critic",750,695
"14 user,9 critic",751,569
"5 user,1 critic",752,696
"3 user,21 critic",753,697
"91 user,57 critic",754,698
"86 user,43 critic",755,699
"40 user,125 critic",756,700
3 user,757,46
"232 user,86 critic",758,701
"42 user,125 critic",759,702
"33 user,16 critic",760,703
"6 user,3 critic",761,704
"208 user,103 critic",762,705
"13 user,10 critic",763,706
"398 user,143 critic",764,707
"32 user,9 critic",765,708
"394 user,125 critic",766,709
,767,29
"144 user,50 critic",768,710
"48 user,41 critic",769,711
"13 user,4 critic",770,441
"19 user,41 critic",771,712
"140 user,43 critic",772,713
"242 user,151 critic",773,714
"227 user,108 critic",774,715
14 critic,775,716
"1 user,1 critic",776,717
,777,29
"64 user,42 critic",778,718
"477 user,186 critic",779,719
"141 user,165 critic",780,720
"65 user,26 critic",781,721
"284 user,117 critic",782,722
"14 user,8 critic",783,723
"16 user,57 critic",784,724
"416 user,119 critic",785,725
"25 user,62 critic",786,726
"126 user,27 critic",787,727
"6 user,5 critic",788,667
"145 user,214 critic",789,728
"169 user,254 critic",790,729
"200 user,174 critic",791,730
"165 user,45 critic",792,731
"10 user,32 critic",793,732
2 user,794,267
"159 user,246 critic",795,733
"139 user,234 critic",796,734
"111 user,121 critic",797,735
"235 user,78 critic",798,736
"26 user,4 critic",799,737
"115 user,180 critic",800,738
"36 user,17 critic",801,739
"20 user,62 critic",802,740
"1 user,2 critic",803,48
"2 user,1 critic",804,524
"1 user,5 critic",805,193
1 critic,806,741
"205 user,244 critic",807,742
1 critic,808,741
1 user,809,185
"10 user,14 critic",810,743
"129 user,143 critic",811,744
"122 user,213 critic",812,745
"306 user,207 critic",813,746
"109 user,148 critic",814,747
"179 user,157 critic",815,748
"233 user,262 critic",816,749
"320 user,252 critic",817,750
"356 user,186 critic",818,751
"79 user,168 critic",819,752
"191 user,256 critic",820,753
"201 user,272 critic",821,754
"1,536 user,503 critic",822,755
"414 user,478 critic",823,756
"187 user,239 critic",824,757
"88 user,164 critic",825,758
"113 user,199 critic",826,759
"173 user,223 critic",827,760
"133 user,228 critic",828,761
"180 user,226 critic",829,762
"267 user,325 critic",830,763
"451 user,167 critic",831,764
"110 user,40 critic",832,765
"78 user,117 critic",833,766
"121 user,150 critic",834,767
"51 user,89 critic",835,768
"421 user,129 critic",836,769
6 user,837,372
"244 user,188 critic",838,770
"481 user,159 critic",839,771
"67 user,118 critic",840,772
"381 user,394 critic",841,773
1 critic,842,741
"376 user,320 critic",843,774
"280 user,301 critic",844,775
"877 user,401 critic",845,776
"333 user,371 critic",846,777
"612 user,142 critic",847,778
"171 user,74 critic",848,779
"218 user,84 critic",849,780
"208 user,55 critic",850,781
"69 user,23 critic",851,782
"143 user,48 critic",852,783
"85 user,61 critic",853,784
"70 user,6 critic",854,785
"100 user,141 critic",855,786
"321 user,51 critic",856,787
"5 user,6 critic",857,616
"1 user,2 critic",858,48
"1 user,3 critic",859,673
10 critic,860,788
3 critic,861,454
"8 user,15 critic",862,789
"14 user,25 critic",863,790
"13 user,12 critic",864,84
"4 user,35 critic",865,791
"5 user,11 critic",866,792
"34 user,41 critic",867,793
,868,29
,869,29
,870,29
"34 user,14 critic",871,651
,872,29
,873,29
,874,29
,875,29
7 critic,876,794
"547 user,441 critic",877,795
"6 user,16 critic",878,467
"59 user,51 critic",879,796
1 user,880,185
"405 user,369 critic",881,797
"182 user,87 critic",882,798
"184 user,217 critic",883,799
"96 user,156 critic",884,800
"94 user,149 critic",885,801
"122 user,192 critic",886,802
"155 user,362 critic",887,803
"175 user,322 critic",888,804
"269 user,161 critic",889,805
"138 user,51 critic",890,806
"122 user,135 critic",891,807
"282 user,131 critic",892,808
"248 user,166 critic",893,809
"310 user,167 critic",894,810
"380 user,178 critic",895,811
"341 user,289 critic",896,812
"749 user,179 critic",897,813
"574 user,245 critic",898,814
"456 user,428 critic",899,815
"681 user,402 critic",900,816
"1,024 user,418 critic",901,817
"129 user,56 critic",902,818
"359 user,178 critic",903,819
"139 user,76 critic",904,820
"130 user,183 critic",905,821
"348 user,257 critic",906,822
"322 user,228 critic",907,823
"482 user,205 critic",908,824
"250 user,161 critic",909,825
"463 user,191 critic",910,826
"171 user,224 critic",911,827
"1,170 user,598 critic",912,828
"1,095 user,571 critic",913,829
"3,030 user,716 critic",914,830
"1,247 user,469 critic",915,831
"2,439 user,714 critic",916,832
"708 user,442 critic",917,833
"638 user,524 critic",918,834
"1,148 user,573 critic",919,835
"823 user,151 critic",920,836
"688 user,482 critic",921,837
"612 user,314 critic",922,838
"808 user,280 critic",923,839
"283 user,302 critic",924,840
"112 user,167 critic",925,841
"577 user,252 critic",926,842
"594 user,174 critic",927,843
"96 user,37 critic",928,844
"390 user,218 critic",929,845
"604 user,393 critic",930,846
"517 user,205 critic",931,847
"212 user,111 critic",932,848
"283 user,156 critic",933,849
"443 user,123 critic",934,850
"313 user,240 critic",935,851
"146 user,113 critic",936,852
"295 user,120 critic",937,853
"57 user,50 critic",938,854
"279 user,95 critic",939,855
"422 user,113 critic",940,856
"259 user,118 critic",941,857
"245 user,197 critic",942,858
"395 user,114 critic",943,859
"75 user,46 critic",944,860
"341 user,99 critic",945,861
"120 user,112 critic",946,862
"252 user,143 critic",947,863
"249 user,61 critic",948,864
"82 user,43 critic",949,865
"31 user,52 critic",950,866
"442 user,179 critic",951,867
"88 user,60 critic",952,868
"107 user,168 critic",953,869
"1,457 user,281 critic",954,870
"285 user,92 critic",955,871
"207 user,184 critic",956,294
"144 user,180 critic",957,872
"1,345 user,275 critic",958,873
"184 user,49 critic",959,874
"1,548 user,257 critic",960,875
"142 user,71 critic",961,876
"154 user,172 critic",962,877
"58 user,123 critic",963,878
"109 user,200 critic",964,879
"178 user,100 critic",965,880
"142 user,129 critic",966,881
"95 user,105 critic",967,882
"73 user,77 critic",968,883
"82 user,156 critic",969,884
"69 user,70 critic",970,885
"232 user,119 critic",971,886
"80 user,39 critic",972,887
"928 user,162 critic",973,888
"101 user,37 critic",974,889
"513 user,121 critic",975,890
"237 user,60 critic",976,891
"784 user,199 critic",977,892
"172 user,60 critic",978,893
"696 user,231 critic",979,894
"175 user,58 critic",980,895
"758 user,297 critic",981,896
"505 user,144 critic",982,897
"1,193 user,339 critic",983,898
"797 user,193 critic",984,899
"27 user,5 critic",985,900
"82 user,6 critic",986,901
,987,29
"126 user,62 critic",988,902
"43 user,40 critic",989,903
"111 user,152 critic",990,904
"107 user,42 critic",991,905
"102 user,53 critic",992,906
"82 user,66 critic",993,907
"591 user,183 critic",994,908
"355 user,70 critic",995,909
"122 user,197 critic",996,910
"184 user,76 critic",997,911
"180 user,127 critic",998,912
"300 user,107 critic",999,913
"481 user,230 critic",1000,914
"240 user,90 critic",1001,915
"79 user,109 critic",1002,916
"127 user,77 critic",1003,917
"129 user,176 critic",1004,918
"107 user,188 critic",1005,919
"287 user,104 critic",1006,920
"210 user,201 critic",1007,921
"71 user,154 critic",1008,922
"71 user,97 critic",1009,923
"109 user,166 critic",1010,924
"81 user,111 critic",1011,925
"222 user,125 critic",1012,926
"437 user,254 critic",1013,927
"355 user,162 critic",1014,928
"667 user,220 critic",1015,929
"822 user,192 critic",1016,930
"206 user,92 critic",1017,931
"142 user,167 critic",1018,932
