state_average,original_index,unique_index
al_hf-3,128,17
al_hf-4,129,18
al_pn-2,130,19
al_pn-3b,131,20
al_pn-4,132,21
al_pn-5c,133,22
al_pn-6,134,23
al_pn-7,135,24
al_scip-card-2,136,0
al_scip-inf-1,137,1
al_scip-inf-2,138,2
al_scip-inf-3,139,3
al_scip-inf-4,140,4
al_scip-inf-6,141,5
al_scip-vte-1,142,6
al_scip-vte-2,143,7
al_ami-1,144,8
al_ami-2,145,9
al_ami-3,146,10
al_ami-4,147,11
al_ami-5,148,12
al_ami-7a,149,13
al_ami-8a,150,14
al_hf-1,151,15
al_hf-2,152,16
al_hf-3,153,17
al_hf-4,154,18
al_pn-2,155,19
al_pn-3b,156,20
al_pn-4,157,21
al_pn-5c,158,22
al_pn-6,159,23
al_pn-7,160,24
al_scip-card-2,161,0
al_scip-inf-1,162,1
al_scip-inf-2,163,2
al_scip-inf-3,164,3
al_scip-inf-4,165,4
al_scip-inf-6,166,5
al_scip-vte-1,167,6
al_scip-vte-2,168,7
al_ami-1,169,8
al_ami-2,170,9
al_ami-3,171,10
al_ami-4,172,11
al_ami-5,173,12
al_ami-7a,174,13
al_ami-8a,175,14
al_hf-1,176,15
al_hf-2,177,16
al_hf-3,178,17
al_hf-4,179,18
al_pn-2,180,19
al_pn-3b,181,20
al_pn-4,182,21
al_pn-5c,183,22
al_pn-6,184,23
al_pn-7,185,24
al_scip-card-2,186,0
al_scip-inf-1,187,1
al_scip-inf-2,188,2
al_scip-inf-3,189,3
al_scip-inf-4,190,4
al_scip-inf-6,191,5
al_scip-vte-1,192,6
al_scix-vte-2,193,27
al_ami-1,194,8
al_ami-2,195,9
al_ami-3,196,10
al_ami-4,197,11
al_ami-5,198,12
al_ami-7a,199,13
al_ami-8a,200,14
al_hf-1,201,15
al_hf-2,202,16
al_hf-3,203,17
al_hf-4,204,18
al_pn-2,205,19
al_pn-3b,206,20
al_pn-4,207,21
al_pn-5c,208,22
al_pn-6,209,23
al_pn-7,210,24
al_scip-card-2,211,0
al_scip-inf-1,212,1
al_sxip-inf-2,213,28
al_scip-inf-3,214,3
al_scip-inf-4,215,4
al_scip-inf-6,216,5
al_scip-vte-1,217,6
al_scip-vte-2,218,7
al_ami-1,219,8
al_ami-2,220,9
al_ami-3,221,10
al_ami-4,222,11
al_ami-5,223,12
al_ami-7a,224,13
al_ami-8a,225,14
al_hf-1,226,15
al_hf-2,227,16
al_hf-3,228,17
al_hf-4,229,18
al_pn-2,230,19
al_pn-3b,231,20
al_pn-4,232,21
al_pn-5c,233,22
al_pn-6,234,23
al_pn-7,235,24
al_scip-card-2,236,0
al_scip-inf-1,237,1
al_scip-inf-2,238,2
al_scip-inf-3,239,3
al_scip-inf-4,240,4
al_scip-inf-6,241,5
al_scip-vte-1,242,6
al_scip-vte-2,243,7
ax_ami-1,244,29
al_ami-2,245,9
al_ami-3,246,10
al_ami-4,247,11
xl_xmi-5,248,30
al_ami-7a,249,13
al_ami-8a,250,14
al_hf-1,251,15
al_hf-2,252,16
al_hf-3,253,17
al_hf-4,254,18
al_pn-2,255,19
al_pn-3b,256,20
al_pn-4,257,21
al_pn-5c,258,22
al_pn-6,259,23
al_pn-7,260,24
al_scip-card-2,261,0
al_scip-inf-1,262,1
al_scip-inf-2,263,2
al_scip-inf-3,264,3
al_scip-inf-4,265,4
al_scip-inf-6,266,5
al_scip-vte-1,267,6
al_scip-vte-2,268,7
al_axi-1,269,31
al_ami-2,270,9
al_ami-3,271,10
al_ami-4,272,11
al_ami-5,273,12
al_ami-7a,274,13
al_ami-8a,275,14
al_hf-1,276,15
al_hf-2,277,16
al_hf-3,278,17
al_hf-4,279,18
al_pn-2,280,19
al_pn-3b,281,20
al_pn-4,282,21
al_pn-5c,283,22
al_pn-6,284,23
al_pn-7,285,24
al_scip-card-2,286,0
al_scip-inf-1,287,1
al_scip-inf-2,288,2
al_scip-inf-3,289,3
al_scip-inf-4,290,4
al_scip-inf-6,291,5
al_scip-vte-1,292,6
al_scip-vte-2,293,7
al_ami-1,294,8
al_ami-2,295,9
al_ami-3,296,10
al_ami-4,297,11
al_ami-5,298,12
al_ami-7a,299,13
al_ami-8a,300,14
al_hf-1,301,15
al_hf-2,302,16
al_hf-3,303,17
al_hf-4,304,18
al_pn-2,305,19
al_pn-3b,306,20
al_pn-4,307,21
al_pn-5c,308,22
al_pn-6,309,23
al_pn-7,310,24
al_cac-2,311,32
al_cac-3,312,33
al_ami-1,313,8
al_ami-2,314,9
al_ami-3,315,10
al_ami-4,316,11
al_ami-5,317,12
al_ami-7a,318,13
al_ami-8a,319,14
al_hf-1,320,15
al_hf-2,321,16
al_hf-3,322,17
al_hf-4,323,18
al_pn-2,324,19
al_pn-3b,325,20
al_pn-4,326,21
al_pn-5c,327,22
al_pn-6,328,23
al_pn-7,329,24
al_scip-card-2,330,0
al_hf-2,331,16
al_hf-3,332,17
al_hf-4,333,18
al_pnx2,334,34
al_pn-3b,335,20
al_pn-4,336,21
al_pn-5c,337,22
al_pn-6,338,23
al_pn-7,339,24
al_scip-card-2,340,0
al_scip-inf-1,341,1
al_scip-inf-2,342,2
al_scip-inf-3,343,3
al_scip-inf-4,344,4
al_scip-inf-6,345,5
al_scip-vte-1,346,6
al_scipxvtex2,347,35
al_ami-1,348,8
al_ami-2,349,9
al_ami-3,350,10
al_ami-4,351,11
al_ami-5,352,12
al_scip-vte-2,353,7
al_ami-1,354,8
al_ami-2,355,9
al_ami-3,356,10
al_ami-4,357,11
al_ami-5,358,12
al_ami-7a,359,13
al_ami-8a,360,14
al_hf-1,361,15
al_hf-2,362,16
al_hf-3,363,17
al_hf-4,364,18
al_pn-2,365,19
al_pn-3b,366,20
al_pn-4,367,21
al_pn-5c,368,22
al_pn-6,369,23
alxpn-7,370,36
al_scip-card-2,371,0
al_scip-inf-1,372,1
al_sxip-inf-2,373,28
al_scip-inf-3,374,3
al_scip-inf-4,375,4
al_scip-inf-6,376,5
al_scip-vte-1,377,6
al_scip-vte-2,378,7
al_ami-1,379,8
al_ami-2,380,9
al_ami-3,381,10
al_ami-4,382,11
al_ami-5,383,12
al_ami-7a,384,13
al_ami-8a,385,14
al_hf-1,386,15
al_hx-2,387,37
al_hf-3,388,17
al_hf-4,389,18
al_pn-2,390,19
al_pn-3b,391,20
al_ami-2,392,9
al_ami-3,393,10
al_ami-4,394,11
al_ami-5,395,12
al_ami-7a,396,13
al_ami-8a,397,14
al_hf-1,398,15
al_hf-2,399,16
al_hf-3,400,17
al_hf-4,401,18
al_pn-2,402,19
al_pn-3b,403,20
al_pn-4,404,21
al_pn-5c,405,22
al_pn-6,406,23
al_pn-7,407,24
al_scip-card-2,408,0
al_scip-inf-1,409,1
al_scip-inf-2,410,2
al_scip-inf-3,411,3
al_scip-vte-1,412,6
al_scip-vte-2,413,7
al_ami-1,414,8
al_ami-2,415,9
al_ami-3,416,10
al_ami-4,417,11
al_ami-5,418,12
al_ami-7a,419,13
al_ami-8a,420,14
al_hf-1,421,15
al_hf-2,422,16
al_hf-3,423,17
al_hf-4,424,18
al_pn-2,425,19
al_pn-3b,426,20
al_pn-4,427,21
al_pn-5c,428,22
al_pn-6,429,23
al_pn-7,430,24
al_scip-card-2,431,0
ak_hf-1,432,38
ak_hf-2,433,39
ak_hf-3,434,40
ak_hf-4,435,41
ak_pn-2,436,42
ak_pn-3b,437,43
ak_pn-4,438,44
ak_pn-5c,439,45
ak_pn-6,440,46
ak_pn-7,441,47
ak_scip-card-2,442,48
ak_scip-inf-1,443,49
ak_scip-inf-2,444,50
ak_scip-inf-3,445,51
ak_scip-inf-4,446,52
ak_scip-inf-6,447,53
ak_scip-vte-1,448,54
ak_scip-vte-2,449,55
ak_ami-1,450,56
ak_ami-2,451,57
al_pn-2,452,19
al_pn-3b,453,20
al_pn-4,454,21
al_pn-5c,455,22
al_pn-6,456,23
al_pn-7,457,24
al_scip-card-2,458,0
al_scip-inf-1,459,1
al_scip-inf-2,460,2
al_scip-inf-3,461,3
al_scip-inf-4,462,4
al_scip-inf-6,463,5
al_scip-vte-1,464,6
al_scip-vte-2,465,7
al_ami-1,466,8
al_ami-2,467,9
al_ami-3,468,10
al_ami-4,469,11
al_ami-5,470,12
al_ami-7a,471,13
al_ami-8a,472,14
al_hf-1,473,15
al_hf-2,474,16
al_hf-3,475,17
al_hf-4,476,18
ax_pn-2,477,58
al_pn-3b,478,20
al_pn-4,479,21
al_pn-5c,480,22
al_pn-6,481,23
al_pn-7,482,24
al_scip-card-2,483,0
al_scip-inf-1,484,1
al_scip-inf-2,485,2
al_scip-inf-3,486,3
al_scip-inf-4,487,4
al_scip-inf-6,488,5
al_scip-vte-1,489,6
al_scip-vte-2,490,7
al_ami-1,491,8
al_ami-2,492,9
al_ami-3,493,10
al_ami-4,494,11
al_ami-5,495,12
al_ami-7a,496,13
al_ami-8a,497,14
al_hf-1,498,15
al_hf-2,499,16
al_hf-3,500,17
al_hf-4,501,18
al_pn-2,502,19
al_pn-3b,503,20
al_pn-4,504,21
al_pn-5c,505,22
al_pn-6,506,23
al_pn-7,507,24
al_scip-card-2,508,0
al_scip-inf-1,509,1
al_scip-inf-2,510,2
al_scip-inf-3,511,3
al_scip-inf-4,512,4
al_scip-inf-6,513,5
al_scip-vte-1,514,6
al_scip-vte-2,515,7
al_ami-1,516,8
al_ami-2,517,9
al_ami-3,518,10
al_ami-4,519,11
al_ami-5,520,12
al_ami-7a,521,13
al_ami-8a,522,14
al_hf-1,523,15
al_hf-2,524,16
al_hf-3,525,17
al_hf-4,526,18
al_pn-2,527,19
al_pn-3b,528,20
al_pn-4,529,21
al_pn-5c,530,22
al_pn-6,531,23
al_pn-7,532,24
al_scip-card-2,533,0
al_scip-inf-1,534,1
al_scip-inf-2,535,2
al_scip-inf-3,536,3
al_scip-inf-4,537,4
al_scip-inf-6,538,5
al_scip-vte-1,539,6
al_scip-vte-2,540,7
al_ami-1,541,8
al_ami-2,542,9
al_ami-3,543,10
al_ami-4,544,11
al_ami-5,545,12
al_ami-7a,546,13
al_ami-8a,547,14
al_hf-1,548,15
al_hf-2,549,16
al_hf-3,550,17
al_hf-4,551,18
al_pn-2,552,19
al_pn-3b,553,20
al_pn-4,554,21
al_pn-5x,555,59
al_pn-6,556,23
al_pn-7,557,24
al_scip-card-2,558,0
al_scip-inf-1,559,1
al_scip-inf-2,560,2
al_scip-inf-3,561,3
al_scip-inf-4,562,4
al_scip-inf-6,563,5
al_scipxvtex1,564,60
al_scip-vte-2,565,7
al_ami-1,566,8
xl_xmi-2,567,61
al_ami-3,568,10
al_ami-4,569,11
al_ami-5,570,12
al_ami-7a,571,13
al_ami-8a,572,14
al_hf-1,573,15
al_hf-2,574,16
al_hf-3,575,17
al_hf-4,576,18
al_pn-2,577,19
al_pn-3b,578,20
al_pn-4,579,21
al_pn-5c,580,22
al_pn-6,581,23
al_pn-7,582,24
al_scip-card-2,583,0
al_scip-inf-1,584,1
al_scip-inf-2,585,2
al_scip-inf-3,586,3
al_scip-inf-4,587,4
al_scip-inf-6,588,5
al_scip-vte-1,589,6
al_scip-vte-2,590,7
al_ami-1,591,8
al_ami-2,592,9
al_ami-3,593,10
al_ami-4,594,11
al_ami-5,595,12
al_ami-7a,596,13
al_ami-8a,597,14
al_hf-1,598,15
al_hf-2,599,16
al_hf-3,600,17
al_hf-4,601,18
al_pn-2,602,19
al_pn-3b,603,20
al_pn-4,604,21
al_pn-5c,605,22
al_pn-6,606,23
al_pn-7,607,24
al_scip-card-2,608,0
al_scip-inf-1,609,1
al_scip-inf-2,610,2
al_scip-inf-3,611,3
al_scip-inf-4,612,4
al_scip-inf-6,613,5
al_scip-vte-1,614,6
al_scip-vte-2,615,7
al_ami-1,616,8
al_ami-2,617,9
al_ami-3,618,10
al_ami-4,619,11
al_ami-5,620,12
al_ami-7a,621,13
al_amix8a,622,62
al_hf-1,623,15
al_hf-2,624,16
al_hf-3,625,17
al_hf-4,626,18
al_pn-2,627,19
al_pn-3b,628,20
al_pn-4,629,21
al_pn-5c,630,22
al_pn-6,631,23
al_pn-7,632,24
al_scip-card-2,633,0
al_scip-inf-1,634,1
al_scip-inf-2,635,2
al_scip-inf-3,636,3
al_scip-inf-4,637,4
al_scip-inf-6,638,5
al_scip-vte-1,639,6
al_scip-vte-2,640,7
al_ami-1,641,8
al_ami-2,642,9
al_ami-3,643,10
al_ami-4,644,11
al_ami-5,645,12
alxami-7a,646,63
al_ami-8a,647,14
al_hf-1,648,15
al_hf-2,649,16
al_hf-3,650,17
al_hf-4,651,18
al_pn-2,652,19
al_pn-3b,653,20
al_pn-4,654,21
al_pn-5c,655,22
al_pn-6,656,23
al_pn-7,657,24
al_scip-card-2,658,0
al_scip-inf-1,659,1
al_scip-inf-2,660,2
al_scip-inf-3,661,3
al_scip-inf-4,662,4
al_scip-inf-6,663,5
al_scip-vte-1,664,6
al_scip-vte-2,665,7
al_ami-1,666,8
al_ami-2,667,9
al_ami-3,668,10
al_ami-4,669,11
al_ami-5,670,12
al_ami-7a,671,13
al_ami-8a,672,14
al_hf-1,673,15
al_hf-2,674,16
al_hf-3,675,17
al_hf-4,676,18
al_pn-2,677,19
alxpn-3b,678,64
al_pn-4,679,21
al_pn-5c,680,22
al_pn-6,681,23
al_pn-7,682,24
al_scip-card-2,683,0
al_scip-inf-1,684,1
al_scip-inf-2,685,2
al_scip-inf-3,686,3
al_scip-inf-4,687,4
al_scip-inf-6,688,5
al_scip-vte-1,689,6
al_scip-vte-2,690,7
al_ami-1,691,8
al_ami-2,692,9
al_ami-3,693,10
al_ami-4,694,11
al_ami-5,695,12
al_ami-7a,696,13
al_ami-8a,697,14
al_hf-1,698,15
al_hf-2,699,16
al_hf-3,700,17
al_hf-4,701,18
al_pn-2,702,19
al_pn-3b,703,20
al_pn-4,704,21
al_pn-5c,705,22
al_pn-6,706,23
al_pn-7,707,24
al_scip-card-2,708,0
al_scip-inf-1,709,1
al_scip-inf-2,710,2
al_scip-inf-3,711,3
al_scip-inf-4,712,4
al_scip-inf-6,713,5
al_scip-vte-1,714,6
al_scip-vte-2,715,7
al_ami-1,716,8
al_ami-2,717,9
al_ami-3,718,10
al_ami-4,719,11
al_ami-5,720,12
al_amx-7a,721,65
al_ami-8a,722,14
al_hf-1,723,15
al_hf-2,724,16
al_hf-3,725,17
al_hf-4,726,18
al_pn-2,727,19
al_pn-3b,728,20
al_pn-4,729,21
al_pn-5c,730,22
al_pn-6,731,23
al_pn-7,732,24
al_scip-card-2,733,0
al_scip-inf-1,734,1
al_scip-inf-2,735,2
al_scip-inf-3,736,3
al_scip-inf-4,737,4
al_scip-inf-6,738,5
al_scip-vte-1,739,6
al_scip-vte-2,740,7
al_ami-1,741,8
al_ami-2,742,9
al_ami-3,743,10
al_ami-4,744,11
al_ami-5,745,12
al_ami-7a,746,13
al_ami-8a,747,14
al_hf-1,748,15
al_hf-2,749,16
al_hf-3,750,17
al_hf-4,751,18
al_pn-2,752,19
al_pn-3b,753,20
al_pn-4,754,21
al_pn-5c,755,22
al_pn-6,756,23
al_pn-7,757,24
al_scip-card-2,758,0
al_scip-inf-1,759,1
al_scipxinfx2,760,66
al_scip-inf-3,761,3
al_scip-inf-4,762,4
al_scip-inf-6,763,5
al_scix-vte-1,764,67
al_scip-vte-2,765,7
al_cac-1,766,68
al_scip-inf-1,767,1
al_scip-inf-2,768,2
al_scip-inf-3,769,3
al_scip-inf-4,770,4
al_scip-inf-6,771,5
al_scip-vte-1,772,6
al_scip-vte-2,773,7
al_cac-1,774,68
al_cac-2,775,32
al_cac-3,776,33
al_ami-1,777,8
al_ami-2,778,9
al_ami-3,779,10
al_ami-4,780,11
al_ami-5,781,12
al_ami-7a,782,13
al_ami-8a,783,14
al_hf-1,784,15
al_hf-2,785,16
al_hf-3,786,17
al_hf-x,787,69
al_pn-2,788,19
al_pn-3b,789,20
al_pn-4,790,21
al_pn-5c,791,22
al_pn-6,792,23
al_pn-7,793,24
al_scip-card-2,794,0
al_scip-inf-1,795,1
xl_scip-inf-2,796,70
al_scip-inf-3,797,3
al_scip-inf-4,798,4
al_scip-inf-6,799,5
al_scip-vte-1,800,6
al_scip-vte-2,801,7
al_ami-1,802,8
al_ami-2,803,9
al_ami-3,804,10
al_ami-4,805,11
al_ami-5,806,12
al_ami-7a,807,13
al_ami-8a,808,14
al_hf-1,809,15
al_hf-2,810,16
al_hf-3,811,17
al_hf-4,812,18
al_pn-2,813,19
al_pn-3b,814,20
al_pn-4,815,21
al_pn-5c,816,22
al_pn-6,817,23
al_pn-7,818,24
al_scip-card-2,819,0
al_scip-inf-1,820,1
al_scip-inf-2,821,2
al_scip-inf-3,822,3
al_scip-inf-4,823,4
al_scip-inf-6,824,5
al_scip-vte-1,825,6
al_scip-vte-2,826,7
xl_xmi-1,827,71
al_ami-2,828,9
al_ami-3,829,10
al_ami-4,830,11
al_ami-5,831,12
al_ami-7a,832,13
al_ami-8a,833,14
al_hf-1,834,15
al_hf-2,835,16
al_hf-3,836,17
al_hf-4,837,18
al_pn-2,838,19
al_pn-3b,839,20
al_pn-4,840,21
al_pn-5c,841,22
al_pnx6,842,72
al_pn-7,843,24
al_scip-card-2,844,0
al_scip-inf-1,845,1
al_scip-inf-2,846,2
al_scip-inf-3,847,3
al_scip-inf-4,848,4
al_scip-inf-6,849,5
al_scip-vte-1,850,6
al_scip-vte-2,851,7
al_ami-1,852,8
al_ami-2,853,9
al_ami-3,854,10
al_ami-4,855,11
al_ami-5,856,12
al_ami-7a,857,13
al_ami-8a,858,14
al_hf-1,859,15
al_hf-2,860,16
al_hf-3,861,17
al_hf-4,862,18
al_pn-2,863,19
al_pn-3b,864,20
al_pn-4,865,21
al_pn-5c,866,22
al_pn-6,867,23
al_pn-7,868,24
al_scip-card-2,869,0
al_scip-inf-1,870,1
al_scip-inf-2,871,2
al_scip-inf-3,872,3
al_scip-inf-4,873,4
al_scip-inf-6,874,5
al_scip-vte-1,875,6
al_scip-vte-2,876,7
al_ami-1,877,8
al_ami-2,878,9
al_ami-3,879,10
al_ami-4,880,11
al_ami-5,881,12
al_ami-7a,882,13
al_ami-8a,883,14
al_hf-1,884,15
al_hf-2,885,16
al_hf-3,886,17
al_hf-4,887,18
al_pn-2,888,19
al_pn-3b,889,20
al_pn-4,890,21
al_pn-5c,891,22
al_pn-6,892,23
al_pn-7,893,24
al_scip-card-2,894,0
al_scip-inf-1,895,1
al_scip-inf-2,896,2
al_scip-inf-3,897,3
al_scip-inf-4,898,4
al_scip-inf-6,899,5
al_scip-vte-1,900,6
al_scip-vte-2,901,7
al_cac-1,902,68
al_cac-2,903,32
al_cac-3,904,33
al_ami-1,905,8
al_ami-2,906,9
al_ami-3,907,10
al_ami-4,908,11
al_ami-5,909,12
al_ami-7a,910,13
al_ami-8a,911,14
al_hf-1,912,15
al_hf-2,913,16
al_hf-3,914,17
al_hf-4,915,18
al_pn-2,916,19
al_pn-3b,917,20
al_pn-4,918,21
al_pn-5c,919,22
alxpn-6,920,73
al_pn-7,921,24
al_scip-card-2,922,0
al_scip-inf-1,923,1
al_scip-inf-2,924,2
al_scip-inf-3,925,3
al_scip-inf-4,926,4
al_scip-inf-6,927,5
al_scip-vte-1,928,6
al_scip-vte-2,929,7
al_ami-1,930,8
al_ami-2,931,9
al_ami-3,932,10
al_ami-4,933,11
al_ami-5,934,12
al_ami-7a,935,13
al_ami-8a,936,14
al_hf-1,937,15
al_hf-2,938,16
al_hf-3,939,17
al_hf-4,940,18
al_pn-2,941,19
al_pn-3b,942,20
al_pn-4,943,21
al_pn-5c,944,22
al_pn-6,945,23
al_pn-7,946,24
al_scip-card-2,947,0
al_scip-inf-1,948,1
al_scip-inf-2,949,2
al_scip-inf-3,950,3
al_scip-inf-4,951,4
al_scip-inf-6,952,5
al_scip-vte-1,953,6
al_scip-vte-2,954,7
al_ami-1,955,8
al_ami-2,956,9
al_ami-3,957,10
al_ami-4,958,11
al_ami-5,959,12
al_ami-7a,960,13
al_ami-8a,961,14
al_hf-1,962,15
al_hf-2,963,16
al_hf-3,964,17
al_hf-4,965,18
al_pn-2,966,19
al_pn-3b,967,20
al_pn-4,968,21
al_pn-5c,969,22
al_pn-6,970,23
al_pn-7,971,24
al_scip-card-2,972,0
al_scip-inf-1,973,1
al_scip-inf-2,974,2
al_scip-inf-3,975,3
al_scip-inf-4,976,4
al_scip-inf-6,977,5
al_scip-vte-1,978,6
al_scip-vte-2,979,7
al_ami-1,980,8
al_ami-2,981,9
al_ami-3,982,10
al_ami-4,983,11
al_ami-5,984,12
al_ami-7a,985,13
al_ami-8a,986,14
al_hf-1,987,15
al_hf-2,988,16
al_hf-3,989,17
al_hf-4,990,18
al_pn-2,991,19
al_pn-3b,992,20
al_pn-4,993,21
al_pn-5c,994,22
al_pn-6,995,23
al_pn-7,996,24
al_scip-card-2,997,0
al_scip-inf-1,998,1
al_scip-inf-2,999,2
