ibu,original_index,unique_index
30.0,311,18
22.0,312,46
60.0,313,1
16.0,314,53
,315,0
,316,0
,317,0
,318,0
,319,0
40.0,320,30
16.0,321,53
28.0,322,14
,323,0
,324,0
,325,0
,326,0
,327,0
,328,0
,329,0
,330,0
30.0,331,18
34.0,332,57
,333,0
27.0,334,38
72.0,335,66
22.0,336,46
30.0,337,18
26.0,338,19
94.0,339,8
,340,0
,341,0
,342,0
,343,0
38.0,344,26
,345,0
45.0,346,3
,347,0
,348,0
,349,0
,350,0
,351,0
,352,0
72.0,353,66
16.0,354,53
8.0,355,44
45.0,356,3
,357,0
,358,0
30.0,359,18
30.0,360,18
15.0,361,16
7.0,362,67
30.0,363,18
35.0,364,10
35.0,365,10
35.0,366,10
80.0,367,23
,368,0
,369,0
,370,0
52.0,371,7
52.0,372,7
80.0,373,23
25.0,374,24
,375,0
40.0,376,30
,377,0
9.0,378,68
15.0,379,16
68.0,380,21
19.0,381,34
,382,0
60.0,383,1
21.0,384,25
28.0,385,14
,386,0
,387,0
,388,0
,389,0
,390,0
,391,0
,392,0
,393,0
,394,0
,395,0
,396,0
,397,0
,398,0
,399,0
,400,0
,401,0
,402,0
,403,0
,404,0
,405,0
,406,0
,407,0
,408,0
,409,0
,410,0
,411,0
,412,0
,413,0
,414,0
,415,0
,416,0
,417,0
,418,0
,419,0
,420,0
,421,0
,422,0
,423,0
,424,0
,425,0
,426,0
,427,0
,428,0
,429,0
,430,0
,431,0
,432,0
,433,0
,434,0
,435,0
,436,0
,437,0
,438,0
,439,0
,440,0
,441,0
,442,0
,443,0
,444,0
,445,0
,446,0
,447,0
,448,0
,449,0
,450,0
,451,0
,452,0
15.0,453,16
17.0,454,5
,455,0
64.0,456,69
47.0,457,63
,458,0
47.0,459,63
,460,0
,461,0
,462,0
,463,0
,464,0
85.0,465,52
,466,0
42.0,467,4
35.0,468,10
40.0,469,30
,470,0
,471,0
40.0,472,30
20.0,473,22
118.0,474,70
,475,0
,476,0
,477,0
40.0,478,30
115.0,479,42
,480,0
,481,0
16.0,482,53
86.0,483,71
,484,0
40.0,485,30
14.0,486,72
36.0,487,28
,488,0
,489,0
,490,0
,491,0
,492,0
,493,0
,494,0
,495,0
,496,0
,497,0
,498,0
25.0,499,24
35.0,500,10
100.0,501,73
35.0,502,10
25.0,503,24
100.0,504,73
,505,0
55.0,506,36
16.0,507,53
24.0,508,74
94.0,509,8
94.0,510,8
55.0,511,36
55.0,512,36
55.0,513,36
55.0,514,36
55.0,515,36
24.0,516,74
94.0,517,8
,518,0
,519,0
,520,0
,521,0
,522,0
,523,0
43.0,524,31
130.0,525,75
64.0,526,69
35.0,527,10
30.0,528,18
35.0,529,10
10.0,530,37
80.0,531,23
28.0,532,14
18.0,533,13
55.0,534,36
18.0,535,13
70.0,536,6
,537,0
,538,0
,539,0
,540,0
,541,0
,542,0
,543,0
,544,0
22.0,545,46
,546,0
,547,0
100.0,548,73
9.0,549,68
80.0,550,23
35.0,551,10
,552,0
,553,0
,554,0
,555,0
,556,0
,557,0
,558,0
,559,0
,560,0
16.0,561,53
16.0,562,53
,563,0
,564,0
90.0,565,76
,566,0
70.0,567,6
35.0,568,10
36.0,569,28
18.0,570,13
,571,0
,572,0
40.0,573,30
24.0,574,74
40.0,575,30
42.0,576,4
15.0,577,16
85.0,578,52
99.0,579,77
77.0,580,78
,581,0
45.0,582,3
22.0,583,46
65.0,584,9
,585,0
8.0,586,44
30.0,587,18
,588,0
69.0,589,39
40.0,590,30
58.0,591,79
10.0,592,37
,593,0
126.0,594,80
29.0,595,81
,596,0
,597,0
25.0,598,24
65.0,599,9
65.0,600,9
,601,0
,602,0
,603,0
,604,0
60.0,605,1
60.0,606,1
,607,0
60.0,608,1
60.0,609,1
60.0,610,1
,611,0
,612,0
70.0,613,6
70.0,614,6
65.0,615,9
,616,0
25.0,617,24
25.0,618,24
,619,0
75.0,620,17
70.0,621,6
18.0,622,13
,623,0
,624,0
,625,0
,626,0
,627,0
,628,0
,629,0
60.0,630,1
75.0,631,17
13.0,632,20
17.0,633,5
55.0,634,36
11.0,635,12
75.0,636,17
24.0,637,74
24.0,638,74
,639,0
75.0,640,17
22.0,641,46
21.0,642,25
,643,0
,644,0
,645,0
,646,0
,647,0
,648,0
,649,0
29.0,650,81
71.0,651,82
46.0,652,49
25.0,653,24
,654,0
,655,0
,656,0
15.0,657,16
,658,0
25.0,659,24
65.0,660,9
,661,0
25.0,662,24
,663,0
,664,0
,665,0
,666,0
,667,0
,668,0
,669,0
,670,0
,671,0
31.0,672,83
23.0,673,35
,674,0
,675,0
,676,0
,677,0
,678,0
,679,0
,680,0
15.0,681,16
11.0,682,12
,683,0
115.0,684,42
80.0,685,23
,686,0
,687,0
,688,0
,689,0
,690,0
,691,0
,692,0
,693,0
37.0,694,65
,695,0
33.0,696,27
100.0,697,73
,698,0
,699,0
25.0,700,24
,701,0
23.0,702,35
70.0,703,6
44.0,704,54
16.0,705,53
55.0,706,36
46.0,707,49
71.0,708,82
46.0,709,49
,710,0
,711,0
40.0,712,30
16.0,713,53
22.0,714,46
76.0,715,61
12.0,716,43
,717,0
85.0,718,52
22.0,719,46
45.0,720,3
26.0,721,19
27.0,722,38
,723,0
85.0,724,52
12.0,725,43
,726,0
72.0,727,66
,728,0
,729,0
,730,0
,731,0
,732,0
,733,0
,734,0
,735,0
,736,0
100.0,737,73
17.0,738,5
12.0,739,43
49.0,740,84
64.0,741,69
18.0,742,13
,743,0
74.0,744,85
,745,0
,746,0
,747,0
,748,0
74.0,749,85
,750,0
25.0,751,24
,752,0
,753,0
,754,0
,755,0
,756,0
,757,0
60.0,758,1
80.0,759,23
23.0,760,35
61.0,761,86
,762,0
,763,0
,764,0
48.0,765,50
,766,0
,767,0
,768,0
,769,0
,770,0
32.0,771,56
19.0,772,34
70.0,773,6
55.0,774,36
80.0,775,23
58.0,776,79
20.0,777,22
20.0,778,22
20.0,779,22
70.0,780,6
53.0,781,87
,782,0
,783,0
53.0,784,87
,785,0
,786,0
,787,0
,788,0
80.0,789,23
30.0,790,18
,791,0
45.0,792,3
20.0,793,22
,794,0
80.0,795,23
,796,0
22.0,797,46
,798,0
72.0,799,66
,800,0
,801,0
,802,0
,803,0
47.0,804,63
75.0,805,17
,806,0
,807,0
20.0,808,22
,809,0
27.0,810,38
104.0,811,58
,812,0
,813,0
60.0,814,1
28.0,815,14
,816,0
70.0,817,6
,818,0
,819,0
,820,0
,821,0
18.0,822,13
65.0,823,9
,824,0
,825,0
,826,0
,827,0
,828,0
,829,0
,830,0
,831,0
,832,0
,833,0
,834,0
97.0,835,88
,836,0
19.0,837,34
16.0,838,53
17.0,839,5
42.0,840,4
50.0,841,15
65.0,842,9
42.0,843,4
73.0,844,89
40.0,845,30
20.0,846,22
,847,0
,848,0
,849,0
90.0,850,76
,851,0
17.0,852,5
21.0,853,25
,854,0
9.0,855,68
47.0,856,63
21.0,857,25
,858,0
,859,0
28.0,860,14
36.0,861,28
70.0,862,6
,863,0
69.0,864,39
18.0,865,13
27.0,866,38
33.0,867,27
,868,0
20.0,869,22
,870,0
10.0,871,37
70.0,872,6
5.0,873,47
,874,0
,875,0
,876,0
35.0,877,10
45.0,878,3
30.0,879,18
80.0,880,23
32.0,881,56
24.0,882,74
42.0,883,4
73.0,884,89
,885,0
50.0,886,15
15.0,887,16
26.0,888,19
70.0,889,6
75.0,890,17
35.0,891,10
74.0,892,85
70.0,893,6
92.0,894,2
60.0,895,1
15.0,896,16
65.0,897,9
60.0,898,1
,899,0
20.0,900,22
70.0,901,6
70.0,902,6
60.0,903,1
15.0,904,16
11.0,905,12
70.0,906,6
18.0,907,13
36.0,908,28
103.0,909,29
54.0,910,59
64.0,911,69
36.0,912,28
40.0,913,30
55.0,914,36
30.0,915,18
30.0,916,18
18.0,917,13
18.0,918,13
20.0,919,22
19.0,920,34
,921,0
,922,0
,923,0
,924,0
21.0,925,25
21.0,926,25
35.0,927,10
22.0,928,46
18.0,929,13
33.0,930,27
60.0,931,1
27.0,932,38
22.0,933,46
33.0,934,27
25.0,935,24
36.0,936,28
18.0,937,13
27.0,938,38
25.0,939,24
13.0,940,20
65.0,941,9
66.0,942,90
33.0,943,27
23.0,944,35
26.0,945,19
60.0,946,1
22.0,947,46
,948,0
,949,0
,950,0
,951,0
,952,0
,953,0
75.0,954,17
,955,0
,956,0
15.0,957,16
15.0,958,16
49.0,959,84
,960,0
5.0,961,47
22.0,962,46
,963,0
,964,0
20.0,965,22
30.0,966,18
,967,0
10.0,968,37
30.0,969,18
48.0,970,50
99.0,971,77
22.0,972,46
70.0,973,6
25.0,974,24
25.0,975,24
36.0,976,28
48.0,977,50
30.0,978,18
30.0,979,18
44.0,980,54
71.0,981,82
,982,0
69.0,983,39
,984,0
54.0,985,59
20.0,986,22
,987,0
34.0,988,57
54.0,989,59
22.0,990,46
6.0,991,33
,992,0
25.0,993,24
35.0,994,10
25.0,995,24
,996,0
35.0,997,10
55.0,998,36
,999,0
43.0,1000,31
67.0,1001,40
,1002,0
,1003,0
,1004,0
,1005,0
,1006,0
,1007,0
,1008,0
,1009,0
,1010,0
40.0,1011,30
18.0,1012,13
17.0,1013,5
14.0,1014,72
70.0,1015,6
18.0,1016,13
55.0,1017,36
15.0,1018,16
45.0,1019,3
,1020,0
28.0,1021,14
42.0,1022,4
20.0,1023,22
30.0,1024,18
42.0,1025,4
28.0,1026,14
10.0,1027,37
28.0,1028,14
42.0,1029,4
,1030,0
,1031,0
,1032,0
,1033,0
,1034,0
,1035,0
,1036,0
65.0,1037,9
40.0,1038,30
77.0,1039,78
45.0,1040,3
30.0,1041,18
,1042,0
30.0,1043,18
86.0,1044,71
85.0,1045,52
21.0,1046,25
68.0,1047,21
22.0,1048,46
,1049,0
,1050,0
32.0,1051,56
34.0,1052,57
20.0,1053,22
60.0,1054,1
30.0,1055,18
,1056,0
25.0,1057,24
28.0,1058,14
45.0,1059,3
20.0,1060,22
60.0,1061,1
70.0,1062,6
20.0,1063,22
13.0,1064,20
90.0,1065,76
90.0,1066,76
20.0,1067,22
,1068,0
,1069,0
40.0,1070,30
50.0,1071,15
,1072,0
,1073,0
21.0,1074,25
20.0,1075,22
20.0,1076,22
20.0,1077,22
20.0,1078,22
20.0,1079,22
20.0,1080,22
20.0,1081,22
20.0,1082,22
20.0,1083,22
20.0,1084,22
20.0,1085,22
20.0,1086,22
60.0,1087,1
35.0,1088,10
75.0,1089,17
70.0,1090,6
60.0,1091,1
60.0,1092,1
70.0,1093,6
32.0,1094,56
75.0,1095,17
,1096,0
17.0,1097,5
,1098,0
,1099,0
,1100,0
90.0,1101,76
22.0,1102,46
10.0,1103,37
27.0,1104,38
80.0,1105,23
45.0,1106,3
32.0,1107,56
42.0,1108,4
27.0,1109,38
58.0,1110,79
75.0,1111,17
20.0,1112,22
20.0,1113,22
55.0,1114,36
28.0,1115,14
,1116,0
,1117,0
18.0,1118,13
15.0,1119,16
80.0,1120,23
65.0,1121,9
45.0,1122,3
,1123,0
,1124,0
37.0,1125,65
,1126,0
,1127,0
,1128,0
,1129,0
,1130,0
,1131,0
,1132,0
,1133,0
,1134,0
,1135,0
,1136,0
,1137,0
15.0,1138,16
50.0,1139,15
90.0,1140,76
15.0,1141,16
,1142,0
24.0,1143,74
16.0,1144,53
25.0,1145,24
40.0,1146,30
25.0,1147,24
20.0,1148,22
20.0,1149,22
85.0,1150,52
45.0,1151,3
15.0,1152,16
70.0,1153,6
19.0,1154,34
64.0,1155,69
23.0,1156,35
,1157,0
15.0,1158,16
,1159,0
,1160,0
11.0,1161,12
65.0,1162,9
65.0,1163,9
50.0,1164,15
65.0,1165,9
11.0,1166,12
,1167,0
,1168,0
,1169,0
,1170,0
,1171,0
,1172,0
,1173,0
,1174,0
,1175,0
70.0,1176,6
10.0,1177,37
,1178,0
65.0,1179,9
11.0,1180,12
18.0,1181,13
18.0,1182,13
18.0,1183,13
18.0,1184,13
9.0,1185,68
,1186,0
15.0,1187,16
100.0,1188,73
30.0,1189,18
28.0,1190,14
,1191,0
,1192,0
,1193,0
,1194,0
12.0,1195,43
9.0,1196,68
66.0,1197,90
95.0,1198,91
70.0,1199,6
,1200,0
,1201,0
,1202,0
,1203,0
,1204,0
,1205,0
30.0,1206,18
30.0,1207,18
40.0,1208,30
42.0,1209,4
20.0,1210,22
75.0,1211,17
40.0,1212,30
,1213,0
,1214,0
47.0,1215,63
11.0,1216,12
30.0,1217,18
42.0,1218,4
30.0,1219,18
33.0,1220,27
8.0,1221,44
30.0,1222,18
8.0,1223,44
20.0,1224,22
,1225,0
,1226,0
65.0,1227,9
55.0,1228,36
29.0,1229,81
,1230,0
,1231,0
,1232,0
18.0,1233,13
31.0,1234,83
,1235,0
20.0,1236,22
,1237,0
,1238,0
,1239,0
32.0,1240,56
,1241,0
,1242,0
,1243,0
18.0,1244,13
,1245,0
18.0,1246,13
11.0,1247,12
40.0,1248,30
70.0,1249,6
32.0,1250,56
30.0,1251,18
20.0,1252,22
13.0,1253,20
20.0,1254,22
,1255,0
,1256,0
,1257,0
,1258,0
,1259,0
,1260,0
21.0,1261,25
,1262,0
,1263,0
18.0,1264,13
30.0,1265,18
14.0,1266,72
85.0,1267,52
93.0,1268,92
88.0,1269,93
25.0,1270,24
49.0,1271,84
44.0,1272,54
,1273,0
,1274,0
,1275,0
,1276,0
,1277,0
,1278,0
,1279,0
20.0,1280,22
47.0,1281,63
35.0,1282,10
,1283,0
,1284,0
,1285,0
,1286,0
,1287,0
60.0,1288,1
,1289,0
60.0,1290,1
,1291,0
,1292,0
,1293,0
,1294,0
,1295,0
12.0,1296,43
,1297,0
,1298,0
,1299,0
,1300,0
20.0,1301,22
,1302,0
,1303,0
,1304,0
,1305,0
24.0,1306,74
12.0,1307,43
68.0,1308,21
15.0,1309,16
18.0,1310,13
30.0,1311,18
65.0,1312,9
34.0,1313,57
21.0,1314,25
53.0,1315,87
,1316,0
,1317,0
,1318,0
75.0,1319,17
75.0,1320,17
22.0,1321,46
27.0,1322,38
23.0,1323,35
42.0,1324,4
11.0,1325,12
30.0,1326,18
62.0,1327,45
16.0,1328,53
,1329,0
61.0,1330,86
61.0,1331,86
12.0,1332,43
24.0,1333,74
70.0,1334,6
100.0,1335,73
85.0,1336,52
24.0,1337,74
100.0,1338,73
30.0,1339,18
28.0,1340,14
,1341,0
,1342,0
,1343,0
,1344,0
,1345,0
8.0,1346,44
,1347,0
,1348,0
,1349,0
,1350,0
,1351,0
,1352,0
,1353,0
80.0,1354,23
24.0,1355,74
51.0,1356,64
20.0,1357,22
,1358,0
18.0,1359,13
24.0,1360,74
,1361,0
,1362,0
,1363,0
,1364,0
,1365,0
,1366,0
,1367,0
,1368,0
,1369,0
,1370,0
,1371,0
,1372,0
,1373,0
,1374,0
66.0,1375,90
44.0,1376,54
75.0,1377,17
,1378,0
,1379,0
,1380,0
,1381,0
,1382,0
,1383,0
,1384,0
85.0,1385,52
75.0,1386,17
50.0,1387,15
75.0,1388,17
30.0,1389,18
46.0,1390,49
40.0,1391,30
115.0,1392,42
,1393,0
,1394,0
,1395,0
,1396,0
28.0,1397,14
49.0,1398,84
18.0,1399,13
24.0,1400,74
14.0,1401,72
24.0,1402,74
35.0,1403,10
21.0,1404,25
,1405,0
,1406,0
21.0,1407,25
70.0,1408,6
,1409,0
,1410,0
,1411,0
,1412,0
,1413,0
,1414,0
,1415,0
,1416,0
,1417,0
10.0,1418,37
14.0,1419,72
10.0,1420,37
30.0,1421,18
30.0,1422,18
35.0,1423,10
24.0,1424,74
22.0,1425,46
24.0,1426,74
22.0,1427,46
32.0,1428,56
15.0,1429,16
,1430,0
,1431,0
86.0,1432,71
86.0,1433,71
,1434,0
,1435,0
11.0,1436,12
65.0,1437,9
10.0,1438,37
15.0,1439,16
29.0,1440,81
,1441,0
,1442,0
40.0,1443,30
70.0,1444,6
29.0,1445,81
21.0,1446,25
,1447,0
,1448,0
,1449,0
,1450,0
18.0,1451,13
29.0,1452,81
18.0,1453,13
29.0,1454,81
70.0,1455,6
18.0,1456,13
70.0,1457,6
,1458,0
18.0,1459,13
6.0,1460,33
,1461,0
,1462,0
,1463,0
,1464,0
85.0,1465,52
,1466,0
85.0,1467,52
,1468,0
,1469,0
,1470,0
,1471,0
,1472,0
,1473,0
,1474,0
,1475,0
,1476,0
20.0,1477,22
30.0,1478,18
50.0,1479,15
,1480,0
,1481,0
35.0,1482,10
,1483,0
,1484,0
,1485,0
,1486,0
31.0,1487,83
80.0,1488,23
,1489,0
,1490,0
,1491,0
,1492,0
50.0,1493,15
26.0,1494,19
19.0,1495,34
38.0,1496,26
25.0,1497,24
47.0,1498,63
,1499,0
,1500,0
42.0,1501,4
,1502,0
,1503,0
,1504,0
,1505,0
,1506,0
66.0,1507,90
7.0,1508,67
70.0,1509,6
24.0,1510,74
27.0,1511,38
70.0,1512,6
25.0,1513,24
27.0,1514,38
35.0,1515,10
35.0,1516,10
,1517,0
,1518,0
,1519,0
,1520,0
72.0,1521,66
29.0,1522,81
36.0,1523,28
,1524,0
,1525,0
,1526,0
,1527,0
19.0,1528,34
26.0,1529,19
29.0,1530,81
45.0,1531,3
26.0,1532,19
23.0,1533,35
,1534,0
65.0,1535,9
,1536,0
,1537,0
20.0,1538,22
,1539,0
,1540,0
,1541,0
,1542,0
,1543,0
,1544,0
,1545,0
,1546,0
,1547,0
,1548,0
,1549,0
,1550,0
35.0,1551,10
,1552,0
,1553,0
,1554,0
,1555,0
,1556,0
,1557,0
,1558,0
65.0,1559,9
65.0,1560,9
35.0,1561,10
,1562,0
,1563,0
65.0,1564,9
,1565,0
65.0,1566,9
65.0,1567,9
85.0,1568,52
65.0,1569,9
65.0,1570,9
85.0,1571,52
,1572,0
,1573,0
70.0,1574,6
,1575,0
60.0,1576,1
85.0,1577,52
98.0,1578,94
35.0,1579,10
100.0,1580,73
35.0,1581,10
85.0,1582,52
65.0,1583,9
85.0,1584,52
98.0,1585,94
98.0,1586,94
35.0,1587,10
35.0,1588,10
35.0,1589,10
65.0,1590,9
65.0,1591,9
65.0,1592,9
65.0,1593,9
65.0,1594,9
,1595,0
60.0,1596,1
85.0,1597,52
98.0,1598,94
85.0,1599,52
35.0,1600,10
65.0,1601,9
65.0,1602,9
45.0,1603,3
55.0,1604,36
39.0,1605,95
,1606,0
,1607,0
23.0,1608,35
48.0,1609,50
22.0,1610,46
28.0,1611,14
24.0,1612,74
35.0,1613,10
65.0,1614,9
,1615,0
35.0,1616,10
25.0,1617,24
,1618,0
,1619,0
61.0,1620,86
12.0,1621,43
17.0,1622,5
77.0,1623,78
62.0,1624,45
,1625,0
,1626,0
10.0,1627,37
15.0,1628,16
,1629,0
65.0,1630,9
40.0,1631,30
35.0,1632,10
,1633,0
,1634,0
,1635,0
,1636,0
,1637,0
,1638,0
,1639,0
12.0,1640,43
25.0,1641,24
20.0,1642,22
74.0,1643,85
60.0,1644,1
,1645,0
,1646,0
75.0,1647,17
,1648,0
,1649,0
20.0,1650,22
,1651,0
24.0,1652,74
18.0,1653,13
25.0,1654,24
18.0,1655,13
20.0,1656,22
70.0,1657,6
,1658,0
51.0,1659,64
31.0,1660,83
,1661,0
,1662,0
,1663,0
,1664,0
45.0,1665,3
,1666,0
,1667,0
,1668,0
14.0,1669,72
17.0,1670,5
15.0,1671,16
21.0,1672,25
68.0,1673,21
21.0,1674,25
14.0,1675,72
18.0,1676,13
18.0,1677,13
35.0,1678,10
30.0,1679,18
,1680,0
60.0,1681,1
5.0,1682,47
25.0,1683,24
85.0,1684,52
21.0,1685,25
,1686,0
52.0,1687,7
50.0,1688,15
21.0,1689,25
55.0,1690,36
55.0,1691,36
,1692,0
17.0,1693,5
45.0,1694,3
,1695,0
25.0,1696,24
18.0,1697,13
,1698,0
44.0,1699,54
44.0,1700,54
27.0,1701,38
,1702,0
,1703,0
,1704,0
16.0,1705,53
40.0,1706,30
60.0,1707,1
100.0,1708,73
100.0,1709,73
25.0,1710,24
100.0,1711,73
,1712,0
,1713,0
,1714,0
,1715,0
,1716,0
,1717,0
,1718,0
,1719,0
40.0,1720,30
,1721,0
15.0,1722,16
31.0,1723,83
25.0,1724,24
28.0,1725,14
70.0,1726,6
14.0,1727,72
42.0,1728,4
42.0,1729,4
60.0,1730,1
35.0,1731,10
21.0,1732,25
45.0,1733,3
75.0,1734,17
25.0,1735,24
,1736,0
,1737,0
,1738,0
,1739,0
,1740,0
55.0,1741,36
60.0,1742,1
100.0,1743,73
,1744,0
,1745,0
,1746,0
,1747,0
,1748,0
,1749,0
,1750,0
,1751,0
,1752,0
,1753,0
,1754,0
,1755,0
,1756,0
,1757,0
,1758,0
,1759,0
,1760,0
,1761,0
,1762,0
,1763,0
,1764,0
,1765,0
,1766,0
78.0,1767,96
80.0,1768,23
,1769,0
36.0,1770,28
,1771,0
,1772,0
40.0,1773,30
,1774,0
,1775,0
28.0,1776,14
35.0,1777,10
55.0,1778,36
42.0,1779,4
55.0,1780,36
35.0,1781,10
15.0,1782,16
66.0,1783,90
40.0,1784,30
22.0,1785,46
20.0,1786,22
25.0,1787,24
99.0,1788,77
,1789,0
15.0,1790,16
,1791,0
,1792,0
20.0,1793,22
15.0,1794,16
85.0,1795,52
20.0,1796,22
45.0,1797,3
,1798,0
20.0,1799,22
45.0,1800,3
85.0,1801,52
15.0,1802,16
45.0,1803,3
20.0,1804,22
20.0,1805,22
65.0,1806,9
88.0,1807,93
,1808,0
,1809,0
30.0,1810,18
95.0,1811,91
,1812,0
,1813,0
,1814,0
,1815,0
,1816,0
11.0,1817,12
,1818,0
,1819,0
,1820,0
45.0,1821,3
,1822,0
30.0,1823,18
30.0,1824,18
16.0,1825,53
17.0,1826,5
,1827,0
60.0,1828,1
,1829,0
,1830,0
105.0,1831,97
55.0,1832,36
40.0,1833,30
20.0,1834,22
40.0,1835,30
53.0,1836,87
68.0,1837,21
,1838,0
,1839,0
65.0,1840,9
,1841,0
,1842,0
,1843,0
,1844,0
65.0,1845,9
,1846,0
,1847,0
37.0,1848,65
26.0,1849,19
28.0,1850,14
65.0,1851,9
37.0,1852,65
,1853,0
,1854,0
,1855,0
,1856,0
52.0,1857,7
16.0,1858,53
,1859,0
7.0,1860,67
62.0,1861,45
50.0,1862,15
111.0,1863,98
70.0,1864,6
74.0,1865,85
42.0,1866,4
34.0,1867,57
57.0,1868,99
62.0,1869,45
85.0,1870,52
47.0,1871,63
11.0,1872,12
35.0,1873,10
103.0,1874,29
69.0,1875,39
48.0,1876,50
42.0,1877,4
34.0,1878,57
57.0,1879,99
62.0,1880,45
,1881,0
,1882,0
65.0,1883,9
15.0,1884,16
,1885,0
,1886,0
,1887,0
18.0,1888,13
,1889,0
,1890,0
58.0,1891,79
65.0,1892,9
39.0,1893,95
92.0,1894,2
,1895,0
,1896,0
,1897,0
70.0,1898,6
16.0,1899,53
25.0,1900,24
,1901,0
18.0,1902,13
16.0,1903,53
90.0,1904,76
25.0,1905,24
113.0,1906,100
21.0,1907,25
11.0,1908,12
44.0,1909,54
40.0,1910,30
88.0,1911,93
35.0,1912,10
33.0,1913,27
,1914,0
55.0,1915,36
36.0,1916,28
22.0,1917,46
18.0,1918,13
32.0,1919,56
60.0,1920,1
,1921,0
,1922,0
100.0,1923,73
100.0,1924,73
,1925,0
,1926,0
,1927,0
,1928,0
,1929,0
,1930,0
100.0,1931,73
,1932,0
32.0,1933,56
12.0,1934,43
,1935,0
90.0,1936,76
100.0,1937,73
18.0,1938,13
40.0,1939,30
,1940,0
