Duration,RatingCount,original_index,unique_index
109 min,"5,384",178,177
157 min,"8,473",179,178
133 min,"82,023",180,179
76 min,"8,457",181,180
94 min,"3,332",182,181
1 hr. 26 min.,"15,460",183,182
104 min,"3,046",184,183
60 min,"1,712",185,184
92 min,"7,176",186,185
104 min,"15,455",187,186
75 min,9,188,187
137 min,"3,804",189,188
114 min,"181,758",190,189
87 min,"3,460",191,190
64 min,"1,082",192,191
104 min,"122,545",193,192
102 min,"51,492",194,193
107 min,"72,327",195,194
90 min,16,196,195
89 min,777,197,196
95 min,"3,485",198,197
104 min,"10,176",199,198
91 min,"11,584",200,199
140 min,"44,968",201,200
97 min,"86,365",202,201
99 min,"33,751",203,202
133 min,"57,506",204,203
98 min,"45,396",205,204
125 min,"40,363",206,205
118 min,"77,670",207,206
129 min,"256,209",208,207
103 min,"1,930",209,208
111 min,"7,064",210,209
106 min,"4,612",211,210
146 min,"249,318",212,211
102 min,"3,226",213,212
98 min,"139,831",214,213
153 min,"327,360",215,214
84 min,"135,403",216,215
125 min,"36,490",217,216
106 min,"1,612",218,217
112 min,"12,692",219,218
83 min,"1,416",220,219
64 min,52,221,220
88 min,"1,061",222,221
102 min,"10,949",223,222
106 min,"5,826",224,223
176 min,"5,578",225,224
133 min,"9,432",226,225
1 hr. 50 min.,"1,300",227,226
102 min,"2,145",228,227
103 min,"3,467",229,228
81 min,826,230,229
82 min,464,231,230
119 min,"1,234",232,231
129 min,"9,818",233,232
93 min,"3,009",234,233
62 min,122,235,234
72 min,239,236,235
90 min,"1,584",237,236
100 min,"56,945",238,237
93 min,"1,044",239,238
100 min,"4,920",240,239
125 min,"263,441",241,240
116 min,"67,925",242,241
100 min,"180,652",243,242
106 min,"257,100",244,243
123 min,"68,776",245,244
127 min,"77,466",246,245
94 min,"258,437",247,246
113 min,"1,070",248,247
118 min,"42,533",249,248
139 min,"128,005",250,249
118 min,"36,160",251,250
92 min,804,252,251
269 min,216,253,252
167 min,594,254,253
58 min,"1,617",255,254
115 min,"161,191",256,255
92 min,"169,343",257,256
93 min,"159,465",258,257
104 min,"65,340",259,258
115 min,"34,316",260,259
101 min,461,261,260
171 min,"25,273",262,261
157 min,"202,803",263,262
,,264,29
86 min,68,265,263
84 min,197,266,264
158 min,"225,665",267,265
85 min,"265,291",268,266
94 min,663,269,267
73 min,790,270,268
122 min,638,271,269
91 min,781,272,270
86 min,"1,277",273,271
88 min,"1,657",274,272
,,275,29
79 min,70,276,273
90 min,"2,611",277,274
96 min,"13,064",278,275
112 min,"14,503",279,276
134 min,"20,766",280,277
164 min,"37,426",281,278
121 min,"51,021",282,279
109 min,"47,450",283,280
155 min,"12,608",284,281
90 min,"6,956",285,282
119 min,"50,361",286,283
97 min,"36,302",287,284
89 min,"248,241",288,285
128 min,"162,343",289,286
110 min,"282,420",290,287
115 min,"136,443",291,288
132 min,"115,631",292,289
88 min,"4,992",293,290
113 min,"192,698",294,291
124 min,"607,376",295,292
107 min,"643,673",296,293
143 min,"135,914",297,294
101 min,"150,676",298,295
96 min,"150,239",299,296
111 min,"113,941",300,297
108 min,"35,168",301,298
100 min,"63,078",302,299
125 min,"89,049",303,300
112 min,"121,416",304,301
120 min,"159,364",305,302
103 min,"135,559",306,303
131 min,"279,650",307,304
98 min,"154,165",308,305
118 min,"165,153",309,306
144 min,"480,946",310,307
,"624,108",311,308
136 min,"408,904",312,309
142 min,"286,834",313,310
,,314,29
103 min,"19,163",315,311
84 min,191,316,312
106 min,"33,428",317,313
86 min,"1,107",318,314
84 min,934,319,315
97 min,"6,004",320,316
79 min,"8,148",321,317
89 min,"4,472",322,318
124 min,"10,257",323,319
97 min,"16,826",324,320
88 min,"25,868",325,321
104 min,"73,220",326,322
129 min,"17,205",327,323
169 min,"1,261",328,324
125 min,"57,679",329,325
89 min,"42,363",330,326
130 min,"93,447",331,327
106 min,"6,841",332,328
118 min,"13,371",333,329
124 min,"10,830",334,330
108 min,"41,095",335,331
93 min,"25,417",336,332
101 min,"179,928",337,333
106 min,"54,594",338,334
110 min,"10,956",339,335
88 min,"7,237",340,336
94 min,"6,657",341,337
106 min,"6,247",342,338
105 min,"34,634",343,339
120 min,"138,656",344,340
105 min,"50,713",345,341
125 min,"34,947",346,342
91 min,"25,743",347,343
140 min,"172,604",348,344
116 min,"168,874",349,345
1 hr. 35 min.,"14,490",350,346
128 min,"103,371",351,347
106 min,"188,085",352,348
108 min,"50,295",353,349
106 min,"171,212",354,350
129 min,"77,343",355,351
134 min,"115,699",356,352
85 min,"89,960",357,353
99 min,66,358,354
89 min,525,359,355
123 min,"125,861",360,356
90 min,"165,676",361,357
123 min,"90,993",362,358
86 min,"4,858",363,359
132 min,"1,854",364,360
110 min,350,365,361
108 min,"3,895",366,362
89 min,"8,326",367,363
112 min,"7,003",368,364
84 min,"1,581",369,365
91 min,"1,925",370,366
125 min,"10,282",371,367
88 min,840,372,368
95 min,"4,462",373,369
79 min,"1,011",374,370
113 min,"21,802",375,371
105 min,"8,411",376,372
105 min,"3,497",377,373
101 min,"53,037",378,374
101 min,"98,977",379,375
1 hr. 34 min.,"141,346",380,376
87 min,"3,670",381,377
111 min,"206,357",382,378
95 min,271,383,379
115 min,712,384,380
109 min,550,385,381
100 min,"3,169",386,382
110 min,"46,682",387,383
90 min,"1,216",388,384
71 min,"1,068",389,385
100 min,903,390,386
107 min,"10,650",391,387
113 min,765,392,388
90 min,376,393,389
94 min,"21,992",394,390
104 min,"7,298",395,391
97 min,929,396,392
100 min,"10,816",397,393
88 min,"12,444",398,394
95 min,"18,395",399,395
91 min,"25,996",400,396
94 min,"55,348",401,397
120 min,"39,087",402,398
102 min,"20,663",403,399
90 min,"21,428",404,400
97 min,"10,457",405,401
94 min,"67,024",406,402
113 min,"396,107",407,403
88 min,"352,890",408,404
104 min,"178,234",409,405
107 min,"286,229",410,406
107 min,"175,056",411,407
85 min,"101,329",412,408
91 min,"63,886",413,409
119 min,"234,929",414,410
86 min,"201,892",415,411
118 min,"96,301",416,412
124 min,"192,976",417,413
122 min,"117,373",418,414
118 min,"199,880",419,415
120 min,"82,240",420,416
96 min,"83,102",421,417
88 min,"147,357",422,418
131 min,"190,941",423,419
119 min,"161,797",424,420
136 min,"250,925",425,421
,"227,278",426,422
116 min,"92,257",427,423
125 min,"167,568",428,424
128 min,"436,600",429,425
106 min,"244,558",430,426
87 min,"6,381",431,427
67 min,"1,039",432,428
85 min,594,433,429
95 min,388,434,430
69 min,"6,298",435,431
107 min,"5,239",436,432
128 min,"47,341",437,433
47 min,30,438,434
81 min,125,439,435
91 min,365,440,436
64 min,"5,458",441,437
68 min,"5,203",442,438
135 min,"26,170",443,439
104 min,71,444,440
66 min,177,445,441
92 min,"8,717",446,442
97 min,"4,991",447,443
101 min,603,448,444
120 min,210,449,445
90 min,845,450,446
97 min,239,451,447
98 min,"1,847",452,448
110 min,"3,551",453,449
106 min,"10,461",454,450
105 min,"23,554",455,451
97 min,"6,825",456,452
,,457,29
80 min,877,458,453
102 min,380,459,454
77 min,"13,034",460,455
202 min,"59,902",461,456
85 min,"1,337",462,457
105 min,377,463,458
100 min,341,464,459
132 min,"115,994",465,460
147 min,"219,415",466,461
76 min,365,467,462
72 min,"1,176",468,463
82 min,725,469,464
80 min,270,470,465
80 min,36,471,466
138 min,"6,213",472,467
106 min,"3,162",473,468
88 min,499,474,469
74 min,"1,616",475,470
80 min,"6,428",476,471
,13,477,472
,16,478,473
,265,479,474
73 min,,480,475
125 min,"73,886",481,476
83 min,99,482,477
120 min,"55,174",483,478
128 min,"15,971",484,479
112 min,"239,590",485,480
109 min,"16,300",486,481
128 min,"17,462",487,482
56 min,26,488,483
113 min,"14,042",489,484
117 min,"20,422",490,485
99 min,"17,159",491,486
109 min,"18,787",492,487
100 min,835,493,488
113 min,"1,448",494,489
1 hr. 43 min.,"1,585",495,490
68 min,684,496,491
103 min,550,497,492
88 min,369,498,493
88 min,"1,060",499,494
102 min,"1,924",500,495
96 min,"12,649",501,496
111 min,"97,703",502,497
136 min,"202,278",503,498
114 min,"21,607",504,499
84 min,"1,185",505,500
93 min,221,506,501
131 min,"239,219",507,502
120 min,"277,254",508,503
136 min,"501,103",509,504
129 min,"107,128",510,505
128 min,"4,907",511,506
93 min,356,512,507
108 min,"4,135",513,508
90 min,348,514,509
92 min,"10,294",515,510
101 min,"6,159",516,511
96 min,"1,376",517,512
86 min,615,518,513
,"140,842",519,514
180 min,"9,152",520,515
80 min,647,521,516
109 min,"241,909",522,517
126 min,"2,249",523,518
106 min,"3,638",524,519
66 min,438,525,520
68 min,"1,137",526,521
119 min,"13,275",527,522
99 min,"62,955",528,523
115 min,"260,349",529,524
134 min,"28,303",530,525
67 min,"47,491",531,526
103 min,"275,450",532,527
86 min,"17,275",533,528
155 min,"882,472",534,529
88 min,"5,369",535,530
106 min,"46,678",536,531
,"68,292",537,532
130 min,"31,255",538,533
86 min,"33,113",539,534
93 min,"107,229",540,535
90 min,"1,407",541,536
107 min,"5,453",542,537
121 min,"3,548",543,538
125 min,"103,442",544,539
102 min,"14,503",545,540
96 min,"8,423",546,541
132 min,"7,077",547,542
104 min,"24,713",548,543
91 min,175,549,544
92 min,"46,753",550,545
108 min,"2,814",551,546
123 min,"4,972",552,547
102 min,"7,716",553,548
82 min,26,554,549
82 min,327,555,550
87 min,"13,938",556,551
85 min,"31,153",557,552
99 min,"14,847",558,553
94 min,"14,322",559,554
95 min,"24,156",560,555
103 min,729,561,556
237 min,"1,045",562,557
161 min,"8,597",563,558
88 min,"1,079",564,559
,,565,29
116 min,"5,191",566,560
100 min,"2,968",567,561
129 min,"82,674",568,562
131 min,"27,270",569,563
,"130,607",570,564
105 min,"106,241",571,565
129 min,"123,724",572,566
,,573,29
85 min,"4,083",574,567
122 min,"49,329",575,568
101 min,"2,292",576,569
101 min,"42,359",577,570
98 min,"43,506",578,571
116 min,"54,788",579,572
,"85,985",580,573
102 min,"32,036",581,574
105 min,"71,337",582,575
103 min,"163,913",583,576
109 min,"202,329",584,577
111 min,"38,126",585,578
113 min,"178,988",586,579
100 min,"401,188",587,580
78 min,464,588,581
104 min,"15,121",589,582
122 min,"15,651",590,583
98 min,"8,179",591,584
99 min,"9,591",592,585
105 min,"4,434",593,586
149 min,"167,643",594,587
115 min,"155,521",595,588
130 min,"71,605",596,589
100 min,"70,519",597,590
157 min,"269,574",598,591
93 min,"344,157",599,592
98 min,"367,681",600,593
80 min,"1,259",601,594
75 min,671,602,595
101 min,"1,050",603,596
80 min,141,604,597
80 min,144,605,598
90 min,632,606,599
68 min,"1,267",607,600
98 min,"23,886",608,601
94 min,513,609,602
84 min,782,610,603
96 min,301,611,604
84 min,221,612,605
88 min,"1,583",613,606
95 min,913,614,607
73 min,199,615,608
92 min,"1,274",616,609
94 min,625,617,610
86 min,"4,377",618,611
88 min,51,619,612
121 min,"4,853",620,613
142 min,"1,106,451",621,614
80 min,"89,118",622,615
106 min,"42,319",623,616
109 min,"36,794",624,617
,106,625,618
102 min,"1,429",626,619
116 min,"42,419",627,620
,"350,813",628,621
100 min,"607,339",629,622
103 min,"37,813",630,623
130 min,"231,752",631,624
92 min,"1,892",632,625
80 min,967,633,626
109 min,"33,787",634,627
145 min,"8,130",635,628
126 min,"10,783",636,629
67 min,"14,671",637,630
92 min,"1,804",638,631
87 min,"4,727",639,632
85 min,764,640,633
126 min,"9,179",641,634
96 min,"18,461",642,635
124 min,"2,367",643,636
86 min,"45,988",644,637
92 min,"4,758",645,638
87 min,724,646,639
93 min,"97,241",647,640
89 min,"30,191",648,641
88 min,"99,577",649,642
220 min,"44,573",650,643
96 min,"3,639",651,644
108 min,"2,093",652,645
127 min,"916,883",653,646
68 min,338,654,647
92 min,128,655,648
107 min,155,656,649
90 min,"12,711",657,650
83 min,"151,534",658,651
99 min,"66,043",659,652
101 min,"7,482",660,653
120 min,"65,661",661,654
124 min,"34,079",662,655
133 min,"19,853",663,656
85 min,470,664,657
83 min,"2,328",665,658
89 min,"5,214",666,659
110 min,"90,034",667,660
91 min,"1,176",668,661
123 min,"224,997",669,662
131 min,"125,983",670,663
118 min,"82,612",671,664
95 min,818,672,665
77 min,"1,359",673,666
75 min,710,674,667
74 min,10,675,668
107 min,"1,374",676,669
94 min,"1,564",677,670
90 min,"3,483",678,671
98 min,"1,733",679,672
138 min,"2,119",680,673
93 min,261,681,674
121 min,"1,859",682,675
167 min,749,683,676
114 min,"49,711",684,677
92 min,"13,772",685,678
93 min,"5,362",686,679
79 min,"1,382",687,680
97 min,579,688,681
1 hr. 28 min.,"27,268",689,682
97 min,"1,029",690,683
94 min,"75,609",691,684
91 min,897,692,685
175 min,"131,717",693,686
126 min,"128,063",694,687
104 min,"2,545",695,688
95 min,942,696,689
120 min,"152,212",697,690
127 min,"535,487",698,691
127 min,"463,740",699,692
,"27,960",700,693
111 min,"29,602",701,694
132 min,"444,494",702,695
90 min,"3,245",703,696
69 min,667,704,697
98 min,843,705,698
93 min,960,706,699
,663,707,700
90 min,715,708,701
104 min,"1,515",709,702
95 min,"7,502",710,703
149 min,"2,007",711,704
109 min,"83,542",712,705
81 min,62,713,706
104 min,398,714,707
113 min,"2,331",715,708
70 min,"1,544",716,709
83 min,"1,314",717,710
90 min,"10,636",718,711
96 min,899,719,712
90 min,586,720,713
75 min,43,721,714
94 min,163,722,715
93 min,275,723,716
97 min,"54,022",724,717
95 min,"88,673",725,718
97 min,"185,695",726,719
100 min,"198,625",727,720
101 min,"115,468",728,721
96 min,"114,299",729,722
129 min,"68,929",730,723
131 min,"196,873",731,724
,"185,327",732,725
99 min,"142,901",733,726
112 min,"268,942",734,727
118 min,"204,128",735,728
80 min,"5,909",736,729
78 min,"1,186",737,730
75 min,"1,969",738,731
87 min,582,739,732
78 min,"1,041",740,733
84 min,848,741,734
81 min,913,742,735
82 min,226,743,736
81 min,453,744,737
,,745,29
135 min,"1,278",746,738
93 min,97,747,739
76 min,106,748,740
80 min,"1,708",749,741
86 min,507,750,742
91 min,678,751,743
70 min,254,752,744
82 min,143,753,745
111 min,"11,371",754,746
120 min,"15,401",755,747
107 min,"11,408",756,748
91 min,79,757,749
135 min,"50,370",758,750
105 min,"8,383",759,751
84 min,"2,693",760,752
89 min,395,761,753
126 min,"72,323",762,754
105 min,642,763,755
128 min,"85,998",764,756
87 min,926,765,757
,"149,536",766,758
93 min,,767,759
115 min,"59,073",768,760
78 min,"3,109",769,761
80 min,396,770,762
96 min,"3,930",771,763
104 min,"69,685",772,764
91 min,"30,188",773,765
103 min,"57,011",774,766
97 min,67,775,767
,99,776,768
112 min,,777,769
90 min,"4,342",778,770
108 min,"116,179",779,771
113 min,"79,278",780,772
79 min,"2,057",781,773
98 min,"31,689",782,774
94 min,272,783,775
118 min,"2,398",784,776
84 min,"99,666",785,777
89 min,"3,657",786,778
88 min,"23,855",787,779
78 min,166,788,780
112 min,"129,923",789,781
97 min,"112,083",790,782
118 min,"20,231",791,783
97 min,"17,749",792,784
111 min,600,793,785
82 min,171,794,786
91 min,"136,875",795,787
105 min,"98,316",796,788
89 min,"33,256",797,789
94 min,"37,426",798,790
94 min,"2,747",799,791
101 min,"72,840",800,792
94 min,"6,758",801,793
91 min,"2,242",802,794
91 min,28,803,795
76 min,27,804,796
97 min,21,805,797
92 min,27,806,798
88 min,"120,330",807,799
,,808,29
97 min,35,809,800
87 min,702,810,801
92 min,"27,510",811,802
96 min,"34,865",812,803
85 min,"91,249",813,804
92 min,"50,544",814,805
94 min,"46,733",815,806
91 min,"76,006",816,807
111 min,"205,985",817,808
84 min,"130,102",818,809
,"56,815",819,810
98 min,"135,719",820,811
91 min,"156,530",821,812
127 min,"473,927",822,813
93 min,"244,291",823,814
96 min,"152,140",824,815
96 min,"56,029",825,816
102 min,"79,747",826,817
96 min,"134,478",827,818
88 min,"130,051",828,819
95 min,"156,796",829,820
105 min,"73,004",830,821
162 min,"93,311",831,822
127 min,"28,516",832,823
81 min,"24,569",833,824
98 min,"53,094",834,825
87 min,"20,197",835,826
89 min,"171,537",836,827
72 min,153,837,828
86 min,"50,538",838,829
113 min,"50,178",839,830
101 min,"27,642",840,831
130 min,"64,127",841,832
63 min,33,842,833
100 min,"260,844",843,834
98 min,"255,747",844,835
102 min,"371,529",845,836
101 min,"242,487",846,837
89 min,"187,946",847,838
93 min,"13,653",848,839
81 min,"8,431",849,840
101 min,"243,098",850,841
97 min,"7,646",851,842
82 min,"25,400",852,843
110 min,"14,114",853,844
93 min,"8,744",854,845
80 min,"15,386",855,846
97 min,"21,230",856,847
,114,857,848
93 min,12,858,849
80 min,12,859,850
89 min,52,860,851
80 min,16,861,852
80 min,396,862,762
88 min,"3,001",863,853
85 min,288,864,854
87 min,827,865,855
91 min,276,866,856
100 min,"2,665",867,857
86 min,,868,858
,,869,29
95 min,13,870,859
86 min,"2,973",871,860
,,872,29
,,873,29
,,874,29
,,875,29
83 min,105,876,861
94 min,"125,794",877,862
85 min,186,878,863
111 min,"6,141",879,864
97 min,19,880,865
102 min,"215,340",881,866
87 min,"53,848",882,867
94 min,"105,146",883,868
101 min,"51,289",884,869
1 hr. 35 min.,"36,970",885,870
92 min,"42,790",886,871
87 min,"67,335",887,872
92 min,"67,226",888,873
91 min,"94,813",889,874
108 min,"18,972",890,875
85 min,"78,466",891,876
83 min,"117,034",892,877
83 min,"118,959",893,878
95 min,"195,442",894,879
86 min,"238,781",895,880
102 min,"192,074",896,881
116 min,"642,183",897,882
92 min,"515,940",898,883
100 min,"222,561",899,884
96 min,"583,673",900,885
98 min,"635,813",901,886
158 min,"33,850",902,887
85 min,"103,608",903,888
120 min,"41,566",904,889
94 min,"148,748",905,890
92 min,"271,767",906,891
93 min,"193,154",907,892
93 min,"285,559",908,893
91 min,"173,316",909,894
81 min,"296,667",910,895
93 min,"126,556",911,896
,"498,555",912,897
131 min,"347,852",913,898
162 min,"819,305",914,899
112 min,"497,756",915,900
143 min,"484,337",916,901
124 min,"464,119",917,902
105 min,"373,819",918,903
132 min,"364,013",919,904
145 min,"393,472",920,905
132 min,"466,081",921,906
111 min,"428,568",922,907
115 min,"433,148",923,908
106 min,"91,433",924,909
,"32,519",925,910
117 min,"233,264",926,911
134 min,"570,865",927,912
93 min,"13,091",928,913
107 min,"132,665",929,914
97 min,"225,590",930,915
157 min,"126,481",931,916
126 min,"112,750",932,917
115 min,"107,401",933,918
189 min,"107,477",934,919
129 min,"39,606",935,920
122 min,"34,845",936,921
118 min,"43,520",937,922
111 min,"16,110",938,923
144 min,"153,870",939,924
144 min,"241,015",940,925
118 min,"45,296",941,926
101 min,"70,235",942,927
174 min,"135,411",943,928
88 min,"29,182",944,929
100 min,"117,757",945,930
78 min,"109,046",946,931
139 min,"97,144",947,932
127 min,"78,006",948,933
85 min,"21,531",949,934
107 min,"5,165",950,935
108 min,"211,255",951,936
88 min,"22,508",952,937
105 min,"35,222",953,938
143 min,"263,810",954,939
103 min,"275,476",955,940
105 min,"117,676",956,941
92 min,"38,279",957,942
115 min,"290,718",958,943
120 min,"175,198",959,944
152 min,"402,103",960,945
104 min,"186,077",961,946
103 min,"62,438",962,947
105 min,"24,860",963,948
84 min,"39,917",964,949
84 min,"85,343",965,950
,"51,196",966,951
88 min,"28,087",967,952
78 min,"24,590",968,953
95 min,"22,375",969,954
77 min,"32,658",970,955
80 min,"53,350",971,956
95 min,"58,479",972,957
81 min,"151,905",973,958
82 min,"25,900",974,959
89 min,"177,067",975,960
86 min,"199,595",976,961
95 min,"170,142",977,962
94 min,"106,192",978,963
98 min,"128,484",979,964
90 min,"148,164",980,965
87 min,"242,686",981,966
108 min,"244,527",982,967
84 min,"277,407",983,968
94 min,"153,139",984,969
75 min,"1,199",985,970
72 min,"3,234",986,971
,,987,29
89 min,"31,393",988,972
88 min,"13,879",989,973
85 min,"50,210",990,974
89 min,"15,288",991,975
79 min,"29,441",992,976
84 min,"17,355",993,977
108 min,"146,648",994,978
142 min,"170,219",995,979
96 min,"64,281",996,980
94 min,"78,436",997,981
,"45,154",998,982
115 min,"84,420",999,983
127 min,"200,327",1000,984
96 min,"43,312",1001,985
77 min,"75,429",1002,986
94 min,"39,475",1003,987
94 min,"61,709",1004,988
94 min,"61,714",1005,989
98 min,"69,859",1006,990
93 min,"77,245",1007,991
91 min,"38,928",1008,992
94 min,"27,562",1009,993
98 min,"40,033",1010,994
110 min,"40,629",1011,995
95 min,"60,475",1012,996
150 min,"137,156",1013,997
81 min,"550,459",1014,998
107 min,"540,284",1015,999
124 min,"716,832",1016,1000
81 min,"106,021",1017,1001
95 min,"61,037",1018,1002
107 min,"270,767",1019,1003
96 min,764,1020,1004
82 min,"33,429",1021,1005
104 min,"40,074",1022,1006
78 min,275,1023,1007
80 min,"9,897",1024,1008
90 min,"104,696",1025,1009
104 min,"254,748",1026,1010
101 min,"274,037",1027,1011
107 min,"270,945",1028,1012
115 min,"197,947",1029,1013
116 min,"175,029",1030,1014
84 min,"7,289",1031,1015
80 min,"35,102",1032,1016
75 min,"15,610",1033,1017
74 min,"2,814",1034,1018
93 min,"38,648",1035,1019
77 min,"5,601",1036,1020
76 min,"3,971",1037,1021
86 min,"10,366",1038,1022
84 min,"23,995",1039,1023
77 min,"24,414",1040,1024
69 min,"56,561",1041,1025
92 min,"17,852",1042,1026
104 min,"28,022",1043,1027
84 min,"15,293",1044,1028
85 min,"1,641",1045,1029
93 min,"6,251",1046,1030
85 min,"3,925",1047,1031
82 min,"9,493",1048,1032
75 min,,1049,1033
93 min,80,1050,1034
90 min,14,1051,1035
84 min,26,1052,1036
71 min,13,1053,1037
91 min,27,1054,1038
97 min,81,1055,1039
99 min,21,1056,1040
98 min,340,1057,1041
104 min,126,1058,1042
106 min,"70,458",1059,1043
95 min,29,1060,1044
75 min,132,1061,1045
60 min,120,1062,1046
72 min,205,1063,1047
96 min,"1,539",1064,1048
56 min,256,1065,1049
1 hr. 15 min.,"1,872",1066,1050
60 min,"1,211",1067,1051
90 min,828,1068,1052
94 min,"1,733",1069,1053
74 min,20,1070,1054
72 min,548,1071,1055
70 min,18,1072,1056
90 min,29,1073,1057
62 min,19,1074,1058
71 min,156,1075,1059
108 min,"4,608",1076,1060
,,1077,29
65 min,"6,773",1078,1061
78 min,235,1079,1062
84 min,,1080,1063
117 min,"15,905",1081,1064
76 min,"1,952",1082,1065
75 min,"1,833",1083,1066
81 min,"2,817",1084,1067
92 min,"23,814",1085,1068
,,1086,29
,,1087,29
89 min,,1088,1069
82 min,"22,200",1089,1070
103 min,"483,099",1090,1071
98 min,"428,101",1091,1072
59 min,338,1092,1073
115 min,639,1093,1074
99 min,"4,086",1094,1075
113 min,"16,830",1095,1076
99 min,"18,726",1096,1077
88 min,923,1097,1078
124 min,"43,114",1098,1079
,,1099,29
,,1100,29
92 min,"4,759",1101,1080
123 min,"9,243",1102,1081
137 min,"673,601",1103,1082
118 min,"787,731",1104,1083
108 min,"602,062",1105,1084
116 min,"435,438",1106,1085
153 min,"776,279",1107,1086
154 min,"1,193,651",1108,1087
119 min,"709,827",1109,1088
99 min,"592,830",1110,1089
122 min,"749,700",1111,1090
146 min,"545,566",1112,1091
113 min,"454,989",1113,1092
172 min,"150,735",1114,1093
91 min,"97,380",1115,1094
115 min,"598,080",1116,1095
