ProviderNumber,original_index,unique_index,count
10007,112,8,25
10007,113,8,25
10007,114,8,25
10007,115,8,25
10007,116,8,25
10007,117,8,25
10007,118,8,25
10008,119,9,25
10008,120,9,25
10008,121,9,25
10008,122,9,25
10008,123,9,25
10008,124,9,25
10008,125,9,25
10008,126,9,25
10008,127,9,25
10008,128,9,25
10008,129,9,25
10008,130,9,25
10008,131,9,25
10008,132,9,25
10008,133,9,25
10008,134,9,25
10008,135,9,25
10008,136,9,25
10008,137,9,25
10008,138,9,25
10008,139,9,25
10008,140,9,25
10008,141,9,25
10008,142,9,25
10008,143,9,25
10009,144,10,25
10009,145,10,25
10009,146,10,25
10009,147,10,25
10009,148,10,25
10009,149,10,25
10009,150,10,25
10009,151,10,25
10009,152,10,25
10009,153,10,25
10009,154,10,25
10009,155,10,25
10009,156,10,25
10009,157,10,25
10009,158,10,25
10009,159,10,25
10009,160,10,25
10009,161,10,25
10009,162,10,25
10009,163,10,25
10009,164,10,25
10009,165,10,25
10009,166,10,25
10009,167,10,25
10009,168,10,25
10010,169,11,25
10010,170,11,25
10010,171,11,25
10010,172,11,25
10010,173,11,25
10010,174,11,25
10010,175,11,25
10010,176,11,25
10010,177,11,25
10010,178,11,25
10010,179,11,25
10010,180,11,25
10010,181,11,25
10010,182,11,25
10010,183,11,25
10010,184,11,25
10010,185,11,25
10010,186,11,25
10010,187,11,25
10010,188,11,25
10010,189,11,25
10010,190,11,25
10010,191,11,25
10010,192,11,25
10010,193,11,25
10011,194,12,24
10011,195,12,24
10011,196,12,24
10011,197,12,24
10011,198,12,24
10011,199,12,24
10011,200,12,24
10011,201,12,24
10011,202,12,24
10011,203,12,24
10011,204,12,24
10011,205,12,24
10011,206,12,24
10011,207,12,24
10011,208,12,24
10011,209,12,24
10011,210,12,24
10011,211,12,24
10011,212,12,24
x00xx,213,13,1
10011,214,12,24
10011,215,12,24
10011,216,12,24
10011,217,12,24
10011,218,12,24
10012,219,14,25
10012,220,14,25
10012,221,14,25
10012,222,14,25
10012,223,14,25
10012,224,14,25
10012,225,14,25
10012,226,14,25
10012,227,14,25
10012,228,14,25
10012,229,14,25
10012,230,14,25
10012,231,14,25
10012,232,14,25
10012,233,14,25
10012,234,14,25
10012,235,14,25
10012,236,14,25
10012,237,14,25
10012,238,14,25
10012,239,14,25
10012,240,14,25
10012,241,14,25
10012,242,14,25
10012,243,14,25
x00x5,244,15,1
10015,245,16,23
10015,246,16,23
10015,247,16,23
10015,248,16,23
10015,249,16,23
10015,250,16,23
10015,251,16,23
10015,252,16,23
1xx15,253,17,1
10015,254,16,23
10015,255,16,23
10015,256,16,23
10015,257,16,23
10015,258,16,23
10015,259,16,23
10015,260,16,23
10015,261,16,23
10015,262,16,23
10015,263,16,23
10015,264,16,23
10015,265,16,23
10015,266,16,23
10015,267,16,23
10015,268,16,23
10016,269,18,24
10016,270,18,24
10016,271,18,24
10016,272,18,24
1xx16,273,19,1
10016,274,18,24
10016,275,18,24
10016,276,18,24
10016,277,18,24
10016,278,18,24
10016,279,18,24
10016,280,18,24
10016,281,18,24
10016,282,18,24
10016,283,18,24
10016,284,18,24
10016,285,18,24
10016,286,18,24
10016,287,18,24
10016,288,18,24
10016,289,18,24
10016,290,18,24
10016,291,18,24
10016,292,18,24
10016,293,18,24
10018,294,0,25
10018,295,0,25
10018,296,0,25
10018,297,0,25
10018,298,0,25
10018,299,0,25
10018,300,0,25
10018,301,0,25
10018,302,0,25
10018,303,0,25
10018,304,0,25
10018,305,0,25
10018,306,0,25
10018,307,0,25
10018,308,0,25
10018,309,0,25
10018,310,0,25
10038,311,20,27
10038,312,20,27
10038,313,20,27
100x8,314,21,1
10038,315,20,27
10038,316,20,27
10038,317,20,27
10038,318,20,27
10038,319,20,27
10038,320,20,27
10038,321,20,27
10038,322,20,27
10038,323,20,27
10038,324,20,27
10038,325,20,27
10038,326,20,27
10038,327,20,27
10038,328,20,27
10038,329,20,27
10038,330,20,27
10055,331,22,17
10055,332,22,17
10055,333,22,17
10055,334,22,17
10055,335,22,17
10055,336,22,17
10055,337,22,17
10055,338,22,17
10055,339,22,17
10055,340,22,17
10055,341,22,17
10055,342,22,17
10055,343,22,17
10055,344,22,17
10055,345,22,17
10055,346,22,17
10055,347,22,17
10056,348,23,5
10056,349,23,5
10056,350,23,5
10056,351,23,5
10056,352,23,5
10085,353,24,1
10086,354,25,24
10086,355,25,24
10086,356,25,24
10086,357,25,24
10086,358,25,24
10086,359,25,24
100x6,360,26,1
10086,361,25,24
10086,362,25,24
10086,363,25,24
10086,364,25,24
10086,365,25,24
10086,366,25,24
10086,367,25,24
10086,368,25,24
10086,369,25,24
10086,370,25,24
10086,371,25,24
10086,372,25,24
10086,373,25,24
10086,374,25,24
10086,375,25,24
10086,376,25,24
10086,377,25,24
10086,378,25,24
10087,379,27,13
10087,380,27,13
10087,381,27,13
10087,382,27,13
10087,383,27,13
10087,384,27,13
10087,385,27,13
10087,386,27,13
10087,387,27,13
10087,388,27,13
10087,389,27,13
10087,390,27,13
10087,391,27,13
10108,392,28,19
10108,393,28,19
10108,394,28,19
10108,395,28,19
10108,396,28,19
10108,397,28,19
10108,398,28,19
10108,399,28,19
10108,400,28,19
10108,401,28,19
10108,402,28,19
10108,403,28,19
10108,404,28,19
10108,405,28,19
10108,406,28,19
10108,407,28,19
x0x08,408,29,1
10108,409,28,19
10108,410,28,19
10108,411,28,19
10158,412,30,2
10158,413,30,2
10164,414,31,18
10164,415,31,18
10164,416,31,18
10164,417,31,18
10164,418,31,18
10164,419,31,18
10164,420,31,18
10164,421,31,18
10164,422,31,18
10164,423,31,18
10164,424,31,18
10164,425,31,18
10164,426,31,18
10164,427,31,18
10164,428,31,18
10164,429,31,18
10164,430,31,18
10164,431,31,18
20017,432,32,18
20017,433,32,18
20017,434,32,18
20017,435,32,18
20017,436,32,18
20017,437,32,18
20017,438,32,18
20017,439,32,18
20017,440,32,18
20017,441,32,18
20017,442,32,18
20017,443,32,18
20017,444,32,18
20017,445,32,18
20017,446,32,18
20017,447,32,18
20017,448,32,18
20017,449,32,18
20018,450,33,2
20018,451,33,2
10019,452,1,24
10019,453,1,24
10019,454,1,24
10019,455,1,24
10019,456,1,24
10019,457,1,24
10019,458,1,24
10019,459,1,24
10019,460,1,24
10019,461,1,24
10019,462,1,24
10019,463,1,24
10019,464,1,24
10019,465,1,24
10021,466,34,25
10021,467,34,25
10021,468,34,25
10021,469,34,25
10021,470,34,25
10021,471,34,25
10021,472,34,25
10021,473,34,25
10021,474,34,25
10021,475,34,25
10021,476,34,25
10021,477,34,25
10021,478,34,25
10021,479,34,25
10021,480,34,25
10021,481,34,25
10021,482,34,25
10021,483,34,25
10021,484,34,25
10021,485,34,25
10021,486,34,25
10021,487,34,25
10021,488,34,25
10021,489,34,25
10021,490,34,25
10022,491,35,25
10022,492,35,25
10022,493,35,25
10022,494,35,25
10022,495,35,25
10022,496,35,25
10022,497,35,25
10022,498,35,25
10022,499,35,25
10022,500,35,25
10022,501,35,25
10022,502,35,25
10022,503,35,25
10022,504,35,25
10022,505,35,25
10022,506,35,25
10022,507,35,25
10022,508,35,25
10022,509,35,25
10022,510,35,25
10022,511,35,25
10022,512,35,25
10022,513,35,25
10022,514,35,25
10022,515,35,25
10023,516,36,25
10023,517,36,25
10023,518,36,25
10023,519,36,25
10023,520,36,25
10023,521,36,25
10023,522,36,25
10023,523,36,25
10023,524,36,25
10023,525,36,25
10023,526,36,25
10023,527,36,25
10023,528,36,25
10023,529,36,25
10023,530,36,25
10023,531,36,25
10023,532,36,25
10023,533,36,25
10023,534,36,25
10023,535,36,25
10023,536,36,25
10023,537,36,25
10023,538,36,25
10023,539,36,25
10023,540,36,25
10024,541,37,24
10024,542,37,24
10024,543,37,24
10024,544,37,24
10024,545,37,24
10024,546,37,24
10024,547,37,24
10024,548,37,24
10024,549,37,24
10024,550,37,24
10024,551,37,24
10024,552,37,24
10024,553,37,24
10024,554,37,24
10024,555,37,24
10024,556,37,24
10024,557,37,24
10024,558,37,24
1xx24,559,38,1
10024,560,37,24
10024,561,37,24
10024,562,37,24
10024,563,37,24
10024,564,37,24
10024,565,37,24
10025,566,39,25
10025,567,39,25
10025,568,39,25
10025,569,39,25
10025,570,39,25
10025,571,39,25
10025,572,39,25
10025,573,39,25
10025,574,39,25
10025,575,39,25
10025,576,39,25
10025,577,39,25
10025,578,39,25
10025,579,39,25
10025,580,39,25
10025,581,39,25
10025,582,39,25
10025,583,39,25
10025,584,39,25
10025,585,39,25
10025,586,39,25
10025,587,39,25
10025,588,39,25
10025,589,39,25
10025,590,39,25
10027,591,40,24
10027,592,40,24
10027,593,40,24
10027,594,40,24
10027,595,40,24
10027,596,40,24
10027,597,40,24
10027,598,40,24
10027,599,40,24
10027,600,40,24
10027,601,40,24
10027,602,40,24
10027,603,40,24
10027,604,40,24
10027,605,40,24
10027,606,40,24
10027,607,40,24
x0027,608,41,1
10027,609,40,24
10027,610,40,24
10027,611,40,24
10027,612,40,24
10027,613,40,24
10027,614,40,24
10027,615,40,24
10029,616,42,23
10029,617,42,23
10029,618,42,23
10029,619,42,23
10029,620,42,23
10029,621,42,23
10029,622,42,23
10029,623,42,23
10029,624,42,23
10029,625,42,23
10029,626,42,23
x0029,627,43,1
10029,628,42,23
10029,629,42,23
10029,630,42,23
10029,631,42,23
10029,632,42,23
10029,633,42,23
10029,634,42,23
10029,635,42,23
10029,636,42,23
10029,637,42,23
10029,638,42,23
1xx29,639,44,1
10029,640,42,23
10032,641,45,23
10032,642,45,23
10032,643,45,23
10032,644,45,23
1xx32,645,46,2
10032,646,45,23
10032,647,45,23
10032,648,45,23
10032,649,45,23
10032,650,45,23
10032,651,45,23
10032,652,45,23
10032,653,45,23
10032,654,45,23
1xx32,655,46,2
10032,656,45,23
10032,657,45,23
10032,658,45,23
10032,659,45,23
10032,660,45,23
10032,661,45,23
10032,662,45,23
10032,663,45,23
10032,664,45,23
10032,665,45,23
10033,666,47,25
10033,667,47,25
10033,668,47,25
10033,669,47,25
10033,670,47,25
10033,671,47,25
10033,672,47,25
10033,673,47,25
10033,674,47,25
10033,675,47,25
10033,676,47,25
10033,677,47,25
10033,678,47,25
10033,679,47,25
10033,680,47,25
10033,681,47,25
10033,682,47,25
10033,683,47,25
10033,684,47,25
10033,685,47,25
10033,686,47,25
10033,687,47,25
10033,688,47,25
10033,689,47,25
10033,690,47,25
10034,691,48,24
10034,692,48,24
10034,693,48,24
10034,694,48,24
10034,695,48,24
10034,696,48,24
10034,697,48,24
10034,698,48,24
10034,699,48,24
10034,700,48,24
10034,701,48,24
10034,702,48,24
10034,703,48,24
100x4,704,49,1
10034,705,48,24
10034,706,48,24
10034,707,48,24
10034,708,48,24
10034,709,48,24
10034,710,48,24
10034,711,48,24
10034,712,48,24
10034,713,48,24
10034,714,48,24
10034,715,48,24
10035,716,50,23
10035,717,50,23
10035,718,50,23
10035,719,50,23
10035,720,50,23
100x5,721,51,1
10035,722,50,23
10035,723,50,23
1xx35,724,52,1
10035,725,50,23
10035,726,50,23
10035,727,50,23
10035,728,50,23
10035,729,50,23
10035,730,50,23
10035,731,50,23
10035,732,50,23
10035,733,50,23
10035,734,50,23
10035,735,50,23
10035,736,50,23
10035,737,50,23
10035,738,50,23
10035,739,50,23
10035,740,50,23
10036,741,53,24
10036,742,53,24
10036,743,53,24
10036,744,53,24
10036,745,53,24
10036,746,53,24
10036,747,53,24
10036,748,53,24
10036,749,53,24
10036,750,53,24
10036,751,53,24
10036,752,53,24
10036,753,53,24
10036,754,53,24
1xx36,755,54,1
10036,756,53,24
10036,757,53,24
10036,758,53,24
10036,759,53,24
10036,760,53,24
10036,761,53,24
10036,762,53,24
10036,763,53,24
10036,764,53,24
10036,765,53,24
10038,766,20,27
10038,767,20,27
10038,768,20,27
10038,769,20,27
10038,770,20,27
10038,771,20,27
10038,772,20,27
10038,773,20,27
10039,774,55,25
10039,775,55,25
10039,776,55,25
10039,777,55,25
10039,778,55,25
10039,779,55,25
1003x,780,56,1
10039,781,55,25
10039,782,55,25
10039,783,55,25
10039,784,55,25
10039,785,55,25
10039,786,55,25
10039,787,55,25
10039,788,55,25
1xx39,789,57,1
10039,790,55,25
10039,791,55,25
10039,792,55,25
100x9,793,58,1
10039,794,55,25
10039,795,55,25
10039,796,55,25
10039,797,55,25
10039,798,55,25
10039,799,55,25
10039,800,55,25
10039,801,55,25
10040,802,59,25
10040,803,59,25
10040,804,59,25
10040,805,59,25
10040,806,59,25
10040,807,59,25
10040,808,59,25
10040,809,59,25
10040,810,59,25
10040,811,59,25
10040,812,59,25
10040,813,59,25
10040,814,59,25
10040,815,59,25
10040,816,59,25
10040,817,59,25
10040,818,59,25
10040,819,59,25
10040,820,59,25
10040,821,59,25
10040,822,59,25
10040,823,59,25
10040,824,59,25
10040,825,59,25
10040,826,59,25
10043,827,60,25
10043,828,60,25
10043,829,60,25
10043,830,60,25
10043,831,60,25
10043,832,60,25
10043,833,60,25
10043,834,60,25
10043,835,60,25
10043,836,60,25
10043,837,60,25
10043,838,60,25
10043,839,60,25
10043,840,60,25
10043,841,60,25
10043,842,60,25
10043,843,60,25
10043,844,60,25
10043,845,60,25
10043,846,60,25
10043,847,60,25
10043,848,60,25
10043,849,60,25
10043,850,60,25
10043,851,60,25
10044,852,61,24
10044,853,61,24
10044,854,61,24
10044,855,61,24
10044,856,61,24
10044,857,61,24
10044,858,61,24
1xx44,859,62,1
10044,860,61,24
10044,861,61,24
10044,862,61,24
10044,863,61,24
10044,864,61,24
10044,865,61,24
10044,866,61,24
10044,867,61,24
10044,868,61,24
10044,869,61,24
10044,870,61,24
10044,871,61,24
10044,872,61,24
10044,873,61,24
10044,874,61,24
10044,875,61,24
10044,876,61,24
10045,877,63,23
1xx45,878,64,1
10045,879,63,23
10045,880,63,23
10045,881,63,23
10045,882,63,23
10045,883,63,23
10045,884,63,23
10045,885,63,23
10045,886,63,23
10045,887,63,23
x0045,888,65,1
10045,889,63,23
10045,890,63,23
10045,891,63,23
10045,892,63,23
10045,893,63,23
10045,894,63,23
10045,895,63,23
10045,896,63,23
10045,897,63,23
10045,898,63,23
10045,899,63,23
10045,900,63,23
10045,901,63,23
10046,902,66,28
10046,903,66,28
10046,904,66,28
10046,905,66,28
10046,906,66,28
10046,907,66,28
10046,908,66,28
10046,909,66,28
10046,910,66,28
10046,911,66,28
10046,912,66,28
10046,913,66,28
10046,914,66,28
10046,915,66,28
10046,916,66,28
10046,917,66,28
10046,918,66,28
10046,919,66,28
10046,920,66,28
10046,921,66,28
10046,922,66,28
10046,923,66,28
10046,924,66,28
10046,925,66,28
10046,926,66,28
10046,927,66,28
10046,928,66,28
10046,929,66,28
10047,930,67,24
10047,931,67,24
10047,932,67,24
1xx47,933,68,1
10047,934,67,24
10047,935,67,24
10047,936,67,24
10047,937,67,24
10047,938,67,24
10047,939,67,24
10047,940,67,24
10047,941,67,24
10047,942,67,24
10047,943,67,24
10047,944,67,24
10047,945,67,24
10047,946,67,24
10047,947,67,24
10047,948,67,24
10047,949,67,24
10047,950,67,24
10047,951,67,24
10047,952,67,24
10047,953,67,24
10047,954,67,24
1004x,955,69,1
10049,956,70,24
10049,957,70,24
10049,958,70,24
10049,959,70,24
10049,960,70,24
10049,961,70,24
10049,962,70,24
10049,963,70,24
10049,964,70,24
10049,965,70,24
10049,966,70,24
10049,967,70,24
10049,968,70,24
10049,969,70,24
10049,970,70,24
10049,971,70,24
10049,972,70,24
10049,973,70,24
10049,974,70,24
10049,975,70,24
10049,976,70,24
10049,977,70,24
10049,978,70,24
10049,979,70,24
10050,980,71,20
10050,981,71,20
10050,982,71,20
10050,983,71,20
10050,984,71,20
10050,985,71,20
10050,986,71,20
10050,987,71,20
10050,988,71,20
10050,989,71,20
10050,990,71,20
10050,991,71,20
10050,992,71,20
10050,993,71,20
10050,994,71,20
10050,995,71,20
10050,996,71,20
10050,997,71,20
10050,998,71,20
10050,999,71,20
