article_language,journal_title,original_index,unique_index,count
,,126,44,
,Medicinski Glasnik,127,109,
eng,Scientific Session and Scientiftc Poster Abstracts,128,110,1.0
,Curr. Vasc. Pharmacol.,129,111,
,Journal of the American Geriatrics Society,130,112,
eng,Am. J. Trop. Med. Hyg.,131,113,1.0
,,132,44,
," BMJ 2006, 333:939",133,114,
,Annals of Internal Medicine,134,115,
eng,The Journals of Gerontology: Series A: Biological Sciences and Medical Sciences,135,116,1.0
eng,Skeletal Radiology,136,117,1.0
,Pharmacoeconomics,137,118,
,,138,44,
eng,,139,5,
eng,,140,5,
eng,,141,5,
,Health Technology Assessment Database,142,119,
eng,J Hand Surg Br,143,120,1.0
eng,Journal of cardiovascular electrophysiology,144,121,1.0
"Chinese     Chinese, English",Chinese Journal of New Drugs,145,122,1.0
,,146,44,
eng,Eur J Gen Pract,147,123,1.0
eng,Gut,148,124,2.0
eng,General dentistry,149,125,1.0
,Food Control,150,126,
eng,Neuropsychologia,151,127,1.0
dut,"Euthanasie en andere medische beslissingen rond het levenseinde, 1990-1995",152,128,1.0
eng,,153,5,
English,American Journal of Acupuncture,154,129,1.0
eng,Swiss Med. Wkly,155,130,1.0
,Circulation Journal,156,131,
eng,CNS spectrums,157,132,1.0
cze,Paliativn�_ Schanzova osteotomie p��i nereponibiln�_ luxaci ky��eln�_ho kloubu u pacient�� s d��tskou mozkovou obrnou v adolescentn�_m v��u,158,133,1.0
English,Hippokratia,159,134,1.0
,Psycho-Oncology,160,135,
eng,Journal of Clinical and Diagnostic Research,161,136,1.0
,,162,44,
,,163,44,
eng,Strabismus,164,137,1.0
,,165,44,
,Focus on Alternative and Complementary Therapies,166,138,
eng,Animal,167,139,1.0
,Cochrane Database of Systematic Reviews,168,140,
,,169,44,
eng,Diabet Med,170,141,1.0
eng,,171,5,
eng,Journal of receptor and signal transduction research,172,142,1.0
English,Functional Neurology,173,143,2.0
English; ABSTRACT LANGUAGE:English,Spine,174,144,1.0
eng,Annals of the New York Academy of Sciences,175,145,1.0
eng,Ann N Y Acad Sci,176,146,1.0
,"Obesity (Silver Spring, Md.)",177,147,
eng,Water science and technology : a journal of the International Association on Water Pollution Research,178,148,1.0
eng,Orthopedics,179,149,1.0
English,Haematologica,180,150,1.0
ENG,Scandinavian journal of psychology,181,151,1.0
,,182,44,
Korean,,183,152,
,AIDS Care,184,153,
English,Mount Sinai Journal of Medicine,185,154,1.0
,Radiotherapy and Oncology,186,155,
,Alternative Therapies in Health and Medicine,187,156,
,Journal of International Education Research,188,157,
English,Radiologic Clinics of North America,189,158,1.0
,Health Education & Behavior,190,159,
eng,Pediatric annals,191,160,1.0
,Learning & Leading with Technology,192,161,
eng,Journal of the National Cancer Institute,193,162,3.0
,Journal of Science & Medicine in Sport,194,163,
eng,,195,5,
ENG,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,196,164,1.0
eng,BMC Medical Research Methodology,197,165,1.0
eng,Annals Of Surgery,198,166,1.0
eng,Journal of biomaterials applications,199,167,1.0
eng,The journal of headache and pain,200,168,1.0
,ProQuest LLC,201,169,
eng,Journal of sports sciences,202,170,1.0
English,European Journal of Endocrinology,203,171,1.0
eng,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",204,172,2.0
English,Cytokine,205,173,1.0
,,206,44,
,,207,44,
eng,Arch Surg,208,174,1.0
ENG,Muscle & nerve,209,175,1.0
eng,Social science & medicine (1982),210,176,1.0
eng,International archives of occupational and environmental health,211,177,1.0
dan,Ugeskr Laeger,212,178,1.0
,,213,44,
eng,Critical reviews in oncology/hematology,214,179,1.0
eng,,215,5,
,"Public health reports (Washington, D.C. : 1974)",216,180,
,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,217,181,
,,218,44,
,Journal of Consulting and Clinical Psychology,219,182,
eng,Computerized Medical Imaging and Graphics: The Official Journal of the Computerized Medical Imaging Society,220,183,1.0
,,221,44,
,American Journal of Clinical Nutrition,222,184,
eng,Int J Obes (Lond),223,185,1.0
,,224,44,
,,225,44,
eng,Endocrinology,226,186,2.0
eng,American Journal of Clinical Oncology-Cancer Clinical Trials,227,187,1.0
,International Journal of Behavioral Consultation and Therapy,228,188,
,,229,44,
,McNeill Mathematics Program,230,189,
eng,The Journal of hospital infection,231,190,1.0
eng,Best practice & research. Clinical gastroenterology,232,191,1.0
eng,Am J Obstet Gynecol,233,192,1.0
eng,Medical teacher,234,193,1.0
eng,Acta cytologica,235,194,1.0
eng,Atherosclerosis. Supplements,236,195,1.0
ger,Schlafsțrungen bei kritisch kranken patienten,237,196,1.0
eng,BMJ Open,238,197,2.0
eng,Mycoses,239,198,1.0
eng,BMC Musculoskelet Disord,240,199,1.0
eng,Clinical Oncology (Royal College of Radiologists),241,200,1.0
eng,BMJ Open,242,197,2.0
,Physiotherapy,243,201,
eng,Public health genomics,244,202,1.0
,,245,44,
eng,Journal of the International Neuropsychological Society : JINS,246,203,1.0
ENGPOR,Revista Brasileira de terapia intensiva,247,204,1.0
eng,Gene,248,205,1.0
,Am. J. Managed Care,249,206,
,Journal of Clinical Gastroenterology,250,207,
,Journal of Health Care for the Poor & Underserved,251,208,
English,Biomedical engineering online,252,209,1.0
,Disease Management and Clinical Outcomes,253,210,
eng,Nature: New biology,254,211,1.0
eng,Cardiology in the young,255,212,3.0
eng,Journal of Huazhong University of Science and Technology. Medical Sciences,256,213,1.0
,Journal of Epidemiology and Community Health,257,214,
eng,Critical care medicine,258,215,1.0
English,"Molecular Biology of the Cell. Conference: Annual Meeting of the American Society for Cell Biology, ASCB",259,216,1.0
,Experimental Aging Research,260,217,
English,Johns Hopkins Medical Journal,261,218,1.0
ger,Urologe A,262,219,1.0
eng,Prev Med,263,220,1.0
English,Chest,264,221,2.0
eng,Psychiatric Services.,265,222,1.0
eng,Archives of General Psychiatry,266,223,1.0
,Journal of Sexual Medicine,267,224,
English,Interactive Cardiovascular & Thoracic Surgery,268,225,1.0
,"The Chartered Society of Physiotherapy Annual Congress and Exhibition: Defining Practice, Friday, October 17 to Sunday, October 19 2003, International Convention Centre, Birmingham.",269,226,
,Curr. Probl. Cardiol.,270,227,
,Vox Sanguinis,271,228,
,The British Journal of Psychiatry,272,229,
,American Journal of Community Psychology,273,230,
,Ultrasound Obstet. Gynecol.,274,231,
,,275,44,
,,276,44,
eng,Annual Abstract Supplement,277,232,1.0
eng,Journal of psychiatric research,278,233,1.0
,Proceedings of the 23rd ACM international conference on Multimedia,279,234,
eng,Neurology,280,235,1.0
,International Journal of Oral and Maxillofacial Surgery,281,236,
eng,Journal of the American Veterinary Medical Association,282,237,1.0
,,283,44,
,,284,44,
,,285,44,
eng,Journal of medical imaging and radiation oncology,286,238,1.0
,European Respiratory Journal,287,239,
eng,PLoS One,288,27,6.0
English,Kardiologia Polska,289,240,1.0
eng,European journal of applied physiology and occupational physiology,290,241,1.0
eng,Nutrients,291,242,1.0
eng,Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,292,243,1.0
,Chin. Med,293,244,
,Current Immunology Reviews,294,245,
eng,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,295,246,3.0
English,CNS Drugs,296,247,1.0
eng,Scandinavian journal of infectious diseases. Supplementum,297,248,1.0
English,,298,20,
eng,Applied nursing research : ANR,299,249,1.0
,Aktuelle Traumatologie,300,250,
English,JOURNAL OF CHEMICAL PHYSICS,301,251,1.0
eng,J Orthop Sci,302,252,2.0
,,303,44,
,Rev Med Chir Soc Med Nat Iasi,304,253,
eng,J Okla State Med Assoc,305,254,1.0
,,306,44,
English,Social Science and Medicine,307,255,1.0
eng,Gut,308,124,2.0
English,Chest,309,221,2.0
,,310,44,
English,,311,20,
ENG,European journal of applied physiology,312,256,1.0
,,313,44,
eng,,314,5,
eng,Radiology,315,257,1.0
English,Journal of Neurocytology,316,258,1.0
,Canadian Journal of Anaesthesia,317,259,
eng,The British journal of social psychology / the British Psychological Society,318,260,1.0
eng,Cardiology in the young,319,212,3.0
,Urban Studies (Routledge),320,261,
eng,Dento maxillo facial radiology,321,262,1.0
eng,Actas espa̱olas de psiquiatr�_a,322,263,1.0
ENG,International journal of colorectal disease,323,264,1.0
,,324,44,
,,325,44,
eng,The neurologist,326,265,1.0
,,327,44,
,Expert opinion on emerging drugs,328,266,
,,329,44,
,American Indian and Alaska Native Mental Health Research: The Journal of the National Center,330,267,
eng,Drugs & aging,331,268,1.0
,,332,44,
chi,,333,269,
eng,Endodontics & dental traumatology,334,270,1.0
eng,Cardiol Young,335,271,1.0
eng,AACN Clinical Issues: Advanced Practice in Acute & Critical Care,336,272,1.0
,Leukemia and Lymphoma,337,273,
eng,The hematology journal : the official journal of the European Haematology Association / EHA,338,274,1.0
,,339,44,
ENG,International journal of geriatric psychiatry,340,275,1.0
eng,Acta Neurochir Suppl (Wien),341,276,1.0
,,342,44,
eng,Acta Clin. Croat.,343,277,1.0
,,344,44,
,Aging & Mental Health,345,278,
eng,Supplement: Active Living Research - Niche to Norm,346,279,1.0
eng,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,347,280,1.0
eng,Allergy and asthma proceedings : the official journal of regional and state allergy societies,348,281,1.0
eng,,349,5,
English,International Journal of Social Psychiatry,350,282,1.0
,East African Medical Journal,351,283,
English,,352,20,
eng,Bmc Cancer,353,284,1.0
eng,Journal Of Anesthesia,354,285,1.0
,Eating Behaviors,355,286,
ENG,Parkinsonism & related disorders,356,287,1.0
eng,Turk. J. Pediatr.,357,288,1.0
eng,,358,5,
,Psychother. Psychosom.,359,289,
ENG,Diseases of the esophagus : official journal of the International Society for Diseases of the Esophagus / I.S.D.E,360,290,1.0
fre,Ann Fr Anesth Reanim,361,291,1.0
eng,Journal of Sports Medicine & Physical Fitness,362,292,1.0
eng,Experimental cell research,363,293,1.0
,Journal of Substance Abuse Treatment,364,294,
eng,BioMed research international,365,295,2.0
,Multicultural Education & Technology Journal,366,296,
jpn,JPN. J. ANESTHESIOL.,367,297,1.0
eng,Injury,368,298,1.0
English,International Journal of Qualitative Studies in Education (QSE),369,299,1.0
eng,BR J ANAESTH,370,300,1.0
eng,Annals of internal medicine,371,301,1.0
,Energy Policy,372,302,
English,PLoS ONE [Electronic Resource],373,303,1.0
,Journal of Biomolecular Techniques,374,304,
eng,Hepato-gastroenterology,375,305,1.0
English,Current Opinion in Ophthalmology,376,306,1.0
eng,PLoS One,377,27,6.0
,J Toxicol Environ Health,378,307,
,,379,44,
eng,Anesthesia And Analgesia,380,308,2.0
eng,Bulletin of mathematical biology,381,309,1.0
jpn,Kekkaku : [Tuberculosis],382,310,1.0
,,383,44,
eng,British journal of sports medicine,384,311,1.0
,The Science of the total environment,385,312,
,,386,44,
,,387,44,
,,388,44,
eng,Ann Pharmacother,389,313,1.0
eng,PharmacoEconomics,390,314,1.0
eng,American Journal of Epidemiology,391,315,1.0
spa,Cirug�_a Pedi��trica: Organo Oficial De La Sociedad Espa̱ola De Cirug�_a Pedi��trica,392,316,1.0
por,O papel dos profissionais de saude em casos de violencia domestica: um relato de experiencia.,393,317,1.0
,Pediatrics,394,318,
eng,Postgraduate medical journal,395,319,1.0
eng,Minerva cardioangiologica,396,320,1.0
eng,Anesthesia And Analgesia,397,308,2.0
,Int. J.  Pharmcy Pharm. Sci.,398,321,
eng,Neurobiology of aging,399,322,1.0
eng,World J Pediatr Congenit Heart Surg,400,323,1.0
eng,American journal of veterinary research,401,324,1.0
English,Supply Chain Management,402,325,1.0
,Critical Care Nursing Quarterly,403,326,
eng,Clinical psychology review,404,327,1.0
eng,ANN. ONCOL.,405,328,1.0
,Polskie Archiwum Medycyny Wewnetrznej,406,329,
eng,"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",407,330,1.0
,,408,44,
German,Wiener Medizinische Wochenschrift,409,331,1.0
eng,,410,5,
,PRIMUS,411,332,
,Developmental Psychology,412,333,
,,413,44,
,,414,44,
eng,Cancer,415,334,2.0
eng,Annals of oncology : official journal of the European Society for Medical Oncology / ESMO,416,335,1.0
eng,PALLIATIVE MED.,417,336,1.0
eng,Clinical cardiology,418,337,1.0
,,419,44,
,Nature Clinical Practice Neurology,420,338,
eng,Journal of dental research,421,339,2.0
,Addictive Behaviors,422,340,
eng,Am J Perinatol,423,341,1.0
,,424,44,
,,425,44,
,,426,44,
tur,Anadolu kardiyoloji dergisi : AKD = the Anatolian journal of cardiology,427,342,1.0
,The Lancet,428,343,
English,,429,20,
,Nederlands Tijdschrift Voor Fysiotherapie,430,344,
eng,,431,5,
,European Heart Journal,432,345,
English,Swiss Medical Weekly,433,346,1.0
eng,Am J Clin Nutr,434,347,2.0
eng,,435,5,
eng,BMC Oral Health,436,348,1.0
English,JOURNAL OF CELL SCIENCE,437,349,1.0
,Respirology,438,350,
eng,BR. J. CANCER,439,351,1.0
,J. Am. Geriatr. Soc.,440,352,
eng,"Revue de stomatologie, de chirurgie maxillo-faciale et de chirurgie orale",441,353,1.0
eng,"Journal of cardiovascular medicine (Hagerstown, Md.)",442,354,1.0
,Italian Journal of Psychopathology,443,355,
,Consumer Reports on Health,444,356,
ENG,"Journal of clinical hypertension (Greenwich, Conn.)",445,357,1.0
eng,Frontiers in human neuroscience,446,358,1.0
English,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,447,359,1.0
eng,Journal of the American Medical Informatics Association : JAMIA,448,360,1.0
eng,Pharmacoeconomics,449,361,1.0
eng,Journal of learning disabilities,450,362,1.0
eng,Obesity reviews : an official journal of the International Association for the Study of Obesity,451,363,1.0
eng,Diabetes technology & therapeutics,452,364,1.0
eng,Ophthalmology and eye diseases,453,365,1.0
English,Indian Journal of Physiology and Pharmacology,454,366,1.0
pol,Nowoczesne biomateria��y jako opatrunki hemostatyczne w chirurgii oszczedzajacej miazsz nerki--model zwierzecy. Doniesienie wstepne.,455,367,1.0
eng,,456,5,
eng,International urogynecology journal,457,368,1.0
,Pain Medicine,458,369,
,Cancer Research,459,370,
,Revista latino-americana de enfermagem,460,371,
eng,Thrombosis And Haemostasis,461,372,1.0
eng,Public health nutrition,462,373,1.0
English,Cancer Treatment Reviews,463,374,1.0
eng,J Pain Res,464,375,1.0
eng,J Clin Microbiol,465,376,1.0
English,Laboratory Investigation,466,377,1.0
,Child & Family Social Work,467,378,
,Surg. Endosc. Interv. Tech.,468,379,
,,469,44,
eng,Health Educ Behav,470,380,1.0
eng,Journal of the American Academy of Child and Adolescent Psychiatry,471,381,1.0
eng,"Science (New York, N.Y.)",472,382,2.0
eng,Case Reports in Medicine,473,383,1.0
eng,Korean Journal of Anesthesiology,474,384,1.0
eng,Physics in medicine and biology,475,385,1.0
eng,Surgery,476,386,1.0
ENG,IEEE transactions on nuclear science,477,387,1.0
eng,The International journal of developmental biology,478,388,1.0
eng,Scandinavian cardiovascular journal : SCJ,479,389,1.0
eng,Rheumatology (Oxford),480,390,1.0
,Pain,481,391,
,Emergency Radiology,482,392,
,Australian & New Zealand Journal of Mental Health Nursing,483,393,
eng,Tob Control,484,394,1.0
eng,Physiological research / Academia Scientiarum Bohemoslovaca,485,395,1.0
eng,Physiotherapy,486,396,1.0
,,487,44,
,,488,44,
,Pediatrics,489,318,
,,490,44,
eng,European heart journal,491,397,1.0
eng,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",492,53,2.0
,,493,44,
jpn,Horumon to rinsho. Clinical endocrinology,494,398,1.0
eng,JAMA,495,399,1.0
,"Proceedings of the Asme Pressure Vessels and Piping Conference 2010, Vol 7",496,400,
,LaboratoriumsMedizin,497,401,
,,498,44,
,"Clinical medicine (London, England)",499,402,
dan,Forsinket implementering af internationale retningslinjer for computertomografi med iodholdigt kontraststof .,500,403,1.0
English,,501,20,
,Journal of Women & Aging,502,404,
,Dissertation Abstracts International: Section B: The Sciences and Engineering,503,405,
,TAKAYASUSCHE ARTERIITIS MIT MULTIPLEN INTRAKRANIELLEN ANEURYSMEN,504,406,
eng,Scandinavian journal of rheumatology,505,407,1.0
,Administration and policy in mental health,506,408,
pol,Czasopismo stomatologiczne,507,409,1.0
English,International Journal of Medical Informatics,508,410,1.0
,International Urology and Nephrology,509,411,
,Pediatric physical therapy,510,412,
eng,Journal of Korean Neurosurgical Society,511,413,1.0
eng,Bmj-British Medical Journal,512,414,1.0
,,513,44,
,J. Pediatric Infect. Dis. Soc.,514,415,
eng,JAMA otolaryngology-- head & neck surgery,515,416,1.0
,Molecular Biology Reports,516,417,
eng,Journal of aerosol medicine and pulmonary drug delivery,517,418,1.0
eng,Journal of epidemiology and community health.,518,419,1.0
chi,CHUNG-HUA I HSUEH TSA CHIH [CHINESE MEDICAL JOURNAL],519,420,1.0
engfre,Canadian Forces Dental Services quarterly,520,421,1.0
,British Journal of Midwifery,521,422,
eng,Cochrane Database Syst. Rev.,522,45,3.0
eng,Journal Of Oral And Maxillofacial Surgery: Official Journal Of The American Association Of Oral And Maxillofacial Surgeons,523,423,1.0
eng,The Journal of biological chemistry,524,424,1.0
eng,Chinese medical journal,525,425,1.0
eng,Occupational Medicine-Oxford,526,426,1.0
,,527,44,
eng,Environmental toxicology and pharmacology,528,427,1.0
eng,J. Cardiovasc. Med.,529,428,1.0
English,"Dissertation Abstracts International, A: The Humanities and Social Sciences",530,429,1.0
eng,"Science (New York, N.Y.)",531,382,2.0
eng,Neuroscience,532,430,1.0
ENG,Experimental neurology,533,431,1.0
eng,Annals of Emergency Medicine American College of Emergency Physician's Research Forum,534,432,1.0
eng,Paediatrics & child health,535,433,1.0
,,536,44,
,Family & Community Health,537,434,
English,,538,20,
eng,,539,5,
eng,AJR. American Journal Of Roentgenology,540,435,1.0
,,541,44,
,Cancer Biotherapy,542,436,
,BMJ,543,437,
,,544,44,
,Rheumatology (Oxford),545,438,
English,,546,20,
,,547,44,
eng,J. Urol.,548,439,1.0
ENG,Disability and rehabilitation,549,440,1.0
ENG,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,550,441,1.0
,Games and Economic Behavior,551,442,
,,552,44,
eng,J Bone Joint Surg Br,553,443,1.0
eng,Journal of cancer research and clinical oncology,554,444,1.0
eng,International journal of obesity (2005),555,445,2.0
English,,556,20,
,American Acupuncturist,557,446,
eng,,558,5,
eng,Alcohol Clin Exp Res,559,447,1.0
,Klinik Psikofarmakoloji Bulteni,560,448,
,Journal of Nursing UFPE / Revista de Enfermagem UFPE,561,449,
,,562,44,
eng,The British journal of psychiatry : the journal of mental science,563,450,1.0
,,564,44,
eng,Hernia : the journal of hernias and abdominal wall surgery,565,451,1.0
eng,Lancet,566,452,1.0
,Small Ruminant Research,567,453,
,,568,44,
eng,International psychogeriatrics / IPA,569,454,1.0
engpor,Jornal brasileiro de pneumologia : publicacao oficial da Sociedade Brasileira de Pneumologia e Tisilogia,570,455,1.0
,"JOGNN: Journal of Obstetric, Gynecologic & Neonatal Nursing",571,456,
heb,Harefuah,572,457,1.0
eng,,573,5,
eng,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,574,246,3.0
,Croatian Medical Journal,575,458,
eng,International journal of stroke : official journal of the International Stroke Society,576,459,1.0
English,European journal of heart failure,577,460,1.0
English,Yonsei Medical Journal,578,461,1.0
ita,Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,579,462,2.0
eng,Canadian family physician Medecin de famille canadien,580,463,1.0
eng,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,581,464,1.0
,,582,44,
English,Journal of Sexual Medicine,583,465,1.0
,,584,44,
eng,Archives Of Physical Medicine And Rehabilitation,585,466,1.0
eng,European Journal Of Anaesthesiology,586,467,2.0
,Clinical Biomechanics,587,468,
,Pharmacogenomics,588,469,
jpn,Rinsho Byori,589,470,1.0
eng,J Nutr Gerontol Geriatr,590,471,1.0
,Journal of Epidemiology & Community Health,591,472,
English,,592,20,
eng,,593,5,
,Online Submission,594,473,
eng,J Orthop Sci,595,252,2.0
eng,Geriatr Gerontol Int,596,474,1.0
,,597,44,
eng,,598,5,
,Respiratory medicine,599,475,
eng,Veterinary clinical pathology / American Society for Veterinary Clinical Pathology,600,476,1.0
English,Cardiovascular therapeutics,601,477,1.0
,Bulletin of the World Health Organization,602,478,
eng,Plos Neglected Tropical Diseases,603,479,1.0
eng,Neuropharmacology,604,480,1.0
eng,,605,5,
,Physical therapy,606,481,
,Physica D: Nonlinear Phenomena,607,482,
ger,Zeitschrift f��r Erkrankungen der Atmungsorgane mit Folia bronchologica,608,483,1.0
eng,Int. Angiol.,609,484,1.0
,Blood Reviews,610,485,
eng,J Altern Complement Med,611,486,1.0
eng,Jama,612,487,1.0
,Complementary Therapies in Medicine,613,488,
eng,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,614,489,1.0
eng,Nature,615,490,1.0
eng,The European respiratory journal,616,491,2.0
,,617,44,
,"Public health nursing (Boston, Mass.)",618,492,
English,Value in Health,619,493,1.0
English,Feminist Legal Studies,620,494,1.0
ger,Impfstoffe: Akzeptanz und Sicherheit.,621,495,1.0
eng,,622,5,
,Journal of Psychiatric Research,623,496,
,International Journal of Obesity,624,497,
eng,Sleep,625,498,1.0
eng,JPN. J. CANCER RES.,626,499,1.0
eng,Journal of dental research,627,339,2.0
eng,Therapeutic advances in respiratory disease,628,500,1.0
English,Cancer Epidemiology Biomarkers and Prevention,629,501,1.0
English,,630,20,
,,631,44,
,Onkologie,632,502,
,Rheumatology (United Kingdom),633,503,
,,634,44,
eng,Neurol Res,635,504,1.0
,Helicobacter,636,505,
,Haematologica,637,506,
eng,The Australian journal of rural health,638,507,1.0
English,,639,20,
eng,Journal of medicinal chemistry,640,508,1.0
,Journal of Women's Health (15409996),641,509,
