style,original_index,unique_index
American Pale Ale (APA),118,1
American IPA,119,2
American Pale Ale (APA),120,1
Oatmeal Stout,121,4
Cider,122,8
Cider,123,8
Cider,124,8
Belgian Pale Ale,125,31
Witbier,126,40
American Stout,127,13
American IPA,128,2
American Blonde Ale,129,18
American Porter,130,5
American Pale Ale (APA),131,1
American Pale Wheat Ale,132,22
American Pale Ale (APA),133,1
American Double / Imperial Stout,134,41
Saison / Farmhouse Ale,135,6
Gose,136,37
American IPA,137,2
Kölsch,138,24
American Porter,139,5
American IPA,140,2
Kölsch,141,24
American IPA,142,2
American Amber / Red Ale,143,19
American Blonde Ale,144,18
American IPA,145,2
American Stout,146,13
American Double / Imperial IPA,147,3
American Porter,148,5
American Amber / Red Ale,149,19
American Double / Imperial IPA,150,3
American Porter,151,5
Fruit / Vegetable Beer,152,14
American Blonde Ale,153,18
American IPA,154,2
Munich Helles Lager,155,42
American Black Ale,156,16
American IPA,157,2
American Pale Ale (APA),158,1
German Pilsener,159,29
Schwarzbier,160,43
American Double / Imperial IPA,161,3
Saison / Farmhouse Ale,162,6
German Pilsener,163,29
Witbier,164,40
American IPA,165,2
American Brown Ale,166,21
Pumpkin Ale,167,30
Märzen / Oktoberfest,168,44
American Pale Wheat Ale,169,22
American IPA,170,2
Tripel,171,10
American Amber / Red Ale,172,19
American Double / Imperial IPA,173,3
American Porter,174,5
American Blonde Ale,175,18
American IPA,176,2
American Amber / Red Ale,177,19
English Brown Ale,178,34
American Pale Ale (APA),179,1
American IPA,180,2
American Pale Ale (APA),181,1
American IPA,182,2
American IPA,183,2
Kölsch,184,24
American IPA,185,2
Munich Helles Lager,186,42
American IPA,187,2
Extra Special / Strong Bitter (ESB),188,45
Rye Beer,189,46
American Amber / Red Ale,190,19
American IPA,191,2
American IPA,192,2
American Blonde Ale,193,18
American Pilsner,194,32
American IPA,195,2
American Pale Lager,196,0
Witbier,197,40
Euro Dark Lager,198,47
California Common / Steam Beer,199,36
American IPA,200,2
Schwarzbier,201,43
German Pilsener,202,29
California Common / Steam Beer,203,36
Hefeweizen,204,48
American Pale Wheat Ale,205,22
Foreign / Export Stout,206,49
Rye Beer,207,46
American Pale Wheat Ale,208,22
American Amber / Red Ale,209,19
American Pale Ale (APA),210,1
American IPA,211,2
American Double / Imperial IPA,212,3
Fruit / Vegetable Beer,213,14
American Pale Ale (APA),214,1
American IPA,215,2
Other,216,50
American Pale Wheat Ale,217,22
Rye Beer,218,46
Witbier,219,40
American Pale Wheat Ale,220,22
American IPA,221,2
American Brown Ale,222,21
English India Pale Ale (IPA),223,51
American Double / Imperial IPA,224,3
American Blonde Ale,225,18
American Black Ale,226,16
American IPA,227,2
Extra Special / Strong Bitter (ESB),228,45
American IPA,229,2
American Black Ale,230,16
German Pilsener,231,29
English India Pale Ale (IPA),232,51
American Pale Ale (APA),233,1
American IPA,234,2
Czech Pilsener,235,52
American Porter,236,5
Hefeweizen,237,48
American Blonde Ale,238,18
American Strong Ale,239,53
American Double / Imperial IPA,240,3
California Common / Steam Beer,241,36
American Amber / Red Ale,242,19
American IPA,243,2
American Stout,244,13
Saison / Farmhouse Ale,245,6
American Stout,246,13
American IPA,247,2
Fruit / Vegetable Beer,248,14
American IPA,249,2
Czech Pilsener,250,52
American IPA,251,2
American IPA,252,2
English Pale Ale,253,25
American Pale Wheat Ale,254,22
American Brown Ale,255,21
English Strong Ale,256,15
American Brown Ale,257,21
American Pale Wheat Ale,258,22
American IPA,259,2
American Blonde Ale,260,18
English Pale Ale,261,25
American Pale Wheat Ale,262,22
American Brown Ale,263,21
American IPA,264,2
American Amber / Red Ale,265,19
American Pale Ale (APA),266,1
Rye Beer,267,46
American Double / Imperial IPA,268,3
Oatmeal Stout,269,4
American IPA,270,2
American Pale Ale (APA),271,1
American Brown Ale,272,21
American Pale Ale (APA),273,1
American Blonde Ale,274,18
Rye Beer,275,46
American Blonde Ale,276,18
American IPA,277,2
Hefeweizen,278,48
American Pale Ale (APA),279,1
American Strong Ale,280,53
American Porter,281,5
Saison / Farmhouse Ale,282,6
American Amber / Red Ale,283,19
American Brown Ale,284,21
American Amber / Red Ale,285,19
Rye Beer,286,46
American IPA,287,2
Foreign / Export Stout,288,49
American Pale Wheat Ale,289,22
American Brown Ale,290,21
American IPA,291,2
Cream Ale,292,38
American Pale Wheat Ale,293,22
American Pilsner,294,32
American Brown Ale,295,21
American Amber / Red Ale,296,19
American Double / Imperial IPA,297,3
German Pilsener,298,29
American Double / Imperial IPA,299,3
American Stout,300,13
Saison / Farmhouse Ale,301,6
American Pale Ale (APA),302,1
Extra Special / Strong Bitter (ESB),303,45
Extra Special / Strong Bitter (ESB),304,45
Extra Special / Strong Bitter (ESB),305,45
American Pale Ale (APA),306,1
Mead,307,54
Mead,308,54
American Double / Imperial IPA,309,3
American Pale Ale (APA),310,1
Extra Special / Strong Bitter (ESB),311,45
Euro Pale Lager,312,55
American Pale Ale (APA),313,1
Kölsch,314,24
American Stout,315,13
American Pale Wheat Ale,316,22
American Amber / Red Ale,317,19
American Pale Ale (APA),318,1
American Black Ale,319,16
American White IPA,320,56
American Blonde Ale,321,18
Vienna Lager,322,39
Dortmunder / Export Lager,323,57
Altbier,324,35
Schwarzbier,325,43
Czech Pilsener,326,52
Vienna Lager,327,39
American IPA,328,2
Cream Ale,329,38
American Brown Ale,330,21
American IPA,331,2
Irish Dry Stout,332,58
Munich Helles Lager,333,42
Munich Helles Lager,334,42
American IPA,335,2
Scotch Ale / Wee Heavy,336,59
Czech Pilsener,337,52
Märzen / Oktoberfest,338,44
English India Pale Ale (IPA),339,51
American Blonde Ale,340,18
American IPA,341,2
American Blonde Ale,342,18
American Blonde Ale,343,18
Extra Special / Strong Bitter (ESB),344,45
Munich Dunkel Lager,345,60
American Pale Ale (APA),346,1
Winter Warmer,347,12
American Porter,348,5
American Pale Ale (APA),349,1
American Brown Ale,350,21
Czech Pilsener,351,52
American Blonde Ale,352,18
American IPA,353,2
American Porter,354,5
Radler,355,61
American IPA,356,2
Witbier,357,40
Bock,358,62
Vienna Lager,359,39
Vienna Lager,360,39
Märzen / Oktoberfest,361,44
American Pale Wheat Ale,362,22
Vienna Lager,363,39
American Pale Ale (APA),364,1
American Pale Ale (APA),365,1
American Pale Ale (APA),366,1
American IPA,367,2
American Pale Ale (APA),368,1
American IPA,369,2
English Dark Mild Ale,370,63
American Porter,371,5
American Porter,372,5
American IPA,373,2
Hefeweizen,374,48
American Amber / Red Ale,375,19
American Amber / Red Ale,376,19
Kölsch,377,24
American Pale Wheat Ale,378,22
American Pale Wheat Ale,379,22
American IPA,380,2
American Amber / Red Ale,381,19
Fruit / Vegetable Beer,382,14
American IPA,383,2
Irish Red Ale,384,64
American Pale Wheat Ale,385,22
American Pale Ale (APA),386,1
American Amber / Red Ale,387,19
Saison / Farmhouse Ale,388,6
Belgian Pale Ale,389,31
American Double / Imperial Stout,390,41
American IPA,391,2
Rauchbier,392,65
Bière de Garde,393,66
Belgian IPA,394,7
Doppelbock,395,67
Saison / Farmhouse Ale,396,6
Witbier,397,40
Belgian IPA,398,7
Saison / Farmhouse Ale,399,6
Belgian IPA,400,7
Saison / Farmhouse Ale,401,6
Rye Beer,402,46
Dunkelweizen,403,68
Belgian Strong Pale Ale,404,69
Dubbel,405,70
Belgian Dark Ale,406,17
Belgian Dark Ale,407,17
Belgian Pale Ale,408,31
Witbier,409,40
Oatmeal Stout,410,4
American Porter,411,5
Quadrupel (Quad),412,71
Rauchbier,413,65
Belgian IPA,414,7
Belgian Dark Ale,415,17
Belgian IPA,416,7
Rye Beer,417,46
American Stout,418,13
Fruit / Vegetable Beer,419,14
Belgian Dark Ale,420,17
Belgian Dark Ale,421,17
Belgian Pale Ale,422,31
Bière de Garde,423,66
Belgian Dark Ale,424,17
Witbier,425,40
American Stout,426,13
Belgian IPA,427,7
American Wild Ale,428,33
Fruit / Vegetable Beer,429,14
American Double / Imperial IPA,430,3
Bière de Garde,431,66
American Black Ale,432,16
Saison / Farmhouse Ale,433,6
Tripel,434,10
Belgian Dark Ale,435,17
American Amber / Red Ale,436,19
Quadrupel (Quad),437,71
American Double / Imperial Stout,438,41
American Wild Ale,439,33
Bière de Garde,440,66
Russian Imperial Stout,441,72
American Amber / Red Ale,442,19
Saison / Farmhouse Ale,443,6
Tripel,444,10
Belgian IPA,445,7
Belgian Strong Dark Ale,446,23
Saison / Farmhouse Ale,447,6
Belgian Pale Ale,448,31
Belgian IPA,449,7
American Pale Ale (APA),450,1
American Pale Wheat Ale,451,22
American Amber / Red Ale,452,19
American Amber / Red Ale,453,19
American Pale Ale (APA),454,1
Cream Ale,455,38
American IPA,456,2
English India Pale Ale (IPA),457,51
English Pale Mild Ale,458,73
English India Pale Ale (IPA),459,51
English Pale Mild Ale,460,73
American Amber / Red Lager,461,26
American Amber / Red Lager,462,26
Belgian IPA,463,7
Maibock / Helles Bock,464,74
American Black Ale,465,16
Schwarzbier,466,43
American Amber / Red Ale,467,19
Herbed / Spiced Beer,468,75
Schwarzbier,469,43
Munich Helles Lager,470,42
American Pale Ale (APA),471,1
American Blonde Ale,472,18
Witbier,473,40
American Double / Imperial IPA,474,3
American Brown Ale,475,21
American Black Ale,476,16
Fruit / Vegetable Beer,477,14
American Pale Ale (APA),478,1
American Double / Imperial IPA,479,3
Cream Ale,480,38
American Pale Wheat Ale,481,22
American Pale Wheat Ale,482,22
American IPA,483,2
American IPA,484,2
American Pale Ale (APA),485,1
American Pale Lager,486,0
American Pale Ale (APA),487,1
Hefeweizen,488,48
American IPA,489,2
Milk / Sweet Stout,490,28
American Pale Ale (APA),491,1
American Double / Imperial Stout,492,41
American Brown Ale,493,21
American Pale Ale (APA),494,1
Kölsch,495,24
American IPA,496,2
American Double / Imperial IPA,497,3
American Porter,498,5
American Blonde Ale,499,18
American Amber / Red Ale,500,19
American IPA,501,2
American Amber / Red Ale,502,19
American Blonde Ale,503,18
American IPA,504,2
American Porter,505,5
American Pale Ale (APA),506,1
American Adjunct Lager,507,76
American Amber / Red Ale,508,19
American IPA,509,2
American IPA,510,2
American Pale Ale (APA),511,1
American Pale Ale (APA),512,1
American Pale Ale (APA),513,1
American Pale Ale (APA),514,1
American Pale Ale (APA),515,1
American Amber / Red Ale,516,19
American IPA,517,2
American Pilsner,518,32
American IPA,519,2
Witbier,520,40
American Amber / Red Ale,521,19
American Blonde Ale,522,18
English Dark Mild Ale,523,63
Pumpkin Ale,524,30
American Double / Imperial IPA,525,3
American IPA,526,2
German Pilsener,527,29
American Amber / Red Ale,528,19
American Amber / Red Ale,529,19
American Blonde Ale,530,18
American Black Ale,531,16
Vienna Lager,532,39
Munich Helles Lager,533,42
American IPA,534,2
Munich Helles Lager,535,42
American IPA,536,2
Vienna Lager,537,39
American Pale Wheat Ale,538,22
Vienna Lager,539,39
American Pale Ale (APA),540,1
American Pale Lager,541,0
American Blonde Ale,542,18
American Blonde Ale,543,18
American Blonde Ale,544,18
Winter Warmer,545,12
English India Pale Ale (IPA),546,51
Kölsch,547,24
American Black Ale,548,16
Berliner Weissbier,549,20
American Double / Imperial IPA,550,3
American IPA,551,2
Cider,552,8
Cider,553,8
Cream Ale,554,38
American IPA,555,2
Witbier,556,40
Winter Warmer,557,12
Witbier,558,40
American IPA,559,2
Cream Ale,560,38
Witbier,561,40
Scottish Ale,562,77
American Brown Ale,563,21
American Porter,564,5
American Double / Imperial IPA,565,3
,566,78
American IPA,567,2
Smoked Beer,568,79
American Pale Ale (APA),569,1
Cream Ale,570,38
American Blonde Ale,571,18
American Amber / Red Ale,572,19
Altbier,573,35
American Amber / Red Lager,574,26
Altbier,575,35
American Pale Ale (APA),576,1
Herbed / Spiced Beer,577,75
American IPA,578,2
American Double / Imperial IPA,579,3
American Black Ale,580,16
Rye Beer,581,46
American Stout,582,13
Kölsch,583,24
American IPA,584,2
Kölsch,585,24
Fruit / Vegetable Beer,586,14
American Pale Ale (APA),587,1
English Brown Ale,588,34
American Strong Ale,589,53
Märzen / Oktoberfest,590,44
American IPA,591,2
Fruit / Vegetable Beer,592,14
Altbier,593,35
American Double / Imperial IPA,594,3
American Pilsner,595,32
Cider,596,8
Cider,597,8
Bock,598,62
American IPA,599,2
American Black Ale,600,16
American Brown Ale,601,21
Märzen / Oktoberfest,602,44
American Porter,603,5
American IPA,604,2
American IPA,605,2
American IPA,606,2
American Pale Ale (APA),607,1
American IPA,608,2
American IPA,609,2
American IPA,610,2
American Pale Ale (APA),611,1
American Pale Wheat Ale,612,22
American IPA,613,2
American IPA,614,2
American Porter,615,5
American Pale Ale (APA),616,1
English Brown Ale,617,34
American Brown Ale,618,21
Munich Helles Lager,619,42
American Amber / Red Ale,620,19
American IPA,621,2
Witbier,622,40
Light Lager,623,80
Pumpkin Ale,624,30
Witbier,625,40
Munich Helles Lager,626,42
American IPA,627,2
Light Lager,628,80
English Pale Ale,629,25
American IPA,630,2
American Black Ale,631,16
American Pale Wheat Ale,632,22
American Blonde Ale,633,18
American Brown Ale,634,21
Kölsch,635,24
American IPA,636,2
American Amber / Red Ale,637,19
American Amber / Red Ale,638,19
Fruit / Vegetable Beer,639,14
American IPA,640,2
German Pilsener,641,29
American Blonde Ale,642,18
American Pilsner,643,32
American Amber / Red Ale,644,19
Oatmeal Stout,645,4
Extra Special / Strong Bitter (ESB),646,45
American Pale Lager,647,0
Kölsch,648,24
American Blonde Ale,649,18
Oatmeal Stout,650,4
American Black Ale,651,16
American Pale Ale (APA),652,1
Belgian Strong Pale Ale,653,69
American Stout,654,13
American Amber / Red Ale,655,19
American Amber / Red Ale,656,19
Witbier,657,40
American Pale Ale (APA),658,1
American Amber / Red Ale,659,19
American IPA,660,2
Berliner Weissbier,661,20
American Blonde Ale,662,18
American Porter,663,5
American Pale Ale (APA),664,1
American Amber / Red Ale,665,19
Herbed / Spiced Beer,666,75
American Brown Ale,667,21
American Blonde Ale,668,18
Cream Ale,669,38
American Porter,670,5
American IPA,671,2
American Amber / Red Ale,672,19
Kölsch,673,24
American Blonde Ale,674,18
Witbier,675,40
Scottish Ale,676,77
American IPA,677,2
English Pale Ale,678,25
Kölsch,679,24
Scotch Ale / Wee Heavy,680,59
American Blonde Ale,681,18
Hefeweizen,682,48
American Porter,683,5
American Double / Imperial IPA,684,3
American IPA,685,2
Belgian Pale Ale,686,31
American Pale Ale (APA),687,1
American IPA,688,2
American IPA,689,2
American IPA,690,2
American Pale Lager,691,0
American Blonde Ale,692,18
American Pale Ale (APA),693,1
American Amber / Red Ale,694,19
Euro Pale Lager,695,55
American Brown Ale,696,21
American Double / Imperial IPA,697,3
American Pale Ale (APA),698,1
Baltic Porter,699,9
Saison / Farmhouse Ale,700,6
German Pilsener,701,29
American Blonde Ale,702,18
American IPA,703,2
American IPA,704,2
English Pale Mild Ale,705,73
Irish Dry Stout,706,58
American Blonde Ale,707,18
American IPA,708,2
Irish Red Ale,709,64
American IPA,710,2
American Porter,711,5
American Pale Ale (APA),712,1
Hefeweizen,713,48
Abbey Single Ale,714,81
American IPA,715,2
Gose,716,37
Fruit / Vegetable Beer,717,14
American Double / Imperial IPA,718,3
Abbey Single Ale,719,81
American Pale Ale (APA),720,1
American Pale Ale (APA),721,1
American Amber / Red Ale,722,19
American Black Ale,723,16
American IPA,724,2
Scotch Ale / Wee Heavy,725,59
American Pale Ale (APA),726,1
American IPA,727,2
American Amber / Red Ale,728,19
Hefeweizen,729,48
Extra Special / Strong Bitter (ESB),730,45
American Double / Imperial IPA,731,3
American Pale Ale (APA),732,1
Irish Dry Stout,733,58
English Dark Mild Ale,734,63
Cider,735,8
Cider,736,8
American IPA,737,2
Fruit / Vegetable Beer,738,14
Hefeweizen,739,48
American Amber / Red Ale,740,19
American IPA,741,2
American Pale Wheat Ale,742,22
Pumpkin Ale,743,30
American IPA,744,2
American Pale Ale (APA),745,1
Pumpkin Ale,746,30
Fruit / Vegetable Beer,747,14
German Pilsener,748,29
American IPA,749,2
Extra Special / Strong Bitter (ESB),750,45
American Amber / Red Lager,751,26
American Brown Ale,752,21
American Adjunct Lager,753,76
Fruit / Vegetable Beer,754,14
American Pale Ale (APA),755,1
American Pale Lager,756,0
American IPA,757,2
American IPA,758,2
American IPA,759,2
American Blonde Ale,760,18
Belgian IPA,761,7
American Pale Wheat Ale,762,22
American Pale Ale (APA),763,1
American Porter,764,5
Czech Pilsener,765,52
Berliner Weissbier,766,20
American Double / Imperial IPA,767,3
American Pale Ale (APA),768,1
American IPA,769,2
American Pale Ale (APA),770,1
American Pale Ale (APA),771,1
Scottish Ale,772,77
American IPA,773,2
American Pale Ale (APA),774,1
American IPA,775,2
American Stout,776,13
Belgian Pale Ale,777,31
Roggenbier,778,82
Kölsch,779,24
American IPA,780,2
American Amber / Red Ale,781,19
Fruit / Vegetable Beer,782,14
American IPA,783,2
American Amber / Red Ale,784,19
American Double / Imperial IPA,785,3
Scottish Ale,786,77
American Double / Imperial IPA,787,3
American Double / Imperial IPA,788,3
American Double / Imperial IPA,789,3
American Porter,790,5
Kristalweizen,791,83
Czech Pilsener,792,52
Kölsch,793,24
American Double / Imperial IPA,794,3
American Black Ale,795,16
Belgian Strong Dark Ale,796,23
American Pale Wheat Ale,797,22
American Stout,798,13
American Amber / Red Ale,799,19
American Pale Ale (APA),800,1
American IPA,801,2
American Pale Ale (APA),802,1
American Blonde Ale,803,18
American IPA,804,2
American IPA,805,2
German Pilsener,806,29
American Blonde Ale,807,18
American Blonde Ale,808,18
Doppelbock,809,67
American Blonde Ale,810,18
American IPA,811,2
American IPA,812,2
American Pale Ale (APA),813,1
American IPA,814,2
American Pale Lager,815,0
American Porter,816,5
American IPA,817,2
Saison / Farmhouse Ale,818,6
American IPA,819,2
American Porter,820,5
American Blonde Ale,821,18
Witbier,822,40
American IPA,823,2
Belgian Pale Ale,824,31
American IPA,825,2
American IPA,826,2
American IPA,827,2
American Black Ale,828,16
American IPA,829,2
American Pale Ale (APA),830,1
Witbier,831,40
American Pale Ale (APA),832,1
American Double / Imperial Stout,833,41
American Amber / Red Lager,834,26
American IPA,835,2
American Amber / Red Ale,836,19
American Pale Wheat Ale,837,22
American Amber / Red Ale,838,19
Kölsch,839,24
American IPA,840,2
Scotch Ale / Wee Heavy,841,59
American IPA,842,2
American IPA,843,2
American IPA,844,2
American Porter,845,5
American Blonde Ale,846,18
Oatmeal Stout,847,4
Belgian Pale Ale,848,31
American IPA,849,2
American IPA,850,2
American Pale Lager,851,0
Kölsch,852,24
,853,78
American Porter,854,5
Fruit / Vegetable Beer,855,14
American IPA,856,2
Scottish Ale,857,77
Kölsch,858,24
American Porter,859,5
American Pale Wheat Ale,860,22
American Pale Ale (APA),861,1
American White IPA,862,56
American Amber / Red Ale,863,19
American IPA,864,2
Munich Helles Lager,865,42
,866,78
American Brown Ale,867,21
Witbier,868,40
Munich Helles Lager,869,42
American Amber / Red Ale,870,19
Witbier,871,40
American IPA,872,2
Berliner Weissbier,873,20
American IPA,874,2
American Pale Ale (APA),875,1
English Strong Ale,876,15
Saison / Farmhouse Ale,877,6
American Pale Ale (APA),878,1
American Pale Ale (APA),879,1
American IPA,880,2
Kölsch,881,24
Scotch Ale / Wee Heavy,882,59
Extra Special / Strong Bitter (ESB),883,45
American IPA,884,2
American Pale Ale (APA),885,1
American IPA,886,2
American Blonde Ale,887,18
American Amber / Red Ale,888,19
American IPA,889,2
American Pale Lager,890,0
Saison / Farmhouse Ale,891,6
American IPA,892,2
American IPA,893,2
American IPA,894,2
American IPA,895,2
Hefeweizen,896,48
American IPA,897,2
American IPA,898,2
Kölsch,899,24
American Brown Ale,900,21
American IPA,901,2
American IPA,902,2
American IPA,903,2
Hefeweizen,904,48
American Porter,905,5
American IPA,906,2
American Pale Wheat Ale,907,22
American Pale Ale (APA),908,1
American Double / Imperial IPA,909,3
Oatmeal Stout,910,4
American IPA,911,2
American Brown Ale,912,21
American Pale Ale (APA),913,1
American IPA,914,2
American Pale Ale (APA),915,1
American Pale Ale (APA),916,1
American Pale Wheat Ale,917,22
American Pale Wheat Ale,918,22
American Pale Wheat Ale,919,22
American Pale Lager,920,0
American Pale Wheat Ale,921,22
American Pilsner,922,32
American Amber / Red Ale,923,19
American IPA,924,2
American Pale Wheat Ale,925,22
English Brown Ale,926,34
American Pale Ale (APA),927,1
American Blonde Ale,928,18
Fruit / Vegetable Beer,929,14
American Porter,930,5
American IPA,931,2
Dortmunder / Export Lager,932,57
American Blonde Ale,933,18
American Porter,934,5
Märzen / Oktoberfest,935,44
American Brown Ale,936,21
Fruit / Vegetable Beer,937,14
Dortmunder / Export Lager,938,57
American Dark Wheat Ale,939,84
Witbier,940,40
American Stout,941,13
English Stout,942,85
American Porter,943,5
Euro Dark Lager,944,47
English Dark Mild Ale,945,63
American IPA,946,2
American Blonde Ale,947,18
American Pale Ale (APA),948,1
Old Ale,949,86
American Pale Wheat Ale,950,22
American IPA,951,2
Tripel,952,10
American IPA,953,2
Russian Imperial Stout,954,72
Saison / Farmhouse Ale,955,6
American IPA,956,2
American Pale Lager,957,0
American Pale Lager,958,0
American Pale Ale (APA),959,1
American Pale Lager,960,0
Fruit / Vegetable Beer,961,14
American Brown Ale,962,21
American Blonde Ale,963,18
American Blonde Ale,964,18
Vienna Lager,965,39
Irish Red Ale,966,64
Vienna Lager,967,39
Witbier,968,40
Irish Red Ale,969,64
American Pale Ale (APA),970,1
Rye Beer,971,46
American Brown Ale,972,21
American IPA,973,2
Märzen / Oktoberfest,974,44
American Amber / Red Ale,975,19
American Stout,976,13
American Pale Ale (APA),977,1
Irish Red Ale,978,64
American Pale Ale (APA),979,1
American Pale Ale (APA),980,1
American Black Ale,981,16
Märzen / Oktoberfest,982,44
American Double / Imperial IPA,983,3
Märzen / Oktoberfest,984,44
American Pale Ale (APA),985,1
Witbier,986,40
American Blonde Ale,987,18
American Porter,988,5
American Pale Ale (APA),989,1
Cream Ale,990,38
American Pale Wheat Ale,991,22
Winter Warmer,992,12
Pumpkin Ale,993,30
Czech Pilsener,994,52
American Amber / Red Ale,995,19
American IPA,996,2
American Pale Ale (APA),997,1
American IPA,998,2
Tripel,999,10
Altbier,1000,35
American IPA,1001,2
American Pale Ale (APA),1002,1
American IPA,1003,2
American Double / Imperial Pilsner,1004,87
German Pilsener,1005,29
American Pale Wheat Ale,1006,22
English India Pale Ale (IPA),1007,51
American Brown Ale,1008,21
American Blonde Ale,1009,18
American Pale Ale (APA),1010,1
American IPA,1011,2
American Blonde Ale,1012,18
Fruit / Vegetable Beer,1013,14
Munich Helles Lager,1014,42
American IPA,1015,2
Cream Ale,1016,38
American Pale Ale (APA),1017,1
Herbed / Spiced Beer,1018,75
American White IPA,1019,56
Cider,1020,8
Kölsch,1021,24
American IPA,1022,2
Pumpkin Ale,1023,30
Märzen / Oktoberfest,1024,44
American IPA,1025,2
Kölsch,1026,24
American Pale Wheat Ale,1027,22
Kölsch,1028,24
American IPA,1029,2
American Blonde Ale,1030,18
Witbier,1031,40
American Blonde Ale,1032,18
American Pale Ale (APA),1033,1
American Brown Ale,1034,21
American Brown Ale,1035,21
Flanders Red Ale,1036,88
Belgian IPA,1037,7
American Pale Lager,1038,0
American Double / Imperial IPA,1039,3
American IPA,1040,2
Märzen / Oktoberfest,1041,44
Cream Ale,1042,38
Cream Ale,1043,38
American IPA,1044,2
American Double / Imperial Stout,1045,41
American Pilsner,1046,32
American Pale Ale (APA),1047,1
American Pale Wheat Ale,1048,22
Fruit / Vegetable Beer,1049,14
American Amber / Red Ale,1050,19
American Pale Ale (APA),1051,1
Czech Pilsener,1052,52
American Blonde Ale,1053,18
American Amber / Red Ale,1054,19
Saison / Farmhouse Ale,1055,6
American White IPA,1056,56
Saison / Farmhouse Ale,1057,6
American Brown Ale,1058,21
American IPA,1059,2
American Blonde Ale,1060,18
American Strong Ale,1061,53
American IPA,1062,2
American Blonde Ale,1063,18
American Pale Lager,1064,0
American IPA,1065,2
American IPA,1066,2
American Blonde Ale,1067,18
American IPA,1068,2
American Pale Lager,1069,0
Altbier,1070,35
American Pale Ale (APA),1071,1
American Porter,1072,5
Cider,1073,8
Radler,1074,61
American Pale Wheat Ale,1075,22
American Pale Wheat Ale,1076,22
American Pale Wheat Ale,1077,22
American Pale Wheat Ale,1078,22
American Pale Wheat Ale,1079,22
American Pale Wheat Ale,1080,22
American Pale Wheat Ale,1081,22
American Pale Wheat Ale,1082,22
American Pale Wheat Ale,1083,22
American Pale Wheat Ale,1084,22
American Pale Wheat Ale,1085,22
American Pale Wheat Ale,1086,22
American Amber / Red Ale,1087,19
American Stout,1088,13
American IPA,1089,2
American Strong Ale,1090,53
American White IPA,1091,56
American Amber / Red Ale,1092,19
American Strong Ale,1093,53
Czech Pilsener,1094,52
American IPA,1095,2
American Pale Wheat Ale,1096,22
