,index ,provider_number ,name                                 ,address_1                    ,address_2 ,address_3 ,city         ,state ,zip   ,county     ,phone      ,type                 ,owner                                       ,emergency_service ,condition                     ,measure_code ,measure_name                                                                                                                                                                             ,score ,sample        ,state_average
37,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,acxte care hospitals ,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,xl    ,,,,,gxvernment - hxspital district xr authxrity ,,,,,,,
43,,,,,,,,,,,,,,yex               ,,,,,,
44,,,,,,,,,,,,,,,,,,,,
45,,x0005           ,,,,,,,,,,,,,,,,,,
46,,,,,,,,xl    ,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,xl    ,,,,,,,,,,,,
51,,,,,,,,,,,,,,yxs               ,,,,,,
52,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
56,,,,,,,boxz         ,,,,,,,,,,,,,al_pn-xb
57,,,,2505xuxsxhighwayx431xnorth   ,,,,,,,2x6x938310 ,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,2x6x938310 ,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,2565x38310 ,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,mxrshxll   ,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,laudxrdalx ,,,,,,,,,,
73,,,,,,,,,,,,,,,hearx axxack                  ,,,,,
74,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,laudexdale ,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,
79,,,,,,,fxorence     ,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,
81,,1000x           ,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,xl    ,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,
88,,,,,,,florxncx     ,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,619 paxienxs  ,
92,,,,,,,,,,,,,,,,,,,,
93,,,,,,,flxrence     ,,,,,,,,,,,,,
94,,,,702xnxmainxst                ,,,,,,,,,,,,,xeart attack patients given aspirin at arrival                                                                                                                                           ,,,
95,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,xl    ,,,,acute care hosxitals ,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,3344x33541 ,,,,,hfx1         ,,,,
102,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,
106,,,,702 x maix st                ,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,pnx5c        ,,,,
109,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery ,,,
112,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,0 patixnts    ,
116,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,heart attack patients given aspirin at arrivax                                                                                                                                           ,,,
120,,,,,,,,,,,,,,,,,,x00%  ,,
121,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,heaxt failuxe                 ,,,,,
128,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,
131,,,crenshaw cxmmunity hxspital          ,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,21 pxtients   ,
134,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,crxnshaw   ,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,heart attaxk patients given aspirin at disxharge                                                                                                                                         ,,,
146,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,pxopxietaxy                                 ,yxs               ,,,,,,
158,,,,,,,,,,,,,,,,,,9x%   ,,
159,,,,,,,,,,,,,proxrietary                                 ,,,,,,,
160,,,,,,,,,,,,,,,,,,,,
161,,,,201 pine sxreex norxhwesx    ,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,xroprietary                                 ,,,,,,,
163,,,,,,,,,,,,,,,,,,x7%   ,,
164,,,,,,,,,,,,,pxopxietaxy                                 ,,,,,,,
165,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,xx patients   ,
167,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,6xpatients    ,
171,,,marshall medical cenxer norxh        ,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,
175,,,,8000 alabama xigxway 69      ,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,hf-x         ,,,,
178,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,
180,,,,,,,guntxrsvillx ,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,xl    ,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,95x   ,,
188,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,acute care hosxitals ,,,heaxt attack                  ,,,,,
200,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,
207,,,,,,,birmixgham   ,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,x5%   ,,
209,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,pneumoniaxpatientsxassessedxandxgivenxinfluenzaxvaccination                                                                                                                              ,,,
211,,,,,,,,,,,,,,,,,,,,
212,,,,,,,bxrmxngham   ,,,,,,,,,,,,,
213,,x00xx           ,,,,,,,,,,acutx carx hospitals ,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,jeffersxn  ,,,,,,,,,,
217,,,,,,,,,,,2058x8x122 ,,,,,,,,,
218,,,,,,,,,,,,,voluntary nonxprofit x private              ,,,,,,,
219,,,,,,,,,,,,,,,,,heartxattackxpatientsxgivenxaspirinxatxarrival                                                                                                                                           ,,,
220,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,dx kalb    ,,,voluntaryxnon-profitx-xchurch               ,,,,,,,
222,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,xe kalb    ,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,1 patiexts    ,
225,,,,,,,,,,,,,,,hexrt attxck                  ,,,,,
226,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,dx kalb    ,,,,,,,,,,
228,,,,,,,fort payxe   ,,,,2568453x50 ,,,,,,,,,
229,,,,,,,,,,,,,,,heart faxlure                 ,,,,,
230,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,82 patientx   ,
235,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,suxgical infection pxevention ,,,,,
237,,,,,,,,,,,,,,,,,,9x%   ,,
238,,,,,,,,,,xe kalb    ,,,,,,,,xx%   ,,
239,,,,,,,,,,,,,,,surgxcal infectxon preventxon ,,,,,
240,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,
243,,,dexalb regional medical center       ,,,,,,,,,,,,,,,,,
244,,x00x5           ,,,,,,,,,,,,,,,,,,ax_ami-1
245,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,xx46x66221 ,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,xl_xmi-5
249,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,xlarke     ,,,,,,,,89x   ,,
253,,1xx15           ,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,xneumonia                     ,,pneumonxa patxents whose inxtxal emergency room blood culture was performed prxor to the admxnxstratxon of the fxrst hospxtal dose of antxbxotxcs                                        ,x6%   ,,
257,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,334x3xx221 ,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,scxp-xnf-3   ,,,,
265,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,acuxe care hospixals ,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,
273,,1xx16           ,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,
275,,,,1000 fixst stxeet noxth      ,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,xl    ,,,,,,,,,,,,
279,,,,,,,,,,,,,,,xeart failure                 ,,,,,
280,,,,,,,,,,,,acutexcarexhospitals ,,,,,,,,
281,,,,,,,,,,,,,,,,,pnxumonia patixnts whosx initial emxrgxncy room blood culturx was pxrformxd prior to thx administration of thx first hospital dosx of antibiotics                                        ,,,
282,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,acuxe care hospixals ,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,
295,,,,1720 univxrsity blvd         ,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,
311,,,,,,,axxistox     ,,,,,,,,,,,,,
312,,,,,,,,,,calhoxn    ,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,
314,,100x8           ,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,
316,,,,301xeastx18thxst             ,,,,,,,,,,,,,,,29 xatients   ,
317,,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,xes               ,,,,,,
319,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,256235x900 ,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,caxhoun    ,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,yex               ,,,,,,
328,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,proxrietary                                 ,yex               ,,,,,,
333,,,,,,,,,,,,,,,,,,,,
334,,,,4370xwestxmainxstreet        ,,,,,,,,,,,,,,,,al_pnx2
335,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,x00%  ,,
337,,,floxers hospital                     ,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,xx479x5000 ,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,housxon    ,,,,,,,surgery pxtients whose doctors ordered trextments to prevent blood clots xfter certxin types of surgeries                                                                                ,,,
347,,,,,,,,,,,,,,,,,,,,al_scipxvtex2
348,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,amix2        ,,,,
350,,,,810 st vxncents drxve        ,,,,,,,,,,yxs               ,,,,,,
351,,,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,1x patients   ,
355,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,
360,,100x6           ,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,
363,,,,1530xuxsxhighwayx43          ,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,3xx94 ,,,,,,pnxumonia                     ,,,,,
367,,,,,,,winfielx     ,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,pnexmonia                     ,,,,,
370,,,,,,,,,,,,,,,,,,,,alxpn-7
371,,,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,yex               ,,,,,,
375,,,,,,,,,3xx94 ,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,,x5%   ,,
379,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,heaxt attack patients given aspixin at dischaxge                                                                                                                                         ,,,
381,,,,,,,,,,,25x47x7xx0 ,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,
384,,,univ ox south alabama medical center ,,,,,,,,25x47x7xx0 ,,,,,,,,,
385,,,xniv of soxth alabama medical center ,,,,,,,,,,,,,,,,,
386,,,,,,,,xl    ,,,25x47x7xx0 ,,,,hxart failurx                 ,,,,,
387,,,,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,yxs               ,,,heart xailure patients given smoking cessation advice/counseling                                                                                                                         ,,,
390,,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,pn-xb        ,,,,
392,,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,33x361x267 ,,,,,,,,,
394,,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,hxart failurx                 ,,,,,
401,,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,x4%   ,,
406,,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,,
408,,x0x08           ,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,scipxinfx1   ,,,,
410,,,,,,,,,,,,,,yxs               ,,,,,,
411,,,,124 s mxmorial dr            ,,,,,,,,acute care hosxitals ,,,,,,1xx%  ,,
412,,,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,acuxe care hospixals ,,,,,,,125 patixnts  ,
414,,,,,,,,,,,,,,,,,,,,
415,,,,315 w hickxry st             ,,,,,,tallaxega  ,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,xo                ,,,,,4 xatients    ,
419,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,,x7%   ,,
427,,,,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,heart faxlure patxents gxven ace inhxbxtor or arb for left ventrxcular systolxc dysfunctxon (lvsd)                                                                                       ,,,
435,,,,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,,,
437,,,,,,,anchoraxe    ,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,,,,,521 patiexts  ,
445,,,,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,,,surgeryxpatientsxneedingxhairxremovedxfromxthexsurgicalxareaxbeforexsurgery& xwhoxhadxhairxremovedxusingxaxsaferxmethodx(electricxclippersxorxhairxremovalxcreamxï¿½cxnotxaxrazor)       ,,,
448,,,xlxskx regionxl hospitxl             ,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,proxrietary                                 ,,,,,,,
450,,,,,,,,,,,,,,,,,,,,
451,,,,poxboxx287                   ,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,,,,
453,,,,,,,,,,,,acute care hospitaxs ,,,,,,,,
454,,,,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,jxffxrson  ,,,gxvernment - hxspital district xr authxrity ,,,,,,,
457,,,,,,,,,,xefferson  ,,,,,,,,,,
458,,,,,,,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,,,,,,x patients    ,
463,,,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,,sxip-vte-1   ,,,,
465,,,,,,,,,,jexxerson  ,,,,,,,,,,
466,,,,,,,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,,hexrt attxck                  ,,,,,
468,,,,,,,,,,,,,,,,,,,,
469,,,,,,,,,,,,,,,,,,,,
470,,,,,,,,,,,,,,,,,,,,
471,,,,,,,,,,,334774x601 ,,,,,,,,,
472,,,,126xhospitalxave             ,,,,,,,,,,,,,,,,
473,,,,,,,,,,,,,,,,,heaxt failuxe patients given dischaxge instxuctions                                                                                                                                      ,,,
474,,,,,,,ozarx        ,,,,,,,,,,,,,
475,,,,,,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,,,,,,
477,,,,,,,,xl    ,,,,,,,,,,,,ax_pn-2
478,,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,,,,,,
481,,,,,,,,,,,,,,,,,,,,
482,,,,,,,,,,,,,,,,,,,62 patientx   ,
483,,,,,,,,xl    ,,,,,,,,,,,,
484,,,,1x6 hospital ave             ,,,,,,,,,,,,,,,,
485,,,,,,,xzark        ,,,,,,,,,,,,,
486,,,,,,,,,,,,,,,,,,,,
487,,,,,,,,,,,,,,,,,,,,
488,,,,,,,,,,,,,,,,,,1xx%  ,,
489,,,,,,,,,,,,,,,,,,,,
490,,,,,,,,,,,,acute caxe hospitals ,,,,,,,,
491,,,,,,,,,,,,,,,,,,,,
492,,,,,,,,,,,,,,yxs               ,,,,,,
493,,,,,,,,,,,,acute care hxspitals ,voluntaryxnon-profitx-xprivate              ,,,,hxart attack patixnts givxn ace inhibitor or arb for lxft vxntricular systolic dysfunction (lvsd)                                                                                        ,,,
494,,,,,,,,,,,,,,,,,,,,
495,,,,,,,,,,,,,,,,ami-x        ,,,,
496,,,,,,,,,,,,,,,,,,,0 patxents    ,
497,,,,,,,,,,,,acutx carx hospitals ,,,,,,,,
498,,,,,,,,,,,,,,,,,,,,
499,,,,,,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,,,,,,
501,,,,,,,,,,,,,,,,,,,,
502,,,,,,,,,,chxrokxx   ,,,,,,,,,44 paxienxs   ,
503,,,,,,,,,,,,,,,,,,,,
504,,,,,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,,,,
506,,,,,,,,,,,,,,,pneumonix                     ,,,93x   ,,
507,,,,,,,,,,,,,,,,,pneumonix pxtients assessed xnd given influenzx vxccinxtion                                                                                                                              ,,,
508,,,,,,,,,,,,,,,,,,,,
509,,,,,,,,,,,,,,,,,,,,
510,,,,,,,,,,,,,,,,,,,,
511,,,,,,,,,,,,acuxe care hospixals ,,,,,,,,
512,,,,,,,,,,,,,,,,,,,,
