HospitalOwner,EmergencyService,original_index,unique_index,count
voluntary non-profit - other,yes,592,8,100
voluntary non-profit - other,yes,593,8,100
voluntary non-profit - other,yes,594,8,100
voluntary non-profit - other,yes,595,8,100
voluntary non-profit - other,yes,596,8,100
voluntary non-profit - other,yes,597,8,100
voluntary non-profit - other,yes,598,8,100
voluntary non-profit - other,yes,599,8,100
voluntary non-profit - other,yes,600,8,100
voluntary non-profit - other,yes,601,8,100
voluntary non-profit - other,yes,602,8,100
voluntary non-profit - other,yes,603,8,100
voluntary non-profit - other,yes,604,8,100
voluntary non-profit - other,yes,605,8,100
voluntary non-profit - other,yes,606,8,100
voluntary non-profit - other,yes,607,8,100
voluntary non-profit - other,yes,608,8,100
voluntary non-profit - other,yes,609,8,100
voluntary non-profit - other,yes,610,8,100
voluntary non-profit - other,yes,611,8,100
voluntary non-profit - other,yes,612,8,100
voluntary non-profit - other,yes,613,8,100
voluntary non-profit - other,yes,614,8,100
voluntary non-profit - other,yes,615,8,100
government - hospital district or authority,yes,616,1,193
government - hospital district or authority,yes,617,1,193
government - hospital district or authority,yes,618,1,193
government - hospital district or authority,yes,619,1,193
government - hospital district or authority,yes,620,1,193
government - hospital district or authority,yes,621,1,193
government - hospital district or authority,yes,622,1,193
government - hospital district or authority,yes,623,1,193
government - hospital district or authority,yes,624,1,193
government - hospital district or authority,yes,625,1,193
government - hospital district or authority,yes,626,1,193
government - hospital district or authority,yes,627,1,193
government - hospital district or authority,yex,628,7,2
government - hospital district or authority,yes,629,1,193
government - hospital district or authority,yes,630,1,193
government - hospital district or authority,yes,631,1,193
government - hospital district or authority,yes,632,1,193
government - hospital district or authority,yes,633,1,193
government - hospital district or authority,yes,634,1,193
government - hospital district or authority,yes,635,1,193
government - hospital district or authority,yes,636,1,193
government - hospital district or authority,yes,637,1,193
government - hospital district or authority,yes,638,1,193
government - hospital district or authority,yes,639,1,193
government - hospital district or authority,yes,640,1,193
government - local,no,641,41,24
government - local,no,642,41,24
government - local,no,643,41,24
government - local,no,644,41,24
government - local,no,645,41,24
government - local,no,646,41,24
government - local,no,647,41,24
government - local,no,648,41,24
government - local,no,649,41,24
government - local,no,650,41,24
government - local,no,651,41,24
government - local,no,652,41,24
government - local,xo,653,42,1
government - local,no,654,41,24
government - local,no,655,41,24
government - local,no,656,41,24
government - local,no,657,41,24
government - local,no,658,41,24
government - local,no,659,41,24
government - local,no,660,41,24
government - local,no,661,41,24
government - local,no,662,41,24
government - local,no,663,41,24
government - local,no,664,41,24
government - local,no,665,41,24
government - state,yes,666,28,36
government - state,yes,667,28,36
government - state,yes,668,28,36
government - state,yes,669,28,36
government - state,yes,670,28,36
government - state,yes,671,28,36
government - state,yes,672,28,36
government - state,yes,673,28,36
government - state,yex,674,43,1
government - state,yes,675,28,36
government - state,yes,676,28,36
government - state,yes,677,28,36
government - state,yes,678,28,36
government - state,yes,679,28,36
government - state,yes,680,28,36
government - state,yes,681,28,36
government - state,yes,682,28,36
government - state,yes,683,28,36
government - state,yes,684,28,36
government - state,yes,685,28,36
government - state,yes,686,28,36
government - state,yes,687,28,36
government - state,yes,688,28,36
government - state,yes,689,28,36
government - state,yes,690,28,36
voluntary non-profit - private,no,691,9,74
voluntary non-profit - private,no,692,9,74
voluntary non-profit - private,no,693,9,74
voluntary non-profit - private,no,694,9,74
voluntary non-profit - private,no,695,9,74
voluntary non-profit - private,no,696,9,74
voluntary non-profit - private,no,697,9,74
voluntary non-profit - private,no,698,9,74
voluntary non-profit - private,no,699,9,74
voluntary non-profit - private,no,700,9,74
voluntary non-profit - private,no,701,9,74
voluntary non-profit - private,no,702,9,74
voluntary non-profit - private,no,703,9,74
voluntary non-profit - private,no,704,9,74
voluntary non-profit - private,no,705,9,74
voluntary non-profit - private,no,706,9,74
voluntary non-profit - private,no,707,9,74
voluntary non-profit - private,no,708,9,74
voluntary non-profit - private,no,709,9,74
voluntary non-profit - private,no,710,9,74
voluntary non-profit - private,no,711,9,74
voluntary non-profit - private,no,712,9,74
voluntary non-profit - private,no,713,9,74
voluntary non-profit - private,no,714,9,74
voluntary non-profit - private,no,715,9,74
government - hospital district or authority,yes,716,1,193
government - hospital district or authority,yes,717,1,193
government - hospital district or authority,yes,718,1,193
government - hospital district or authority,yes,719,1,193
government - hospital district or authority,yes,720,1,193
government - hospital district or authority,yes,721,1,193
government - hospital district or authority,yes,722,1,193
government - hospital district or authority,yes,723,1,193
government - hospital district or authority,yes,724,1,193
government - hospital district or authority,yes,725,1,193
government - hospital district or authority,yes,726,1,193
government - hospital district or authority,yes,727,1,193
government - hospital district or authority,yes,728,1,193
government - hospital district or authority,yes,729,1,193
government - hospital district or authority,yes,730,1,193
government - hospital district or authority,yes,731,1,193
government - hospital district or authority,yes,732,1,193
government - hospital district or authority,yes,733,1,193
government - hospital district or authority,yes,734,1,193
government - hospital district or authority,yes,735,1,193
government - hospital district or authority,yes,736,1,193
government - hospital district or authority,yes,737,1,193
government - hospital district or authority,yes,738,1,193
government - hospital district or authority,yes,739,1,193
government - hospital district or authority,yes,740,1,193
proprietary,no,741,44,24
proprietary,no,742,44,24
proprietary,no,743,44,24
prxprietary,no,744,45,1
proprietary,no,745,44,24
proprietary,no,746,44,24
proprietary,no,747,44,24
proprietary,no,748,44,24
proprietary,no,749,44,24
proprietary,no,750,44,24
proprietary,no,751,44,24
proprietary,no,752,44,24
proprietary,no,753,44,24
proprietary,no,754,44,24
proprietary,no,755,44,24
proprietary,no,756,44,24
proprietary,no,757,44,24
proprietary,no,758,44,24
proprietary,no,759,44,24
proprietary,no,760,44,24
proprietary,no,761,44,24
proprietary,no,762,44,24
proprietary,no,763,44,24
proprietary,no,764,44,24
proprietary,no,765,44,24
proprietary,yes,766,12,179
proprietary,yes,767,12,179
proprietary,yes,768,12,179
proprietary,yes,769,12,179
proprietary,yes,770,12,179
proprietary,yes,771,12,179
proprietary,yes,772,12,179
proprietary,yes,773,12,179
government - hospital district or authority,yes,774,1,193
government - hospital district or authority,yes,775,1,193
government - hospital district or authority,yes,776,1,193
government - hospital district or authority,yes,777,1,193
government - hospital district or authority,yes,778,1,193
government - hospital district or authority,yes,779,1,193
government - hospital district or authority,yes,780,1,193
government - hospital district or authority,yes,781,1,193
government - hospital district or authority,yes,782,1,193
government - hospital district or authority,yes,783,1,193
goverxmext - hospital district or authority,yes,784,46,1
government - hospital district or authority,yes,785,1,193
government - hospital district or authority,yes,786,1,193
