jounral_abbreviation,original_index,unique_index,count
,207,3,
"Archives of surgery (Chicago, Ill. : 1960)",208,97,1.0
Muscle Nerve,209,98,1.0
Soc Sci Med,210,99,1.0
Int Arch Occup Environ Health,211,100,1.0
Ugeskrift for laeger,212,101,1.0
,213,3,
Crit. Rev. Oncol. Hematol.,214,102,1.0
,215,3,
Public Health Rep,216,103,1.0
Colorectal Dis,217,104,2.0
,218,3,
,219,3,
Comput Med Imaging Graph,220,105,1.0
,221,3,
,222,3,
International journal of obesity (2005),223,106,1.0
,224,3,
,225,3,
Endocrinology,226,107,2.0
,227,3,
,228,3,
,229,3,
College Teaching,230,108,1.0
J. Hosp. Infect.,231,109,1.0
Best Pract Res Clin Gastroenterol,232,110,1.0
American journal of obstetrics and gynecology,233,111,1.0
Med Teach,234,112,1.0
Acta Cytol.,235,113,1.0
Atheroscler Suppl,236,114,1.0
,237,3,
,238,3,
Mycoses,239,115,1.0
BMC musculoskeletal disorders,240,116,1.0
,241,3,
,242,3,
Physiotherapy,243,117,2.0
Public Health Genomics,244,118,1.0
,245,3,
J Int Neuropsychol Soc,246,119,1.0
Rev Bras Ter Intensiva,247,120,1.0
Gene,248,121,1.0
,249,3,
,250,3,
,251,3,
Biomed Eng Online,252,122,1.0
,253,3,
Nature New Biol.,254,123,1.0
Cardiol Young,255,124,3.0
J Huazhong Univ Sci Technolog Med Sci,256,125,1.0
,257,3,
Crit. Care Med.,258,126,1.0
,259,3,
,260,3,
JOHNS HOPKINS MED. J.,261,127,1.0
,262,3,
Preventive medicine,263,128,1.0
,264,3,
,265,3,
Arch.Gen.Psychiatry,266,129,1.0
,267,3,
Interact Cardiovasc Thorac Surg,268,130,1.0
,269,3,
,270,3,
,271,3,
,272,3,
,273,3,
,274,3,
,275,3,
,276,3,
,277,3,
J Psychiatr Res,278,131,1.0
,279,3,
Neurology,280,132,1.0
,281,3,
J. Am. Vet. Med. Assoc.,282,133,1.0
,283,3,
,284,3,
,285,3,
J Med Imaging Radiat Oncol,286,134,1.0
,287,3,
PloS one,288,15,6.0
,289,3,
Eur J Appl Physiol Occup Physiol,290,135,1.0
Nutrients,291,136,1.0
,292,3,
,293,3,
,294,3,
Tumour Biol.,295,137,3.0
,296,3,
Scand J Infect Dis Suppl,297,138,1.0
,298,3,
Appl Nurs Res,299,139,1.0
,300,3,
J Chem Phys,301,140,1.0
Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,302,141,2.0
,303,3,
Revista medico-chirurgicala a Societatii de Medici si Naturalisti din Iasi,304,142,1.0
The Journal of the Oklahoma State Medical Association,305,143,1.0
,306,3,
,307,3,
Gut,308,71,2.0
,309,3,
,310,3,
,311,3,
Eur. J. Appl. Physiol.,312,144,1.0
,313,3,
,314,3,
Radiology,315,145,1.0
,316,3,
,317,3,
Br J Soc Psychol,318,146,1.0
Cardiol Young,319,124,3.0
,320,3,
Dentomaxillofac Radiol,321,147,1.0
Actas Esp Psiquiatr,322,148,1.0
Int J Colorectal Dis,323,149,1.0
,324,3,
,325,3,
Neurologist,326,150,1.0
,327,3,
Expert Opin Emerg Drugs,328,151,1.0
,329,3,
,330,3,
Drugs Aging,331,152,1.0
,332,3,
,333,3,
Endod Dent Traumatol,334,153,1.0
Cardiology in the young,335,154,1.0
,336,3,
,337,3,
Hematol. J.,338,155,1.0
,339,3,
Int J Geriatr Psychiatry,340,156,1.0
Acta neurochirurgica. Supplementum,341,157,1.0
,342,3,
,343,3,
,344,3,
,345,3,
,346,3,
Colorectal Dis,347,104,2.0
Allergy Asthma Proc,348,158,1.0
,349,3,
,350,3,
,351,3,
,352,3,
,353,3,
J Anesth,354,159,1.0
,355,3,
Parkinsonism Relat. Disord.,356,160,1.0
,357,3,
,358,3,
,359,3,
Dis. Esophagus,360,161,1.0
Annales francaises d'anesthesie et de reanimation,361,162,1.0
,362,3,
Exp. Cell Res.,363,163,1.0
,364,3,
Biomed Res Int,365,164,2.0
,366,3,
,367,3,
Injury,368,165,1.0
,369,3,
,370,3,
Ann. Intern. Med.,371,166,2.0
,372,3,
,373,3,
,374,3,
Hepatogastroenterology,375,167,1.0
,376,3,
PloS one,377,15,6.0
,378,3,
,379,3,
Anesth Analg,380,168,2.0
Bull. Math. Biol.,381,169,1.0
Kekkaku,382,170,1.0
,383,3,
Br J Sports Med,384,171,1.0
Sci. Total Environ.,385,172,1.0
,386,3,
,387,3,
,388,3,
The Annals of pharmacotherapy,389,173,1.0
Pharmacoeconomics,390,174,1.0
Am.J.Epidemiol.,391,175,1.0
Cir Pediatr,392,176,1.0
,393,3,
,394,3,
Postgrad Med J,395,177,1.0
Minerva Cardioangiol,396,178,1.0
Anesth Analg,397,168,2.0
,398,3,
Neurobiol. Aging,399,179,1.0
World journal for pediatric & congenital heart surgery,400,180,1.0
Am. J. Vet. Res.,401,181,1.0
,402,3,
,403,3,
Clin Psychol Rev,404,182,1.0
,405,3,
,406,3,
J Plast Reconstr Aesthet Surg,407,183,1.0
,408,3,
,409,3,
,410,3,
,411,3,
,412,3,
,413,3,
,414,3,
Cancer,415,184,2.0
Ann Oncol,416,185,1.0
,417,3,
Clin Cardiol,418,186,1.0
,419,3,
,420,3,
J. Dent. Res.,421,187,2.0
Addict.Behav.,422,188,1.0
American journal of perinatology,423,189,1.0
,424,3,
,425,3,
,426,3,
Anadolu Kardiyol Derg,427,190,1.0
,428,3,
,429,3,
,430,3,
,431,3,
,432,3,
,433,3,
The American journal of clinical nutrition,434,191,3.0
,435,3,
BMC oral health,436,192,1.0
J Cell Sci,437,193,1.0
,438,3,
,439,3,
,440,3,
Rev Stomatol Chir Maxillofac Chir Orale,441,194,1.0
J Cardiovasc Med (Hagerstown),442,195,2.0
,443,3,
,444,3,
J Clin Hypertens (Greenwich),445,196,1.0
Front Hum Neurosci,446,197,1.0
,447,3,
J Am Med Inform Assoc,448,198,1.0
,449,3,
J Learn Disabil,450,199,1.0
Obes Rev,451,200,1.0
Diabetes Technol. Ther.,452,201,1.0
Ophthalmol Eye Dis,453,202,1.0
,454,3,
,455,3,
,456,3,
Int Urogynecol J,457,203,1.0
,458,3,
,459,3,
Rev Lat Am Enfermagem,460,204,1.0
Thromb Haemost,461,205,1.0
Public Health Nutr,462,206,1.0
,463,3,
Journal of pain research,464,207,1.0
Journal of clinical microbiology,465,208,1.0
,466,3,
,467,3,
,468,3,
,469,3,
Health education & behavior : the official publication of the Society for Public Health Education,470,209,1.0
J Am Acad Child Adolesc Psychiatry,471,210,1.0
Science,472,211,2.0
Case Rep.Med.,473,212,1.0
Korean J.Anesth.,474,213,1.0
Phys Med Biol,475,214,1.0
Surgery,476,215,1.0
IEEE Trans Nucl Sci,477,216,1.0
Int. J. Dev. Biol.,478,217,1.0
Scand. Cardiovasc. J.,479,218,1.0
"Rheumatology (Oxford, England)",480,219,2.0
Pain,481,220,1.0
EMERG RADIOL,482,221,1.0
AUST NZ J MENT HEALTH NURS,483,222,1.0
Tobacco control,484,223,1.0
Physiol Res,485,224,1.0
Physiotherapy,486,117,2.0
,487,3,
,488,3,
,489,3,
,490,3,
Eur. Heart J.,491,225,1.0
Knee Surg Sports Traumatol Arthrosc,492,30,2.0
,493,3,
Horumon To Rinsho,494,226,1.0
,495,3,
,496,3,
,497,3,
,498,3,
Clin Med,499,227,1.0
,500,3,
,501,3,
,502,3,
,503,3,
,504,3,
Scand. J. Rheumatol.,505,228,1.0
Adm Policy Ment Health,506,229,1.0
Czas Stomatol,507,230,1.0
,508,3,
,509,3,
,510,3,
J Korean Neurosurg Soc,511,231,1.0
,512,3,
,513,3,
,514,3,
JAMA Otolaryngol Head Neck Surg,515,232,1.0
,516,3,
J Aerosol Med Pulm Drug Deliv,517,233,1.0
,518,3,
Chung Hua I Hsueh Tsa Chih,519,234,1.0
Can Forces Dent Serv Q,520,235,1.0
,521,3,
,522,3,
,523,3,
J. Biol. Chem.,524,236,1.0
Chin. Med. J.,525,237,1.0
,526,3,
,527,3,
Environ. Toxicol. Pharmacol.,528,238,1.0
,529,3,
,530,3,
Science,531,211,2.0
Neuroscience,532,239,1.0
Exp. Neurol.,533,240,1.0
,534,3,
Paediatr Child Health,535,241,1.0
,536,3,
,537,3,
,538,3,
,539,3,
AJR Am J Roentgenol,540,242,1.0
,541,3,
,542,3,
,543,3,
,544,3,
"Rheumatology (Oxford, England)",545,219,2.0
,546,3,
,547,3,
,548,3,
Disabil Rehabil,549,243,1.0
J Stroke Cerebrovasc Dis,550,17,2.0
,551,3,
,552,3,
The Journal of bone and joint surgery. British volume,553,244,1.0
J. Cancer Res. Clin. Oncol.,554,245,1.0
Int J Obes (Lond),555,246,2.0
,556,3,
,557,3,
,558,3,
"Alcoholism, clinical and experimental research",559,247,1.0
Klin.Psikofarmakol.Bul.,560,248,1.0
REV ENFERMAGEM UFPE,561,249,1.0
,562,3,
Br J Psychiatry,563,250,1.0
,564,3,
Hernia,565,251,1.0
Lancet,566,252,1.0
,567,3,
,568,3,
Int Psychogeriatr,569,253,1.0
,570,3,
,571,3,
,572,3,
,573,3,
Tumour Biol.,574,137,3.0
Croat.Med.J.,575,254,1.0
Int J Stroke,576,255,1.0
Eur. J. Heart Fail.,577,256,1.0
Yonsei Med.J.,578,257,1.0
,579,3,
Can Fam Physician,580,258,1.0
Childs Nerv Syst,581,259,1.0
,582,3,
,583,3,
,584,3,
Arch Phys Med Rehabil,585,260,1.0
Eur J Anaesthesiol,586,261,2.0
,587,3,
Pharmacogenomics,588,262,1.0
Rinsho byori. The Japanese journal of clinical pathology,589,263,1.0
Journal of nutrition in gerontology and geriatrics,590,264,1.0
,591,3,
,592,3,
,593,3,
,594,3,
Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,595,141,2.0
Geriatrics & gerontology international,596,265,1.0
,597,3,
,598,3,
,599,3,
Vet Clin Pathol,600,266,1.0
,601,3,
Bull.WHO,602,267,1.0
,603,3,
Neuropharmacology,604,268,1.0
,605,3,
Phys Ther,606,269,1.0
,607,3,
Z Erkr Atmungsorgane Folia Bronchol,608,270,1.0
,609,3,
Blood Rev.,610,271,1.0
"Journal of alternative and complementary medicine (New York, N.Y.)",611,272,1.0
Jama,612,273,1.0
,613,3,
Catheter Cardiovasc Interv,614,274,2.0
Nature,615,275,1.0
Eur. Respir. J.,616,276,2.0
,617,3,
Public Health Nurs,618,277,2.0
,619,3,
,620,3,
,621,3,
,622,3,
,623,3,
,624,3,
Sleep,625,278,1.0
,626,3,
J. Dent. Res.,627,187,2.0
Ther Adv Respir Dis,628,279,1.0
,629,3,
,630,3,
,631,3,
Onkologie,632,280,1.0
Rheumatology,633,281,1.0
,634,3,
Neurological research,635,282,1.0
Helicobacter,636,283,1.0
,637,3,
Aust J Rural Health,638,284,1.0
,639,3,
J. Med. Chem.,640,285,1.0
,641,3,
Public Health Nurs,642,277,2.0
Circulation,643,286,4.0
Acta Derm. Venereol.,644,287,1.0
,645,3,
Protein Sci.,646,288,1.0
Am J Orthod Dentofacial Orthop,647,289,1.0
,648,3,
Am J Infect Control,649,290,1.0
,650,3,
Hepatology,651,291,1.0
,652,3,
Stroke,653,292,2.0
Journal of graduate medical education,654,293,1.0
,655,3,
Nephrol. Dial. Transplant.,656,95,2.0
Oral Oncol.,657,294,1.0
Stroke,658,292,2.0
Curr Drug Targets,659,295,1.0
Epilepsy Res.,660,296,1.0
,661,3,
J. Heart Valve Dis.,662,297,1.0
PloS one,663,15,6.0
Acad Radiol,664,298,1.0
,665,3,
Chin.J.Evid.-Based Med.,666,299,1.0
,667,3,
Cases journal,668,300,1.0
,669,3,
,670,3,
,671,3,
,672,3,
Environ Monit Assess,673,301,1.0
Acta neurologica Scandinavica,674,302,1.0
,675,3,
,676,3,
,677,3,
,678,3,
,679,3,
,680,3,
,681,3,
,682,3,
Infect. Immun.,683,303,1.0
,684,3,
Photomed Laser Surg,685,304,1.0
,686,3,
The Journal of bone and joint surgery. American volume,687,305,1.0
Oral Surg Oral Med Oral Pathol Oral Radiol Endod,688,306,1.0
,689,3,
Clin Radiol,690,307,1.0
,691,3,
,692,3,
Blood Press Monit,693,308,1.0
Psicothema,694,309,1.0
,695,3,
Journal of analytical toxicology,696,310,1.0
,697,3,
,698,3,
,699,3,
,700,3,
Respirology,701,311,1.0
,702,3,
,703,3,
Biomed Res Int,704,164,2.0
Journal of applied physiology,705,312,1.0
Ann. Med.,706,313,1.0
Eur J Clin Nutr,707,314,1.0
J Pers Soc Psychol,708,315,1.0
The Journal of hand surgery,709,316,3.0
Physiother. Theory Pract.,710,317,1.0
,711,3,
BMC Neurol,712,318,1.0
,713,3,
,714,3,
Pharm Pract (Granada),715,319,1.0
NeuroRehabilitation,716,320,1.0
Microsurgery,717,321,1.0
Int.J.Neurosci.,718,322,1.0
BJOG : an international journal of obstetrics and gynaecology,719,323,1.0
,720,3,
Jornal de pediatria,721,324,1.0
,722,3,
Mol. Plant Pathol.,723,325,1.0
,724,3,
,725,3,
,726,3,
,727,3,
Bioelectromagnetics,728,326,2.0
,729,3,
,730,3,
Occup Environ Med,731,327,1.0
,732,3,
,733,3,
,734,3,
,735,3,
J Addict Dis,736,328,1.0
Psychosom Med,737,329,1.0
,738,3,
The Journal of hospital infection,739,330,1.0
,740,3,
,741,3,
,742,3,
,743,3,
,744,3,
Circulation,745,286,4.0
Annals of the rheumatic diseases,746,331,2.0
,747,3,
Hawai'i journal of medicine & public health : a journal of Asia Pacific Medicine & Public Health,748,332,1.0
Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,749,333,1.0
,750,3,
Diabetes Forecast,751,334,1.0
,752,3,
Biomed Rep,753,335,1.0
[Nihon koshu eisei zasshi] Japanese journal of public health,754,336,1.0
American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,755,337,1.0
Oncol Nurs Forum,756,338,1.0
,757,3,
Nursing standard (Royal College of Nursing (Great Britain) : 1987),758,339,1.0
,759,3,
,760,3,
,761,3,
,762,3,
,763,3,
Headache,764,340,1.0
,765,3,
,766,3,
,767,3,
Circ. J.,768,341,1.0
PloS one,769,15,6.0
,770,3,
,771,3,
J. Natl. Cancer Inst.,772,89,3.0
AIDS,773,342,1.0
Oral Surg. Oral Med. Oral Pathol.,774,343,1.0
Archives of internal medicine,775,344,1.0
,776,3,
,777,3,
,778,3,
Oper Dent,779,345,1.0
Movement disorders : official journal of the Movement Disorder Society,780,346,1.0
Psychol Assess,781,347,1.0
,782,3,
,783,3,
,784,3,
,785,3,
,786,3,
Stomatologiia (Mosk),787,348,1.0
BMC Med,788,349,1.0
,789,3,
Oral Surg Oral Med Oral Pathol Oral Radiol,790,350,1.0
J Cardiovasc Med (Hagerstown),791,195,2.0
,792,3,
,793,3,
Appl Radiat Isot,794,351,1.0
J Clin Epidemiol,795,352,1.0
,796,3,
The Journal of hand surgery,797,316,3.0
,798,3,
Eur J Prev Cardiol,799,353,1.0
J. Natl. Cancer Inst.,800,89,3.0
,801,3,
,802,3,
,803,3,
,804,3,
,805,3,
Angew. Chem. Int. Ed. Engl.,806,354,1.0
Cardiol Young,807,124,3.0
,808,3,
,809,3,
,810,3,
,811,3,
,812,3,
Acta Clin Belg,813,355,1.0
,814,3,
,815,3,
,816,3,
Acta Endocrinol Suppl (Copenh),817,356,1.0
,818,3,
,819,3,
,820,3,
Obesity (Silver Spring),821,84,2.0
,822,3,
JAMA Intern Med,823,357,1.0
J. Hypertens.,824,358,1.0
Thorax,825,359,1.0
,826,3,
J Am Geriatr Soc,827,360,1.0
,828,3,
World J Pediatr Congenit Heart Surg,829,361,1.0
,830,3,
,831,3,
,832,3,
Am. J. Med.,833,362,1.0
Intensive Care Med,834,363,1.0
,835,3,
J. Bone Miner. Res.,836,364,1.0
Pediatr Allergy Immunol,837,365,1.0
Shock,838,366,1.0
,839,3,
,840,3,
N. Engl. J. Med.,841,367,1.0
Foot & ankle international,842,368,1.0
,843,3,
,844,3,
,845,3,
"International journal of surgery (London, England)",846,369,1.0
,847,3,
Annals of the rheumatic diseases,848,331,2.0
,849,3,
,850,3,
,851,3,
Circulation,852,286,4.0
Hum. Gene Ther.,853,370,1.0
Respiration,854,18,2.0
,855,3,
,856,3,
Circulation,857,286,4.0
,858,3,
,859,3,
,860,3,
Oral Dis,861,371,1.0
,862,3,
,863,3,
,864,3,
Pediatrics,865,372,1.0
,866,3,
Cancer Chemother. Pharmacol.,867,55,2.0
,868,3,
,869,3,
,870,3,
,871,3,
Behav Brain Sci,872,373,1.0
,873,3,
Arch. Gynecol. Obstet.,874,374,1.0
,875,3,
,876,3,
,877,3,
Psychol Med,878,375,1.0
,879,3,
Nepal Med Coll J,880,39,2.0
,881,3,
,882,3,
,883,3,
,884,3,
,885,3,
,886,3,
Catheter Cardiovasc Interv,887,274,2.0
PloS one,888,15,6.0
,889,3,
,890,3,
The Journal of hand surgery,891,316,3.0
,892,3,
Eur. Respir. J.,893,276,2.0
,894,3,
Science and engineering ethics,895,376,1.0
Br J Clin Pharmacol,896,377,1.0
,897,3,
,898,3,
Clin. Infect. Dis.,899,378,1.0
,900,3,
,901,3,
Rev Endocr Metab Disord,902,379,1.0
Auton.Neurosc.Basic Clin.,903,380,1.0
Chest,904,381,1.0
,905,3,
,906,3,
J ECT,907,382,1.0
Integr. Physiol. Behav. Sci.,908,383,1.0
Cancer,909,184,2.0
Proc.Natl.Acad.Sci.U.S.A.,910,384,1.0
,911,3,
,912,3,
Eur J Radiol,913,385,1.0
Psychooncology,914,56,2.0
Bioelectromagnetics,915,326,2.0
,916,3,
J. Am. Coll. Cardiol.,917,386,1.0
Anaesthesia,918,387,1.0
JAMA Neurol,919,388,1.0
Pediatr Med Chir,920,389,1.0
,921,3,
,922,3,
,923,3,
Eur J Anaesthesiol,924,261,2.0
,925,3,
,926,3,
,927,3,
,928,3,
Neurosurg,929,390,1.0
Int J Med Inform,930,391,1.0
J. Clin. Oncol.,931,12,2.0
,932,3,
,933,3,
,934,3,
JRSM Open,935,392,1.0
"American journal of critical care : an official publication, American Association of Critical-Care Nurses",936,393,1.0
The Journal of surgical research,937,394,1.0
"Clinical nutrition (Edinburgh, Scotland)",938,395,1.0
,939,3,
,940,3,
Techniques in coloproctology,941,396,1.0
,942,3,
,943,3,
J Environ Monit,944,397,1.0
,945,3,
,946,3,
,947,3,
,948,3,
,949,3,
PLoS ONE,950,398,1.0
,951,3,
,952,3,
Int J Obes (Lond),953,246,2.0
,954,3,
,955,3,
,956,3,
Curr. Opin. Pediatr.,957,399,1.0
Ann. Intern. Med.,958,166,2.0
Eur. J. Pediatr.,959,400,1.0
,960,3,
Phytother Res,961,401,1.0
,962,3,
Curr.Opin.Infect.Dis.,963,402,1.0
Brain Behav,964,403,1.0
J. Nucl. Med.,965,404,1.0
Laryngorhinootologie,966,405,1.0
J Health Care Poor Underserved,967,406,1.0
Acta Paediatr Scand Suppl,968,407,1.0
,969,3,
,970,3,
J Cell Biol,971,408,1.0
,972,3,
Planta,973,409,1.0
Surg Infect (Larchmt),974,410,1.0
Steroids,975,411,1.0
,976,3,
J. Antimicrob. Chemother.,977,412,1.0
,978,3,
Endocrinology,979,107,2.0
,980,3,
Clinical obstetrics and gynecology,981,413,1.0
International journal of epidemiology,982,414,1.0
The American journal of clinical nutrition,983,191,3.0
Biol.Blood Marrow Transplant.,984,415,1.0
Br.J.Anaesth.,985,416,1.0
,986,3,
Journal of human hypertension,987,417,1.0
,988,3,
Acta Radiol,989,418,1.0
The American journal of clinical nutrition,990,191,3.0
Am. J. Respir. Crit. Care Med.,991,419,1.0
Tumour Biol.,992,137,3.0
,993,3,
Burns,994,420,1.0
The American review of respiratory disease,995,421,1.0
,996,3,
Female Pelvic Med Reconstr Surg,997,422,1.0
,998,3,
,999,3,
