Year,Genre,original_index,unique_index
2003,Drama,66,65
1971 1972 1973,"Drama,Kids & Family,Classics",67,66
1937,"Adventure,Drama,Family",68,67
1935,Drama,69,68
1943,"Drama,Romance",70,69
1994,"Comedy,Romance,Sci-Fi",71,70
1964,Drama,72,71
1931,Drama,73,72
1951,"Crime,Drama,Film-Noir",74,73
1932,Thriller,75,74
1933,Comedy,76,75
1941,"Comedy,Musical",77,76
1945,"Comedy,Music,Musical",78,77
1955,Comedy,79,78
1927,"Drama,History",80,79
1963,"Adventure,Drama,History",81,80
1964,"Adventure,Romance,Drama",82,81
1981,"Adventure,Mystery,Thriller",83,82
1984,"Drama,Romance",84,83
1981,"Drama,Romance,Thriller",85,84
1963,Drama,86,85
1941,"Adventure,Comedy,Drama",87,86
1940,"Action,Adventure,Drama",88,87
1940,"Action,Drama,History",89,88
1939,"Adventure,Drama,History",90,89
1961,"Comedy,Drama",91,90
1936,"Comedy,Drama,Romance",92,91
1931,"Comedy,Romance",93,92
1931,"Drama,Romance",94,93
1932,"Drama,Romance",95,94
1933,"Drama,Romance",96,95
1932,"Crime,Drama,Romance",97,96
1933,"Crime,Drama,Romance",98,97
1933,"Drama,War",99,98
1933,Mystery,100,99
1939,"Comedy,Mystery,Drama",101,100
1941,"Comedy,Romance",102,101
1934,"Drama,Mystery,Romance",103,102
1941,"Comedy,Romance,Drama",104,103
1980,"Comedy,Fantasy,Music",105,104
2017,"Animation,Adventure,Comedy",106,105
1989,"Action,Crime,Thriller",107,106
1999,"Crime,Drama,Mystery",108,107
1994,"Crime,Drama,Thriller",109,108
1990,"Crime,Drama,Thriller",110,109
1997,"Comedy,Family,Sci-Fi",111,110
1942,"Drama,Romance",112,111
1959,"Crime,Drama,Mystery",113,112
2015,Drama,114,50
2000,"Action,Adventure,Fantasy",115,113
1940,Drama,116,114
1959,"Adventure,Drama,History",117,115
1968,"Adventure,Sci-Fi",118,116
1971,"Action,Sci-Fi",119,117
1972,"Drama,Sci-Fi",120,118
1983,"Sci-Fi,Thriller",121,119
2013,Horror,122,120
2006,"Horror,Mystery",123,121
2006,"Horror,Thriller",124,122
2009,"Horror,Thriller",125,123
1988,"Comedy,Horror",126,124
1986,"Comedy,Horror,Sci-Fi",127,125
1986,"Comedy,Horror,Sci-Fi",128,125
2011,"Drama,Horror,Mystery",129,126
2012,"Action,Thriller",130,127
1984,"Action,Adventure,Sci-Fi",131,128
2011,"Action,Sci-Fi",132,129
2009,Crime,133,130
2001,"Animation,Action,Adventure",134,131
1981,"Adventure,Family,Fantasy",135,132
1970,Horror,136,133
1959,"Adventure,Horror",137,134
1931,Horror,138,135
1933,"Adventure,Fantasy",139,136
2004,"Documentary,Comedy,Drama",140,137
2010,"Adventure,Family,Fantasy",141,138
2004,"Adventure,Family,Fantasy",142,139
2001,"Animation,Adventure,Comedy",143,140
1994,"Animation,Adventure,Drama",144,141
1991,"Animation,Family,Fantasy",145,142
1999,"Animation,Adventure,Family",146,143
2000,"Animation,Adventure,Comedy",147,144
2003,"Animation,Adventure,Family",148,145
2000,"Animation,Adventure,Comedy",149,144
2004,"Animation,Adventure,Comedy",150,146
2006,"Animation,Comedy,Family",151,147
2011,"Animation,Adventure,Comedy",152,148
2009,"Animation,Comedy,Family",153,149
2008,"Animation,Action,Adventure",154,150
1961,"Crime,Drama,Musical",155,151
1978,"Comedy,Drama,Romance",156,152
1979,"Comedy,Romance",157,153
1977,"Comedy,Romance,Sport",158,154
1974,"Comedy,Crime,Drama",159,155
1977 1978 1979,"Romance,Sports & Fitness,Science Fiction & Fantasy,Comedy",160,156
1990 1991 1992,Drama,161,157
1992,"Biography,Crime,Drama",162,158
2001,"Crime,Drama,Mystery",163,159
1995,Comedy,164,160
1991,"Comedy,Drama,Fantasy",165,161
1984,Comedy,166,162
1981,"Drama,Musical,Romance",167,163
1935 1936 1937,"Drama,Musical & Performing Arts,Classics,Comedy",168,164
1942,"Drama,Western",169,165
1939,"Adventure,History,Western",170,166
1955,"Action,Adventure",171,167
1944,"Drama,Romance,War",172,168
1945,"Drama,War",173,169
1947 1948 1949,"Western,Classics",174,170
1976,"Drama,Western",175,171
1965,Western,176,172
1960,"Comedy,Western",177,173
1963,"Adventure,Comedy,Romance",178,174
1962,"Action,Adventure,Drama",179,175
2010,"Adventure,Drama,History",180,176
2006,"Drama,Romance",181,177
1995,"Comedy,Drama,Romance",182,178
1997 1998 1999,"Science Fiction & Fantasy,Kids & Family",183,179
2015,"Adventure,Comedy,Drama",184,180
2013,Drama,185,181
1987,"Comedy,Music,Romance",186,182
1985,"Comedy,Drama",187,183
2008,Drama,188,184
1958,"Drama,Romance",189,185
2008,"Action,Crime,Thriller",190,186
2000,"Crime,Drama,Thriller",191,187
2013,"Animation,Comedy",192,188
2001,Comedy,193,189
2004,"Comedy,Drama,Romance",194,190
2010,"Action,Comedy,Crime",195,191
2008,"Comedy,Crime,Drama",196,192
2015,"Comedy,Drama,Romance",197,193
1980,"Action,Comedy,Crime",198,194
1983,"Crime,Drama,Thriller",199,195
1983,"Drama,Romance,Sport",200,196
1992,"Adventure,Drama,Romance",201,197
1987,"Comedy,Horror",202,198
1991,"Crime,Drama,Thriller",203,199
2010,"Drama,Romance",204,200
2011,"Comedy,Drama,Romance",205,201
2009,"Crime,Romance,Thriller",206,202
2009,"Action,Crime,Drama",207,203
2006,"Crime,Drama,Mystery",208,204
1973,"Crime,Thriller,Drama",209,205
1973,"Action,Crime,Drama",210,206
1980,"Adventure,Comedy",211,207
2004,"Action,Crime,Drama",212,208
1972,"Action,Crime,Drama",213,209
2010,"Action,Thriller",214,210
2013,"Crime,Drama,Mystery",215,211
1998,"Drama,Thriller",216,212
2015,"Comedy,Romance",217,213
1970,Western,218,214
1974,"Action,Crime,Drama",219,215
1974,Drama,220,216
1953,"Crime,Mystery",221,217
1963,"Comedy,Drama",222,218
1965,Drama,223,219
1971,"Action,Adventure,Drama",224,220
1966,"Drama,Sport",225,221
1964,"Thriller,War,Action",226,222
1960 1961 1962,"Drama,Classics",227,223
1968,"Comedy,Western",228,224
1972,"Adventure,Western",229,225
1952,Western,230,226
1953,"Romance,War,Western",231,227
1945,Drama,232,228
1981,"Biography,Drama",233,229
1964,"Drama,Horror,Thriller",234,230
1928,Drama,235,231
1928,Drama,236,231
2014,"Comedy,Drama",237,232
2015,"Action,Adventure,Sci-Fi",238,233
2000,Drama,239,37
1994,"Comedy,Drama",240,234
2010,"Crime,Drama,Thriller",241,235
2007,"Comedy,Romance",242,236
2007,"Crime,Thriller",243,237
2002,"Drama,Sci-Fi,Thriller",244,238
1998,"Comedy,Crime,Romance",245,239
1994,"Action,Adventure,Comedy",246,240
2010,"Adventure,Biography,Drama",247,241
1980,Drama,248,242
2003,Comedy,249,243
1999,"Crime,Drama,Thriller",250,244
2009,"Drama,Musical,Romance",251,245
1968,"Adventure,Crime",252,246
1940,"Action,Adventure",253,247
1952,"Action,Sci-Fi",254,248
1960,Sci-Fi,255,249
2013,"Action,Mystery,Thriller",256,250
2008,"Action,Thriller,War",257,251
1982,"Action,Thriller",258,252
1997,"Crime,Drama,Thriller",259,253
1994,"Drama,Romance",260,254
2014,Documentary,261,49
1988,"Drama,Romance",262,255
2012,"Drama,History,Thriller",263,256
2015,"Fantasy,Horror,Sci-Fi",264,257
2015,"Comedy,Crime,Fantasy",265,258
2001,Family,266,259
2012,"Drama,Musical,Romance",267,260
2008,"Adventure,Horror,Sci-Fi",268,261
1988,Comedy,269,262
1920,"Adventure,Drama",270,263
1931,"Adventure,Romance",271,264
1936,"Adventure,Drama,History",272,265
2015,"Comedy,Horror",273,266
1940,"Comedy,Crime,Drama",274,267
1924,,275,268
1947,"Action,Adventure,Romance",276,269
2014,"Horror,Thriller",277,270
2005,"Drama,Thriller",278,271
1974,"Drama,Romance",279,272
1997,"Biography,Drama,History",280,273
1988,Drama,281,274
1999,"Drama,Thriller",282,275
1982,"Comedy,Drama",283,276
1977,"Drama,Music,Musical",284,277
2007,"Comedy,Romance",285,236
1988,"Drama,Romance",286,255
1985,"Comedy,Crime,Drama",287,278
1986,"Adventure,Drama",288,279
2008,"Action,Drama,Thriller",289,280
2008,"Action,Crime,Fantasy",290,281
2007,"Animation,Action,Adventure",291,282
1998,"Action,Adventure",292,283
2006,"Comedy,Drama",293,284
2007,Thriller,294,285
2005,"Crime,Thriller",295,286
1999,"Drama,Mystery,Thriller",296,39
1991,"Action,Adventure,Drama",297,287
2002,"Drama,Romance",298,288
2009,"Comedy,Romance",299,289
2008,"Comedy,Romance",300,290
2007,"Comedy,Romance",301,236
2009,"Comedy,Fantasy,Romance",302,291
2010,"Comedy,Romance",303,292
2008,"Comedy,Drama,Romance",304,293
1959,Comedy,305,294
1952,"Comedy,Musical,Romance",306,295
1995,"Action,Adventure,Thriller",307,296
2013,"Action,Crime,Thriller",308,297
2009,"Action,Adventure,Sci-Fi",309,298
2007,"Action,Adventure,Sci-Fi",310,299
2007 2008 2009,"Drama,Action & Adventure,Science Fiction & Fantasy",311,300
2014,"Action,Adventure,Sci-Fi",312,301
2014,"Action,Adventure,Fantasy",313,302
2016,"Action,Adventure,Sci-Fi",314,303
2000,Drama,315,37
2015,"Horror,Sci-Fi",316,304
2004,"Comedy,Drama,Romance",317,190
1984,Horror,318,305
1982,Horror,319,62
1980,"Horror,Thriller",320,306
1984,"Horror,Thriller",321,307
1982,"Horror,Mystery,Thriller",322,308
1992,"Drama,Romance,Thriller",323,309
2008,"Drama,Romance",324,310
1987,"Comedy,Crime,Thriller",325,311
1992,"Comedy,Fantasy",326,312
1996,"Adventure,Drama",327,313
2003,"Documentary,History",328,314
1997,"Action,Drama",329,315
1985,"Adventure,Fantasy,Romance",330,316
1991,"Adventure,Crime,Drama",331,317
1987,"Crime,Drama,Romance",332,318
1996,"Drama,Thriller",333,319
1996,"Drama,Romance",334,320
2006,"Action,Crime,Thriller",335,321
2001,"Comedy,Crime",336,322
2011,Drama,337,323
2013,"Action,Adventure,Drama",338,324
2005,Documentary,339,325
1987,"Comedy,Fantasy,Horror",340,326
1997,"Fantasy,Horror,Mystery",341,327
1995,"Horror,Mystery",342,328
1997,"Horror,Sci-Fi",343,329
2001,"Drama,Sci-Fi",344,330
2010,"Documentary,Crime",345,331
2014,"Action,Crime,Drama",346,332
2013,"Action,Drama,Thriller",347,333
2012,"Crime,Drama,Thriller",348,334
2012,"Crime,Drama",349,335
2011 2012 2013,Drama,350,336
2005,"Drama,Thriller",351,271
2011,"Romance,Sci-Fi,Thriller",352,337
2009,"Comedy,Crime,Drama",353,338
2011,"Drama,Sci-Fi,Thriller",354,339
2010,"Drama,Fantasy",355,340
2009,"Biography,Drama,History",356,341
2005,"Mystery,Thriller",357,342
2009,Comedy,358,343
2006,"Drama,Horror,Romance",359,344
2009,"Horror,Mystery,Thriller",360,345
2003,"Mystery,Thriller",361,346
2000,Drama,362,37
1981,Comedy,363,347
1958,"Drama,Romance,War",364,348
2015,Drama,365,50
1954,"Drama,Romance",366,349
1955,"Drama,Romance",367,350
1953,"Comedy,Musical,Romance",368,351
1956,"Drama,Romance",369,352
1957,"Drama,Romance",370,353
1959,"Drama,Romance",371,354
1952,Comedy,372,355
1956,Drama,373,356
1953,Drama,374,357
1981,"Crime,Drama,Thriller",375,358
1989,"Drama,Romance",376,359
1997,"Drama,Romance",377,360
1996,"Drama,Fantasy,Horror",378,361
1997,"Horror,Mystery,Thriller",379,362
1998 1999 2000,Drama,380,363
2005,"Crime,Drama,Mystery",381,364
1996,"Horror,Mystery",382,365
2009,Documentary,383,11
2014,Drama,384,366
2012,"Adventure,Drama,History",385,367
2014,"Crime,Drama,Thriller",386,368
1994,"Action,Crime,Drama",387,369
2014,Drama,388,366
2006,"Crime,Horror",389,370
2015,"Crime,Drama",390,371
1996,"Drama,Horror,Thriller",391,372
1989,"Drama,Romance",392,359
2015,Documentary,393,373
1987,"Comedy,Drama,Romance",394,374
1991,"Comedy,Romance",395,9
1988,Comedy,396,262
1986,"Comedy,Drama,Romance",397,375
1988,Comedy,398,262
1987,"Drama,Romance",399,376
1988,Comedy,400,262
1985,"Comedy,Fantasy,Romance",401,377
1987,"Action,Adventure,Comedy",402,378
1991,Comedy,403,379
1987,"Comedy,Fantasy,Romance",404,380
2013,Comedy,405,381
2014,"Comedy,Romance",406,382
2007,Comedy,407,383
2009,"Adventure,Comedy,Horror",408,384
2011,"Adventure,Comedy,Sci-Fi",409,385
2008,"Action,Comedy",410,386
2010,"Action,Comedy,Crime",411,191
2012,Comedy,412,387
2008,"Comedy,Sport",413,388
1998,"Comedy,Romance",414,389
1997,"Comedy,Fantasy",415,390
1999,"Biography,Comedy,Drama",416,391
2002,"Crime,Thriller",417,392
2001,"Horror,Mystery,Thriller",418,393
1998,Comedy,419,394
2011,"Comedy,Drama",420,395
2013,"Action,Comedy,Sci-Fi",421,396
2013,"Action,Fantasy,Horror",422,397
2012,"Action,Adventure,Sci-Fi",423,398
2011,"Action,Sci-Fi,Thriller",424,399
2005,"Action,Adventure,Sci-Fi",425,400
2005 2006 2007,"Drama,Action & Adventure,Romance,Mystery & Suspense",426,401
2002,"Crime,Drama,Thriller",427,402
1975,"Crime,Drama,Romance",428,403
2009,"Action,Adventure,Crime",429,404
2012,"Action,Comedy,Sci-Fi",430,405
1955,"Horror,Sci-Fi",431,406
1959,"Sci-Fi,Horror",432,407
1954,"Drama,Horror,Romance",433,408
1929,"Adventure,Romance,Sci-Fi",434,409
1932,Horror,435,410
1991,"Comedy,Fantasy",436,411
1995,Drama,437,412
2011,Documentary,438,45
1954,Western,439,413
1929,Western,440,414
1937,"Comedy,Western",441,415
1933,Comedy,442,75
2008,"Biography,Drama,History",443,416
1930,"Musical,Romance",444,417
1929,Drama,445,418
1932,"Crime,Drama,Film-Noir",446,419
1933,"Comedy,Drama,Musical",447,420
1936,"Comedy,Musical,Romance",448,421
1937,Musical,449,422
1941,"Comedy,Musical,Romance",450,423
1966,Comedy,451,424
1969,"Drama,Western",452,425
1966,"Drama,Romance",453,426
1967,"Comedy,Romance",454,427
1968,"Comedy,Romance",455,428
1998,"Adventure,Comedy",456,429
2016,Drama,457,430
1934,"Comedy,Family,Drama",458,431
2005,"Biography,Drama,History",459,432
2009,Drama,460,433
1992,"Biography,Drama,Romance",461,434
1944,"Drama,Family,Romance",462,435
1973,"Family,Drama,Comedy",463,436
1978,"Drama,Family,Musical",464,437
2001,Drama,465,438
2001,"Drama,Mystery,Thriller",466,439
1949,"Drama,Family",467,440
1987,"Horror,Sci-Fi",468,441
2008,"Comedy,Fantasy,Horror",469,442
2013,"Comedy,Horror",470,443
2013,Documentary,471,444
2004,"Comedy,Drama",472,445
1975,Comedy,473,446
1987,"Comedy,Horror",474,198
1986,Horror,475,447
1988,"Comedy,Horror",476,124
2015,"Comedy,Horror",477,266
2013,"Comedy,Horror",478,443
2013,Horror,479,120
2015,Horror,480,448
2006,"Drama,Romance",481,177
1988,"Action,Crime,Thriller",482,449
1989,Drama,483,450
1995,"Crime,Drama,Mystery",484,451
1999,"Comedy,Drama,Fantasy",485,452
1942,"Thriller,War",486,453
1966,Thriller,487,454
2012,Documentary,488,455
2015,"Drama,Mystery,Thriller",489,456
2015,"Mystery,Sci-Fi,Thriller",490,457
2015,"Adventure,Comedy",491,458
2015,"Drama,Mystery,Romance",492,459
2015,"Comedy,Drama,Romance",493,193
2015,"Comedy,Drama,Music",494,460
2014 2015 2016,"Mystery & Suspense,Drama",495,461
1951,"Family,Western",496,462
2015,"Action,Drama",497,463
2015,"Action,Thriller",498,464
2015,"Action,War",499,465
2015,"Drama,Romance",500,466
1991,Documentary,501,467
2011,"Horror,Mystery",502,468
1959,"Adventure,Mystery,Thriller",503,469
1984,"Action,Horror,Sci-Fi",504,470
1981,"Horror,Thriller",505,471
1949,"Drama,Family",506,440
2004,"Action,Adventure,Mystery",507,472
2004,"Crime,Drama,Thriller",508,473
1971,"Crime,Drama,Sci-Fi",509,474
1982,"Adventure,Fantasy",510,475
1983,"Drama,War",511,476
2015,"Horror,Sci-Fi,Thriller",512,477
1982,"Crime,Drama",513,478
1978,Horror,514,479
1974,"Comedy,Drama,Fantasy",515,480
1980,"Comedy,Horror,Thriller",516,481
1973,Horror,517,482
1982,"Adventure,Horror,Action",518,483
2004 2005 2006,"Drama,Action & Adventure",519,484
1959,"Biography,Drama,Family",520,485
1932,"Drama,Romance",521,94
2008,"Drama,Sport",522,486
1990,Drama,523,487
1939,"Biography,Drama,History",524,488
1934,Drama,525,489
1932,"Comedy,Crime,Romance",526,490
1994,"Documentary,Biography,Comedy",527,491
1984,"Crime,Thriller",528,492
1982,"Family,Sci-Fi",529,493
1962,"Drama,Thriller",530,494
1926,"Action,Adventure,Comedy",531,495
2004,"Horror,Mystery",532,496
2008,"Action,Horror",533,497
2000,"Action,Drama",534,498
2006,"Comedy,Drama,Romance",535,499
2011,"Comedy,Drama,Sport",536,500
2002 2003 2004,"Drama,Mystery & Suspense,Comedy",537,501
2001,"Crime,Drama",538,502
2003,"Animation,Adventure,Comedy",539,503
2012,"Animation,Adventure,Comedy",540,504
1952,"Crime,Drama,History",541,505
1961,"Action,Western,Adventure",542,506
1968,"Action,Adventure,Drama",543,507
2002,"Comedy,Drama",544,508
2006,"Comedy,Drama",545,284
1993,"Comedy,Drama,Romance",546,509
1992,"Drama,Romance,Thriller",547,309
1991,"Comedy,Drama,Romance",548,510
2015,Horror,549,448
1981,"Horror,Thriller",550,471
1967,"Romance,Western",551,511
1965,"Adventure,War,Western",552,512
1971,Drama,553,513
1961,Drama,554,514
1953,Western,555,515
1999,"Adventure,Comedy,Family",556,516
1992,"Comedy,Drama,Family",557,517
1996,"Action,Adventure,Comedy",558,518
1984,"Comedy,Drama,Family",559,519
1979,"Adventure,Comedy,Family",560,520
1979,"Documentary,Music",561,521
2007,"Documentary,Music",562,522
1988,"Biography,Drama,Music",563,523
1991,"Comedy,Drama",564,10
2016,Action,565,524
1981,"Drama,Romance",566,525
1983,Comedy,567,526
1992,"Action,Drama,Music",568,527
1999,"Drama,Romance",569,528
2011 2012 2013,"Drama,Romance",570,529
2006,"Comedy,Romance",571,530
2009,"Comedy,Drama,Romance",572,531
2016,"Action,Adventure,Fantasy",573,532
1989,"Action,Sci-Fi",574,533
2007,"Crime,Drama,Thriller",575,534
1987,Horror,576,535
1996,"Action,Crime,Drama",577,536
2004,"Comedy,Crime,Thriller",578,537
1998,"Action,Thriller",579,538
1999 2000 2001,Comedy,580,539
1993,"Action,Crime,Mystery",581,540
1991,"Action,Comedy,Crime",582,541
2005,"Comedy,Crime,Mystery",583,542
2009,"Crime,Drama,Thriller",584,543
1966,"Drama,Mystery,Thriller",585,544
2006,"Comedy,Drama,Fantasy",586,545
2011,"Crime,Drama",587,546
1970,"Crime,Drama",588,547
1973,"Comedy,Drama",589,548
1981,"Crime,Drama,Thriller",590,358
1971,Drama,591,513
1983,"Comedy,Romance",592,549
1978,"Comedy,Western",593,550
2013,"Action,Adventure,Western",594,551
2012,"Action,Crime,Mystery",595,552
1973,"Biography,Crime,Drama",596,553
1992,Drama,597,554
2007,"Crime,Drama,Mystery",598,555
2011,"Mystery,Sci-Fi,Thriller",599,556
1997,"Comedy,Sci-Fi",600,557
1959,"Drama,Fantasy,Horror",601,558
1954,"Horror,Sci-Fi",602,559
1958,"Adventure,Fantasy,Sci-Fi",603,560
1953,Western,604,515
1952,Western,605,226
1946,"Romance,Western",606,561
1932,"Comedy,War",607,562
1970,Drama,608,563
1935,"Crime,Drama,Romance",609,564
1936,"Comedy,Musical,Romance",610,421
1964,Comedy,611,565
2007,Documentary,612,566
1975,"Comedy,Crime,Romance",613,567
1971,"Drama,Comedy",614,568
1986,"Horror,Documentary",615,569
1987,"Sci-Fi,Horror",616,570
1971,Drama,617,513
1968,"Comedy,Musical,Fantasy",618,571
2013,"Comedy,Horror,Thriller",619,572
2015,Comedy,620,573
1994,"Drama,Romance",621,254
1948,"Crime,Drama,Thriller",622,574
1955,"Mystery,Romance,Thriller",623,575
2003,"Action,Crime,Drama",624,576
1988,Drama,625,274
1995,Drama,626,412
2001,"Drama,Mystery,Romance",627,577
2003 2004 2005,"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy",628,578
2003,"Animation,Adventure,Comedy",629,503
2005,"Documentary,Biography",630,579
2001,"Action,Adventure,Fantasy",631,580
2007,Documentary,632,566
2004,Documentary,633,581
2002,"Comedy,Crime,Drama",634,582
1955,"Musical,Romance,Western",635,583
1996,"Comedy,Drama,Romance",636,584
1955,"Crime,Drama,Film-Noir",637,585
2007,Documentary,638,566
2010,Documentary,639,27
1956,Drama,640,356
1957,Drama,641,586
1957,"Drama,Film-Noir",642,587
1948,"Comedy,Drama",643,588
1998,"Horror,Thriller",644,589
1995,"Horror,Thriller",645,590
2005,Documentary,646,325
1989,"Adventure,Comedy,Family",647,591
1992,"Adventure,Comedy,Family",648,592
1996,"Animation,Adventure,Comedy",649,593
1956,"Adventure,Biography,Drama",650,594
1993,Horror,651,595
1991,"Horror,Sci-Fi",652,596
1995,"Drama,Mystery,Thriller",653,597
2009,Documentary,654,11
2001,Documentary,655,598
2007,"Horror,Mystery,Thriller",656,599
2011,"Documentary,Comedy",657,600
1989,"Animation,Family,Fantasy",658,601
1989,Drama,659,450
1996,"Crime,Drama,Thriller",660,602
2009,"Comedy,Romance",661,289
1989,"Comedy,Drama",662,603
1948,"Action,Adventure,Romance",663,604
2010,Documentary,664,27
2010,"Documentary,Biography,Fantasy",665,605
1974,"Comedy,Crime",666,606
2000,"Action,Adventure,Comedy",667,607
1970,"Comedy,Crime,Horror",668,608
1994,"Drama,Fantasy,Horror",669,609
2000,"Biography,Drama",670,610
2013,"Action,Crime,Thriller",671,297
1969,Comedy,672,611
1957,"Drama,Western",673,612
1956,Western,674,613
2015,Comedy,675,573
1956,Drama,676,356
1949,"Drama,Romance",677,614
1977,"Comedy,Crime,Fantasy",678,615
2004,Documentary,679,581
2003,Documentary,680,616
2002,Documentary,681,617
1982,Drama,682,618
1949,"Action,Adventure,Crime",683,619
1996,"Action,Adventure,Drama",684,620
1957,"Drama,Thriller,Western",685,621
2012,"Documentary,Crime,Drama",686,622
2012,Documentary,687,455
2013,"Documentary,Biography",688,623
1987 1988 1989,Horror,689,624
2014,Documentary,690,49
2004,"Action,Crime,Drama",691,208
2012,Documentary,692,455
2004,"Action,Adventure,Biography",693,625
2004,"Action,Adventure,Drama",694,626
2003,Drama,695,65
2002,"Crime,Drama,Thriller",696,402
1993,"Crime,Drama,Thriller",697,627
1993,"Adventure,Sci-Fi,Thriller",698,628
1989,"Action,Adventure",699,629
2003 2004 2005,"Drama,Action & Adventure,Romance,Comedy",700,630
2004,"Comedy,Romance",701,631
2014,"Action,Adventure,Sci-Fi",702,301
2014,"Documentary,Biography,Comedy",703,632
1993,"Action,Sci-Fi",704,633
1994,"Action,Sci-Fi",705,634
1989,"Adventure,Fantasy",706,635
2013,Documentary,707,444
2012,Documentary,708,455
1989,"Comedy,Horror",709,636
1988,"Comedy,Horror",710,124
1938,"Biography,Drama,History",711,637
2007,Horror,712,638
1992,"Drama,Thriller",713,639
1988,"Mystery,Thriller",714,640
1992,"Crime,Drama,Romance",715,641
2012,"Crime,Sci-Fi,Thriller",716,642
2013,"Documentary,Drama,Mystery",717,643
2013,"Action,Thriller",718,644
2013,"Comedy,Crime,Drama",719,645
2015,"Documentary,Action,History",720,646
2014,"Comedy,Horror,Sci-Fi",721,647
2007,"Comedy,Drama",722,648
1997,Drama,723,649
2012,"Comedy,Drama,Romance",724,650
2013,"Comedy,Drama,Romance",725,651
2014,Comedy,726,652
2013,Comedy,727,381
2004,"Comedy,Crime",728,653
1996,"Comedy,Drama,Thriller",729,654
1996,"Biography,Drama",730,655
2001,"Crime,Drama,Thriller",731,656
2000 2001 2002,Drama,732,657
2012,"Action,Adventure,Fantasy",733,658
2011,"Mystery,Sci-Fi,Thriller",734,556
2002,"Mystery,Thriller",735,659
1955,"Horror,Sci-Fi",736,406
1957,"Action,Drama,Horror",737,660
1957,"Fantasy,Horror,Sci-Fi",738,661
1948,"Action,Mystery,Romance",739,662
1951,"Adventure,Crime,Drama",740,663
1950,Western,741,664
1955,"Romance,Western",742,665
1956,"Biography,Drama,History",743,666
1957,Western,744,667
1999,"Comedy,Short",745,668
1996,Comedy,746,669
2010,Comedy,747,670
1981,"Documentary,Comedy,Horror",748,671
1988,"Comedy,Horror",749,124
2012,"Fantasy,Horror,Sci-Fi",750,672
1992,"Comedy,Horror,Thriller",751,673
2012,Horror,752,674
2010,Horror,753,675
1984,"Drama,Music,Musical",754,676
1993,"Crime,Drama,Fantasy",755,677
2011,"Documentary,Crime",756,678
1978,Drama,757,679
1992,"Horror,Mystery,Thriller",758,680
2011,"Comedy,Drama",759,395
1949,"Comedy,Horror,Mystery",760,681
2009,"Comedy,Romance",761,289
1948,"Action,Adventure,Drama",762,682
1992,Drama,763,554
2003,"Comedy,Drama,Romance",764,683
1997,Drama,765,649
2000 2001 2002,"Action & Adventure,Comedy",766,684
2015,Sci-Fi,767,685
1990,"Drama,Horror,Sci-Fi",768,686
1956,Western,769,613
1951,Western,770,687
2012,Drama,771,688
1989,"Action,Comedy,Crime",772,689
2005,"Comedy,Drama",773,690
2001,"Comedy,Romance",774,691
