Condition,original_index,unique_index,count
heart failure,128,2,156
heart failure,129,2,156
pneumonia,130,5,235
pneumonia,131,5,235
pneumonia,132,5,235
pneumonia,133,5,235
pneumonia,134,5,235
pneumonia,135,5,235
surgical infection prevention,136,0,299
surgical infection prevention,137,0,299
surgical infection prevention,138,0,299
surgical infection prevention,139,0,299
surgical infection prevention,140,0,299
surgical infection prevention,141,0,299
surgical infection prevention,142,0,299
surgical infection prevention,143,0,299
heart attack,144,1,269
heart attack,145,1,269
heart attack,146,1,269
heart attack,147,1,269
heart attack,148,1,269
heart attack,149,1,269
heart attack,150,1,269
heart failure,151,2,156
heart failure,152,2,156
heart failure,153,2,156
heart failure,154,2,156
pneumonia,155,5,235
pneumonia,156,5,235
pneumonia,157,5,235
pneumonia,158,5,235
pneumonia,159,5,235
pneumonia,160,5,235
surgical infection prevention,161,0,299
surgical infection prevention,162,0,299
surgical infection prevention,163,0,299
surgical infection prevention,164,0,299
surgical infection prevention,165,0,299
surgical infection prevention,166,0,299
surgical infection prevention,167,0,299
surgical infection prevention,168,0,299
heart attack,169,1,269
heart attack,170,1,269
heart attack,171,1,269
heart attack,172,1,269
heart attack,173,1,269
heart attack,174,1,269
heart attack,175,1,269
heart failure,176,2,156
heart failure,177,2,156
heart failure,178,2,156
heart failure,179,2,156
pneumonia,180,5,235
pneumonia,181,5,235
pneumonia,182,5,235
pneumonia,183,5,235
pneumonia,184,5,235
pneumonia,185,5,235
surgical infection prevention,186,0,299
surgical infection prevention,187,0,299
surgical infection prevention,188,0,299
surgical infection prevention,189,0,299
surgical infection prevention,190,0,299
surgical infection prevention,191,0,299
surgical infection prevention,192,0,299
surgical infection prevention,193,0,299
heart attack,194,1,269
heart attack,195,1,269
heart attack,196,1,269
heart attack,197,1,269
heart attack,198,1,269
heaxt attack,199,7,1
heart attack,200,1,269
heart failure,201,2,156
heart failure,202,2,156
heart failure,203,2,156
heart failure,204,2,156
pneumonia,205,5,235
pneumonia,206,5,235
pneumonia,207,5,235
pneumonia,208,5,235
pneumonia,209,5,235
pneumonia,210,5,235
surgical infection prevention,211,0,299
surgical infection prevention,212,0,299
surgical infection prevention,213,0,299
surgical infection prevention,214,0,299
surgical infection prevention,215,0,299
surgical infection prevention,216,0,299
surgical infection prevention,217,0,299
surgical infection prevention,218,0,299
heart attack,219,1,269
heart attack,220,1,269
heart attack,221,1,269
heart attack,222,1,269
heart attack,223,1,269
heart attack,224,1,269
hexrt attxck,225,8,3
heart failure,226,2,156
heart failure,227,2,156
heart failure,228,2,156
heart faxlure,229,9,1
pneumonia,230,5,235
pneumonia,231,5,235
pneumonia,232,5,235
pneumonia,233,5,235
pneumonia,234,5,235
pneumonia,235,5,235
suxgical infection pxevention,236,10,2
surgical infection prevention,237,0,299
surgical infection prevention,238,0,299
surgxcal infectxon preventxon,239,11,1
surgical infection prevention,240,0,299
surgical infection prevention,241,0,299
surgical infection prevention,242,0,299
surgical infection prevention,243,0,299
heart attack,244,1,269
heart attack,245,1,269
heart attack,246,1,269
heart attack,247,1,269
heart attack,248,1,269
heart attack,249,1,269
heart attack,250,1,269
heart failure,251,2,156
heart failure,252,2,156
heart failure,253,2,156
heart failure,254,2,156
pneumonia,255,5,235
xneumonia,256,12,2
pneumonia,257,5,235
pneumonia,258,5,235
pneumonia,259,5,235
pneumonia,260,5,235
surgical infection prevention,261,0,299
surgical infection prevention,262,0,299
surgical infection prevention,263,0,299
surgical infection prevention,264,0,299
surgical infection prevention,265,0,299
surgical infection prevention,266,0,299
surgical infection prevention,267,0,299
surgical infection prevention,268,0,299
heart attack,269,1,269
heart attack,270,1,269
heart attack,271,1,269
heart attack,272,1,269
heart attack,273,1,269
heart attack,274,1,269
heart attack,275,1,269
heart failure,276,2,156
heart failure,277,2,156
heart failure,278,2,156
xeart failure,279,13,1
pneumonia,280,5,235
pneumonia,281,5,235
pneumonia,282,5,235
pneumonia,283,5,235
pneumonia,284,5,235
pneumonia,285,5,235
surgical infection prevention,286,0,299
surgical infection prevention,287,0,299
surgical infection prevention,288,0,299
surgical infection prevention,289,0,299
surgical infection prevention,290,0,299
surgical infection prevention,291,0,299
surgical infection prevention,292,0,299
surgical infection prevention,293,0,299
heart attack,294,1,269
heart attack,295,1,269
heart attack,296,1,269
heart attack,297,1,269
heart attack,298,1,269
heart attack,299,1,269
heart attack,300,1,269
heart failure,301,2,156
heart failure,302,2,156
heart failure,303,2,156
heart failure,304,2,156
pneumonia,305,5,235
pneumonia,306,5,235
pneumonia,307,5,235
pneumonia,308,5,235
pneumonia,309,5,235
pneumonia,310,5,235
children s asthma care,311,14,9
children s asthma care,312,14,9
heart attack,313,1,269
heart attack,314,1,269
heart attack,315,1,269
heart attack,316,1,269
heart attack,317,1,269
heart attack,318,1,269
heart attack,319,1,269
heart failure,320,2,156
heart failure,321,2,156
heart failure,322,2,156
heart failure,323,2,156
pneumonia,324,5,235
pneumonia,325,5,235
pneumonia,326,5,235
pneumonia,327,5,235
pneumonia,328,5,235
pneumonia,329,5,235
surgical infection prevention,330,0,299
heart failure,331,2,156
heart failure,332,2,156
heart failure,333,2,156
pneumonia,334,5,235
pneumonia,335,5,235
pneumonia,336,5,235
pneumonia,337,5,235
pneumonia,338,5,235
pneumonia,339,5,235
surgical infection prevention,340,0,299
surgical infection prevention,341,0,299
surgical infection prevention,342,0,299
surgical infection prevention,343,0,299
surgical infection prevention,344,0,299
surgical infection prevention,345,0,299
surgical infection prevention,346,0,299
surgical infection prevention,347,0,299
heart attack,348,1,269
heart attack,349,1,269
heart attack,350,1,269
heart attack,351,1,269
heart attack,352,1,269
surgical infection prevention,353,0,299
heart attack,354,1,269
heart attack,355,1,269
heart attack,356,1,269
heart attack,357,1,269
heart attack,358,1,269
heart attack,359,1,269
heart attack,360,1,269
heart failure,361,2,156
heart failure,362,2,156
heart failure,363,2,156
heart failure,364,2,156
pneumonia,365,5,235
pnxumonia,366,15,1
pneumonia,367,5,235
pneumonia,368,5,235
pnexmonia,369,16,1
pneumonia,370,5,235
surgical infection prevention,371,0,299
surgical infection prevention,372,0,299
surgical infection prevention,373,0,299
surgical infection prevention,374,0,299
surgical infection prevention,375,0,299
surgical infection prevention,376,0,299
surgical infection prevention,377,0,299
surgical infection prevention,378,0,299
heart attack,379,1,269
heart attack,380,1,269
heart attack,381,1,269
heart attack,382,1,269
heart attack,383,1,269
heart attack,384,1,269
heart attack,385,1,269
hxart failurx,386,17,2
heart failure,387,2,156
heart failure,388,2,156
heart failure,389,2,156
pneumonia,390,5,235
pneumonia,391,5,235
heart attack,392,1,269
heart attack,393,1,269
heart attack,394,1,269
heart attack,395,1,269
heart attack,396,1,269
heart attack,397,1,269
heart failure,398,2,156
heart failure,399,2,156
hxart failurx,400,17,2
heart failure,401,2,156
pneumonia,402,5,235
pneumonia,403,5,235
pneumonia,404,5,235
pneumonia,405,5,235
pneumonia,406,5,235
pneumonia,407,5,235
surgical infection prevention,408,0,299
surgical infection prevention,409,0,299
surgical infection prevention,410,0,299
surgical infection prevention,411,0,299
surgical infection prevention,412,0,299
surgical infection prevention,413,0,299
heart attack,414,1,269
heart attack,415,1,269
heart attack,416,1,269
heart attack,417,1,269
heart attack,418,1,269
heart attack,419,1,269
heart attack,420,1,269
heart failure,421,2,156
heart failure,422,2,156
heart failure,423,2,156
heart failure,424,2,156
pneumonia,425,5,235
pneumonia,426,5,235
pneumonia,427,5,235
pneumonia,428,5,235
pneumonia,429,5,235
pneumonia,430,5,235
surgical infection prevention,431,0,299
heart failure,432,2,156
heart failure,433,2,156
heart failure,434,2,156
heart failure,435,2,156
pneumonia,436,5,235
pneumonia,437,5,235
pneumonia,438,5,235
pneumonia,439,5,235
pneumonia,440,5,235
pneumonia,441,5,235
surgical infection prevention,442,0,299
surgical infection prevention,443,0,299
surgical infection prevention,444,0,299
surgical infection prevention,445,0,299
surgical infection prevention,446,0,299
surgical infection prevention,447,0,299
surgical infection prevention,448,0,299
surgical infection prevention,449,0,299
heart attack,450,1,269
heart attack,451,1,269
pneumonia,452,5,235
pneumonia,453,5,235
pneumonia,454,5,235
pneumonia,455,5,235
pneumonia,456,5,235
pneumonia,457,5,235
surgical infection prevention,458,0,299
surgical infection prevention,459,0,299
surgical infection prevention,460,0,299
surgical infection prevention,461,0,299
surgical infection prevention,462,0,299
surgical infection prevention,463,0,299
surgical infection prevention,464,0,299
surgical infection prevention,465,0,299
heart attack,466,1,269
hexrt attxck,467,8,3
heart attack,468,1,269
heart attack,469,1,269
heart attack,470,1,269
heart attack,471,1,269
heart attack,472,1,269
heart failure,473,2,156
heart failure,474,2,156
heart failure,475,2,156
heart failure,476,2,156
pneumonia,477,5,235
pneumonia,478,5,235
pneumonia,479,5,235
pneumonia,480,5,235
pneumonia,481,5,235
pneumonia,482,5,235
surgical infection prevention,483,0,299
surgical infection prevention,484,0,299
surgical infection prevention,485,0,299
surgical infection prevention,486,0,299
surgical infection prevention,487,0,299
surgical infection prevention,488,0,299
surgical infection prevention,489,0,299
surgical infection prevention,490,0,299
heart attack,491,1,269
heart attack,492,1,269
heart attack,493,1,269
heart attack,494,1,269
heart attack,495,1,269
heart attack,496,1,269
heart attack,497,1,269
heart failure,498,2,156
heart failure,499,2,156
heart failure,500,2,156
heart failure,501,2,156
pneumonia,502,5,235
pneumonia,503,5,235
pneumonia,504,5,235
pneumonia,505,5,235
pneumonix,506,18,1
pneumonia,507,5,235
surgical infection prevention,508,0,299
surgical infection prevention,509,0,299
surgical infection prevention,510,0,299
surgical infection prevention,511,0,299
surgical infection prevention,512,0,299
surgical infection prevention,513,0,299
surgical infection prevention,514,0,299
surgical infection prevention,515,0,299
heart attack,516,1,269
heart attack,517,1,269
heart attack,518,1,269
heart attack,519,1,269
heart attack,520,1,269
heart attack,521,1,269
heart attack,522,1,269
heart failure,523,2,156
heart failure,524,2,156
heart failure,525,2,156
heart failure,526,2,156
pneumonia,527,5,235
pneumonia,528,5,235
pneumonia,529,5,235
pneumonia,530,5,235
pneumonia,531,5,235
pneumonia,532,5,235
surgical infection prevention,533,0,299
surgical infection prevention,534,0,299
surgical infection prevention,535,0,299
surgical infection prevention,536,0,299
surgical infection prevention,537,0,299
surgical infection prevention,538,0,299
surgical infection prevention,539,0,299
surgical infection prevention,540,0,299
heart attack,541,1,269
heart attack,542,1,269
heart attack,543,1,269
heart attack,544,1,269
heart attack,545,1,269
heart attack,546,1,269
heart attack,547,1,269
heart failure,548,2,156
heart failure,549,2,156
heart failure,550,2,156
heart failure,551,2,156
pneumonia,552,5,235
pneumonia,553,5,235
pneumonia,554,5,235
pxeumoxia,555,19,1
pneumonia,556,5,235
pneumonia,557,5,235
surgical infection prevention,558,0,299
surgical infection prevention,559,0,299
surgical infection prevention,560,0,299
surgical infection prevention,561,0,299
surgical infection prevention,562,0,299
surgical infection prevention,563,0,299
surgical infection prevention,564,0,299
surgical infection prevention,565,0,299
heart attack,566,1,269
heart attack,567,1,269
heart attack,568,1,269
heart attack,569,1,269
heart attack,570,1,269
heart attack,571,1,269
heart attack,572,1,269
heart failure,573,2,156
heart failure,574,2,156
heart failure,575,2,156
heart failure,576,2,156
pneumonia,577,5,235
pneumonia,578,5,235
pneumonia,579,5,235
pneumonia,580,5,235
pneumonia,581,5,235
pneumonia,582,5,235
surgical infection prevention,583,0,299
surgical infection prevention,584,0,299
surgical infection prevention,585,0,299
surgical infection prevention,586,0,299
surgical infection prevention,587,0,299
surgical infection prevention,588,0,299
surgical infection prevention,589,0,299
surgical infection prevention,590,0,299
heart attack,591,1,269
heart attack,592,1,269
heart attack,593,1,269
heart attack,594,1,269
heart attack,595,1,269
heart attack,596,1,269
heart attack,597,1,269
heart failure,598,2,156
heart faixure,599,20,1
heart failure,600,2,156
heart failure,601,2,156
pneumonia,602,5,235
pneumonia,603,5,235
pneumonia,604,5,235
pneumonia,605,5,235
pneumonia,606,5,235
pneumonia,607,5,235
surgical ixfectiox prevextiox,608,21,2
surgical infection prevention,609,0,299
surgical infection prevention,610,0,299
surgical infection prevention,611,0,299
surgical infection prevention,612,0,299
surgical infection prevention,613,0,299
surgical infection prevention,614,0,299
surgical infection prevention,615,0,299
heart attack,616,1,269
heart attack,617,1,269
heart attack,618,1,269
heart attack,619,1,269
heart attack,620,1,269
heart attack,621,1,269
heart attack,622,1,269
heart failure,623,2,156
heart failure,624,2,156
heart failure,625,2,156
heart failure,626,2,156
pneumonia,627,5,235
pneumonia,628,5,235
pneumonia,629,5,235
pneumonia,630,5,235
pneumonxa,631,22,1
pneumonia,632,5,235
surgical infection prevention,633,0,299
surgical infection prevention,634,0,299
surgical infection prevention,635,0,299
surgical infection prevention,636,0,299
surgical infection prevention,637,0,299
surgical infection prevention,638,0,299
surgical infection prevention,639,0,299
surgical infection prevention,640,0,299
heart attack,641,1,269
heart attack,642,1,269
heart attack,643,1,269
heart attack,644,1,269
heart attack,645,1,269
heart attack,646,1,269
heart attack,647,1,269
heart failure,648,2,156
heart failure,649,2,156
heart failure,650,2,156
heart failure,651,2,156
pneumonia,652,5,235
pneumonia,653,5,235
pneumonia,654,5,235
pneumonia,655,5,235
pneumonia,656,5,235
pneumonia,657,5,235
surgical infection prevention,658,0,299
surgical infection prevention,659,0,299
surgical infection prevention,660,0,299
surgical infection prevention,661,0,299
surgical infection prevention,662,0,299
surgical infection prevention,663,0,299
surgical infection prevention,664,0,299
surgical infection prevention,665,0,299
heart attack,666,1,269
heart attack,667,1,269
heart attack,668,1,269
heart attack,669,1,269
heart attack,670,1,269
heart attack,671,1,269
heart attack,672,1,269
heart failure,673,2,156
heart failure,674,2,156
heart failure,675,2,156
heart failure,676,2,156
pneumonia,677,5,235
pneumonia,678,5,235
xneumonia,679,12,2
pneumonia,680,5,235
pneumonia,681,5,235
pneumonia,682,5,235
surgical infection prevention,683,0,299
surgical infection prevention,684,0,299
surgical infection prevention,685,0,299
surgical infection prevention,686,0,299
surgical infection prevention,687,0,299
surgical infection prevention,688,0,299
surgical infection prevention,689,0,299
surgical infection prevention,690,0,299
heart attack,691,1,269
heart attack,692,1,269
heart attack,693,1,269
heart attack,694,1,269
heart attaxk,695,3,3
heart attack,696,1,269
heart attack,697,1,269
hexrt fxilure,698,23,1
heart failure,699,2,156
heart failure,700,2,156
heart failure,701,2,156
pneumonia,702,5,235
pneumonia,703,5,235
pneumonia,704,5,235
pneumonia,705,5,235
pneumonia,706,5,235
pneumonia,707,5,235
surgical infection prevention,708,0,299
surgical infection prevention,709,0,299
surgical infection prevention,710,0,299
surgical infection prevention,711,0,299
surgical infection xrevention,712,24,1
surgical infection prevention,713,0,299
surgical infection prevention,714,0,299
surgical infection prevention,715,0,299
heartxattack,716,25,1
heart attack,717,1,269
heart attack,718,1,269
heart attack,719,1,269
heart attack,720,1,269
heart attack,721,1,269
heart attack,722,1,269
heart failure,723,2,156
heart failure,724,2,156
heart failure,725,2,156
heart failure,726,2,156
pneumonia,727,5,235
pneumonia,728,5,235
pneumonia,729,5,235
pneumonia,730,5,235
pneumonia,731,5,235
pneumonia,732,5,235
suxgical infection pxevention,733,10,2
surgical infection prevention,734,0,299
surgical infection prevention,735,0,299
surgical infection prevention,736,0,299
surgical infection prevention,737,0,299
surgical infection prevention,738,0,299
surgical infection prevention,739,0,299
surgical infection prevention,740,0,299
heart attack,741,1,269
heart attack,742,1,269
heart attack,743,1,269
heart attack,744,1,269
heart attack,745,1,269
heart attack,746,1,269
heart attack,747,1,269
heart failure,748,2,156
heart failure,749,2,156
heart failure,750,2,156
heart failure,751,2,156
pneumonia,752,5,235
pneumonia,753,5,235
pneumonia,754,5,235
pneumonia,755,5,235
pneumonia,756,5,235
pneumonia,757,5,235
surgical infection prevention,758,0,299
surgical infection prevention,759,0,299
surgical infection prevention,760,0,299
surgical infection prevention,761,0,299
surgical infection prevention,762,0,299
surgical infection prevention,763,0,299
surgical infection prevention,764,0,299
surgical infection prevention,765,0,299
children s asthma care,766,14,9
surgical infection prevention,767,0,299
surgical infection prevention,768,0,299
surgical infection prevention,769,0,299
surgical infection prevention,770,0,299
surgical infection prevention,771,0,299
surgical infection prevention,772,0,299
surgical infection prevention,773,0,299
children s asthma care,774,14,9
children s asthma care,775,14,9
children s asthma care,776,14,9
heart attack,777,1,269
heart attack,778,1,269
heart attack,779,1,269
heart attaxk,780,3,3
heart attack,781,1,269
heart attack,782,1,269
heart attack,783,1,269
heart failure,784,2,156
heart failure,785,2,156
heart failure,786,2,156
heart failure,787,2,156
pneumonia,788,5,235
pneumonia,789,5,235
pneumonia,790,5,235
pneumonia,791,5,235
pneumonia,792,5,235
pneumonia,793,5,235
surgical infection prevention,794,0,299
surgical infection prevention,795,0,299
surgical infection prevention,796,0,299
surgical infection prevention,797,0,299
surgical infection prevention,798,0,299
surgical infection prevention,799,0,299
surgical infection prevention,800,0,299
surgical infection prevention,801,0,299
heart attack,802,1,269
heart attack,803,1,269
heart attack,804,1,269
heart attack,805,1,269
heart attack,806,1,269
heart attack,807,1,269
heart attack,808,1,269
heart failure,809,2,156
heart failure,810,2,156
heart failure,811,2,156
heart failure,812,2,156
pneumonia,813,5,235
pneumonia,814,5,235
pneumonia,815,5,235
pneumonia,816,5,235
pneumonia,817,5,235
pneumonia,818,5,235
surgical infection prevention,819,0,299
surgical infection prevention,820,0,299
surgical infection prevention,821,0,299
surgical infection prevention,822,0,299
surgical infection prevention,823,0,299
surgical infection prevention,824,0,299
surgical infection prevention,825,0,299
surgical infection prevention,826,0,299
heart attack,827,1,269
heart attack,828,1,269
heart attack,829,1,269
heart attack,830,1,269
heart attack,831,1,269
heart attack,832,1,269
heart attack,833,1,269
heart failure,834,2,156
heart failure,835,2,156
heart failure,836,2,156
heart failure,837,2,156
pneumonia,838,5,235
pneumonia,839,5,235
pneumonia,840,5,235
pneumonia,841,5,235
pneumonia,842,5,235
pneumonia,843,5,235
surgical infection prevention,844,0,299
surgical infection prevention,845,0,299
surgical infection prevention,846,0,299
surgical infection prevention,847,0,299
surgical infection prevention,848,0,299
surgical infection prevention,849,0,299
surgical infection prevention,850,0,299
surgical infxction prxvxntion,851,26,1
heart attack,852,1,269
heart attack,853,1,269
heart attack,854,1,269
heart attack,855,1,269
heart attack,856,1,269
heart attack,857,1,269
heart attack,858,1,269
heart failure,859,2,156
heart failure,860,2,156
heart failure,861,2,156
heart failure,862,2,156
pneumonia,863,5,235
pneumonia,864,5,235
pneumonia,865,5,235
pneumonia,866,5,235
pneumonia,867,5,235
pneumonia,868,5,235
surgical ixfectiox prevextiox,869,21,2
surgical infection prevention,870,0,299
surgical infection prevention,871,0,299
surgical infection prevention,872,0,299
surgical infection prevention,873,0,299
surgical infection prevention,874,0,299
surgical infection prevention,875,0,299
surgical infection prevention,876,0,299
heart attack,877,1,269
heart attack,878,1,269
heart attack,879,1,269
heart attack,880,1,269
heart attack,881,1,269
heart attack,882,1,269
heart attack,883,1,269
heart failure,884,2,156
heart failure,885,2,156
heart failure,886,2,156
heart failure,887,2,156
pneumonia,888,5,235
pneumonia,889,5,235
pneumonia,890,5,235
pneumonia,891,5,235
pneumonia,892,5,235
pneumonia,893,5,235
surgical infection prevention,894,0,299
surgical infection prevention,895,0,299
surgical infection prevention,896,0,299
surgical infection prevention,897,0,299
surgical infection prevention,898,0,299
surgical infection prevention,899,0,299
surgical infection prevention,900,0,299
surgical infection prevention,901,0,299
children s asthma care,902,14,9
children s asthma care,903,14,9
children s asthma care,904,14,9
heart attack,905,1,269
heart attack,906,1,269
heart attack,907,1,269
heart attack,908,1,269
heart attack,909,1,269
heart attack,910,1,269
heart attack,911,1,269
heart failure,912,2,156
heart failure,913,2,156
heart failure,914,2,156
heart failure,915,2,156
pneumonia,916,5,235
pneumonia,917,5,235
pneumonia,918,5,235
pneumonia,919,5,235
pneumonia,920,5,235
pneumonia,921,5,235
surgical infection prevention,922,0,299
surgical infection prevention,923,0,299
surgical infection prevention,924,0,299
surgical infection prevention,925,0,299
surgical infection prevention,926,0,299
surgical infection prevention,927,0,299
surgical infection prevention,928,0,299
surgical infection prevention,929,0,299
heart attack,930,1,269
heart attack,931,1,269
heart attack,932,1,269
heart attack,933,1,269
heart attack,934,1,269
heart attack,935,1,269
heart attack,936,1,269
heart failure,937,2,156
heart failure,938,2,156
heart failure,939,2,156
heart failure,940,2,156
pneumonia,941,5,235
pneumonia,942,5,235
pneumonia,943,5,235
pneumonia,944,5,235
pneumonia,945,5,235
pneumonia,946,5,235
surgical infection prevention,947,0,299
surgical infection prevention,948,0,299
surgical infection prevention,949,0,299
surgical infection prevention,950,0,299
surgical infection prevention,951,0,299
surgical infection prevention,952,0,299
surgical infection prevention,953,0,299
surgical infection prevention,954,0,299
hexrt attxck,955,8,3
heart attack,956,1,269
heart attack,957,1,269
heart attack,958,1,269
heart attack,959,1,269
heart attack,960,1,269
heart attack,961,1,269
heart failure,962,2,156
heart failure,963,2,156
heart failure,964,2,156
heart failure,965,2,156
pneumonia,966,5,235
pneumonia,967,5,235
pneumonia,968,5,235
pneumonia,969,5,235
pneumonia,970,5,235
pneumonia,971,5,235
surgical infection prevention,972,0,299
surgical infection prevention,973,0,299
surgical xnfection prevention,974,27,1
surgical infection prevention,975,0,299
surgical infection prevention,976,0,299
surgical infection prevention,977,0,299
surgical infection prevention,978,0,299
surgical infection prevention,979,0,299
heart attack,980,1,269
heart attack,981,1,269
heart attack,982,1,269
heart attack,983,1,269
heart attack,984,1,269
heart attack,985,1,269
heart attack,986,1,269
heart failure,987,2,156
heart failure,988,2,156
heart failure,989,2,156
heart failure,990,2,156
pneumonia,991,5,235
pneumonia,992,5,235
pneumonia,993,5,235
pneumonia,994,5,235
pneumonia,995,5,235
pneumonia,996,5,235
surgical infection prevention,997,0,299
surgical infection prevention,998,0,299
surgical infection prevention,999,0,299
