flight,sched_arr_time,original_index,unique_index
AA-3756-ORD-SLC,2:45 p.m.,262,4
UA-2726-FLL-PHL,6:46 p.m.,263,155
CO-1090-BOS-IAH,1:16 p.m.,264,65
AA-3468-CVG-MIA,9:55 a.m.,265,6
UA-3515-IAD-MSP,10:06 a.m.,266,190
AA-484-DFW-MIA,7:55 p.m.,267,7
CO-62-IAH-EWR,7:03 p.m.,268,71
AA-446-DFW-PHL,3:50 p.m.,269,8
AA-466-IAH-MIA,9:20 a.m.,270,9
UA-3050-PHX-CLT,4:57 p.m.,271,161
CO-89-IAH-EWR,10:20 a.m.,272,78
CO-1088-CLE-IAH,10:54 a.m.,273,79
AA-1886-BOS-MIA,2:20 p.m.,274,10
AA-1664-MIA-ATL,12:10 p.m.,275,12
AA-3979-CVG-ORD,8:00 a.m.,276,13
AA-1279-DFW-PHX,2:35 p.m.,277,14
CO-1614-LAX-IAH,5:35 a.m.,278,62
AA-616-DFW-DTW,12:35 p.m.,279,15
AA-4344-ORD-DTW,2:00 p.m.,280,16
UA-2945-PHL-CLT,1:45 p.m.,281,165
AA-2525-DFW-MIA,11:10 a.m.,282,17
AA-271-MIA-LAX,2:25 p.m.,283,19
AA-2050-ORD-MIA,2:45 p.m.,284,20
AA-1434-DFW-MCO,10:35 a.m.,285,22
CO-1561-PHX-IAH,11:35 a.m.,286,72
AA-4307-ORD-DTW,9:10 p.m.,287,23
AA-3-JFK-LAX,3:15 p.m.,288,24
CO-1694-LAX-IAH,12:21 a.m.,289,191
UA-843-LAX-ORD,7:53 p.m.,290,192
CO-1193-EWR-MCO,12:18 p.m.,291,97
AA-3842-MSP-ORD,7:30 a.m.,292,25
AA-643-MIA-ORD,9:35 a.m.,293,26
UA-2906-PHL-MCO,6:23 p.m.,294,171
UA-938-DEN-ORD,7:35 p.m.,295,193
AA-1221-MCO-ORD,9:45 p.m.,296,28
CO-16-LAX-EWR,6:44 p.m.,297,105
UA-2515-DFW-CLT,10:31 a.m.,298,194
AA-400-DFW-JFK,2:59 p.m.,299,29
UA-664-ORD-PHL,4:31 p.m.,300,173
AA-1522-SFO-ORD,5:50 a.m.,301,195
UA-233-LAX-JFK,12:29 a.m.,302,196
AA-3823-LAX-DEN,12:15 a.m.,303,197
AA-2312-DFW-DTW,11:50 p.m.,304,33
AA-1165-JFK-MIA,10:34 a.m.,305,34
AA-431-MIA-SFO,11:50 a.m.,306,35
UA-257-JFK-SFO,6:15 p.m.,307,164
UA-3373-IAD-PHL,9:24 a.m.,308,198
AA-649-ORD-SNA,3:50 p.m.,309,36
CO-1250-MIA-IAH,4:48 p.m.,310,119
UA-6273-YYC-SFO,9:43 a.m.,311,199
UA-858-PVG-SFO,8:27 a.m.,312,200
UA-2704-DTW-PHX,1:40 p.m.,313,201
AA-3063-SLC-LAX,9:20 p.m.,314,37
UA-2708-EWR-CLT,4:53 p.m.,315,202
UA-62-IAH-EWR,7:03 p.m.,316,127
AA-3804-PHL-ORD,4:05 p.m.,317,38
AA-1917-JFK-MCO,5:55 p.m.,318,39
AA-2268-PHX-ORD,11:35 a.m.,319,40
UA-2314-ATL-PHL,5:00 p.m.,320,203
AA-4277-CVG-JFK,2:15 p.m.,321,41
AA-2957-DFW-CVG,11:05 a.m.,322,11
UA-37-EDI-EWR,11:53 a.m.,323,134
AA-789-ORD-DEN,2:35 p.m.,324,42
UA-854-SFO-IAH,1:39 p.m.,325,204
AA-415-BOS-ORD,10:40 a.m.,326,43
AA-85-JFK-SFO,6:30 p.m.,327,44
AA-3786-IAH-ORD,6:40 p.m.,328,46
CO-50-CLE-EWR,4:49 p.m.,329,141
UA-3099-PHX-PHL,6:17 p.m.,330,185
AA-4198-ORD-CLE,12:55 p.m.,331,30
AA-404-MIA-MCO,7:45 a.m.,332,18
CO-45-EWR-MIA,7:05 p.m.,333,145
AA-3809-PHX-LAX,6:40 a.m.,334,48
AA-59-JFK-SFO,10:45 a.m.,335,49
AA-222-LAX-BOS,3:30 p.m.,336,47
AA-3859-IAH-ORD,,337,50
CO-1586-IAH-MCO,10:15 p.m.,338,51
AA-518-MIA-JFK,,339,52
UA-397-JFK-SFO,,340,53
UA-3925-IAD-ORF,,341,54
AA-1733-ORD-PHX,,342,55
UA-2830-MCO-CLT,,343,56
CO-58-DEN-IAH,2:50 p.m.,344,57
AA-1544-SAN-ORD,,345,58
UA-5487-SFO-MRY,,346,59
AA-204-LAX-MCO,,347,60
UA-414-LAX-SFO,,348,61
CO-1614-LAX-IAH,5:35 a.m.,349,62
UA-2726-FLL-PHL,,350,63
CO-52-IAH-LAX,9:21 a.m.,351,64
CO-1090-BOS-IAH,1:16 p.m.,352,65
AA-616-DFW-DTW,,353,66
UA-3515-IAD-MSP,,354,67
AA-3468-CVG-MIA,,355,68
AA-484-DFW-MIA,,356,69
AA-1886-BOS-MIA,,357,70
CO-62-IAH-EWR,7:03 p.m.,358,71
CO-1561-PHX-IAH,11:35 a.m.,359,72
UA-2314-ATL-PHL,,360,73
AA-446-DFW-PHL,,361,74
CO-1023-IAH-DEN,1:17 p.m.,362,75
AA-466-IAH-MIA,,363,76
UA-3050-PHX-CLT,,364,77
CO-89-IAH-EWR,10:20 a.m.,365,78
CO-1088-CLE-IAH,10:54 a.m.,366,79
AA-1664-MIA-ATL,,367,80
AA-1279-DFW-PHX,,368,81
UA-854-SFO-IAH,,369,82
UA-382-IAD-LAX,,370,83
AA-4344-ORD-DTW,,371,84
UA-257-JFK-SFO,,372,85
UA-2945-PHL-CLT,,373,86
CO-63-EWR-IAH,8:22 p.m.,374,87
CO-47-IAH-LAX,8:56 p.m.,375,88
AA-2050-ORD-MIA,,376,89
UA-248-PHX-ORD,,377,90
AA-4330-CVG-ORD,4:00 p.m.,378,21
AA-1434-DFW-MCO,,379,91
AA-1640-MIA-MCO,,380,92
AA-4307-ORD-DTW,,381,93
AA-3-JFK-LAX,,382,94
CO-1694-LAX-IAH,12/2/11 12:21 a.m.,383,95
UA-843-LAX-ORD,,384,96
CO-1193-EWR-MCO,12:18 p.m.,385,97
AA-3842-MSP-ORD,,386,98
AA-643-MIA-ORD,,387,99
AA-1007-MIA-PHX,,388,100
AA-2525-DFW-MIA,,389,101
UA-2906-PHL-MCO,,390,102
UA-938-DEN-ORD,,391,103
AA-1221-MCO-ORD,,392,104
CO-16-LAX-EWR,6:44 p.m.,393,105
UA-2515-DFW-CLT,,394,106
AA-400-DFW-JFK,,395,107
UA-664-ORD-PHL,,396,108
AA-3756-ORD-SLC,,397,109
UA-37-EWR-MCO,4:17 p.m.,398,110
AA-1522-SFO-ORD,,399,111
UA-233-LAX-JFK,,400,112
AA-3823-LAX-DEN,,401,113
AA-2312-DFW-DTW,,402,114
AA-1165-JFK-MIA,,403,115
AA-431-MIA-SFO,,404,116
UA-3373-IAD-PHL,,405,117
AA-649-ORD-SNA,,406,118
CO-1250-MIA-IAH,4:48 p.m.,407,119
UA-6273-YYC-SFO,,408,120
UA-828-SFO-ORD,12/2/11 5:11 a.m.,409,121
CO-4888-IAH-DAL,,410,122
UA-858-PVG-SFO,,411,123
UA-2704-DTW-PHX,,412,124
AA-3063-SLC-LAX,,413,125
UA-2708-EWR-CLT,,414,126
UA-62-IAH-EWR,7:03 p.m.,415,127
UA-1500-IAH-GUA,11:45 a.m.,416,128
AA-3804-PHL-ORD,,417,129
AA-1917-JFK-MCO,,418,130
AA-2268-PHX-ORD,,419,131
AA-4277-CVG-JFK,,420,132
AA-2957-DFW-CVG,,421,133
UA-37-EDI-EWR,11:53 a.m.,422,134
AA-789-ORD-DEN,,423,135
AA-415-BOS-ORD,,424,136
AA-85-JFK-SFO,,425,137
AA-3979-CVG-ORD,,426,138
AA-3786-IAH-ORD,,427,139
AA-271-MIA-LAX,,428,140
CO-50-CLE-EWR,4:49 p.m.,429,141
UA-3099-PHX-PHL,,430,142
AA-4198-ORD-CLE,,431,143
AA-404-MIA-MCO,,432,144
CO-45-EWR-MIA,7:05 p.m.,433,145
AA-3809-PHX-LAX,,434,146
AA-59-JFK-SFO,,435,147
AA-222-LAX-BOS,,436,148
AA-3859-IAH-ORD,9:40 a.m.,437,0
CO-1586-IAH-MCO,,438,149
AA-518-MIA-JFK,9:25 a.m.,439,3
UA-397-JFK-SFO,11:55 a.m.,440,150
UA-3925-IAD-ORF,,441,54
AA-1733-ORD-PHX,10:30 p.m.,442,1
AA-3-JFK-LAX,3:15 p.m.,443,24
UA-2830-MCO-CLT,5:05 p.m.,444,151
CO-58-DEN-IAH,,445,152
UA-5487-SFO-MRY,,446,59
AA-204-LAX-MCO,6:55 a.m. Dec 02,447,153
UA-414-LAX-SFO,,448,61
CO-1614-LAX-IAH,,449,154
UA-2726-FLL-PHL,6:46 p.m.,450,155
CO-52-IAH-LAX,,451,156
CO-1090-BOS-IAH,,452,157
AA-616-DFW-DTW,12:35 p.m.,453,15
UA-3515-IAD-MSP,,454,67
AA-3468-CVG-MIA,9:55 a.m.,455,6
AA-484-DFW-MIA,7:55 p.m.,456,7
AA-1886-BOS-MIA,,457,70
CO-62-IAH-EWR,,458,158
CO-1561-PHX-IAH,,459,159
UA-2314-ATL-PHL,,460,73
AA-446-DFW-PHL,3:50 p.m.,461,8
CO-1023-IAH-DEN,,462,160
AA-466-IAH-MIA,9:20 a.m.,463,9
UA-3050-PHX-CLT,4:57 p.m.,464,161
CO-89-IAH-EWR,,465,162
CO-1088-CLE-IAH,,466,163
AA-1664-MIA-ATL,12:10 p.m.,467,12
AA-1279-DFW-PHX,2:35 p.m.,468,14
UA-854-SFO-IAH,,469,82
UA-382-IAD-LAX,,470,83
AA-4344-ORD-DTW,,471,84
UA-257-JFK-SFO,6:15 p.m.,472,164
UA-2945-PHL-CLT,1:45 p.m.,473,165
CO-63-EWR-IAH,,474,166
CO-47-IAH-LAX,,475,167
AA-2050-ORD-MIA,2:45 p.m.,476,20
UA-248-PHX-ORD,,477,90
AA-4330-CVG-ORD,,478,169
AA-1434-DFW-MCO,10:35 a.m.,479,22
AA-1640-MIA-MCO,7:25 p.m.,480,2
AA-4307-ORD-DTW,9:10 p.m.,481,23
CO-1694-LAX-IAH,12:21 a.m. Dec 02,482,170
UA-843-LAX-ORD,,483,96
CO-1193-EWR-MCO,12:18 p.m.,484,97
AA-3842-MSP-ORD,7:30 a.m.,485,25
AA-643-MIA-ORD,9:35 a.m.,486,26
AA-1007-MIA-PHX,,487,100
UA-2906-PHL-MCO,6:23 p.m.,488,171
UA-938-DEN-ORD,,489,103
AA-1221-MCO-ORD,9:45 p.m.,490,28
CO-16-LAX-EWR,,491,172
UA-2515-DFW-CLT,,492,106
AA-400-DFW-JFK,2:59 p.m.,493,29
UA-664-ORD-PHL,4:31 p.m.,494,173
AA-3756-ORD-SLC,2:45 p.m.,495,4
UA-37-EWR-MCO,,496,174
AA-1522-SFO-ORD,5:50 a.m. Dec 02,497,205
UA-233-LAX-JFK,12:29 a.m. Dec 02,498,176
AA-3823-LAX-DEN,12:15 a.m. Dec 02,499,177
AA-2312-DFW-DTW,11:50 p.m.,500,33
AA-1165-JFK-MIA,10:34 a.m.,501,34
AA-431-MIA-SFO,11:50 a.m.,502,35
UA-3373-IAD-PHL,,503,117
AA-649-ORD-SNA,3:50 p.m.,504,36
CO-1250-MIA-IAH,,505,178
UA-6273-YYC-SFO,,506,120
UA-828-SFO-ORD,5:11 a.m.Dec 02,507,179
CO-4888-IAH-DAL,6:40 p.m.,508,206
UA-858-PVG-SFO,,509,123
UA-2704-DTW-PHX,,510,124
AA-3063-SLC-LAX,,511,125
UA-2708-EWR-CLT,,512,126
UA-62-IAH-EWR,,513,181
UA-1500-IAH-GUA,,514,182
AA-3804-PHL-ORD,4:05 p.m.,515,38
AA-1917-JFK-MCO,5:55 p.m.,516,39
AA-2268-PHX-ORD,11:35 a.m.,517,40
AA-4277-CVG-JFK,2:15 p.m.,518,41
AA-2957-DFW-CVG,11:05 a.m.,519,11
UA-37-EDI-EWR,,520,183
AA-789-ORD-DEN,2:35 p.m.,521,42
AA-415-BOS-ORD,,522,136
AA-85-JFK-SFO,6:30 p.m.,523,44
AA-3979-CVG-ORD,8:00 a.m.,524,13
AA-1544-SAN-ORD,,525,58
AA-3786-IAH-ORD,6:40 p.m.,526,46
AA-271-MIA-LAX,2:25 p.m.,527,19
AA-2525-DFW-MIA,11:10 a.m.,528,17
CO-50-CLE-EWR,,529,184
UA-3099-PHX-PHL,6:17 p.m.,530,185
AA-4198-ORD-CLE,12:55 p.m.,531,30
AA-404-MIA-MCO,7:45 a.m.,532,18
CO-45-EWR-MIA,7:05 p.m.,533,145
AA-3809-PHX-LAX,6:40 a.m.,534,48
AA-59-JFK-SFO,10:45 a.m.,535,49
AA-222-LAX-BOS,3:30 p.m.,536,47
AA-3859-IAH-ORD,9:40 a.m.,537,0
CO-1586-IAH-MCO,10:15 p.m.,538,51
AA-518-MIA-JFK,9:25 a.m.,539,3
UA-397-JFK-SFO,11:55 a.m.,540,150
UA-3925-IAD-ORF,9:54 a.m.,541,186
AA-1733-ORD-PHX,10:30 p.m.,542,1
AA-4344-ORD-DTW,2:00 p.m.,543,16
AA-1640-MIA-MCO,7:25 p.m.,544,2
UA-2830-MCO-CLT,5:05 p.m.,545,151
CO-58-DEN-IAH,2:50 p.m.,546,57
AA-204-LAX-MCO,6:55 a.m.,547,188
UA-414-LAX-SFO,7:23 a.m.,548,189
CO-1614-LAX-IAH,5:35 a.m.,549,62
UA-2726-FLL-PHL,6:46 p.m.,550,155
CO-52-IAH-LAX,9:21 a.m.,551,64
CO-1090-BOS-IAH,1:16 p.m.,552,65
AA-3468-CVG-MIA,9:55 a.m.,553,6
UA-3515-IAD-MSP,10:06 a.m.,554,190
AA-484-DFW-MIA,7:55 p.m.,555,7
AA-616-DFW-DTW,12:35 p.m.,556,15
CO-62-IAH-EWR,7:03 p.m.,557,71
CO-63-EWR-IAH,8:22 p.m.,558,87
AA-446-DFW-PHL,3:50 p.m.,559,8
CO-1023-IAH-DEN,1:17 p.m.,560,75
AA-466-IAH-MIA,9:20 a.m.,561,9
UA-3050-PHX-CLT,4:57 p.m.,562,161
CO-89-IAH-EWR,10:20 a.m.,563,78
CO-1088-CLE-IAH,10:54 a.m.,564,79
AA-2957-DFW-CVG,11:05 a.m.,565,11
AA-1664-MIA-ATL,12:10 p.m.,566,12
AA-3979-CVG-ORD,8:00 a.m.,567,13
AA-1279-DFW-PHX,2:35 p.m.,568,14
AA-404-MIA-MCO,7:45 a.m.,569,18
AA-3756-ORD-SLC,2:45 p.m.,570,4
UA-382-IAD-LAX,3:19 p.m.,571,207
UA-2945-PHL-CLT,1:45 p.m.,572,165
CO-47-IAH-LAX,8:56 p.m.,573,88
AA-271-MIA-LAX,2:25 p.m.,574,19
AA-2050-ORD-MIA,2:45 p.m.,575,20
UA-248-PHX-ORD,5:15 p.m.,576,208
AA-4330-CVG-ORD,4:00 p.m.,577,21
AA-1434-DFW-MCO,10:35 a.m.,578,22
CO-1561-PHX-IAH,11:35 a.m.,579,72
AA-4307-ORD-DTW,9:10 p.m.,580,23
AA-3-JFK-LAX,3:15 p.m.,581,24
CO-1694-LAX-IAH,12:21 a.m.,582,191
UA-843-LAX-ORD,7:53 p.m.,583,192
CO-1193-EWR-MCO,12:18 p.m.,584,97
AA-3842-MSP-ORD,7:30 a.m.,585,25
AA-643-MIA-ORD,9:35 a.m.,586,26
AA-1007-MIA-PHX,8:05 p.m.,587,27
AA-2525-DFW-MIA,11:10 a.m.,588,17
UA-2906-PHL-MCO,6:23 p.m.,589,171
UA-938-DEN-ORD,7:35 p.m.,590,193
