ProviderNumber,HospitalOwner,original_index,unique_index,count
10007,voluntary non-profit - private,116,12,24
10007,voluntary non-profit - private,117,12,24
10007,voluntary non-profit - private,118,12,24
10008,government - federal,119,14,25
10008,government - federal,120,14,25
10008,government - federal,121,14,25
10008,government - federal,122,14,25
10008,government - federal,123,14,25
10008,government - federal,124,14,25
10008,government - federal,125,14,25
10008,government - federal,126,14,25
10008,government - federal,127,14,25
10008,government - federal,128,14,25
10008,government - federal,129,14,25
10008,government - federal,130,14,25
10008,government - federal,131,14,25
10008,government - federal,132,14,25
10008,government - federal,133,14,25
10008,government - federal,134,14,25
10008,government - federal,135,14,25
10008,government - federal,136,14,25
10008,government - federal,137,14,25
10008,government - federal,138,14,25
10008,government - federal,139,14,25
10008,government - federal,140,14,25
10008,government - federal,141,14,25
10008,government - federal,142,14,25
10008,government - federal,143,14,25
10009,proprietary,144,15,21
10009,proprietary,145,15,21
10009,proprietary,146,15,21
10009,proprietary,147,15,21
10009,proprietary,148,15,21
10009,proprietary,149,15,21
10009,proprietary,150,15,21
10009,proprietary,151,15,21
10009,proprietary,152,15,21
10009,proprietary,153,15,21
10009,proprietary,154,15,21
10009,proprietary,155,15,21
10009,proprietary,156,15,21
10009,pxopxietaxy,157,16,2
10009,proprietary,158,15,21
10009,proxrietary,159,17,1
10009,proprietary,160,15,21
10009,proprietary,161,15,21
10009,xroprietary,162,18,1
10009,proprietary,163,15,21
10009,pxopxietaxy,164,16,2
10009,proprietary,165,15,21
10009,proprietary,166,15,21
10009,proprietary,167,15,21
10009,proprietary,168,15,21
10010,government - hospital district or authority,169,19,25
10010,government - hospital district or authority,170,19,25
10010,government - hospital district or authority,171,19,25
10010,government - hospital district or authority,172,19,25
10010,government - hospital district or authority,173,19,25
10010,government - hospital district or authority,174,19,25
10010,government - hospital district or authority,175,19,25
10010,government - hospital district or authority,176,19,25
10010,government - hospital district or authority,177,19,25
10010,government - hospital district or authority,178,19,25
10010,government - hospital district or authority,179,19,25
10010,government - hospital district or authority,180,19,25
10010,government - hospital district or authority,181,19,25
10010,government - hospital district or authority,182,19,25
10010,government - hospital district or authority,183,19,25
10010,government - hospital district or authority,184,19,25
10010,government - hospital district or authority,185,19,25
10010,government - hospital district or authority,186,19,25
10010,government - hospital district or authority,187,19,25
10010,government - hospital district or authority,188,19,25
10010,government - hospital district or authority,189,19,25
10010,government - hospital district or authority,190,19,25
10010,government - hospital district or authority,191,19,25
10010,government - hospital district or authority,192,19,25
10010,government - hospital district or authority,193,19,25
10011,voluntary non-profit - private,194,20,22
10011,voluntary non-profit - private,195,20,22
10011,voluntary non-profit - private,196,20,22
10011,voluntary non-profit - private,197,20,22
10011,voluntary non-profit - private,198,20,22
10011,voluntary non-profit - private,199,20,22
10011,voluntary non-profit - private,200,20,22
10011,voluntary non-profit - private,201,20,22
10011,voluntary non-profit - private,202,20,22
10011,voluntary non-profit - private,203,20,22
10011,voluntary non-profit - private,204,20,22
10011,voluntary non-profit - private,205,20,22
10011,voluntary non-profit - private,206,20,22
10011,voluntary non-profit - private,207,20,22
10011,voluntary non-profit - private,208,20,22
10011,voluntary non-profit - private,209,20,22
10011,voluntary non-profit - private,210,20,22
10011,voluntary non-profit - private,211,20,22
10011,voluntary non-profit - private,212,20,22
x00xx,voluntary non-profit - private,213,21,1
10011,voluntary non-profit - private,214,20,22
10011,voluntary non-profit - private,215,20,22
10011,volunxary non-profix - privaxe,216,22,1
10011,voluntary non-profit - private,217,20,22
10011,voluntary nonxprofit x private,218,23,1
10012,voluntary non-profit - church,219,24,23
10012,voluntary non-profit - church,220,24,23
10012,voluntaryxnon-profitx-xchurch,221,25,1
10012,voluntary non-profit - church,222,24,23
10012,voluntary non-profit - church,223,24,23
10012,voluntary non-profit - church,224,24,23
10012,voluntary non-profit - church,225,24,23
10012,voluntary non-profit - church,226,24,23
10012,voluntary non-profit - church,227,24,23
10012,voluntary non-profit - church,228,24,23
10012,voluntary non-profit - church,229,24,23
10012,voluntary non-profit - church,230,24,23
10012,voluntary non-profit - church,231,24,23
10012,voluntary non-profit - church,232,24,23
10012,voluntary non-profit - church,233,24,23
10012,voluntary non-profit - church,234,24,23
10012,voluntary non-profit - church,235,24,23
10012,voluntary non-profit - church,236,24,23
10012,voluntary non-profit - church,237,24,23
10012,voxuntary non-profit - church,238,26,1
10012,voluntary non-profit - church,239,24,23
10012,voluntary non-profit - church,240,24,23
10012,voluntary non-profit - church,241,24,23
10012,voluntary non-profit - church,242,24,23
10012,voluntary non-profit - church,243,24,23
x00x5,government - federal,244,27,1
10015,government - federal,245,28,22
10015,government - federal,246,28,22
10015,governxent - federal,247,29,1
10015,government - federal,248,28,22
10015,government - federal,249,28,22
10015,government - federal,250,28,22
10015,government - federal,251,28,22
10015,government - federal,252,28,22
1xx15,government - federal,253,30,1
10015,government - federal,254,28,22
10015,government - federal,255,28,22
10015,government - federal,256,28,22
10015,government - federal,257,28,22
10015,government - federal,258,28,22
10015,government - federal,259,28,22
10015,government - federal,260,28,22
10015,government - federal,261,28,22
10015,government - federal,262,28,22
10015,government - federal,263,28,22
10015,government - federal,264,28,22
10015,government - federal,265,28,22
10015,government - federal,266,28,22
10015,government - federal,267,28,22
10015,government - federal,268,28,22
10016,voluntary non-profit - church,269,31,24
10016,voluntary non-profit - church,270,31,24
10016,voluntary non-profit - church,271,31,24
10016,voluntary non-profit - church,272,31,24
1xx16,voluntary non-profit - church,273,32,1
10016,voluntary non-profit - church,274,31,24
10016,voluntary non-profit - church,275,31,24
10016,voluntary non-profit - church,276,31,24
10016,voluntary non-profit - church,277,31,24
10016,voluntary non-profit - church,278,31,24
10016,voluntary non-profit - church,279,31,24
10016,voluntary non-profit - church,280,31,24
10016,voluntary non-profit - church,281,31,24
10016,voluntary non-profit - church,282,31,24
10016,voluntary non-profit - church,283,31,24
10016,voluntary non-profit - church,284,31,24
10016,voluntary non-profit - church,285,31,24
10016,voluntary non-profit - church,286,31,24
10016,voluntary non-profit - church,287,31,24
10016,voluntary non-profit - church,288,31,24
10016,voluntary non-profit - church,289,31,24
10016,voluntary non-profit - church,290,31,24
10016,voluntary non-profit - church,291,31,24
10016,voluntary non-profit - church,292,31,24
10016,voluntary non-profit - church,293,31,24
10018,voluntary non-profit - private,294,0,25
10018,voluntary non-profit - private,295,0,25
10018,voluntary non-profit - private,296,0,25
10018,voluntary non-profit - private,297,0,25
10018,voluntary non-profit - private,298,0,25
10018,voluntary non-profit - private,299,0,25
10018,voluntary non-profit - private,300,0,25
10018,voluntary non-profit - private,301,0,25
10018,voluntary non-profit - private,302,0,25
10018,voluntary non-profit - private,303,0,25
10018,voluntary non-profit - private,304,0,25
10018,voluntary non-profit - private,305,0,25
10018,voluntary non-profit - private,306,0,25
10018,voluntary non-profit - private,307,0,25
10018,voluntary non-profit - private,308,0,25
10018,voluntary non-profit - private,309,0,25
10018,voluntary non-profit - private,310,0,25
10038,proprietary,311,33,26
10038,proprietary,312,33,26
10038,prxprietary,313,34,1
100x8,proprietary,314,35,1
10038,proprietary,315,33,26
10038,proprietary,316,33,26
10038,proprietary,317,33,26
10038,proprietary,318,33,26
10038,proprietary,319,33,26
10038,proprietary,320,33,26
10038,proprietary,321,33,26
10038,proprietary,322,33,26
10038,proprietary,323,33,26
10038,proprietary,324,33,26
10038,proprietary,325,33,26
10038,proprietary,326,33,26
10038,proprietary,327,33,26
10038,proprietary,328,33,26
10038,proprietary,329,33,26
10038,proprietary,330,33,26
10055,proprietary,331,36,16
10055,proxrietary,332,37,1
10055,proprietary,333,36,16
10055,proprietary,334,36,16
10055,proprietary,335,36,16
10055,proprietary,336,36,16
10055,proprietary,337,36,16
10055,proprietary,338,36,16
10055,proprietary,339,36,16
10055,proprietary,340,36,16
10055,proprietary,341,36,16
10055,proprietary,342,36,16
10055,proprietary,343,36,16
10055,proprietary,344,36,16
10055,proprietary,345,36,16
10055,proprietary,346,36,16
10055,proprietary,347,36,16
10056,voluntary non-profit - other,348,38,5
10056,voluntary non-profit - other,349,38,5
10056,voluntary non-profit - other,350,38,5
10056,voluntary non-profit - other,351,38,5
10056,voluntary non-profit - other,352,38,5
10085,government - hospital district or authority,353,39,1
10086,proprietary,354,40,23
10086,proprietary,355,40,23
10086,prxprietary,356,41,1
10086,proprietary,357,40,23
10086,proprietary,358,40,23
10086,proprietary,359,40,23
100x6,proprietary,360,42,1
10086,proprietary,361,40,23
10086,proprietary,362,40,23
10086,proprietary,363,40,23
10086,proprietary,364,40,23
10086,proprietary,365,40,23
10086,proprietary,366,40,23
10086,proprietary,367,40,23
10086,proprietary,368,40,23
10086,proprietary,369,40,23
10086,proprietary,370,40,23
10086,proprietary,371,40,23
10086,proprietary,372,40,23
10086,proprietary,373,40,23
10086,proprietary,374,40,23
10086,proprietary,375,40,23
10086,proprietary,376,40,23
10086,proprietary,377,40,23
10086,proprietary,378,40,23
10087,government - state,379,43,13
10087,government - state,380,43,13
10087,government - state,381,43,13
10087,government - state,382,43,13
10087,government - state,383,43,13
10087,government - state,384,43,13
10087,government - state,385,43,13
10087,government - state,386,43,13
10087,government - state,387,43,13
10087,government - state,388,43,13
10087,government - state,389,43,13
10087,government - state,390,43,13
10087,government - state,391,43,13
10108,voluntary non-profit - private,392,44,19
10108,voluntary non-profit - private,393,44,19
10108,voluntary non-profit - private,394,44,19
10108,voluntary non-profit - private,395,44,19
10108,voluntary non-profit - private,396,44,19
10108,voluntary non-profit - private,397,44,19
10108,voluntary non-profit - private,398,44,19
10108,voluntary non-profit - private,399,44,19
10108,voluntary non-profit - private,400,44,19
10108,voluntary non-profit - private,401,44,19
10108,voluntary non-profit - private,402,44,19
10108,voluntary non-profit - private,403,44,19
10108,voluntary non-profit - private,404,44,19
10108,voluntary non-profit - private,405,44,19
10108,voluntary non-profit - private,406,44,19
10108,voluntary non-profit - private,407,44,19
x0x08,voluntary non-profit - private,408,45,1
10108,voluntary non-profit - private,409,44,19
10108,voluntary non-profit - private,410,44,19
10108,voluntary non-profit - private,411,44,19
10158,proprietary,412,46,2
10158,proprietary,413,46,2
10164,voluntary non-profit - other,414,47,18
10164,voluntary non-profit - other,415,47,18
10164,voluntary non-profit - other,416,47,18
10164,voluntary non-profit - other,417,47,18
10164,voluntary non-profit - other,418,47,18
10164,voluntary non-profit - other,419,47,18
10164,voluntary non-profit - other,420,47,18
10164,voluntary non-profit - other,421,47,18
10164,voluntary non-profit - other,422,47,18
10164,voluntary non-profit - other,423,47,18
10164,voluntary non-profit - other,424,47,18
10164,voluntary non-profit - other,425,47,18
10164,voluntary non-profit - other,426,47,18
10164,voluntary non-profit - other,427,47,18
10164,voluntary non-profit - other,428,47,18
10164,voluntary non-profit - other,429,47,18
10164,voluntary non-profit - other,430,47,18
10164,voluntary non-profit - other,431,47,18
20017,proprietary,432,48,17
20017,proprietary,433,48,17
20017,proprietary,434,48,17
20017,proprietary,435,48,17
20017,proprietary,436,48,17
20017,proprietary,437,48,17
20017,proprietary,438,48,17
20017,proprietary,439,48,17
20017,proprietary,440,48,17
20017,proprietary,441,48,17
20017,proprietary,442,48,17
20017,proprietary,443,48,17
20017,proprietary,444,48,17
20017,proprietary,445,48,17
20017,proprietary,446,48,17
20017,proprietary,447,48,17
20017,proprietary,448,48,17
20017,proxrietary,449,49,1
20018,government - federal,450,50,2
20018,government - federal,451,50,2
10019,government - hospital district or authority,452,1,23
10019,government - hospital district or authority,453,1,23
10019,government - hospital district or authority,454,1,23
10019,government - hospital district or authority,455,1,23
10019,gxvernment - hxspital district xr authxrity,456,51,1
10019,government - hospital district or authority,457,1,23
10019,government - hospital district or authority,458,1,23
10019,government - hospital district or authority,459,1,23
10019,government - hospital district or authority,460,1,23
10019,government - hospital district or authority,461,1,23
10019,government - hospital district or authority,462,1,23
10019,government - hospital district or authority,463,1,23
10019,government - hospital district or authority,464,1,23
10019,government - hospital district or authority,465,1,23
10021,government - hospital district or authority,466,52,25
10021,government - hospital district or authority,467,52,25
10021,government - hospital district or authority,468,52,25
10021,government - hospital district or authority,469,52,25
10021,government - hospital district or authority,470,52,25
10021,government - hospital district or authority,471,52,25
10021,government - hospital district or authority,472,52,25
10021,government - hospital district or authority,473,52,25
10021,government - hospital district or authority,474,52,25
10021,government - hospital district or authority,475,52,25
10021,government - hospital district or authority,476,52,25
10021,government - hospital district or authority,477,52,25
10021,government - hospital district or authority,478,52,25
10021,government - hospital district or authority,479,52,25
10021,government - hospital district or authority,480,52,25
10021,government - hospital district or authority,481,52,25
10021,government - hospital district or authority,482,52,25
10021,government - hospital district or authority,483,52,25
10021,government - hospital district or authority,484,52,25
10021,government - hospital district or authority,485,52,25
10021,government - hospital district or authority,486,52,25
10021,government - hospital district or authority,487,52,25
10021,government - hospital district or authority,488,52,25
10021,government - hospital district or authority,489,52,25
10021,government - hospital district or authority,490,52,25
10022,voluntary non-profit - private,491,53,24
10022,voluntary non-profit - private,492,53,24
10022,voluntaryxnon-profitx-xprivate,493,54,1
10022,voluntary non-profit - private,494,53,24
10022,voluntary non-profit - private,495,53,24
10022,voluntary non-profit - private,496,53,24
10022,voluntary non-profit - private,497,53,24
10022,voluntary non-profit - private,498,53,24
10022,voluntary non-profit - private,499,53,24
10022,voluntary non-profit - private,500,53,24
10022,voluntary non-profit - private,501,53,24
10022,voluntary non-profit - private,502,53,24
10022,voluntary non-profit - private,503,53,24
10022,voluntary non-profit - private,504,53,24
10022,voluntary non-profit - private,505,53,24
10022,voluntary non-profit - private,506,53,24
10022,voluntary non-profit - private,507,53,24
10022,voluntary non-profit - private,508,53,24
10022,voluntary non-profit - private,509,53,24
10022,voluntary non-profit - private,510,53,24
10022,voluntary non-profit - private,511,53,24
10022,voluntary non-profit - private,512,53,24
10022,voluntary non-profit - private,513,53,24
10022,voluntary non-profit - private,514,53,24
10022,voluntary non-profit - private,515,53,24
10023,voluntary non-profit - church,516,55,24
10023,voluntary non-profit - church,517,55,24
10023,voluntary non-profit - church,518,55,24
10023,voluntary non-profit - church,519,55,24
10023,voluntary non-profit - church,520,55,24
10023,voluntary non-profit - church,521,55,24
10023,voluntary non-profit - church,522,55,24
10023,voluntary non-profit - church,523,55,24
10023,voluntary non-profit - church,524,55,24
10023,voluntary non-profit - church,525,55,24
10023,volxntary non-profit - chxrch,526,56,1
10023,voluntary non-profit - church,527,55,24
10023,voluntary non-profit - church,528,55,24
10023,voluntary non-profit - church,529,55,24
10023,voluntary non-profit - church,530,55,24
10023,voluntary non-profit - church,531,55,24
10023,voluntary non-profit - church,532,55,24
10023,voluntary non-profit - church,533,55,24
10023,voluntary non-profit - church,534,55,24
10023,voluntary non-profit - church,535,55,24
10023,voluntary non-profit - church,536,55,24
10023,voluntary non-profit - church,537,55,24
10023,voluntary non-profit - church,538,55,24
10023,voluntary non-profit - church,539,55,24
10023,voluntary non-profit - church,540,55,24
10024,voluntary non-profit - private,541,57,24
10024,voluntary non-profit - private,542,57,24
10024,voluntary non-profit - private,543,57,24
10024,voluntary non-profit - private,544,57,24
10024,voluntary non-profit - private,545,57,24
10024,voluntary non-profit - private,546,57,24
10024,voluntary non-profit - private,547,57,24
10024,voluntary non-profit - private,548,57,24
10024,voluntary non-profit - private,549,57,24
10024,voluntary non-profit - private,550,57,24
10024,voluntary non-profit - private,551,57,24
10024,voluntary non-profit - private,552,57,24
10024,voluntary non-profit - private,553,57,24
10024,voluntary non-profit - private,554,57,24
10024,voluntary non-profit - private,555,57,24
10024,voluntary non-profit - private,556,57,24
10024,voluntary non-profit - private,557,57,24
10024,voluntary non-profit - private,558,57,24
1xx24,voluntary non-profit - private,559,58,1
10024,voluntary non-profit - private,560,57,24
10024,voluntary non-profit - private,561,57,24
10024,voluntary non-profit - private,562,57,24
10024,voluntary non-profit - private,563,57,24
10024,voluntary non-profit - private,564,57,24
10024,voluntary non-profit - private,565,57,24
10025,voluntary non-profit - other,566,59,24
10025,voluntary non-profit - other,567,59,24
10025,voluntary non-profit - other,568,59,24
10025,voluntary non-profit - other,569,59,24
10025,voluntary non-profit - other,570,59,24
10025,voluntary non-profit - other,571,59,24
10025,voluntary non-profit - otxer,572,60,1
10025,voluntary non-profit - other,573,59,24
10025,voluntary non-profit - other,574,59,24
10025,voluntary non-profit - other,575,59,24
10025,voluntary non-profit - other,576,59,24
10025,voluntary non-profit - other,577,59,24
10025,voluntary non-profit - other,578,59,24
10025,voluntary non-profit - other,579,59,24
10025,voluntary non-profit - other,580,59,24
10025,voluntary non-profit - other,581,59,24
10025,voluntary non-profit - other,582,59,24
10025,voluntary non-profit - other,583,59,24
10025,voluntary non-profit - other,584,59,24
10025,voluntary non-profit - other,585,59,24
10025,voluntary non-profit - other,586,59,24
10025,voluntary non-profit - other,587,59,24
10025,voluntary non-profit - other,588,59,24
10025,voluntary non-profit - other,589,59,24
10025,voluntary non-profit - other,590,59,24
10027,voluntary non-profit - other,591,61,24
10027,voluntary non-profit - other,592,61,24
10027,voluntary non-profit - other,593,61,24
10027,voluntary non-profit - other,594,61,24
10027,voluntary non-profit - other,595,61,24
10027,voluntary non-profit - other,596,61,24
10027,voluntary non-profit - other,597,61,24
10027,voluntary non-profit - other,598,61,24
10027,voluntary non-profit - other,599,61,24
10027,voluntary non-profit - other,600,61,24
10027,voluntary non-profit - other,601,61,24
10027,voluntary non-profit - other,602,61,24
10027,voluntary non-profit - other,603,61,24
10027,voluntary non-profit - other,604,61,24
10027,voluntary non-profit - other,605,61,24
10027,voluntary non-profit - other,606,61,24
10027,voluntary non-profit - other,607,61,24
x0027,voluntary non-profit - other,608,62,1
10027,voluntary non-profit - other,609,61,24
10027,voluntary non-profit - other,610,61,24
10027,voluntary non-profit - other,611,61,24
10027,voluntary non-profit - other,612,61,24
10027,voluntary non-profit - other,613,61,24
10027,voluntary non-profit - other,614,61,24
10027,voluntary non-profit - other,615,61,24
10029,government - hospital district or authority,616,63,23
10029,government - hospital district or authority,617,63,23
10029,government - hospital district or authority,618,63,23
10029,government - hospital district or authority,619,63,23
10029,government - hospital district or authority,620,63,23
10029,government - hospital district or authority,621,63,23
10029,government - hospital district or authority,622,63,23
10029,government - hospital district or authority,623,63,23
10029,government - hospital district or authority,624,63,23
10029,government - hospital district or authority,625,63,23
10029,government - hospital district or authority,626,63,23
x0029,government - hospital district or authority,627,64,1
10029,government - hospital district or authority,628,63,23
10029,government - hospital district or authority,629,63,23
10029,government - hospital district or authority,630,63,23
10029,government - hospital district or authority,631,63,23
10029,government - hospital district or authority,632,63,23
10029,government - hospital district or authority,633,63,23
10029,government - hospital district or authority,634,63,23
10029,government - hospital district or authority,635,63,23
10029,government - hospital district or authority,636,63,23
10029,government - hospital district or authority,637,63,23
10029,government - hospital district or authority,638,63,23
1xx29,government - hospital district or authority,639,65,1
10029,government - hospital district or authority,640,63,23
10032,government - local,641,66,23
10032,government - local,642,66,23
10032,government - local,643,66,23
10032,government - local,644,66,23
1xx32,government - local,645,67,2
10032,government - local,646,66,23
10032,government - local,647,66,23
10032,government - local,648,66,23
10032,government - local,649,66,23
10032,government - local,650,66,23
10032,government - local,651,66,23
10032,government - local,652,66,23
10032,government - local,653,66,23
10032,government - local,654,66,23
1xx32,government - local,655,67,2
10032,government - local,656,66,23
10032,government - local,657,66,23
10032,government - local,658,66,23
10032,government - local,659,66,23
10032,government - local,660,66,23
10032,government - local,661,66,23
10032,government - local,662,66,23
10032,government - local,663,66,23
10032,government - local,664,66,23
10032,government - local,665,66,23
10033,government - state,666,68,25
10033,government - state,667,68,25
10033,government - state,668,68,25
10033,government - state,669,68,25
10033,government - state,670,68,25
10033,government - state,671,68,25
10033,government - state,672,68,25
10033,government - state,673,68,25
10033,government - state,674,68,25
10033,government - state,675,68,25
10033,government - state,676,68,25
10033,government - state,677,68,25
10033,government - state,678,68,25
10033,government - state,679,68,25
10033,government - state,680,68,25
10033,government - state,681,68,25
10033,government - state,682,68,25
10033,government - state,683,68,25
10033,government - state,684,68,25
10033,government - state,685,68,25
10033,government - state,686,68,25
10033,government - state,687,68,25
10033,government - state,688,68,25
10033,government - state,689,68,25
10033,government - state,690,68,25
10034,voluntary non-profit - private,691,69,24
10034,voluntary non-profit - private,692,69,24
10034,voluntary non-profit - private,693,69,24
10034,voluntary non-profit - private,694,69,24
10034,voluntary non-profit - private,695,69,24
10034,voluntary non-profit - private,696,69,24
10034,voluntary non-profit - private,697,69,24
10034,voluntary non-profit - private,698,69,24
10034,voluntary non-profit - private,699,69,24
10034,voluntary non-profit - private,700,69,24
10034,voluntary non-profit - private,701,69,24
10034,voluntary non-profit - private,702,69,24
10034,voluntary non-profit - private,703,69,24
100x4,voluntary non-profit - private,704,70,1
10034,voluntary non-profit - private,705,69,24
10034,voluntary non-profit - private,706,69,24
10034,voluntary non-profit - private,707,69,24
10034,voluntary non-profit - private,708,69,24
10034,voluntary non-profit - private,709,69,24
10034,voluntary non-profit - private,710,69,24
10034,voluntary non-profit - private,711,69,24
10034,voluntary non-profit - private,712,69,24
10034,voluntary non-profit - private,713,69,24
10034,voluntary non-profit - private,714,69,24
10034,voluntary non-profit - private,715,69,24
10035,government - hospital district or authority,716,71,23
10035,government - hospital district or authority,717,71,23
10035,government - hospital district or authority,718,71,23
10035,government - hospital district or authority,719,71,23
10035,government - hospital district or authority,720,71,23
100x5,government - hospital district or authority,721,72,1
10035,government - hospital district or authority,722,71,23
10035,government - hospital district or authority,723,71,23
1xx35,government - hospital district or authority,724,73,1
10035,government - hospital district or authority,725,71,23
10035,government - hospital district or authority,726,71,23
10035,government - hospital district or authority,727,71,23
10035,government - hospital district or authority,728,71,23
10035,government - hospital district or authority,729,71,23
10035,government - hospital district or authority,730,71,23
10035,government - hospital district or authority,731,71,23
10035,government - hospital district or authority,732,71,23
10035,government - hospital district or authority,733,71,23
10035,government - hospital district or authority,734,71,23
10035,government - hospital district or authority,735,71,23
10035,government - hospital district or authority,736,71,23
10035,government - hospital district or authority,737,71,23
10035,government - hospital district or authority,738,71,23
10035,government - hospital district or authority,739,71,23
10035,government - hospital district or authority,740,71,23
10036,proprietary,741,74,23
10036,proprietary,742,74,23
10036,proprietary,743,74,23
10036,prxprietary,744,75,1
10036,proprietary,745,74,23
10036,proprietary,746,74,23
10036,proprietary,747,74,23
10036,proprietary,748,74,23
10036,proprietary,749,74,23
10036,proprietary,750,74,23
10036,proprietary,751,74,23
10036,proprietary,752,74,23
10036,proprietary,753,74,23
10036,proprietary,754,74,23
1xx36,proprietary,755,76,1
10036,proprietary,756,74,23
10036,proprietary,757,74,23
10036,proprietary,758,74,23
10036,proprietary,759,74,23
10036,proprietary,760,74,23
10036,proprietary,761,74,23
10036,proprietary,762,74,23
10036,proprietary,763,74,23
10036,proprietary,764,74,23
10036,proprietary,765,74,23
10038,proprietary,766,33,26
10038,proprietary,767,33,26
10038,proprietary,768,33,26
10038,proprietary,769,33,26
10038,proprietary,770,33,26
10038,proprietary,771,33,26
10038,proprietary,772,33,26
10038,proprietary,773,33,26
10039,government - hospital district or authority,774,77,24
10039,government - hospital district or authority,775,77,24
10039,government - hospital district or authority,776,77,24
10039,government - hospital district or authority,777,77,24
10039,government - hospital district or authority,778,77,24
10039,government - hospital district or authority,779,77,24
