ProviderNumber,City,original_index,unique_index
10021,ozark,478,48
10021,ozark,479,48
10021,ozark,480,48
10021,ozark,481,48
10021,ozark,482,48
10021,ozark,483,48
10021,ozark,484,48
10021,xzark,485,50
10021,ozark,486,48
10021,ozark,487,48
10021,ozark,488,48
10021,ozark,489,48
10021,ozark,490,48
10022,centre,491,51
10022,centre,492,51
10022,centre,493,51
10022,centre,494,51
10022,centre,495,51
10022,centre,496,51
10022,centre,497,51
10022,centre,498,51
10022,centre,499,51
10022,centre,500,51
10022,centre,501,51
10022,centre,502,51
10022,centre,503,51
10022,centre,504,51
10022,centre,505,51
10022,centre,506,51
10022,centre,507,51
10022,centre,508,51
10022,centre,509,51
10022,centre,510,51
10022,centre,511,51
10022,centre,512,51
10022,centre,513,51
10022,centre,514,51
10022,centre,515,51
10023,montgomery,516,52
10023,montxomery,517,53
10023,montgomery,518,52
10023,montgomery,519,52
10023,montgomery,520,52
10023,montgomery,521,52
10023,montgomery,522,52
10023,montgomery,523,52
10023,montgomery,524,52
10023,montgomery,525,52
10023,montgomery,526,52
10023,montgomery,527,52
10023,montgomery,528,52
10023,montgomery,529,52
10023,montgomery,530,52
10023,montgomery,531,52
10023,montgomery,532,52
10023,montgomery,533,52
10023,montgomery,534,52
10023,montgomery,535,52
10023,montgomery,536,52
10023,montgomery,537,52
10023,montgomery,538,52
10023,montgomery,539,52
10023,montgomery,540,52
10024,montgomery,541,54
10024,montgomery,542,54
10024,montgomery,543,54
10024,montgomery,544,54
10024,montgomery,545,54
10024,montgomery,546,54
10024,montgomery,547,54
10024,montgomery,548,54
10024,montgomery,549,54
10024,montgomery,550,54
10024,montgomery,551,54
10024,montgomery,552,54
10024,montgomery,553,54
10024,montgomery,554,54
10024,montgomery,555,54
10024,montgomery,556,54
10024,montgomery,557,54
10024,montgomery,558,54
1xx24,montgomery,559,55
10024,montgomery,560,54
10024,montgomery,561,54
10024,montgomery,562,54
10024,montgomery,563,54
10024,montgomery,564,54
10024,montgomery,565,54
10025,valley,566,56
10025,valley,567,56
10025,valley,568,56
10025,valley,569,56
10025,valley,570,56
10025,valley,571,56
10025,valley,572,56
10025,valley,573,56
10025,valley,574,56
10025,valley,575,56
10025,valley,576,56
10025,valley,577,56
10025,vallex,578,57
10025,valley,579,56
10025,valley,580,56
10025,valley,581,56
10025,valley,582,56
10025,valley,583,56
10025,valley,584,56
10025,valley,585,56
10025,valley,586,56
10025,valley,587,56
10025,valley,588,56
10025,valley,589,56
10025,vxlley,590,58
10027,elba,591,59
10027,elba,592,59
10027,elba,593,59
10027,elba,594,59
10027,elba,595,59
10027,elba,596,59
10027,elba,597,59
10027,elba,598,59
10027,elba,599,59
10027,elba,600,59
10027,exba,601,60
10027,elba,602,59
10027,elba,603,59
10027,elba,604,59
10027,elba,605,59
10027,elba,606,59
10027,elba,607,59
x0027,elba,608,61
10027,elba,609,59
10027,elba,610,59
10027,elba,611,59
10027,elba,612,59
10027,elba,613,59
10027,elba,614,59
10027,elba,615,59
10029,opelika,616,62
10029,opelika,617,62
10029,opelika,618,62
10029,opelika,619,62
10029,opelika,620,62
10029,opelika,621,62
10029,opelika,622,62
10029,opelika,623,62
10029,opelika,624,62
10029,opelika,625,62
10029,opelika,626,62
x0029,opelika,627,63
10029,opelika,628,62
10029,opelika,629,62
10029,opelika,630,62
10029,opelika,631,62
10029,opelika,632,62
10029,opelika,633,62
10029,opelika,634,62
10029,opelika,635,62
10029,opelika,636,62
10029,opelika,637,62
10029,opelika,638,62
1xx29,opelika,639,64
10029,opelika,640,62
10032,wedowee,641,65
10032,wedowee,642,65
10032,wedowee,643,65
10032,wedowee,644,65
1xx32,wedowee,645,66
10032,wedowee,646,65
10032,wedowee,647,65
10032,wedowee,648,65
10032,wedowee,649,65
10032,wedowee,650,65
10032,wedowee,651,65
10032,wedowee,652,65
10032,wedowee,653,65
10032,wxdowxx,654,67
1xx32,wedowee,655,66
10032,wedowee,656,65
10032,wedowee,657,65
10032,wedowee,658,65
10032,wedowee,659,65
10032,wedowee,660,65
10032,wedowee,661,65
10032,wedowee,662,65
10032,wedowee,663,65
10032,wedowee,664,65
10032,wedowee,665,65
10033,birmingham,666,68
10033,birmingham,667,68
10033,birmingham,668,68
10033,birmingham,669,68
10033,birmingham,670,68
10033,birmingham,671,68
10033,birmingham,672,68
10033,birmingham,673,68
10033,birmingham,674,68
10033,birmingham,675,68
10033,birmingham,676,68
10033,birmingham,677,68
10033,birmingham,678,68
10033,birmingham,679,68
10033,birmingham,680,68
10033,birmingham,681,68
10033,birmingham,682,68
10033,birmingham,683,68
10033,birmingham,684,68
10033,birmingham,685,68
10033,birmingham,686,68
10033,birmingham,687,68
10033,birmingham,688,68
10033,birmingham,689,68
10033,birminxham,690,69
10034,tallassee,691,70
10034,tallassee,692,70
10034,tallassee,693,70
10034,tallassee,694,70
10034,tallassee,695,70
10034,tallaxxee,696,71
10034,tallassee,697,70
10034,tallassee,698,70
10034,tallassee,699,70
10034,tallassee,700,70
10034,tallassee,701,70
10034,tallassee,702,70
10034,tallassee,703,70
100x4,tallassee,704,72
10034,tallassee,705,70
10034,tallassee,706,70
10034,tallassee,707,70
10034,tallassee,708,70
10034,tallassee,709,70
10034,tallassee,710,70
10034,tallassee,711,70
10034,tallassee,712,70
10034,tallassee,713,70
10034,tallassee,714,70
10034,tallassee,715,70
10035,cullman,716,73
10035,cullman,717,73
10035,cullman,718,73
10035,cullman,719,73
10035,cullman,720,73
100x5,cullman,721,74
10035,cullman,722,73
10035,cullman,723,73
1xx35,cullman,724,75
10035,cullman,725,73
10035,cullman,726,73
10035,cullman,727,73
10035,cullman,728,73
10035,cullman,729,73
10035,cullman,730,73
10035,cullman,731,73
10035,cullman,732,73
10035,cullman,733,73
10035,cullman,734,73
10035,cullman,735,73
10035,cuxxman,736,76
10035,cullman,737,73
10035,cullman,738,73
10035,cullman,739,73
10035,cullman,740,73
10036,andalusia,741,77
10036,andalusia,742,77
10036,andalusia,743,77
10036,andalusia,744,77
10036,andalusia,745,77
10036,andalusia,746,77
10036,andalusia,747,77
10036,andalusia,748,77
10036,andalusia,749,77
10036,andalusia,750,77
10036,andalusia,751,77
10036,andalusia,752,77
10036,andalusia,753,77
10036,andalusia,754,77
1xx36,andalusia,755,78
10036,andaluxia,756,79
10036,andalusia,757,77
10036,andalusia,758,77
10036,andalusia,759,77
10036,andalusia,760,77
10036,andalusia,761,77
10036,andalusia,762,77
10036,andalusia,763,77
10036,andalusia,764,77
10036,andalusia,765,77
10038,anniston,766,32
10038,anniston,767,32
10038,anniston,768,32
10038,anniston,769,32
10038,anniston,770,32
10038,anniston,771,32
10038,annxston,772,80
10038,anniston,773,32
10039,huntsville,774,81
10039,huntsville,775,81
10039,huntsville,776,81
10039,huntsville,777,81
10039,huntsville,778,81
10039,huntsville,779,81
1003x,huntsville,780,82
10039,huntsville,781,81
10039,huntsville,782,81
10039,huntsville,783,81
10039,huntsville,784,81
10039,huntsville,785,81
10039,huntsville,786,81
10039,huntsville,787,81
10039,huntsville,788,81
1xx39,huntsville,789,83
10039,huntsville,790,81
10039,huntsville,791,81
10039,huntsville,792,81
100x9,huntsville,793,84
10039,huntsville,794,81
10039,huntsville,795,81
10039,huntsville,796,81
10039,huntsville,797,81
10039,huntsville,798,81
10039,huntsville,799,81
10039,huntsville,800,81
10039,huntsville,801,81
10040,gadsden,802,85
10040,gadsden,803,85
10040,gadsden,804,85
10040,gadsden,805,85
10040,gadsden,806,85
10040,gadsden,807,85
10040,gadsden,808,85
10040,gadsden,809,85
10040,gadsden,810,85
10040,gadsden,811,85
10040,gadsden,812,85
10040,gadsden,813,85
10040,gadsden,814,85
10040,gadsden,815,85
10040,gadsden,816,85
10040,gadsden,817,85
10040,gadsden,818,85
10040,gadsden,819,85
10040,gadsden,820,85
10040,gxdsden,821,86
10040,gadsden,822,85
10040,gadsden,823,85
10040,gadsden,824,85
10040,gadsden,825,85
10040,gadsden,826,85
10043,clanton,827,87
10043,clanton,828,87
10043,clanton,829,87
10043,clanton,830,87
10043,clanton,831,87
10043,clanton,832,87
10043,clanton,833,87
10043,clanton,834,87
10043,clanton,835,87
10043,clanton,836,87
10043,clanton,837,87
10043,clanton,838,87
10043,clanton,839,87
10043,clanton,840,87
10043,clanton,841,87
10043,clanton,842,87
10043,clanton,843,87
10043,clanton,844,87
10043,clanton,845,87
10043,clanton,846,87
10043,clanton,847,87
10043,clanton,848,87
10043,clanton,849,87
10043,clanton,850,87
10043,clanton,851,87
10044,hamilton,852,88
10044,hamilton,853,88
10044,hamilton,854,88
10044,hamilxon,855,89
10044,hamilton,856,88
10044,hamilton,857,88
10044,hamilton,858,88
1xx44,hamilton,859,90
10044,hamilton,860,88
10044,hamilton,861,88
10044,hamilton,862,88
10044,hamilton,863,88
10044,hamilton,864,88
10044,hamilton,865,88
10044,hamilton,866,88
10044,hamilton,867,88
10044,hamilton,868,88
10044,hamilton,869,88
10044,hamilton,870,88
10044,hamilton,871,88
10044,hamilton,872,88
10044,hamilton,873,88
10044,hamilton,874,88
10044,hamilton,875,88
10044,hamilton,876,88
10045,fayette,877,91
1xx45,fayette,878,92
10045,fayette,879,91
10045,fayette,880,91
10045,fayette,881,91
10045,fayette,882,91
10045,fayette,883,91
10045,fayette,884,91
10045,fayette,885,91
10045,fayette,886,91
10045,fayette,887,91
x0045,fayette,888,93
10045,fayette,889,91
10045,fayette,890,91
10045,fayette,891,91
10045,fayette,892,91
10045,fayette,893,91
10045,fayette,894,91
10045,faxette,895,94
10045,fayette,896,91
10045,fayette,897,91
10045,fayette,898,91
10045,fayette,899,91
10045,fayette,900,91
10045,fayette,901,91
10046,gadsden,902,95
10046,gadsden,903,95
10046,gadsden,904,95
10046,gadsden,905,95
10046,gadsden,906,95
10046,gadsden,907,95
10046,gadsden,908,95
10046,gadsden,909,95
10046,gadsden,910,95
10046,gadsden,911,95
10046,gadsden,912,95
10046,gadsden,913,95
10046,gadsden,914,95
10046,gadsden,915,95
10046,gadsden,916,95
10046,gadsden,917,95
10046,gadsden,918,95
10046,gadsden,919,95
10046,gadsden,920,95
10046,gadsden,921,95
10046,gadsden,922,95
10046,gadsden,923,95
10046,gadsden,924,95
10046,gadsden,925,95
10046,gadsden,926,95
10046,gadsden,927,95
10046,gadsden,928,95
10046,gadsden,929,95
10047,georgiana,930,96
10047,georgiana,931,96
10047,georgiana,932,96
1xx47,georgiana,933,97
10047,georgiana,934,96
10047,georgiana,935,96
10047,georgiana,936,96
10047,georgiana,937,96
10047,georgiana,938,96
10047,georgiana,939,96
10047,georgiana,940,96
10047,georgiana,941,96
10047,georgiana,942,96
10047,georgiana,943,96
10047,georgiana,944,96
10047,georgiana,945,96
10047,georgiana,946,96
10047,georgiana,947,96
10047,georgiana,948,96
10047,geoxgiana,949,98
10047,georgiana,950,96
10047,georgiana,951,96
10047,georgiana,952,96
10047,georgiana,953,96
10047,georgiana,954,96
1004x,enterprise,955,99
10049,enterprise,956,100
10049,enterprise,957,100
10049,enterprise,958,100
10049,enterprise,959,100
10049,enterprxse,960,101
10049,enterprise,961,100
10049,enterprise,962,100
10049,enterprise,963,100
10049,enterprise,964,100
10049,enterprise,965,100
10049,enterprise,966,100
10049,enterprise,967,100
10049,xntxrprisx,968,102
10049,enterprise,969,100
10049,enterprise,970,100
10049,enterprise,971,100
10049,enterprise,972,100
10049,enterprise,973,100
10049,enterprise,974,100
10049,enterprise,975,100
10049,enterprise,976,100
10049,enterprise,977,100
10049,enterprise,978,100
10049,enterprise,979,100
10050,oneonta,980,103
10050,oneonta,981,103
10050,oneonta,982,103
10050,oneonta,983,103
10050,oneonta,984,103
10050,onxonta,985,104
10050,oneonta,986,103
10050,oneonta,987,103
10050,oneonta,988,103
10050,oneonta,989,103
10050,oneonta,990,103
10050,oneonta,991,103
10050,oneonta,992,103
10050,oneonta,993,103
10050,oneonta,994,103
10050,oneonta,995,103
10050,oneonta,996,103
10050,oneonta,997,103
10050,oneonta,998,103
10050,oneonta,999,103
