HospitalName,HospitalType,original_index,unique_index
dekalb regional medical center,acute care hospitals,220,18
dekalb regional medical center,acute care hospitals,221,18
dekalb regional medical center,acute care hospitals,222,18
dekalb regional medical center,acute care hospitals,223,18
dekalb regional medical center,acute care hospitals,224,18
dekalb regional medical center,acute care hospitals,225,18
dekalb regional medical center,acute care hospitals,226,18
dekalb regional medical center,acute care hospitals,227,18
dekalb regional medical center,acute care hospitals,228,18
dekalb regional medical center,acute care hospitals,229,18
dekalb regional medical center,acute care hospitals,230,18
dekalb regional medical center,acute care hospitals,231,18
dekalb regional medical center,acute care hospitals,232,18
dekalb regional medical center,acute care hospitals,233,18
dekalb regional medical center,acute care hospitals,234,18
dekalb regional medical center,acute care hospitals,235,18
dekalb regional medical center,acute care hospitals,236,18
dekalb regional medical center,acute care hospitals,237,18
dekalb regional medical center,acute care hospitals,238,18
dekalb regional medical center,acute care hospitals,239,18
dekalb regional medical center,acute care hospitals,240,18
dekalb regional medical center,acute care hospitals,241,18
dekalb regional medical center,acute care hospitals,242,18
dexalb regional medical center,acute care hospitals,243,19
southwest alabama medical center,acute care hospitals,244,20
southwest alabama medical center,acute care hospitals,245,20
southwest alabama medical center,acute care hospitals,246,20
southwest alabama medical center,acute care hospitals,247,20
southwest alabama medical center,acute care hospitals,248,20
southwest alabama medical center,acute care hospitals,249,20
southwest alabama medical center,acute care hospitals,250,20
southwest alabama medical center,acute care hospitals,251,20
southwest alabama medical center,acute care hospitals,252,20
southwest alabama medical center,acute care hospitals,253,20
southwest alabama medical center,acute care hospitals,254,20
southwest alabama medical center,acute care hospitals,255,20
southwest alabama medical center,acute care hospitals,256,20
southwest alabama medical center,acute care hospitals,257,20
southwest alabama medical center,acute care hospitals,258,20
southwest alabama medical center,acute care hospitals,259,20
southwest alabama medical center,acute care hospitals,260,20
southwest alabama medical center,acute care hospitals,261,20
southwest alabama medical center,acute care hospitals,262,20
southwest alabama medical center,acute care hospitals,263,20
southwest alabama medical center,acute care hospitals,264,20
southwest alabama medical center,acute care hospitals,265,20
southwest alabama medical center,acuxe care hospixals,266,21
southwest alabama medical center,acute care hospitals,267,20
southwest alabama medical center,acute care hospitals,268,20
shelby baptist medical center,acute care hospitals,269,22
shelby baptist medical center,acute care hospitals,270,22
shelby baptist medical center,acute care hospitals,271,22
shelby baptist medical center,acute care hospitals,272,22
shelby baptist medical center,acute care hospitals,273,22
shelby baptist medical center,acute care hospitals,274,22
shelby baptist medical center,acute care hospitals,275,22
shelby baptist medical center,acute care hospitals,276,22
shelby baptist medical center,acute care hospitals,277,22
shelby baptist medical center,acute care hospitals,278,22
shelby baptist medical center,acute care hospitals,279,22
shelby baptist medical center,acutexcarexhospitals,280,23
shelby baptist medical center,acute care hospitals,281,22
shelby baptist medical center,acute care hospitals,282,22
shelby baptist medical center,acute care hospitals,283,22
shelby baptist medical center,acute care hospitals,284,22
shelby baptist medical center,acute care hospitals,285,22
shelby baptist medical center,acute care hospitals,286,22
shelby baptist medical center,acute care hospitals,287,22
shelby baptist medical center,acute care hospitals,288,22
shelby baptist medical center,acute care hospitals,289,22
shelby baptist medical center,acute care hospitals,290,22
shelby baptist medical center,acute care hospitals,291,22
shelby baptist medical center,acute care hospitals,292,22
shelby baptist medical center,acuxe care hospixals,293,24
callahan eye foundation hospital,acute care hospitals,294,0
callahan eye foundation hospital,acute care hospitals,295,0
callahan eye foundation hospital,acute care hospitals,296,0
callahan eye foundation hospital,acute care hospitals,297,0
callahan eye foundation hospital,acute care hospitals,298,0
callahan eye foundation hospital,acute care hospitals,299,0
callahan eye foundation hospital,acute care hospitals,300,0
callahan eye foundation hospital,acute care hospitals,301,0
callahan eye foundation hospital,acute care hospitals,302,0
callahan eye foundation hospital,acute care hospitals,303,0
callahan eye foundation hospital,acute care hospitals,304,0
callahan eye foundation hospital,acute care hospitals,305,0
callahan eye foundation hospital,acute care hospitals,306,0
callahan eye foundation hospital,acute care hospitals,307,0
callahan eye foundation hospital,acute care hospitals,308,0
callahan eye foundation hospital,acute care hospitals,309,0
callahan eye foundation hospital,acute care hospitals,310,0
stringfellow memorial hospital,acute care hospitals,311,25
stringfellow memorial hospital,acute care hospitals,312,25
stringfellow memorial hospital,acute care hospitals,313,25
stringfellow memorial hospital,acute care hospitals,314,25
stringfellow memorial hospital,acute care hospitals,315,25
stringfellow memorial hospital,acute care hospitals,316,25
stringfellow memorial hospital,acute care hospitals,317,25
stringfellow memorial hospital,acute care hospitals,318,25
stringfellow memorial hospital,acute care hospitals,319,25
stringfellow memorial hospital,acute care hospitals,320,25
stringfellow memorial hospital,acute care hospitals,321,25
stringfellow memorial hospital,acute care hospitals,322,25
stringfellow memorial hospital,acute care hospitals,323,25
stringfellow memorial hospital,acute care hospitals,324,25
stringfellow memorial hospital,acute care hospitals,325,25
stringfellow memorial hospital,acute care hospitals,326,25
stringfellow memorial hospital,acute care hospitals,327,25
stringfellow memorial hospital,acute care hospitals,328,25
stringfellow memorial hospital,acute care hospitals,329,25
stringfellow memorial hospital,acute care hospitals,330,25
flowers hospital,acute care hospitals,331,26
flowers hospital,acute care hospitals,332,26
flowers hospital,acute care hospitals,333,26
flowers hospital,acute care hospitals,334,26
flowers hospital,acute care hospitals,335,26
flowers hospital,acute care hospitals,336,26
floxers hospital,acute care hospitals,337,27
flowers hospital,acute care hospitals,338,26
flowers hospital,acute care hospitals,339,26
flowers hospital,acute care hospitals,340,26
flowers hospital,acute care hospitals,341,26
flowers hospital,acute care hospitals,342,26
flowers hospital,acute care hospitals,343,26
flowers hospital,acute care hospitals,344,26
flowers hospital,acute care hospitals,345,26
flowers hospital,acute care hospitals,346,26
flowers hospital,acute care hospitals,347,26
st vincents hospital,acute care hospitals,348,28
st vincents hospital,acute care hospitals,349,28
st vincents hospital,acute care hospitals,350,28
st vincents hospital,acute care hospitals,351,28
st vincents hospital,acute care hospitals,352,28
decatur general hospital,acute care hospitals,353,29
northwest medical center,acute care hospitals,354,30
northwest medical center,acute care hospitals,355,30
northwest medical center,acute care hospitals,356,30
northwest medical center,acute care hospitals,357,30
northwest medical center,acute care hospitals,358,30
northwest medical center,acute care hospitals,359,30
northwest medical center,acute care hospitals,360,30
northwest medical center,acute care hospitals,361,30
northwest medical center,acute care hospitals,362,30
northwest medical center,acute care hospitals,363,30
northwest medical center,acute care hospitals,364,30
northwest medical center,acute care hospitals,365,30
northwest medical center,acute care hospitals,366,30
northwest medical center,acute care hospitals,367,30
northwest medical center,acute care hospitals,368,30
northwest medical center,acute care hospitals,369,30
northwest medical center,acute care hospitals,370,30
northwest medical center,acute care hospitals,371,30
northwest medical center,acute care hospitals,372,30
northwest medical center,acute care hospitals,373,30
northwest medical center,acute care hospitals,374,30
northwest medical center,acute care hospitals,375,30
northwest medical center,acute care hospitals,376,30
northwest medical center,acute care hospitals,377,30
northwest medical center,acute care hospitals,378,30
univ of south alabama medical center,acute care hospitals,379,31
univ of south alabama medical center,acute care hospitals,380,31
univ of south alabama medical center,acute care hospitals,381,31
univ of south alabama medical center,acute care hospitals,382,31
univ of south alabama medical center,acute care hospitals,383,31
univ ox south alabama medical center,acute care hospitals,384,32
xniv of soxth alabama medical center,acute care hospitals,385,33
univ of south alabama medical center,acute care hospitals,386,31
univ of south alabama medical center,acute care hospitals,387,31
univ of south alabama medical center,acute care hospitals,388,31
univ of south alabama medical center,acute care hospitals,389,31
univ of south alabama medical center,acute care hospitals,390,31
univ of south alabama medical center,acute care hospitals,391,31
prattville baptist hospital,acute care hospitals,392,34
prattville baptist hospital,acute care hospitals,393,34
prattville baptist hospital,acute care hospitals,394,34
prattville baptist hospital,acute care hospitals,395,34
prattville baptist hospital,acute care hospitals,396,34
prattville baptist hospital,acute care hospitals,397,34
prattville baptist hospital,acute care hospitals,398,34
prattville baptist hospital,acute care hospitals,399,34
prattville baptist hospital,acute care hospitals,400,34
prattville baptist hospital,acute care hospitals,401,34
prattville baptist hospital,acute care hospitals,402,34
prattville baptist hospital,acute care hospitals,403,34
prattville baptist hospital,acute care hospitals,404,34
prattville baptist hospital,acute care hospitals,405,34
prattville baptist hospital,acute care hospitals,406,34
prattville baptist hospital,acute care hospitals,407,34
prattville baptist hospital,acute care hospitals,408,34
prattville baptist hospital,acute care hospitals,409,34
prattville baptist hospital,acute care hospitals,410,34
prattville baptist hospital,acute care hosxitals,411,35
russellville hospital,acute care hospitals,412,36
russellville hospital,acuxe care hospixals,413,37
coosa valley medical center,acute care hospitals,414,38
coosa valley medical center,acute care hospitals,415,38
coosa valley medical center,acute care hospitals,416,38
coosa valley medical center,acute care hospitals,417,38
coosa valley medical center,acute care hospitals,418,38
coosa valley medical center,acute care hospitals,419,38
coosa valley medical center,acute care hospitals,420,38
coosa valley medical center,acute care hospitals,421,38
coosa valley medical center,acute care hospitals,422,38
coosa valley medical center,acute care hospitals,423,38
coosa valley medical center,acute care hospitals,424,38
coosa valley medical center,acute care hospitals,425,38
coosa valley medical center,acute care hospitals,426,38
coosa valley medical center,acute care hospitals,427,38
coosa valley medical center,acute care hospitals,428,38
coosa valley medical center,acute care hospitals,429,38
coosa valley medical center,acute care hospitals,430,38
coosa valley medical center,acute care hospitals,431,38
alaska regional hospital,acute care hospitals,432,39
alaska regional hospital,acute care hospitals,433,39
alaska regional hospital,acute care hospitals,434,39
alaska regional hospital,acute care hospitals,435,39
alaska regional hospital,acute care hospitals,436,39
alaska regional hospital,acute care hospitals,437,39
alaska regional hospital,acute care hospitals,438,39
alaska regional hospital,acute care hospitals,439,39
alaska regional hospital,acute care hospitals,440,39
alaska regional hospital,acute care hospitals,441,39
alaska regional hospital,acute care hospitals,442,39
alaska regional hospital,acute care hospitals,443,39
alaska regional hospital,acute care hospitals,444,39
alaska regional hospital,acute care hospitals,445,39
alaska regional hospital,acute care hospitals,446,39
alaska regional hospital,acute care hospitals,447,39
xlxskx regionxl hospitxl,acute care hospitals,448,40
alaska regional hospital,acute care hospitals,449,39
yukon kuskokwim delta reg hospital,acute care hospitals,450,41
yukon kuskokwim delta reg hospital,acute care hospitals,451,41
helen keller memorial hospital,acute care hospitals,452,1
helen keller memorial hospital,acute care hospitaxs,453,42
helen keller memorial hospital,acute care hospitals,454,1
helen keller memorial hospital,acute care hospitals,455,1
helen keller memorial hospital,acute care hospitals,456,1
helen keller memorial hospital,acute care hospitals,457,1
helen keller memorial hospital,acute care hospitals,458,1
helen keller memorial hospital,acute care hospitals,459,1
helen keller memorial hospital,acute care hospitals,460,1
helen keller memorial hospital,acute care hospitals,461,1
helen keller memorial hospital,acute care hospitals,462,1
helen keller memorial hospital,acute care hospitals,463,1
helen keller memorial hospital,acute care hospitals,464,1
helen keller memorial hospital,acute care hospitals,465,1
dale medical center,acute care hospitals,466,43
dale medical center,acute care hospitals,467,43
dale medical center,acute care hospitals,468,43
dale medical center,acute care hospitals,469,43
dale medical center,acute care hospitals,470,43
dale medical center,acute care hospitals,471,43
dale medical center,acute care hospitals,472,43
dale medical center,acute care hospitals,473,43
dale medical center,acute care hospitals,474,43
dale medical center,acute care hospitals,475,43
dale medical center,acute care hospitals,476,43
dale medical center,acute care hospitals,477,43
dale medical center,acute care hospitals,478,43
dale medical center,acute care hospitals,479,43
dale medical center,acute care hospitals,480,43
dale medical center,acute care hospitals,481,43
dale medical center,acute care hospitals,482,43
dale medical center,acute care hospitals,483,43
dale medical center,acute care hospitals,484,43
dale medical center,acute care hospitals,485,43
dale medical center,acute care hospitals,486,43
dale medical center,acute care hospitals,487,43
dale medical center,acute care hospitals,488,43
dale medical center,acute care hospitals,489,43
dale medical center,acute caxe hospitals,490,44
cherokee medical center,acute care hospitals,491,45
cherokee medical center,acute care hospitals,492,45
cherokee medical center,acute care hxspitals,493,46
cherokee medical center,acute care hospitals,494,45
cherokee medical center,acute care hospitals,495,45
cherokee medical center,acute care hospitals,496,45
cherokee medical center,acutx carx hospitals,497,47
cherokee medical center,acute care hospitals,498,45
cherokee medical center,acute care hospitals,499,45
cherokee medical center,acute care hospitals,500,45
cherokee medical center,acute care hospitals,501,45
cherokee medical center,acute care hospitals,502,45
cherokee medical center,acute care hospitals,503,45
cherokee medical center,acute care hospitals,504,45
cherokee medical center,acute care hospitals,505,45
cherokee medical center,acute care hospitals,506,45
cherokee medical center,acute care hospitals,507,45
cherokee medical center,acute care hospitals,508,45
cherokee medical center,acute care hospitals,509,45
cherokee medical center,acute care hospitals,510,45
cherokee medical center,acuxe care hospixals,511,48
cherokee medical center,acute care hospitals,512,45
cherokee medical center,acute care hospitals,513,45
cherokee medical center,acute care hospitals,514,45
cherokee medical center,acute care hospitals,515,45
baptist medical center south,acute care hospitals,516,49
baptist medical center south,acute care hospitals,517,49
baptist medical center south,acute care hospitals,518,49
baptist medical center south,acute care hospitals,519,49
baptist medical center south,acute care hospitals,520,49
baptist medical center south,acute care hospitals,521,49
baptist medical center south,acute care hospitals,522,49
baptist medical center south,acute care hospitals,523,49
baptist medical center south,acute care hospitals,524,49
baptist medical center south,acute care hospitals,525,49
baptist medical center south,acute care hospitals,526,49
baptist medical center south,acute care hospitals,527,49
baptist medical center south,acute care hospitals,528,49
baptist medical center south,acute care hospitals,529,49
baptist medical center south,acute care hospitals,530,49
baptist medical center south,acute care hospitals,531,49
baptist medical cexter south,acute care hosxitals,532,50
baptist medical center south,acute care hospitals,533,49
baptist medical center south,acute care hospitals,534,49
baptist medical center south,acute care hospitals,535,49
baptist medical center south,acute care hospitals,536,49
baptist medical center south,acute care hospitals,537,49
baptist medical center south,acute care hospitals,538,49
baptist medical center south,acute care hospitals,539,49
baptist medical center south,acute care hospitals,540,49
jackson hospital & clinic inc,acute care hospitals,541,51
jackson hospital & clinic inc,acute care hospitals,542,51
jackson hospital & clinic inc,acute care hospitals,543,51
jackson hospital & clinic inc,acute care hospitals,544,51
jackson hospital & clinic inc,acute care hospitals,545,51
jackson hospital & clinic inc,acute care hospitals,546,51
jackson hospital & clinic inc,acute care hospitals,547,51
jackson hospital & clinic inc,acute care hospitals,548,51
jackson hospital & clinic inc,acute care hospitals,549,51
jackson hospital & clinic inc,acute care hospitals,550,51
jackson hospital & clinic inc,acute care hospitals,551,51
jackson hospital & clinic inc,acute care hospitals,552,51
jackson hospital & clinic inc,acute care hospitals,553,51
jackson hospital & clinic inc,acute care hospitals,554,51
jackson hospital & clinic inc,acute care hospitals,555,51
jackson hospital & clinic inc,acute care hospitals,556,51
jackson hospital & clinic inc,acute care hospitals,557,51
jackson hospital & clinic inc,acute care hospitals,558,51
jackson hospital & clinic inc,acute care hospitals,559,51
jaxkson hospital & xlinix inx,acute care hospitals,560,52
jackson hospital & clinic inc,acute care hospitals,561,51
jackson hospital & clinic inc,acute care hospitals,562,51
jackson hospital & clinic inc,acute care hospitals,563,51
jackson hospital & clinic inc,acute care hospitals,564,51
jackson hospital & clinic inc,acute care hospitals,565,51
g h lanier memorial hospital,acute care hospitals,566,53
g h lanier memorial hospital,acute care hospitals,567,53
g h lanier memorial hospital,acute care hospitals,568,53
g h lanier memorial hospital,acute care hospitals,569,53
g h lanier memorial hospital,acute care hospitals,570,53
g h lanier memorial hospital,acute care hospitals,571,53
g h lanier memorial hospital,acute care hospitals,572,53
g h lanier memorial hospital,acute care hospitals,573,53
g h lanier memorial hospital,acute care hospitals,574,53
g h lanier memorial hospital,acute care hospitals,575,53
g h lanier memorial hospital,acute care hospitals,576,53
g h lanier memorial hospital,acute care hospitals,577,53
g h lanier memorial hospital,acute care hospitals,578,53
g h lanier memorial hospital,acute care hospitals,579,53
g h lanier memorial hospital,acute care hospitals,580,53
g h lanier memorial hospital,acute care hospitals,581,53
g h lanier memorial hospital,acute care hospitals,582,53
g h lanier memorial hospital,acute care hospitals,583,53
g h lanier memorial hospital,acute care hospitals,584,53
g h lanier memorial hospital,acute care hospitals,585,53
g h lanier memorial hospital,acute care hospitals,586,53
g h lanier memorial hospital,acute care hospitals,587,53
g h lanier memorial hospital,acuxe care hospixals,588,54
g h lanier memorial hospital,acute care hospitals,589,53
g h lanier memorial hospital,acute care hospitals,590,53
elba general hospital,acute care hospitals,591,55
elba general hospital,acute care hospitals,592,55
elba general hospital,acute care hospitals,593,55
elba general hospital,acute care hospitals,594,55
elba general hospital,acute care hospitals,595,55
elba general hospital,acute care hospitals,596,55
elba general hospital,acute care hospitals,597,55
elba general hospital,acute care hospitals,598,55
elba general hospital,acute care hospitals,599,55
elba general hospital,acute care hospitals,600,55
elba general hospital,acute care hospitals,601,55
elba general hospital,acute care hospitals,602,55
elba general hospital,acute care hospitals,603,55
elba general hospital,acute care hospitals,604,55
elba general hospital,acute care hospitals,605,55
elba general hospital,acute care hospitals,606,55
elba general hospital,acute care hospitals,607,55
elba general hospital,acute care hospitals,608,55
elba general hospital,acute care hospitals,609,55
elba general hospital,acute care hospitals,610,55
elba general hospital,acute care hospitals,611,55
elba general hospital,acute care hospitals,612,55
elba general hospital,acute care hospitals,613,55
elba general hospital,acute care hospitals,614,55
elba general hospital,acute care hospitals,615,55
east alabama medical center and snf,acute care hospitals,616,56
east alabama medical center and snf,acute care hospitals,617,56
east alabama medical center and snf,acute care hospitals,618,56
east alabama medical center and snf,acute care hospitals,619,56
east alabama medical center and snf,acute care hospitals,620,56
east alabama medical center and snf,acute care hospitals,621,56
east alabama medical center and snf,acute care hospitals,622,56
east alabama medical center and snf,acute care hospitals,623,56
east alabama medical center and snf,acute care hospitals,624,56
east alabama medical center and snf,acute care hospitals,625,56
east alabama medical center and snf,acute care hospitals,626,56
east alabama medical center and snf,acute care hospitals,627,56
east alabama medical center and snf,acute care hospitals,628,56
east alabama medical center and snf,acute care hospitals,629,56
east alabama medical center and snf,acute care hospitals,630,56
east alabama medical center and snf,acute care hospitals,631,56
east alabama medical center and snf,acute care hospitals,632,56
east alabama medical center and snf,acute care hospitals,633,56
east alabama medical center and snf,acuxe care hospixals,634,57
east alabama medical center and snf,acute care hospitals,635,56
east alabama medical center and snf,acute care hospitals,636,56
east alabama medical center and snf,acute care hospitals,637,56
east alabama medical center and snf,acute care hospitals,638,56
east alabama medical center and snf,acute care hospitals,639,56
east alabama medical center and snf,acute care hospitals,640,56
wedowee hospital,acute care hospitals,641,58
wedowee hospital,acute care hospitals,642,58
wedowee hospital,acute care hospitals,643,58
wedowee hospital,acute care hospitals,644,58
wedowee hospital,acute care hospitals,645,58
wedowee hospital,acute care hospitals,646,58
