State,MeasureCode,original_index,unique_index,count
al,scip-inf-6,116,5,36
al,scip-vte-1,117,6,33
al,scip-vte-2,118,7,38
ax,ami-1,119,33,1
al,axi-2,120,34,1
al,ami-3,121,10,37
al,ami-4,122,11,38
al,ami-5,123,12,38
al,ami-7a,124,13,39
al,ami-8a,125,14,37
al,hf-1,126,15,33
al,hf-2,127,16,38
al,hf-3,128,17,37
al,hf-4,129,18,38
al,pn-2,130,19,37
al,pn-3b,131,20,39
al,pn-4,132,21,35
al,pn-5c,133,22,35
al,pn-6,134,23,38
al,pn-7,135,24,39
al,scip-card-2,136,0,37
al,scip-inf-1,137,1,36
al,scip-inf-2,138,2,37
al,scip-inf-3,139,3,36
ax,scip-inf-4,140,35,2
al,scip-inf-6,141,5,36
al,scip-vte-1,142,6,33
al,scip-vte-2,143,7,38
al,ami-1,144,8,36
al,ami-2,145,9,37
al,ami-3,146,10,37
al,ami-4,147,11,38
al,ami-5,148,12,38
al,ami-7a,149,13,39
al,ami-8a,150,14,37
al,hf-1,151,15,33
al,hf-2,152,16,38
al,hf-3,153,17,37
al,hf-4,154,18,38
al,pn-2,155,19,37
al,pn-3b,156,20,39
al,pn-4,157,21,35
al,pn-5c,158,22,35
al,pn-6,159,23,38
al,pn-7,160,24,39
al,scip-card-2,161,0,37
al,scip-inf-1,162,1,36
al,scip-inf-2,163,2,37
al,scip-inf-3,164,3,36
ax,scip-inf-4,165,35,2
al,scip-inf-6,166,5,36
al,scip-vte-1,167,6,33
al,scip-vte-2,168,7,38
al,ami-1,169,8,36
al,ami-2,170,9,37
al,ami-3,171,10,37
al,ami-4,172,11,38
al,ami-5,173,12,38
al,ami-7a,174,13,39
al,ami-8a,175,14,37
al,hf-1,176,15,33
al,hf-x,177,36,1
al,hf-3,178,17,37
al,hf-4,179,18,38
al,pn-2,180,19,37
al,pn-3b,181,20,39
xl,pn-4,182,37,1
al,pn-5c,183,22,35
al,pn-6,184,23,38
al,pn-7,185,24,39
al,scip-card-2,186,0,37
al,scip-inf-1,187,1,36
al,scip-inf-2,188,2,37
al,scip-inf-3,189,3,36
al,scip-inx-4,190,38,1
al,scip-inf-6,191,5,36
al,scip-vte-1,192,6,33
al,scip-vte-2,193,7,38
al,ami-1,194,8,36
al,ami-2,195,9,37
al,ami-3,196,10,37
al,ami-4,197,11,38
al,ami-5,198,12,38
al,ami-7a,199,13,39
al,ami-8a,200,14,37
al,hf-1,201,15,33
al,hf-2,202,16,38
al,hf-3,203,17,37
al,hf-4,204,18,38
al,pn-2,205,19,37
al,pn-3b,206,20,39
al,pn-4,207,21,35
al,pn-5c,208,22,35
al,pn-6,209,23,38
al,pn-7,210,24,39
al,scip-card-2,211,0,37
al,scip-inf-1,212,1,36
al,scip-inf-2,213,2,37
al,scip-inf-3,214,3,36
al,scip-inf-4,215,4,33
al,scip-inf-6,216,5,36
al,scip-vte-1,217,6,33
al,scip-vte-2,218,7,38
al,ami-1,219,8,36
al,ami-2,220,9,37
al,ami-3,221,10,37
al,ami-4,222,11,38
al,ami-5,223,12,38
al,ami-7a,224,13,39
al,ami-8a,225,14,37
al,hf-1,226,15,33
al,hf-2,227,16,38
ax,hf-3,228,39,1
al,hf-4,229,18,38
al,pn-2,230,19,37
al,pn-3b,231,20,39
al,pn-4,232,21,35
al,pn-5c,233,22,35
al,pn-6,234,23,38
al,pn-7,235,24,39
al,scip-card-2,236,0,37
al,scip-inf-1,237,1,36
al,scip-inf-2,238,2,37
al,scip-inf-3,239,3,36
al,scip-inf-4,240,4,33
al,scip-inf-6,241,5,36
al,scip-vte-1,242,6,33
al,scip-vte-2,243,7,38
al,ami-1,244,8,36
al,ami-2,245,9,37
al,ami-3,246,10,37
al,ami-4,247,11,38
al,ami-5,248,12,38
al,ami-7a,249,13,39
al,ami-8a,250,14,37
al,hf-1,251,15,33
al,hf-2,252,16,38
al,hf-3,253,17,37
al,hf-4,254,18,38
al,pn-2,255,19,37
al,pn-3b,256,20,39
al,pn-4,257,21,35
al,pn-5c,258,22,35
al,pn-6,259,23,38
al,pn-7,260,24,39
al,scip-card-2,261,0,37
al,scip-inf-1,262,1,36
al,scip-inf-2,263,2,37
al,scxp-xnf-3,264,40,1
al,scip-inf-4,265,4,33
al,scip-inf-6,266,5,36
al,scip-vte-1,267,6,33
al,scip-vte-2,268,7,38
al,ami-1,269,8,36
al,ami-2,270,9,37
al,ami-3,271,10,37
al,ami-4,272,11,38
al,ami-5,273,12,38
al,ami-7a,274,13,39
al,ami-8a,275,14,37
al,hf-1,276,15,33
al,hf-2,277,16,38
xl,hf-3,278,41,2
al,hf-4,279,18,38
al,pn-2,280,19,37
al,pn-3b,281,20,39
al,pn-4,282,21,35
al,pn-5c,283,22,35
al,pn-6,284,23,38
al,pn-7,285,24,39
al,scip-card-2,286,0,37
al,scip-inf-1,287,1,36
al,scip-inf-2,288,2,37
al,scip-inf-3,289,3,36
al,scip-inf-4,290,4,33
al,scip-inf-6,291,5,36
al,scip-vte-1,292,6,33
al,scip-vte-2,293,7,38
al,ami-1,294,8,36
al,ami-2,295,9,37
al,ami-3,296,10,37
al,ami-4,297,11,38
al,ami-5,298,12,38
al,ami-7a,299,13,39
al,ami-8a,300,14,37
al,hf-1,301,15,33
al,hf-2,302,16,38
al,hf-3,303,17,37
al,hf-4,304,18,38
al,pn-2,305,19,37
al,pn-3b,306,20,39
al,pn-4,307,21,35
al,pn-5c,308,22,35
al,pn-6,309,23,38
al,pn-7,310,24,39
al,cac-2,311,42,3
al,cac-3,312,43,3
al,ami-1,313,8,36
al,ami-2,314,9,37
al,ami-3,315,10,37
al,ami-4,316,11,38
al,ami-5,317,12,38
al,ami-7a,318,13,39
al,ami-8a,319,14,37
al,hf-1,320,15,33
al,hf-2,321,16,38
al,hf-3,322,17,37
al,hf-4,323,18,38
al,pn-2,324,19,37
al,pn-3b,325,20,39
al,pn-4,326,21,35
al,pn-5c,327,22,35
al,pn-6,328,23,38
al,pn-7,329,24,39
al,scip-card-2,330,0,37
al,hf-2,331,16,38
al,hf-3,332,17,37
al,hf-4,333,18,38
al,pn-2,334,19,37
al,pn-3b,335,20,39
al,pn-4,336,21,35
al,pn-5c,337,22,35
al,pn-6,338,23,38
al,pn-7,339,24,39
al,scip-card-2,340,0,37
al,scip-inf-1,341,1,36
al,scip-inf-2,342,2,37
al,scip-inf-3,343,3,36
al,scip-inf-4,344,4,33
al,scip-inf-6,345,5,36
al,scip-vte-1,346,6,33
al,scip-vte-2,347,7,38
al,ami-1,348,8,36
al,amix2,349,44,1
al,ami-3,350,10,37
al,ami-4,351,11,38
al,ami-5,352,12,38
al,scip-vte-2,353,7,38
al,ami-1,354,8,36
al,ami-2,355,9,37
ax,ami-3,356,45,1
al,ami-4,357,11,38
al,ami-5,358,12,38
al,ami-7a,359,13,39
al,ami-8a,360,14,37
al,hf-1,361,15,33
al,hf-2,362,16,38
al,hf-3,363,17,37
al,hf-4,364,18,38
al,pn-2,365,19,37
al,pn-3b,366,20,39
al,pn-4,367,21,35
al,pn-5c,368,22,35
al,pn-6,369,23,38
al,pn-7,370,24,39
al,scip-card-2,371,0,37
al,scip-inf-1,372,1,36
al,scip-inf-2,373,2,37
al,scip-inf-3,374,3,36
al,scip-inf-4,375,4,33
al,scip-inf-6,376,5,36
al,scip-vte-1,377,6,33
al,scip-vte-2,378,7,38
al,ami-1,379,8,36
al,ami-2,380,9,37
al,ami-3,381,10,37
al,ami-4,382,11,38
al,ami-5,383,12,38
al,ami-7a,384,13,39
al,ami-8a,385,14,37
xl,hf-1,386,46,2
al,hf-2,387,16,38
al,hf-3,388,17,37
al,hf-4,389,18,38
al,pn-2,390,19,37
al,pn-xb,391,47,1
al,ami-2,392,9,37
al,ami-3,393,10,37
al,ami-4,394,11,38
al,ami-5,395,12,38
al,ami-7a,396,13,39
al,ami-8a,397,14,37
al,hx-1,398,48,1
al,hf-2,399,16,38
al,hf-3,400,17,37
al,hf-4,401,18,38
ax,pn-2,402,49,1
al,pn-3b,403,20,39
al,pn-4,404,21,35
al,pn-5c,405,22,35
al,pn-6,406,23,38
al,pn-7,407,24,39
al,scip-card-2,408,0,37
al,scipxinfx1,409,50,1
al,scip-inf-2,410,2,37
al,scip-inf-3,411,3,36
al,scip-vte-1,412,6,33
al,scip-vte-2,413,7,38
al,ami-1,414,8,36
al,ami-2,415,9,37
al,ami-3,416,10,37
al,ami-4,417,11,38
al,ami-5,418,12,38
al,ami-7a,419,13,39
al,ami-8a,420,14,37
al,hf-1,421,15,33
al,hf-2,422,16,38
al,hf-3,423,17,37
al,hf-4,424,18,38
al,pn-2,425,19,37
al,pn-3b,426,20,39
al,pn-4,427,21,35
al,pn-5c,428,22,35
al,pn-6,429,23,38
al,pn-7,430,24,39
al,scip-card-2,431,0,37
ak,hf-1,432,51,1
ak,hf-2,433,52,1
ak,hf-3,434,53,1
ak,hf-4,435,54,1
ak,pn-2,436,55,1
ak,pn-3b,437,56,1
ak,pn-4,438,57,1
ak,pn-5c,439,58,1
ak,pn-6,440,59,1
ak,pn-7,441,60,1
ak,scip-card-2,442,61,1
ak,scip-inf-1,443,62,1
ak,scip-inf-2,444,63,1
ak,scip-inf-3,445,64,1
ak,scip-inf-4,446,65,1
ak,scip-inf-6,447,66,1
ak,scip-vte-1,448,67,1
ak,scip-vte-2,449,68,1
ak,ami-1,450,69,1
ak,ami-2,451,70,1
al,pn-2,452,19,37
al,pn-3b,453,20,39
al,pn-4,454,21,35
al,pn-5c,455,22,35
al,pn-6,456,23,38
al,pn-7,457,24,39
al,scip-card-2,458,0,37
al,scip-inf-1,459,1,36
al,scip-inf-2,460,2,37
al,scip-inf-3,461,3,36
al,scip-inf-4,462,4,33
al,scip-inf-6,463,5,36
al,sxip-vte-1,464,71,1
al,scip-vte-2,465,7,38
al,ami-1,466,8,36
al,ami-2,467,9,37
al,ami-3,468,10,37
al,ami-4,469,11,38
al,ami-5,470,12,38
al,ami-7a,471,13,39
al,ami-8a,472,14,37
al,hf-1,473,15,33
al,hf-2,474,16,38
al,hf-3,475,17,37
al,hf-4,476,18,38
xl,pn-2,477,72,1
al,pn-3b,478,20,39
al,pn-4,479,21,35
al,pn-5c,480,22,35
al,pn-6,481,23,38
al,pn-7,482,24,39
xl,scip-card-2,483,73,1
al,scip-inf-1,484,1,36
al,scip-inf-2,485,2,37
al,scip-inf-3,486,3,36
al,scip-inf-4,487,4,33
al,scip-inf-6,488,5,36
al,scip-vte-1,489,6,33
al,scip-vte-2,490,7,38
al,ami-1,491,8,36
al,ami-2,492,9,37
al,ami-3,493,10,37
al,ami-4,494,11,38
al,ami-x,495,74,1
al,ami-7a,496,13,39
al,ami-8a,497,14,37
al,hf-1,498,15,33
al,hf-2,499,16,38
al,hf-3,500,17,37
al,hf-4,501,18,38
al,pn-2,502,19,37
al,pn-3b,503,20,39
ax,pn-4,504,75,1
al,pn-5c,505,22,35
al,pn-6,506,23,38
al,pn-7,507,24,39
al,scip-card-2,508,0,37
al,scip-inf-1,509,1,36
al,scip-inf-2,510,2,37
al,scip-inf-3,511,3,36
al,scip-inf-4,512,4,33
al,scip-inf-6,513,5,36
al,scip-vte-1,514,6,33
al,scip-vte-2,515,7,38
al,ami-1,516,8,36
al,ami-2,517,9,37
al,ami-3,518,10,37
al,ami-4,519,11,38
al,ami-5,520,12,38
al,ami-7a,521,13,39
al,ami-8a,522,14,37
al,hf-1,523,15,33
al,hf-2,524,16,38
al,hf-3,525,17,37
al,hf-4,526,18,38
al,pn-2,527,19,37
al,pn-3b,528,20,39
al,pn-4,529,21,35
al,pn-5c,530,22,35
al,pn-6,531,23,38
al,pn-7,532,24,39
al,scip-card-2,533,0,37
al,scip-inf-1,534,1,36
al,scip-inf-2,535,2,37
al,scip-inf-3,536,3,36
al,scip-inf-4,537,4,33
al,scip-inf-6,538,5,36
al,scip-vte-1,539,6,33
al,scip-vte-2,540,7,38
al,ami-1,541,8,36
al,ami-2,542,9,37
al,ami-3,543,10,37
al,ami-4,544,11,38
al,ami-5,545,12,38
al,ami-7a,546,13,39
al,ami-8a,547,14,37
al,hf-1,548,15,33
al,hf-2,549,16,38
al,hf-3,550,17,37
al,hf-4,551,18,38
al,pn-2,552,19,37
al,pn-3b,553,20,39
al,pn-4,554,21,35
al,pn-5c,555,22,35
al,pn-6,556,23,38
al,pn-7,557,24,39
al,scip-card-2,558,0,37
xl,scip-inf-1,559,76,1
al,scip-inf-2,560,2,37
al,scip-inf-3,561,3,36
al,scip-inf-4,562,4,33
al,scip-inf-6,563,5,36
al,scip-vte-1,564,6,33
al,scip-vte-2,565,7,38
al,ami-1,566,8,36
al,ami-2,567,9,37
al,ami-3,568,10,37
al,ami-4,569,11,38
al,ami-5,570,12,38
al,ami-7a,571,13,39
ax,ami-8a,572,77,1
al,hf-1,573,15,33
al,hf-2,574,16,38
al,hf-3,575,17,37
al,hf-4,576,18,38
al,pn-2,577,19,37
al,pn-3b,578,20,39
al,pn-4,579,21,35
al,px-5c,580,78,1
al,pn-6,581,23,38
al,pn-7,582,24,39
al,scip-card-2,583,0,37
al,scip-inf-1,584,1,36
al,scip-inf-2,585,2,37
al,scip-inf-3,586,3,36
al,scip-inf-4,587,4,33
al,scip-inf-6,588,5,36
al,scip-vte-1,589,6,33
al,scip-vte-2,590,7,38
al,ami-1,591,8,36
ax,ami-2,592,79,1
al,ami-3,593,10,37
al,ami-4,594,11,38
al,ami-5,595,12,38
al,ami-7a,596,13,39
al,ami-8a,597,14,37
al,hf-1,598,15,33
al,hf-2,599,16,38
al,hf-3,600,17,37
al,hf-4,601,18,38
al,pn-2,602,19,37
al,pn-3b,603,20,39
al,pn-4,604,21,35
al,pn-5c,605,22,35
al,pn-6,606,23,38
al,pn-7,607,24,39
al,scip-card-2,608,0,37
al,scip-inf-1,609,1,36
al,scip-inf-2,610,2,37
al,scip-inf-3,611,3,36
al,scip-inf-4,612,4,33
al,scip-inf-6,613,5,36
al,scip-vte-1,614,6,33
al,scip-vte-2,615,7,38
al,ami-1,616,8,36
al,ami-2,617,9,37
al,ami-3,618,10,37
al,ami-4,619,11,38
al,ami-5,620,12,38
al,ami-7a,621,13,39
al,ami-8a,622,14,37
al,hf-1,623,15,33
al,hf-2,624,16,38
al,hf-3,625,17,37
al,hf-4,626,18,38
al,pn-2,627,19,37
al,pn-3b,628,20,39
al,pn-4,629,21,35
al,pn-5c,630,22,35
al,pn-6,631,23,38
al,pn-7,632,24,39
al,scip-card-2,633,0,37
al,scip-inf-1,634,1,36
al,scip-inf-2,635,2,37
al,scip-inf-3,636,3,36
al,scip-inf-4,637,4,33
al,scip-inf-6,638,5,36
al,scip-vtx-1,639,80,1
al,scip-vte-2,640,7,38
al,ami-1,641,8,36
al,ami-2,642,9,37
al,ami-3,643,10,37
al,ami-4,644,11,38
al,ami-5,645,12,38
al,ami-7a,646,13,39
al,ami-8a,647,14,37
al,hfx1,648,31,2
al,hf-2,649,16,38
al,hf-3,650,17,37
al,hf-4,651,18,38
al,pn-2,652,19,37
al,pn-3b,653,20,39
al,pn-4,654,21,35
al,pn-5c,655,22,35
al,pn-6,656,23,38
al,pn-7,657,24,39
al,scip-card-2,658,0,37
al,scip-inf-1,659,1,36
al,scip-inf-2,660,2,37
al,scip-inf-3,661,3,36
al,scip-inf-4,662,4,33
al,scip-inf-6,663,5,36
al,scip-vte-1,664,6,33
al,scip-vte-2,665,7,38
al,ami-1,666,8,36
al,ami-2,667,9,37
al,ami-3,668,10,37
al,ami-4,669,11,38
al,ami-5,670,12,38
al,ami-7a,671,13,39
al,ami-8a,672,14,37
al,xf-1,673,81,1
al,hf-2,674,16,38
al,hf-3,675,17,37
al,hfx4,676,82,1
al,pn-2,677,19,37
al,pn-3b,678,20,39
al,pn-4,679,21,35
al,pn-5c,680,22,35
al,pn-6,681,23,38
al,pn-7,682,24,39
al,scip-card-2,683,0,37
al,scip-inf-1,684,1,36
al,scip-inf-2,685,2,37
al,scip-inf-3,686,3,36
al,scip-inf-4,687,4,33
al,scip-inf-6,688,5,36
al,scip-vte-1,689,6,33
al,scip-vte-2,690,7,38
al,amix1,691,83,2
al,ami-2,692,9,37
al,ami-3,693,10,37
al,amx-4,694,84,1
al,ami-5,695,12,38
al,ami-7a,696,13,39
al,ami-8a,697,14,37
al,hf-1,698,15,33
al,hf-2,699,16,38
al,hf-3,700,17,37
xl,hf-4,701,85,1
al,pn-2,702,19,37
al,pn-3b,703,20,39
al,pn-4,704,21,35
al,pn-5c,705,22,35
al,pn-6,706,23,38
al,pn-7,707,24,39
al,scip-card-2,708,0,37
al,scip-inf-1,709,1,36
al,scip-inf-2,710,2,37
al,scip-inf-3,711,3,36
al,scip-inf-4,712,4,33
al,scip-inf-6,713,5,36
al,scip-vte-1,714,6,33
al,scip-vte-2,715,7,38
al,ami-1,716,8,36
al,ami-2,717,9,37
al,amx-3,718,86,1
al,ami-4,719,11,38
al,ami-5,720,12,38
al,ami-7a,721,13,39
al,ami-8a,722,14,37
al,hf-1,723,15,33
al,hf-2,724,16,38
al,hf-3,725,17,37
al,hf-4,726,18,38
al,pn-2,727,19,37
al,pn-3b,728,20,39
al,px-4,729,87,2
al,pn-5c,730,22,35
al,pn-6,731,23,38
al,pn-7,732,24,39
al,scip-card-2,733,0,37
al,scip-inf-1,734,1,36
al,scix-inf-2,735,88,1
al,scip-inf-3,736,3,36
al,scip-inf-4,737,4,33
al,scip-inf-6,738,5,36
al,scip-vte-1,739,6,33
al,scip-vte-2,740,7,38
al,ami-1,741,8,36
al,ami-2,742,9,37
al,ami-3,743,10,37
al,ami-4,744,11,38
al,ami-5,745,12,38
al,ami-7a,746,13,39
al,ami-8a,747,14,37
al,hf-1,748,15,33
al,hx-2,749,89,1
al,hf-3,750,17,37
al,hf-4,751,18,38
al,pn-2,752,19,37
al,pn-3b,753,20,39
al,pn-4,754,21,35
al,pn-5c,755,22,35
al,pn-6,756,23,38
al,pn-7,757,24,39
al,scip-card-2,758,0,37
al,scip-inf-1,759,1,36
al,scip-inf-2,760,2,37
al,scip-inf-3,761,3,36
al,scip-inf-4,762,4,33
al,scip-inf-6,763,5,36
xl,scip-vte-1,764,25,2
al,scip-vte-2,765,7,38
al,cac-1,766,90,2
al,scip-inf-1,767,1,36
al,scip-inf-2,768,2,37
al,scip-inf-3,769,3,36
al,scip-inf-4,770,4,33
al,scip-inf-6,771,5,36
al,scip-vte-1,772,6,33
al,scip-vte-2,773,7,38
al,xax-1,774,91,1
al,cac-2,775,42,3
al,cac-3,776,43,3
al,ami-1,777,8,36
al,ami-2,778,9,37
al,ami-3,779,10,37
al,ami-4,780,11,38
al,ami-5,781,12,38
al,ami-7a,782,13,39
al,ami-8a,783,14,37
al,hf-1,784,15,33
al,hf-2,785,16,38
al,hf-3,786,17,37
al,hf-4,787,18,38
al,pn-x,788,92,1
al,pn-3b,789,20,39
al,pn-4,790,21,35
xl,pn-5c,791,28,2
al,pn-6,792,23,38
al,pn-7,793,24,39
al,scip-card-2,794,0,37
al,scip-inf-1,795,1,36
al,scip-inf-2,796,2,37
al,scip-inf-3,797,3,36
al,scip-inf-4,798,4,33
al,scip-inf-6,799,5,36
al,scip-vte-1,800,6,33
al,scip-vte-2,801,7,38
al,ami-1,802,8,36
al,ami-2,803,9,37
al,ami-3,804,10,37
al,ami-4,805,11,38
al,ami-5,806,12,38
al,ami-7a,807,13,39
al,ami-8a,808,14,37
al,hf-1,809,15,33
al,hf-2,810,16,38
al,hf-3,811,17,37
al,hf-4,812,18,38
al,pn-2,813,19,37
al,pn-3b,814,20,39
al,pn-4,815,21,35
al,pn-5c,816,22,35
al,pn-6,817,23,38
al,pn-7,818,24,39
al,scip-card-2,819,0,37
al,scip-inf-1,820,1,36
al,scip-inf-2,821,2,37
al,scip-inf-3,822,3,36
al,scip-inf-4,823,4,33
al,scip-inf-6,824,5,36
al,scip-vte-1,825,6,33
al,scip-vte-2,826,7,38
al,ami-1,827,8,36
al,ami-2,828,9,37
al,ami-3,829,10,37
al,ami-4,830,11,38
al,ami-5,831,12,38
al,ami-7a,832,13,39
al,ami-8a,833,14,37
al,hf-1,834,15,33
al,hf-2,835,16,38
al,hf-3,836,17,37
al,hf-4,837,18,38
al,pn-2,838,19,37
al,pn-3b,839,20,39
al,pn-4,840,21,35
al,pn-5c,841,22,35
al,pnx6,842,93,1
al,pn-7,843,24,39
al,scip-card-2,844,0,37
al,scip-inf-1,845,1,36
al,scip-inf-2,846,2,37
al,scip-inf-3,847,3,36
al,scip-inf-4,848,4,33
al,scip-inf-6,849,5,36
al,scip-vte-1,850,6,33
al,scip-vte-2,851,7,38
al,ami-1,852,8,36
al,ami-2,853,9,37
al,ami-3,854,10,37
al,ami-4,855,11,38
al,ami-5,856,12,38
al,ami-7a,857,13,39
al,ami-8a,858,14,37
al,hf-1,859,15,33
al,hf-2,860,16,38
al,hf-3,861,17,37
al,hf-4,862,18,38
al,pn-2,863,19,37
al,pn-3b,864,20,39
al,px-4,865,87,2
al,pn-5c,866,22,35
al,pn-6,867,23,38
al,pn-7,868,24,39
al,scip-card-2,869,0,37
al,scip-inf-1,870,1,36
al,scip-inf-2,871,2,37
al,scip-inf-3,872,3,36
al,scip-inf-4,873,4,33
al,scip-inf-6,874,5,36
al,scip-vte-1,875,6,33
al,scip-vte-2,876,7,38
al,ami-1,877,8,36
al,ami-2,878,9,37
al,ami-3,879,10,37
al,ami-4,880,11,38
al,ami-5,881,12,38
al,ami-7a,882,13,39
al,ami-8a,883,14,37
xl,hf-1,884,46,2
al,hf-2,885,16,38
xl,hf-3,886,41,2
al,hf-4,887,18,38
al,pn-2,888,19,37
al,pn-3b,889,20,39
al,pn-4,890,21,35
al,pn-5c,891,22,35
al,pn-6,892,23,38
al,pn-7,893,24,39
al,scip-card-2,894,0,37
al,scip-inf-1,895,1,36
al,scip-inf-2,896,2,37
al,scip-inf-3,897,3,36
al,scip-inf-4,898,4,33
al,scip-inf-6,899,5,36
al,scip-vte-1,900,6,33
al,scip-vte-2,901,7,38
al,cac-1,902,90,2
al,cac-2,903,42,3
al,cac-3,904,43,3
al,ami-1,905,8,36
al,ami-2,906,9,37
al,ami-3,907,10,37
al,ami-4,908,11,38
al,ami-5,909,12,38
al,ami-7a,910,13,39
al,ami-8a,911,14,37
al,hf-1,912,15,33
al,hf-2,913,16,38
al,hf-3,914,17,37
al,hf-4,915,18,38
al,pn-2,916,19,37
al,pn-3b,917,20,39
al,pn-4,918,21,35
al,pn-5c,919,22,35
al,pn-6,920,23,38
al,pn-7,921,24,39
ax,scip-card-2,922,94,1
al,scip-inf-1,923,1,36
al,scip-inf-2,924,2,37
al,scip-inf-3,925,3,36
al,scip-inf-4,926,4,33
al,scip-inf-6,927,5,36
al,scip-vte-1,928,6,33
al,scip-vte-2,929,7,38
al,amix1,930,83,2
al,ami-2,931,9,37
al,ami-3,932,10,37
al,ami-4,933,11,38
al,ami-5,934,12,38
al,ami-7a,935,13,39
al,ami-8a,936,14,37
al,hf-1,937,15,33
al,hf-2,938,16,38
al,hf-3,939,17,37
al,hf-4,940,18,38
al,pn-2,941,19,37
al,pn-3b,942,20,39
al,pn-4,943,21,35
al,pn-5c,944,22,35
al,pn-6,945,23,38
al,pn-7,946,24,39
al,scip-card-2,947,0,37
al,scip-inf-1,948,1,36
al,scip-inf-2,949,2,37
al,scip-inf-3,950,3,36
al,scip-inf-4,951,4,33
al,scip-inf-6,952,5,36
al,scip-vte-1,953,6,33
al,scip-vte-2,954,7,38
al,ami-1,955,8,36
al,ami-2,956,9,37
al,ami-3,957,10,37
al,ami-4,958,11,38
al,ami-5,959,12,38
al,ami-7a,960,13,39
al,ami-8a,961,14,37
al,hf-1,962,15,33
al,hf-2,963,16,38
al,hf-3,964,17,37
al,hf-4,965,18,38
al,pn-2,966,19,37
al,pn-3b,967,20,39
al,pn-4,968,21,35
al,pn-5c,969,22,35
al,pn-6,970,23,38
al,pn-7,971,24,39
al,scip-card-2,972,0,37
al,scip-inf-1,973,1,36
al,scip-inf-2,974,2,37
al,scip-inf-3,975,3,36
al,scip-inf-4,976,4,33
al,scip-inf-6,977,5,36
al,scip-vte-1,978,6,33
al,scip-vte-2,979,7,38
al,ami-1,980,8,36
al,ami-2,981,9,37
al,ami-3,982,10,37
al,ami-4,983,11,38
al,ami-5,984,12,38
al,ami-7a,985,13,39
al,ami-8a,986,14,37
al,hf-1,987,15,33
al,hf-2,988,16,38
al,hf-3,989,17,37
al,hf-4,990,18,38
