ounces,abv,original_index,unique_index
16.0 oz.,0.05,122,105
16.0 oz.,0.05%,123,106
12.0 OZ.,0.05,124,107
12.0 oz.,0.068,125,108
12.0 ounce,0.06,126,15
12.0 OZ.,0.085%,127,109
16.0 oz.,0.071,128,110
16.0 oz. Alumi-Tek,0.047,129,111
16.0 ounce,0.06,130,102
12.0 oz. Silo Can,0.06%,131,112
12.0 oz.,0.062,132,113
12.0 oz,0.052,133,114
12.0 ounce,0.092,134,115
12.0 oz.,0.051%,135,116
16.0 oz,0.052,136,117
16.0 oz.,0.07,137,118
12.0 oz,0.032,138,119
12.0 oz,0.053,139,120
12.0 oz.,0.06,140,16
16.0 ounce,0.048,141,121
16.0 oz. Alumi-Tek,0.077,142,122
16.0 oz. Silo Can,0.077,143,123
12.0 oz.,0.056,144,101
12.0 oz,0.07%,145,124
12.0 oz.,0.057,146,125
12.0 oz.,0.08199999999999999%,147,126
12.0 ounce,0.062,148,127
12.0 OZ.,0.06,149,128
16.0 ounce,0.075,150,129
16.0 oz.,0.055%,151,130
16.0 oz,0.052,152,117
12.0 oz.,0.045,153,57
12.0 oz,0.05%,154,131
12.0 oz.,0.05,155,34
16.0 oz,0.07,156,132
12.0 OZ.,0.062%,157,133
12.0 oz,0.051,158,134
12.0 oz.,0.053,159,77
12.0 ounce,0.052,160,135
12.0 oz.,0.08%,161,136
12.0 oz.,0.064,162,137
12.0 oz.,0.047,163,138
12.0 oz.,0.056,164,101
12.0 oz,0.063,165,139
12.0 ounce,0.055,166,55
12.0 oz. Alumi-Tek,0.062,167,140
12.0 oz.,0.072,168,10
12.0 ounce,0.048%,169,141
12.0 oz.,0.067,170,142
12.0 oz.,0.092,171,143
12.0 ounce,0.061,172,144
12.0 ounce,0.086,173,9
12.0 oz.,0.06,174,16
12.0 OZ.,0.049%,175,145
12.0 oz.,0.07,176,26
12.0 ounce,0.05,177,146
12.0 ounce,0.06%,178,147
12.0 oz,0.06%,179,148
12.0 ounce,0.068,180,149
12.0 ounce,0.044000000000000004%,181,150
12.0 ounce,0.07%,182,151
12.0 ounce,0.038%,183,152
12.0 OZ.,0.052000000000000005%,184,153
12.0 OZ.,0.07,185,154
12.0 oz,0.046,186,155
12.0 oz.,0.07,187,26
12.0 oz. Alumi-Tek,0.045,188,156
12.0 oz,0.045%,189,37
12.0 ounce,0.035,190,157
16.0 oz,0.07,191,132
12.0 oz.,0.06,192,16
12.0 oz,0.045,193,158
12.0 oz. Alumi-Tek,0.049%,194,159
12.0 oz.,0.067,195,142
12.0 ounce,0.068,196,149
12.0 oz.,0.05,197,34
12.0 oz,0.051,198,134
12.0 ounce,0.054,199,160
12.0 oz.,0.067%,200,161
12.0 oz.,0.05,201,34
12.0 oz.,0.054,202,162
12.0 oz,0.053,203,120
16.0 oz,0.07%,204,163
12.0 oz,0.047,205,164
12.0 oz.,0.068,206,108
12.0 ounce,0.066,207,165
12.0 oz.,0.047,208,138
12.0 oz.,0.055,209,8
12.0 OZ.,0.049%,210,145
12.0 oz,0.069,211,166
16.0 ounce,0.088,212,167
12.0 OZ.,0.05,213,107
12.0 oz. Alumi-Tek,0.057999999999999996%,214,168
12.0 oz.,0.068%,215,169
12.0 ounce,0.048,216,170
12.0 oz,0.057999999999999996%,217,171
16.0 oz.,0.06%,218,172
16.0 oz.,0.05,219,105
16.0 oz.,0.058,220,173
16.0 OZ.,0.07,221,174
16.0 oz.,0.058,222,173
12.0 oz.,0.044,223,175
16.0 ounce,0.083,224,176
12.0 oz.,0.057%,225,177
12.0 OZ.,0.06,226,128
12.0 oz.,0.072,227,10
12.0 ounce,0.056,228,92
12.0 oz.,0.062,229,113
12.0 oz.,0.06%,230,178
12.0 oz.,0.05,231,34
12.0 ounce,0.055,232,55
12.0 oz,0.053,233,120
12.0 oz.,0.078%,234,179
12.0 oz.,0.047%,235,180
12.0 oz,0.064,236,181
12.0 oz,0.055999999999999994%,237,182
12.0 OZ.,0.06,238,128
16.0 oz. Alumi-Tek,0.081,239,183
12.0 ounce,0.095%,240,184
16.0 oz.,0.041,241,185
16.0 oz,0.067,242,186
12.0 ounce,0.07%,243,151
12.0 OZ.,0.065,244,187
12.0 ounce,0.06,245,15
16.0 oz.,0.08,246,188
16.0 ounce,0.062,247,84
12.0 oz.,0.06,248,16
16.0 oz.,0.075,249,189
12.0 oz.,0.05,250,34
12.0 oz.,0.06,251,16
12.0 ounce,0.062,252,127
12.0 oz,0.05%,253,131
12.0 oz,0.05,254,0
12.0 oz.,0.051,255,190
12.0 oz.,0.072,256,10
12.0 oz.,0.051,257,190
12.0 oz,0.05,258,0
12.0 OZ.,0.062,259,191
12.0 ounce,0.047,260,192
12.0 oz,0.05,261,0
12.0 oz,0.05,262,0
12.0 oz.,0.051%,263,116
12.0 oz.,0.069,264,193
12.0 ounce,0.057999999999999996%,265,194
16.0 oz,0.053,266,195
16.0 ounce,0.099%,267,196
16.0 OZ.,0.098,268,197
16.0 oz.,0.055,269,66
16.0 oz.,0.066,270,198
16.0 ounce,0.055,271,199
12.0 oz,0.052,272,114
12.0 oz,0.063,273,139
12.0 oz.,0.054,274,162
16.0 oz,0.072,275,200
12.0 oz,0.045%,276,37
12.0 ounce,0.075,277,201
12.0 ounce,0.05,278,146
12.0 ounce,0.058,279,100
12.0 oz,0.071,280,202
12.0 ounce,0.071,281,2
12.0 oz.,0.078,282,203
12.0 oz,0.066,283,204
12.0 oz,0.048%,284,205
12.0 oz,0.046,285,155
12.0 ounce,0.073%,286,206
12.0 oz. Alumi-Tek,0.048,287,207
12.0 OZ.,0.06,288,128
12.0 ounce,0.052,289,135
12.0 ounce,0.068,290,149
12.0 oz,0.07,291,93
12.0 ounce,0.055,292,55
12.0 ounce,0.05%,293,208
12.0 oz. Alumi-Tek,,294,209
12.0 oz.,0.055%,295,39
12.0 oz.,0.08,296,210
12.0 oz.,0.096,297,211
12.0 oz,0.052,298,114
12.0 ounce,,299,212
12.0 ounce,0.05,300,146
12.0 ounce,0.064,301,213
12.0 oz.,0.045,302,57
12.0 oz.,0.056,303,101
12.0 ounce,0.055999999999999994%,304,87
12.0 ounce,0.055999999999999994%,305,87
12.0 oz.,0.046,306,214
12.0 oz.,0.059,307,35
12.0 oz,0.059000000000000004%,308,215
12.0 oz,0.08%,309,216
12.0 ounce,0.059,310,217
12.0 oz.,0.065,311,41
12.0 oz.,0.053,312,77
12.0 ounce,0.059,313,217
12.0 oz,0.049,314,218
12.0 oz.,,315,219
12.0 oz.,,316,219
12.0 oz.,,317,219
12.0 oz,,318,220
16.0 oz. Alumi-Tek,0.07,319,221
12.0 oz.,0.06%,320,178
12.0 ounce,0.044,321,222
12.0 ounce,0.055,322,55
12.0 oz.,0.06,323,16
12.0 oz.,0.053,324,77
12.0 oz.,0.04,325,223
12.0 oz,0.05%,326,131
12.0 oz. Alumi-Tek,0.05,327,224
12.0 oz,0.065,328,40
12.0 oz. Alumi-Tek,0.055,329,225
12.0 oz.,0.06%,330,178
16.0 OZ.,0.042%,331,226
16.0 oz.,0.04,332,227
12.0 oz,0.051,333,134
12.0 oz.,0.045,334,57
12.0 ounce,0.066,335,165
16.0 oz.,0.075,336,189
16.0 ounce,0.048,337,121
12.0 oz.,0.056,338,101
16.0 ounce,0.07,339,228
12.0 oz. Alumi-Tek,0.047,340,229
16.0 oz. Alumi-Tek,0.068,341,230
12.0 oz,0.047,342,164
12.0 oz,0.047,343,164
12.0 oz.,0.048,344,231
16.0 oz.,0.049%,345,232
12.0 oz.,0.053,346,77
12.0 oz.,0.064%,347,233
16.0 ounce,0.061,348,234
12.0 ounce,0.058,349,100
12.0 oz.,0.057999999999999996%,350,94
12.0 ounce,0.048,351,170
16.0 oz.,0.048,352,235
16.0 ounce,0.066,353,64
16.0 oz. Alumi-Tek,0.071,354,236
12.0 ounce,0.045,355,237
16.0 oz,0.065,356,238
12.0 ounce,0.055,357,55
12.0 oz.,0.055999999999999994%,358,239
16.0 ounce,0.049,359,240
12.0 oz.,0.049,360,25
12.0 oz,0.053,361,120
12.0 oz,0.053,362,120
12.0 oz.,0.049,363,25
12.0 oz.,0.049,364,25
12.0 ounce,0.057,365,91
12.0 oz.,0.049,366,25
12.0 oz.,0.062,367,113
12.0 oz.,0.065,368,41
12.0 oz,0.058,369,241
12.0 ounce,0.047%,370,242
12.0 oz.,0.06%,371,178
12.0 ounce,0.057,372,91
12.0 ounce,0.07,373,33
12.0 oz.,0.06,374,16
12.0 oz,0.055%,375,38
12.0 oz. Alumi-Tek,0.052,376,243
16.0 oz,0.05,377,63
12.0 oz.,0.042,378,88
12.0 ounce,0.045,379,237
12.0 ounce,0.062%,380,244
12.0 oz,0.054,381,245
12.0 oz.,0.05,382,34
12.0 oz.,0.072,383,10
12.0 oz.,0.05%,384,246
12.0 oz,0.055,385,54
16.0 oz.,0.057999999999999996%,386,247
16.0 ounce,0.053,387,71
16.0 oz,0.067,388,186
16.0 oz.,0.06,389,70
16.0 OZ.,0.098,390,197
16.0 oz,0.06,391,248
16.0 oz.,0.07,392,118
16.0 oz,0.077,393,249
16.0 oz.,0.065,394,250
16.0 oz. Alumi-Tek,0.065,395,251
16.0 oz,0.065%,396,252
16.0 oz.,0.065,397,250
16.0 oz,0.05,398,63
16.0 ounce,0.09,399,253
16.0 oz.,0.055,400,66
16.0 OZ.,0.059,401,254
16.0 ounce,0.066%,402,255
16.0 oz.,0.040999999999999995%,403,256
16.0 oz.,0.08199999999999999%,404,257
16.0 oz.,0.065,405,250
16.0 oz. Silo Can,0.062%,406,258
16.0 oz.,,407,259
16.0 oz,,408,260
16.0 ounce,0.061,409,234
16.0 oz.,0.063,410,261
16.0 oz,0.055999999999999994%,411,262
16.0 oz,0.099,412,263
16.0 oz.,0.051,413,264
16.0 oz.,0.062,414,265
16.0 oz.,0.062,415,265
16.0 oz.,0.053,416,266
16.0 oz.,0.063,417,261
16.0 ounce,0.064,418,267
16.0 oz.,0.07%,419,268
16.0 oz.,0.067%,420,269
16.0 oz,0.067,421,186
16.0 oz,0.05,422,63
16.0 ounce,0.06,423,102
16.0 oz,0.065,424,238
16.0 oz.,0.045%,425,270
16.0 oz,0.063,426,271
16.0 oz. Alumi-Tek,0.093,427,272
16.0 ounce,0.073,428,273
16.0 oz.,0.055999999999999994%,429,274
16.0 oz,0.093,430,275
16.0 ounce,0.065,431,42
16.0 ounce,0.05%,432,276
16.0 oz,0.09%,433,277
16.0 oz.,0.082,434,278
16.0 ounce,0.098,435,279
16.0 oz.,0.06%,436,172
16.0 OZ.,0.099%,437,280
16.0 oz,0.095,438,281
16.0 oz.,0.092%,439,282
16.0 oz,0.065,440,238
16.0 ounce,0.099,441,283
16.0 oz.,0.062,442,265
16.0 oz.,0.09,443,44
16.0 oz,0.092,444,284
16.0 oz,0.097,445,285
16.0 oz. Alumi-Tek,0.085,446,286
16.0 oz.,0.055%,447,130
16.0 oz.,0.06%,448,172
16.0 oz,0.065,449,238
12.0 oz.,,450,219
12.0 oz.,,451,219
16.0 oz,0.061,452,287
12.0 oz.,0.05,453,34
12.0 oz. Alumi-Tek,0.052,454,243
12.0 oz.,0.048%,455,89
12.0 oz.,0.061,456,288
16.0 oz,0.068%,457,289
12.0 ounce,0.045,458,237
12.0 oz.,0.068,459,108
12.0 OZ.,0.045,460,290
16.0 oz.,0.052,461,73
12.0 oz. Alumi-Tek,0.052000000000000005%,462,291
16.0 oz,0.08%,463,292
16.0 oz. Alumi-Tek,,464,293
16.0 oz.,0.073,465,294
16.0 oz,0.099,466,263
16.0 oz,0.062%,467,295
16.0 oz.,0.057999999999999996%,468,247
16.0 oz.,0.052,469,73
16.0 ounce,0.053%,470,296
12.0 oz.,0.045%,471,6
12.0 oz.,0.06,472,16
12.0 oz,0.06,473,90
16.0 ounce,0.09,474,253
16.0 OZ.,0.065%,475,297
16.0 oz,0.068,476,298
24.0 oz.,0.078,477,299
12.0 oz,0.055,478,54
12.0 ounce,0.099,479,300
12.0 oz.,0.06,480,16
16.0 oz.,0.065,481,250
16.0 ounce,0.068%,482,301
16.0 oz,0.072,483,200
16.0 oz,0.068,484,298
16.0 oz,0.055,485,96
12.0 oz,0.05,486,0
12.0 ounce,0.056,487,92
12.0 ounce,0.049%,488,302
12.0 oz.,0.068,489,108
12.0 oz,0.049,490,218
12.0 ounce,0.043%,491,303
12.0 ounce,0.093,492,304
12.0 oz. Alumi-Tek,0.062,493,140
12.0 oz.,0.06,494,16
16.0 oz.,0.048,495,235
16.0 oz.,0.077,496,305
16.0 oz.,0.097,497,306
16.0 ounce,0.052,498,307
16.0 oz,0.053,499,195
16.0 oz.,0.063,500,261
16.0 oz,0.068%,501,289
16.0 OZ.,0.063,502,308
16.0 ounce,0.053,503,71
12.0 ounce,0.068%,504,31
12.0 ounce,0.06,505,15
12.0 oz.,0.055999999999999994%,506,239
12.0 oz,0.039,507,309
12.0 ounce,0.054,508,160
12.0 oz,0.061,509,310
12.0 OZ.,0.061%,510,311
12.0 oz,0.055999999999999994%,511,182
12.0 ounce,0.056,512,92
12.0 oz.,0.056,513,101
12.0 ounce,0.056,514,92
12.0 oz.,0.056,515,101
12.0 oz. Alumi-Tek,0.054,516,312
12.0 oz,0.061,517,310
12.0 oz.,0.05,518,34
12.0 oz.,0.065%,519,313
12.0 oz,,520,220
12.0 ounce,,521,212
12.0 oz. Alumi-Tek,,522,209
12.0 oz.,,523,219
16.0 oz.,0.099,524,314
16.0 oz.,0.09,525,44
12.0 oz,0.055%,526,38
12.0 oz.,0.054,527,162
12.0 ounce,0.055%,528,315
16.0 oz.,0.055,529,66
16.0 oz.,0.049%,530,232
12.0 oz,0.065,531,40
12.0 ounce,0.052,532,135
12.0 oz.,0.046%,533,316
12.0 ounce,0.056,534,92
16.0 OZ.,0.046,535,317
12.0 oz.,0.062,536,113
12.0 ounce,0.052000000000000005%,537,318
12.0 oz.,0.042%,538,319
12.0 ounce,0.052,539,135
12.0 ounce,0.05,540,146
12.0 ounce,,541,212
12.0 ounce,0.04,542,320
12.0 ounce,0.05%,543,208
12.0 oz,0.035,544,36
16.0 oz,0.059,545,49
12.0 oz.,0.057%,546,177
12.0 oz.,0.051,547,190
16.0 oz.,0.099,548,314
16.0 ounce,0.039,549,321
16.0 oz,0.078,550,322
12.0 oz.,0.042,551,88
16.0 oz.,0.069,552,45
16.0 oz,0.069,553,323
12.0 oz,0.056,554,97
12.0 ounce,0.052,555,135
12.0 oz.,0.047,556,138
12.0 oz. Alumi-Tek,0.07,557,324
12.0 OZ.,0.047,558,325
12.0 oz.,0.052,559,326
12.0 oz.,0.056,560,101
16.0 ounce,0.048,561,121
16.0 OZ.,0.078,562,327
12.0 oz,0.057999999999999996%,563,171
12.0 oz,0.054,564,245
16.0 oz.,0.085,565,328
16.0 oz.,,566,259
16.0 oz,0.068%,567,289
16.0 oz.,0.051%,568,329
16.0 oz,0.051%,569,330
16.0 oz.,0.05,570,105
12.0 ounce,0.05%,571,208
12.0 oz,0.05,572,0
12.0 ounce,0.05,573,146
12.0 oz. Alumi-Tek,0.045,574,156
12.0 ounce,0.05,575,146
12.0 OZ.,0.052,576,331
16.0 oz,0.051,577,332
16.0 oz.,0.072,578,333
16.0 oz.,0.095,579,334
16.0 oz,0.075,580,335
24.0 oz,0.07,581,336
12.0 OZ.,0.06,582,128
12.0 oz,0.05,583,0
12.0 oz,0.07%,584,124
16.0 oz. Alumi-Tek,0.045,585,337
16.0 oz. Alumi-Tek,0.065,586,251
16.0 oz.,0.055,587,66
16.0 oz.,0.045%,588,270
16.0 ounce,0.08%,589,338
16.0 ounce,0.055,590,199
16.0 oz,0.057%,591,339
16.0 oz.,0.057%,592,340
16.0 ounce,0.052,593,307
12.0 oz.,0.089,594,341
12.0 oz,0.049,595,218
12.0 oz.,0.05,596,34
12.0 ounce,0.05%,597,208
12.0 oz.,0.055,598,8
12.0 oz,0.062,599,342
12.0 oz.,0.082,600,18
12.0 oz,0.055,601,54
12.0 oz.,0.055,602,8
12.0 oz.,0.06,603,16
12.0 oz. Alumi-Tek,0.045,604,156
12.0 oz. Silo Can,0.07,605,343
12.0 ounce,0.07,606,33
12.0 oz. Alumi-Tek,0.063,607,344
12.0 oz.,0.07%,608,28
12.0 ounce,0.07,609,33
12.0 oz.,0.07,610,26
12.0 oz.,0.055,611,8
16.0 oz,0.052,612,117
12.0 oz,0.075,613,345
12.0 ounce,0.075,614,201
12.0 oz,0.08,615,346
12.0 oz,0.05%,616,131
12.0 ounce,0.055,617,55
12.0 oz,0.055%,618,38
12.0 oz.,0.05%,619,246
12.0 oz,0.07200000000000001%,620,347
12.0 oz,0.075,621,345
12.0 oz. Alumi-Tek,0.05%,622,348
12.0 oz.,0.048,623,231
12.0 oz,0.06,624,90
12.0 oz.,0.045,625,57
12.0 oz.,0.062%,626,349
12.0 oz,0.065,627,40
12.0 oz.,0.038%,628,350
12.0 oz.,0.055999999999999994%,629,239
16.0 oz.,0.067,630,351
12.0 oz,0.06%,631,148
16.0 oz,0.044,632,352
12.0 oz,0.047,633,164
12.0 ounce,0.062,634,127
12.0 ounce,0.046,635,353
12.0 ounce,0.065,636,7
12.0 oz.,0.052,637,326
12.0 oz,0.052,638,114
16.0 OZ.,0.058,639,354
16.0 ounce,0.068,640,355
16.0 ounce,0.048,641,121
16.0 oz.,0.056,642,356
12.0 oz.,0.05,643,34
12.0 oz,0.052,644,114
12.0 ounce,0.057,645,91
12.0 oz.,0.061,646,288
12.0 oz,0.038,647,357
12.0 ounce,0.05%,648,208
16.0 oz.,0.048%,649,358
16.0 oz,0.075%,650,359
16.0 oz.,0.077,651,305
12.0 OZ.,0.06,652,128
12.0 oz,0.075%,653,360
12.0 oz. Alumi-Tek,0.059,654,361
12.0 oz.,,655,219
12.0 ounce,,656,212
12.0 oz.,0.052,657,326
12.0 ounce,0.06,658,15
12.0 ounce,0.052,659,135
12.0 oz.,0.065,660,41
12.0 ounce,0.045%,661,362
12.0 oz.,0.049%,662,24
12.0 oz.,0.055%,663,39
12.0 oz,0.056,664,97
12.0 OZ.,0.065,665,187
12.0 oz,0.066,666,204
12.0 oz.,0.055%,667,39
12.0 oz,0.045,668,158
12.0 ounce,0.055%,669,315
12.0 oz,0.069,670,166
12.0 oz.,0.06,671,16
16.0 oz.,0.06%,672,172
16.0 oz,0.052,673,117
16.0 oz,0.049%,674,363
16.0 oz.,0.054,675,364
16.0 oz,0.08,676,365
16.0 oz.,0.063,677,261
12.0 oz,0.045%,678,37
12.0 oz. Alumi-Tek,0.06%,679,366
12.0 oz,0.08,680,346
12.0 oz,0.05%,681,131
12.0 oz,0.053,682,120
12.0 oz.,0.055,683,8
12.0 oz.,0.092,684,143
12.0 oz.,0.065%,685,313
12.0 ounce,0.07,686,33
12.0 oz,0.06,687,90
16.0 oz.,0.065%,688,367
16.0 ounce,0.065%,689,69
16.0 ounce,0.07200000000000001%,690,368
12.0 oz.,0.055,691,8
12.0 oz,0.05,692,0
12.0 oz,0.05,693,0
12.0 ounce,0.063%,694,369
12.0 ounce,0.06%,695,147
12.0 oz.,0.075%,696,370
12.0 oz,0.085,697,371
12.0 oz,0.06%,698,148
12.0 oz.,0.07,699,26
16.0 oz,0.048,700,372
12.0 oz.,0.046,701,214
12.0 oz.,0.052000000000000005%,702,373
12.0 oz,0.07,703,93
12.0 oz,0.045,704,158
12.0 oz,0.05,705,0
12.0 ounce,0.059,706,217
12.0 oz.,0.056,707,101
12.0 oz,0.065,708,40
12.0 oz,0.058,709,241
12.0 oz,0.07,710,93
12.0 oz.,0.05%,711,246
12.0 oz.,0.05%,712,246
12.0 oz,0.052000000000000005%,713,374
12.0 OZ.,0.049%,714,145
12.0 ounce,0.063%,715,369
12.0 OZ.,0.05,716,107
12.0 oz.,0.05%,717,246
12.0 oz.,0.096,718,211
12.0 ounce,0.049%,719,302
12.0 oz.,0.044000000000000004%,720,375
12.0 OZ.,0.052,721,331
16.0 oz.,0.054000000000000006%,722,376
16.0 OZ.,,723,377
16.0 oz,0.071,724,378
16.0 oz,0.074,725,379
12.0 oz.,0.045%,726,6
16.0 ounce,0.065%,727,69
12.0 OZ.,,728,380
16.0 oz. Alumi-Tek,,729,293
16.0 oz.,,730,259
16.0 ounce,,731,381
16.0 oz,,732,260
16.0 ounce,,733,381
16.0 oz,,734,260
12.0 oz,0.049,735,218
12.0 oz,0.051,736,134
12.0 OZ.,0.066%,737,382
12.0 ounce,0.051,738,383
12.0 oz,0.043,739,384
12.0 ounce,0.057999999999999996%,740,194
12.0 ounce,0.061%,741,14
12.0 oz.,0.045%,742,6
16.0 ounce,0.05,743,43
16.0 ounce,0.078,744,385
16.0 OZ.,0.06,745,386
16.0 oz.,0.05,746,105
16.0 ounce,0.055,747,199
16.0 ounce,0.045,748,387
16.0 oz,0.078,749,322
16.0 oz.,0.057%,750,340
16.0 oz. Silo Can,0.049,751,388
12.0 ounce,0.07,752,33
16.0 ounce,0.05%,753,276
12.0 oz. Alumi-Tek,0.052,754,243
12.0 oz,0.052,755,114
12.0 oz.,0.05%,756,246
12.0 oz.,0.062,757,113
12.0 ounce,0.043%,758,303
12.0 oz.,0.062,759,113
16.0 ounce,0.049%,760,389
16.0 ounce,0.07%,761,390
16.0 oz.,0.051,762,264
16.0 oz.,0.052,763,73
16.0 oz,0.048,764,372
16.0 oz,0.054,765,50
12.0 oz,0.04%,766,391
16.0 oz.,0.085,767,328
12.0 oz.,0.055,768,8
12.0 oz,0.027000000000000003%,769,392
12.0 oz.,0.055%,770,39
12.0 oz.,0.05,771,34
12.0 oz.,0.045,772,57
12.0 oz,0.067,773,393
12.0 oz,0.063%,774,394
16.0 oz.,0.07,775,118
16.0 oz,0.07,776,132
16.0 oz.,0.05%,777,106
16.0 oz.,0.05,778,105
16.0 oz,0.05,779,63
16.0 ounce,0.07%,780,390
16.0 ounce,0.075%,781,395
16.0 oz.,0.046,782,396
16.0 OZ.,0.051,783,397
16.0 OZ.,0.075,784,398
16.0 oz,0.069,785,323
16.0 ounce,0.05,786,43
12.0 oz.,0.081,787,399
16.0 oz.,0.08199999999999999%,788,257
16.0 oz.,0.082,789,278
16.0 oz.,0.055%,790,130
12.0 oz.,0.045,791,57
12.0 oz.,0.055%,792,39
12.0 oz.,0.048,793,231
16.0 oz.,0.09%,794,400
16.0 ounce,0.08,795,59
16.0 oz.,0.086,796,401
16.0 ounce,0.05,797,43
16.0 oz.,0.053%,798,402
16.0 oz. Alumi-Tek,0.08%,799,403
16.0 ounce,0.055,800,199
16.0 ounce,0.075,801,129
16.0 oz,0.055,802,96
16.0 oz,0.047%,803,404
12.0 oz,0.045,804,158
12.0 oz.,0.075,805,405
12.0 oz.,0.053,806,77
12.0 oz,0.047,807,164
12.0 oz,0.047,808,164
16.0 oz.,0.065,809,250
16.0 ounce,0.05,810,43
16.0 ounce,0.06,811,102
12.0 ounce,,812,212
16.0 oz,0.055%,813,406
12.0 ounce,0.071%,814,407
12.0 oz.,0.047,815,138
12.0 oz.,0.04,816,223
12.0 ounce,0.07,817,33
12.0 oz. Alumi-Tek,0.078,818,408
12.0 oz,0.06%,819,148
12.0 ounce,0.065%,820,86
12.0 oz,0.045,821,158
12.0 oz.,0.05,822,34
12.0 oz.,0.069,823,193
12.0 oz.,0.052000000000000005%,824,373
12.0 ounce,0.062%,825,244
16.0 oz.,0.045,826,409
16.0 oz.,0.065,827,250
16.0 oz.,0.062,828,265
16.0 ounce,0.067,829,410
16.0 oz.,0.058,830,173
16.0 oz.,0.052,831,73
16.0 oz,0.055,832,96
16.0 ounce,0.088,833,167
16.0 oz,0.051,834,332
16.0 ounce,0.07400000000000001%,835,411
12.0 oz.,,836,219
12.0 oz.,0.047%,837,180
