Language,Country,original_index,unique_index
"English,German",USA,99,33
English,USA,100,0
"English,Spanish",USA,101,15
English,USA,102,0
"English,French",USA,103,26
English,USA,104,0
"English,French,German,Italian","USA,West Germany",105,34
English,"Canada,USA,South Korea",106,35
"English,Afrikaans",USA,107,36
English,USA,108,0
English,"UK,USA",109,16
"English,Italian,Irish,Yiddish",USA,110,37
English,USA,111,0
"English,Portuguese",USA,112,30
English,USA,113,0
English,USA,114,0
"English,French,Scottish Gaelic",USA,115,38
English,USA,116,0
English,USA,117,0
English,USA,118,0
English,USA,119,0
English,USA,120,0
English,USA,121,0
English,USA,122,0
English,"USA,Canada",123,39
English,"Germany,USA,Canada",124,40
English,USA,125,0
English,USA,126,0
English,USA,127,0
English,USA,128,0
English,USA,129,0
English,"USA,UK",130,41
"English,Italian",USA,131,5
English,USA,132,0
English,USA,133,0
English,USA,134,0
English,USA,135,0
"English,German","UK,USA",136,42
English,"UK,USA",137,16
"English,Hungarian,Latin",USA,138,43
English,USA,139,0
English,USA,140,0
English,USA,141,0
English,"UK,USA",142,16
English,USA,143,0
"English,Swahili,Xhosa,Zulu",USA,144,44
"English,French",USA,145,26
English,USA,146,0
English,USA,147,0
"English,Inuktitut,Croatian,Serbian",USA,148,45
English,USA,149,0
English,USA,150,0
English,"Australia,USA",151,46
English,USA,152,0
"English,French,Russian",USA,153,47
"English,Italian",USA,154,5
"English,Spanish",USA,155,15
English,USA,156,0
English,USA,157,0
English,USA,158,0
English,USA,159,0
English,USA,160,0
English,USA,161,0
English,"France,USA",162,7
English,USA,163,0
English,USA,164,0
English,USA,165,0
English,USA,166,0
English,USA,167,0
English,USA,168,0
English,USA,169,0
English,USA,170,0
English,USA,171,0
English,USA,172,0
English,USA,173,0
"English,Spanish",USA,174,15
English,USA,175,0
English,USA,176,0
English,USA,177,0
"English,French",USA,178,26
"English,Swahili",USA,179,48
"English,Russian,Polish","USA,United Arab Emirates,Poland",180,49
English,USA,181,0
English,USA,182,0
English,"UK,USA",183,16
English,USA,184,0
English,USA,185,0
English,USA,186,0
English,USA,187,0
English,USA,188,0
English,USA,189,0
"English,Russian","UK,USA,France",190,50
English,USA,191,0
English,USA,192,0
English,USA,193,0
English,USA,194,0
"English,Spanish",USA,195,15
English,USA,196,0
English,USA,197,0
English,"USA,Hong Kong",198,51
English,USA,199,0
English,USA,200,0
English,USA,201,0
English,USA,202,0
English,USA,203,0
"English,Italian,Portuguese",USA,204,52
English,USA,205,0
"English,Spanish,Russian,German","USA,Germany",206,53
"English,Italian,French,Danish","USA,Germany,UK",207,54
"English,Albanian,Spanish",USA,208,55
English,USA,209,0
English,USA,210,0
"English,German,French,Russian",USA,211,56
"English,Spanish","USA,UK",212,57
English,USA,213,0
English,USA,214,0
English,USA,215,0
"English,Hebrew",USA,216,58
English,USA,217,0
English,USA,218,0
"English,Spanish","USA,Mexico",219,59
English,USA,220,0
English,USA,221,0
English,USA,222,0
English,USA,223,0
"English,French,Italian,German",USA,224,60
"English,French,Italian,Portuguese,Japanese",USA,225,61
"English,German","France,Italy,USA",226,62
"English,Italian,Spanish",USA,227,63
English,USA,228,0
"English,Apache languages",USA,229,64
English,USA,230,0
English,USA,231,0
English,USA,232,0
English,USA,233,0
English,USA,234,0
English,USA,235,0
English,USA,236,0
English,USA,237,0
English,"USA,Germany,UK,Canada",238,65
English,"UK,USA",239,16
English,USA,240,0
English,USA,241,0
"English,Spanish",USA,242,15
"English,Russian,Turkish,Ukrainian,Urdu","USA,UK,Canada",243,66
"English,Portuguese",USA,244,30
English,USA,245,0
English,USA,246,0
"English,Italian","USA,UK",247,67
English,USA,248,0
English,USA,249,0
"English,Italian",USA,250,5
"English,Italian,French","USA,Italy",251,68
English,"Spain,West Germany,UK,USA",252,69
English,USA,253,0
English,USA,254,0
English,USA,255,0
"English,German,Arabic,Urdu",USA,256,70
"English,Burmese,Thai","USA,Germany",257,71
English,USA,258,0
English,USA,259,0
"English,German,French","USA,Canada",260,72
English,USA,261,0
English,USA,262,0
"English,Arabic",USA,263,73
English,USA,264,0
English,"USA,UK",265,41
English,USA,266,0
English,"USA,UK",267,41
"English,Russian",USA,268,17
English,USA,269,0
English,USA,270,0
"English,Swahili",USA,271,48
English,USA,272,0
English,USA,273,0
English,USA,274,0
English,USA,275,0
English,USA,276,0
English,USA,277,0
"English,American Sign Language",USA,278,74
English,USA,279,0
"English,Tibetan,Mandarin",USA,280,75
English,"USA,Canada",281,39
English,USA,282,0
English,USA,283,0
English,USA,284,0
English,USA,285,0
English,"USA,UK",286,41
English,USA,287,0
English,USA,288,0
"English,Arabic","USA,UK",289,76
English,"USA,Germany",290,14
"English,Old English",USA,291,77
"English,Italian","USA,France",292,78
English,USA,293,0
English,USA,294,0
English,USA,295,0
"English,Latin,Spanish",USA,296,79
English,USA,297,0
English,USA,298,0
English,USA,299,0
English,USA,300,0
English,USA,301,0
English,USA,302,0
"English,Spanish,Russian,Italian",USA,303,80
English,"Germany,UK,USA,France",304,81
English,USA,305,0
English,USA,306,0
"English,German,Romanian",USA,307,82
"English,Russian,Hindi",USA,308,83
"English,French,Scottish Gaelic","USA,Czech Republic",309,84
"English,Spanish",USA,310,15
"English,Persian,Urdu,Arabic,Hungarian",USA,311,85
English,USA,312,0
English,USA,313,0
English,USA,314,0
English,USA,315,0
English,USA,316,0
English,USA,317,0
English,USA,318,0
English,USA,319,0
English,"Canada,USA",320,86
English,USA,321,0
"Spanish,English,Italian","Spain,USA,Puerto Rico,Italy",322,87
English,USA,323,0
"English,Spanish","USA,Australia",324,88
English,USA,325,0
English,USA,326,0
"English,Danish,Spanish","USA,UK",327,89
English,USA,328,0
English,"USA,UK",329,41
"English,Italian","USA,UK",330,67
English,"USA,France",331,90
English,USA,332,0
English,USA,333,0
English,USA,334,0
English,USA,335,0
"English,Spanish",USA,336,15
English,USA,337,0
English,USA,338,0
English,USA,339,0
English,USA,340,0
English,"USA,Italy",341,29
English,"USA,UK,Australia,South Africa",342,91
"English,Italian",USA,343,5
English,"USA,Germany",344,14
English,USA,345,0
"English,Spanish","USA,United Arab Emirates",346,92
"English,Serbian","USA,Belgium,Bulgaria",347,93
"English,Spanish",USA,348,15
English,USA,349,0
English,USA,350,0
"English,Urdu,Arabic,Persian,French,Mandarin","USA,United Arab Emirates",351,94
English,USA,352,0
English,USA,353,0
"English,Mandarin,Cantonese","USA,United Arab Emirates",354,95
"English,French",USA,355,26
"English,Afrikaans,Maori,Zulu,Xhosa,Southern Sotho",USA,356,96
"English,Russian",USA,357,17
English,USA,358,0
"English,French",USA,359,26
"English,American Sign Language,Estonian","USA,Canada,Germany,France",360,97
English,USA,361,0
English,USA,362,0
English,USA,363,0
"English,German,Russian","USA,West Germany",364,98
"English,Japanese",USA,365,99
"English,German",USA,366,33
English,USA,367,0
"English,French",USA,368,26
English,USA,369,0
English,USA,370,0
English,USA,371,0
English,USA,372,0
English,USA,373,0
English,USA,374,0
English,USA,375,0
"English,Portuguese",USA,376,30
English,"France,UK,USA",377,100
"English,French",USA,378,26
English,USA,379,0
"English,Vietnamese,French",USA,380,101
English,USA,381,0
English,USA,382,0
English,USA,383,0
English,USA,384,0
English,USA,385,0
English,USA,386,0
English,"Peru,USA",387,102
English,USA,388,0
English,USA,389,0
English,USA,390,0
"English,Spanish",USA,391,15
"Spanish,English","Spain,USA",392,103
English,USA,393,0
English,USA,394,0
"English,Irish,Greek",USA,395,104
English,USA,396,0
English,USA,397,0
English,USA,398,0
English,USA,399,0
English,USA,400,0
English,USA,401,0
English,USA,402,0
English,USA,403,0
English,USA,404,0
English,USA,405,0
English,USA,406,0
English,USA,407,0
English,USA,408,0
"English,Klingon","USA,UK",409,105
"English,Mandarin","USA,UK,Germany",410,106
English,USA,411,0
English,USA,412,0
English,USA,413,0
English,USA,414,0
English,USA,415,0
English,"UK,Germany,Japan,USA",416,107
"English,French","USA,Germany",417,108
English,USA,418,0
English,USA,419,0
"English,Spanish,German",USA,420,109
English,USA,421,0
English,"Germany,USA",422,110
"English,Japanese",USA,423,99
"English,Apache languages",USA,424,64
English,USA,425,0
English,"USA,UK",426,41
"English,Spanish",USA,427,15
English,USA,428,0
"English,French","USA,Germany",429,108
English,USA,430,0
English,USA,431,0
English,USA,432,0
English,USA,433,0
English,USA,434,0
English,USA,435,0
English,USA,436,0
English,"France,USA",437,7
English,USA,438,0
English,USA,439,0
English,USA,440,0
English,USA,441,0
English,USA,442,0
"Spanish,English","Spain,France,USA",443,111
English,USA,444,0
English,USA,445,0
English,USA,446,0
English,USA,447,0
English,USA,448,0
English,USA,449,0
"English,Spanish",USA,450,15
"English,Portuguese",USA,451,30
English,USA,452,0
English,USA,453,0
English,USA,454,0
English,USA,455,0
"English,Spanish",USA,456,15
English,USA,457,0
English,USA,458,0
English,USA,459,0
"English,French",USA,460,26
English,"USA,Japan",461,112
English,USA,462,0
English,USA,463,0
English,USA,464,0
English,USA,465,0
"English,Spanish","France,USA",466,113
English,USA,467,0
English,USA,468,0
"English,French",USA,469,26
English,USA,470,0
English,USA,471,0
"English,German,Spanish",USA,472,114
"English,German,Swedish,American Sign Language",USA,473,115
English,USA,474,0
English,USA,475,0
English,USA,476,0
English,USA,477,0
English,USA,478,0
English,USA,479,0
English,USA,480,0
"Mandarin,English,French","China,USA,Canada",481,116
English,USA,482,0
"English,Italian,Spanish",USA,483,63
English,USA,484,0
English,USA,485,0
English,USA,486,0
"English,German,Swedish,Norwegian",USA,487,117
English,USA,488,0
English,"UK,France,USA",489,118
English,USA,490,0
English,USA,491,0
English,USA,492,0
English,USA,493,0
English,USA,494,0
English,USA,495,0
English,USA,496,0
English,USA,497,0
English,USA,498,0
English,USA,499,0
English,USA,500,0
English,USA,501,0
English,USA,502,0
English,USA,503,0
English,USA,504,0
English,USA,505,0
English,USA,506,0
"English,Spanish",USA,507,15
"English,Spanish",USA,508,15
English,"UK,USA",509,16
English,USA,510,0
English,USA,511,0
"English,Russian",USA,512,17
"English,Spanish",USA,513,15
English,USA,514,0
English,USA,515,0
English,USA,516,0
English,USA,517,0
English,"Philippines,USA",518,119
English,USA,519,0
"English,German",USA,520,33
"English,French",USA,521,26
English,"USA,France",522,90
English,"UK,USA,Canada",523,120
English,USA,524,0
English,USA,525,0
English,USA,526,0
English,USA,527,0
English,USA,528,0
English,USA,529,0
English,USA,530,0
English,USA,531,0
English,"USA,Australia",532,25
English,USA,533,0
English,"USA,UK",534,41
English,USA,535,0
English,USA,536,0
"English,Spanish","USA,Germany,Canada",537,121
"English,Serbo-Croatian",USA,538,122
"English,Cantonese,Italian",USA,539,123
"English,Norwegian",USA,540,124
English,USA,541,0
English,USA,542,0
"English,Spanish",USA,543,15
English,USA,544,0
English,USA,545,0
English,USA,546,0
English,"USA,UK",547,41
English,USA,548,0
English,USA,549,0
English,USA,550,0
English,USA,551,0
"English,French,Spanish",USA,552,125
English,USA,553,0
English,USA,554,0
English,USA,555,0
English,USA,556,0
English,USA,557,0
English,USA,558,0
English,USA,559,0
English,"UK,USA",560,16
English,USA,561,0
English,"UK,USA",562,16
English,USA,563,0
English,USA,564,0
English,USA,565,0
English,USA,566,0
English,"Canada,USA",567,86
"English,Japanese",USA,568,99
English,USA,569,0
English,"USA,France,Australia,UK,Germany,Canada",570,126
English,"USA,Canada",571,39
English,"USA,Germany,Netherlands",572,127
English,USA,573,0
English,USA,574,0
English,"USA,Australia",575,25
English,USA,576,0
"English,Spanish",USA,577,15
"English,Hungarian,Hebrew",USA,578,128
"English,Arabic,Spanish",USA,579,13
"English,French,Spanish",USA,580,125
English,USA,581,0
English,USA,582,0
English,USA,583,0
English,USA,584,0
English,"UK,Italy,USA",585,129
English,USA,586,0
"English,Spanish",USA,587,15
English,USA,588,0
English,USA,589,0
English,"USA,West Germany",590,130
English,USA,591,0
English,USA,592,0
English,USA,593,0
"English,North American Indian",USA,594,131
"English,Afrikaans,Spanish","USA,South Africa,Japan",595,132
"English,Italian,Spanish","USA,Italy",596,133
English,USA,597,0
English,USA,598,0
English,"USA,Canada",599,39
"English,Spanish",USA,600,15
English,"UK,USA",601,16
English,USA,602,0
English,USA,603,0
English,USA,604,0
English,USA,605,0
English,USA,606,0
English,USA,607,0
English,USA,608,0
English,USA,609,0
English,USA,610,0
English,USA,611,0
English,USA,612,0
English,USA,613,0
English,USA,614,0
English,USA,615,0
English,"USA,Italy",616,29
English,USA,617,0
"English,Italian",USA,618,5
English,USA,619,0
English,USA,620,0
English,USA,621,0
English,USA,622,0
"English,French",USA,623,26
"English,Spanish","USA,Germany",624,134
English,USA,625,0
English,USA,626,0
"English,German,Japanese,Latin,Spanish","France,USA",627,135
English,"USA,Germany",628,14
English,USA,629,0
English,USA,630,0
"English,Arabic",USA,631,73
English,USA,632,0
English,USA,633,0
English,"UK,Germany,USA",634,136
English,USA,635,0
English,USA,636,0
English,USA,637,0
English,USA,638,0
"English,Korean",USA,639,137
English,USA,640,0
English,USA,641,0
English,USA,642,0
English,USA,643,0
English,USA,644,0
English,USA,645,0
English,USA,646,0
English,USA,647,0
English,USA,648,0
English,USA,649,0
English,USA,650,0
English,"France,USA",651,7
English,"USA,Canada",652,39
English,USA,653,0
English,USA,654,0
English,USA,655,0
English,USA,656,0
English,USA,657,0
"English,French",USA,658,26
"English,Hebrew",USA,659,58
English,"USA,UK",660,41
"English,French","USA,Japan",661,138
English,USA,662,0
"English,Spanish",USA,663,15
English,USA,664,0
English,USA,665,0
English,USA,666,0
"English,Mandarin,Sioux,Spanish","USA,Hong Kong",667,139
English,USA,668,0
"English,French",USA,669,26
English,USA,670,0
English,USA,671,0
English,USA,672,0
English,USA,673,0
English,USA,674,0
English,USA,675,0
English,USA,676,0
English,USA,677,0
English,USA,678,0
English,"USA,Japan,UK",679,140
English,USA,680,0
English,USA,681,0
"English,French","USA,Portugal,West Germany,France,Spain,Netherlands,UK",682,141
English,USA,683,0
English,USA,684,0
English,USA,685,0
English,USA,686,0
English,USA,687,0
English,USA,688,0
English,USA,689,0
English,USA,690,0
English,"USA,Germany",691,14
English,USA,692,0
English,"Germany,USA,Netherlands,France,UK,Italy",693,142
"English,Latin,Irish,Welsh,Scottish Gaelic","USA,UK,Ireland",694,143
English,USA,695,0
English,"UK,Netherlands,USA",696,144
"English,Italian","USA,France",697,78
"English,Spanish",USA,698,15
"English,German,Greek",USA,699,145
"English,French,German,Hebrew,Italian,Spanish","USA,UK",700,146
"English,Danish,German","USA,Czech Republic",701,147
"English,Vietnamese,French","USA,UK",702,148
English,"USA,Spain,Italy,Canada",703,149
English,USA,704,0
English,USA,705,0
English,"Italy,USA",706,150
English,USA,707,0
English,USA,708,0
English,USA,709,0
English,"USA,West Germany,UK",710,151
English,USA,711,0
English,USA,712,0
English,"Israel,USA",713,152
English,USA,714,0
English,USA,715,0
English,USA,716,0
English,"UK,USA",717,16
English,USA,718,0
English,USA,719,0
English,"USA,Canada,Japan,Panama",720,153
English,USA,721,0
English,"USA,UK",722,41
English,USA,723,0
English,USA,724,0
English,USA,725,0
English,USA,726,0
English,USA,727,0
"English,Korean",USA,728,137
"English,French",USA,729,26
English,USA,730,0
"English,Italian,Japanese","USA,UK",731,154
English,USA,732,0
English,"USA,Spain",733,155
English,USA,734,0
English,"USA,Canada",735,39
English,USA,736,0
English,USA,737,0
English,USA,738,0
English,USA,739,0
English,USA,740,0
English,USA,741,0
English,USA,742,0
English,USA,743,0
English,USA,744,0
English,USA,745,0
English,USA,746,0
English,USA,747,0
English,USA,748,0
English,USA,749,0
English,USA,750,0
English,"France,USA",751,7
English,USA,752,0
English,USA,753,0
English,USA,754,0
English,USA,755,0
English,"USA,UK,Germany",756,156
English,"Canada,USA,Italy",757,157
English,"France,USA",758,7
English,USA,759,0
English,USA,760,0
English,USA,761,0
"English,Spanish",USA,762,15
English,USA,763,0
"English,French",USA,764,26
English,USA,765,0
"English,Mandarin,Cantonese","USA,Hong Kong",766,158
English,USA,767,0
English,USA,768,0
English,USA,769,0
English,USA,770,0
English,USA,771,0
English,USA,772,0
English,"USA,UK",773,41
"English,Italian","Germany,USA",774,159
English,USA,775,0
English,USA,776,0
English,"UK,USA",777,16
English,"Germany,USA",778,110
English,"UK,France,USA",779,118
English,USA,780,0
English,USA,781,0
English,USA,782,0
English,USA,783,0
"English,French,Latin","Germany,Belgium,USA",784,160
English,USA,785,0
English,USA,786,0
English,"Germany,UK,USA",787,161
"English,Spanish",USA,788,15
English,USA,789,0
"English,French",USA,790,26
English,USA,791,0
English,USA,792,0
English,"USA,UK,Australia",793,162
English,USA,794,0
English,USA,795,0
English,USA,796,0
English,USA,797,0
English,"USA,Germany",798,14
English,USA,799,0
English,USA,800,0
English,USA,801,0
English,USA,802,0
English,USA,803,0
English,USA,804,0
English,USA,805,0
English,USA,806,0
"English,Hebrew",USA,807,58
English,USA,808,0
"English,Greek","Greece,USA",809,163
English,USA,810,0
English,USA,811,0
English,USA,812,0
English,"UK,USA",813,16
English,USA,814,0
English,USA,815,0
English,USA,816,0
"English,Hawaiian,German,Japanese",USA,817,164
English,"UK,USA,France",818,165
English,USA,819,0
English,USA,820,0
English,USA,821,0
English,"USA,Germany",822,14
English,USA,823,0
"English,Portuguese",USA,824,30
English,USA,825,0
English,USA,826,0
English,USA,827,0
English,USA,828,0
English,USA,829,0
English,"USA,UK",830,41
English,USA,831,0
English,USA,832,0
English,USA,833,0
English,"USA,UK",834,41
English,USA,835,0
English,"USA,Germany",836,14
English,USA,837,0
English,USA,838,0
English,"Australia,USA,UK",839,166
English,"USA,Canada",840,39
"English,French,Japanese","USA,Spain",841,167
English,USA,842,0
English,USA,843,0
English,USA,844,0
"English,Icelandic",USA,845,168
English,USA,846,0
English,USA,847,0
English,USA,848,0
English,USA,849,0
"English,Swedish",USA,850,169
English,USA,851,0
English,USA,852,0
"English,Spanish",USA,853,15
English,USA,854,0
English,"USA,New Zealand",855,19
English,USA,856,0
English,USA,857,0
English,USA,858,0
English,USA,859,0
"English,French,Korean","UK,France,South Korea,USA",860,170
English,USA,861,0
English,USA,862,0
English,"USA,Botswana",863,171
English,"Canada,USA,Mexico,Micronesia,Japan,Australia,Brazil,Hong Kong,Madagascar,Papua New Guinea,South Africa",864,172
"English,French","Netherlands,USA,UK,France",865,173
English,"USA,France",866,90
English,USA,867,0
English,USA,868,0
English,USA,869,0
English,USA,870,0
English,USA,871,0
English,USA,872,0
English,USA,873,0
English,"China,USA",874,174
English,USA,875,0
English,USA,876,0
English,USA,877,0
English,USA,878,0
English,USA,879,0
English,USA,880,0
English,USA,881,0
English,USA,882,0
English,USA,883,0
"English,Portuguese",USA,884,30
"English,Spanish",USA,885,15
"Spanish,English",USA,886,175
English,USA,887,0
English,USA,888,0
"English,Italian",USA,889,5
English,"Canada,USA,Japan",890,176
English,"UK,USA",891,16
English,USA,892,0
English,USA,893,0
English,USA,894,0
"English,Portuguese,Spanish,German,French",USA,895,177
English,USA,896,0
English,USA,897,0
English,USA,898,0
English,"Australia,USA,Denmark",899,178
English,USA,900,0
English,USA,901,0
"English,Greek,German","UK,USA",902,179
"English,Hawaiian",USA,903,180
"English,German,Russian",USA,904,181
English,USA,905,0
English,USA,906,0
English,USA,907,0
English,USA,908,0
English,USA,909,0
"English,Croatian",USA,910,182
English,USA,911,0
English,"USA,China",912,183
"English,Japanese,Cantonese,Mandarin",USA,913,184
"English,Spanish","USA,UK",914,57
"English,Nyanja,Afrikaans,Zulu,Xhosa,Southern Sotho","USA,New Zealand,Canada,South Africa",915,185
English,"USA,Canada,UK",916,186
"English,French,Russian",USA,917,47
"English,Sign Languages",USA,918,187
"English,Klingon",USA,919,188
English,USA,920,0
"English,German,French,Spanish,Russian","USA,UK",921,189
"English,French",USA,922,26
"English,French",USA,923,26
"English,Japanese,Italian,French",USA,924,190
"English,Spanish",USA,925,15
"English,Italian,Japanese,Yiddish",USA,926,191
English,USA,927,0
English,USA,928,0
English,USA,929,0
English,"USA,UK",930,41
"English,Japanese,Arabic,Persian",USA,931,192
English,USA,932,0
"English,Persian,Russian",USA,933,193
"English,Spanish","France,USA",934,113
"English,Spanish","USA,Australia,Hong Kong,Switzerland,China",935,194
English,USA,936,0
English,USA,937,0
English,USA,938,0
"English,Spanish",USA,939,15
"English,German,Italian,Mandarin,Spanish","USA,Germany",940,195
"English,American Sign Language",USA,941,74
"English,Spanish,Russian",USA,942,196
"English,German",USA,943,33
"English,Italian",USA,944,5
"English,French,German",USA,945,197
English,USA,946,0
English,USA,947,0
"English,French",USA,948,26
English,USA,949,0
English,USA,950,0
"English,Italian,Hebrew","USA,UK",951,198
English,USA,952,0
English,USA,953,0
"English,German","USA,UK",954,199
English,USA,955,0
English,"USA,Canada",956,39
"English,Japanese",USA,957,99
English,"USA,UK,Australia",958,162
"English,French",USA,959,26
English,"UK,USA",960,16
"English,French",USA,961,26
English,USA,962,0
"English,French",USA,963,26
English,"UK,USA",964,16
"English,Dutch","Germany,USA",965,200
"English,French,Spanish,Japanese",USA,966,201
"English,French",USA,967,26
English,"UK,USA",968,16
English,USA,969,0
English,USA,970,0
English,USA,971,0
"English,Cantonese",USA,972,202
English,USA,973,0
"English,Yiddish",USA,974,203
English,"Germany,USA",975,110
English,USA,976,0
"English,German",USA,977,33
"English,Cantonese",USA,978,202
"English,French,Klingon,Korean,Arabic","USA,Germany",979,204
English,USA,980,0
English,USA,981,0
"English,Thai,Spanish,Hebrew,French",USA,982,205
"English,Romanian,Hebrew,Polish,Armenian","USA,UK",983,206
"English,Japanese,German,French",USA,984,207
"English,Hungarian","USA,Canada",985,208
English,"Canada,USA",986,86
English,"USA,Canada",987,39
"English,Yiddish",USA,988,203
English,USA,989,0
English,USA,990,0
"English,French,Persian",USA,991,209
"English,German",USA,992,33
"English,Italian,Yiddish",USA,993,210
English,"USA,Germany",994,14
English,USA,995,0
English,USA,996,0
"English,Russian,French",USA,997,211
English,"USA,UK,France",998,212
"English,Dutch,Italian",USA,999,213
English,"UK,USA,Iceland",1000,214
English,"USA,Ireland,UK",1001,215
"English,American Sign Language",USA,1002,74
English,"USA,Canada",1003,39
English,USA,1004,0
English,USA,1005,0
English,USA,1006,0
"English,Icelandic,Italian",USA,1007,216
"English,Spanish","Spain,UK,USA",1008,217
English,USA,1009,0
English,USA,1010,0
English,USA,1011,0
"English,Korean","Canada,USA",1012,218
English,"USA,Poland,Slovenia,Czech Republic",1013,219
English,USA,1014,0
"English,Spanish","UK,USA",1015,220
English,USA,1016,0
"English,Algonquin",USA,1017,221
English,USA,1018,0
"English,Spanish",USA,1019,15
English,USA,1020,0
English,USA,1021,0
"English,Hebrew",USA,1022,58
English,"Hungary,USA",1023,222
English,USA,1024,0
"English,Spanish",USA,1025,15
"English,Korean,Estonian","USA,Australia",1026,223
English,USA,1027,0
"English,Swedish,German",USA,1028,224
"English,Spanish,Hebrew",USA,1029,225
"English,German",USA,1030,33
"English,German",USA,1031,33
English,USA,1032,0
English,USA,1033,0
English,"Ireland,USA",1034,226
English,"USA,UK",1035,41
English,"Ireland,UK,USA",1036,227
English,"Ireland,USA",1037,226
English,"Ireland,USA",1038,226
English,"Ireland,UK,USA",1039,227
English,USA,1040,0
English,"USA,Ireland",1041,228
"English,German","USA,UK,Japan,West Germany",1042,229
English,"USA,Australia",1043,25
English,USA,1044,0
English,USA,1045,0
English,"USA,Japan",1046,112
English,USA,1047,0
English,"USA,Australia",1048,25
English,USA,1049,0
English,"New Zealand,USA",1050,230
English,USA,1051,0
English,USA,1052,0
English,USA,1053,0
English,USA,1054,0
English,USA,1055,0
English,USA,1056,0
English,USA,1057,0
English,"UK,USA",1058,16
"English,Tibetan,German","USA,UK,Italy",1059,231
English,USA,1060,0
English,USA,1061,0
English,USA,1062,0
English,USA,1063,0
English,USA,1064,0
English,USA,1065,0
English,USA,1066,0
English,USA,1067,0
English,USA,1068,0
English,USA,1069,0
English,USA,1070,0
English,USA,1071,0
English,"UK,USA",1072,16
English,USA,1073,0
English,USA,1074,0
English,USA,1075,0
English,"UK,USA",1076,16
"English,Czech",USA,1077,232
English,USA,1078,0
"English,Japanese","USA,Japan",1079,233
"Russian,English","USA,Russia",1080,234
English,"UK,USA",1081,16
English,USA,1082,0
English,USA,1083,0
English,USA,1084,0
"English,Spanish",USA,1085,15
English,USA,1086,0
English,USA,1087,0
English,"Canada,France,Costa Rica,Germany,Netherlands,Turkey,USA",1088,235
English,USA,1089,0
"English,Spanish",USA,1090,15
English,USA,1091,0
English,USA,1092,0
English,USA,1093,0
English,USA,1094,0
English,USA,1095,0
English,"Canada,USA",1096,86
English,USA,1097,0
English,USA,1098,0
English,USA,1099,0
English,USA,1100,0
English,USA,1101,0
English,USA,1102,0
"English,Spanish","USA,France",1103,236
English,USA,1104,0
English,USA,1105,0
"English,Vietnamese","UK,USA",1106,237
"English,German,French,Italian","USA,Germany",1107,238
"English,Spanish,French",USA,1108,239
English,USA,1109,0
English,USA,1110,0
English,USA,1111,0
English,"USA,UK",1112,41
"English,Spanish",USA,1113,15
"English,German,French,Russian",USA,1114,56
English,"USA,Australia",1115,25
"English,German,Hebrew,Spanish,Arabic,Nepali",USA,1116,240
English,USA,1117,0
"English,Spanish",USA,1118,15
English,"UK,USA",1119,16
English,"USA,France",1120,90
English,USA,1121,0
English,USA,1122,0
English,USA,1123,0
English,USA,1124,0
English,USA,1125,0
English,USA,1126,0
English,"USA,Italy",1127,29
