article_pagination,original_index,unique_index
1271-6,625,554
527-35,626,555
2055-9,627,556
320-6,628,557
361-368,629,558
591-5,630,559
359-362,631,560
75,632,561
iii25-iii25,633,562
62928,634,563
153-6,635,564
328,636,565
138-139,637,566
156-9,638,567
120-6 ST  - Bioavailability and tolerability of intranasal diazepam in healthy adult volunteers-,639,568
2755-72,640,569
862-869,641,570
,642,1
e483; author's reply e484,643,571
214-8,644,572
,645,1
307-17,646,573
336-48,647,574
72,648,575
83-88,649,576
S67-8 1p,650,577
1883-94,651,578
55-60,652,579
2335-2340,653,580
19-24,654,581
167-175,655,582
3111-9,656,583
720-6,657,584
615-9,658,585
1237-48,659,586
945-52,660,587
A31,661,588
341-7,662,589
e103065,663,590
599-606,664,591
,665,1
542-549,666,592
209-234,667,593
32,668,594
142-166,669,595
139,670,596
700-4,671,597
422-424,672,598
209-19,673,599
207-20,674,600
55-56,675,601
1704-10 ST  - Aerobic fitness testing in patients with chronic low back pain: which test is best?-,676,602
"262-265 ST  - Poster abstracts. The National Association of Bariatric Nurses, 4th Annual Meeting and Conference, October 24-27, 2007, North Charleston, South Carolina-",677,603
79-85,678,604
514-27,679,605
50-55,680,606
22,681,220
113-129,682,607
5635-42,683,608
10-14 DO  - 10.1016/S0748-7983(10)00156-3,684,609
9-Mar,685,610
257-264,686,611
1487-90,687,612
15-21,688,613
447-52 ST  - [Studies on cefotaxime (HR 756) concentration in human biliary tract and clinical effect for acute or subacute cholecystitis with cholelithiasis (author's transl)]-,689,614
983-6,690,615
G11-G15,691,616
,692,1
139-145,693,617
603-10,694,618
2425-31,695,619
332-3,696,620
4482-4486,697,621
47-51 ST  - The concept of neurosis in a cross-cultural perspective-,698,622
1-Jan,699,623
,700,1
120 [TP 184],701,624
Cd006178,702,625
,703,1
987149,704,626
36-9,705,627
375-93,706,628
601-7,707,629
274-82,708,630
459-65,709,631
77-95,710,632
,711,1
25,712,174
414-6,713,633
1756-1764,714,634
419,715,635
297-310,716,636
64-7,717,637
923-931,718,638
13-May,719,639
13-21 DO  - 10.1016/j.brat.2011.10.009,720,640
413-27,721,641
93-99 7p,722,642
900-14,723,643
,724,1
,725,1
,726,1
170-5,727,644
S32-47,728,645
393-411,729,646
1947-1963,730,647
56-60,731,648
974-81,732,649
172-82,733,650
28-Jul,734,651
74-6,735,652
53-58,736,653
462-70,737,654
,738,1
119-26,739,655
791-799,740,656
59-63,741,657
25-29,742,658
,743,1
105-18,744,659
,745,1
,746,1
,747,1
286-91,748,660
584-90,749,661
68-9 ST  - The cost of national service frameworks-,750,662
98--100,751,663
166-188,752,664
464-468,753,665
1017-28,754,666
798-805,755,667
815-22,756,668
,757,1
"48-57; quiz 58, 60",758,669
A776,759,670
283-90,760,671
1307-12,761,672
187-93,762,673
40-43,763,674
1541-7,764,675
204-16,765,676
,766,1
769-86,767,677
,768,1
e112077,769,678
1140-50,770,679
B123-6,771,680
,772,1
2211-22,773,681
152-6,774,682
194,775,683
15-Oct,776,684
190-192,777,685
572-84,778,686
271-7,779,687
84-8,780,688
336-49,781,689
,782,1
234-249,783,690
266-8,784,691
-,785,430
29-38,786,692
79-80,787,693
20-20,788,694
35-40,789,695
694-702,790,696
,791,1
221-32,792,697
18-31 14p,793,698
615-7,794,699
1257-66,795,700
91-8,796,701
841-7,797,702
,798,1
42-53,799,703
,800,1
39-51,801,704
186-192,802,705
124-31,803,706
125-142,804,707
346-352,805,334
1928-33,806,708
47-55,807,709
299-314,808,710
756-60,809,711
,810,1
,811,1
348,812,712
161-5,813,713
11342-11352,814,714
119-125,815,715
178-88,816,716
66-76,817,717
127-31 ST  - Premature androgenic alopecia and insulin resistance. Male equivalent of polycystic ovary syndrome?-,818,718
A326,819,719
,820,1
976-9,821,720
10-10 ST  - CSM2004 best platform-,822,721
1796-7,823,722
636-45,824,723
382-7,825,724
65-68-,826,725
2063-8,827,726
1337-45,828,727
209-14,829,728
632-9,830,729
1652-8,831,730
,832,1
835-40,833,4
639-49,834,731
925-31,835,732
890-902,836,733
249-50,837,734
366-74,838,735
693-6; discussion 697 ST  - Value of intravenous cholangiography prior to laparoscopic cholecystectomy-,839,736
,840,1
2024; author reply 2026-7,841,737
1068-1074,842,738
15-20,843,739
,844,1
13-14,845,740
969-75,846,741
525-531 ST  - How to appraise the effectiveness of treatment-,847,742
1296-304,848,743
3224,849,744
390-8,850,745
435-441,851,746
750-758 9p,852,747
1039-46,853,748
343-51,854,749
330-7,855,750
,856,1
2826-34,857,751
1325-1332,858,752
A176,859,753
P3021,860,754
,861,1
72-7,862,755
29-33,863,756
531-9,864,757
217-24,865,758
CD001364,866,759
759-60,867,760
,868,1
58-68 ST  - Exercise-induced changes of the upper extremity in chronic stroke survivors-,869,761
287-291,870,762
e004623,871,763
371-80; discussion 435-513,872,764
Cd001799,873,765
6-May,874,766
643-50 ST  - Cost-utility analysis of osteopathy in primary care: results from a pragmatic randomized controlled trial-,875,767
138-52 ST  - The cost of depression-complicated alcoholism: health-care utilization and treatment effectiveness-,876,768
,877,1
507-18,878,769
526,879,770
722-7,880,771
646-666,881,772
,882,1
146-160,883,773
,884,1
791-802,885,774
650-4,886,775
,887,1
e70858,888,776
153,889,777
391-398,890,778
94-104,891,779
63-71 ST  - Polycystic ovary syndrome (PCOS) and other androgen excess-related conditions: can changes in dietary intake make a difference?-,892,780
1468-74,893,781
34-41 ST  - Shedding health risks with bariatric weight loss surgery-,894,782
427-35,895,55
471-6,896,783
"1347-53 ST  - Significantly higher adrenocorticotropin-stimulated cortisol and 17-hydroxyprogesterone levels in 337 consecutive, premenopausal, caucasian, hirsute patients compared with healthy controls-",897,784
,898,1
S50-5,899,785
74-82,900,786
495-503,901,787
255-63,902,788
22-25,903,789
625-31,904,790
58-69,905,214
,906,1
195-202,907,791
16-Mar,908,792
4086-93,909,793
14306-14311,910,794
e1001835; discussion e1001835-e1001835; discussion e1001835,911,795
244-233,912,796
e734-41,913,797
322-9,914,798
177-88,915,799
,916,1
813-20,917,800
277-80,918,801
41-7,919,802
471-3,920,803
,921,1
P435,922,804
131-134,923,134
248-54,924,805
409-414,925,806
733-743,926,807
18-Nov,927,808
20-4 ST  - Preferences and practices of Americans and their physicians in antihypertensive therapy-,928,809
e7,929,810
141-8,930,811
2607-18,931,812
,932,1
,933,1
105-109,934,813
2.05427E+015,935,814
454-60,936,815
570-4,937,816
545-9,938,817
247-256 10p,939,818
449-457,940,819
S25-7,941,820
300-306,942,821
446-55,943,822
134-44,944,823
488-96,945,824
449-455,946,825
,947,1
,948,1
261-270 ST  - Are stretches effective in the prevention and treatment of glenohumeral internal rotation deficit?-,949,826
e109114,950,827
677-680,951,828
159-166,952,829
791-9,953,830
720-6,954,584
225-263,955,831
323-333,956,832
574-84,957,833
179-186,958,834
703,959,835
1943-1946,960,836
546-8,961,837
iii-vii,962,838
701-707,963,839
,964,1
1270-7,965,840
693-9,966,841
556-65,967,842
104-7; discussion 108,968,843
103-119,969,844
68-75,970,845
25-33,971,846
11-Sep,972,847
1159-73,973,848
513-6,974,849
71-7,975,850
,976,1
iii35-44,977,851
,978,1
3017-28,979,852
74570A-74570A-9,980,853
240-54,981,854
i48-55,982,855
295-301,983,856
S331-,984,857
728-730-,985,858
2371-8,986,859
617-23,987,860
63-66,988,861
833-9,989,862
1343S-1353S,990,863
1147-60,991,864
3917-31,992,865
141-149,993,866
374-8,994,867
297-301,995,868
33501,996,869
,997,1
1219-1220,998,870
71-80,999,871
