HospitalName,CountyName,original_index,unique_index,count
eliza coffee memorial hospital,laudxrdalx,72,7,1
eliza coffee memorial hospital,lauderdale,73,6,23
eliza coffee memorial hospital,lauderdale,74,6,23
eliza coffee memorial hospital,lauderdale,75,6,23
eliza coffee memorial hospital,lauderdale,76,6,23
eliza coffee memorial hospital,laudexdale,77,8,1
eliza coffee memorial hospital,lauderdale,78,6,23
eliza coffee memorial hospital,lauderdale,79,6,23
eliza coffee memorial hospital,lauderdale,80,6,23
eliza coffee memorial hospital,lauderdale,81,6,23
eliza coffee memorial hospital,lauderdale,82,6,23
eliza coffee memorial hospital,lauderdale,83,6,23
eliza coffee memorial hospital,lauderdale,84,6,23
eliza coffee memorial hospital,lauderdale,85,6,23
eliza coffee memorial hospital,lauderdale,86,6,23
eliza coffee memorial hospital,lauderdale,87,6,23
eliza coffee memorial hospital,lauderdale,88,6,23
eliza coffee memorial hospital,lauderdale,89,6,23
eliza coffee memorial hospital,lauderdale,90,6,23
eliza coffee memorial hospital,lauderdale,91,6,23
eliza coffee memorial hospital,lauderdale,92,6,23
eliza coffee memorial hospital,lauderdale,93,6,23
mizell memorial hospital,covington,94,9,25
mizell memorial hospital,covington,95,9,25
mizell memorial hospital,covington,96,9,25
mizell memorial hospital,covington,97,9,25
mizell memorial hospital,covington,98,9,25
mizell memorial hospital,covington,99,9,25
mizell memorial hospital,covington,100,9,25
mizell memorial hospital,covington,101,9,25
mizell memorial hospital,covington,102,9,25
mizell memorial hospital,covington,103,9,25
mizell memorial hospital,covington,104,9,25
mizell memorial hospital,covington,105,9,25
mizell memorial hospital,covington,106,9,25
mizell memorial hospital,covington,107,9,25
mizell memorial hospital,covington,108,9,25
mizell memorial hospital,covington,109,9,25
mizell memorial hospital,covington,110,9,25
mizell memorial hospital,covington,111,9,25
mizell memorial hospital,covington,112,9,25
mizell memorial hospital,covington,113,9,25
mizell memorial hospital,covington,114,9,25
mizell memorial hospital,covington,115,9,25
mizell memorial hospital,covington,116,9,25
mizell memorial hospital,covington,117,9,25
mizell memorial hospital,covington,118,9,25
crenshaw community hospital,crenshaw,119,10,23
crenshaw community hospital,crenshaw,120,10,23
crenshaw community hospital,crenshaw,121,10,23
crenshaw community hospital,crenshaw,122,10,23
crenshaw community hospital,crenshaw,123,10,23
crenshaw community hospital,crenshaw,124,10,23
crenshaw community hospital,crenshaw,125,10,23
crenshaw community hospital,crenshaw,126,10,23
crenshaw community hospital,crenshaw,127,10,23
crenshaw community hospital,crenshaw,128,10,23
crenshaw community hospital,crenshaw,129,10,23
crenshaw community hospital,crenshaw,130,10,23
crenshaw cxmmunity hxspital,crenshaw,131,11,1
crenshaw community hospital,crenshaw,132,10,23
crenshaw community hospital,crenshaw,133,10,23
crenshaw community hospital,crenshaw,134,10,23
crenshaw community hospital,crenshaw,135,10,23
crenshaw community hospital,crxnshaw,136,12,1
crenshaw community hospital,crenshaw,137,10,23
crenshaw community hospital,crenshaw,138,10,23
crenshaw community hospital,crenshaw,139,10,23
crenshaw community hospital,crenshaw,140,10,23
crenshaw community hospital,crenshaw,141,10,23
crenshaw community hospital,crenshaw,142,10,23
crenshaw community hospital,crenshaw,143,10,23
hartselle medical center,morgan,144,13,25
hartselle medical center,morgan,145,13,25
hartselle medical center,morgan,146,13,25
hartselle medical center,morgan,147,13,25
hartselle medical center,morgan,148,13,25
hartselle medical center,morgan,149,13,25
hartselle medical center,morgan,150,13,25
hartselle medical center,morgan,151,13,25
hartselle medical center,morgan,152,13,25
hartselle medical center,morgan,153,13,25
hartselle medical center,morgan,154,13,25
hartselle medical center,morgan,155,13,25
hartselle medical center,morgan,156,13,25
hartselle medical center,morgan,157,13,25
hartselle medical center,morgan,158,13,25
hartselle medical center,morgan,159,13,25
hartselle medical center,morgan,160,13,25
hartselle medical center,morgan,161,13,25
hartselle medical center,morgan,162,13,25
hartselle medical center,morgan,163,13,25
hartselle medical center,morgan,164,13,25
hartselle medical center,morgan,165,13,25
hartselle medical center,morgan,166,13,25
hartselle medical center,morgan,167,13,25
hartselle medical center,morgan,168,13,25
marshall medical center north,marshall,169,14,24
marshall medical center north,marshall,170,14,24
marshall medical cenxer norxh,marshall,171,15,1
marshall medical center north,marshall,172,14,24
marshall medical center north,marshall,173,14,24
marshall medical center north,marshall,174,14,24
marshall medical center north,marshall,175,14,24
marshall medical center north,marshall,176,14,24
marshall medical center north,marshall,177,14,24
marshall medical center north,marshall,178,14,24
marshall medical center north,marshall,179,14,24
marshall medical center north,marshall,180,14,24
marshall medical center north,marshall,181,14,24
marshall medical center north,marshall,182,14,24
marshall medical center north,marshall,183,14,24
marshall medical center north,marshall,184,14,24
marshall medical center north,marshall,185,14,24
marshall medical center north,marshall,186,14,24
marshall medical center north,marshall,187,14,24
marshall medical center north,marshall,188,14,24
marshall medical center north,marshall,189,14,24
marshall medical center north,marshall,190,14,24
marshall medical center north,marshall,191,14,24
marshall medical center north,marshall,192,14,24
marshall medical center north,marshall,193,14,24
st vincents east,jefferson,194,16,24
st vincents east,jefferson,195,16,24
st vincents east,jefferson,196,16,24
st vincents east,jefferson,197,16,24
st vincents east,jefferson,198,16,24
st vincents east,jefferson,199,16,24
st vincents east,jefferson,200,16,24
st vincents east,jefferson,201,16,24
st vincents east,jefferson,202,16,24
st vincents east,jefferson,203,16,24
st vincents east,jefferson,204,16,24
st vincents east,jefferson,205,16,24
st vincents east,jefferson,206,16,24
st vincents east,jefferson,207,16,24
st vincents east,jefferson,208,16,24
st vincents east,jefferson,209,16,24
st vincents east,jefferson,210,16,24
st vincents east,jefferson,211,16,24
st vincents east,jefferson,212,16,24
st vincents east,jefferson,213,16,24
st vincents east,jefferson,214,16,24
st vincents east,jefferson,215,16,24
st vincents east,jeffersxn,216,17,1
st vincents east,jefferson,217,16,24
st vincents east,jefferson,218,16,24
dekalb regional medical center,de kalb,219,18,20
dekalb regional medical center,de kalb,220,18,20
dekalb regional medical center,dx kalb,221,19,2
dekalb regional medical center,de kalb,222,18,20
dekalb regional medical center,xe kalb,223,20,2
dekalb regional medical center,de kalb,224,18,20
dekalb regional medical center,de kalb,225,18,20
dekalb regional medical center,de kalb,226,18,20
dekalb regional medical center,dx kalb,227,19,2
dekalb regional medical center,de kalb,228,18,20
dekalb regional medical center,de kalb,229,18,20
dekalb regional medical center,de kalb,230,18,20
dekalb regional medical center,de kalb,231,18,20
dekalb regional medical center,de kalb,232,18,20
dekalb regional medical center,de kalb,233,18,20
dekalb regional medical center,de kalb,234,18,20
dekalb regional medical center,de kalb,235,18,20
dekalb regional medical center,de kalb,236,18,20
dekalb regional medical center,de kalb,237,18,20
dekalb regional medical center,xe kalb,238,20,2
dekalb regional medical center,de kalb,239,18,20
dekalb regional medical center,de kalb,240,18,20
dekalb regional medical center,de kalb,241,18,20
dekalb regional medical center,de kalb,242,18,20
dexalb regional medical center,de kalb,243,21,1
southwest alabama medical center,clarke,244,22,24
southwest alabama medical center,clarke,245,22,24
southwest alabama medical center,clarke,246,22,24
southwest alabama medical center,clarke,247,22,24
southwest alabama medical center,clarke,248,22,24
southwest alabama medical center,clarke,249,22,24
southwest alabama medical center,clarke,250,22,24
southwest alabama medical center,clarke,251,22,24
southwest alabama medical center,xlarke,252,23,1
southwest alabama medical center,clarke,253,22,24
southwest alabama medical center,clarke,254,22,24
southwest alabama medical center,clarke,255,22,24
southwest alabama medical center,clarke,256,22,24
southwest alabama medical center,clarke,257,22,24
southwest alabama medical center,clarke,258,22,24
southwest alabama medical center,clarke,259,22,24
southwest alabama medical center,clarke,260,22,24
southwest alabama medical center,clarke,261,22,24
southwest alabama medical center,clarke,262,22,24
southwest alabama medical center,clarke,263,22,24
southwest alabama medical center,clarke,264,22,24
southwest alabama medical center,clarke,265,22,24
southwest alabama medical center,clarke,266,22,24
southwest alabama medical center,clarke,267,22,24
southwest alabama medical center,clarke,268,22,24
shelby baptist medical center,shelby,269,24,25
shelby baptist medical center,shelby,270,24,25
shelby baptist medical center,shelby,271,24,25
shelby baptist medical center,shelby,272,24,25
shelby baptist medical center,shelby,273,24,25
shelby baptist medical center,shelby,274,24,25
shelby baptist medical center,shelby,275,24,25
shelby baptist medical center,shelby,276,24,25
shelby baptist medical center,shelby,277,24,25
shelby baptist medical center,shelby,278,24,25
shelby baptist medical center,shelby,279,24,25
shelby baptist medical center,shelby,280,24,25
shelby baptist medical center,shelby,281,24,25
shelby baptist medical center,shelby,282,24,25
shelby baptist medical center,shelby,283,24,25
shelby baptist medical center,shelby,284,24,25
shelby baptist medical center,shelby,285,24,25
shelby baptist medical center,shelby,286,24,25
shelby baptist medical center,shelby,287,24,25
shelby baptist medical center,shelby,288,24,25
shelby baptist medical center,shelby,289,24,25
shelby baptist medical center,shelby,290,24,25
shelby baptist medical center,shelby,291,24,25
shelby baptist medical center,shelby,292,24,25
shelby baptist medical center,shelby,293,24,25
callahan eye foundation hospital,jefferson,294,0,25
callahan eye foundation hospital,jefferson,295,0,25
callahan eye foundation hospital,jefferson,296,0,25
callahan eye foundation hospital,jefferson,297,0,25
callahan eye foundation hospital,jefferson,298,0,25
callahan eye foundation hospital,jefferson,299,0,25
callahan eye foundation hospital,jefferson,300,0,25
callahan eye foundation hospital,jefferson,301,0,25
callahan eye foundation hospital,jefferson,302,0,25
callahan eye foundation hospital,jefferson,303,0,25
callahan eye foundation hospital,jefferson,304,0,25
callahan eye foundation hospital,jefferson,305,0,25
callahan eye foundation hospital,jefferson,306,0,25
callahan eye foundation hospital,jefferson,307,0,25
callahan eye foundation hospital,jefferson,308,0,25
callahan eye foundation hospital,jefferson,309,0,25
callahan eye foundation hospital,jefferson,310,0,25
stringfellow memorial hospital,calhoun,311,25,26
stringfellow memorial hospital,calhoxn,312,26,1
stringfellow memorial hospital,calhoun,313,25,26
stringfellow memorial hospital,calhoun,314,25,26
stringfellow memorial hospital,calhoun,315,25,26
stringfellow memorial hospital,calhoun,316,25,26
stringfellow memorial hospital,calhoun,317,25,26
stringfellow memorial hospital,calhoun,318,25,26
stringfellow memorial hospital,calhoun,319,25,26
stringfellow memorial hospital,calhoun,320,25,26
stringfellow memorial hospital,calhoun,321,25,26
stringfellow memorial hospital,calhoun,322,25,26
stringfellow memorial hospital,calhoun,323,25,26
stringfellow memorial hospital,caxhoun,324,27,1
stringfellow memorial hospital,calhoun,325,25,26
stringfellow memorial hospital,calhoun,326,25,26
stringfellow memorial hospital,calhoun,327,25,26
stringfellow memorial hospital,calhoun,328,25,26
stringfellow memorial hospital,calhoun,329,25,26
stringfellow memorial hospital,calhoun,330,25,26
flowers hospital,houston,331,28,15
flowers hospital,houston,332,28,15
flowers hospital,houston,333,28,15
flowers hospital,houston,334,28,15
flowers hospital,houston,335,28,15
flowers hospital,houston,336,28,15
floxers hospital,houston,337,29,1
flowers hospital,houston,338,28,15
flowers hospital,houston,339,28,15
flowers hospital,houston,340,28,15
flowers hospital,houston,341,28,15
flowers hospital,houston,342,28,15
flowers hospital,houston,343,28,15
flowers hospital,houston,344,28,15
flowers hospital,houston,345,28,15
flowers hospital,housxon,346,30,1
flowers hospital,houston,347,28,15
st vincents hospital,jefferson,348,31,5
st vincents hospital,jefferson,349,31,5
st vincents hospital,jefferson,350,31,5
st vincents hospital,jefferson,351,31,5
st vincents hospital,jefferson,352,31,5
decatur general hospital,morgan,353,32,1
northwest medical center,marion,354,33,25
northwest medical center,marion,355,33,25
northwest medical center,marion,356,33,25
northwest medical center,marion,357,33,25
northwest medical center,marion,358,33,25
northwest medical center,marion,359,33,25
northwest medical center,marion,360,33,25
northwest medical center,marion,361,33,25
northwest medical center,marion,362,33,25
northwest medical center,marion,363,33,25
northwest medical center,marion,364,33,25
northwest medical center,marion,365,33,25
northwest medical center,marion,366,33,25
northwest medical center,marion,367,33,25
northwest medical center,marion,368,33,25
northwest medical center,marion,369,33,25
northwest medical center,marion,370,33,25
northwest medical center,marion,371,33,25
northwest medical center,marion,372,33,25
northwest medical center,marion,373,33,25
northwest medical center,marion,374,33,25
northwest medical center,marion,375,33,25
northwest medical center,marion,376,33,25
northwest medical center,marion,377,33,25
northwest medical center,marion,378,33,25
univ of south alabama medical center,mobile,379,34,11
univ of south alabama medical center,mobile,380,34,11
univ of south alabama medical center,mobile,381,34,11
univ of south alabama medical center,mobile,382,34,11
univ of south alabama medical center,mobile,383,34,11
univ ox south alabama medical center,mobile,384,35,1
xniv of soxth alabama medical center,mobile,385,36,1
univ of south alabama medical center,mobile,386,34,11
univ of south alabama medical center,mobile,387,34,11
univ of south alabama medical center,mobile,388,34,11
univ of south alabama medical center,mobile,389,34,11
univ of south alabama medical center,mobile,390,34,11
univ of south alabama medical center,mobile,391,34,11
prattville baptist hospital,autauga,392,37,20
prattville baptist hospital,autauga,393,37,20
prattville baptist hospital,autauga,394,37,20
prattville baptist hospital,autauga,395,37,20
prattville baptist hospital,autauga,396,37,20
prattville baptist hospital,autauga,397,37,20
prattville baptist hospital,autauga,398,37,20
prattville baptist hospital,autauga,399,37,20
prattville baptist hospital,autauga,400,37,20
prattville baptist hospital,autauga,401,37,20
prattville baptist hospital,autauga,402,37,20
prattville baptist hospital,autauga,403,37,20
prattville baptist hospital,autauga,404,37,20
prattville baptist hospital,autauga,405,37,20
prattville baptist hospital,autauga,406,37,20
prattville baptist hospital,autauga,407,37,20
prattville baptist hospital,autauga,408,37,20
prattville baptist hospital,autauga,409,37,20
prattville baptist hospital,autauga,410,37,20
prattville baptist hospital,autauga,411,37,20
russellville hospital,franklin,412,38,2
russellville hospital,franklin,413,38,2
coosa valley medical center,talladega,414,39,17
coosa valley medical center,tallaxega,415,40,1
coosa valley medical center,talladega,416,39,17
coosa valley medical center,talladega,417,39,17
coosa valley medical center,talladega,418,39,17
coosa valley medical center,talladega,419,39,17
coosa valley medical center,talladega,420,39,17
coosa valley medical center,talladega,421,39,17
coosa valley medical center,talladega,422,39,17
coosa valley medical center,talladega,423,39,17
coosa valley medical center,talladega,424,39,17
coosa valley medical center,talladega,425,39,17
coosa valley medical center,talladega,426,39,17
coosa valley medical center,talladega,427,39,17
coosa valley medical center,talladega,428,39,17
coosa valley medical center,talladega,429,39,17
coosa valley medical center,talladega,430,39,17
coosa valley medical center,talladega,431,39,17
alaska regional hospital,anchorage,432,41,17
alaska regional hospital,anchorage,433,41,17
alaska regional hospital,anchorage,434,41,17
alaska regional hospital,anchorage,435,41,17
alaska regional hospital,anchorage,436,41,17
alaska regional hospital,anchorage,437,41,17
alaska regional hospital,anchorage,438,41,17
alaska regional hospital,anchorage,439,41,17
alaska regional hospital,anchorage,440,41,17
alaska regional hospital,anchorage,441,41,17
alaska regional hospital,anchorage,442,41,17
alaska regional hospital,anchorage,443,41,17
alaska regional hospital,anchorage,444,41,17
alaska regional hospital,anchorage,445,41,17
alaska regional hospital,anchorage,446,41,17
alaska regional hospital,anchorage,447,41,17
xlxskx regionxl hospitxl,anchorage,448,42,1
alaska regional hospital,anchorage,449,41,17
yukon kuskokwim delta reg hospital,bethel,450,43,2
yukon kuskokwim delta reg hospital,bethel,451,43,2
helen keller memorial hospital,jefferson,452,1,22
helen keller memorial hospital,jefferson,453,1,22
helen keller memorial hospital,jefferson,454,1,22
helen keller memorial hospital,jefferson,455,1,22
helen keller memorial hospital,jxffxrson,456,44,1
helen keller memorial hospital,xefferson,457,45,1
helen keller memorial hospital,jefferson,458,1,22
helen keller memorial hospital,jefferson,459,1,22
helen keller memorial hospital,jefferson,460,1,22
helen keller memorial hospital,jefferson,461,1,22
helen keller memorial hospital,jefferson,462,1,22
helen keller memorial hospital,jefferson,463,1,22
helen keller memorial hospital,jefferson,464,1,22
helen keller memorial hospital,jexxerson,465,46,1
dale medical center,dale,466,47,25
dale medical center,dale,467,47,25
dale medical center,dale,468,47,25
dale medical center,dale,469,47,25
dale medical center,dale,470,47,25
dale medical center,dale,471,47,25
dale medical center,dale,472,47,25
dale medical center,dale,473,47,25
dale medical center,dale,474,47,25
dale medical center,dale,475,47,25
dale medical center,dale,476,47,25
dale medical center,dale,477,47,25
dale medical center,dale,478,47,25
dale medical center,dale,479,47,25
dale medical center,dale,480,47,25
dale medical center,dale,481,47,25
dale medical center,dale,482,47,25
dale medical center,dale,483,47,25
dale medical center,dale,484,47,25
dale medical center,dale,485,47,25
dale medical center,dale,486,47,25
dale medical center,dale,487,47,25
dale medical center,dale,488,47,25
dale medical center,dale,489,47,25
dale medical center,dale,490,47,25
cherokee medical center,cherokee,491,48,23
cherokee medical center,cherokee,492,48,23
cherokee medical center,cherokee,493,48,23
cherokee medical center,cherokee,494,48,23
cherokee medical center,cherokee,495,48,23
cherokee medical center,cherokee,496,48,23
cherokee medical center,cherokee,497,48,23
cherokee medical center,cherokee,498,48,23
cherokee medical center,cherokee,499,48,23
cherokee medical center,cherokee,500,48,23
cherokee medical center,cherokee,501,48,23
cherokee medical center,chxrokxx,502,49,2
cherokee medical center,cherokee,503,48,23
cherokee medical center,cherokee,504,48,23
cherokee medical center,cherokee,505,48,23
cherokee medical center,cherokee,506,48,23
cherokee medical center,cherokee,507,48,23
cherokee medical center,cherokee,508,48,23
cherokee medical center,cherokee,509,48,23
cherokee medical center,cherokee,510,48,23
cherokee medical center,cherokee,511,48,23
cherokee medical center,cherokee,512,48,23
cherokee medical center,chxrokxx,513,49,2
cherokee medical center,cherokee,514,48,23
cherokee medical center,cherokee,515,48,23
baptist medical center south,montgomery,516,50,22
baptist medical center south,montgomery,517,50,22
baptist medical center south,montgomery,518,50,22
baptist medical center south,montgomery,519,50,22
baptist medical center south,montgomery,520,50,22
baptist medical center south,montgomery,521,50,22
baptist medical center south,montgomery,522,50,22
baptist medical center south,montgomery,523,50,22
baptist medical center south,montgomery,524,50,22
baptist medical center south,montgomery,525,50,22
baptist medical center south,montgomery,526,50,22
baptist medical center south,monxgomery,527,51,1
baptist medical center south,montgomery,528,50,22
baptist medical center south,montgomery,529,50,22
baptist medical center south,montgomery,530,50,22
baptist medical center south,montgomery,531,50,22
baptist medical cexter south,montgomery,532,52,1
baptist medical center south,montgomery,533,50,22
baptist medical center south,montgomery,534,50,22
baptist medical center south,montgomery,535,50,22
baptist medical center south,montgomery,536,50,22
baptist medical center south,montgomery,537,50,22
baptist medical center south,montgomery,538,50,22
baptist medical center south,montgomery,539,50,22
baptist medical center south,montgomexy,540,53,1
jackson hospital & clinic inc,montgomery,541,54,23
jackson hospital & clinic inc,montgomery,542,54,23
jackson hospital & clinic inc,montgomery,543,54,23
jackson hospital & clinic inc,montgomery,544,54,23
jackson hospital & clinic inc,montgomery,545,54,23
jackson hospital & clinic inc,montgomery,546,54,23
jackson hospital & clinic inc,montgomery,547,54,23
jackson hospital & clinic inc,montgomery,548,54,23
jackson hospital & clinic inc,montgomery,549,54,23
jackson hospital & clinic inc,montgomery,550,54,23
jackson hospital & clinic inc,monxgomery,551,55,1
jackson hospital & clinic inc,montgomery,552,54,23
jackson hospital & clinic inc,montgomery,553,54,23
jackson hospital & clinic inc,montgomery,554,54,23
jackson hospital & clinic inc,montgomery,555,54,23
jackson hospital & clinic inc,montgomery,556,54,23
jackson hospital & clinic inc,montgomery,557,54,23
jackson hospital & clinic inc,montgomery,558,54,23
jackson hospital & clinic inc,montgomery,559,54,23
jaxkson hospital & xlinix inx,montgomery,560,56,1
jackson hospital & clinic inc,montgomery,561,54,23
jackson hospital & clinic inc,montgomery,562,54,23
jackson hospital & clinic inc,montgomery,563,54,23
jackson hospital & clinic inc,montgomery,564,54,23
jackson hospital & clinic inc,montgomery,565,54,23
g h lanier memorial hospital,chambers,566,57,23
g h lanier memorial hospital,chambers,567,57,23
g h lanier memorial hospital,chambers,568,57,23
g h lanier memorial hospital,chambers,569,57,23
g h lanier memorial hospital,chambers,570,57,23
g h lanier memorial hospital,chambers,571,57,23
g h lanier memorial hospital,chambers,572,57,23
g h lanier memorial hospital,chambers,573,57,23
g h lanier memorial hospital,chambers,574,57,23
g h lanier memorial hospital,chambers,575,57,23
g h lanier memorial hospital,chambers,576,57,23
g h lanier memorial hospital,chambers,577,57,23
g h lanier memorial hospital,xhambers,578,58,1
g h lanier memorial hospital,chambers,579,57,23
g h lanier memorial hospital,chambers,580,57,23
g h lanier memorial hospital,chambers,581,57,23
g h lanier memorial hospital,chambers,582,57,23
g h lanier memorial hospital,chambers,583,57,23
g h lanier memorial hospital,chambers,584,57,23
g h lanier memorial hospital,chambers,585,57,23
g h lanier memorial hospital,chambers,586,57,23
g h lanier memorial hospital,chambers,587,57,23
g h lanier memorial hospital,chambers,588,57,23
g h lanier memorial hospital,chambers,589,57,23
g h lanier memorial hospital,chaxbers,590,59,1
elba general hospital,coffee,591,60,24
elba general hospital,coffee,592,60,24
elba general hospital,coffee,593,60,24
elba general hospital,coffee,594,60,24
elba general hospital,coffee,595,60,24
elba general hospital,coffee,596,60,24
elba general hospital,coffee,597,60,24
elba general hospital,coffee,598,60,24
elba general hospital,coffee,599,60,24
elba general hospital,coffee,600,60,24
elba general hospital,coffee,601,60,24
elba general hospital,coffxx,602,61,1
elba general hospital,coffee,603,60,24
elba general hospital,coffee,604,60,24
elba general hospital,coffee,605,60,24
elba general hospital,coffee,606,60,24
elba general hospital,coffee,607,60,24
elba general hospital,coffee,608,60,24
elba general hospital,coffee,609,60,24
elba general hospital,coffee,610,60,24
elba general hospital,coffee,611,60,24
elba general hospital,coffee,612,60,24
elba general hospital,coffee,613,60,24
elba general hospital,coffee,614,60,24
elba general hospital,coffee,615,60,24
east alabama medical center and snf,lee,616,62,24
east alabama medical center and snf,lee,617,62,24
east alabama medical center and snf,lee,618,62,24
east alabama medical center and snf,lee,619,62,24
east alabama medical center and snf,lee,620,62,24
east alabama medical center and snf,lee,621,62,24
east alabama medical center and snf,lee,622,62,24
east alabama medical center and snf,lee,623,62,24
east alabama medical center and snf,lee,624,62,24
east alabama medical center and snf,lee,625,62,24
east alabama medical center and snf,lee,626,62,24
east alabama medical center and snf,lee,627,62,24
east alabama medical center and snf,lee,628,62,24
east alabama medical center and snf,lee,629,62,24
east alabama medical center and snf,lee,630,62,24
east alabama medical center and snf,lee,631,62,24
east alabama medical center and snf,lee,632,62,24
east alabama medical center and snf,xee,633,63,1
east alabama medical center and snf,lee,634,62,24
east alabama medical center and snf,lee,635,62,24
east alabama medical center and snf,lee,636,62,24
east alabama medical center and snf,lee,637,62,24
east alabama medical center and snf,lee,638,62,24
east alabama medical center and snf,lee,639,62,24
east alabama medical center and snf,lee,640,62,24
wedowee hospital,randolph,641,64,24
wedowee hospital,randolph,642,64,24
wedowee hospital,randolph,643,64,24
wedowee hospital,randolph,644,64,24
wedowee hospital,randolph,645,64,24
wedowee hospital,randolph,646,64,24
wedowee hospital,randolph,647,64,24
wedowee hospital,randolph,648,64,24
wedowee hospital,randolph,649,64,24
wedowee hospital,randolph,650,64,24
wedowee hospital,randolph,651,64,24
wedowee hospital,randolph,652,64,24
wedowee hospital,randolph,653,64,24
wedowee hosxital,randolph,654,65,1
wedowee hospital,randolph,655,64,24
wedowee hospital,randolph,656,64,24
wedowee hospital,randolph,657,64,24
wedowee hospital,randolph,658,64,24
wedowee hospital,randolph,659,64,24
wedowee hospital,randolph,660,64,24
wedowee hospital,randolph,661,64,24
wedowee hospital,randolph,662,64,24
wedowee hospital,randolph,663,64,24
wedowee hospital,randolph,664,64,24
wedowee hospital,randolph,665,64,24
university of alabama hospital,jefferson,666,66,23
university of alabama hospital,jefferson,667,66,23
university of alabama hospital,jefferson,668,66,23
university of alabama hospital,jefferson,669,66,23
university of alabama hospital,jefferson,670,66,23
university of alabama hospital,jefferson,671,66,23
university of alabama hospital,jxffxrson,672,67,1
university of alabama hospital,jefferson,673,66,23
university of alabama hospital,jefferson,674,66,23
university of alabama hospital,jefferson,675,66,23
university of alabama hospital,jefferson,676,66,23
university of alabama hospital,jefferson,677,66,23
university of alabama hospital,jefferson,678,66,23
university of alabama hospital,jefferson,679,66,23
university of alabama hospital,jefferson,680,66,23
university of alabama hospital,jefferson,681,66,23
university of alabama hospital,jefferson,682,66,23
university of alabama hospital,jefferson,683,66,23
university of alabama hospital,jefferson,684,66,23
university of alabama hospital,jefferson,685,66,23
university of alabama hospital,jefferson,686,66,23
university of alabama hospital,jefferson,687,66,23
university of alabama hospital,jefferson,688,66,23
university of alabama hospital,jexxerson,689,68,1
university of alabama hospital,jefferson,690,66,23
community hospital inc,elmore,691,69,21
community hospital inc,elmoxe,692,70,1
community hospital inc,elmore,693,69,21
community hospital inc,elmore,694,69,21
community hospital inc,elmore,695,69,21
community hospital inc,elmore,696,69,21
communitx hospital inc,elmore,697,71,1
community hospital inc,elxore,698,72,1
community hospital inc,elmore,699,69,21
community hospital inc,elmore,700,69,21
community hospital inc,elmore,701,69,21
community hospital inc,elmore,702,69,21
community hospital inc,elmore,703,69,21
community hospital inc,elmore,704,69,21
community hospital inc,elmore,705,69,21
community hospital inc,elmore,706,69,21
