HospitalOwner,MeasureName,original_index,unique_index
government - hospital district or authority,heart attack patients given beta blocker at discharge,23,12
government - hospital district or authority,heart attack patients given fibrinolytic medication within 30 minutes of arrival,24,13
government - hospital district or authority,heart attack patients given pci within 90 minutes of arrival,25,14
government - hospital district or authority,heart failure patients given discharge instructions,26,15
government - hospital xistrict or authority,heart failure patients given an evaluation of left ventricular systolic (lvs) function,27,20
government - hospital district or authority,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),28,17
government - hospital district or authority,heart failure patients given smoking cessation advice/counseling,29,18
government - hospital district or authority,pneumonia patients assessed and given pneumococcal vaccination,30,21
governmenx - hospixal disxricx or auxhorixy,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,31,22
government - hospital district or authority,pneumonia patients given smoking cessation advice/counseling,32,23
government - hospital district or authority,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,33,24
government - hospital district or authority,pneumonia patients given the most appropriate initial antibiotic(s),34,25
government - hospital district or authority,pneumonia patients assessed and given influenza vaccination,35,26
government - hospital district or authority,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,36,27
government - hospital district or authority,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,37,28
government - hospital district or authority,surgery patients who were given the  right kind  of antibiotic to help prevent infection,38,29
government - hospital district or authority,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),39,30
government - hospital district or authority,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,40,31
government - hospital district or authority,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),41,32
gxvernment - hxspital district xr authxrity,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,42,33
government - hospital district or authority,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,43,34
government - hospital district or authority,heart attack patients given aspirin at arrival,44,8
government - hospital district or authority,heart attack patients given aspirin at discharge,45,9
government - hospital district or authority,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),46,10
government - hospital district or authority,heart attack patients given smoking cessation advice/counseling,47,11
government - hospital district or authority,heart attack patients given beta blocker at discharge,48,12
government - hospital district or authority,heart attack patients given fibrinolytic medication within 30 minutes of arrival,49,13
government - hospital district or authority,heart attack patients given pci within 90 minutes of arrival,50,14
government - hospital district or authority,heart failure patients given discharge instructions,51,15
government - hospital district or authority,heart failure patients given an evaluation of left ventricular systolic (lvs) function,52,16
government - hospital district or authority,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),53,17
government - hospital district or authority,heart failure patients given smoking cessation advice/counseling,54,18
government - hospital district or authority,pneumonia patients assessed and given pneumococcal vaccination,55,21
government - hospital district or authority,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,56,35
government - hospital district or authority,pneumonia patients given smoking cessation advice/counseling,57,23
government - hospital district or authority,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,58,24
government - hospital district or authority,pneumonia patients given the most appropriate initial antibiotic(s),59,25
government - hospital district or authority,pneumonia patients assessed and given influenza vaccination,60,26
government - hospital district or authority,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,61,27
government - hospital district or authority,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,62,28
government - hospital district or authority,surgery patients who were given the  right kind  of antibiotic to help prevent infection,63,29
government - hospital district or authority,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),64,30
government - hospital district or authority,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,65,31
government - hospital district or authority,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),66,32
government - hospital district or authority,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,67,36
government - hospital district or authority,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,68,34
voluntary non-profit - other,heart attack patients given aspirin at arrival,69,37
voluntary non-profit - other,heart attack patients given aspirin at discharge,70,38
voluntary non-profit - other,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),71,39
voluntary non-profit - other,heart attack patients given smoking cessation advice/counseling,72,40
voluntary non-profit - other,heart attack patients given beta blocker at discharge,73,41
voluntary non-profit - other,heart attack patients given fibrinolytic medication within 30 minutes of arrival,74,42
voluntary non-profit - other,heart attack patients given pci within 90 minutes of arrival,75,43
voluntary non-profit - other,heart failure patients given discharge instructions,76,44
voluntary non-profit - other,heart failure patients given an evaluation of left ventricular systolic (lvs) function,77,45
voluntary non-profit - other,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78,46
voluntary non-profit - other,heart failure patients given smoking cessation advice/counseling,79,47
voluntary non-profit - other,pneumonia patients assessed and given pneumococcal vaccination,80,48
voluntary non-profit - other,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,81,49
voluntary non-profit - other,pneumonia patients given smoking cessation advice/counseling,82,50
voluntary non-profit - other,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,83,51
voluntary non-profit - other,pneumonia patients given the most appropriate initial antibiotic(s),84,52
voluntary non-profit - other,pneumonia patients assessed and given influenza vaccination,85,53
voluntary non-profit - other,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,86,54
voluntary non-profit - other,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,87,55
voluntary non-profit - other,surgery patients who were given the  right kind  of antibiotic to help prevent infection,88,56
voluntary non-profit - other,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),89,57
voluntary non-profit - other,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,90,58
voluntary non-profit - other,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),91,59
voluntary non-profit - other,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,92,60
voluntary non-profit - other,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,93,61
voluntary non-profit - private,xeart attack patients given aspirin at arrival,94,62
voluntary non-profit - private,heart attack patients given aspirin at discharge,95,63
voluntary non-profit - private,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96,64
voluntary non-profit - private,heart attack patients given smoking cessation advice/counseling,97,65
voluntary non-profit - private,heart attack patients given beta blocker at discharge,98,66
voluntary non-profit - private,heart attack patients given fibrinolytic medication within 30 minutes of arrival,99,67
voluntary non-profit - private,heart attack patients given pci within 90 minutes of arrival,100,68
voluntary non-profit - private,heart failure patients given discharge instructions,101,69
voluntary non-profit - private,heart failure patients given an evaluation of left ventricular systolic (lvs) function,102,70
voluntary non-profit - private,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),103,71
voluntary non-profit - private,heart failure patients given smoking cessation advice/counseling,104,72
voluntary non-profit - private,pneumonia patients assessed and given pneumococcal vaccination,105,73
voluntary non-profit - private,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,106,74
voluntary non-profit - private,pneumonia patients given smoking cessation advice/counseling,107,75
voluntary non-profit - private,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,108,76
voluntary non-profit - private,pneumonia patients given the most appropriate initial antibiotic(s),109,77
voluntary non-profit - private,pneumonia patients assessed and given influenza vaccination,110,78
voluntary non-profit - private,surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery,111,79
voluntary non-profit - private,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,112,1
volunxary non-profix - privaxe,surgery patients who were given the  right kind  of antibiotic to help prevent infection,113,80
voluntary non-profit - private,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),114,3
voluntary non-profit - private,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,115,4
voluntary non-profit - private,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),116,5
voluntary non-profit - private,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,117,6
voluntary non-profit - private,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,118,7
government - federal,heart attack patients given aspirin at arrivax,119,81
government - federal,heart attack patients given aspirin at discharge,120,82
government - federal,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),121,83
government - federal,heart attack patients given smoking cessation advice/counseling,122,84
government - federal,heart attack patients given beta blocker at discharge,123,85
government - federal,heart attack patients given fibrinolytic medication within 30 minutes of arrival,124,86
government - federal,heart attack patients given pci within 90 minutes of arrival,125,87
government - federal,heart failure patients given discharge instructions,126,88
government - federal,heart failure patients given an evaluation of left ventricular systolic (lvs) function,127,89
government - federal,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),128,90
government - federal,heart failure patients given smoking cessation advice/counseling,129,91
government - federal,pneumonia patients assessed and given pneumococcal vaccination,130,92
government - federal,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,131,93
government - federal,pneumonia patients given smoking cessation advice/counseling,132,94
government - federal,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,133,95
government - federal,pneumonia patients given the most appropriate initial antibiotic(s),134,96
government - federal,pneumonia patients assessed and given influenza vaccination,135,97
government - federal,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,136,98
government - federal,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,137,99
government - federal,surgery patients who were given the  right kind  of antibiotic to help prevent infection,138,100
government - federal,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),139,101
government - federal,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,140,102
government - federal,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),141,103
government - federal,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,142,104
government - federal,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,143,105
proprietary,heart attack patients given aspirin at arrival,144,106
proprietary,heart attaxk patients given aspirin at disxharge,145,107
proprietary,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),146,108
proprietary,heart attack patients given smoking cessation advice/counseling,147,109
proprietary,heart attack patients given beta blocker at discharge,148,110
proprietary,heart attack patients given fibrinolytic medication within 30 minutes of arrival,149,111
proprietary,heart attack patients given pci within 90 minutes of arrival,150,112
proprietary,heart failure patients given discharge instructions,151,113
proprietary,heart failure patients given an evaluation of left ventricular systolic (lvs) function,152,114
proprietary,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),153,115
proprietary,heart failure patients given smoking cessation advice/counseling,154,116
proprietary,pneumonia patients assessed and given pneumococcal vaccination,155,117
proprietary,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,156,118
pxopxietaxy,pneumonia patients given smoking cessation advice/counseling,157,119
proprietary,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,158,120
proxrietary,pneumonia patients given the most appropriate initial antibiotic(s),159,121
proprietary,pneumonia patients assessed and given influenza vaccination,160,122
proprietary,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,161,123
xroprietary,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,162,124
proprietary,surgery patients who were given the  right kind  of antibiotic to help prevent infection,163,125
pxopxietaxy,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),164,126
proprietary,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,165,127
proprietary,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),166,128
proprietary,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,167,129
proprietary,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,168,130
government - hospital district or authority,heart attack patients given aspirin at arrival,169,8
government - hospital district or authority,heart attack patients given aspirin at discharge,170,9
government - hospital district or authority,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),171,10
government - hospital district or authority,heart attack patients given smoking cessation advice/counseling,172,11
government - hospital district or authority,heart attack patients given beta blocker at discharge,173,12
government - hospital district or authority,heart attack patients given fibrinolytic medication within 30 minutes of arrival,174,13
government - hospital district or authority,heart attack patients given pci within 90 minutes of arrival,175,14
government - hospital district or authority,heart failure patients given discharge instructions,176,15
government - hospital district or authority,heart failure patients given an evaluation of left ventricular systolic (lvs) function,177,16
government - hospital district or authority,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),178,17
government - hospital district or authority,heart failure patients given smoking cessation advice/counseling,179,18
government - hospital district or authority,pneumonia patients assessed and given pneumococcal vaccination,180,21
government - hospital district or authority,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,181,35
government - hospital district or authority,pneumonia patients given smoking cessation advice/counseling,182,23
government - hospital district or authority,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,183,24
government - hospital district or authority,pneumonia patients given the most appropriate initial antibiotic(s),184,25
government - hospital district or authority,pneumonia patients assessed and given influenza vaccination,185,26
government - hospital district or authority,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,186,27
government - hospital district or authority,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,187,28
government - hospital district or authority,surgery patients who were given the  right kind  of antibiotic to help prevent infection,188,29
government - hospital district or authority,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),189,30
government - hospital district or authority,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,190,31
government - hospital district or authority,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),191,32
government - hospital district or authority,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,192,36
government - hospital district or authority,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,193,34
voluntary non-profit - private,heart attack patients given aspirin at arrival,194,131
voluntary non-profit - private,heart attack patients given aspirin at discharge,195,63
voluntary non-profit - private,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),196,64
voluntary non-profit - private,heart attack patients given smoking cessation advice/counseling,197,65
voluntary non-profit - private,heart attack patients given beta blocker at discharge,198,66
voluntary non-profit - private,heart attack patients given fibrinolytic medication within 30 minutes of arrival,199,67
voluntary non-profit - private,heart attack patients given pci within 90 minutes of arrival,200,68
voluntary non-profit - private,heart failure patients given discharge instructions,201,69
voluntary non-profit - private,heart failure patients given an evaluation of left ventricular systolic (lvs) function,202,70
voluntary non-profit - private,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),203,71
voluntary non-profit - private,heart failure patients given smoking cessation advice/counseling,204,72
voluntary non-profit - private,pneumonia patients assessed and given pneumococcal vaccination,205,73
voluntary non-profit - private,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,206,74
voluntary non-profit - private,pneumonia patients given smoking cessation advice/counseling,207,75
voluntary non-profit - private,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,208,76
voluntary non-profit - private,pneumonia patients given the most appropriate initial antibiotic(s),209,77
voluntary non-profit - private,pneumoniaxpatientsxassessedxandxgivenxinfluenzaxvaccination,210,132
voluntary non-profit - private,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,211,133
voluntary non-profit - private,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,212,1
voluntary non-profit - private,surgery patients who were given the  right kind  of antibiotic to help prevent infection,213,2
voluntary non-profit - private,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),214,3
voluntary non-profit - private,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,215,4
volunxary non-profix - privaxe,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),216,134
voluntary non-profit - private,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,217,6
voluntary nonxprofit x private,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,218,135
voluntary non-profit - church,heartxattackxpatientsxgivenxaspirinxatxarrival,219,136
voluntary non-profit - church,heart attack patients given aspirin at discharge,220,137
voluntaryxnon-profitx-xchurch,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),221,138
voluntary non-profit - church,heart attack patients given smoking cessation advice/counseling,222,139
voluntary non-profit - church,heart attack patients given beta blocker at discharge,223,140
voluntary non-profit - church,heart attack patients given fibrinolytic medication within 30 minutes of arrival,224,141
voluntary non-profit - church,heart attack patients given pci within 90 minutes of arrival,225,142
voluntary non-profit - church,heart failure patients given discharge instructions,226,143
voluntary non-profit - church,heart failure patients given an evaluation of left ventricular systolic (lvs) function,227,144
voluntary non-profit - church,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),228,145
voluntary non-profit - church,heart failure patients given smoking cessation advice/counseling,229,146
voluntary non-profit - church,pneumonia patients assessed and given pneumococcal vaccination,230,147
voluntary non-profit - church,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,231,148
voluntary non-profit - church,pneumonia patients given smoking cessation advice/counseling,232,149
voluntary non-profit - church,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,233,150
voluntary non-profit - church,pneumonia patients given the most appropriate initial antibiotic(s),234,151
voluntary non-profit - church,pneumonia patients assessed and given influenza vaccination,235,152
voluntary non-profit - church,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,236,153
voluntary non-profit - church,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,237,154
voxuntary non-profit - church,surgery patients who were given the  right kind  of antibiotic to help prevent infection,238,155
voluntary non-profit - church,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),239,156
voluntary non-profit - church,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,240,157
voluntary non-profit - church,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),241,158
voluntary non-profit - church,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,242,159
voluntary non-profit - church,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,243,160
government - federal,heart attack patients given aspirin at arrival,244,161
government - federal,heart attack patients given aspirin at discharge,245,82
government - federal,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),246,83
governxent - federal,heart attack patients given smoking cessation advice/counseling,247,162
government - federal,heart attack patients given beta blocker at discharge,248,85
government - federal,heart attack patients given fibrinolytic medication within 30 minutes of arrival,249,86
government - federal,heart attack patients given pci within 90 minutes of arrival,250,87
government - federal,heart failure patients given discharge instructions,251,88
government - federal,heart failure patients given an evaluation of left ventricular systolic (lvs) function,252,89
government - federal,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),253,90
government - federal,heart failure patients given smoking cessation advice/counseling,254,91
government - federal,pneumonia patients assessed and given pneumococcal vaccination,255,92
government - federal,pneumonxa patxents whose inxtxal emergency room blood culture was performed prxor to the admxnxstratxon of the fxrst hospxtal dose of antxbxotxcs,256,163
government - federal,pneumonia patients given smoking cessation advice/counseling,257,94
government - federal,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,258,95
government - federal,pneumonia patients given the most appropriate initial antibiotic(s),259,96
government - federal,pneumonia patients assessed and given influenza vaccination,260,97
government - federal,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,261,98
government - federal,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,262,99
government - federal,surgery patients who were given the  right kind  of antibiotic to help prevent infection,263,100
government - federal,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),264,101
government - federal,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,265,102
government - federal,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),266,103
government - federal,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,267,104
government - federal,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,268,105
voluntary non-profit - church,heart attack patients given aspirin at arrival,269,164
voluntary non-profit - church,heart attack patients given aspirin at discharge,270,137
voluntary non-profit - church,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),271,165
voluntary non-profit - church,heart attack patients given smoking cessation advice/counseling,272,139
voluntary non-profit - church,heart attack patients given beta blocker at discharge,273,140
voluntary non-profit - church,heart attack patients given fibrinolytic medication within 30 minutes of arrival,274,141
voluntary non-profit - church,heart attack patients given pci within 90 minutes of arrival,275,142
voluntary non-profit - church,heart failure patients given discharge instructions,276,143
voluntary non-profit - church,heart failure patients given an evaluation of left ventricular systolic (lvs) function,277,144
voluntary non-profit - church,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),278,145
voluntary non-profit - church,heart failure patients given smoking cessation advice/counseling,279,146
voluntary non-profit - church,pneumonia patients assessed and given pneumococcal vaccination,280,147
voluntary non-profit - church,pnxumonia patixnts whosx initial emxrgxncy room blood culturx was pxrformxd prior to thx administration of thx first hospital dosx of antibiotics,281,166
voluntary non-profit - church,pneumonia patients given smoking cessation advice/counseling,282,149
voluntary non-profit - church,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,283,150
voluntary non-profit - church,pneumonia patients given the most appropriate initial antibiotic(s),284,151
voluntary non-profit - church,pneumonia patients assessed and given influenza vaccination,285,152
voluntary non-profit - church,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,286,153
voluntary non-profit - church,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,287,154
voluntary non-profit - church,surgery patients who were given the  right kind  of antibiotic to help prevent infection,288,167
voluntary non-profit - church,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),289,156
voluntary non-profit - church,all heart surgerx patients whose blood sugar (blood glucose) is kept under good control in the daxs right after surgerx,290,168
voluntary non-profit - church,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),291,158
voluntary non-profit - church,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,292,159
voluntary non-profit - church,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,293,160
voluntary non-profit - private,heart attack patients given aspirin at arrival,294,131
voluntary non-profit - private,heart attack patients given aspirin at discharge,295,63
voluntary non-profit - private,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),296,64
voluntary non-profit - private,heart attack patients given smoking cessation advice/counseling,297,65
voluntary non-profit - private,heart attack patients given beta blocker at discharge,298,66
voluntary non-profit - private,heart attack patients given fibrinolytic medication within 30 minutes of arrival,299,67
voluntary non-profit - private,heart attack patients given pci within 90 minutes of arrival,300,68
voluntary non-profit - private,heart failure patients given discharge instructions,301,69
voluntary non-profit - private,heart failure patients given an evaluation of left ventricular systolic (lvs) function,302,70
voluntary non-profit - private,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),303,71
voluntary non-profit - private,heart failure patients given smoking cessation advice/counseling,304,72
voluntary non-profit - private,pneumonia patients assessed and given pneumococcal vaccination,305,73
voluntary non-profit - private,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,306,74
voluntary non-profit - private,pneumonia patients given smoking cessation advice/counseling,307,75
voluntary non-profit - private,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,308,76
voluntary non-profit - private,pneumonia patients given the most appropriate initial antibiotic(s),309,77
voluntary non-profit - private,pneumonia patients assessed and given influenza vaccination,310,78
proprietary,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,311,169
proprietary,children and their caregivers who received a home management plan of care document while hospitalized for asthma,312,170
prxprietary,heart attack patients given aspirin at arrival,313,171
proprietary,heart attack patients given aspirin at discharge,314,172
proprietary,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),315,108
proprietary,heart attack patients given smoking cessation advice/counseling,316,109
proprietary,heart attack patients given beta blocker at discharge,317,110
proprietary,heart attack patients given fibrinolytic medication within 30 minutes of arrival,318,111
proprietary,heart attack patients given pci within 90 minutes of arrival,319,112
proprietary,heart failure patients given discharge instructions,320,113
proprietary,heart failure patients given an evaluation of left ventricular systolic (lvs) function,321,114
proprietary,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),322,115
proprietary,heart failure patients given smoking cessation advice/counseling,323,116
proprietary,pneumonia patients assessed and given pneumococcal vaccination,324,117
proprietary,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,325,118
proprietary,pneumonia patients given smoking cessation advice/counseling,326,173
proprietary,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,327,120
proprietary,pneumonia patients given the most appropriate initial antibiotic(s),328,174
