beer_name,ibu,original_index,unique_index,count
Killer Whale Cream Ale,,329,321,
Duke's Cold Nose Brown Ale,,330,322,
Longhop IPA,30.0,331,323,1.0
Lucky Buck,34.0,332,324,1.0
Bomb Lager (New Recipe),,333,325,
Bomb Lager (Old Recipe),27.0,334,326,1.0
Firestarter India Pale Ale,72.0,335,327,2.0
Kilt Dropper Scotch Ale,22.0,336,328,1.0
Wood Splitter Pilsner,30.0,337,329,1.0
Gyptoberfest,26.0,338,330,1.0
Farmer Wirtz India Pale Ale,94.0,339,331,1.0
Slow & Steady Golden Ale,,340,332,
Pink-I Raspberry IPA,,341,333,
Moe's Original Bar B Que 'Bama Brew Golden Ale,,342,334,
Live Local Golden Ale,,343,335,
Screaming Eagle Special Ale ESB,38.0,344,336,1.0
Dirtbag Dunkel,,345,337,
Kindler Pale Ale,45.0,346,338,1.0
Mistress Winter Wheat,,347,339,
Tent Pole Vanilla Porter,,348,340,
Awry Rye Pale Ale,,349,341,
Demshitz Brown Ale,,350,342,
Wood Splitter Pilsner (2012),,351,343,
Brush Creek Blonde,,352,344,
Firestarter India Pale Ale,72.0,353,327,2.0
Noche Dulce,16.0,354,345,1.0
Porch Rocker,8.0,355,346,1.0
Rebel IPA,45.0,356,347,1.0
Cold Snap,,357,348,
Samuel Adams Winter Lager,,358,349,
Boston Lager,30.0,359,350,3.0
Boston Lager,30.0,360,350,3.0
Samuel Adams Octoberfest,15.0,361,351,1.0
Samuel Adams Summer Ale,7.0,362,352,1.0
Boston Lager,30.0,363,350,3.0
Hazed & Infused,35.0,364,353,1.0
Hoopla Pale Ale,35.0,365,354,1.0
Hazed & Infused (2010),35.0,366,355,1.0
Heavy Lifting,80.0,367,356,1.0
1492,,368,357,
Mango Ginger,,369,358,
Passenger,,370,359,
Plum St. Porter,52.0,371,360,2.0
Plum St. Porter,52.0,372,360,2.0
Bozone HopZone IPA,80.0,373,361,1.0
Bozone Hefe Weizen,25.0,374,362,1.0
Bozone Select Amber Ale,,375,363,
Evil Owl,40.0,376,364,1.0
Post Time Kölsch,,377,365,
Agave Wheat,9.0,378,366,1.0
SummerBright Ale,15.0,379,367,1.0
Lucky U IPA,68.0,380,368,1.0
Avalanche Ale,19.0,381,369,1.0
"You're My Boy, Blue",,382,370,
Last Stop IPA,60.0,383,371,1.0
Rollin Dirty Red Ale,21.0,384,372,1.0
Are Wheat There Yet?,28.0,385,373,1.0
Insert Hop Reference,,386,374,
Manitou Amber,,387,375,
Belfort,,388,376,
Star Runner,,389,377,
Tart Side of the Barrel,,390,378,
Linnaeus Mango IPA,,391,379,
Beasts A'Burnin',,392,380,
Verdun,,393,381,
Barrel Aged Triomphe,,394,382,
Cherry Doppelbock,,395,383,
Tropical Saison,,396,384,
Beach Patrol,,397,385,
Nuit Serpent,,398,386,
Paris,,399,387,
The Grand Army,,400,388,
Acidulated Trip,,401,389,
Root Stock,,402,390,
Mind Games,,403,391,
Sous Chef,,404,392,
Dubbelicious,,405,393,
Psychopomp,,406,394,
Fat Paczki,,407,395,
Earth-Like Planets,,408,396,
Ski Patrol,,409,397,
Viking Ice Hole,,410,398,
Rye Porter,,411,399,
Wizard Burial Ground,,412,400,
Smoky Wheat,,413,401,
BRIPA,,414,402,
Mela,,415,403,
W.I.P.A Snappa,,416,404,
Pepper in the Rye,,417,405,
Moe Lasses',,418,406,
Pumpkin Tart,,419,407,
Undertaker,,420,408,
Undertaker (2014),,421,409,
Coq D'Or,,422,410,
North French,,423,411,
Agent a Deux,,424,412,
Belgian Wit,,425,413,
Pothole Stout,,426,414,
Tree Bucket,,427,415,
Le Flaneur Ale,,428,416,
Maize & Blueberry,,429,417,
Trebuchet Double IPA,,430,418,
Contemplation,,431,419,
Black Rabbit,,432,420,
Zaison,,433,421,
Vivant Tripel,,434,422,
Tart Side of the Moon,,435,423,
Big Red Coq,,436,424,
Hubris Quadrupel Anniversary Ale,,437,425,
Plow Horse Belgian Style Imperial Stout,,438,426,
Escoffier Bretta Ale,,439,427,
Contemplation (2012),,440,428,
Vivant Belgian Style Imperial Stout (2012),,441,429,
Big Red Coq (2012),,442,430,
Zaison (2012),,443,431,
Vivant Tripel (2012),,444,432,
Trebuchet Double IPA (2012),,445,433,
Kludde,,446,434,
Farm Hand,,447,435,
Solitude,,448,436,
Triomphe,,449,437,
Tampa Pale Ale,,450,438,
Orange Grove Wheat Ale,,451,439,
Broad Brook Ale,,452,440,
Northern Lights Amber Ale,15.0,453,441,1.0
Polar Pale Ale,17.0,454,442,1.0
Chugach Session Ale,,455,443,
Fairweather IPA,64.0,456,444,1.0
East India Pale Ale,47.0,457,445,2.0
Brooklyn Summer Ale,,458,446,
East India Pale Ale,47.0,459,445,2.0
Brooklyn Summer Ale (2011),,460,447,
Brooklyn Lager (16 oz.),,461,448,
Brooklyn Lager (12 oz.),,462,449,
Tour de Nez Belgian IPA (Current),,463,450,
Roler Bock (Current),,464,451,
Black Adder IBA (Current),85.0,465,452,1.0
Very Noddy Lager (Current),,466,453,
Tule Duck Red Ale (Current),42.0,467,454,1.0
Original Orange Blossom Ale (Current),35.0,468,455,1.0
Black Noddy Lager (Current),40.0,469,456,1.0
Cleveland Beer Week 2013,,470,457,
Painted Turtle,,471,458,
1836,40.0,472,459,1.0
Summer's Wit,20.0,473,460,1.0
More Cowbell,118.0,474,461,1.0
Wrath of Pele,,475,462,
Black Beer'd,,476,463,
Mr. Tea,,477,464,
Pale Alement,40.0,478,465,2.0
Hopkick Dropkick,115.0,479,466,1.0
Kreamed Corn,,480,467,
Coconoats,,481,468,
Joey Wheat,16.0,482,469,1.0
3:33 Black IPA,86.0,483,470,1.0
MCA,,484,471,
Pale Alement,40.0,485,465,2.0
Couch Select Lager,14.0,486,472,1.0
Mucho Aloha Hawaiian Pale Ale,36.0,487,473,1.0
Heinnieweisse Weissebier,,488,474,
Snapperhead IPA,,489,475,
Moo Thunder Stout,,490,476,
Porkslap Pale Ale,,491,477,
Blackbeard,,492,478,
Rye Knot,,493,479,
Dead Arm,,494,480,
32°/50° Kölsch,,495,481,
HopArt,,496,482,
Boy King,,497,483,
Gran Sport,,498,484,
Horny Toad Cerveza,25.0,499,485,1.0
Native Amber,35.0,500,486,1.0
F5 IPA,100.0,501,487,1.0
Native Amber (2013),35.0,502,488,1.0
Horny Toad Cerveza (2013),25.0,503,489,1.0
Hopportunity Knocks IPA,100.0,504,490,1.0
Pilot Rock Porter,,505,491,
Caldera Pale Ale,55.0,506,492,1.0
Lawnmower Lager,16.0,507,493,1.0
Ashland Amber Ale (2009),24.0,508,494,1.0
Caldera IPA (2009),94.0,509,495,1.0
Caldera IPA (2007),94.0,510,496,1.0
Caldera Pale Ale (2010),55.0,511,497,1.0
Caldera Pale Ale (2009),55.0,512,498,1.0
Caldera Pale Ale (2005),55.0,513,499,1.0
Caldera Pale Ale (2007),55.0,514,500,1.0
Caldera Pale Ale (2011),55.0,515,501,1.0
Ashland Amber Ale,24.0,516,502,1.0
Caldera IPA,94.0,517,503,1.0
Remain in Light,,518,504,
Flower Child (2014),,519,505,
THP White (2006),,520,506,
THP Amber (2006),,521,507,
THP Light (2006),,522,508,
THP Dark (2006),,523,509,
Imperial Pumpkin Stout,43.0,524,510,1.0
Dead-Eye DIPA,130.0,525,511,1.0
Fisherman's IPA,64.0,526,512,1.0
Fisherman's Pils,35.0,527,513,1.0
Fisherman's Brew,30.0,528,514,1.0
Cape Cod Red,35.0,529,515,1.0
Beach Blonde,10.0,530,516,1.0
Dark Voyage Black IPA (2013),80.0,531,517,1.0
Wisconsin Amber,28.0,532,518,1.0
Lake House,18.0,533,519,2.0
Ghost Ship White IPA,55.0,534,520,1.0
Lake House,18.0,535,519,2.0
Mutiny IPA,70.0,536,521,1.0
Wisconsin Amber (1998),,537,522,
Island Wheat,,538,523,
Wisconsin Amber (2013),,539,524,
U.S. Pale Ale,,540,525,
Supper Club Lager,,541,526,
Carolina Lighthouse (2007),,542,527,
Carolina Blonde (2006),,543,528,
Carolina Blonde Light (2005),,544,529,
Santa's Secret,22.0,545,530,1.0
Flagship IPA,,546,531,
Sky Blue Golden Ale,,547,532,
Epitome,100.0,548,533,1.0
Monkey Chased the Weasel,9.0,549,534,1.0
077XX,80.0,550,535,1.0
Boat Beer,35.0,551,536,1.0
Granny Smith Hard Apple Cider,,552,537,
Dry Hard Apple Cider,,553,538,
Farmer Ted's Cream Ale,,554,539,
Firewater India Pale Ale,,555,540,
White Zombie Ale,,556,541,
King Winterbolt Winter Ale,,557,542,
White Zombie Ale,,558,541,
Firewater India Pale Ale,,559,540,
Farmer Ted's Farmhouse Cream Ale,,560,543,
Whitecap Wit,16.0,561,544,1.0
Seiche Scottish Ale,16.0,562,545,1.0
Peanut Butter Jelly Time,,563,546,
King Coconut,,564,547,
Gone A-Rye,90.0,565,548,1.0
Special Release,,566,549,
Dankosaurus,70.0,567,550,1.0
Scruffy's Smoked Alt,35.0,568,551,1.0
Elliott's Phoned Home Pale Ale,36.0,569,552,1.0
The Lawn Ranger,18.0,570,553,1.0
All American Blonde Ale,,571,554,
All American Red Ale,,572,555,
Main St. Virginia Ale,40.0,573,556,2.0
Chin Music Amber Lager,24.0,574,557,1.0
Main St. Virginia Ale,40.0,575,556,2.0
Ray Ray’s Pale Ale,42.0,576,558,1.0
Chai Ale,15.0,577,559,1.0
Lucky Day IPA,85.0,578,560,1.0
Terrace Hill Double IPA,99.0,579,561,1.0
Catch 23,77.0,580,562,1.0
Stickin' In My Rye,,581,563,
Black Me Stout,45.0,582,564,1.0
Killer Kolsch,22.0,583,565,1.0
Missile IPA,65.0,584,566,1.0
Enlighten,,585,567,
Ale Cider,8.0,586,568,1.0
Pail Ale,30.0,587,569,1.0
Englishman,,588,570,
8 Barrel,69.0,589,571,1.0
Oktoberfest,40.0,590,572,1.0
IPA #11,58.0,591,573,1.0
Blood Orange Honey,10.0,592,574,1.0
Lighthouse Amber,,593,575,
Bay of Bengal Double IPA (2014),126.0,594,576,1.0
Churchkey Pilsner Style Beer,29.0,595,577,1.0
First Press,,596,578,
Magic Apple,,597,579,
Cubano Espresso,25.0,598,580,1.0
Operation Homefront,65.0,599,581,1.0
Wandering Pelican,65.0,600,582,1.0
Sugar Plum,,601,583,
Oktoberfest,,602,584,
Puppy's Breath Porter,,603,585,
Happening Now,,604,586,
Hopped on the High Seas (Hop #529),60.0,605,587,1.0
Hopped on the High Seas (Calypso),60.0,606,588,1.0
Wiregrass Post-Prohibition Ale,,607,589,
Dry-Hopped On The High Seas Caribbean-Style IPA,60.0,608,590,1.0
Hopped on the High Seas (Citra),60.0,609,591,1.0
Hopped on the High Seas (Ahtanum),60.0,610,592,1.0
Gwar Beer,,611,593,
Tropical Heatwave,,612,594,
Humidor Series India Pale Ale,70.0,613,595,1.0
Jai Alai IPA Aged on White Oak,70.0,614,596,1.0
José Martí American Porter,65.0,615,597,1.0
Invasion Pale Ale,,616,598,
Maduro Brown Ale,25.0,617,599,2.0
Maduro Brown Ale,25.0,618,599,2.0
Hotter Than Helles Lager,,619,600,
Tocobaga Red Ale,75.0,620,601,1.0
Jai Alai IPA,70.0,621,602,1.0
Florida Cracker Belgian Wit,18.0,622,603,1.0
Shark Tracker Light lager,,623,604,
Pumple Drumkin,,624,605,
Grey Lady,,625,606,
Summer of Lager,,626,607,
Indie Pale Ale,,627,608,
Sankaty Light Lager,,628,609,
Whale's Tale Pale Ale,,629,610,
Jacaranada Rye IPA,60.0,630,611,1.0
Cascadian Dark Ale,75.0,631,612,1.0
Wheat the People,13.0,632,613,1.0
Tybee Island Blonde,17.0,633,614,1.0
Savannah Brown Ale,55.0,634,615,1.0
Rhode Island Blueberry,11.0,635,616,1.0
Newport Storm IPA,75.0,636,617,1.0
Hurricane Amber Ale (2004),24.0,637,618,1.0
Hurricane Amber Ale,24.0,638,619,1.0
Big Blue Van,,639,620,
Des Moines IPA,75.0,640,621,1.0
Capital Gold Golden Lager,22.0,641,622,1.0
Farmer John's Multi-Grain Ale,21.0,642,623,1.0
Behemoth,,643,624,
Arkansas Red,,644,625,
Core Oatmeal Stout,,645,626,
Core ESB,,646,627,
Chester's Beer (2005),,647,628,
Heiner Brau Kölsch,,648,629,
Trigger Blonde Ale,,649,630,
Crabtree Oatmeal Stout,29.0,650,631,1.0
Eclipse Black IPA,71.0,651,632,1.0
Neomexicanus Native,46.0,652,633,1.0
Old Soul,25.0,653,634,1.0
Snowcat Coffee Stout,,654,635,
WinterWonderGrass Festival Ale,,655,636,
Boohai Red Ale,,656,637,
Lava Lake Wit,15.0,657,638,1.0
Mountain Livin' Pale Ale,,658,639,
Crazy Mountain Amber Ale,25.0,659,640,1.0
Tropicalia,65.0,660,641,1.0
Athena,,661,642,
Aviator Raspberry Blonde,25.0,662,643,1.0
3 Picket Porter,,663,644,
Rusty Nail Pale Ale,,664,645,
Red Water Irish Style Red,,665,646,
Mjöllnir,,666,647,
Bear Butte Nut Brown Ale,,667,648,
Easy Livin' Summer Ale,,668,649,
Canyon Cream Ale,,669,650,
Pile O'Dirt Porter,,670,651,
11th Hour IPA,,671,652,
South Ridge Amber Ale,31.0,672,653,1.0
Summertime Ale,23.0,673,654,1.0
Lost River Blonde Ale,,674,655,
Monon Wheat,,675,656,
Floyd's Folly,,676,657,
Half Court IPA,,677,658,
Geary's Pale Ale,,678,659,
Geary's Summer Ale,,679,660,
Stone of Arbroath,,680,661,
The Tradition,15.0,681,662,1.0
El Hefe Speaks,11.0,682,663,1.0
Penn Quarter Porter,,683,664,
On the Wings of Armageddon,115.0,684,665,1.0
The Corruption,80.0,685,666,1.0
The Citizen,,686,667,
The Public,,687,668,
Dank IPA,,688,669,
Dank IPA (2012),,689,670,
Lift Off IPA,,690,671,
BrewFarm Select Golden Lager,,691,672,
Sprocket Blonde Ale (2006),,692,673,
Sprocket Pale Ale (2006),,693,674,
Dead Armadillo Amber Ale,37.0,694,675,1.0
Neato Bandito,,695,676,
Oak Cliff Coffee Ale,33.0,696,677,1.0
Dream Crusher Double IPA,100.0,697,678,1.0
Deep Ellum Pale Ale,,698,679,
Double Brown Stout,,699,680,
Farmhouse Wit,25.0,700,681,1.0
Rye Pils Session Lager,,701,682,
Dallas Blonde,23.0,702,683,1.0
Deep Ellum IPA,70.0,703,684,1.0
Thrasher Session India Pale Ale,44.0,704,685,1.0
Gutch English Style Mild Ale,16.0,705,686,1.0
Chuli Stout,55.0,706,687,1.0
Mother Ale,46.0,707,688,1.0
Twister Creek India Pale Ale,71.0,708,689,1.0
Single Engine Red,46.0,709,690,1.0
Incredible Pedal IPA,,710,691,
Graham Cracker Porter,,711,692,
Mirror Pond Pale Ale,40.0,712,693,1.0
Weissenheimer,16.0,713,694,1.0
Abbey's Single (2015- ),22.0,714,695,1.0
