city,original_index,unique_index
Lincoln,305,74
Lincoln,306,74
Eugene,307,75
Eugene,308,75
Canton MA,309,76
Afton VA,310,77
Afton,311,78
Afton,312,78
Afton,313,78
Arrington,314,79
Austin,315,39
Austin,316,39
Austin,317,39
Austin,318,39
Patchogue,319,80
Patchogue,320,80
Patchogue,321,80
Patchogue,322,80
Midvale,323,81
Midvale,324,81
Midvale,325,81
Midvale,326,81
Midvale,327,81
Jacksonville,328,82
Jacksonville,329,82
Jacksonville,330,82
Ridgefield Park,331,83
Ridgefield Park,332,83
New York,333,84
New York,334,84
Eagle,335,85
Eagle,336,85
Eagle,337,85
Eagle,338,85
Eagle,339,85
Eagle,340,85
Eagle,341,85
Eagle,342,85
Eagle,343,85
Eagle,344,85
Eagle,345,85
Eagle,346,85
Eagle,347,85
Eagle,348,85
Eagle,349,85
Eagle,350,85
Eagle,351,85
Eagle CO,352,86
Eagle,353,85
Tucson,354,48
Boston,355,87
Boston,356,87
Boston,357,87
Boston,358,87
Boston,359,87
Boston,360,87
Boston,361,87
Boston,362,87
Boston,363,87
Boulder,364,31
Boulder,365,31
Boulder,366,31
Kansas City,367,88
West Chester,368,89
West Chester,369,89
West Chester,370,89
Bozeman,371,90
Bozeman,372,90
Bozeman,373,90
Bozeman,374,90
Bozeman,375,90
San Antonio,376,91
Portland,377,15
Denver,378,71
Denver,379,71
Denver,380,71
Denver CO,381,92
Tampa,382,93
Tampa,383,93
Tampa,384,93
Tampa,385,93
Plainfield IN,386,94
Traverse City,387,95
Grand Rapids,388,96
Grand Rapids,389,96
Grand Rapids,390,96
Grand Rapids,391,96
Grand Rapids,392,96
Grand Rapids,393,96
Grand Rapids,394,96
Grand Rapids,395,96
Grand Rapids,396,96
Grand Rapids,397,96
Grand Rapids,398,96
Grand Rapids,399,96
Grand Rapids,400,96
Grand Rapids,401,96
Grand Rapids,402,96
Grand Rapids,403,96
Grand Rapids,404,96
Grand Rapids,405,96
Grand Rapids,406,96
Grand Rapids,407,96
Grand Rapids,408,96
Grand Rapids,409,96
Grand Rapids MI,410,97
Grand Rapids,411,96
Grand Rapids,412,96
Grand Rapids,413,96
Grand Rapids,414,96
Grand Rapids,415,96
Grand Rapids,416,96
Grand Rapids,417,96
Grand Rapids,418,96
Grand Rapids,419,96
Grand Rapids,420,96
Grand Rapids,421,96
Grand Rapids,422,96
Grand Rapids,423,96
Grand Rapids,424,96
Grand Rapids,425,96
Grand Rapids,426,96
Grand Rapids,427,96
Grand Rapids,428,96
Grand Rapids,429,96
Grand Rapids,430,96
Grand Rapids,431,96
Grand Rapids,432,96
Grand Rapids,433,96
Grand Rapids,434,96
Grand Rapids,435,96
Grand Rapids,436,96
Grand Rapids,437,96
Grand Rapids,438,96
Grand Rapids,439,96
Grand Rapids,440,96
Grand Rapids,441,96
Grand Rapids,442,96
Grand Rapids,443,96
Grand Rapids,444,96
Grand Rapids,445,96
Grand Rapids,446,96
Grand Rapids,447,96
Grand Rapids,448,96
Grand Rapids,449,96
Tampa Bay,450,98
Tampa Bay FL,451,99
East Windsor,452,100
Anchorage,453,101
Anchorage,454,101
Anchorage,455,101
Anchorage,456,101
Brooklyn,457,102
Brooklyn,458,102
Brooklyn,459,102
Brooklyn,460,102
Brooklyn NY,461,103
Brooklyn,462,102
Reno,463,104
Reno,464,104
Reno,465,104
Reno NV,466,105
Reno,467,104
Reno,468,104
Reno,469,104
Cleveland,470,106
Lyons,471,107
Houston TX,472,108
Houston,473,109
Houston,474,109
Michigan City,475,110
Michigan City,476,110
Michigan City,477,110
Michigan City,478,110
Michigan City,479,110
Michigan City,480,110
Michigan City,481,110
Michigan City,482,110
Michigan City,483,110
Michigan City,484,110
Michigan City,485,110
Portland,486,15
Carlsbad,487,111
Garrattsville,488,112
Garrattsville,489,112
Garrattsville,490,112
Garrattsville,491,112
Charleston,492,113
Charleston,493,113
Charleston,494,113
Charleston,495,113
Charleston,496,113
Charleston,497,113
Oklahoma City,498,24
Oklahoma City,499,24
Oklahoma City OK,500,114
Oklahoma City,501,24
Oklahoma City,502,24
Oklahoma City,503,24
Ashland,504,115
Ashland,505,115
Ashland,506,115
Ashland,507,115
Ashland OR,508,116
Ashland,509,115
Ashland,510,115
Ashland,511,115
Ashland,512,115
Ashland,513,115
Ashland,514,115
Ashland,515,115
Ashland,516,115
Ashland,517,115
Cambridge MA,518,117
Cambridge,519,118
Charlotte,520,67
Charlotte,521,67
Charlotte,522,67
Charlotte,523,67
Gloucester,524,119
Gloucester,525,119
Gloucester,526,119
Gloucester,527,119
Gloucester MA,528,120
Hyannis,529,121
Hyannis,530,121
Middleton,531,122
Middleton,532,122
Middleton,533,122
Middleton,534,122
Middleton,535,122
Middleton,536,122
Middleton,537,122
Middleton,538,122
Middleton,539,122
Middleton,540,122
Middleton,541,122
Mooresville NC,542,123
Mooresville NC,543,123
Mooresville,544,124
Pittsboro,545,125
Pittsboro,546,125
Pittsboro,547,125
Atlantic Highlands,548,126
Atlantic Highlands,549,126
Atlantic Highlands NJ,550,127
Atlantic Highlands,551,126
Portland,552,15
Portland,553,15
Morganton,554,128
Morganton,555,128
Morganton,556,128
Morganton,557,128
Morganton,558,128
Morganton,559,128
Morganton,560,128
Port Clinton,561,129
Port Clinton,562,129
Morganton,563,128
Morganton,564,128
Seven Points,565,130
Seven Points,566,130
Seven Points,567,130
Seven Points,568,130
Seven Points,569,130
Seven Points,570,130
Edwards,571,131
Edwards CO,572,132
Ashland,573,115
Ashland,574,115
Ashland,575,115
Ashland,576,115
San Luis Obispo,577,133
San Luis Obispo CA,578,134
San Luis Obispo,579,133
San Luis Obispo,580,133
Charlottesville,581,135
Charlottesville,582,135
Charlottesville,583,135
Charlottesville VA,584,136
Angola,585,137
Angola,586,137
Angola,587,137
Angola IN,588,138
Chatham,589,139
Chatham,590,139
Cheboygan,591,140
Cheboygan,592,140
Cheboygan,593,140
Cincinnati,594,23
Seattle,595,141
Stevens Point,596,142
Stevens Point,597,142
Tampa,598,93
Tampa,599,93
Tampa,600,93
Tampa,601,93
Tampa,602,93
Tampa,603,93
Tampa,604,93
Tampa,605,93
Tampa,606,93
Tampa,607,93
Tampa,608,93
Tampa,609,93
Tampa,610,93
Tampa,611,93
Tampa,612,93
Tampa,613,93
Tampa,614,93
Tampa,615,93
Tampa,616,93
Tampa FL,617,143
Tampa,618,93
Tampa,619,93
Tampa,620,93
Tampa,621,93
Tampa,622,93
Nantucket,623,144
Nantucket,624,144
Nantucket,625,144
Nantucket,626,144
Nantucket,627,144
Nantucket,628,144
Nantucket,629,144
Claremont,630,145
Portland,631,15
Portland,632,15
Savannah,633,146
Savannah,634,146
Newport,635,147
Newport,636,147
Newport,637,147
Newport,638,147
Lake Havasu City,639,148
Des Moines,640,149
Des Moines,641,149
Des Moines IA,642,150
Springdale,643,151
Springdale,644,151
Springdale,645,151
Springdale AR,646,152
Pawcatuck,647,153
Covington,648,154
Greeley,649,155
Greeley,650,155
Greeley,651,155
Edwards,652,131
Edwards,653,131
Edwards,654,131
Edwards,655,131
Edwards,656,131
Edwards,657,131
Edwards,658,131
Edwards,659,131
Athens,660,156
Athens,661,156
Garden City,662,157
Garden City,663,157
Garden City,664,157
Spearfish,665,158
Spearfish,666,158
Spearfish,667,158
Spearfish,668,158
Spearfish,669,158
Spearfish,670,158
Spearfish,671,158
Boulder,672,31
Boulder,673,31
Avon,674,159
Avon,675,159
Avon,676,159
Avon,677,159
Portland,678,15
Portland,679,15
Washington,680,160
Washington,681,160
Washington,682,160
Washington,683,160
Washington,684,160
Washington,685,160
Washington,686,160
Washington,687,160
Aurora,688,161
Aurora,689,161
Shelbyville,690,162
Wilson,691,163
Diamond Springs,692,164
Diamond Springs,693,164
Tulsa,694,165
Dallas,695,166
Dallas,696,166
Dallas,697,166
Dallas,698,166
Dallas,699,166
Dallas,700,166
Dallas,701,166
Dallas,702,166
Dallas,703,166
Hays,704,167
Hays,705,167
Talkeetna,706,168
Talkeetna,707,168
Talkeetna,708,168
Talkeetna,709,168
Denver,710,71
Denver,711,71
Bend,712,0
Bloomington,713,169
Bloomington,714,169
Bloomington IL,715,170
Bloomington IL,716,170
Bloomington,717,169
Bloomington,718,169
Bloomington,719,169
Lexington,720,18
Lexington,721,18
Belmont,722,171
Belmont CA,723,172
Belmont,724,171
Belmont,725,171
Centralia,726,173
Woodinville,727,174
Philadelphia,728,175
Dolores,729,176
Dolores,730,176
Dolores,731,176
Dolores,732,176
Dolores,733,176
Dolores,734,176
Leominster,735,177
Leominster,736,177
Aurora,737,161
Aurora,738,161
Aurora,739,161
Aurora,740,161
Boynton Beach,741,178
Rochester,742,179
Buena Vista,743,180
Buena Vista,744,180
Buena Vista,745,180
Buena Vista,746,180
Buena Vista,747,180
Buena Vista,748,180
Buena Vista,749,180
Columbus,750,8
Seattle,751,141
Jacksonville Beach,752,181
Tacoma,753,182
Denver,754,71
Denver,755,71
Denver,756,71
Denver,757,71
White Salmon,758,183
White Salmon,759,183
Mishawaka,760,184
Mishawaka,761,184
Mishawaka,762,184
Mishawaka,763,184
Mishawaka,764,184
Mishawaka,765,184
Brooklyn,766,102
Brooklyn,767,102
Brooklyn,768,102
Brooklyn,769,102
Brooklyn,770,102
Fargo,771,185
Fargo,772,185
Fargo,773,185
Middleburg Heights,774,186
Middleburg Heights,775,186
Boulder,776,31
Boulder,777,31
Boulder,778,31
Boulder CO,779,187
Boulder,780,31
Estacada,781,188
Estacada,782,188
Estacada,783,188
Estacada,784,188
Estacada,785,188
Estacada,786,188
Shelburne,787,189
Shelburne,788,189
Shelburne,789,189
Shelburne,790,189
Buellton,791,190
Buellton,792,190
Buellton CA,793,191
Chicago,794,192
Chicago,795,192
Chicago,796,192
Chicago,797,192
Chicago,798,192
Chicago,799,192
Chicago,800,192
Chicago,801,192
Chicago,802,192
Chicago,803,192
Paso Robles,804,193
Paso Robles CA,805,194
Paso Robles,806,193
Paso Robles,807,193
Paso Robles,808,193
Indianapolis,809,69
Indianapolis,810,69
Indianapolis,811,69
Smithton,812,195
Lombard,813,196
Frederick,814,197
Frederick,815,197
Troutville,816,198
Troutville,817,198
Pawtucket,818,199
Pawtucket,819,199
Pawtucket,820,199
Pawtucket,821,199
Cherry Hill,822,200
Cherry Hill,823,200
Astoria,824,36
Astoria,825,36
Astoria,826,36
Astoria,827,36
Astoria,828,36
Astoria,829,36
Astoria,830,36
Astoria,831,36
Astoria,832,36
Astoria,833,36
Astoria,834,36
Astoria,835,36
Latrobe PA,836,201
San Francisco,837,3
San Francisco,838,3
San Francisco,839,3
San Francisco,840,3
Grand Rapids,841,96
Grand Rapids,842,96
Grand Rapids,843,96
Dallas,844,166
Dallas,845,166
Dallas TX,846,202
Valparaiso,847,203
Valparaiso,848,203
Valparaiso,849,203
Valparaiso,850,203
South Bend,851,204
Tempe,852,205
Tempe,853,205
Tempe,854,205
Tempe,855,205
Tempe,856,205
Tempe,857,205
Tempe,858,205
Columbus,859,8
Columbus,860,8
Columbus,861,8
Columbus,862,8
Frankenmuth,863,206
Frankenmuth MI,864,207
Frankenmuth,865,206
San Antonio,866,91
San Antonio,867,91
San Antonio,868,91
San Antonio,869,91
San Antonio,870,91
San Antonio,871,91
San Antonio,872,91
San Antonio,873,91
Seattle,874,141
Seattle,875,141
Seattle,876,141
Seattle,877,141
Seattle,878,141
Seattle,879,141
Seattle,880,141
Asheville,881,32
Asheville,882,32
Asheville,883,32
Waynesville,884,208
Durham,885,209
Lake Geneva WI,886,210
Lake Geneva,887,211
Lake Geneva,888,211
Pineland ME,889,212
Los Angeles CA,890,213
Los Angeles,891,214
Los Angeles,892,214
Los Angeles,893,214
Los Angeles,894,214
Los Angeles,895,214
Los Angeles,896,214
Los Angeles CA,897,213
Los Angeles,898,214
Los Angeles,899,214
Los Angeles,900,214
Los Angeles,901,214
Los Angeles,902,214
Los Angeles,903,214
Los Angeles,904,214
Kalamazoo,905,53
Bend,906,0
Bend,907,0
Birmingham,908,215
Birmingham,909,215
Birmingham,910,215
Birmingham,911,215
Birmingham,912,215
Bend,913,0
Chicago,914,192
Chicago,915,192
Chicago,916,192
Chicago,917,192
Chicago IL,918,216
Chicago,919,192
Edwards,920,131
Williams,921,217
Williams,922,217
Williams,923,217
Williams,924,217
Farmers Branch,925,218
Farmers Branch,926,218
Farmers Branch,927,218
Aurora,928,161
Aurora,929,161
Aurora,930,161
Aurora,931,161
Aurora,932,161
Aurora,933,161
Aurora,934,161
Aurora,935,161
Aurora,936,161
Aurora,937,161
Aurora,938,161
Aurora,939,161
Aurora IN,940,219
Aurora,941,161
Aurora,942,161
Aurora,943,161
Aurora,944,161
Aurora,945,161
Aurora,946,161
Aurora,947,161
Denver,948,71
Denver,949,71
Denver,950,71
Denver,951,71
Denver CO,952,92
Denver,953,71
Denver,954,71
Denver,955,71
Denver,956,71
Whitefish,957,220
Whitefish,958,220
Shreveport,959,221
Shreveport,960,221
Davenport,961,222
Davenport,962,222
Davenport,963,222
Davenport,964,222
Davenport,965,222
Davenport,966,222
Davenport,967,222
Davenport,968,222
Davenport,969,222
Davenport,970,222
Davenport,971,222
Davenport,972,222
Davenport,973,222
Davenport,974,222
Davenport,975,222
Davenport,976,222
Davenport,977,222
Davenport,978,222
Jacksonville,979,82
Lewisburg,980,223
Lewisburg,981,223
Westerly,982,224
Westerly,983,224
Westerly,984,224
Westerly,985,224
Westerly,986,224
Westerly,987,224
Westerly,988,224
Westerly,989,224
Westerly,990,224
Birmingham,991,215
Birmingham,992,215
Birmingham,993,215
Birmingham,994,215
Birmingham,995,215
Birmingham,996,215
Birmingham,997,215
Birmingham,998,215
Birmingham,999,215
Loveland,1000,225
Seattle,1001,141
Seattle,1002,141
Chicago,1003,192
Chicago,1004,192
Chicago,1005,192
Chicago,1006,192
Chicago,1007,192
Chicago,1008,192
Chicago,1009,192
Chicago,1010,192
Stamford,1011,226
Stamford,1012,226
Redlands,1013,227
Redlands,1014,227
Richmond,1015,228
Richmond,1016,228
Richmond,1017,228
Boston,1018,87
Boston,1019,87
Boston,1020,87
Boston,1021,87
Boston,1022,87
Boston,1023,87
Boston,1024,87
Boston,1025,87
Boston,1026,87
Boston,1027,87
Boston MA,1028,229
Boston,1029,87
Belt,1030,230
Belt,1031,230
Hilo,1032,231
Hilo,1033,231
Hilo,1034,231
Hilo,1035,231
Hilo,1036,231
Mill Valley,1037,232
Mill Valley,1038,232
Mill Valley CA,1039,233
Halethorpe,1040,234
Halethorpe,1041,234
Halethorpe,1042,234
San Diego,1043,44
San Diego,1044,44
San Diego,1045,44
Windsor,1046,235
Windsor,1047,235
Leavenworth,1048,236
Leavenworth,1049,236
Leavenworth,1050,236
Seattle,1051,141
Seattle,1052,141
Seattle,1053,141
Seattle,1054,141
Seattle,1055,141
Green Bay,1056,237
Pittsburgh,1057,238
Pittsburgh,1058,238
Pittsburgh PA,1059,239
Springfield,1060,240
Springfield,1061,240
Springfield,1062,240
Springfield,1063,240
Springfield,1064,240
Springfield,1065,240
Springfield,1066,240
Springfield,1067,240
Austin,1068,39
Austin,1069,39
Austin,1070,39
Austin,1071,39
Austin,1072,39
Portland,1073,15
Portland,1074,15
Portland OR,1075,241
Portland,1076,15
Portland OR,1077,241
Portland,1078,15
Portland,1079,15
Portland,1080,15
Portland,1081,15
Portland,1082,15
Portland,1083,15
Portland,1084,15
Portland,1085,15
Portland,1086,15
Portland,1087,15
Portland OR,1088,241
Portland,1089,15
Portland,1090,15
Portland,1091,15
Portland,1092,15
Portland,1093,15
Portland,1094,15
Portland,1095,15
Milwaukee,1096,242
Milwaukee,1097,242
Milwaukee,1098,242
Lenoir,1099,243
Lenoir,1100,243
Minneapolis,1101,49
Minneapolis,1102,49
Minneapolis,1103,49
Minneapolis,1104,49
Minneapolis,1105,49
Minneapolis,1106,49
Austin,1107,39
Austin,1108,39
Austin,1109,39
Indianapolis,1110,69
Austin,1111,39
Austin,1112,39
Jacksonville,1113,82
Jacksonville,1114,82
Jacksonville,1115,82
Ipswich,1116,244
Wilmington,1117,245
Framingham,1118,246
Framingham,1119,246
Framingham MA,1120,247
Framingham,1121,246
Framingham,1122,246
Biglerville,1123,248
Biglerville,1124,248
Nashville,1125,249
Athens,1126,156
Athens,1127,156
Athens,1128,156
Athens,1129,156
Athens,1130,156
Laurel,1131,250
Stevens Point,1132,142
Stevens Point,1133,142
Stevens Point,1134,142
Stevens Point,1135,142
Stevens Point,1136,142
Stevens Point WI,1137,251
Henderson,1138,252
Henderson,1139,252
Henderson,1140,252
Henderson,1141,252
Kalona,1142,253
Kalona,1143,253
Houston,1144,109
Houston,1145,109
Houston,1146,109
Houston,1147,109
Houston TX,1148,108
Houston,1149,109
Houston,1150,109
Houston,1151,109
Houston,1152,109
Houston,1153,109
Brooklyn,1154,102
Brooklyn,1155,102
Brooklyn NY,1156,103
Soldotna,1157,254
Soldotna AK,1158,255
Soldotna,1159,254
Soldotna,1160,254
Missoula,1161,64
Missoula,1162,64
Missoula,1163,64
Missoula,1164,64
Missoula,1165,64
Missoula,1166,64
Houghton,1167,256
Houghton,1168,256
Houghton,1169,256
Houghton,1170,256
Houghton,1171,256
Houghton,1172,256
Houghton,1173,256
Anchorage,1174,101
Anchorage,1175,101
Anchorage,1176,101
Anchorage,1177,101
Anchorage,1178,101
Kirkwood,1179,257
Kirkwood,1180,257
Kona,1181,258
Kona,1182,258
Kona,1183,258
Kona,1184,258
Krebs,1185,259
Bellingham,1186,34
Albuquerque NM,1187,260
Albuquerque,1188,261
Lancaster,1189,262
Lancaster,1190,262
Portage,1191,263
Portage,1192,263
Portage,1193,263
Portage,1194,263
Ponderay,1195,264
Ponderay,1196,264
Ponderay,1197,264
Erie,1198,265
Erie,1199,265
Eau Claire,1200,266
Helena,1201,267
Helena,1202,267
Helena MT,1203,268
Helena,1204,267
Helena,1205,267
Stillwater,1206,269
Stillwater,1207,269
York,1208,270
York,1209,270
York,1210,270
York PA,1211,271
Lone Tree,1212,272
Raleigh,1213,273
Raleigh,1214,273
Raleigh,1215,273
Raleigh,1216,273
Raleigh,1217,273
Bridgewater Corners,1218,274
Bridgewater Corners,1219,274
Bridgewater Corners,1220,274
Bridgewater Corners,1221,274
Bridgewater Corners,1222,274
East Fairfield,1223,275
East Fairfield,1224,275
East Fairfield,1225,275
East Fairfield,1226,275
Ashburn,1227,276
Ashburn,1228,276
Menominee,1229,277
Menominie,1230,278
Menominie,1231,278
Menominie,1232,278
Jackson,1233,279
Jackson,1234,279
Flagstaff,1235,280
Flagstaff,1236,280
Flagstaff,1237,280
Flagstaff,1238,280
Portland OR,1239,241
Portland,1240,15
Macon,1241,281
Macon,1242,281
Cincinnati,1243,23
Cincinnati,1244,23
Cincinnati,1245,23
Cincinnati OH,1246,282
Cincinnati,1247,23
Cincinnati,1248,23
Cincinnati,1249,23
Cincinnati,1250,23
Cincinnati,1251,23
South Burlington,1252,283
South Burlington,1253,283
South Burlington,1254,283
Mammoth Lakes,1255,284
Mammoth Lakes,1256,284
Mammoth Lakes,1257,284
Mammoth Lakes,1258,284
Philadelphia,1259,175
Philadelphia,1260,175
Philadelphia,1261,175
Philadelphia,1262,175
Philadelphia,1263,175
Philadelphia,1264,175
Philadelphia,1265,175
Philadelphia,1266,175
Philadelphia,1267,175
Santee,1268,285
Santee,1269,285
Santee,1270,285
Santee,1271,285
Santee,1272,285
Albuquerque,1273,261
Albuquerque,1274,261
Belfast,1275,286
Belfast,1276,286
Belfast,1277,286
Belfast,1278,286
Belfast,1279,286
Fort Worth,1280,287
Fort Worth,1281,287
Fort Worth,1282,287
Fort Worth,1283,287
Fort Worth TX,1284,288
Fort Worth,1285,287
Fort Worth,1286,287
Fort Worth TX,1287,288
Utica NY,1288,289
Utica,1289,290
Utica,1290,290
Utica,1291,290
Utica,1292,290
Utica,1293,290
Utica NY,1294,289
Utica,1295,290
Utica,1296,290
Utica,1297,290
Utica,1298,290
Utica,1299,290
Utica,1300,290
Lahaina,1301,291
Lahaina,1302,291
Lahaina,1303,291
Lahaina,1304,291
Lahaina,1305,291
Lahaina,1306,291
Lahaina,1307,291
Lahaina,1308,291
Lahaina,1309,291
Lahaina,1310,291
Lahaina,1311,291
Lahaina,1312,291
Half Moon Bay,1313,292
Half Moon Bay,1314,292
Half Moon Bay,1315,292
Somerset Center,1316,293
Somerset Center,1317,293
Somerset Center,1318,293
Hilo,1319,231
Hilo,1320,231
Hilo,1321,231
Hilo,1322,231
Hilo,1323,231
Hilo,1324,231
Miami,1325,294
Miami,1326,294
Miami,1327,294
Miami,1328,294
Libertyville,1329,295
Anchorage,1330,101
Anchorage,1331,101
Anchorage,1332,101
Anchorage,1333,101
Anchorage,1334,101
San Diego,1335,44
San Diego,1336,44
San Diego,1337,44
San Diego,1338,44
San Diego,1339,44
San Diego,1340,44
Chicago,1341,192
Chicago IL,1342,216
Chicago,1343,192
Chicago,1344,192
Chicago,1345,192
Chicago,1346,192
Chicago,1347,192
Chicago,1348,192
Pottstown,1349,296
Pottstown,1350,296
Royal Oak,1351,297
Royal Oak,1352,297
Royal Oak,1353,297
Milwaukee,1354,242
Milwaukee,1355,242
Milwaukee,1356,242
Milwaukee,1357,242
Milwaukee,1358,242
Milwaukee,1359,242
Milwaukee,1360,242
Monroe,1361,298
Monroe,1362,298
Monroe,1363,298
Monroe,1364,298
Monroe,1365,298
Monroe,1366,298
Monroe WI,1367,299
Monroe,1368,298
Monroe,1369,298
Monroe,1370,298
Monroe,1371,298
Monroe,1372,298
Monroe,1373,298
San Diego CA,1374,45
San Diego,1375,44
San Diego CA,1376,45
San Diego,1377,44
Moab,1378,300
Moab,1379,300
Moab,1380,300
Moab,1381,300
North Conway,1382,301
North Conway,1383,301
Lincoln,1384,74
San Diego,1385,44
San Diego,1386,44
San Diego,1387,44
San Diego,1388,44
San Diego,1389,44
San Diego,1390,44
San Diego,1391,44
San Diego,1392,44
