State,ZipCode,original_index,unique_index
al,36360,479,54
al,36360,480,54
al,36360,481,54
al,36360,482,54
xl,36360,483,55
al,36360,484,54
al,36360,485,54
al,36360,486,54
al,36360,487,54
al,36360,488,54
al,36360,489,54
al,x6x60,490,56
al,35960,491,57
al,35960,492,57
al,35960,493,57
al,35960,494,57
al,35960,495,57
al,35960,496,57
al,35960,497,57
al,35960,498,57
al,x5960,499,58
al,35960,500,57
al,35960,501,57
al,35960,502,57
al,35960,503,57
ax,35960,504,59
al,35960,505,57
al,35960,506,57
al,35960,507,57
al,35960,508,57
al,35960,509,57
al,35960,510,57
al,35960,511,57
al,35960,512,57
al,35960,513,57
al,35960,514,57
al,35960,515,57
al,36116,516,60
al,36116,517,60
al,36116,518,60
al,36116,519,60
al,36116,520,60
al,36116,521,60
al,36116,522,60
al,36116,523,60
al,36116,524,60
al,36116,525,60
al,36116,526,60
al,36116,527,60
al,36116,528,60
al,36116,529,60
al,36116,530,60
al,36116,531,60
al,36116,532,60
al,36116,533,60
al,36116,534,60
al,36116,535,60
al,36116,536,60
al,36116,537,60
al,36116,538,60
al,36116,539,60
al,36116,540,60
al,36106,541,61
al,36106,542,61
al,36106,543,61
al,3x10x,544,62
al,36106,545,61
al,36106,546,61
al,36106,547,61
al,36106,548,61
al,36106,549,61
al,36106,550,61
al,36106,551,61
al,36106,552,61
al,36106,553,61
al,36106,554,61
al,36106,555,61
al,36106,556,61
al,36106,557,61
al,36106,558,61
xl,36106,559,63
al,36106,560,61
al,36106,561,61
al,36106,562,61
al,36106,563,61
al,36106,564,61
al,36106,565,61
al,36854,566,64
al,36854,567,64
al,36854,568,64
al,36854,569,64
al,36854,570,64
al,36854,571,64
ax,36854,572,65
al,36854,573,64
al,36854,574,64
al,36854,575,64
al,36854,576,64
al,36854,577,64
al,36854,578,64
al,36854,579,64
al,36854,580,64
al,36854,581,64
al,36854,582,64
al,36854,583,64
al,36854,584,64
al,36854,585,64
al,36854,586,64
al,36854,587,64
al,36854,588,64
al,36854,589,64
al,36854,590,64
al,36323,591,66
ax,36323,592,67
al,36323,593,66
al,36323,594,66
al,36323,595,66
al,36323,596,66
al,36323,597,66
al,36323,598,66
al,36323,599,66
al,36323,600,66
al,36323,601,66
al,36323,602,66
al,36323,603,66
al,36323,604,66
al,36323,605,66
al,36323,606,66
al,36323,607,66
al,36323,608,66
al,36323,609,66
al,36323,610,66
al,36323,611,66
al,36323,612,66
al,36323,613,66
al,36323,614,66
al,36323,615,66
al,36801,616,68
al,36801,617,68
al,36801,618,68
al,36801,619,68
al,36801,620,68
al,36801,621,68
al,36801,622,68
al,36801,623,68
al,36801,624,68
al,36801,625,68
al,36801,626,68
al,36801,627,68
al,36801,628,68
al,36801,629,68
al,36801,630,68
al,36801,631,68
al,36801,632,68
al,36801,633,68
al,36801,634,68
al,36801,635,68
al,36801,636,68
al,36801,637,68
al,36801,638,68
al,36801,639,68
al,36801,640,68
al,36278,641,69
al,36278,642,69
al,36278,643,69
al,36278,644,69
al,36278,645,69
al,36278,646,69
al,36278,647,69
al,36278,648,69
al,36278,649,69
al,36278,650,69
al,36278,651,69
al,36278,652,69
al,36278,653,69
al,36278,654,69
al,36278,655,69
al,36278,656,69
al,36278,657,69
al,36278,658,69
al,36278,659,69
al,36278,660,69
al,36278,661,69
al,36278,662,69
al,36278,663,69
al,36278,664,69
al,36278,665,69
al,35233,666,0
al,35233,667,0
al,35233,668,0
al,35233,669,0
al,35233,670,0
al,35233,671,0
al,35233,672,0
al,35233,673,0
al,35233,674,0
al,35233,675,0
al,35233,676,0
al,35233,677,0
al,35233,678,0
al,3x233,679,70
al,35233,680,0
al,35233,681,0
al,35233,682,0
al,35233,683,0
al,35233,684,0
al,x52xx,685,71
al,35233,686,0
al,35233,687,0
al,35233,688,0
al,35233,689,0
al,35233,690,0
al,36078,691,72
al,36078,692,72
al,36078,693,72
al,36078,694,72
al,36078,695,72
al,36078,696,72
al,36078,697,72
al,36078,698,72
al,36078,699,72
al,36078,700,72
xl,36078,701,73
al,36078,702,72
al,36078,703,72
al,36078,704,72
al,36078,705,72
al,36078,706,72
al,36078,707,72
al,36078,708,72
al,36078,709,72
al,36x78,710,74
al,36078,711,72
al,36078,712,72
al,36078,713,72
al,36078,714,72
al,36078,715,72
al,35058,716,75
al,35058,717,75
al,35058,718,75
al,35058,719,75
al,35058,720,75
al,35058,721,75
al,35058,722,75
al,35058,723,75
al,35058,724,75
al,35058,725,75
al,35058,726,75
al,35058,727,75
al,35058,728,75
al,35058,729,75
al,35058,730,75
al,35058,731,75
al,35058,732,75
al,35058,733,75
al,35058,734,75
al,35058,735,75
al,35058,736,75
al,35058,737,75
al,35058,738,75
al,35058,739,75
al,35058,740,75
al,36420,741,76
al,36420,742,76
al,36420,743,76
al,36420,744,76
al,36420,745,76
al,36420,746,76
al,36420,747,76
al,36420,748,76
al,36420,749,76
al,3642x,750,77
al,36420,751,76
al,36420,752,76
al,36420,753,76
al,36420,754,76
al,36420,755,76
al,36420,756,76
al,36420,757,76
al,36420,758,76
al,36420,759,76
al,36420,760,76
al,36420,761,76
al,36420,762,76
al,36420,763,76
xl,36420,764,78
al,36420,765,76
al,36201,766,33
al,36201,767,33
al,36201,768,33
al,36201,769,33
al,36201,770,33
al,36201,771,33
al,36201,772,33
al,36201,773,33
al,35801,774,79
al,35801,775,79
al,35801,776,79
al,35801,777,79
al,35801,778,79
al,35801,779,79
al,35801,780,79
al,35801,781,79
al,35801,782,79
al,35801,783,79
al,35801,784,79
al,35801,785,79
al,35801,786,79
al,35801,787,79
al,35801,788,79
al,35801,789,79
al,35801,790,79
xl,35801,791,80
al,35801,792,79
al,35801,793,79
al,35801,794,79
al,35801,795,79
al,35801,796,79
al,35801,797,79
al,35801,798,79
al,35801,799,79
al,35801,800,79
al,35801,801,79
al,35903,802,81
al,35903,803,81
al,35903,804,81
al,35903,805,81
al,35903,806,81
al,35903,807,81
al,35903,808,81
al,35903,809,81
al,35903,810,81
al,35903,811,81
al,35903,812,81
al,35903,813,81
al,35903,814,81
al,x590x,815,82
al,35903,816,81
al,35903,817,81
al,35903,818,81
al,35903,819,81
al,35903,820,81
al,35903,821,81
al,35903,822,81
al,35903,823,81
al,35903,824,81
al,35903,825,81
al,35903,826,81
al,35045,827,83
al,35045,828,83
al,35045,829,83
al,35045,830,83
al,35045,831,83
al,35045,832,83
al,35045,833,83
al,35045,834,83
al,35045,835,83
al,35045,836,83
al,35045,837,83
al,35045,838,83
al,35045,839,83
al,35045,840,83
al,35045,841,83
al,35045,842,83
al,35045,843,83
al,35045,844,83
al,35045,845,83
al,35045,846,83
al,35045,847,83
al,35045,848,83
al,35045,849,83
al,35045,850,83
al,35045,851,83
al,35570,852,84
al,35570,853,84
al,35570,854,84
al,35570,855,84
al,35570,856,84
al,35570,857,84
al,35570,858,84
al,35570,859,84
al,35570,860,84
al,35570,861,84
al,35570,862,84
al,35570,863,84
al,35570,864,84
al,35570,865,84
al,35570,866,84
al,35570,867,84
al,35570,868,84
al,35570,869,84
al,35570,870,84
al,35570,871,84
al,35570,872,84
al,35570,873,84
al,35570,874,84
al,35570,875,84
al,35570,876,84
al,35555,877,85
al,35555,878,85
al,35555,879,85
al,35555,880,85
al,35555,881,85
al,35555,882,85
al,35555,883,85
xl,35555,884,86
al,35555,885,85
xl,35555,886,86
al,35555,887,85
al,35555,888,85
al,35555,889,85
al,35555,890,85
al,35555,891,85
al,35555,892,85
al,35555,893,85
al,35555,894,85
al,35555,895,85
al,35555,896,85
al,35555,897,85
al,35555,898,85
al,35555,899,85
al,35555,900,85
al,35555,901,85
al,35901,902,87
al,35901,903,87
al,35901,904,87
al,35901,905,87
al,35901,906,87
al,35901,907,87
al,35901,908,87
al,35901,909,87
al,35901,910,87
al,35901,911,87
al,35901,912,87
al,35901,913,87
al,35901,914,87
al,35901,915,87
al,35901,916,87
al,35901,917,87
al,35901,918,87
al,35901,919,87
al,35901,920,87
al,35901,921,87
ax,35901,922,88
al,3590x,923,89
al,35901,924,87
al,35901,925,87
al,35901,926,87
al,35901,927,87
al,35901,928,87
al,35901,929,87
al,36033,930,90
al,36033,931,90
al,36033,932,90
al,36033,933,90
al,36033,934,90
al,36033,935,90
al,36033,936,90
al,36033,937,90
al,36033,938,90
al,36033,939,90
al,36033,940,90
al,36033,941,90
al,36033,942,90
al,36033,943,90
al,36033,944,90
al,36033,945,90
al,36033,946,90
al,36033,947,90
al,36033,948,90
al,36033,949,90
al,36033,950,90
al,36033,951,90
al,36033,952,90
al,36033,953,90
al,36033,954,90
al,36330,955,91
al,36330,956,91
al,36330,957,91
al,36330,958,91
al,36330,959,91
al,36330,960,91
al,36330,961,91
al,36330,962,91
al,36330,963,91
al,36330,964,91
al,36330,965,91
al,36330,966,91
al,36330,967,91
al,36330,968,91
al,36330,969,91
al,36330,970,91
al,36330,971,91
al,36330,972,91
al,36330,973,91
al,36330,974,91
al,36330,975,91
al,36330,976,91
al,36330,977,91
al,36330,978,91
al,36330,979,91
al,35121,980,92
al,35121,981,92
al,35121,982,92
al,35121,983,92
al,35121,984,92
al,35121,985,92
al,35121,986,92
al,35121,987,92
al,35121,988,92
al,35121,989,92
al,35121,990,92
al,35121,991,92
al,35121,992,92
al,35121,993,92
al,35121,994,92
al,35121,995,92
al,35121,996,92
al,35121,997,92
al,35121,998,92
al,35121,999,92
